geo,median_age_years,time
bra,26.98,2005
bra,29.01,2010
bra,31.32,2015
bra,33.6,2020
bra,35.83,2025
bra,37.94,2030
bra,39.91,2035
bra,41.94,2040
bra,43.81,2045
bra,45.56,2050
brn,22.37,1950
brn,21.15,1955
brn,19.42,1960
brn,17.64,1965
brn,18.4,1970
brn,19.76,1975
brn,20.36,1980
brn,21.44,1985
brn,23.36,1990
brn,24.16,1995
brn,25.11,2000
brn,26.43,2005
brn,27.79,2010
brn,29.2,2015
brn,30.7,2020
brn,32.23,2025
brn,33.66,2030
brn,34.97,2035
brn,36.02,2040
brn,36.97,2045
brn,37.74,2050
bgr,27.3,1950
bgr,28.87,1955
bgr,30.42,1960
bgr,31.96,1965
bgr,33.16,1970
bgr,34.03,1975
bgr,34.22,1980
bgr,35.71,1985
bgr,36.56,1990
bgr,38.25,1995
bgr,39.66,2000
bgr,40.76,2005
bgr,41.73,2010
bgr,42.88,2015
bgr,44.31,2020
bgr,45.99,2025
bgr,47.56,2030
bgr,48.97,2035
bgr,50.21,2040
bgr,50.41,2045
bgr,49.51,2050
bfa,19.52,1950
bfa,19.66,1955
bfa,19.5,1960
bfa,19.04,1965
bfa,18.22,1970
bfa,17.47,1975
bfa,16.75,1980
bfa,16.28,1985
bfa,16.19,1990
bfa,16.24,1995
bfa,16.43,2000
bfa,16.91,2005
bfa,16.69,2010
bfa,16.81,2015
bfa,17.32,2020
bfa,18.31,2025
bfa,19.61,2030
bfa,20.97,2035
bfa,22.32,2040
bfa,23.68,2045
bfa,25.1,2050
bdi,19.5,1950
bdi,18.64,1955
bdi,18.01,1960
bdi,17.5,1965
bdi,17.39,1970
bdi,16.98,1975
bdi,17.33,1980
bdi,17.73,1985
bdi,17.36,1990
bdi,16.68,1995
bdi,16.59,2000
bdi,18.39,2005
bdi,20.29,2010
bdi,21.39,2015
bdi,22.3,2020
bdi,23.27,2025
bdi,24.41,2030
bdi,25.84,2035
bdi,27.38,2040
bdi,28.89,2045
bdi,30.4,2050
khm,18.74,1950
khm,18.72,1955
khm,18.64,1960
khm,18.5,1965
khm,18.32,1970
khm,18.66,1975
khm,18.77,1980
khm,18.14,1985
khm,17.85,1990
khm,17.26,1995
khm,18.26,2000
khm,20.29,2005
khm,22.32,2010
khm,24.16,2015
khm,26.01,2020
khm,27.62,2025
khm,29.11,2030
khm,30.34,2035
khm,31.68,2040
khm,33.09,2045
khm,34.6,2050
cmr,20.26,1950
cmr,20.06,1955
cmr,19.84,1960
cmr,19.41,1965
cmr,18.88,1970
cmr,18.32,1975
cmr,17.78,1980
cmr,17.36,1985
cmr,17.26,1990
cmr,17.53,1995
cmr,18.16,2000
cmr,18.7,2005
cmr,19.21,2010
cmr,19.86,2015
cmr,20.62,2020
cmr,21.72,2025
cmr,23.0,2030
cmr,24.34,2035
cmr,25.74,2040
cmr,27.12,2045
cmr,28.48,2050
can,27.71,1950
can,27.31,1955
can,26.39,1960
can,25.48,1965
can,25.86,1970
can,27.44,1975
can,29.17,1980
can,31.04,1985
can,32.9,1990
can,34.77,1995
can,36.86,2000
can,38.58,2005
can,39.88,2010
can,40.94,2015
can,41.92,2020
can,42.85,2025
can,43.74,2030
can,44.54,2035
can,45.24,2040
can,45.39,2045
can,45.17,2050
cpv,21.38,1950
cpv,20.66,1955
cpv,19.74,1960
