geo,smoking_women_percent_of_women_over_age_15,time
pak,6.6,2000
pak,6.6,2002
pak,6.6,2005
sau,3.6,2000
sau,3.6,2002
sau,3.6,2005
tun,1.9,2000
tun,1.9,2002
tun,1.9,2005
are,2.6,2000
are,2.6,2002
are,2.6,2005
alb,4.0,2000
alb,4.0,2002
alb,4.0,2005
and,29.2,2000
and,29.2,2002
and,29.2,2005
arm,3.7,2000
arm,3.7,2002
arm,3.7,2005
aut,40.1,2000
aut,40.1,2002
aut,40.1,2005
aze,0.9,2000
aze,0.9,2002
aze,0.9,2005
blr,21.1,2000
blr,21.1,2002
blr,21.1,2005
bel,24.1,2000
bel,24.1,2002
bel,24.1,2005
bih,35.1,2000
bih,35.1,2002
bih,35.1,2005
bgr,27.8,2000
bgr,27.8,2002
bgr,27.8,2005
hrv,29.1,2000
hrv,29.1,2002
hrv,29.1,2005
cze,25.4,2000
cze,25.4,2002
cze,25.4,2005
dnk,30.6,2000
dnk,30.6,2002
dnk,30.6,2005
est,27.5,2000
est,27.5,2002
est,27.5,2005
fin,24.4,2000
fin,24.4,2002
fin,24.4,2005
fra,26.7,2000
fra,26.7,2002
fra,26.7,2005
geo,6.3,2000
geo,6.3,2002
geo,6.3,2005
deu,25.8,2000
deu,25.8,2002
deu,25.8,2005
grc,39.8,2000
grc,39.8,2002
grc,39.8,2005
hun,33.9,2000
hun,33.9,2002
hun,33.9,2005
isl,26.6,2000
isl,26.6,2002
isl,26.6,2005
irl,26.0,2000
irl,26.0,2002
irl,26.0,2005
isr,17.9,2000
isr,17.9,2002
isr,17.9,2005
ita,19.2,2000
ita,19.2,2002
ita,19.2,2005
kaz,9.7,2000
kaz,9.7,2002
kaz,9.7,2005
kgz,2.2,2000
kgz,2.2,2002
kgz,2.2,2005
lva,24.1,2000
lva,24.1,2002
lva,24.1,2005
ltu,20.8,2000
ltu,20.8,2002
ltu,20.8,2005
lux,30.3,2000
lux,30.3,2002
lux,30.3,2005
mlt,24.5,2000
mlt,24.5,2002
mlt,24.5,2005
nld,30.3,2000
nld,30.3,2002
nld,30.3,2005
nor,30.4,2000
nor,30.4,2002
nor,30.4,2005
pol,27.2,2000
pol,27.2,2002
pol,27.2,2005
prt,31.0,2000
prt,31.0,2002
prt,31.0,2005
mda,5.8,2000
mda,5.8,2002
mda,5.8,2005
rou,24.5,2000
rou,24.5,2002
rou,24.5,2005
rus,26.5,2000
rus,26.5,2002
rus,26.5,2005
srb,42.3,2000
srb,42.3,2002
srb,42.3,2005
svk,20.1,2000
svk,20.1,2002
svk,20.1,2005
svn,21.1,2000
svn,21.1,2002
svn,21.1,2005
esp,30.9,2000
esp,30.9,2002
esp,30.9,2005
swe,24.5,2000
swe,24.5,2002
swe,24.5,2005
che,22.2,2000
che,22.2,2002
che,22.2,2005
tur,19.2,2000
tur,19.2,2002
tur,19.2,2005
gbr,34.7,2000
gbr,34.7,2002
gbr,34.7,2005
uzb,1.2,2000
uzb,1.2,2002
uzb,1.2,2005
bgd,3.8,2000
bgd,3.8,2002
bgd,3.8,2005
ind,3.8,2000
ind,3.8,2002
ind,3.8,2005
idn,4.5,2000
idn,4.5,2002
idn,4.5,2005
mdv,11.6,2000
mdv,11.6,2002
mdv,11.6,2005
mmr,13.6,2000
mmr,13.6,2002
mmr,13.6,2005
npl,26.4,2000
npl,26.4,2002
npl,26.4,2005
lka,2.6,2000
lka,2.6,2002
lka,2.6,2005
tha,3.4,2000
tha,3.4,2002
tha,3.4,2005
aus,21.8,2000
aus,21.8,2002
aus,21.8,2005
khm,6.5,2000
khm,6.5,2002
khm,6.5,2005
chn,3.7,2000
chn,3.7,2002
chn,3.7,2005
cok,20.0,2000
cok,20.0,2002
cok,20.0,2005
fji,5.1,2000
fji,5.1,2002
fji,5.1,2005
jpn,14.3,2000
jpn,14.3,2002
jpn,14.3,2005
lao,15.6,2000
lao,15.6,2002
lao,15.6,2005
mys,2.8,2000
mys,2.8,2002
mys,2.8,2005
mng,6.5,2000
mng,6.5,2002
mng,6.5,2005
nru,52.4,2000
nru,52.4,2002
nru,52.4,2005
nzl,27.5,2000
nzl,27.5,2002
nzl,27.5,2005
plw,9.7,2000
plw,9.7,2002
plw,9.7,2005
phl,9.8,2000
phl,9.8,2002
phl,9.8,2005
kor,5.7,2000
kor,5.7,2002
kor,5.7,2005
wsm,23.4,2000
wsm,23.4,2002
wsm,23.4,2005
ton,15.8,2000
ton,15.8,2002
ton,15.8,2005
vut,8.1,2000
vut,8.1,2002
vut,8.1,2005
vnm,2.5,2000
vnm,2.5,2002
vnm,2.5,2005
