geo,colonandrectum_cancer_new_cases_per_100000_women,time
dnk,29.26,1990
dnk,29.0,1991
dnk,30.41,1992
dnk,28.48,1993
dnk,29.33,1994
dnk,29.54,1995
dnk,28.55,1996
dnk,31.73,1997
dnk,33.0,2002
dji,4.1,2002
dom,12.3,2002
ecu,10.0,2002
egy,2.9,2002
slv,6.2,2002
gnq,3.3,2002
eri,4.1,2002
est,11.29,1968
est,13.53,1969
est,12.18,1970
est,13.4,1971
est,9.93,1972
est,13.31,1973
est,13.96,1974
est,13.96,1975
est,15.15,1976
est,13.41,1977
est,16.07,1978
est,15.24,1979
est,16.35,1980
est,17.1,1981
est,16.89,1982
est,17.86,1983
est,16.79,1984
est,21.04,1985
est,18.5,1986
est,16.27,1987
est,20.26,1988
est,16.5,1989
est,17.96,1990
est,20.02,1991
est,18.85,1992
est,20.48,1993
est,20.17,1994
est,19.43,1995
est,22.01,1996
est,20.87,1997
est,23.2,2002
eth,4.2,2002
fji,2.8,2002
fin,10.8,1953
fin,10.0,1954
fin,9.35,1955
fin,10.75,1956
fin,10.03,1957
fin,11.04,1958
fin,10.7,1959
fin,12.98,1960
fin,11.68,1961
fin,13.27,1962
fin,14.58,1963
fin,13.65,1964
fin,12.92,1965
fin,13.91,1966
fin,14.82,1967
fin,14.3,1968
fin,14.6,1969
fin,14.26,1970
fin,15.92,1971
fin,15.49,1972
fin,16.13,1973
fin,16.46,1974
fin,15.41,1975
fin,16.86,1976
fin,16.79,1977
fin,15.19,1978
fin,18.32,1979
fin,17.66,1980
fin,17.34,1981
fin,18.0,1982
fin,16.23,1983
fin,17.28,1984
fin,16.94,1985
fin,18.53,1986
fin,18.76,1987
fin,16.81,1988
fin,17.47,1989
fin,18.36,1990
fin,18.26,1991
fin,18.83,1992
fin,18.66,1993
fin,18.95,1994
fin,18.95,1995
fin,19.39,1996
fin,20.15,1997
fin,21.1,2002
fra,25.9,2002
pyf,10.7,2002
gab,3.8,2002
gmb,2.5,2002
geo,7.6,2002
deu,33.1,2002
gha,3.5,2002
grc,15.6,2002
gum,11.8,2002
gtm,7.4,2002
gin,3.3,2002
gnb,3.5,2002
guy,8.9,2002
hti,7.5,2002
hnd,7.4,2002
hkg,26.64,1983
hkg,25.09,1984
hkg,24.97,1985
hkg,27.46,1986
hkg,26.14,1987
hkg,27.75,1988
hkg,28.76,1989
hkg,26.65,1990
hkg,28.37,1991
hkg,29.06,1992
hkg,27.81,1993
hkg,29.77,1994
hkg,29.43,1995
hkg,27.55,1996
hkg,27.96,1997
hun,33.7,2002
isl,13.62,1958
isl,13.37,1959
isl,17.64,1960
isl,15.27,1961
isl,19.05,1962
isl,14.68,1963
isl,19.85,1964
isl,13.29,1965
isl,17.43,1966
isl,19.42,1967
isl,18.65,1968
isl,19.08,1969
isl,31.91,1970
isl,23.14,1971
isl,13.22,1972
isl,23.73,1973
isl,28.45,1974
isl,22.91,1975
isl,15.83,1976
isl,15.87,1977
isl,18.81,1978
isl,24.19,1979
isl,20.95,1980
isl,15.92,1981
isl,22.2,1982
isl,15.28,1983
isl,19.28,1984
isl,20.23,1985
isl,27.2,1986
isl,19.46,1987
isl,20.93,1988
isl,24.16,1989
isl,25.67,1990
isl,19.8,1991
isl,16.44,1992
isl,17.52,1993
isl,20.35,1994
isl,26.94,1995
isl,19.14,1996
isl,22.08,1997
isl,27.0,2002
ind,3.2,2002
idn,10.6,2002
irn,6.5,2002
irq,4.6,2002
irl,27.0,2002
isr,34.9,2002
ita,26.6,2002
jam,12.0,2002
jpn,26.5,2002
jor,9.6,2002
kaz,7.9,2002
ken,3.9,2002
prk,15.8,2002
kor,15.8,2002
kwt,9.6,2002
kgz,5.8,2002
lao,4.8,2002
lva,17.9,2002
lbn,4.0,2002
lso,2.5,2002
lbr,3.8,2002
lby,3.7,2002
ltu,16.8,2002
lux,30.8,2002
mkd,19.0,2002
mdg,4.1,2002
mwi,2.4,2002
mys,15.7,2002
mli,4.7,2002
mlt,22.5,2002
mrt,3.5,2002
mus,7.8,2002
mex,7.0,2002
mda,18.6,2002
mng,3.4,2002
mar,5.5,2002
moz,1.3,2002
mmr,3.4,2002
nam,3.2,2002
npl,3.4,2002
nld,30.8,2002
nzl,41.0,1983
nzl,42.5,1984
nzl,40.66,1985
nzl,41.32,1986
nzl,43.57,1987
nzl,40.49,1988
nzl,39.78,1989
nzl,38.57,1990
nzl,41.4,1991
nzl,38.68,1992
nzl,38.36,1993
nzl,43.54,1994
nzl,42.52,1995
nzl,40.49,1996
nzl,38.24,1997
nzl,42.2,2002
nic,10.6,2002
ner,3.6,2002
nga,3.9,2002
nor,12.75,1953
nor,12.37,1954
nor,13.85,1955
nor,13.26,1956
nor,13.59,1957
nor,15.66,1958
nor,14.52,1959
nor,14.68,1960
nor,14.21,1961
nor,14.97,1962
nor,16.34,1963
nor,16.33,1964
nor,15.45,1965
nor,17.98,1966
nor,18.69,1967
nor,18.7,1968
nor,18.82,1969
nor,20.6,1970
nor,20.36,1971
nor,21.03,1972
nor,18.85,1973
nor,21.81,1974
nor,22.97,1975
nor,22.52,1976
nor,25.21,1977
nor,26.29,1978
nor,26.7,1979
nor,27.47,1980
nor,28.17,1981
nor,28.08,1982
nor,27.36,1983
nor,28.76,1984
nor,28.02,1985
nor,28.36,1986
nor,28.53,1987
nor,28.82,1988
nor,30.26,1989
nor,28.05,1990
nor,30.76,1991
nor,31.72,1992
nor,32.34,1993
nor,34.58,1994
nor,34.91,1995
nor,32.7,1996
nor,34.66,1997
nor,37.1,2002
omn,3.1,2002
pak,5.1,2002
pan,11.2,2002
png,2.9,2002
pry,9.0,2002
per,12.3,2002
phl,14.8,2002
pol,23.5,2002
prt,21.1,2002
pri,20.5,2002
qat,17.5,2002
rou,14.4,2002
rus,19.5,2002
rwa,4.1,2002
wsm,10.7,2002
sau,8.7,2002
sen,2.5,2002
scg,19.4,2002
sle,3.5,2002
sgp,29.9,2002
svk,15.59,1968
svk,15.63,1969
svk,14.39,1970
svk,14.67,1971
svk,15.67,1972
svk,15.17,1973
svk,16.34,1974
svk,15.25,1975
svk,17.58,1976
svk,17.6,1977
svk,16.96,1978
svk,17.99,1979
svk,17.45,1980
svk,17.77,1981
svk,18.7,1982
svk,18.69,1983
svk,19.62,1984
svk,19.75,1985
svk,21.57,1986
svk,22.64,1987
svk,24.15,1988
svk,22.85,1989
svk,22.28,1990
svk,23.51,1991
svk,25.3,1992
svk,22.64,1993
svk,23.39,1994
svk,23.73,1995
svk,25.63,1996
svk,25.65,1997
svk,27.4,2002
svn,9.91,1963
svn,10.01,1964
svn,14.09,1965
svn,13.44,1966
svn,11.27,1967
svn,13.51,1968
svn,12.15,1969
svn,12.22,1970
svn,12.5,1971
svn,12.95,1972
svn,12.96,1973
svn,15.02,1974
svn,15.57,1975
svn,14.41,1976
svn,16.95,1977
svn,16.78,1978
svn,16.26,1979
svn,16.73,1980
svn,17.84,1981
svn,17.11,1982
svn,19.29,1983
svn,17.76,1984
svn,19.32,1985
svn,18.17,1986
svn,19.53,1987
svn,19.28,1988
svn,18.0,1989
svn,19.81,1990
svn,20.88,1991
svn,21.84,1992
svn,23.93,1993
svn,22.74,1994
svn,22.69,1995
svn,21.96,1996
svn,24.88,1997
svn,25.4,2002
slb,6.9,2002
som,4.1,2002
zaf,9.7,2002
esp,22.5,2002
lka,3.4,2002
sdn,3.1,2002
sur,12.5,2002
swz,2.4,2002
swe,19.45,1958
swe,19.46,1959
swe,18.4,1960
swe,18.74,1961
swe,20.27,1962
swe,20.75,1963
swe,20.56,1964
swe,21.46,1965
swe,20.58,1966
swe,21.57,1967
swe,21.4,1968
swe,21.43,1969
swe,21.93,1970
swe,21.09,1971
swe,21.67,1972
swe,22.86,1973
swe,21.68,1974
swe,21.01,1975
swe,20.81,1976
swe,21.18,1977
swe,21.81,1978
swe,22.89,1979
swe,23.16,1980
swe,22.93,1981
swe,23.01,1982
swe,23.79,1983
swe,23.03,1984
swe,23.07,1985
swe,23.53,1986
swe,23.64,1987
swe,22.1,1988
swe,23.03,1989
swe,23.33,1990
swe,23.26,1991
swe,23.85,1992
swe,23.06,1993
swe,23.29,1994
swe,23.09,1995
swe,22.46,1996
swe,22.08,1997
swe,26.2,2002
che,25.2,2002
syr,17.5,2002
tjk,2.0,2002
tza,4.3,2002
tha,7.1,2002
tgo,3.5,2002
tto,16.0,2002
tun,6.9,2002
tur,8.5,2002
tkm,2.3,2002
uga,6.7,2002
ukr,17.3,2002
are,11.6,2002
gbr,26.5,2002
usa,33.1,2002
ury,29.5,2002
uzb,3.3,2002
vut,1.5,2002
ven,11.6,2002
vnm,8.3,2002
yem,5.9,2002
zmb,2.9,2002
zwe,6.8,2002
