geo,motorcycle_deaths_per_100000_people,time
kwt,2.47,1998
kwt,3.13,2000
kwt,2.479,2001
kgz,0.167,2000
kgz,0.255,2001
kgz,0.459,2002
kgz,0.202,2003
kgz,0.279,2004
kgz,0.077,2005
kgz,0.404,2006
kgz,0.194,2007
lva,2.804,1996
lva,2.387,1997
lva,1.989,1998
lva,1.761,1999
lva,1.209,2000
lva,1.092,2001
lva,1.601,2002
lva,0.948,2003
lva,1.068,2004
lva,0.768,2005
lva,0.861,2006
lva,0.642,2007
lva,1.272,2008
ltu,0.782,1998
ltu,0.901,1999
ltu,0.745,2000
ltu,0.652,2001
ltu,0.905,2002
ltu,0.867,2003
ltu,0.77,2004
ltu,1.074,2005
ltu,0.962,2006
ltu,1.34,2007
ltu,1.397,2008
lux,0.924,1998
lux,1.225,1999
lux,1.948,2000
lux,1.789,2001
lux,0.183,2002
lux,3.091,2003
lux,2.587,2004
lux,1.439,2005
lux,1.821,2006
mys,0.586,2000
mys,9.093,2001
mys,4.017,2002
mys,5.442,2003
mys,3.365,2004
mys,5.728,2005
mys,4.901,2006
mdv,2.946,2004
mlt,0.849,1995
mlt,0.928,1996
mlt,1.811,1997
mlt,0.612,1999
mlt,1.138,2000
mlt,0.605,2001
mlt,1.261,2002
mlt,2.087,2003
mlt,1.412,2004
mlt,0.791,2005
mlt,0.625,2006
mlt,1.137,2007
mlt,1.149,2008
mtq,16.78,2000
mtq,11.23,2001
mtq,7.005,2002
mtq,3.143,2003
mtq,4.817,2004
mtq,3.837,2005
mtq,11.14,2006
mex,0.426,1998
mex,0.394,1999
mex,0.387,2000
mex,0.464,2001
mex,0.483,2002
mex,0.641,2003
mex,0.747,2004
mex,0.886,2005
mex,1.119,2006
mex,1.516,2007
nld,1.415,1996
nld,1.27,1997
nld,1.212,1998
nld,1.272,1999
nld,1.253,2000
nld,0.992,2001
nld,1.274,2002
nld,1.251,2003
nld,0.985,2004
nld,0.878,2005
nld,0.791,2006
nld,0.891,2007
nld,0.795,2008
ant,0.609,1988
ant,0.607,1990
ant,0.677,1993
ant,1.457,1994
ant,0.798,1996
ant,2.789,1997
ant,3.496,1998
ant,1.138,1999
ant,0.904,2000
nzl,1.766,1997
nzl,1.45,1998
nzl,1.411,1999
nzl,1.063,2000
nzl,0.904,2001
nzl,0.928,2002
nzl,1.039,2003
nzl,0.914,2004
nzl,0.995,2005
nzl,1.076,2006
nic,0.664,1997
nic,1.081,1998
nic,0.271,1999
nic,0.282,2000
nic,0.291,2001
nic,0.746,2002
nic,0.636,2003
nic,0.795,2004
nic,1.06,2005
nor,0.505,1996
nor,1.032,1997
nor,1.162,1998
nor,1.056,1999
nor,1.148,2000
nor,0.889,2001
nor,1.201,2002
nor,1.055,2003
nor,1.163,2004
nor,0.987,2005
nor,1.048,2006
nor,0.996,2007
pan,0.494,1998
pan,0.148,1999
pan,0.243,2000
pan,0.578,2001
pan,0.214,2002
pan,0.295,2003
pan,0.515,2004
pan,0.668,2006
pry,0.673,1996
pry,0.577,1997
pry,0.52,1998
pry,0.642,1999
pry,0.54,2000
pry,0.729,2001
pry,1.141,2002
pry,1.313,2003
pry,1.81,2004
pry,3.059,2005
pry,4.823,2006
per,0.028,1999
phl,1.227,1999
phl,1.931,2000
phl,2.98,2001
phl,3.08,2002
phl,3.465,2003
pol,0.735,1999
pol,0.724,2000
pol,0.597,2001
pol,0.546,2002
pol,0.551,2003
pol,0.594,2004
pol,0.576,2005
pol,0.563,2006
pol,0.709,2007
pol,0.968,2008
prt,13.34,1998
prt,13.32,1999
prt,8.22,2000
prt,2.896,2002
prt,3.164,2003
pri,0.639,1999
pri,0.991,2000
pri,1.568,2001
pri,1.225,2002
pri,1.447,2003
pri,2.783,2005
mda,2.623,1996
mda,2.247,1997
mda,1.077,1998
