geo,electricity_use_total,time
khm,1376000000,2007
khm,1591000000,2008
khm,1803000000,2009
khm,2065000000,2010
cmr,1019000000,1971
cmr,1068000000,1972
cmr,1079000000,1973
cmr,1229000000,1974
cmr,1303000000,1975
cmr,1272000000,1976
cmr,1223000000,1977
cmr,1265000000,1978
cmr,1297000000,1979
cmr,1346000000,1980
cmr,1763000000,1981
cmr,2027000000,1982
cmr,2020000000,1983
cmr,1997000000,1984
cmr,2253000000,1985
cmr,2167000000,1986
cmr,2228000000,1987
cmr,2323000000,1988
cmr,2403000000,1989
cmr,2345000000,1990
cmr,2334000000,1991
cmr,2360000000,1992
cmr,2457000000,1993
cmr,2213000000,1994
cmr,2177000000,1995
cmr,2314000000,1996
cmr,2516000000,1997
cmr,2539000000,1998
cmr,2681000000,1999
cmr,2719000000,2000
cmr,2631000000,2001
cmr,2536000000,2002
cmr,2808000000,2003
cmr,3320000000,2004
cmr,3306000000,2005
cmr,4477000000,2006
cmr,4753000000,2007
cmr,5143000000,2008
cmr,5243000000,2009
cmr,5319000000,2010
can,100800000000,1960
can,102500000000,1961
can,107900000000,1962
can,113100000000,1963
can,124900000000,1964
can,136000000000,1965
can,147800000000,1966
can,156400000000,1967
can,168100000000,1968
can,182100000000,1969
can,194600000000,1970
can,205100000000,1971
can,221300000000,1972
can,232900000000,1973
can,247500000000,1974
can,241500000000,1975
can,258600000000,1976
can,278700000000,1977
can,293300000000,1978
can,300300000000,1979
can,312900000000,1980
can,326900000000,1981
can,323600000000,1982
can,338800000000,1983
can,365000000000,1984
can,382500000000,1985
can,400700000000,1986
can,417900000000,1987
can,439900000000,1988
can,448300000000,1989
can,446200000000,1990
can,451800000000,1991
can,456500000000,1992
can,466000000000,1993
can,473600000000,1994
can,483600000000,1995
can,490300000000,1996
can,495800000000,1997
can,493400000000,1998
can,505100000000,1999
can,521100000000,2000
can,520500000000,2001
can,530500000000,2002
can,543400000000,2003
can,550600000000,2004
can,559100000000,2005
can,546900000000,2006
can,555600000000,2007
can,548200000000,2008
can,509100000000,2009
