geo,traffic_total_deaths,time
mwi,2618,2004
mwi,3614,2007
mys,3451,2002
mys,3825,2004
mys,6282,2007
mdv,26,2002
mdv,60,2004
mdv,56,2007
mli,4896,2002
mli,3231,2004
mli,3959,2007
mlt,24,1995
mlt,16,1996
mlt,23,1997
mlt,15,1998
mlt,14,1999
mlt,17,2000
mlt,19,2001
mlt,17,2002
mlt,16,2003
mlt,14,2004
mlt,18,2005
mlt,11,2006
mlt,14,2007
mlt,19,2008
mhl,6,2002
mhl,7,2004
mhl,1,2007
mtq,74,2000
mtq,69,2001
mtq,53,2002
mtq,62,2003
mtq,56,2004
mtq,50,2005
mtq,56,2006
mrt,1072,2002
mrt,684,2004
mrt,1109,2007
mus,180,1998
mus,206,1999
mus,193,2000
mus,173,2001
mus,182,2002
mus,188,2003
mus,196,2004
mus,152,2005
mus,160,2006
mus,140,2007
mus,207,2008
mex,19030,1998
mex,18870,1999
mex,19240,2000
mex,18620,2001
mex,12280,2002
mex,19090,2003
mex,20640,2004
mex,20340,2005
mex,22100,2006
mex,20990,2007
fsm,7,2002
fsm,7,2004
fsm,16,2007
mda,808,1996
mda,731,1997
mda,645,1998
mda,542,1999
mda,557,2000
mda,636,2001
mda,670,2002
mda,622,2003
mda,626,2004
mda,594,2005
mda,550,2006
mda,571,2007
mda,649,2008
mco,4,2002
mco,3,2004
mng,1097,2002
mng,978,2004
mng,507,2007
mne,122,2007
mar,5699,2002
mar,5700,2004
mar,8850,2007
moz,2562,2002
moz,5238,2004
moz,7432,2007
mmr,8099,2002
mmr,7517,2004
mmr,11420,2007
nam,449,2002
nam,377,2004
nam,594,2007
nru,2,2002
nru,2,2004
nru,1,2007
npl,3763,2002
npl,3760,2004
npl,4245,2007
nld,1031,2002
nld,872,2004
nld,791,2007
ant,14,1988
ant,24,1989
ant,24,1990
ant,34,1991
ant,29,1992
ant,19,1993
ant,24,1994
ant,28,1995
ant,21,1996
ant,14,1997
ant,23,1998
ant,23,1999
ant,26,2000
nzl,568,1997
nzl,547,1998
nzl,564,1999
nzl,497,2000
nzl,485,2001
nzl,490,2002
nzl,525,2003
nzl,473,2004
