geo,mcv_immunized_percent_of_one_year_olds,time
bgd,74,1993
bgd,78,1994
bgd,79,1995
bgd,69,1996
bgd,72,1997
bgd,65,1998
bgd,71,1999
bgd,72,2000
bgd,77,2001
bgd,65,2002
bgd,69,2003
bgd,81,2004
bgd,94,2005
bgd,92,2006
bgd,95,2007
bgd,96,2008
bgd,98,2009
bgd,94,2010
bgd,96,2011
brb,41,1980
brb,47,1981
brb,53,1982
brb,55,1983
brb,84,1984
brb,88,1985
brb,84,1986
brb,85,1987
brb,84,1988
brb,85,1989
brb,87,1990
brb,92,1991
brb,90,1992
brb,92,1993
brb,97,1994
brb,92,1995
brb,99,1996
brb,92,1997
brb,97,1998
brb,86,1999
brb,94,2000
brb,93,2001
brb,91,2002
brb,90,2003
brb,98,2004
brb,93,2005
brb,92,2006
brb,75,2007
brb,94,2008
brb,94,2009
brb,85,2010
brb,93,2011
blr,94,1992
blr,96,1993
blr,97,1994
blr,93,1995
blr,96,1996
blr,97,1997
blr,98,1998
blr,98,1999
blr,98,2000
blr,99,2001
blr,99,2002
blr,99,2003
blr,99,2004
blr,99,2005
blr,97,2006
blr,99,2007
blr,99,2008
blr,99,2009
blr,99,2010
blr,99,2011
bel,50,1981
bel,58,1982
bel,66,1983
bel,74,1984
bel,82,1985
bel,90,1986
bel,50,1987
bel,75,1988
bel,75,1989
bel,85,1990
bel,67,1991
bel,87,1992
bel,70,1993
bel,78,1994
bel,85,1995
bel,73,1996
bel,76,1997
bel,80,1998
bel,82,1999
bel,82,2000
bel,82,2001
bel,82,2002
bel,82,2003
bel,82,2004
bel,88,2005
bel,92,2006
bel,92,2007
bel,93,2008
bel,95,2009
bel,95,2010
bel,95,2011
blz,21,1980
blz,40,1981
blz,51,1982
blz,43,1983
blz,43,1984
blz,49,1985
blz,85,1986
blz,53,1987
blz,59,1988
blz,71,1989
blz,86,1990
blz,76,1991
blz,69,1992
blz,80,1993
blz,82,1994
blz,83,1995
blz,81,1996
blz,85,1997
blz,84,1998
blz,82,1999
blz,96,2000
blz,94,2001
blz,88,2002
blz,96,2003
blz,97,2004
blz,95,2005
blz,99,2006
blz,96,2007
blz,96,2008
blz,97,2009
blz,98,2010
blz,98,2011
ben,23,1985
ben,20,1986
ben,26,1987
ben,30,1988
ben,48,1989
ben,79,1990
ben,60,1991
ben,70,1992
ben,67,1993
ben,78,1994
ben,65,1995
ben,60,1996
ben,66,1997
ben,67,1998
ben,69,1999
ben,70,2000
ben,68,2001
ben,66,2002
ben,65,2003
ben,63,2004
ben,61,2005
ben,66,2006
ben,70,2007
ben,66,2008
ben,72,2009
ben,69,2010
ben,72,2011
btn,21,1980
btn,21,1981
btn,20,1982
btn,21,1983
btn,36,1984
btn,44,1985
btn,51,1986
btn,58,1987
btn,64,1988
btn,79,1989
btn,93,1990
btn,89,1991
btn,86,1992
btn,84,1993
btn,81,1994
btn,85,1995
btn,85,1996
btn,84,1997
btn,71,1998
btn,77,1999
btn,78,2000
btn,78,2001
btn,78,2002
btn,88,2003
btn,87,2004
btn,93,2005
btn,90,2006
btn,95,2007
btn,99,2008
btn,94,2009
btn,95,2010
btn,95,2011
bol,13,1980
bol,17,1981
bol,15,1982
bol,13,1983
bol,20,1984
bol,21,1985
bol,55,1986
bol,57,1987
bol,58,1988
bol,59,1989
bol,53,1990
bol,54,1991
bol,57,1992
bol,57,1993
bol,64,1994
bol,58,1995
bol,61,1996
bol,51,1997
bol,65,1998
bol,79,1999
bol,84,2000
bol,88,2001
bol,91,2002
bol,96,2003
bol,90,2004
bol,89,2005
bol,88,2006
bol,83,2007
bol,87,2008
bol,86,2009
bol,79,2010
bol,84,2011
bih,52,1992
bih,48,1993
bih,57,1994
bih,53,1995
bih,70,1996
bih,86,1997
bih,84,1998
bih,83,1999
bih,80,2000
bih,92,2001
bih,89,2002
bih,84,2003
bih,88,2004
bih,90,2005
bih,85,2006
bih,96,2007
bih,84,2008
bih,93,2009
bih,91,2010
bih,89,2011
bwa,63,1980
bwa,70,1981
bwa,75,1982
bwa,79,1983
bwa,82,1984
bwa,85,1985
bwa,91,1986
bwa,87,1987
bwa,87,1988
bwa,87,1989
bwa,87,1990
bwa,88,1991
bwa,88,1992
bwa,88,1993
bwa,88,1994
bwa,89,1995
bwa,89,1996
bwa,89,1997
bwa,89,1998
bwa,90,1999
bwa,91,2000
bwa,91,2001
bwa,92,2002
bwa,92,2003
bwa,93,2004
bwa,93,2005
bwa,94,2006
bwa,94,2007
bwa,94,2008
bwa,94,2009
bwa,94,2010
bwa,94,2011
bra,57,1980
bra,73,1981
bra,66,1982
bra,68,1983
bra,73,1984
bra,67,1985
bra,67,1986
bra,64,1987
bra,62,1988
bra,60,1989
bra,78,1990
bra,85,1991
bra,91,1992
bra,85,1993
bra,77,1994
bra,87,1995
bra,80,1996
bra,99,1997
bra,94,1998
bra,98,1999
bra,99,2000
bra,99,2001
bra,95,2002
bra,99,2003
bra,99,2004
bra,99,2005
bra,99,2006
bra,99,2007
bra,99,2008
bra,99,2009
bra,99,2010
bra,97,2011
brn,73,1980
brn,80,1981
brn,88,1982
brn,94,1983
brn,90,1984
brn,98,1985
brn,99,1986
brn,99,1987
brn,99,1988
brn,99,1989
brn,99,1990
brn,96,1991
brn,92,1992
brn,99,1993
brn,99,1994
brn,99,1995
brn,99,1996
brn,98,1997
brn,99,1998
brn,94,1999
brn,99,2000
brn,99,2001
brn,99,2002
brn,98,2003
brn,99,2004
brn,98,2005
brn,97,2006
brn,97,2007
brn,99,2008
brn,99,2009
brn,94,2010
brn,91,2011
bgr,98,1980
bgr,98,1981
bgr,90,1982
bgr,98,1983
bgr,98,1984
bgr,99,1985
bgr,99,1986
bgr,99,1987
bgr,99,1988
bgr,99,1989
bgr,99,1990
bgr,98,1991
bgr,92,1992
bgr,88,1993
bgr,93,1994
bgr,94,1995
bgr,95,1996
bgr,93,1997
bgr,95,1998
bgr,96,1999
bgr,89,2000
bgr,90,2001
bgr,92,2002
bgr,96,2003
bgr,95,2004
bgr,96,2005
bgr,96,2006
bgr,96,2007
bgr,96,2008
bgr,96,2009
bgr,97,2010
bgr,95,2011
bfa,38,1985
bfa,40,1986
bfa,37,1987
bfa,52,1988
bfa,66,1989
bfa,79,1990
bfa,69,1991
bfa,60,1992
bfa,50,1993
bfa,45,1994
bfa,43,1995
bfa,40,1996
bfa,41,1997
bfa,45,1998
bfa,52,1999
bfa,59,2000
bfa,69,2001
bfa,64,2002
bfa,76,2003
bfa,78,2004
bfa,84,2005
bfa,88,2006
bfa,94,2007
bfa,94,2008
bfa,94,2009
bfa,63,2010
bfa,63,2011
bdi,28,1981
bdi,40,1982
bdi,54,1983
bdi,27,1984
bdi,32,1985
bdi,59,1986
bdi,54,1987
bdi,46,1988
bdi,73,1989
bdi,74,1990
bdi,74,1991
bdi,69,1992
bdi,69,1993
bdi,42,1994
bdi,80,1995
bdi,79,1996
bdi,77,1997
bdi,70,1998
bdi,75,1999
bdi,76,2000
bdi,76,2001
bdi,77,2002
bdi,77,2003
bdi,78,2004
bdi,87,2005
bdi,92,2006
bdi,88,2007
bdi,84,2008
bdi,91,2009
bdi,92,2010
bdi,92,2011
khm,27,1984
khm,29,1985
khm,54,1986
khm,53,1987
khm,39,1988
khm,39,1989
khm,34,1990
khm,39,1991
khm,33,1992
khm,36,1993
khm,50,1994
khm,62,1995
khm,56,1996
khm,50,1997
khm,54,1998
khm,63,1999
khm,65,2000
khm,59,2001
khm,52,2002
khm,65,2003
khm,80,2004
khm,79,2005
khm,78,2006
khm,79,2007
khm,89,2008
khm,92,2009
khm,93,2010
khm,93,2011
cmr,16,1981
cmr,21,1982
cmr,25,1983
cmr,31,1984
cmr,39,1985
cmr,44,1986
cmr,44,1987
cmr,48,1988
cmr,56,1989
cmr,56,1990
cmr,48,1991
cmr,37,1992
cmr,32,1993
cmr,38,1994
cmr,46,1995
cmr,39,1996
cmr,43,1997
cmr,47,1998
cmr,46,1999
cmr,49,2000
cmr,51,2001
cmr,53,2002
cmr,61,2003
cmr,64,2004
cmr,68,2005
cmr,73,2006
cmr,74,2007
cmr,80,2008
cmr,74,2009
cmr,79,2010
cmr,76,2011
can,70,1987
can,85,1988
can,87,1989
can,89,1990
can,92,1991
can,94,1992
can,96,1993
can,97,1994
can,96,1995
can,97,1996
can,96,1997
can,96,1998
can,96,1999
can,96,2000
can,95,2001
can,95,2002
can,95,2003
can,94,2004
can,94,2005
can,94,2006
can,94,2007
can,95,2008
can,96,2009
can,97,2010
can,98,2011
cpv,54,1985
cpv,58,1986
cpv,75,1987
cpv,80,1988
cpv,84,1989
cpv,79,1990
cpv,76,1991
cpv,82,1992
cpv,88,1993
cpv,87,1994
cpv,85,1995
cpv,84,1996
cpv,83,1997
cpv,84,1998
cpv,85,1999
cpv,86,2000
cpv,88,2001
cpv,89,2002
cpv,90,2003
cpv,91,2004
cpv,92,2005
cpv,94,2006
cpv,95,2007
cpv,96,2008
cpv,97,2009
cpv,97,2010
cpv,96,2011
caf,12,1980
caf,15,1981
caf,16,1982
caf,16,1983
caf,19,1984
caf,23,1985
caf,24,1986
caf,17,1987
caf,40,1988
caf,69,1989
caf,82,1990
caf,57,1991
caf,32,1992
caf,42,1993
caf,52,1994
caf,46,1995
caf,44,1996
caf,42,1997
caf,37,1998
caf,37,1999
caf,36,2000
caf,35,2001
caf,42,2002
caf,49,2003
caf,55,2004
caf,62,2005
caf,62,2006
caf,62,2007
caf,62,2008
caf,62,2009
caf,62,2010
caf,62,2011
tcd,10,1984
tcd,7,1985
tcd,12,1986
tcd,16,1987
tcd,17,1988
tcd,32,1989
tcd,32,1990
tcd,28,1991
tcd,25,1992
tcd,19,1993
tcd,24,1994
tcd,26,1995
tcd,22,1996
tcd,30,1997
tcd,20,1998
tcd,30,1999
tcd,28,2000
tcd,26,2001
tcd,25,2002
tcd,23,2003
tcd,16,2004
tcd,27,2005
tcd,39,2006
tcd,31,2007
tcd,27,2008
tcd,36,2009
tcd,33,2010
tcd,28,2011
chl,94,1980
chl,95,1981
chl,96,1982
chl,95,1983
chl,94,1984
chl,92,1985
chl,91,1986
chl,92,1987
chl,95,1988
chl,92,1989
chl,97,1990
chl,99,1991
chl,89,1992
chl,94,1993
chl,96,1994
chl,97,1995
chl,93,1996
chl,96,1997
chl,98,1998
chl,94,1999
chl,97,2000
chl,96,2001
chl,95,2002
chl,96,2003
chl,94,2004
chl,90,2005
chl,91,2006
chl,92,2007
chl,96,2008
chl,93,2009
chl,93,2010
chl,91,2011
chn,78,1983
chn,84,1984
chn,88,1985
chn,63,1986
chn,77,1987
chn,95,1988
chn,95,1989
chn,98,1990
chn,92,1991
chn,87,1992
chn,81,1993
chn,75,1994
chn,80,1995
chn,84,1996
chn,83,1997
chn,83,1998
chn,84,1999
chn,84,2000
chn,85,2001
chn,85,2002
chn,85,2003
chn,86,2004
chn,86,2005
chn,93,2006
chn,94,2007
chn,97,2008
chn,99,2009
chn,99,2010
chn,99,2011
col,13,1980
col,26,1981
col,28,1982
col,43,1983
col,51,1984
col,51,1985
col,45,1986
col,59,1987
col,74,1988
col,81,1989
col,82,1990
col,78,1991
col,74,1992
col,94,1993
col,84,1994
col,82,1995
col,93,1996
col,88,1997
col,78,1998
col,77,1999
col,80,2000
col,88,2001
col,93,2002
col,93,2003
col,92,2004
col,94,2005
col,95,2006
col,95,2007
col,92,2008
col,95,2009
col,88,2010
col,88,2011
com,42,1984
com,18,1985
com,71,1986
com,71,1987
com,40,1988
com,85,1989
com,87,1990
com,40,1991
com,51,1992
com,56,1993
com,59,1994
com,69,1995
com,43,1996
com,49,1997
com,67,1998
com,69,1999
com,70,2000
com,70,2001
com,71,2002
com,67,2003
com,76,2004
com,67,2005
com,66,2006
com,65,2007
com,76,2008
com,79,2009
com,72,2010
com,72,2011
cod,18,1980
cod,23,1981
cod,25,1982
cod,30,1983
cod,30,1984
cod,40,1985
cod,39,1986
cod,41,1987
cod,44,1988
cod,41,1989
cod,38,1990
cod,17,1991
cod,25,1992
cod,33,1993
cod,39,1994
cod,27,1995
cod,21,1996
cod,20,1997
cod,20,1998
cod,15,1999
cod,46,2000
cod,35,2001
cod,42,2002
cod,49,2003
cod,57,2004
cod,61,2005
cod,63,2006
cod,68,2007
cod,64,2008
cod,72,2009
cod,73,2010
cod,71,2011
cog,49,1980
cog,49,1981
cog,55,1982
cog,59,1983
cog,52,1984
cog,67,1985
cog,69,1986
cog,69,1987
cog,73,1988
cog,75,1989
cog,75,1990
cog,64,1991
cog,60,1992
cog,55,1993
cog,47,1994
cog,38,1995
cog,42,1996
cog,18,1997
cog,21,1998
cog,23,1999
cog,34,2000
cog,35,2001
cog,37,2002
cog,50,2003
cog,65,2004
cog,56,2005
cog,66,2006
cog,67,2007
cog,79,2008
cog,76,2009
cog,90,2010
cog,90,2011
cok,68,1983
cok,65,1984
cok,76,1985
cok,70,1986
cok,84,1987
cok,92,1988
cok,99,1989
cok,67,1990
cok,94,1991
cok,87,1992
cok,99,1993
cok,72,1994
cok,96,1995
cok,72,1996
cok,88,1997
cok,97,1998
cok,84,1999
cok,76,2000
cok,83,2001
cok,95,2002
cok,99,2003
cok,99,2004
cok,99,2005
cok,99,2006
cok,98,2007
cok,95,2008
cok,78,2009
cok,99,2010
cok,89,2011
cri,60,1980
cri,79,1981
cri,87,1982
cri,84,1983
cri,76,1984
cri,78,1985
cri,90,1986
cri,93,1987
cri,97,1988
cri,77,1989
cri,90,1990
cri,96,1991
cri,92,1992
cri,89,1993
cri,87,1994
cri,91,1995
cri,84,1996
cri,99,1997
cri,83,1998
cri,88,1999
cri,82,2000
cri,82,2001
cri,94,2002
cri,89,2003
cri,88,2004
cri,89,2005
cri,90,2006
cri,90,2007
cri,89,2008
cri,81,2009
cri,85,2010
cri,83,2011
civ,31,1984
civ,31,1985
civ,31,1986
civ,30,1987
civ,31,1988
civ,41,1989
civ,56,1990
civ,57,1991
civ,54,1992
civ,52,1993
civ,55,1994
civ,57,1995
civ,65,1996
civ,68,1997
civ,66,1998
civ,57,1999
civ,68,2000
civ,71,2001
civ,71,2002
civ,70,2003
civ,78,2004
civ,84,2005
civ,73,2006
civ,67,2007
civ,63,2008
civ,67,2009
civ,70,2010
civ,49,2011
hrv,90,1992
hrv,90,1993
hrv,90,1994
hrv,92,1995
hrv,92,1996
hrv,91,1997
hrv,91,1998
hrv,92,1999
hrv,93,2000
hrv,94,2001
hrv,95,2002
hrv,95,2003
hrv,96,2004
hrv,96,2005
hrv,95,2006
hrv,96,2007
hrv,98,2008
hrv,95,2009
hrv,96,2010
hrv,96,2011
cub,48,1980
cub,49,1981
cub,55,1982
cub,94,1983
cub,82,1984
cub,85,1985
cub,80,1986
cub,99,1987
cub,89,1988
cub,98,1989
cub,94,1990
cub,99,1991
cub,99,1992
cub,96,1993
cub,99,1994
cub,99,1995
cub,99,1996
cub,96,1997
cub,99,1998
cub,96,1999
cub,94,2000
cub,96,2001
cub,98,2002
cub,99,2003
cub,99,2004
cub,98,2005
cub,96,2006
cub,97,2007
cub,98,2008
cub,99,2009
cub,99,2010
cub,99,2011
cyp,29,1980
cyp,28,1981
cyp,21,1982
cyp,19,1983
cyp,25,1984
cyp,43,1985
cyp,60,1986
cyp,91,1987
cyp,74,1988
cyp,76,1989
cyp,77,1990
cyp,78,1991
cyp,80,1992
cyp,81,1993
cyp,82,1994
cyp,83,1995
cyp,90,1996
cyp,90,1997
cyp,89,1998
cyp,87,1999
cyp,86,2000
cyp,86,2001
cyp,86,2002
cyp,86,2003
cyp,86,2004
cyp,86,2005
cyp,87,2006
cyp,87,2007
cyp,87,2008
cyp,87,2009
cyp,87,2010
cyp,87,2011
cze,98,1993
cze,97,1994
cze,96,1995
cze,97,1996
cze,96,1997
cze,95,1998
cze,97,1999
cze,98,2000
cze,98,2001
cze,99,2002
cze,99,2003
cze,97,2004
cze,97,2005
cze,98,2006
cze,98,2007
cze,97,2008
cze,98,2009
cze,98,2010
cze,98,2011
cheslo,95,1980
cheslo,95,1981
cheslo,99,1982
cheslo,98,1983
cheslo,99,1984
cheslo,98,1985
cheslo,98,1986
cheslo,98,1987
cheslo,98,1988
cheslo,91,1989
cheslo,99,1990
cheslo,98,1991
cheslo,97,1992
dnk,82,1987
dnk,72,1988
dnk,80,1989
dnk,84,1990
dnk,86,1991
dnk,85,1992
dnk,81,1993
dnk,88,1994
dnk,88,1995
dnk,85,1996
dnk,84,1997
dnk,91,1998
dnk,92,1999
dnk,99,2000
dnk,94,2001
dnk,95,2002
dnk,96,2003
dnk,96,2004
dnk,95,2005
dnk,90,2006
dnk,89,2007
dnk,87,2008
dnk,84,2009
dnk,85,2010
dnk,87,2011
dji,15,1982
dji,18,1983
dji,20,1984
dji,27,1985
dji,19,1986
dji,22,1987
dji,68,1988
dji,75,1989
dji,85,1990
dji,53,1991
dji,41,1992
dji,41,1993
dji,42,1994
dji,41,1995
dji,41,1996
dji,31,1997
dji,21,1998
dji,23,1999
dji,50,2000
dji,49,2001
dji,62,2002
dji,66,2003
dji,60,2004
dji,65,2005
dji,67,2006
dji,74,2007
dji,73,2008
dji,84,2009
dji,85,2010
dji,84,2011
dma,43,1982
dma,63,1983
dma,85,1984
dma,93,1985
dma,97,1986
dma,87,1987
dma,90,1988
dma,88,1989
dma,88,1990
dma,98,1991
dma,99,1992
dma,99,1993
dma,99,1994
dma,99,1995
dma,99,1996
dma,99,1997
dma,98,1998
dma,99,1999
dma,99,2000
dma,99,2001
dma,99,2002
dma,99,2003
dma,99,2004
dma,98,2005
dma,97,2006
dma,96,2007
dma,99,2008
dma,99,2009
dma,99,2010
dma,99,2011
dom,30,1980
dom,18,1981
dom,25,1982
dom,24,1983
dom,19,1984
dom,54,1985
dom,71,1986
dom,71,1987
dom,29,1988
dom,65,1989
dom,70,1990
dom,72,1991
dom,73,1992
dom,75,1993
dom,76,1994
dom,78,1995
dom,79,1996
dom,79,1997
dom,80,1998
dom,80,1999
dom,84,2000
dom,88,2001
dom,86,2002
dom,84,2003
dom,83,2004
dom,81,2005
dom,79,2006
dom,79,2007
dom,79,2008
dom,79,2009
dom,79,2010
dom,79,2011
ecu,24,1980
ecu,31,1981
ecu,45,1982
ecu,34,1983
ecu,54,1984
ecu,51,1985
ecu,50,1986
ecu,47,1987
ecu,53,1988
ecu,57,1989
ecu,60,1990
ecu,54,1991
ecu,69,1992
ecu,85,1993
ecu,83,1994
ecu,81,1995
ecu,79,1996
ecu,77,1997
ecu,89,1998
ecu,99,1999
ecu,99,2000
ecu,99,2001
ecu,99,2002
ecu,99,2003
ecu,99,2004
ecu,93,2005
ecu,97,2006
ecu,98,2007
ecu,98,2008
ecu,98,2009
ecu,98,2010
ecu,98,2011
egy,41,1980
egy,41,1981
egy,41,1982
egy,41,1983
egy,47,1984
egy,74,1985
egy,78,1986
egy,76,1987
egy,85,1988
egy,86,1989
egy,86,1990
egy,89,1991
egy,89,1992
egy,89,1993
egy,89,1994
egy,89,1995
egy,92,1996
egy,92,1997
egy,98,1998
egy,96,1999
egy,98,2000
egy,97,2001
egy,97,2002
egy,98,2003
egy,97,2004
egy,98,2005
egy,98,2006
egy,97,2007
egy,92,2008
egy,95,2009
egy,96,2010
egy,96,2011
slv,45,1980
slv,44,1981
slv,43,1982
slv,46,1983
slv,41,1984
slv,71,1985
slv,51,1986
slv,48,1987
slv,63,1988
slv,73,1989
slv,98,1990
slv,54,1991
slv,55,1992
slv,86,1993
slv,80,1994
slv,93,1995
slv,94,1996
slv,98,1997
slv,99,1998
slv,94,1999
slv,97,2000
slv,95,2001
slv,93,2002
slv,90,2003
slv,93,2004
slv,99,2005
slv,98,2006
slv,99,2007
slv,95,2008
slv,95,2009
slv,92,2010
slv,89,2011
gnq,11,1985
gnq,17,1986
gnq,32,1987
gnq,46,1988
gnq,18,1989
gnq,88,1990
gnq,85,1991
gnq,82,1992
gnq,79,1993
gnq,80,1994
gnq,81,1995
gnq,81,1996
gnq,82,1997
gnq,82,1998
gnq,51,1999
gnq,51,2000
gnq,51,2001
gnq,51,2002
gnq,51,2003
gnq,51,2004
gnq,51,2005
gnq,51,2006
gnq,51,2007
gnq,51,2008
gnq,51,2009
gnq,51,2010
gnq,51,2011
eri,34,1993
eri,51,1994
eri,58,1995
eri,66,1996
eri,73,1997
eri,79,1998
eri,88,1999
eri,76,2000
eri,84,2001
eri,83,2002
eri,92,2003
eri,96,2004
eri,95,2005
eri,95,2006
eri,95,2007
eri,95,2008
eri,95,2009
eri,99,2010
eri,99,2011
est,74,1993
est,76,1994
est,81,1995
est,86,1996
est,88,1997
est,89,1998
est,92,1999
est,93,2000
est,95,2001
est,95,2002
est,95,2003
est,96,2004
est,96,2005
est,96,2006
est,96,2007
est,95,2008
est,95,2009
est,95,2010
est,94,2011
eth,4,1980
eth,3,1981
eth,7,1982
eth,7,1983
eth,8,1984
eth,12,1985
eth,10,1986
eth,13,1987
eth,15,1988
eth,23,1989
eth,38,1990
eth,17,1991
eth,12,1992
eth,22,1993
eth,54,1994
eth,38,1995
eth,54,1996
eth,51,1997
eth,42,1998
eth,32,1999
eth,33,2000
eth,31,2001
eth,30,2002
eth,27,2003
eth,35,2004
eth,38,2005
eth,41,2006
eth,42,2007
eth,50,2008
eth,51,2009
eth,56,2010
eth,57,2011
fji,32,1980
fji,40,1981
fji,2,1982
fji,25,1983
fji,22,1984
fji,57,1985
fji,61,1986
fji,64,1987
fji,69,1988
fji,65,1989
fji,84,1990
fji,93,1991
fji,91,1992
fji,96,1993
fji,96,1994
fji,94,1995
fji,94,1996
fji,75,1997
fji,77,1998
fji,79,1999
fji,81,2000
fji,83,2001
fji,85,2002
fji,86,2003
fji,88,2004
fji,90,2005
fji,92,2006
fji,94,2007
fji,94,2008
fji,94,2009
fji,94,2010
fji,94,2011
fin,70,1981
fin,75,1982
fin,81,1983
fin,83,1984
fin,85,1985
fin,87,1986
fin,92,1987
fin,98,1988
fin,95,1989
fin,97,1990
fin,97,1991
fin,99,1992
fin,99,1993
fin,99,1994
fin,98,1995
fin,98,1996
fin,96,1997
fin,96,1998
fin,96,1999
fin,96,2000
fin,96,2001
fin,96,2002
fin,97,2003
fin,97,2004
fin,97,2005
fin,97,2006
fin,98,2007
fin,97,2008
fin,98,2009
fin,98,2010
fin,97,2011
fra,15,1983
fra,26,1984
fra,35,1985
fra,39,1986
fra,45,1987
fra,51,1988
fra,58,1989
fra,71,1990
fra,74,1991
fra,76,1992
fra,78,1993
fra,80,1994
fra,83,1995
fra,84,1996
fra,83,1997
fra,82,1998
fra,83,1999
fra,84,2000
fra,85,2001
fra,86,2002
fra,87,2003
fra,88,2004
fra,87,2005
fra,89,2006
fra,90,2007
fra,89,2008
fra,89,2009
fra,89,2010
fra,89,2011
gab,58,1985
gab,66,1986
gab,67,1987
gab,68,1988
gab,76,1989
gab,76,1990
gab,71,1991
gab,66,1992
gab,63,1993
gab,60,1994
gab,57,1995
gab,57,1996
gab,56,1997
gab,56,1998
gab,55,1999
gab,55,2000
gab,55,2001
gab,55,2002
gab,55,2003
gab,55,2004
gab,55,2005
gab,55,2006
gab,55,2007
gab,55,2008
gab,55,2009
gab,55,2010
gab,55,2011
gmb,69,1980
gmb,70,1981
gmb,71,1982
gmb,70,1983
gmb,79,1984
gmb,75,1985
gmb,62,1986
gmb,88,1987
gmb,80,1988
gmb,85,1989
gmb,86,1990
gmb,87,1991
gmb,83,1992
gmb,87,1993
gmb,89,1994
gmb,91,1995
gmb,94,1996
gmb,91,1997
gmb,90,1998
gmb,90,1999
gmb,89,2000
gmb,89,2001
gmb,90,2002
gmb,90,2003
gmb,92,2004
gmb,91,2005
gmb,89,2006
gmb,88,2007
gmb,92,2008
gmb,96,2009
gmb,92,2010
gmb,91,2011
geo,16,1992
geo,61,1993
geo,63,1994
geo,61,1995
geo,65,1996
geo,69,1997
geo,73,1998
geo,76,1999
geo,73,2000
geo,75,2001
geo,78,2002
geo,80,2003
geo,86,2004
geo,92,2005
geo,95,2006
geo,97,2007
geo,96,2008
geo,83,2009
geo,94,2010
geo,94,2011
deu,25,1980
deu,50,1981
deu,50,1982
deu,47,1983
deu,48,1984
deu,50,1985
deu,70,1986
deu,75,1987
deu,75,1988
deu,75,1989
deu,75,1990
deu,75,1991
deu,75,1992
deu,89,1993
deu,90,1994
deu,92,1995
deu,91,1996
deu,91,1997
deu,92,1998
deu,92,1999
deu,92,2000
deu,94,2001
deu,94,2002
deu,95,2003
deu,96,2004
deu,96,2005
deu,97,2006
deu,97,2007
deu,98,2008
deu,99,2009
deu,99,2010
deu,99,2011
gha,16,1980
gha,23,1981
gha,21,1982
gha,16,1983
gha,10,1984
gha,21,1985
gha,31,1986
gha,51,1987
gha,59,1988
gha,65,1989
gha,61,1990
gha,63,1991
gha,64,1992
gha,66,1993
gha,68,1994
gha,70,1995
gha,71,1996
gha,73,1997
gha,78,1998
gha,81,1999
gha,90,2000
gha,78,2001
gha,78,2002
gha,80,2003
gha,83,2004
gha,83,2005
gha,85,2006
gha,95,2007
gha,86,2008
gha,93,2009
gha,93,2010
gha,91,2011
grc,75,1984
grc,77,1985
grc,39,1986
grc,81,1987
grc,82,1988
grc,76,1989
grc,76,1990
grc,72,1991
grc,72,1992
grc,72,1993
grc,70,1994
grc,70,1995
grc,90,1996
grc,90,1997
grc,89,1998
grc,88,1999
grc,89,2000
grc,91,2001
grc,92,2002
grc,94,2003
grc,95,2004
grc,96,2005
grc,98,2006
grc,99,2007
grc,99,2008
grc,99,2009
grc,99,2010
grc,99,2011
grd,5,1982
grd,7,1983
grd,31,1984
grd,49,1985
grd,62,1986
grd,77,1987
grd,48,1988
grd,89,1989
grd,85,1990
grd,96,1991
grd,73,1992
grd,99,1993
grd,87,1994
grd,88,1995
grd,85,1996
grd,92,1997
grd,97,1998
grd,94,1999
grd,92,2000
grd,99,2001
grd,96,2002
grd,99,2003
grd,74,2004
grd,99,2005
grd,98,2006
grd,98,2007
grd,99,2008
grd,98,2009
grd,95,2010
grd,95,2011
gtm,23,1980
gtm,8,1981
gtm,12,1982
gtm,9,1983
gtm,24,1984
gtm,23,1985
gtm,55,1986
gtm,24,1987
gtm,55,1988
gtm,60,1989
gtm,68,1990
gtm,49,1991
gtm,59,1992
gtm,71,1993
gtm,66,1994
gtm,83,1995
gtm,69,1996
gtm,74,1997
gtm,79,1998
gtm,83,1999
gtm,86,2000
gtm,91,2001
gtm,92,2002
gtm,94,2003
gtm,95,2004
gtm,93,2005
gtm,95,2006
gtm,86,2007
gtm,96,2008
gtm,92,2009
gtm,93,2010
gtm,87,2011
gin,15,1981
gin,34,1982
gin,30,1983
gin,29,1984
gin,29,1985
gin,28,1986
gin,28,1987
gin,27,1988
gin,27,1989
gin,35,1990
gin,42,1991
gin,52,1992
gin,55,1993
gin,58,1994
gin,61,1995
gin,61,1996
gin,56,1997
gin,52,1998
gin,40,1999
gin,42,2000
gin,44,2001
gin,46,2002
gin,48,2003
gin,50,2004
gin,51,2005
gin,51,2006
gin,57,2007
gin,55,2008
gin,53,2009
gin,58,2010
gin,58,2011
gnb,27,1983
gnb,31,1984
gnb,35,1985
gnb,59,1986
gnb,68,1987
gnb,52,1988
gnb,65,1989
gnb,53,1990
gnb,52,1991
gnb,60,1992
gnb,68,1993
gnb,68,1994
gnb,45,1995
gnb,49,1996
gnb,51,1997
gnb,61,1998
gnb,70,1999
gnb,71,2000
gnb,72,2001
gnb,73,2002
gnb,74,2003
gnb,75,2004
gnb,76,2005
gnb,72,2006
gnb,69,2007
gnb,65,2008
gnb,61,2009
gnb,61,2010
gnb,61,2011
guy,68,1982
guy,51,1983
guy,56,1984
guy,40,1985
guy,42,1986
guy,52,1987
guy,55,1988
guy,69,1989
guy,73,1990
guy,76,1991
guy,73,1992
guy,92,1993
