newly_hiv_infected_percent_age_15_49,geo,time
3.23,bwa,1992
4.19,bwa,1993
4.64,bwa,1994
4.8,bwa,1995
4.86,bwa,1996
4.78,bwa,1997
4.51,bwa,1998
4.1,bwa,1999
3.78,bwa,2000
3.48,bwa,2001
3.06,bwa,2002
2.7,bwa,2003
2.19,bwa,2004
2.0,bwa,2005
1.88,bwa,2006
1.78,bwa,2007
1.65,bwa,2008
1.15,bwa,2009
1.07,bwa,2010
1.0,bwa,2011
0.06,bra,2011
0.06,bgr,2011
0.36,bfa,1990
0.34,bfa,1991
0.31,bfa,1992
0.29,bfa,1993
0.27,bfa,1994
0.24,bfa,1995
0.24,bfa,1996
0.22,bfa,1997
0.2,bfa,1998
0.18,bfa,1999
0.16,bfa,2000
0.15,bfa,2001
0.14,bfa,2002
0.13,bfa,2003
0.12,bfa,2004
0.1,bfa,2005
0.1,bfa,2006
0.06,bfa,2007
0.06,bfa,2008
0.06,bfa,2009
0.06,bfa,2010
0.06,bfa,2011
0.56,bdi,1990
0.68,bdi,1991
0.87,bdi,1992
1.03,bdi,1993
1.04,bdi,1994
0.85,bdi,1995
0.52,bdi,1996
0.33,bdi,1997
0.19,bdi,1998
0.13,bdi,1999
0.1,bdi,2000
0.06,bdi,2001
0.06,bdi,2002
0.11,bdi,2003
0.12,bdi,2004
0.11,bdi,2005
0.06,bdi,2006
0.06,bdi,2007
0.06,bdi,2008
0.06,bdi,2009
0.06,bdi,2010
0.06,bdi,2011
0.19,khm,1990
0.22,khm,1991
0.24,khm,1992
0.24,khm,1993
0.22,khm,1994
0.19,khm,1995
0.16,khm,1996
0.14,khm,1997
0.12,khm,1998
0.11,khm,1999
0.06,khm,2000
0.06,khm,2001
0.06,khm,2002
0.06,khm,2003
0.06,khm,2004
0.06,khm,2005
0.06,khm,2006
0.06,khm,2007
0.06,khm,2008
0.06,khm,2009
0.06,khm,2010
0.06,khm,2011
0.35,cmr,1990
0.43,cmr,1991
0.52,cmr,1992
0.6,cmr,1993
0.68,cmr,1994
0.73,cmr,1995
0.76,cmr,1996
0.78,cmr,1997
0.78,cmr,1998
0.74,cmr,1999
0.68,cmr,2000
0.63,cmr,2001
0.61,cmr,2002
0.6,cmr,2003
0.56,cmr,2004
0.52,cmr,2005
0.48,cmr,2006
0.44,cmr,2007
0.41,cmr,2008
0.39,cmr,2009
0.38,cmr,2010
0.36,cmr,2011
0.06,can,2011
1.53,caf,1990
1.99,caf,1991
2.17,caf,1992
2.0,caf,1993
1.67,caf,1994
1.37,caf,1995
1.15,caf,1996
0.98,caf,1997
0.85,caf,1998
0.74,caf,1999
0.64,caf,2000
0.56,caf,2001
0.49,caf,2002
0.43,caf,2003
0.37,caf,2004
0.32,caf,2005
0.27,caf,2006
0.23,caf,2007
0.2,caf,2008
0.17,caf,2009
0.06,chl,2011
0.06,col,2011
0.56,cog,1990
0.41,cog,1991
0.36,cog,1992
0.35,cog,1993
0.36,cog,1994
0.38,cog,1995
0.4,cog,1996
0.41,cog,1997
0.43,cog,1998
0.43,cog,1999
0.43,cog,2000
0.43,cog,2001
0.41,cog,2002
0.4,cog,2003
0.38,cog,2004
0.34,cog,2005
0.31,cog,2006
0.3,cog,2007
0.3,cog,2008
0.28,cog,2009
0.06,cri,2011
1.03,civ,1990
1.3,civ,1991
1.46,civ,1992
1.46,civ,1993
1.3,civ,1994
1.08,civ,1995
