geo,aid_given_2007_us,time
fra,5860000000,1992
fra,5765000000,1993
fra,5808000000,1994
fra,5621000000,1995
fra,5646000000,1996
fra,5637000000,1997
fra,5012000000,1998
fra,4773000000,1999
fra,3606000000,2000
fra,3619000000,2001
fra,3623000000,2002
fra,3965000000,2003
fra,4348000000,2004
fra,4272000000,2005
fra,5258000000,2006
fra,5244000000,2007
deu,2866000000,1967
deu,1748000000,1968
deu,1741000000,1969
deu,1818000000,1970
deu,2615000000,1971
deu,2880000000,1972
deu,2966000000,1973
deu,4998000000,1974
deu,3596000000,1975
deu,3850000000,1976
deu,4630000000,1977
deu,4838000000,1978
deu,6465000000,1979
deu,6350000000,1980
deu,7103000000,1981
deu,6123000000,1982
deu,5098000000,1983
deu,6836000000,1984
deu,5653000000,1985
deu,5371000000,1986
deu,6292000000,1987
deu,6734000000,1988
deu,6304000000,1989
deu,5405000000,1990
deu,4892000000,1991
deu,4754000000,1992
deu,4972000000,1993
deu,5479000000,1994
deu,5606000000,1995
deu,6310000000,1996
deu,5136000000,1997
deu,4522000000,1998
deu,4583000000,1999
deu,3728000000,2000
deu,4417000000,2001
deu,4223000000,2002
deu,4688000000,2003
deu,5311000000,2004
deu,5150000000,2005
deu,6308000000,2006
deu,5977000000,2007
grc,22450000,1995
grc,21730000,1996
grc,39910000,1997
grc,70260000,1998
grc,96880000,1999
grc,134200000,2000
grc,142500000,2001
grc,166900000,2002
grc,277300000,2003
grc,149800000,2004
grc,171600000,2005
grc,157900000,2006
grc,206600000,2007
irl,44520000,1985
irl,36470000,1986
irl,43190000,1987
irl,33200000,1988
irl,31760000,1989
irl,21000000,1990
irl,28930000,1991
irl,40450000,1992
irl,76640000,1994
irl,120500000,1995
irl,118000000,1996
irl,133000000,1998
irl,133900000,1999
irl,187800000,2000
irl,243400000,2001
irl,340700000,2002
irl,352000000,2003
irl,350500000,2004
irl,354100000,2005
irl,468200000,2006
irl,532500000,2007
ita,1789000000,1967
ita,1956000000,1968
ita,347100000,1970
ita,601500000,1971
ita,140600000,1972
ita,155800000,1973
ita,197100000,1975
ita,171600000,1976
ita,167100000,1977
ita,156500000,1978
ita,155600000,1979
ita,213600000,1980
ita,700700000,1981
ita,1631000000,1982
ita,2209000000,1983
ita,2460000000,1984
ita,2973000000,1985
ita,4413000000,1986
ita,4759000000,1987
ita,4211000000,1988
ita,3378000000,1989
ita,2125000000,1990
ita,3073000000,1991
ita,2178000000,1992
ita,1010000000,1993
ita,494700000,1994
ita,634600000,1995
ita,485600000,1996
ita,421500000,1997
ita,208200000,1998
ita,416100000,1999
ita,587400000,2000
ita,562300000,2001
ita,397100000,2002
ita,418000000,2003
ita,634600000,2004
ita,832700000,2005
ita,810400000,2006
ita,643600000,2007
jpn,887500000,1967
jpn,397800000,1968
jpn,932900000,1969
jpn,1030000000,1970
jpn,2167000000,1971
jpn,2617000000,1972
jpn,2794000000,1973
jpn,5419000000,1974
jpn,3401000000,1975
jpn,2429000000,1976
jpn,4658000000,1977
jpn,3971000000,1978
jpn,4771000000,1979
jpn,6417000000,1980
jpn,5238000000,1981
jpn,6738000000,1982
jpn,6421000000,1983
jpn,6473000000,1984
jpn,7336000000,1985
jpn,4641000000,1986
jpn,7034000000,1987
jpn,9877000000,1988
jpn,5941000000,1989
jpn,8179000000,1990
jpn,9670000000,1991
jpn,8139000000,1992
jpn,9193000000,1993
jpn,9139000000,1994
jpn,10820000000,1995
jpn,11560000000,1996
jpn,11230000000,1997
jpn,9906000000,1998
jpn,8239000000,1999
jpn,8129000000,2000
jpn,7942000000,2001
jpn,7280000000,2002
jpn,6974000000,2003
jpn,7469000000,2004
jpn,8590000000,2005
jpn,7937000000,2006
jpn,8867000000,2007
lux,19680000,1992
lux,24890000,1993
lux,42990000,1995
lux,43890000,1996
lux,82410000,1997
lux,98950000,1998
lux,92710000,1999
lux,137500000,2000
lux,141400000,2004
lux,155500000,2005
lux,141400000,2006
lux,174700000,2007
nld,15890000,1967
nld,77440000,1968
nld,273200000,1969
nld,154400000,1970
nld,577900000,1971
nld,946800000,1972
nld,600000000,1973
nld,1371000000,1974
nld,1490000000,1975
nld,3300000000,1976
nld,2447000000,1977
nld,2507000000,1978
nld,2487000000,1979
nld,2909000000,1980
nld,2282000000,1981
nld,2033000000,1982
nld,1866000000,1983
nld,1791000000,1984
nld,1563000000,1985
nld,2255000000,1986
nld,2277000000,1987
nld,2175000000,1988
nld,2555000000,1989
nld,2306000000,1990
nld,1194000000,1991
nld,2137000000,1992
nld,2114000000,1993
nld,1461000000,1994
nld,1708000000,1995
nld,1696000000,1996
nld,1615000000,1997
nld,1597000000,1998
nld,1202000000,1999
nld,1651000000,2000
nld,2141000000,2001
nld,2775000000,2002
nld,1627000000,2003
nld,2390000000,2004
nld,2625000000,2005
nld,4923000000,2006
nld,2715000000,2007
nzl,96570000,1973
nzl,205100000,1974
nzl,170000000,1975
nzl,186400000,1976
nzl,110900000,1977
nzl,132000000,1978
nzl,121500000,1979
nzl,129800000,1980
nzl,111400000,1981
nzl,98590000,1982
nzl,81200000,1983
nzl,100000000,1984
nzl,122300000,1985
nzl,34100000,1986
nzl,56250000,1987
nzl,123600000,1988
nzl,8710000,1990
nzl,117800000,1991
nzl,85630000,1992
nzl,86790000,1993
nzl,93270000,1994
nzl,82470000,1995
nzl,106600000,1998
nzl,126400000,1999
nzl,104800000,2000
nzl,117700000,2001
nzl,106800000,2002
nzl,111200000,2003
nzl,110200000,2004
nzl,108100000,2005
nzl,142000000,2006
nzl,131900000,2007
nor,20850000,1967
nor,22950000,1968
nor,29470000,1969
nor,74440000,1970
nor,124700000,1971
nor,168200000,1972
nor,342700000,1973
nor,482000000,1974
nor,451900000,1975
nor,374100000,1976
nor,546000000,1977
nor,666000000,1978
nor,610200000,1979
nor,560700000,1980
nor,587900000,1981
nor,750000000,1982
nor,710300000,1983
nor,1038000000,1984
nor,1009000000,1985
nor,1293000000,1986
nor,865500000,1987
nor,450200000,1988
nor,548500000,1989
nor,734800000,1990
nor,871700000,1991
nor,693800000,1992
nor,749900000,1993
nor,854300000,1994
nor,1130000000,1995
nor,953500000,1996
nor,753200000,1997
nor,812800000,1998
nor,1548000000,1999
nor,952200000,2000
nor,1532000000,2001
nor,1568000000,2002
nor,1399000000,2003
nor,1429000000,2004
nor,1647000000,2005
nor,1677000000,2006
nor,2014000000,2007
prt,99130000,1992
prt,181000000,1994
prt,96170000,1995
prt,111800000,1996
prt,103000000,1997
prt,142100000,1998
prt,230000000,1999
prt,247900000,2000
prt,251000000,2001
prt,270100000,2002
prt,216800000,2003
prt,162700000,2004
prt,209200000,2005
prt,207800000,2006
prt,253500000,2007
esp,1479000000,1991
esp,1514000000,1992
esp,940000000,1993
esp,679500000,1994
esp,1091000000,1995
esp,990100000,1996
esp,903500000,1997
esp,1302000000,1998
esp,648500000,1999
esp,847200000,2000
esp,1479000000,2001
esp,1538000000,2002
esp,1426000000,2003
esp,1337000000,2004
esp,1339000000,2005
esp,1587000000,2006
esp,2610000000,2007
swe,135200000,1967
swe,125200000,1968
swe,95730000,1969
swe,249400000,1970
swe,344000000,1971
swe,304600000,1972
swe,573500000,1973
swe,1318000000,1974
swe,550800000,1975
swe,546500000,1976
swe,1243000000,1977
swe,324800000,1978
swe,962000000,1979
swe,747000000,1980
swe,783200000,1981
swe,878300000,1982
swe,714000000,1983
swe,922800000,1984
swe,889500000,1985
swe,711700000,1986
swe,766800000,1987
swe,677200000,1988
swe,1054000000,1989
swe,1064000000,1990
swe,1114000000,1991
swe,1080000000,1992
swe,1372000000,1993
swe,1161000000,1994
swe,947200000,1995
swe,1066000000,1996
swe,1080000000,1997
swe,779200000,1998
swe,845300000,1999
swe,761700000,2000
swe,1093000000,2001
swe,1151000000,2002
swe,1080000000,2003
swe,1222000000,2004
swe,1420000000,2005
swe,1618000000,2006
swe,1525000000,2007
che,37300000,1967
che,67940000,1968
che,58120000,1969
che,111000000,1970
che,83760000,1971
che,85580000,1972
che,151400000,1973
che,111200000,1974
che,175600000,1975
che,136600000,1976
che,146300000,1977
che,128500000,1978
che,253100000,1979
che,158800000,1980
che,501600000,1981
che,428400000,1982
che,510400000,1983
che,385100000,1984
che,640200000,1985
che,399100000,1986
che,461800000,1987
che,497000000,1988
che,549200000,1989
che,493800000,1990
che,624800000,1991
che,514800000,1992
che,348100000,1993
che,487600000,1994
che,248600000,1995
che,470000000,1996
che,378900000,1998
che,532900000,1999
che,532100000,2000
che,565200000,2001
che,629900000,2002
che,680600000,2003
che,701400000,2004
che,717600000,2005
che,697000000,2006
che,628400000,2007
gbr,863500000,1967
gbr,1889000000,1968
gbr,1031000000,1969
gbr,1761000000,1970
gbr,2347000000,1971
gbr,3762000000,1972
gbr,3492000000,1973
gbr,3225000000,1974
gbr,2563000000,1975
gbr,3424000000,1976
gbr,2586000000,1977
gbr,4338000000,1978
gbr,4988000000,1979
gbr,2851000000,1980
gbr,1854000000,1981
gbr,2509000000,1982
gbr,2306000000,1983
gbr,2381000000,1984
gbr,1362000000,1985
gbr,2080000000,1986
gbr,2109000000,1987
gbr,1927000000,1988
gbr,2321000000,1989
gbr,2349000000,1990
gbr,2804000000,1991
gbr,2077000000,1992
gbr,1857000000,1993
gbr,1632000000,1994
gbr,1824000000,1995
gbr,1758000000,1996
gbr,1490000000,1997
gbr,1973000000,1998
gbr,1975000000,1999
gbr,2343000000,2000
gbr,1952000000,2001
gbr,2815000000,2002
gbr,3150000000,2003
gbr,3434000000,2004
gbr,3469000000,2005
gbr,3581000000,2006
gbr,4974000000,2007
usa,7301000000,1967
usa,5497000000,1968
usa,939300000,1969
usa,1319000000,1970
usa,4082000000,1971
usa,3686000000,1972
usa,3698000000,1973
usa,3862000000,1975
usa,3522000000,1976
usa,5010000000,1978
usa,5531000000,1979
usa,6147000000,1980
usa,5392000000,1981
usa,5469000000,1982
usa,6581000000,1983
usa,8941000000,1984
usa,5629000000,1985
usa,5190000000,1986
usa,5026000000,1987
usa,5049000000,1988
usa,5068000000,1989
usa,5897000000,1990
usa,5712000000,1991
usa,5316000000,1992
usa,4889000000,1993
usa,6181000000,1994
usa,5655000000,1995
usa,4290000000,1996
usa,4524000000,1997
usa,4884000000,1998
usa,7010000000,1999
usa,8175000000,2000
usa,6664000000,2001
usa,8816000000,2002
usa,13360000000,2003
usa,19850000000,2004
usa,17910000000,2005
usa,17320000000,2006
usa,18620000000,2007
