geo,female_service_workers_percent_of_female_labour_force,time
bhr,92.8,1982
bhr,91.6,1991
bhr,85.2,2001
bgd,15.2,1984
bgd,20.3,1985
bgd,15.9,1986
bgd,2.0,1989
bgd,2.1,1991
bgd,11.0,1996
bgd,12.1,2000
bgd,23.0,2003
bgd,19.4,2005
brb,72.4,1981
brb,72.7,1982
brb,73.4,1983
brb,73.2,1984
brb,75.6,1985
brb,76.1,1986
brb,77.1,1987
brb,78.0,1988
brb,67.6,1989
brb,69.5,1990
brb,72.6,1991
brb,72.5,1992
brb,71.7,1993
brb,72.3,1994
brb,70.8,1995
brb,69.0,1996
brb,73.0,1997
brb,70.7,1998
brb,73.1,1999
brb,72.6,2000
brb,73.3,2001
brb,73.7,2002
brb,74.7,2003
brb,78.2,2004
bel,79.9,1980
bel,81.1,1981
bel,81.7,1982
bel,82.1,1983
bel,82.4,1984
bel,82.9,1985
bel,83.3,1986
bel,83.9,1987
bel,81.1,1993
bel,81.3,1994
bel,81.4,1995
bel,81.4,1996
bel,81.6,1997
bel,81.5,1998
bel,86.1,1999
bel,86.1,2000
bel,86.4,2001
bel,86.8,2002
bel,87.1,2003
bel,87.2,2004
bel,86.4,2005
bel,87.4,2006
blz,78.8,1993
blz,79.6,1994
blz,84.0,1995
blz,83.7,1996
blz,78.2,1997
blz,83.3,1998
blz,82.5,1999
blz,85.5,2005
bmu,85.7,2000
btn,31.6,2005
bol,53.0,1980
bol,53.6,1981
bol,57.0,1982
bol,55.7,1983
bol,56.5,1984
bol,56.7,1985
bol,59.2,1986
bol,59.9,1987
bol,60.0,1988
bol,86.4,1989
bol,87.3,1990
bol,83.7,1991
bol,81.8,1992
bol,83.9,1993
bol,83.4,1994
bol,82.5,1995
bol,80.2,1996
bol,79.1,1997
bol,80.9,1999
bol,82.4,2000
bol,50.5,2001
bol,52.4,2002
bwa,35.6,1985
bwa,69.4,1996
bwa,69.5,1998
bwa,67.4,2000
bwa,75.6,2001
bwa,70.6,2003
bwa,64.8,2005
bra,67.3,1981
bra,67.8,1982
bra,67.1,1983
bra,69.1,1984
bra,69.1,1985
bra,70.9,1986
bra,71.5,1987
bra,72.6,1988
bra,72.4,1989
bra,76.1,2000
bra,70.7,2002
bra,71.1,2003
bra,71.0,2004
bra,70.6,2005
bra,71.9,2006
vgb,94.1,1991
brn,88.4,2001
bgr,63.8,2003
bgr,64.1,2004
bgr,64.2,2005
bgr,65.8,2006
bgr,65.8,2007
khm,13.3,1998
khm,15.4,2000
khm,18.0,2001
cmr,22.5,2001
can,81.2,1980
can,81.5,1981
can,82.7,1982
can,82.6,1983
can,82.7,1984
can,83.2,1985
can,83.2,1986
can,84.6,1987
can,84.5,1988
can,84.7,1989
can,85.1,1990
can,85.8,1991
can,86.1,1992
can,86.7,1993
can,86.8,1994
can,86.6,1995
can,86.8,1996
can,86.6,1997
can,86.5,1998
can,86.5,1999
can,86.9,2000
can,87.3,2001
can,87.2,2002
can,87.4,2003
can,87.5,2004
can,87.9,2005
can,87.6,2006
can,88.0,2007
cym,97.9,1991
cym,95.7,2005
cym,95.5,2006
cym,93.0,2007
tcd,13.1,1993
chl,80.8,1980
chl,82.9,1981
chl,85.5,1982
chl,85.8,1983
chl,83.8,1984
chl,84.3,1985
chl,82.8,1986
chl,80.5,1987
chl,79.4,1988
chl,78.4,1989
chl,79.2,1991
chl,77.8,1993
chl,80.1,1995
chl,81.2,1997
chl,82.8,1999
chl,82.5,2001
chl,86.8,2002
chl,83.4,2003
chl,82.3,2004
chl,82.7,2005
chl,82.9,2006
chl,83.5,2007
col,73.5,1980
col,77.0,1985
col,76.0,1986
col,76.1,1987
col,75.7,1988
col,75.7,1989
col,74.3,1990
col,73.4,1991
col,73.9,1992
col,74.4,1994
col,75.1,1995
col,75.1,1996
col,77.9,1997
col,78.4,1998
col,79.4,1999
col,79.5,2000
col,76.2,2001
col,77.5,2002
col,76.6,2003
col,75.7,2004
col,75.5,2005
col,77.4,2006
col,78.1,2007
cri,73.8,1980
cri,74.0,1981
cri,73.2,1982
cri,72.9,1983
cri,69.9,1984
cri,75.4,1985
cri,72.9,1986
cri,69.9,1987
cri,68.3,1988
cri,66.8,1989
cri,68.7,1990
cri,66.5,1991
cri,69.1,1992
cri,70.1,1993
cri,71.6,1994
cri,72.2,1995
cri,74.9,1996
cri,75.9,1997
cri,75.6,1998
cri,77.2,1999
cri,77.4,2000
cri,78.5,2001
cri,80.5,2002
cri,81.0,2003
cri,82.4,2004
cri,82.2,2005
cri,82.3,2006
cri,81.6,2007
hrv,57.7,1996
hrv,59.3,1997
hrv,60.5,1998
hrv,60.5,1999
hrv,64.6,2000
hrv,63.0,2001
hrv,65.0,2002
hrv,63.5,2003
hrv,63.9,2004
hrv,62.9,2005
hrv,67.1,2006
hrv,67.1,2007
cub,70.6,1995
cub,70.6,1996
cub,70.6,1997
cub,71.9,1998
cub,71.9,1999
cub,71.9,2000
cub,75.1,2001
cub,75.1,2002
cub,75.1,2003
cub,76.0,2004
cub,77.4,2005
cub,77.8,2006
cub,79.1,2007
cyp,43.0,1980
cyp,44.4,1981
cyp,46.2,1982
cyp,48.2,1983
cyp,49.5,1984
cyp,51.6,1985
cyp,53.3,1986
cyp,54.2,1987
cyp,55.6,1988
cyp,56.9,1989
cyp,58.8,1990
cyp,60.6,1991
cyp,63.1,1992
cyp,66.6,1993
cyp,70.0,1994
cyp,71.2,1995
cyp,81.0,1999
cyp,81.4,2000
cyp,82.8,2001
cyp,83.0,2002
cyp,84.2,2003
cyp,85.1,2004
cyp,85.3,2005
cyp,86.2,2006
cyp,87.5,2007
cze,61.1,1993
cze,62.7,1994
cze,63.7,1995
cze,64.7,1996
cze,66.5,1997
cze,67.0,1998
cze,68.1,1999
cze,68.7,2000
cze,68.3,2001
cze,69.1,2002
cze,69.8,2003
cze,70.3,2004
cze,70.6,2005
cze,70.1,2006
cze,70.7,2007
dnk,80.2,1981
dnk,79.6,1983
dnk,81.2,1984
dnk,80.7,1985
dnk,80.2,1986
dnk,80.4,1987
dnk,80.6,1988
dnk,80.4,1989
dnk,80.6,1990
dnk,79.8,1991
dnk,81.3,1992
dnk,82.6,1993
dnk,82.0,1994
dnk,82.2,1995
dnk,82.7,1996
dnk,83.3,1997
dnk,83.2,1998
dnk,83.5,1999
dnk,83.8,2000
dnk,84.7,2001
dnk,84.9,2002
dnk,86.1,2003
dnk,86.3,2004
dnk,85.7,2005
dnk,86.7,2006
dnk,86.0,2007
dma,54.5,1989
dma,71.0,1991
dma,72.0,1997
dma,72.1,1999
dma,81.5,2001
dom,75.5,1996
dom,76.5,1997
dom,78.1,2000
dom,83.0,2003
dom,82.7,2004
dom,82.1,2005
ecu,81.0,1992
ecu,81.0,1993
ecu,84.1,1996
ecu,82.7,1997
ecu,82.6,1999
ecu,80.6,2000
ecu,79.0,2001
ecu,81.1,2002
ecu,81.1,2004
ecu,83.6,2005
ecu,83.0,2006
egy,68.9,1980
egy,68.1,1981
egy,71.6,1982
egy,41.2,1983
egy,37.4,1984
egy,27.8,1989
egy,37.5,1990
egy,44.2,1991
egy,37.2,1992
egy,45.4,1993
egy,45.6,1994
egy,48.3,1995
egy,51.4,1997
egy,55.6,1998
egy,56.9,1999
egy,53.7,2000
egy,58.0,2001
egy,61.9,2002
egy,54.7,2003
egy,47.5,2004
egy,48.4,2005
egy,50.6,2006
slv,68.6,1980
slv,66.5,1985
slv,70.9,1986
slv,76.5,1988
slv,75.7,1989
slv,71.2,1991
slv,62.7,1992
slv,65.5,1994
slv,66.7,1995
slv,67.9,1996
slv,71.9,1997
slv,68.5,1998
slv,71.0,1999
slv,71.9,2000
slv,73.8,2001
slv,73.7,2002
slv,74.2,2003
slv,75.0,2004
slv,75.1,2005
slv,76.2,2006
gnq,8.4,1983
est,53.0,1989
est,53.0,1990
est,54.6,1991
est,56.9,1992
est,61.2,1993
est,63.7,1994
est,65.7,1995
est,67.4,1996
est,69.5,1997
est,69.5,1998
est,70.5,1999
est,71.4,2000
est,72.9,2001
est,74.2,2002
est,73.4,2003
est,70.9,2004
est,72.3,2005
est,75.2,2006
est,75.0,2007
eth,76.0,2004
eth,16.2,2005
eth,76.6,2006
fro,83.3,2005
fin,65.1,1980
fin,66.2,1981
fin,67.5,1982
fin,69.1,1983
fin,69.9,1984
fin,71.3,1985
fin,72.1,1986
fin,73.3,1987
fin,74.7,1988
fin,75.9,1989
fin,76.2,1990
fin,77.3,1991
fin,78.3,1992
fin,79.1,1993
fin,79.6,1994
fin,79.8,1995
fin,80.5,1996
fin,81.0,1997
fin,81.1,1998
fin,81.2,1999
fin,81.9,2000
fin,82.2,2001
fin,82.8,2002
fin,83.7,2003
fin,84.4,2004
fin,84.4,2005
fin,85.2,2006
fin,85.7,2007
fra,70.5,1980
fra,71.6,1981
fra,72.5,1982
fra,78.9,1983
fra,79.5,1984
fra,75.1,1985
fra,76.0,1986
fra,76.8,1987
fra,77.5,1988
fra,78.0,1989
fra,78.4,1990
fra,79.2,1991
fra,80.1,1992
fra,81.0,1993
fra,82.8,2003
fra,83.3,2004
fra,84.1,2005
fra,85.8,2006
fra,86.1,2007
gab,35.7,1993
gmb,20.1,1993
geo,43.2,1998
geo,40.8,1999
geo,38.1,2000
geo,41.1,2001
geo,41.2,2002
geo,38.8,2003
geo,39.3,2004
geo,38.4,2005
geo,38.5,2006
geo,39.4,2007
deu,69.9,1991
deu,71.7,1992
deu,73.6,1993
deu,75.2,1994
deu,76.6,1995
deu,77.7,1996
deu,78.4,1997
deu,78.6,1998
deu,79.1,1999
deu,79.5,2000
deu,80.0,2001
deu,80.4,2002
deu,80.8,2003
deu,81.2,2004
deu,82.1,2005
deu,82.2,2006
deu,82.3,2007
deu_east,66.0,1991
deu_east,74.4,1992
deu_east,77.9,1993
deu_east,79.1,1994
gha,31.9,1992
gha,35.6,1999
grc,40.2,1981
grc,43.4,1982
grc,42.9,1983
grc,44.0,1984
grc,45.6,1985
grc,45.3,1986
grc,47.5,1987
grc,49.1,1988
grc,50.3,1989
grc,52.2,1990
grc,55.6,1991
grc,56.3,1992
grc,59.7,1993
grc,61.0,1994
grc,62.1,1995
grc,62.5,1996
grc,63.5,1997
grc,67.3,1998
grc,67.7,1999
grc,68.1,2000
grc,70.7,2001
grc,71.5,2002
grc,72.0,2003
grc,75.3,2004
grc,76.1,2005
grc,77.0,2006
grc,77.7,2007
grd,61.7,1988
grd,76.2,1994
grd,73.0,1996
grd,76.6,1998
gtm,58.8,1981
gtm,58.7,1982
gtm,65.5,1987
gtm,75.0,1990
gtm,70.2,1991
gtm,67.2,1994
gtm,58.1,1998
gtm,63.2,2000
gtm,55.6,2002
gtm,75.1,2006
gin,18.2,1994
guy,60.4,1997
guy,77.4,2002
hti,39.0,1980
hti,40.2,1981
hti,37.8,1982
hti,37.8,1983
hti,37.8,1988
hti,37.8,1990
hti,56.7,1999
hnd,80.0,1985
hnd,83.1,1986
hnd,83.0,1987
hnd,71.4,1990
hnd,69.1,1992
hnd,74.0,1993
hnd,65.2,1994
hnd,64.9,1995
hnd,63.6,1996
hnd,65.7,1997
hnd,65.7,1998
hnd,66.5,1999
hnd,63.4,2005
hkg,42.6,1980
hkg,45.1,1981
hkg,47.1,1982
hkg,49.7,1983
hkg,49.3,1984
hkg,51.4,1985
hkg,53.2,1986
hkg,54.8,1987
hkg,58.5,1988
hkg,62.5,1989
hkg,66.2,1990
hkg,69.9,1991
hkg,73.0,1992
hkg,76.9,1993
hkg,79.9,1994
hkg,80.9,1995
hkg,83.4,1996
hkg,85.4,1997
hkg,87.2,1998
hkg,88.1,1999
hkg,89.3,2000
hkg,90.0,2001
hkg,91.7,2003
hkg,92.6,2004
hkg,93.3,2005
hkg,93.5,2006
hkg,94.0,2007
hun,44.6,1980
hun,40.7,1981
hun,40.9,1982
hun,41.7,1983
hun,42.5,1984
hun,43.4,1985
hun,44.6,1986
hun,45.6,1987
hun,46.4,1988
hun,47.4,1989
hun,54.6,1990
hun,58.0,1991
hun,68.3,1994
hun,70.5,1995
hun,70.3,1996
hun,70.5,1997
hun,70.2,1998
hun,71.0,1999
hun,71.2,2000
hun,70.8,2001
hun,71.4,2002
hun,73.7,2003
hun,74.6,2004
hun,75.9,2005
hun,76.2,2006
hun,76.3,2007
isl,77.4,1991
isl,79.4,1992
isl,79.4,1993
isl,81.3,1994
isl,80.3,1995
isl,78.8,1996
isl,81.8,1997
isl,79.7,1998
isl,81.7,1999
isl,82.2,2000
isl,83.8,2001
isl,85.1,2002
isl,84.0,2003
isl,83.8,2004
isl,85.5,2005
isl,85.9,2006
isl,88.6,2007
idn,32.7,1980
idn,31.8,1982
idn,34.0,1985
idn,34.7,1986
idn,34.9,1987
idn,28.9,1988
idn,30.8,1989
idn,31.1,1990
idn,32.4,1991
idn,30.5,1992
idn,34.2,1993
idn,36.2,1994
idn,40.1,1995
idn,39.1,1996
idn,41.7,1997
idn,40.0,1998
idn,41.4,1999
idn,39.4,2001
idn,38.8,2002
idn,37.7,2003
idn,41.2,2004
idn,40.1,2005
idn,40.5,2006
irn,45.7,1996
irn,37.4,2005
irn,37.8,2007
irq,60.0,2004
irl,75.0,1983
irl,75.4,1984
irl,75.5,1985
irl,75.2,1986
irl,76.3,1987
irl,77.4,1988
irl,76.3,1989
irl,77.0,1990
irl,77.8,1991
irl,78.3,1992
irl,79.2,1993
irl,78.6,1994
irl,78.7,1995
irl,80.1,1996
irl,79.6,1997
irl,80.3,1998
irl,81.5,1999
irl,81.8,2000
irl,82.8,2001
irl,84.3,2002
irl,84.9,2003
irl,84.8,2004
irl,85.7,2005
irl,87.0,2006
gbm,94.0,2001
gbm,95.4,2006
isr,79.4,1980
isr,80.4,1981
isr,81.1,1982
isr,81.5,1983
isr,81.1,1984
isr,80.8,1985
isr,81.0,1986
isr,80.4,1987
isr,81.4,1988
isr,82.3,1989
isr,82.3,1990
isr,82.9,1991
isr,82.9,1992
isr,82.5,1993
isr,82.4,1994
isr,83.4,1995
isr,83.6,1996
isr,84.3,1997
isr,85.3,1998
isr,85.8,1999
isr,86.4,2000
isr,87.0,2001
isr,87.4,2002
isr,87.9,2003
isr,87.5,2004
isr,88.0,2005
isr,88.4,2006
isr,88.0,2007
ita,56.3,1980
ita,57.8,1981
ita,59.6,1982
ita,60.6,1983
ita,62.9,1984
ita,64.3,1985
ita,65.2,1986
ita,66.6,1987
ita,67.4,1988
ita,67.7,1989
ita,68.2,1990
ita,69.1,1991
ita,69.9,1992
ita,69.5,1993
ita,69.9,1994
ita,70.6,1995
ita,71.7,1996
ita,72.0,1997
ita,72.5,1998
ita,73.8,1999
ita,74.3,2000
ita,74.9,2001
ita,75.6,2002
ita,76.1,2003
ita,78.5,2004
ita,79.2,2005
ita,79.9,2006
ita,80.3,2007
jam,71.7,1992
jam,75.1,1993
jam,75.0,1994
jam,75.8,1995
jam,76.9,1996
jam,79.7,1997
jam,81.5,1998
jam,83.3,1999
jam,84.1,2000
jam,84.2,2001
jam,83.2,2002
jam,84.7,2003
jam,85.7,2004
jam,86.0,2005
jam,86.8,2006
jpn,58.2,1980
jpn,58.7,1981
jpn,59.5,1982
jpn,60.1,1983
jpn,60.3,1984
jpn,60.6,1985
jpn,61.6,1986
jpn,62.5,1987
jpn,62.8,1988
jpn,63.0,1989
jpn,63.6,1990
jpn,64.2,1991
jpn,65.0,1992
jpn,66.2,1993
jpn,67.3,1994
jpn,68.1,1995
jpn,68.7,1996
jpn,69.3,1997
jpn,70.9,1998
jpn,71.7,1999
jpn,72.4,2000
jpn,73.4,2001
jpn,74.6,2002
jpn,74.9,2003
jpn,76.0,2004
jpn,76.8,2005
jpn,76.9,2006
jpn,77.1,2007
jor,87.6,1983
jor,92.8,1986
jor,87.4,1987
jor,83.0,2000
jor,82.8,2001
jor,85.0,2002
jor,84.0,2003
kaz,67.9,1999
kaz,56.1,2001
kaz,55.6,2002
kaz,55.8,2003
kaz,57.6,2004
kir,95.8,2000
kor,37.2,1980
kor,38.4,1981
kor,42.2,1982
kor,44.3,1983
kor,45.7,1984
kor,47.8,1985
kor,47.5,1986
kor,46.3,1987
kor,46.4,1988
kor,47.3,1989
kor,49.6,1990
kor,51.7,1991
kor,55.1,1992
kor,58.3,1993
kor,60.6,1994
kor,62.2,1995
kor,64.0,1996
kor,66.2,1997
kor,67.2,1998
kor,68.1,1999
kor,68.6,2000
kor,70.1,2001
kor,71.1,2002
kor,71.8,2003
kor,72.8,2004
kor,74.4,2005
kor,75.3,2006
kor,76.1,2007
kwt,98.0,1983
kwt,98.0,1988
kgz,41.8,1996
kgz,41.2,1997
kgz,40.8,1998
kgz,38.4,1999
kgz,38.0,2000
kgz,38.1,2001
kgz,43.9,2002
kgz,47.0,2003
kgz,50.3,2004
kgz,52.3,2005
kgz,53.8,2006
lao,7.9,1995
lva,66.1,1996
lva,61.8,1997
lva,64.0,1998
lva,67.4,1999
lva,69.0,2000
lva,69.9,2001
lva,70.8,2002
lva,71.2,2003
lva,71.1,2004
lva,74.8,2005
lva,74.8,2006
lva,76.0,2007
lso,44.5,1996
lso,41.4,1997
lso,25.3,1999
ltu,60.6,1997
ltu,62.1,1998
ltu,63.2,1999
ltu,64.6,2000
ltu,66.5,2001
ltu,65.0,2002
ltu,63.9,2003
ltu,66.3,2004
ltu,67.8,2005
ltu,70.3,2006
ltu,72.4,2007
lux,83.2,1983
lux,84.3,1984
lux,84.7,1985
lux,85.0,1986
lux,85.7,1987
lux,87.6,1988
lux,88.1,1989
lux,88.7,1990
mac,43.2,1989
mac,49.0,1990
mac,55.1,1992
mac,61.6,1993
mac,64.8,1994
mac,65.1,1995
mac,67.2,1996
mac,66.6,1997
mac,65.7,1998
mac,66.1,1999
mac,69.6,2000
mac,65.5,2001
mac,68.6,2002
mac,71.1,2003
mac,73.8,2004
mac,76.6,2005
mac,81.7,2006
mac,85.5,2007
mdg,14.6,2003
mdg,15.9,2005
mys,36.3,1980
mys,37.3,1981
mys,41.5,1982
mys,42.4,1983
mys,44.2,1984
mys,45.7,1985
mys,46.6,1986
mys,48.0,1987
mys,47.9,1988
mys,46.4,1989
mys,46.8,1990
mys,44.8,1991
mys,47.8,1992
mys,49.1,1993
mys,51.8,1995
mys,53.4,1996
mys,56.0,1997
mys,56.7,1998
mys,57.8,1999
mys,57.0,2000
mys,58.3,2001
mys,61.1,2002
mys,62.1,2003
mys,64.6,2004
mys,65.4,2005
mys,65.2,2006
mys,67.2,2007
mdv,42.9,1990
mdv,44.2,1995
mdv,39.0,2000
mdv,55.7,2003
mdv,55.9,2006
mli,55.3,2004
mlt,76.3,2000
mlt,78.3,2001
mlt,76.7,2002
mlt,80.1,2003
mlt,80.6,2004
mlt,82.4,2005
mlt,84.4,2006
mlt,85.5,2007
mhl,67.7,1999
mtq,89.0,1990
mus,38.9,1992
mus,42.3,1994
mus,44.8,1995
mus,45.2,1996
mus,46.0,1997
mus,46.1,1998
mus,46.7,1999
mus,47.4,2001
mus,50.9,2002
mus,53.8,2003
mus,60.5,2004
mus,62.2,2005
mus,64.3,2006
mus,66.1,2007
mex,70.3,1990
mex,70.6,1991
mex,71.5,1993
mex,74.7,1995
mex,72.1,1996
mex,69.5,1997
mex,71.5,1998
mex,70.0,1999
mex,70.9,2000
mex,71.9,2001
mex,73.1,2002
mex,75.0,2003
mex,74.9,2004
mex,75.2,2005
mex,75.7,2006
mex,76.9,2007
mng,43.6,1993
mng,42.2,1994
mng,38.9,1995
mng,40.0,1996
mng,39.5,1997
mng,38.7,1998
mng,39.4,1999
mng,42.2,2000
mng,42.6,2001
mng,44.4,2002
mng,46.3,2003
mng,48.7,2004
mng,48.4,2005
mne,75.6,2003
mne,82.0,2005
msr,86.3,1991
mar,46.5,1990
mar,49.5,1991
mar,51.2,1992
mar,52.5,1993
mar,37.5,1994
mar,49.5,1995
mar,46.3,1996
mar,48.6,1997
mar,51.5,1998
mar,54.0,1999
mar,58.3,2001
mar,23.9,2002
mar,24.5,2003
mar,22.8,2004
mar,22.6,2005
mar,24.1,2006
nam,39.8,1991
nam,52.3,1997
nam,63.3,2000
nam,65.4,2004
npl,7.5,1991
npl,9.6,1999
npl,13.2,2001
nld,83.9,1980
nld,85.1,1982
nld,85.4,1984
nld,86.2,1986
nld,85.1,1988
nld,85.0,1989
nld,84.4,1990
nld,85.2,1991
nld,81.8,1992
nld,83.3,1993
nld,84.3,1994
nld,83.0,1995
nld,85.0,1996
nld,84.5,1997
nld,85.0,1998
nld,85.2,1999
nld,85.5,2000
nld,86.2,2001
nld,86.7,2002
nld,87.2,2003
nld,84.2,2004
nld,85.1,2005
ant,93.7,1983
ant,93.9,1984
ant,94.0,1985
ant,94.5,1986
ant,93.3,1992
ant,93.7,1993
ant,94.2,1994
ant,93.8,1995
ant,93.9,1996
ant,93.8,1997
ant,94.3,1998
ant,93.9,2000
ncl,85.7,1996
nzl,74.0,1986
nzl,76.0,1987
nzl,77.2,1988
nzl,77.8,1989
nzl,77.7,1990
nzl,78.4,1991
nzl,79.4,1992
nzl,78.5,1993
nzl,78.4,1994
nzl,79.1,1995
nzl,79.6,1996
nzl,81.1,1997
nzl,80.9,1998
nzl,80.6,1999
nzl,81.4,2000
nzl,82.0,2001
nzl,82.8,2002
nzl,83.4,2003
nzl,83.4,2004
nzl,84.3,2005
nzl,84.1,2006
nzl,84.6,2007
nic,72.2,2003
nic,72.6,2004
nic,72.2,2005
nic,73.2,2006
nga,66.8,1983
nga,56.7,1986
niu,84.4,2001
mnp,58.0,1990
mnp,90.6,1995
nor,80.3,1980
nor,81.0,1981
nor,81.5,1982
nor,82.9,1983
nor,83.7,1984
nor,83.0,1985
nor,82.3,1986
nor,83.5,1987
nor,83.7,1988
nor,84.3,1989
nor,84.7,1990
nor,86.2,1991
nor,86.4,1992
nor,86.6,1993
nor,86.8,1994
nor,86.7,1995
nor,86.7,1996
nor,87.3,1997
nor,87.6,1998
nor,88.0,1999
nor,88.4,2000
nor,88.7,2001
nor,89.1,2002
nor,89.2,2003
nor,89.9,2004
nor,90.4,2005
nor,90.5,2006
nor,90.6,2007
omn,86.1,1993
omn,87.8,1996
omn,80.2,2000
pak,13.1,1985
pak,11.7,1986
pak,12.3,1987
pak,13.4,1988
pak,13.4,1989
pak,13.5,1990
pak,19.3,1991
pak,15.8,1992
pak,18.5,1993
pak,16.7,1994
pak,21.9,1995
pak,21.9,1996
pak,23.1,1997
pak,20.8,1998
pak,20.8,1999
pak,18.1,2001
pak,19.8,2003
pak,17.6,2005
pak,15.0,2007
pan,81.3,1982
pan,81.8,1983
pan,83.5,1984
pan,81.9,1985
pan,83.2,1986
pan,85.4,1992
pan,85.6,1993
pan,86.0,1994
pan,85.0,1995
pan,84.8,1996
pan,85.9,1997
pan,87.1,1998
pan,87.5,1999
pan,89.1,2000
pan,87.8,2001
pan,87.6,2002
pan,87.5,2003
pan,88.1,2004
pan,86.4,2005
pan,86.7,2006
pan,86.9,2007
pry,86.1,1982
pry,83.9,1983
pry,82.5,1984
pry,81.9,1985
pry,83.6,1986
pry,83.1,1987
pry,84.8,1988
pry,83.1,1989
pry,55.5,1995
pry,75.3,1997
pry,75.2,1998
pry,71.8,1999
pry,69.6,2000
pry,69.2,2001
pry,70.6,2002
pry,69.8,2003
pry,67.6,2007
per,81.6,1987
per,79.7,1990
per,83.1,1995
per,84.2,1996
per,83.1,1997
per,85.9,1998
per,85.6,1999
per,84.6,2000
per,83.8,2001
per,49.6,2002
per,50.6,2003
per,49.0,2004
per,49.5,2005
per,49.4,2006
per,51.2,2007
phl,47.8,1980
phl,48.7,1981
phl,47.8,1982
phl,46.9,1983
phl,51.4,1984
phl,52.2,1985
phl,52.4,1986
phl,54.2,1987
phl,54.2,1988
phl,54.8,1989
phl,55.8,1990
phl,56.1,1991
phl,54.5,1992
phl,54.1,1993
phl,56.0,1994
phl,55.6,1995
phl,55.1,1996
phl,56.6,1997
phl,58.1,1998
phl,51.3,1999
phl,62.3,2000
phl,63.1,2001
phl,63.3,2002
phl,63.1,2003
phl,63.6,2004
phl,63.5,2005
phl,64.3,2006
phl,65.0,2007
pol,54.6,1994
pol,56.5,1995
pol,57.7,1996
pol,59.0,1997
pol,60.3,1998
pol,62.4,1999
pol,62.7,2000
pol,62.5,2001
pol,64.0,2002
pol,65.2,2003
pol,65.6,2004
pol,66.2,2005
pol,67.5,2006
pol,67.9,2007
prt,39.5,1980
prt,41.1,1981
prt,41.5,1982
prt,45.9,1983
prt,47.5,1984
prt,47.1,1985
prt,49.2,1986
prt,48.2,1987
prt,50.1,1988
prt,51.6,1989
prt,53.0,1990
prt,54.7,1991
prt,62.8,1992
prt,63.5,1993
prt,62.9,1994
prt,64.7,1995
prt,64.5,1996
prt,63.7,1997
prt,60.7,1998
prt,62.3,1999
prt,62.9,2000
prt,63.1,2001
prt,64.6,2002
prt,65.9,2003
prt,67.5,2004
prt,68.4,2005
prt,68.7,2006
prt,69.4,2007
pri,74.7,1980
pri,74.7,1981
pri,74.9,1982
pri,74.5,1983
pri,75.6,1984
pri,76.6,1985
pri,76.6,1986
pri,77.4,1987
pri,77.6,1988
pri,77.5,1989
pri,80.5,1991
pri,80.3,1992
pri,80.3,1993
pri,81.4,1994
pri,81.8,1995
pri,83.3,1996
pri,84.3,1997
pri,85.7,1998
pri,85.1,1999
pri,85.0,2000
pri,86.1,2001
pri,88.6,2002
pri,87.8,2003
pri,88.6,2004
pri,88.6,2005
pri,88.4,2006
