geo,health_aid_given_percent_of_aid,time
can,5.727,1998
can,3.825,1999
can,3.78,2000
can,8.774,2001
can,7.968,2002
can,13.08,2003
can,7.89,2004
can,18.61,2005
can,13.04,2006
can,22.46,2007
dnk,20.1,1973
dnk,5.142,1974
dnk,8.175,1975
dnk,11.63,1976
dnk,17.08,1977
dnk,2.653,1978
dnk,15.5,1979
dnk,20.46,1980
dnk,29.11,1981
dnk,3.959,1982
dnk,3.539,1983
dnk,5.124,1984
dnk,0.8992,1985
dnk,7.037,1987
dnk,0.6133,1988
dnk,10.19,1989
dnk,8.002,1990
dnk,17.12,1991
dnk,23.75,1992
dnk,13.16,1993
dnk,7.807,1994
dnk,15.64,1995
dnk,25.73,1996
dnk,4.288,1997
dnk,2.106,1998
dnk,17.93,1999
dnk,3.384,2000
dnk,7.133,2001
dnk,8.76,2002
dnk,11.97,2003
dnk,10.75,2004
dnk,7.253,2005
dnk,14.18,2006
dnk,8.194,2007
fin,5.742,1973
fin,11.09,1974
fin,14.21,1975
fin,1.906,1976
fin,1.665,1977
fin,1.182,1978
fin,1.383,1979
fin,2.851,1980
fin,5.453,1981
fin,8.427,1982
fin,3.701,1983
fin,10.07,1984
fin,11.16,1985
fin,16.37,1986
fin,8.009,1988
fin,12.41,1989
fin,7.607,1990
fin,1.633,1991
fin,3.315,1992
fin,2.255,1993
fin,12.49,1994
fin,6.146,1995
fin,7.811,1996
fin,3.676,1997
fin,13.64,1998
fin,12.07,1999
fin,7.563,2000
fin,6.921,2001
fin,15.74,2002
fin,11.11,2003
fin,5.871,2004
fin,5.757,2005
fin,12.23,2006
fin,5.426,2007
fra,0.9318,1971
fra,0.7459,1972
fra,4.869,1973
fra,9.009,1974
fra,10.58,1975
fra,12.93,1976
fra,12.41,1977
fra,14.32,1978
fra,12.15,1979
fra,10.52,1980
fra,11.58,1981
fra,11.97,1982
fra,12.25,1983
fra,9.969,1984
fra,5.638,1985
fra,3.453,1986
fra,6.81,1987
fra,6.772,1988
fra,4.897,1989
fra,4.357,1990
fra,5.036,1991
fra,4.046,1992
fra,3.688,1993
fra,5.342,1994
fra,6.233,1995
fra,5.039,1996
fra,4.471,1997
fra,6.085,1998
fra,5.311,1999
fra,5.241,2000
fra,7.308,2001
fra,8.504,2002
fra,6.2,2003
fra,8.161,2004
fra,7.551,2005
fra,5.744,2006
fra,3.315,2007
deu,0.4482,1971
deu,3.465,1973
deu,2.081,1974
deu,2.482,1975
deu,1.244,1976
deu,1.843,1977
deu,1.731,1978
deu,1.322,1979
deu,3.415,1980
deu,1.829,1981
deu,3.822,1982
deu,2.559,1983
deu,1.109,1984
deu,1.962,1985
deu,2.482,1986
deu,1.869,1987
deu,2.531,1988
deu,1.958,1989
deu,1.781,1990
deu,2.15,1991
deu,1.826,1992
deu,3.262,1993
deu,3.541,1994
deu,3.576,1995
deu,2.522,1996
deu,3.371,1997
deu,2.982,1998
deu,3.688,1999
deu,2.109,2000
deu,2.689,2001
deu,5.5,2002
deu,3.821,2003
deu,2.67,2004
deu,2.704,2005
deu,4.357,2006
deu,4.192,2007
grc,12.65,1995
grc,12.66,1996
grc,25.26,1997
grc,16.68,1998
grc,5.595,1999
grc,5.44,2000
grc,7.124,2001
grc,3.386,2002
grc,10.44,2003
grc,16.82,2004
grc,21.59,2005
grc,16.98,2006
grc,13.62,2007
irl,19.16,1985
irl,7.513,1986
irl,14.52,1987
irl,12.53,1988
irl,10.39,1989
irl,14.9,1990
irl,12.03,1991
irl,10.58,1992
irl,12.42,1994
irl,22.57,1995
irl,22.57,1996
irl,20.45,1998
irl,18.95,1999
irl,21.53,2000
irl,20.89,2001
irl,32.07,2002
irl,30.17,2003
irl,31.15,2004
irl,31.5,2005
irl,18.01,2006
irl,23.36,2007
ita,4.925,1975
ita,10.39,1977
ita,11.56,1978
ita,15.51,1979
ita,5.258,1980
ita,6.12,1981
ita,7.497,1982
ita,7.698,1983
ita,6.834,1984
ita,8.936,1985
ita,8.475,1986
ita,8.051,1987
ita,14.39,1988
ita,7.954,1989
ita,7.408,1990
ita,4.442,1991
ita,5.799,1992
ita,11.69,1993
ita,11.01,1994
ita,10.32,1995
ita,15.97,1996
ita,7.259,1997
ita,7.267,1998
ita,11.96,1999
ita,11.84,2000
ita,5.095,2001
ita,8.905,2002
ita,20.62,2003
ita,8.609,2004
ita,14.01,2005
ita,13.0,2006
ita,14.26,2007
jpn,1.055,1971
jpn,1.971,1972
jpn,2.563,1973
jpn,0.4567,1974
jpn,1.075,1975
jpn,1.106,1976
jpn,1.426,1977
jpn,4.227,1978
jpn,3.357,1979
jpn,3.109,1980
jpn,7.578,1981
jpn,4.669,1982
jpn,4.272,1983
jpn,4.418,1984
jpn,4.463,1985
jpn,4.566,1986
jpn,2.77,1987
jpn,2.679,1988
jpn,3.636,1989
jpn,2.869,1990
jpn,2.175,1991
jpn,2.399,1992
jpn,3.467,1993
jpn,2.503,1994
jpn,2.093,1995
jpn,2.996,1996
jpn,2.837,1997
jpn,3.37,1998
jpn,3.506,1999
jpn,3.045,2000
jpn,3.567,2001
jpn,4.299,2002
jpn,4.02,2003
jpn,6.656,2004
jpn,2.219,2005
jpn,3.698,2006
jpn,3.368,2007
lux,36.48,1992
lux,29.97,1993
lux,28.75,1995
lux,28.73,1996
lux,32.16,1997
lux,31.43,1998
lux,22.38,1999
lux,23.83,2000
lux,26.1,2004
lux,25.99,2005
lux,23.58,2006
lux,21.16,2007
nld,1.351,1971
nld,0.7393,1972
nld,7.274,1973
nld,5.971,1974
nld,6.585,1975
nld,14.41,1976
nld,7.555,1977
nld,7.771,1978
nld,6.991,1979
nld,4.789,1980
nld,7.075,1981
nld,7.079,1982
nld,6.456,1983
nld,3.538,1984
nld,7.204,1985
nld,4.757,1986
nld,4.369,1987
nld,4.888,1988
nld,3.662,1989
nld,5.859,1990
nld,4.32,1991
nld,7.199,1992
nld,5.515,1993
nld,8.725,1994
nld,9.824,1995
nld,12.38,1996
nld,7.701,1997
nld,6.564,1998
nld,12.21,1999
nld,8.494,2000
nld,8.082,2001
nld,8.678,2002
nld,8.678,2003
nld,7.58,2004
nld,5.207,2005
nld,12.78,2006
nld,4.44,2007
nzl,6.979,1973
nzl,10.73,1974
nzl,5.199,1975
nzl,0.778,1976
nzl,9.781,1977
nzl,7.49,1978
nzl,2.247,1979
nzl,9.871,1980
nzl,6.146,1981
nzl,1.897,1982
nzl,3.682,1983
nzl,2.72,1984
nzl,1.455,1985
nzl,3.076,1987
nzl,2.16,1988
nzl,3.592,1991
nzl,3.912,1992
nzl,2.546,1993
nzl,3.099,1994
nzl,3.104,1995
nzl,7.381,1998
nzl,6.217,1999
nzl,5.649,2000
nzl,5.956,2001
nzl,5.536,2002
nzl,9.263,2003
nzl,8.323,2004
nzl,11.52,2005
nzl,9.244,2006
nzl,5.965,2007
nor,3.528,1971
nor,3.485,1972
nor,7.744,1973
nor,12.98,1974
nor,21.15,1975
nor,9.831,1976
nor,2.137,1977
nor,23.11,1978
nor,13.34,1979
nor,7.048,1980
nor,15.09,1981
nor,9.563,1982
nor,5.075,1983
nor,9.128,1984
nor,11.22,1985
nor,19.07,1986
nor,12.41,1987
nor,4.72,1988
nor,5.812,1989
nor,4.906,1990
nor,3.611,1991
nor,7.596,1992
nor,1.538,1993
nor,8.117,1994
nor,6.824,1995
nor,4.395,1996
nor,7.956,1997
nor,6.503,1998
nor,8.633,1999
nor,4.378,2000
nor,14.78,2001
nor,8.179,2002
nor,10.77,2003
nor,7.535,2004
nor,11.5,2005
nor,12.29,2006
nor,7.281,2007
prt,3.188,1992
prt,4.133,1994
prt,10.52,1995
prt,11.37,1996
prt,16.26,1997
prt,8.052,1998
prt,5.975,1999
prt,4.458,2000
prt,5.25,2001
prt,4.898,2002
prt,4.995,2003
prt,7.042,2004
prt,5.549,2005
prt,5.607,2006
prt,4.249,2007
esp,2.046,1991
esp,8.068,1992
esp,12.38,1993
esp,9.351,1994
esp,13.12,1995
esp,27.3,1996
esp,15.56,1997
esp,12.96,1998
esp,10.58,1999
esp,8.526,2000
esp,11.03,2001
esp,9.665,2002
esp,9.385,2003
esp,9.432,2004
esp,10.3,2005
esp,7.455,2006
esp,7.398,2007
swe,0.7327,1971
swe,20.69,1972
swe,37.44,1973
swe,7.833,1974
swe,12.15,1975
swe,13.63,1976
swe,9.842,1977
swe,12.23,1978
swe,12.2,1979
swe,6.462,1980
swe,9.62,1981
swe,8.548,1982
swe,9.068,1983
swe,6.582,1984
swe,12.49,1985
swe,9.01,1986
swe,11.29,1987
swe,11.89,1988
swe,9.49,1989
swe,12.24,1990
swe,13.23,1991
swe,14.7,1992
swe,12.14,1993
swe,14.0,1994
swe,15.71,1995
swe,13.78,1996
swe,10.24,1997
swe,7.59,1998
swe,7.919,1999
swe,12.45,2000
swe,3.576,2001
swe,8.197,2002
swe,8.611,2003
swe,9.272,2004
swe,8.886,2005
swe,10.67,2006
swe,11.82,2007
che,1.648,1971
che,1.449,1972
che,7.609,1973
che,3.778,1974
che,0.1196,1975
che,0.9957,1976
che,5.558,1977
che,4.677,1978
che,8.48,1979
che,6.241,1980
che,5.347,1981
che,2.801,1982
che,6.152,1983
che,1.392,1984
che,4.202,1986
che,6.29,1987
che,7.573,1988
che,9.078,1989
che,12.33,1990
che,6.567,1991
che,4.539,1992
che,5.794,1993
che,6.406,1994
che,3.975,1995
che,5.355,1996
che,5.099,1998
che,9.365,1999
che,7.97,2000
che,8.907,2001
che,7.05,2002
che,4.951,2003
che,5.613,2004
che,5.384,2005
che,6.255,2006
che,6.899,2007
gbr,0.654,1971
gbr,1.058,1972
gbr,4.508,1973
gbr,2.166,1974
gbr,1.608,1975
gbr,0.3014,1976
gbr,3.881,1977
gbr,1.761,1978
gbr,1.966,1979
gbr,2.418,1980
gbr,2.911,1981
gbr,2.063,1982
gbr,3.226,1983
gbr,3.938,1984
gbr,7.775,1985
gbr,6.199,1986
gbr,3.816,1987
gbr,4.21,1988
gbr,4.369,1989
gbr,6.892,1990
gbr,3.512,1991
gbr,6.68,1992
gbr,7.838,1993
gbr,8.568,1994
gbr,9.15,1995
gbr,10.83,1996
gbr,16.48,1997
gbr,10.29,1998
gbr,9.99,1999
gbr,15.42,2000
gbr,10.82,2001
gbr,16.98,2002
gbr,13.94,2003
gbr,8.301,2004
gbr,9.485,2005
gbr,12.32,2006
gbr,11.97,2007
usa,4.365,1971
usa,1.616,1972
usa,17.4,1973
usa,15.51,1975
usa,14.14,1976
usa,15.37,1978
usa,13.68,1979
usa,15.51,1980
usa,16.23,1981
usa,14.28,1982
usa,14.36,1983
usa,7.031,1984
usa,19.2,1985
usa,19.74,1986
usa,13.17,1987
usa,12.97,1988
usa,14.0,1989
usa,10.31,1990
usa,10.28,1991
usa,10.28,1992
usa,10.28,1993
usa,11.36,1994
usa,12.51,1995
usa,12.51,1996
usa,8.08,1997
usa,7.621,1998
usa,7.357,1999
usa,5.32,2000
usa,7.382,2001
usa,8.843,2002
usa,5.885,2003
usa,5.659,2004
usa,6.593,2005
usa,8.001,2006
usa,6.096,2007
