geo,aid_given_percent_of_gni,time
fin,0.21,1979
fin,0.22,1980
fin,0.27,1981
fin,0.29,1982
fin,0.32,1983
fin,0.35,1984
fin,0.4,1985
fin,0.46,1986
fin,0.5,1987
fin,0.6,1988
fin,0.64,1989
fin,0.65,1990
fin,0.8,1991
fin,0.64,1992
fin,0.45,1993
fin,0.31,1994
fin,0.31,1995
fin,0.33,1996
fin,0.32,1997
fin,0.31,1998
fin,0.33,1999
fin,0.31,2000
fin,0.32,2001
fin,0.35,2002
fin,0.35,2003
fin,0.37,2004
fin,0.46,2005
fin,0.4,2006
fin,0.39,2007
fin,0.43,2008
fra,1.35,1960
fra,1.36,1961
fra,1.27,1962
fra,0.98,1963
fra,0.9,1964
fra,0.76,1965
fra,0.69,1966
fra,0.71,1967
fra,0.67,1968
fra,0.67,1969
fra,0.52,1970
fra,0.51,1971
fra,0.49,1972
fra,0.43,1973
fra,0.44,1974
fra,0.44,1975
fra,0.41,1976
fra,0.38,1977
fra,0.39,1978
fra,0.42,1979
fra,0.44,1980
fra,0.51,1981
fra,0.56,1982
fra,0.56,1983
fra,0.62,1984
fra,0.61,1985
fra,0.56,1986
fra,0.6,1987
fra,0.58,1988
fra,0.61,1989
fra,0.6,1990
fra,0.62,1991
fra,0.63,1992
fra,0.63,1993
fra,0.62,1994
fra,0.55,1995
fra,0.48,1996
fra,0.44,1997
fra,0.38,1998
fra,0.38,1999
fra,0.3,2000
fra,0.31,2001
fra,0.37,2002
fra,0.4,2003
fra,0.41,2004
fra,0.47,2005
fra,0.47,2006
fra,0.38,2007
fra,0.39,2008
deu,0.31,1960
deu,0.45,1961
deu,0.45,1962
deu,0.41,1963
deu,0.44,1964
deu,0.4,1965
deu,0.34,1966
deu,0.41,1967
deu,0.42,1968
deu,0.38,1969
deu,0.32,1970
deu,0.34,1971
deu,0.32,1972
deu,0.32,1973
deu,0.38,1974
deu,0.4,1975
deu,0.36,1976
deu,0.33,1977
deu,0.37,1978
deu,0.45,1979
deu,0.44,1980
deu,0.47,1981
deu,0.48,1982
deu,0.48,1983
deu,0.45,1984
deu,0.47,1985
deu,0.43,1986
deu,0.39,1987
deu,0.39,1988
deu,0.41,1989
deu,0.42,1990
deu,0.39,1991
deu,0.37,1992
deu,0.35,1993
deu,0.33,1994
deu,0.31,1995
deu,0.32,1996
deu,0.28,1997
deu,0.26,1998
deu,0.26,1999
deu,0.27,2000
deu,0.27,2001
deu,0.27,2002
deu,0.28,2003
deu,0.28,2004
deu,0.36,2005
deu,0.36,2006
deu,0.37,2007
deu,0.38,2008
grc,0.15,1996
grc,0.14,1997
grc,0.15,1998
grc,0.15,1999
grc,0.2,2000
grc,0.17,2001
grc,0.21,2002
grc,0.21,2003
grc,0.16,2004
grc,0.17,2005
grc,0.17,2006
grc,0.16,2007
grc,0.2,2008
irl,0.09,1974
irl,0.09,1975
irl,0.1,1976
irl,0.09,1977
irl,0.2,1978
irl,0.19,1979
irl,0.16,1980
irl,0.16,1981
irl,0.27,1982
irl,0.2,1983
irl,0.22,1984
irl,0.24,1985
irl,0.28,1986
irl,0.19,1987
irl,0.2,1988
irl,0.17,1989
irl,0.16,1990
irl,0.19,1991
irl,0.16,1992
irl,0.2,1993
irl,0.25,1994
irl,0.29,1995
irl,0.31,1996
irl,0.31,1997
irl,0.3,1998
irl,0.31,1999
irl,0.29,2000
irl,0.33,2001
irl,0.4,2002
irl,0.39,2003
irl,0.39,2004
irl,0.42,2005
irl,0.54,2006
irl,0.55,2007
irl,0.58,2008
ita,0.22,1960
ita,0.15,1961
ita,0.18,1962
ita,0.14,1963
ita,0.09,1964
ita,0.1,1965
ita,0.12,1966
ita,0.22,1967
ita,0.19,1968
ita,0.16,1969
ita,0.15,1970
ita,0.16,1971
ita,0.08,1972
ita,0.12,1973
ita,0.13,1974
ita,0.1,1975
ita,0.12,1976
ita,0.09,1977
ita,0.14,1978
ita,0.08,1979
ita,0.15,1980
ita,0.16,1981
ita,0.2,1982
ita,0.2,1983
ita,0.28,1984
ita,0.26,1985
ita,0.4,1986
ita,0.35,1987
ita,0.39,1988
ita,0.42,1989
ita,0.31,1990
ita,0.3,1991
ita,0.34,1992
ita,0.31,1993
ita,0.27,1994
ita,0.15,1995
ita,0.2,1996
ita,0.11,1997
ita,0.2,1998
ita,0.15,1999
ita,0.13,2000
ita,0.15,2001
ita,0.2,2002
ita,0.17,2003
ita,0.15,2004
ita,0.29,2005
ita,0.2,2006
ita,0.19,2007
ita,0.2,2008
jpn,0.24,1960
jpn,0.2,1961
jpn,0.14,1962
jpn,0.2,1963
jpn,0.14,1964
jpn,0.27,1965
jpn,0.28,1966
jpn,0.32,1967
jpn,0.25,1968
jpn,0.26,1969
jpn,0.23,1970
jpn,0.22,1971
jpn,0.2,1972
jpn,0.25,1973
jpn,0.25,1974
jpn,0.23,1975
jpn,0.2,1976
jpn,0.21,1977
jpn,0.23,1978
jpn,0.27,1979
jpn,0.32,1980
jpn,0.28,1981
jpn,0.28,1982
jpn,0.32,1983
jpn,0.34,1984
jpn,0.29,1985
jpn,0.29,1986
jpn,0.31,1987
jpn,0.32,1988
jpn,0.31,1989
jpn,0.31,1990
jpn,0.32,1991
jpn,0.3,1992
jpn,0.27,1993
jpn,0.29,1994
jpn,0.27,1995
jpn,0.2,1996
jpn,0.21,1997
jpn,0.27,1998
jpn,0.27,1999
jpn,0.28,2000
jpn,0.23,2001
jpn,0.23,2002
jpn,0.2,2003
jpn,0.19,2004
jpn,0.28,2005
jpn,0.25,2006
jpn,0.17,2007
jpn,0.18,2008
lux,0.11,1980
lux,0.13,1981
lux,0.1,1982
lux,0.09,1983
lux,0.16,1984
lux,0.17,1985
lux,0.16,1986
lux,0.17,1987
lux,0.2,1988
lux,0.19,1989
lux,0.21,1990
lux,0.33,1991
lux,0.26,1992
lux,0.35,1993
lux,0.4,1994
lux,0.36,1995
lux,0.44,1996
lux,0.55,1997
lux,0.65,1998
lux,0.66,1999
lux,0.72,2000
lux,0.77,2001
lux,0.78,2002
lux,0.86,2003
lux,0.79,2004
lux,0.79,2005
lux,0.9,2006
lux,0.91,2007
lux,0.92,2008
nld,0.31,1960
nld,0.45,1961
nld,0.49,1962
nld,0.26,1963
nld,0.29,1964
nld,0.36,1965
nld,0.45,1966
nld,0.49,1967
nld,0.49,1968
nld,0.5,1969
nld,0.62,1970
nld,0.58,1971
nld,0.67,1972
nld,0.53,1973
nld,0.61,1974
nld,0.74,1975
nld,0.8,1976
nld,0.81,1977
nld,0.78,1978
nld,0.94,1979
nld,0.97,1980
nld,1.07,1981
nld,1.07,1982
nld,0.91,1983
nld,1.02,1984
nld,0.91,1985
nld,1.01,1986
nld,0.98,1987
nld,0.98,1988
nld,0.94,1989
nld,0.92,1990
nld,0.88,1991
nld,0.86,1992
nld,0.82,1993
nld,0.76,1994
nld,0.81,1995
nld,0.81,1996
nld,0.81,1997
nld,0.8,1998
nld,0.79,1999
nld,0.84,2000
nld,0.82,2001
nld,0.81,2002
nld,0.8,2003
nld,0.73,2004
nld,0.82,2005
nld,0.81,2006
nld,0.81,2007
nld,0.8,2008
nzl,0.23,1961
nzl,0.18,1962
nzl,0.18,1963
nzl,0.19,1964
nzl,0.18,1965
nzl,0.17,1966
nzl,0.17,1967
nzl,0.21,1968
nzl,0.22,1969
nzl,0.22,1970
nzl,0.23,1971
nzl,0.25,1972
nzl,0.22,1973
nzl,0.31,1974
nzl,0.52,1975
nzl,0.41,1976
nzl,0.39,1977
nzl,0.34,1978
nzl,0.34,1979
nzl,0.33,1980
nzl,0.29,1981
nzl,0.28,1982
nzl,0.28,1983
nzl,0.25,1984
nzl,0.25,1985
nzl,0.3,1986
nzl,0.26,1987
nzl,0.27,1988
nzl,0.22,1989
nzl,0.23,1990
nzl,0.25,1991
nzl,0.26,1992
nzl,0.25,1993
nzl,0.24,1994
nzl,0.23,1995
nzl,0.21,1996
nzl,0.26,1997
nzl,0.27,1998
nzl,0.27,1999
nzl,0.25,2000
nzl,0.25,2001
nzl,0.22,2002
nzl,0.23,2003
nzl,0.23,2004
nzl,0.27,2005
nzl,0.27,2006
nzl,0.27,2007
nzl,0.3,2008
nor,0.11,1960
nor,0.14,1961
nor,0.14,1962
nor,0.17,1963
nor,0.15,1964
nor,0.16,1965
nor,0.18,1966
nor,0.17,1967
nor,0.29,1968
nor,0.3,1969
nor,0.33,1970
nor,0.34,1971
nor,0.43,1972
nor,0.45,1973
nor,0.57,1974
nor,0.65,1975
nor,0.71,1976
nor,0.84,1977
nor,0.9,1978
nor,0.95,1979
nor,0.87,1980
nor,0.85,1981
nor,1.03,1982
nor,1.1,1983
