geo,adults_with_hiv_percent_age_15_49,time
lva,0.1,1996
lva,0.2,1997
lva,0.2,1998
lva,0.2,1999
lva,0.3,2000
lva,0.4,2001
lva,0.4,2002
lva,0.5,2003
lva,0.5,2004
lva,0.6,2005
lva,0.6,2006
lva,0.6,2007
lva,0.6,2008
lva,0.7,2009
lva,0.7,2010
lva,0.7,2011
lbn,0.01217,1979
lbn,0.06,1990
lbn,0.06,1991
lbn,0.06,1992
lbn,0.1,1993
lbn,0.1,1994
lbn,0.1,1995
lbn,0.1,1996
lbn,0.1,1997
lbn,0.1,1998
lbn,0.1,1999
lbn,0.2,2000
lbn,0.2,2001
lbn,0.2,2002
lbn,0.2,2003
lbn,0.2,2004
lbn,0.1,2005
lbn,0.1,2006
lbn,0.1,2007
lbn,0.1,2008
lbn,0.1,2009
lbn,0.1,2010
lbn,0.1,2011
lso,0.01108,1984
lso,0.8,1990
lso,1.7,1991
lso,3.3,1992
lso,5.9,1993
lso,9.8,1994
lso,14.3,1995
lso,18.5,1996
lso,21.6,1997
lso,23.4,1998
lso,24.2,1999
lso,24.5,2000
lso,24.5,2001
lso,24.3,2002
lso,24.1,2003
lso,23.8,2004
lso,23.6,2005
lso,23.5,2006
lso,23.5,2007
lso,23.6,2008
lso,23.0,2009
lso,23.2,2010
lso,23.3,2011
lbr,0.01185,1979
lbr,0.3,1990
lbr,0.5,1991
lbr,1.0,1992
lbr,1.7,1993
lbr,2.5,1994
lbr,3.1,1995
lbr,3.4,1996
lbr,3.6,1997
lbr,3.5,1998
lbr,3.4,1999
lbr,3.3,2000
lbr,3.1,2001
lbr,2.8,2002
lbr,2.6,2003
lbr,2.4,2004
lbr,2.2,2005
lbr,2.0,2006
lbr,1.8,2007
lbr,1.6,2008
lbr,1.3,2009
lbr,1.1,2010
lbr,1.0,2011
ltu,0.06,1990
ltu,0.06,1991
ltu,0.06,1992
ltu,0.06,1993
ltu,0.06,1994
ltu,0.06,1995
ltu,0.06,1996
ltu,0.06,1997
ltu,0.06,1998
ltu,0.06,1999
ltu,0.06,2000
ltu,0.06,2001
ltu,0.06,2002
ltu,0.06,2003
ltu,0.06,2004
ltu,0.06,2005
ltu,0.06,2006
ltu,0.1,2007
ltu,0.1,2008
ltu,0.1,2009
ltu,0.1,2010
ltu,0.1,2011
lux,0.01369,1979
lux,0.1,1990
lux,0.1,1991
lux,0.1,1992
lux,0.1,1993
lux,0.1,1994
lux,0.2,1995
lux,0.2,1996
lux,0.2,1997
lux,0.2,1998
lux,0.2,1999
lux,0.2,2000
lux,0.3,2001
lux,0.3,2002
lux,0.3,2003
lux,0.3,2004
lux,0.3,2005
lux,0.3,2006
lux,0.3,2007
lux,0.3,2008
lux,0.3,2009
lux,0.3,2010
lux,0.3,2011
mdg,0.2,1990
mdg,0.2,1991
mdg,0.2,1992
mdg,0.2,1993
mdg,0.2,1994
mdg,0.2,1995
mdg,0.2,1996
mdg,0.2,1997
mdg,0.2,1998
mdg,0.2,1999
mdg,0.2,2000
mdg,0.2,2001
mdg,0.2,2002
mdg,0.2,2003
mdg,0.2,2004
mdg,0.2,2005
mdg,0.2,2006
mdg,0.2,2007
mdg,0.2,2008
mdg,0.3,2009
mdg,0.3,2010
mdg,0.3,2011
mwi,0.01532,1980
mwi,7.2,1990
mwi,8.8,1991
mwi,10.5,1992
mwi,11.9,1993
mwi,13.1,1994
mwi,13.9,1995
mwi,14.5,1996
mwi,14.7,1997
mwi,14.7,1998
mwi,14.5,1999
mwi,14.2,2000
mwi,13.8,2001
mwi,13.4,2002
mwi,13.0,2003
mwi,12.5,2004
mwi,12.1,2005
mwi,11.8,2006
mwi,11.4,2007
mwi,11.2,2008
mwi,10.9,2009
mwi,10.4,2010
mwi,10.0,2011
mys,0.01018,1987
mys,0.1,1990
mys,0.1,1991
mys,0.1,1992
mys,0.2,1993
mys,0.3,1994
mys,0.3,1995
mys,0.3,1996
mys,0.4,1997
mys,0.4,1998
mys,0.4,1999
mys,0.4,2000
mys,0.4,2001
mys,0.4,2002
mys,0.4,2003
mys,0.4,2004
mys,0.5,2005
mys,0.5,2006
mys,0.5,2007
mys,0.5,2008
mys,0.4,2009
mys,0.4,2010
mys,0.4,2011
mdv,0.06,1990
mdv,0.06,1991
mdv,0.06,1992
mdv,0.06,1993
mdv,0.06,1994
mdv,0.06,1995
mdv,0.06,1996
mdv,0.06,1997
mdv,0.06,1998
mdv,0.06,1999
mdv,0.06,2000
mdv,0.06,2001
mdv,0.06,2002
mdv,0.06,2003
mdv,0.06,2004
mdv,0.06,2005
mdv,0.06,2006
mdv,0.06,2007
mdv,0.06,2008
mdv,0.06,2009
mdv,0.06,2010
mdv,0.06,2011
mli,0.01258,1982
mli,0.4,1990
mli,0.6,1991
mli,1.0,1992
mli,1.4,1993
mli,1.7,1994
mli,1.8,1995
mli,1.9,1996
mli,1.9,1997
mli,1.8,1998
mli,1.8,1999
mli,1.7,2000
mli,1.6,2001
mli,1.5,2002
mli,1.4,2003
mli,1.3,2004
mli,1.2,2005
mli,1.1,2006
mli,1.1,2007
mli,1.0,2008
mli,1.2,2009
mli,1.1,2010
mli,1.1,2011
mlt,0.06,1990
mlt,0.06,1991
mlt,0.06,1992
mlt,0.06,1993
mlt,0.1,1994
mlt,0.1,1995
mlt,0.1,1996
mlt,0.1,1997
mlt,0.1,1998
mlt,0.1,1999
mlt,0.1,2000
mlt,0.1,2001
mlt,0.1,2002
mlt,0.1,2003
mlt,0.1,2004
mlt,0.1,2005
mlt,0.1,2006
mlt,0.1,2007
mlt,0.1,2008
mlt,0.1,2009
mlt,0.1,2010
mlt,0.1,2011
mrt,0.2,1990
mrt,0.2,1991
mrt,0.2,1992
mrt,0.3,1993
mrt,0.3,1994
mrt,0.4,1995
mrt,0.4,1996
mrt,0.5,1997
mrt,0.5,1998
mrt,0.5,1999
mrt,0.6,2000
mrt,0.6,2001
mrt,0.6,2002
mrt,0.7,2003
mrt,0.7,2004
mrt,0.7,2005
mrt,0.7,2006
mrt,0.7,2007
mrt,0.7,2008
mrt,1.0,2009
mrt,1.1,2010
mrt,1.1,2011
mus,0.06,1990
mus,0.1,1991
mus,0.1,1992
mus,0.1,1993
mus,0.1,1994
mus,0.1,1995
mus,0.1,1996
mus,0.2,1997
mus,0.2,1998
mus,0.3,1999
mus,0.3,2000
mus,0.4,2001
mus,0.4,2002
mus,0.5,2003
mus,0.6,2004
mus,0.7,2005
mus,0.7,2006
mus,0.8,2007
mus,0.9,2008
mus,1.0,2009
mus,1.0,2010
mus,1.0,2011
mex,0.03122,1979
mex,0.4,1990
mex,0.4,1991
mex,0.4,1992
mex,0.4,1993
mex,0.3,1994
mex,0.3,1995
mex,0.3,1996
mex,0.3,1997
mex,0.3,1998
mex,0.3,1999
mex,0.3,2000
mex,0.3,2001
mex,0.3,2002
mex,0.3,2003
mex,0.3,2004
mex,0.3,2005
mex,0.3,2006
mex,0.3,2007
mex,0.3,2008
mex,0.2,2009
mex,0.2,2010
mex,0.2,2011
mda,0.06,1990
mda,0.1,1991
mda,0.1,1992
mda,0.1,1993
mda,0.1,1994
mda,0.1,1995
mda,0.2,1996
mda,0.3,1997
mda,0.3,1998
mda,0.4,1999
mda,0.4,2000
mda,0.4,2001
mda,0.4,2002
mda,0.4,2003
mda,0.4,2004
mda,0.4,2005
mda,0.4,2006
mda,0.4,2007
mda,0.4,2008
mda,0.5,2009
mda,0.5,2010
mda,0.5,2011
mng,0.06,1990
mng,0.06,1991
mng,0.06,1992
mng,0.06,1993
mng,0.06,1994
mng,0.06,1995
mng,0.06,1996
mng,0.06,1997
mng,0.06,1998
mng,0.06,1999
mng,0.06,2000
mng,0.06,2001
mng,0.06,2002
mng,0.06,2003
mng,0.06,2004
mng,0.06,2005
mng,0.06,2006
mng,0.06,2007
mng,0.06,2008
mng,0.06,2009
mng,0.06,2010
mng,0.06,2011
mar,0.06,1990
mar,0.06,1991
mar,0.06,1992
mar,0.06,1993
mar,0.06,1994
mar,0.06,1995
mar,0.1,1996
mar,0.1,1997
mar,0.1,1998
mar,0.1,1999
mar,0.1,2000
mar,0.1,2001
mar,0.1,2002
mar,0.1,2003
mar,0.1,2004
mar,0.1,2005
mar,0.1,2006
mar,0.1,2007
mar,0.1,2008
mar,0.1,2009
mar,0.1,2010
mar,0.2,2011
moz,0.07568,1979
moz,1.2,1990
moz,1.6,1991
moz,2.1,1992
moz,2.7,1993
moz,3.4,1994
moz,4.1,1995
moz,4.9,1996
moz,5.8,1997
moz,6.7,1998
moz,7.7,1999
moz,8.6,2000
moz,9.4,2001
moz,10.1,2002
moz,10.6,2003
moz,11.0,2004
moz,11.2,2005
moz,11.3,2006
moz,11.4,2007
moz,11.4,2008
moz,11.3,2009
moz,11.3,2010
moz,11.3,2011
mmr,0.01,1985
mmr,0.2,1990
mmr,0.3,1991
mmr,0.4,1992
mmr,0.4,1993
mmr,0.5,1994
mmr,0.6,1995
mmr,0.6,1996
mmr,0.7,1997
mmr,0.7,1998
mmr,0.7,1999
mmr,0.8,2000
mmr,0.8,2001
mmr,0.7,2002
mmr,0.7,2003
mmr,0.7,2004
mmr,0.7,2005
mmr,0.7,2006
mmr,0.6,2007
mmr,0.6,2008
mmr,0.7,2009
mmr,0.7,2010
mmr,0.6,2011
nam,0.01675,1979
nam,1.6,1990
