geo,total_gdp_us_inflation_adjusted,time
ben,888700000,1975
ben,896600000,1976
ben,941300000,1977
ben,953100000,1978
ben,1015000000,1979
ben,1084000000,1980
ben,1192000000,1981
ben,1219000000,1982
ben,1166000000,1983
ben,1258000000,1984
ben,1353000000,1985
ben,1382000000,1986
ben,1362000000,1987
ben,1408000000,1988
ben,1368000000,1989
ben,1412000000,1990
ben,1478000000,1991
ben,1538000000,1992
ben,1592000000,1993
ben,1661000000,1994
ben,1738000000,1995
ben,1834000000,1996
ben,1947000000,1997
ben,2036000000,1998
ben,2131000000,1999
ben,2255000000,2000
ben,2368000000,2001
ben,2474000000,2002
ben,2571000000,2003
ben,2650000000,2004
ben,2727000000,2005
ben,2839000000,2006
ben,2970000000,2007
ben,3121000000,2008
ben,3240000000,2009
ben,3337000000,2010
ben,3440000000,2011
bmu,869700000,1960
bmu,910400000,1961
bmu,951100000,1962
bmu,961300000,1963
bmu,1068000000,1964
bmu,1119000000,1965
bmu,1280000000,1966
bmu,1450000000,1967
bmu,1480000000,1968
bmu,1531000000,1969
bmu,1628000000,1970
bmu,1684000000,1971
bmu,1714000000,1972
bmu,1739000000,1973
bmu,1755000000,1974
bmu,1821000000,1975
bmu,1984000000,1976
bmu,2101000000,1977
bmu,2131000000,1978
bmu,2177000000,1979
bmu,2350000000,1980
bmu,2406000000,1981
bmu,2279000000,1982
bmu,2324000000,1983
bmu,2336000000,1984
bmu,2289000000,1985
bmu,2441000000,1986
bmu,2533000000,1987
bmu,2636000000,1988
bmu,2647000000,1989
bmu,2648000000,1990
bmu,2554000000,1991
bmu,2553000000,1992
bmu,2630000000,1993
bmu,2645000000,1994
bmu,2762000000,1995
bmu,2834000000,1996
bmu,2964000000,1997
bmu,3079000000,1998
bmu,3184000000,1999
bmu,3480000000,2000
bmu,3707000000,2001
bmu,3651000000,2002
bmu,3778000000,2003
bmu,3876000000,2004
bmu,3952000000,2005
bmu,4174000000,2006
bmu,4297000000,2007
bmu,4337000000,2008
bmu,4128000000,2009
bmu,4049000000,2010
btn,115100000,1981
btn,124600000,1982
btn,133700000,1983
btn,143900000,1984
btn,150100000,1985
btn,162100000,1986
btn,194900000,1987
btn,224300000,1988
btn,238100000,1989
btn,259800000,1990
btn,272500000,1991
btn,278200000,1992
btn,287100000,1993
btn,297200000,1994
btn,315100000,1995
btn,334600000,1996
btn,352700000,1997
btn,372300000,1998
btn,397900000,1999
btn,427800000,2000
btn,457700000,2001
btn,498500000,2002
btn,541300000,2003
btn,584400000,2004
btn,635700000,2005
btn,679200000,2006
btn,801000000,2007
btn,838400000,2008
btn,894800000,2009
btn,961400000,2010
btn,1042000000,2011
bol,3002000000,1960
bol,3064000000,1961
bol,3235000000,1962
bol,3443000000,1963
bol,3608000000,1964
bol,3811000000,1965
bol,4058000000,1966
bol,4339000000,1967
bol,3811000000,1968
bol,3929000000,1969
bol,3909000000,1970
bol,4107000000,1971
bol,4434000000,1972
bol,4689000000,1973
bol,4827000000,1974
bol,5180000000,1975
bol,5419000000,1976
bol,5688000000,1977
bol,5805000000,1978
bol,5812000000,1979
bol,5733000000,1980
bol,5748000000,1981
bol,5522000000,1982
bol,5299000000,1983
bol,5288000000,1984
bol,5200000000,1985
bol,5066000000,1986
bol,5191000000,1987
bol,5342000000,1988
bol,5544000000,1989
bol,5801000000,1990
bol,6107000000,1991
bol,6207000000,1992
bol,6472000000,1993
bol,6774000000,1994
bol,7091000000,1995
bol,7400000000,1996
bol,7767000000,1997
bol,8158000000,1998
bol,8192000000,1999
bol,8398000000,2000
bol,8539000000,2001
bol,8752000000,2002
bol,8989000000,2003
bol,9364000000,2004
bol,9778000000,2005
bol,10250000000,2006
bol,10710000000,2007
bol,11370000000,2008
bol,11760000000,2009
bol,12240000000,2010
bol,12860000000,2011
bih,1343000000,1994
bih,1622000000,1995
bih,3065000000,1996
bih,4119000000,1997
bih,4762000000,1998
bih,5219000000,1999
bih,5506000000,2000
bih,5748000000,2001
bih,6053000000,2002
bih,6295000000,2003
bih,6679000000,2004
bih,7013000000,2005
bih,7448000000,2006
bih,7957000000,2007
bih,8388000000,2008
bih,8144000000,2009
bih,8209000000,2010
bih,8350000000,2011
bwa,124500000,1960
bwa,132400000,1961
bwa,141200000,1962
bwa,149500000,1963
