geo,total_health_spending_per_person_international_dollar,time
bih,315.1,1998
bih,369.3,1999
bih,315.0,2000
bih,337.1,2001
bih,351.2,2002
bih,423.6,2003
bih,527.0,2004
bih,576.0,2005
bih,667.8,2006
bih,769.8,2007
bih,892.1,2008
bih,933.8,2009
bih,972.4,2010
bwa,248.9,1995
bwa,266.2,1996
bwa,305.0,1997
bwa,313.3,1998
bwa,305.8,1999
bwa,400.3,2000
bwa,469.8,2001
bwa,583.4,2002
bwa,615.4,2003
bwa,926.4,2004
bwa,883.6,2005
bwa,832.7,2006
bwa,1034.0,2007
bwa,1060.0,2008
bwa,1296.0,2009
bwa,1145.0,2010
bra,417.3,1995
bra,439.8,1996
bra,453.7,1997
bra,448.7,1998
bra,473.0,1999
bra,502.2,2000
bra,520.7,2001
bra,530.4,2002
bra,528.2,2003
bra,575.7,2004
bra,695.2,2005
bra,766.6,2006
bra,827.9,2007
bra,862.2,2008
bra,920.9,2009
bra,1028.0,2010
brn,1227.0,1995
brn,1578.0,1996
brn,1543.0,1997
brn,1817.0,1998
brn,1722.0,1999
brn,1284.0,2000
brn,1403.0,2001
brn,1425.0,2002
brn,1451.0,2003
brn,1427.0,2004
brn,1278.0,2005
brn,1177.0,2006
brn,1242.0,2007
brn,1195.0,2008
brn,1516.0,2009
brn,1449.0,2010
bgr,290.7,1995
bgr,241.3,1996
bgr,256.6,1997
bgr,286.0,1998
bgr,338.4,1999
bgr,384.9,2000
bgr,505.1,2001
bgr,574.7,2002
bgr,624.1,2003
bgr,650.6,2004
bgr,719.4,2005
bgr,763.4,2006
bgr,841.7,2007
bgr,972.2,2008
bgr,994.7,2009
bgr,947.4,2010
bfa,28.16,1995
bfa,32.37,1996
bfa,34.1,1997
bfa,37.0,1998
bfa,39.96,1999
bfa,39.39,2000
bfa,40.2,2001
bfa,42.17,2002
bfa,49.85,2003
bfa,57.65,2004
bfa,69.67,2005
bfa,70.6,2006
bfa,73.16,2007
bfa,80.87,2008
bfa,88.81,2009
bfa,92.58,2010
bdi,18.37,1995
bdi,17.5,1996
bdi,15.89,1997
bdi,18.14,1998
bdi,17.62,1999
bdi,19.84,2000
bdi,21.76,2001
bdi,23.23,2002
bdi,23.67,2003
bdi,34.73,2004
bdi,42.32,2005
bdi,52.02,2006
bdi,52.32,2007
bdi,48.62,2008
bdi,45.4,2009
bdi,47.29,2010
khm,43.02,1995
khm,65.36,1996
khm,57.93,1997
khm,52.42,1998
khm,51.97,1999
khm,58.04,2000
khm,70.93,2001
khm,79.85,2002
khm,97.48,2003
khm,104.1,2004
khm,112.5,2005
khm,101.0,2006
khm,96.32,2007
khm,107.0,2008
khm,110.3,2009
khm,121.1,2010
cmr,51.88,1995
