geo,population_aged_0_4_years_both_sexes_percent,time
lva,7.696,1950
lva,7.692,1955
lva,7.783,1960
lva,7.502,1965
lva,6.783,1970
lva,7.245,1975
lva,6.881,1980
lva,7.439,1985
lva,7.817,1990
lva,5.576,1995
lva,4.049,2000
lva,4.412,2005
lva,5.085,2010
lva,5.419,2015
lva,5.39,2020
lva,5.0,2025
lva,4.443,2030
lva,4.269,2035
lva,4.634,2040
lva,5.061,2045
lva,5.346,2050
lbn,13.58,1950
lbn,15.82,1955
lbn,17.04,1960
lbn,16.49,1965
lbn,15.26,1970
lbn,14.17,1975
lbn,13.75,1980
lbn,13.32,1985
lbn,12.24,1990
lbn,11.17,1995
lbn,10.55,2000
lbn,8.258,2005
lbn,7.575,2010
lbn,7.454,2015
lbn,7.303,2020
lbn,7.033,2025
lbn,6.568,2030
lbn,6.068,2035
lbn,5.763,2040
lbn,5.672,2045
lbn,5.664,2050
lso,16.23,1950
lso,16.18,1955
lso,16.65,1960
lso,16.9,1965
lso,17.07,1970
lso,17.3,1975
lso,17.37,1980
lso,17.02,1985
lso,16.48,1990
lso,15.51,1995
lso,14.72,2000
lso,13.73,2005
lso,13.0,2010
lso,12.55,2015
lso,12.02,2020
lso,11.44,2025
lso,10.85,2030
lso,10.32,2035
lso,9.922,2040
lso,9.481,2045
lso,9.04,2050
lbr,16.77,1950
lbr,16.78,1955
lbr,19.19,1960
lbr,19.32,1965
lbr,18.47,1970
lbr,16.88,1975
lbr,18.28,1980
lbr,18.37,1985
lbr,18.11,1990
lbr,17.72,1995
lbr,17.42,2000
lbr,16.78,2005
lbr,16.02,2010
lbr,15.2,2015
lbr,14.2,2020
lbr,13.18,2025
lbr,12.23,2030
lbr,11.39,2035
lbr,10.64,2040
lbr,9.932,2045
lbr,9.265,2050
lby,16.72,1950
lby,17.41,1955
lby,17.64,1960
lby,18.0,1965
lby,19.15,1970
lby,19.51,1975
lby,18.69,1980
lby,18.26,1985
lby,13.47,1990
lby,11.27,1995
lby,11.03,2000
lby,11.2,2005
lby,10.96,2010
lby,10.1,2015
lby,8.741,2020
lby,7.392,2025
lby,6.588,2030
lby,6.457,2035
lby,6.632,2040
lby,6.585,2045
lby,6.243,2050
