geo,industry_workers_percent_of_labour_force,time
fin,34.4,1981
fin,33.3,1982
fin,32.6,1983
fin,32.1,1984
fin,31.5,1985
fin,31.5,1986
fin,30.7,1987
fin,30.1,1988
fin,30.0,1989
fin,30.4,1990
fin,28.8,1991
fin,27.4,1992
fin,26.6,1993
fin,26.3,1994
fin,27.3,1995
fin,27.3,1996
fin,27.5,1997
fin,27.7,1998
fin,27.8,1999
fin,27.6,2000
fin,27.2,2001
fin,27.1,2002
fin,26.3,2003
fin,25.8,2004
fin,25.9,2005
fin,25.8,2006
fin,25.5,2007
fra,35.5,1980
fra,34.7,1981
fra,34.1,1982
fra,33.3,1983
fra,32.4,1984
fra,31.6,1985
fra,30.9,1986
fra,30.4,1987
fra,29.9,1988
fra,29.7,1989
fra,29.6,1990
fra,29.1,1991
fra,28.3,1992
fra,27.3,1993
fra,26.6,1994
fra,24.4,2003
fra,24.0,2004
fra,23.7,2005
fra,23.8,2006
fra,23.2,2007
gab,11.5,1993
gmb,6.1,1993
geo,10.2,1998
geo,9.4,1999
geo,9.8,2000
geo,9.3,2001
geo,8.2,2002
geo,8.3,2003
geo,8.8,2004
geo,9.3,2005
geo,9.0,2006
geo,10.4,2007
deu,40.9,1991
deu,40.0,1992
deu,38.9,1993
deu,37.7,1994
deu,36.3,1995
deu,35.4,1996
deu,34.8,1997
deu,34.5,1998
deu,34.1,1999
deu,33.7,2000
deu,33.1,2001
deu,32.5,2002
deu,31.9,2003
deu,31.5,2004
deu,30.0,2005
deu,29.8,2006
deu,29.8,2007
deu_east,41.4,1991
deu_east,37.6,1992
deu_east,36.7,1993
deu_east,35.9,1994
gha,10.1,1992
gha,14.0,1999
gib,17.2,1998
gib,15.5,1999
gib,15.7,2000
gib,15.8,2001
gib,15.4,2002
gib,16.2,2003
gib,16.3,2004
gib,15.4,2005
gib,15.7,2006
gib,16.2,2007
grc,29.0,1981
grc,29.2,1982
grc,28.6,1983
grc,27.8,1984
grc,27.4,1985
grc,28.1,1986
grc,28.0,1987
grc,27.2,1988
grc,27.5,1989
grc,27.7,1990
grc,27.5,1991
grc,27.1,1992
grc,24.2,1993
grc,23.6,1994
grc,23.2,1995
grc,22.9,1996
grc,22.5,1997
grc,23.3,1998
grc,23.0,1999
grc,22.6,2000
grc,23.0,2001
grc,22.8,2002
grc,22.5,2003
grc,22.5,2004
grc,22.4,2005
grc,22.0,2006
grc,22.4,2007
grd,24.5,1988
grd,22.4,1994
grd,23.1,1996
grd,23.9,1998
glp,21.6,1980
gtm,19.4,1981
gtm,19.4,1982
gtm,16.7,1987
gtm,29.8,1990
gtm,33.0,1991
gtm,19.5,1994
gtm,23.2,1998
gtm,20.4,2000
gtm,20.0,2002
gtm,22.8,2006
gin,5.9,1994
guy,22.6,1997
guy,24.5,2002
hti,8.0,1980
hti,8.1,1981
hti,8.8,1982
hti,8.8,1983
hti,8.9,1988
hti,8.8,1990
hti,10.8,1999
hnd,16.9,1980
hnd,16.9,1981
hnd,17.0,1982
hnd,17.3,1983
hnd,25.9,1985
hnd,24.0,1986
hnd,23.9,1987
hnd,16.7,1990
hnd,21.2,1991
hnd,20.1,1992
hnd,31.4,1993
hnd,24.0,1994
hnd,24.2,1995
hnd,22.3,1996
hnd,22.0,1997
hnd,23.0,1998
hnd,22.0,1999
hnd,20.9,2005
hkg,50.2,1980
hkg,48.5,1981
hkg,46.5,1982
hkg,45.0,1983
hkg,45.1,1984
hkg,44.4,1985
hkg,43.4,1986
hkg,42.9,1987
hkg,41.1,1988
hkg,38.8,1989
hkg,36.7,1990
hkg,34.9,1991
hkg,33.0,1992
hkg,29.8,1993
hkg,27.9,1994
hkg,27.0,1995
hkg,25.6,1996
hkg,24.2,1997
hkg,22.5,1998
hkg,21.1,1999
hkg,20.3,2000
hkg,19.3,2001
hkg,17.0,2003
hkg,15.5,2004
hkg,15.0,2005
hkg,14.7,2006
hkg,14.2,2007
hun,41.1,1980
hun,38.5,1981
hun,37.8,1982
hun,37.2,1983
hun,36.9,1984
hun,36.9,1985
hun,36.7,1986
hun,36.4,1987
hun,36.0,1988
hun,35.4,1989
hun,36.8,1990
hun,36.1,1991
hun,35.1,1992
hun,33.8,1993
hun,33.0,1994
hun,32.6,1995
hun,32.6,1996
hun,33.1,1997
hun,35.0,1998
hun,34.8,1999
hun,34.2,2000
hun,34.7,2001
hun,34.5,2002
hun,33.7,2003
hun,33.2,2004
hun,32.8,2005
hun,32.7,2006
hun,32.6,2007
isl,26.3,1991
isl,24.1,1992
isl,24.8,1993
isl,25.4,1994
isl,24.6,1995
isl,23.9,1996
isl,25.4,1997
isl,25.7,1998
isl,22.9,1999
isl,22.4,2000
isl,22.0,2001
isl,22.3,2002
isl,21.7,2003
isl,22.4,2004
isl,21.7,2005
isl,21.2,2006
isl,20.6,2007
idn,13.1,1980
idn,14.9,1982
idn,13.4,1985
idn,8.2,1986
idn,8.3,1987
idn,8.3,1988
idn,13.3,1989
idn,13.7,1990
idn,14.5,1991
idn,14.1,1992
idn,15.7,1993
idn,18.7,1994
idn,18.4,1995
idn,18.1,1996
idn,19.0,1997
idn,16.3,1998
idn,17.8,1999
idn,17.5,2001
idn,18.8,2002
idn,17.5,2003
idn,18.0,2004
idn,18.0,2005
idn,18.0,2006
irn,28.0,1982
irn,30.7,1996
irn,30.4,2005
irn,32.0,2007
irq,17.8,2004
irl,29.4,1983
irl,28.8,1984
irl,28.4,1985
irl,28.2,1986
irl,27.2,1987
irl,27.1,1988
irl,28.2,1989
irl,28.1,1990
irl,28.5,1991
irl,27.7,1992
irl,27.4,1993
irl,28.4,1994
irl,28.4,1995
irl,27.9,1996
irl,27.0,1997
irl,28.9,1998
irl,28.5,1999
irl,28.6,2000
irl,29.1,2001
irl,27.8,2002
irl,27.8,2003
irl,27.7,2004
irl,27.9,2005
irl,27.5,2006
gbm,16.1,2001
gbm,14.8,2006
isr,30.8,1980
isr,30.5,1981
isr,29.9,1982
isr,30.1,1983
isr,29.7,1984
isr,28.9,1985
isr,29.0,1986
isr,29.2,1987
isr,28.2,1988
isr,27.4,1989
isr,27.8,1990
isr,28.6,1991
isr,28.5,1992
isr,29.0,1993
isr,28.6,1994
isr,28.7,1995
isr,28.5,1996
isr,27.6,1997
isr,25.9,1998
isr,24.8,1999
isr,24.0,2000
isr,23.3,2001
isr,22.5,2002
isr,22.6,2003
isr,22.2,2004
isr,21.7,2005
isr,21.5,2006
isr,21.9,2007
ita,37.2,1980
ita,36.9,1981
ita,36.4,1982
ita,35.5,1983
ita,33.8,1984
ita,33.0,1985
ita,32.5,1986
ita,32.0,1987
ita,31.9,1988
ita,31.9,1989
ita,31.9,1990
ita,32.0,1991
ita,31.7,1992
ita,34.4,1993
ita,34.3,1994
ita,34.1,1995
ita,33.5,1996
ita,33.3,1997
ita,33.2,1998
ita,32.9,1999
ita,32.4,2000
ita,32.1,2001
ita,32.1,2002
ita,32.2,2003
ita,31.0,2004
ita,31.1,2005
ita,30.5,2006
ita,30.2,2007
jam,19.0,1992
jam,19.0,1993
jam,18.8,1994
jam,20.2,1995
jam,20.3,1996
jam,18.6,1997
jam,18.2,1998
jam,17.9,1999
jam,16.9,2000
jam,17.1,2001
jam,17.3,2002
jam,17.4,2003
jam,18.3,2004
jam,17.7,2005
jam,17.7,2006
jpn,35.3,1980
jpn,35.3,1981
jpn,34.9,1982
jpn,34.8,1983
jpn,34.8,1984
jpn,34.9,1985
jpn,34.5,1986
jpn,33.8,1987
jpn,34.1,1988
jpn,34.3,1989
jpn,34.1,1990
jpn,34.4,1991
jpn,34.6,1992
jpn,34.3,1993
jpn,34.0,1994
jpn,33.6,1995
jpn,33.3,1996
jpn,33.1,1997
jpn,32.0,1998
jpn,31.7,1999
jpn,31.2,2000
jpn,30.5,2001
jpn,29.7,2002
jpn,29.3,2003
jpn,28.4,2004
jpn,27.9,2005
jpn,28.0,2006
jpn,27.9,2007
jor,21.6,1983
jor,18.8,1986
jor,17.2,1987
jor,21.8,2000
jor,21.8,2001
jor,21.4,2002
jor,21.8,2003
kaz,20.0,1999
kaz,16.3,2001
kaz,16.3,2002
kaz,17.0,2003
kaz,17.4,2004
kir,7.4,2000
kor,29.0,1980
kor,27.7,1981
kor,27.9,1982
kor,29.1,1983
kor,30.7,1984
kor,30.8,1985
kor,31.9,1986
kor,34.0,1987
kor,34.9,1988
kor,35.2,1989
kor,35.4,1990
kor,36.0,1991
kor,35.8,1992
kor,34.0,1993
kor,33.6,1994
kor,33.4,1995
kor,32.6,1996
kor,31.4,1997
kor,28.0,1998
kor,27.5,1999
kor,28.1,2000
kor,27.5,2001
kor,27.3,2002
kor,27.6,2003
kor,27.5,2004
kor,26.8,2005
kor,26.3,2006
kor,25.9,2007
kwt,27.0,1983
kwt,25.5,1988
kwt,22.9,1995
kwt,18.3,2003
kgz,25.1,1986
kgz,24.6,1987
kgz,24.4,1988
kgz,25.2,1989
kgz,27.9,1990
kgz,26.5,1991
kgz,22.5,1992
kgz,21.4,1993
kgz,19.3,1994
kgz,16.7,1995
kgz,14.6,1996
kgz,13.5,1997
kgz,13.1,1998
kgz,11.6,1999
kgz,10.5,2000
kgz,10.3,2001
kgz,12.0,2002
kgz,15.0,2003
kgz,17.6,2004
kgz,17.6,2005
kgz,19.4,2006
lao,3.5,1995
lva,27.2,1996
lva,25.8,1997
lva,26.5,1998
lva,25.8,1999
lva,26.3,2000
lva,26.3,2001
lva,25.6,2002
lva,27.0,2003
lva,27.3,2004
lva,25.8,2005
lva,27.5,2006
lva,28.4,2007
lso,10.1,1996
lso,15.2,1997
lso,9.3,1999
lby,33.7,1980
lby,40.4,1983
lby,39.4,1985
lby,30.0,1986
ltu,28.5,1997
ltu,28.7,1998
ltu,27.3,1999
ltu,26.8,2000
ltu,27.1,2001
ltu,27.5,2002
ltu,28.1,2003
ltu,28.2,2004
ltu,29.1,2005
ltu,29.7,2006
ltu,30.7,2007
lux,38.1,1980
lux,37.1,1981
lux,36.2,1982
lux,35.4,1983
lux,34.5,1984
lux,33.7,1985
lux,33.1,1986
lux,32.5,1987
lux,31.5,1988
lux,31.1,1989
lux,30.4,1990
lux,27.4,1995
lux,26.7,1996
lux,26.3,1997
lux,25.2,1998
lux,24.0,1999
lux,23.2,2000
lux,22.7,2001
lux,22.0,2002
lux,22.0,2003
lux,21.5,2004
lux,21.2,2005
lux,21.1,2006
lux,21.4,2007
mac,46.7,1989
mac,42.5,1990
mac,38.3,1992
mac,35.4,1993
mac,31.0,1994
mac,32.1,1995
mac,28.9,1996
mac,28.8,1997
mac,32.2,1998
mac,30.6,1999
mac,28.2,2000
mac,30.6,2001
mac,28.6,2002
mac,27.0,2003
mac,25.2,2004
mac,25.0,2005
mac,23.2,2006
mac,21.2,2007
mdg,6.7,2003
mdg,3.4,2005
mys,24.1,1980
mys,25.4,1981
mys,24.4,1982
mys,25.9,1983
mys,24.5,1984
mys,23.8,1985
mys,22.9,1986
mys,22.3,1987
mys,22.6,1988
mys,25.4,1989
mys,27.5,1990
mys,26.4,1991
mys,31.6,1992
mys,32.0,1993
mys,32.3,1995
mys,32.2,1996
mys,33.7,1997
mys,31.8,1998
mys,31.7,1999
mys,32.2,2000
mys,33.1,2001
mys,32.0,2002
mys,32.0,2003
mys,30.1,2004
mys,29.7,2005
mys,30.3,2006
mys,28.5,2007
mdv,22.4,1990
mdv,23.9,1995
mdv,19.0,2000
mdv,23.4,2003
mdv,24.3,2006
mli,16.5,2004
mlt,33.0,2000
mlt,31.8,2001
mlt,29.7,2002
mlt,29.5,2003
mlt,29.4,2004
mlt,29.6,2005
mlt,28.1,2006
mlt,25.9,2007
mhl,18.8,1999
mtq,17.3,1990
mus,39.7,1992
mus,38.9,1994
mus,39.8,1995
mus,37.9,1996
mus,37.5,1997
mus,38.1,1998
mus,38.3,1999
mus,38.7,2001
mus,38.0,2002
mus,36.6,2003
mus,33.5,2004
mus,32.4,2005
mus,32.1,2006
mus,32.3,2007
mex,26.5,1988
mex,27.8,1990
mex,23.3,1991
mex,22.5,1993
mex,21.7,1995
mex,22.7,1996
mex,22.5,1997
mex,24.8,1998
mex,25.6,1999
mex,27.0,2000
mex,26.0,2001
mex,25.0,2002
mex,25.1,2003
mex,24.9,2004
mex,27.2,2005
mex,27.4,2006
mex,25.9,2007
mng,20.5,1993
mng,16.7,1994
mng,17.9,1995
mng,17.5,1996
mng,16.7,1997
mng,15.8,1998
mng,15.5,1999
mng,14.1,2000
mng,13.7,2001
mng,14.3,2002
mng,15.6,2003
mng,16.1,2004
mng,16.8,2005
mne,22.3,2003
mne,19.2,2005
msr,27.9,1980
msr,29.0,1981
msr,28.4,1982
msr,28.1,1983
msr,27.2,1984
msr,27.5,1985
msr,29.4,1986
msr,30.9,1987
msr,30.1,1991
mar,36.4,1990
mar,36.1,1991
mar,35.8,1992
mar,34.6,1993
mar,23.3,1994
mar,34.3,1995
mar,35.5,1996
mar,35.4,1997
mar,34.0,1998
mar,33.4,1999
mar,31.2,2001
mar,20.1,2002
mar,20.2,2003
mar,19.5,2004
mar,19.5,2005
mar,20.3,2006
mmr,9.8,1980
mmr,9.9,1981
mmr,10.1,1982
mmr,10.3,1983
mmr,10.5,1984
mmr,10.6,1985
mmr,10.8,1986
mmr,11.1,1987
mmr,11.1,1988
mmr,11.0,1989
mmr,9.2,1990
mmr,9.0,1992
mmr,9.6,1993
mmr,9.8,1994
mmr,11.7,1997
mmr,12.0,1998
nam,15.0,1991
nam,14.2,1997
nam,12.2,2000
nam,14.8,2004
npl,2.7,1991
npl,9.8,1999
npl,13.4,2001
nld,31.4,1980
nld,28.7,1982
nld,28.3,1984
nld,26.8,1986
nld,26.0,1988
nld,26.1,1989
nld,25.9,1990
nld,25.2,1991
nld,24.1,1992
nld,23.7,1993
nld,22.8,1994
nld,22.5,1995
nld,22.4,1996
nld,22.2,1997
nld,21.7,1998
nld,21.4,1999
nld,21.3,2000
nld,21.2,2001
nld,20.3,2002
nld,19.6,2003
nld,20.1,2004
nld,19.8,2005
ant,23.5,1980
ant,23.1,1981
ant,20.5,1983
ant,20.8,1984
ant,20.7,1985
ant,20.8,1986
ant,21.8,1987
ant,21.9,1990
ant,22.9,1991
ant,22.2,1992
ant,21.9,1993
ant,21.3,1994
ant,21.5,1995
ant,20.7,1996
ant,19.8,1997
ant,18.5,1998
ant,18.0,2000
ant,17.5,2002
ant,16.7,2003
ant,15.9,2004
ant,15.1,2005
ant,15.8,2006
ant,16.0,2007
ncl,23.4,1996
nzl,28.7,1986
nzl,27.3,1987
nzl,26.1,1988
nzl,25.4,1989
nzl,24.6,1990
nzl,23.7,1991
nzl,23.0,1992
nzl,23.5,1993
nzl,25.1,1994
nzl,25.1,1995
nzl,24.8,1996
nzl,23.9,1997
nzl,24.0,1998
nzl,22.9,1999
nzl,23.2,2000
nzl,22.8,2001
nzl,22.6,2002
nzl,22.3,2003
nzl,22.7,2004
nzl,22.0,2005
nzl,22.3,2006
nzl,21.9,2007
nic,12.9,1990
nic,13.3,1991
nic,12.9,1992
nic,13.4,1994
nic,18.0,2003
nic,18.4,2004
nic,19.7,2005
nic,19.3,2006
nga,5.7,1983
nga,6.5,1986
niu,22.3,1987
niu,20.4,2001
mnp,3.5,1984
mnp,3.5,1985
mnp,44.6,1990
mnp,15.5,1995
nor,29.2,1980
nor,28.8,1981
nor,28.1,1982
nor,26.9,1983
nor,27.2,1984
nor,26.8,1985
nor,26.7,1986
nor,26.6,1987
nor,25.9,1988
nor,24.9,1989
nor,24.3,1990
nor,23.2,1991
nor,23.1,1992
nor,22.7,1993
nor,23.0,1994
nor,23.0,1995
nor,23.2,1996
nor,23.2,1997
nor,23.1,1998
nor,22.2,1999
nor,21.9,2000
nor,21.8,2001
nor,21.8,2002
nor,21.6,2003
nor,20.9,2004
nor,20.9,2005
nor,20.9,2006
