geo,urban_population_percent_of_total,time
bra,68.1,1983
bra,68.98,1984
bra,69.86,1985
bra,70.67,1986
bra,71.49,1987
bra,72.3,1988
bra,73.11,1989
bra,73.92,1990
bra,74.66,1991
bra,75.4,1992
bra,76.13,1993
bra,76.87,1994
bra,77.61,1995
bra,78.33,1996
bra,79.04,1997
bra,79.76,1998
bra,80.48,1999
bra,81.19,2000
bra,81.52,2001
bra,81.85,2002
bra,82.18,2003
bra,82.51,2004
bra,82.83,2005
bra,83.13,2006
bra,83.43,2007
bra,83.73,2008
bra,84.03,2009
bra,84.33,2010
bra,84.6,2011
brn,43.4,1960
brn,45.25,1961
brn,47.09,1962
brn,48.94,1963
brn,50.78,1964
brn,52.62,1965
brn,54.44,1966
brn,56.24,1967
brn,58.05,1968
brn,59.87,1969
brn,61.67,1970
brn,61.74,1971
brn,61.8,1972
brn,61.87,1973
brn,61.93,1974
brn,61.99,1975
brn,61.57,1976
brn,61.15,1977
brn,60.73,1978
brn,60.31,1979
brn,59.89,1980
brn,60.36,1981
brn,60.83,1982
brn,61.31,1983
brn,61.78,1984
brn,62.25,1985
brn,62.97,1986
brn,63.68,1987
brn,64.4,1988
brn,65.12,1989
brn,65.83,1990
brn,66.4,1991
brn,66.96,1992
brn,67.52,1993
brn,68.08,1994
brn,68.64,1995
brn,69.15,1996
brn,69.65,1997
brn,70.16,1998
brn,70.66,1999
brn,71.16,2000
brn,71.63,2001
brn,72.11,2002
brn,72.58,2003
brn,73.05,2004
brn,73.52,2005
brn,73.93,2006
brn,74.35,2007
brn,74.77,2008
brn,75.18,2009
brn,75.6,2010
brn,75.96,2011
bgr,37.1,1960
bgr,38.83,1961
bgr,40.56,1962
bgr,42.29,1963
bgr,44.02,1964
bgr,45.76,1965
bgr,47.06,1966
bgr,48.37,1967
bgr,49.68,1968
bgr,50.99,1969
bgr,52.3,1970
bgr,53.35,1971
bgr,54.4,1972
bgr,55.46,1973
bgr,56.51,1974
bgr,57.56,1975
bgr,58.47,1976
bgr,59.38,1977
bgr,60.28,1978
bgr,61.19,1979
bgr,62.1,1980
bgr,62.6,1981
bgr,63.1,1982
bgr,63.59,1983
bgr,64.09,1984
bgr,64.59,1985
bgr,64.95,1986
bgr,65.3,1987
bgr,65.66,1988
bgr,66.02,1989
bgr,66.38,1990
bgr,66.66,1991
bgr,66.94,1992
bgr,67.22,1993
bgr,67.5,1994
bgr,67.78,1995
bgr,68.01,1996
bgr,68.23,1997
bgr,68.45,1998
bgr,68.68,1999
bgr,68.9,2000
bgr,69.16,2001
bgr,69.41,2002
bgr,69.67,2003
bgr,69.92,2004
bgr,70.18,2005
bgr,70.65,2006
bgr,71.12,2007
bgr,71.59,2008
bgr,72.06,2009
bgr,72.52,2010
bgr,73.08,2011
bfa,4.7,1960
bfa,4.8,1961
bfa,4.899,1962
bfa,4.999,1963
bfa,5.098,1964
bfa,5.198,1965
bfa,5.308,1966
bfa,5.417,1967
bfa,5.527,1968
bfa,5.636,1969
bfa,5.746,1970
bfa,5.866,1971
bfa,5.986,1972
bfa,6.107,1973
bfa,6.227,1974
bfa,6.347,1975
bfa,6.839,1976
bfa,7.33,1977
bfa,7.822,1978
bfa,8.313,1979
bfa,8.805,1980
bfa,9.511,1981
bfa,10.22,1982
bfa,10.92,1983
bfa,11.63,1984
bfa,12.33,1985
bfa,12.63,1986
bfa,12.93,1987
bfa,13.22,1988
bfa,13.52,1989
bfa,13.81,1990
bfa,14.08,1991
bfa,14.34,1992
bfa,14.6,1993
bfa,14.87,1994
bfa,15.13,1995
bfa,15.67,1996
bfa,16.22,1997
bfa,16.76,1998
bfa,17.3,1999
bfa,17.84,2000
bfa,18.58,2001
bfa,19.32,2002
bfa,20.06,2003
bfa,20.8,2004
bfa,21.54,2005
bfa,22.36,2006
bfa,23.19,2007
bfa,24.02,2008
bfa,24.84,2009
bfa,25.67,2010
bfa,26.51,2011
bdi,2.0,1960
bdi,2.073,1961
bdi,2.107,1962
bdi,2.142,1963
bdi,2.176,1964
bdi,2.211,1965
bdi,2.245,1966
bdi,2.279,1967
bdi,2.314,1968
bdi,2.348,1969
bdi,2.382,1970
bdi,2.549,1971
bdi,2.716,1972
bdi,2.884,1973
bdi,3.051,1974
bdi,3.218,1975
bdi,3.442,1976
bdi,3.666,1977
bdi,3.891,1978
bdi,4.115,1979
bdi,4.339,1980
bdi,4.515,1981
bdi,4.692,1982
bdi,4.868,1983
bdi,5.045,1984
bdi,5.221,1985
bdi,5.431,1986
bdi,5.641,1987
bdi,5.851,1988
bdi,6.061,1989
bdi,6.271,1990
bdi,6.459,1991
bdi,6.647,1992
bdi,6.835,1993
bdi,7.023,1994
bdi,7.211,1995
bdi,7.418,1996
bdi,7.625,1997
bdi,7.832,1998
bdi,8.039,1999
bdi,8.246,2000
bdi,8.472,2001
bdi,8.698,2002
bdi,8.923,2003
bdi,9.149,2004
bdi,9.375,2005
bdi,9.628,2006
bdi,9.882,2007
bdi,10.14,2008
bdi,10.39,2009
bdi,10.64,2010
bdi,10.93,2011
khm,10.3,1960
khm,10.39,1961
khm,10.5,1962
khm,10.61,1963
khm,10.72,1964
khm,10.83,1965
khm,11.86,1966
khm,12.89,1967
khm,13.91,1968
khm,14.94,1969
khm,15.97,1970
khm,13.66,1971
khm,11.35,1972
khm,9.034,1973
khm,6.722,1974
khm,4.41,1975
khm,5.322,1976
khm,6.235,1977
khm,7.147,1978
khm,8.06,1979
khm,8.972,1980
khm,9.964,1981
khm,10.96,1982
khm,11.95,1983
khm,12.94,1984
khm,13.93,1985
khm,14.25,1986
khm,14.58,1987
khm,14.9,1988
khm,15.22,1989
khm,15.55,1990
khm,15.9,1991
khm,16.25,1992
khm,16.61,1993
khm,16.96,1994
khm,17.31,1995
khm,17.57,1996
khm,17.82,1997
khm,18.08,1998
khm,18.33,1999
khm,18.59,2000
khm,18.7,2001
khm,18.82,2002
khm,18.94,2003
khm,19.06,2004
khm,19.17,2005
khm,19.3,2006
khm,19.43,2007
khm,19.56,2008
khm,19.69,2009
khm,19.81,2010
khm,20.0,2011
cmr,13.9,1960
cmr,14.53,1961
cmr,15.11,1962
cmr,15.7,1963
cmr,16.29,1964
cmr,16.88,1965
cmr,17.56,1966
cmr,18.25,1967
cmr,18.93,1968
cmr,19.62,1969
cmr,20.3,1970
cmr,21.7,1971
cmr,23.1,1972
cmr,24.5,1973
cmr,25.89,1974
cmr,27.29,1975
cmr,28.22,1976
cmr,29.14,1977
cmr,30.07,1978
cmr,31.0,1979
cmr,31.92,1980
cmr,32.78,1981
cmr,33.65,1982
cmr,34.51,1983
cmr,35.37,1984
cmr,36.23,1985
cmr,36.92,1986
cmr,37.6,1987
cmr,38.29,1988
cmr,38.97,1989
cmr,39.66,1990
cmr,40.24,1991
cmr,40.82,1992
cmr,41.41,1993
cmr,41.99,1994
cmr,42.57,1995
cmr,43.17,1996
cmr,43.76,1997
cmr,44.35,1998
cmr,44.95,1999
cmr,45.54,2000
cmr,46.14,2001
cmr,46.74,2002
cmr,47.34,2003
cmr,47.94,2004
cmr,48.54,2005
cmr,49.14,2006
cmr,49.73,2007
cmr,50.32,2008
cmr,50.92,2009
cmr,51.51,2010
cmr,52.09,2011
can,69.1,1960
can,69.83,1961
can,70.59,1962
can,71.36,1963
can,72.13,1964
can,72.89,1965
can,73.44,1966
can,74.0,1967
can,74.55,1968
can,75.1,1969
can,75.65,1970
can,75.65,1971
can,75.64,1972
can,75.63,1973
can,75.62,1974
can,75.61,1975
can,75.62,1976
can,75.63,1977
can,75.64,1978
can,75.65,1979
can,75.66,1980
can,75.8,1981
can,75.94,1982
can,76.08,1983
can,76.22,1984
can,76.35,1985
can,76.4,1986
can,76.45,1987
can,76.49,1988
can,76.54,1989
can,76.58,1990
can,76.8,1991
can,77.02,1992
can,77.24,1993
can,77.46,1994
can,77.67,1995
can,78.04,1996
can,78.4,1997
can,78.76,1998
can,79.12,1999
can,79.48,2000
can,79.61,2001
can,79.74,2002
can,79.86,2003
can,79.99,2004
can,80.12,2005
can,80.21,2006
can,80.29,2007
can,80.38,2008
can,80.47,2009
can,80.55,2010
can,80.66,2011
cpv,16.7,1960
cpv,16.96,1961
cpv,17.24,1962
cpv,17.52,1963
cpv,17.79,1964
cpv,18.07,1965
cpv,18.37,1966
cpv,18.67,1967
cpv,18.96,1968
cpv,19.26,1969
cpv,19.56,1970
cpv,19.93,1971
cpv,20.3,1972
cpv,20.68,1973
cpv,21.05,1974
cpv,21.42,1975
cpv,21.84,1976
cpv,22.26,1977
cpv,22.68,1978
cpv,23.1,1979
cpv,23.52,1980
cpv,25.11,1981
cpv,26.71,1982
cpv,28.31,1983
cpv,29.9,1984
cpv,31.5,1985
cpv,34.02,1986
cpv,36.55,1987
cpv,39.07,1988
cpv,41.6,1989
cpv,44.12,1990
cpv,45.05,1991
cpv,45.98,1992
cpv,46.91,1993
cpv,47.84,1994
cpv,48.77,1995
cpv,49.7,1996
cpv,50.63,1997
cpv,51.57,1998
cpv,52.5,1999
cpv,53.44,2000
cpv,54.29,2001
cpv,55.14,2002
cpv,55.99,2003
cpv,56.84,2004
cpv,57.69,2005
cpv,58.52,2006
cpv,59.35,2007
cpv,60.18,2008
cpv,61.0,2009
cpv,61.83,2010
cpv,62.58,2011
cym,100.0,1960
cym,100.0,1961
cym,100.0,1962
cym,100.0,1963
cym,100.0,1964
cym,100.0,1965
cym,100.0,1966
cym,100.0,1967
cym,100.0,1968
cym,100.0,1969
cym,100.0,1970
cym,100.0,1971
cym,100.0,1972
cym,100.0,1973
cym,100.0,1974
cym,100.0,1975
cym,100.0,1976
cym,100.0,1977
cym,100.0,1978
cym,100.0,1979
cym,100.0,1980
cym,100.0,1981
cym,100.0,1982
cym,100.0,1983
cym,100.0,1984
cym,100.0,1985
cym,100.0,1986
cym,100.0,1987
cym,100.0,1988
cym,100.0,1989
cym,100.0,1990
cym,100.0,1991
cym,100.0,1992
cym,100.0,1993
cym,100.0,1994
cym,100.0,1995
cym,100.0,1996
cym,100.0,1997
cym,100.0,1998
cym,100.0,1999
cym,100.0,2000
cym,100.0,2001
cym,100.0,2002
cym,100.0,2003
cym,100.0,2004
cym,100.0,2005
cym,100.0,2006
cym,100.0,2007
cym,100.0,2008
cym,100.0,2009
cym,100.0,2010
cym,100.0,2011
caf,20.1,1960
caf,20.78,1961
caf,21.47,1962
caf,22.15,1963
caf,22.84,1964
caf,23.52,1965
caf,24.28,1966
caf,25.04,1967
caf,25.8,1968
caf,26.57,1969
caf,27.33,1970
caf,28.25,1971
caf,29.18,1972
caf,30.1,1973
caf,31.03,1974
caf,31.96,1975
caf,32.34,1976
caf,32.72,1977
caf,33.11,1978
caf,33.49,1979
caf,33.87,1980
caf,34.21,1981
caf,34.54,1982
caf,34.87,1983
caf,35.2,1984
caf,35.53,1985
caf,35.79,1986
caf,36.05,1987
caf,36.31,1988
caf,36.57,1989
caf,36.83,1990
caf,36.91,1991
caf,36.99,1992
caf,37.07,1993
caf,37.15,1994
caf,37.23,1995
caf,37.31,1996
caf,37.39,1997
caf,37.48,1998
caf,37.56,1999
caf,37.64,2000
caf,37.72,2001
caf,37.81,2002
caf,37.9,2003
caf,37.98,2004
caf,38.07,2005
caf,38.22,2006
caf,38.38,2007
caf,38.54,2008
caf,38.69,2009
caf,38.85,2010
caf,39.1,2011
tcd,6.7,1960
tcd,7.037,1961
tcd,7.379,1962
tcd,7.722,1963
tcd,8.064,1964
tcd,8.406,1965
tcd,9.038,1966
tcd,9.671,1967
tcd,10.3,1968
tcd,10.94,1969
tcd,11.57,1970
tcd,12.37,1971
tcd,13.17,1972
tcd,13.97,1973
tcd,14.77,1974
tcd,15.57,1975
tcd,16.21,1976
tcd,16.85,1977
tcd,17.5,1978
tcd,18.14,1979
tcd,18.79,1980
tcd,18.99,1981
tcd,19.18,1982
tcd,19.38,1983
tcd,19.58,1984
tcd,19.78,1985
tcd,19.99,1986
tcd,20.19,1987
tcd,20.4,1988
tcd,20.6,1989
tcd,20.81,1990
tcd,20.94,1991
tcd,21.06,1992
tcd,21.19,1993
tcd,21.32,1994
tcd,21.44,1995
tcd,21.46,1996
tcd,21.48,1997
tcd,21.5,1998
tcd,21.52,1999
tcd,21.53,2000
tcd,21.55,2001
tcd,21.57,2002
tcd,21.59,2003
tcd,21.61,2004
tcd,21.63,2005
tcd,21.65,2006
tcd,21.67,2007
tcd,21.69,2008
tcd,21.72,2009
tcd,21.74,2010
tcd,21.83,2011
chanisl,38.7,1960
chanisl,38.44,1961
chanisl,38.17,1962
chanisl,37.91,1963
chanisl,37.65,1964
chanisl,37.38,1965
chanisl,37.13,1966
chanisl,36.87,1967
chanisl,36.61,1968
chanisl,36.35,1969
chanisl,36.09,1970
chanisl,35.71,1971
chanisl,35.33,1972
chanisl,34.95,1973
chanisl,34.56,1974
chanisl,34.18,1975
chanisl,33.79,1976
chanisl,33.39,1977
chanisl,33.0,1978
chanisl,32.6,1979
chanisl,32.21,1980
chanisl,32.13,1981
chanisl,32.06,1982
chanisl,31.98,1983
chanisl,31.91,1984
chanisl,31.83,1985
chanisl,31.74,1986
chanisl,31.66,1987
chanisl,31.57,1988
chanisl,31.48,1989
chanisl,31.39,1990
chanisl,31.22,1991
chanisl,31.04,1992
chanisl,30.87,1993
chanisl,30.7,1994
chanisl,30.52,1995
chanisl,30.51,1996
chanisl,30.5,1997
chanisl,30.49,1998
chanisl,30.48,1999
chanisl,30.46,2000
chanisl,30.5,2001
chanisl,30.54,2002
chanisl,30.57,2003
chanisl,30.61,2004
chanisl,30.65,2005
chanisl,30.73,2006
chanisl,30.82,2007
chanisl,30.91,2008
chanisl,30.99,2009
chanisl,31.08,2010
chanisl,31.22,2011
chl,67.8,1960
chl,68.61,1961
chl,69.38,1962
chl,70.15,1963
chl,70.92,1964
chl,71.7,1965
chl,72.4,1966
chl,73.11,1967
chl,73.81,1968
chl,74.52,1969
chl,75.23,1970
chl,75.86,1971
chl,76.49,1972
chl,77.12,1973
chl,77.75,1974
chl,78.39,1975
chl,78.96,1976
chl,79.53,1977
chl,80.1,1978
chl,80.67,1979
chl,81.24,1980
chl,81.52,1981
chl,81.8,1982
chl,82.07,1983
chl,82.35,1984
chl,82.62,1985
chl,82.75,1986
chl,82.88,1987
chl,83.01,1988
chl,83.14,1989
chl,83.27,1990
chl,83.49,1991
chl,83.71,1992
chl,83.93,1993
chl,84.15,1994
chl,84.37,1995
chl,84.69,1996
chl,85.0,1997
chl,85.32,1998
chl,85.63,1999
chl,85.95,2000
chl,86.28,2001
chl,86.62,2002
chl,86.95,2003
chl,87.29,2004
chl,87.62,2005
chl,87.89,2006
chl,88.15,2007
chl,88.41,2008
chl,88.68,2009
chl,88.94,2010
chl,89.15,2011
chn,16.0,1960
chn,16.58,1961
chn,16.96,1962
chn,17.33,1963
chn,17.71,1964
chn,18.09,1965
chn,17.95,1966
chn,17.81,1967
chn,17.67,1968
chn,17.54,1969
chn,17.4,1970
chn,17.4,1971
chn,17.4,1972
chn,17.4,1973
chn,17.4,1974
chn,17.4,1975
chn,17.79,1976
chn,18.18,1977
chn,18.57,1978
chn,18.97,1979
chn,19.36,1980
chn,20.06,1981
chn,20.76,1982
chn,21.47,1983
chn,22.17,1984
chn,22.87,1985
chn,23.59,1986
chn,24.3,1987
chn,25.01,1988
chn,25.73,1989
chn,26.44,1990
chn,27.35,1991
chn,28.25,1992
chn,29.15,1993
chn,30.06,1994
chn,30.96,1995
chn,31.94,1996
chn,32.93,1997
chn,33.91,1998
chn,34.89,1999
chn,35.88,2000
chn,37.21,2001
chn,38.53,2002
chn,39.86,2003
chn,41.19,2004
chn,42.52,2005
chn,43.86,2006
chn,45.2,2007
chn,46.54,2008
chn,47.89,2009
chn,49.23,2010
chn,50.5,2011
col,45.0,1960
col,46.23,1961
col,47.43,1962
col,48.63,1963
col,49.82,1964
col,51.02,1965
col,51.78,1966
col,52.54,1967
col,53.3,1968
col,54.06,1969
col,54.82,1970
col,55.56,1971
col,56.31,1972
col,57.05,1973
col,57.8,1974
col,58.54,1975
col,59.26,1976
col,59.97,1977
col,60.69,1978
col,61.4,1979
col,62.12,1980
col,62.81,1981
col,63.5,1982
col,64.19,1983
col,64.88,1984
col,65.57,1985
col,66.11,1986
col,66.65,1987
col,67.2,1988
col,67.74,1989
col,68.28,1990
col,68.72,1991
col,69.17,1992
col,69.62,1993
col,70.07,1994
col,70.52,1995
col,70.83,1996
col,71.14,1997
col,71.45,1998
col,71.76,1999
col,72.08,2000
col,72.38,2001
col,72.68,2002
col,72.98,2003
col,73.28,2004
col,73.58,2005
col,73.87,2006
col,74.16,2007
col,74.44,2008
col,74.73,2009
col,75.02,2010
col,75.29,2011
com,12.6,1960
com,13.44,1961
com,14.32,1962
com,15.21,1963
com,16.09,1964
com,16.98,1965
com,17.46,1966
com,17.94,1967
com,18.43,1968
com,18.91,1969
com,19.39,1970
com,19.76,1971
com,20.13,1972
com,20.5,1973
com,20.87,1974
com,21.24,1975
com,21.63,1976
com,22.03,1977
com,22.42,1978
com,22.82,1979
com,23.21,1980
com,23.67,1981
com,24.12,1982
com,24.57,1983
com,25.02,1984
com,25.47,1985
com,25.95,1986
com,26.43,1987
com,26.91,1988
com,27.39,1989
com,27.87,1990
com,27.96,1991
com,28.04,1992
com,28.13,1993
com,28.21,1994
com,28.3,1995
com,28.26,1996
com,28.21,1997
com,28.17,1998
com,28.12,1999
com,28.08,2000
com,28.04,2001
com,28.0,2002
com,27.96,2003
com,27.92,2004
com,27.88,2005
com,27.89,2006
com,27.91,2007
com,27.93,2008
com,27.95,2009
com,27.97,2010
com,28.07,2011
cod,22.3,1960
cod,23.06,1961
cod,23.82,1962
cod,24.58,1963
cod,25.34,1964
cod,26.1,1965
cod,26.94,1966
cod,27.78,1967
cod,28.62,1968
cod,29.46,1969
cod,30.3,1970
cod,30.14,1971
cod,29.98,1972
cod,29.82,1973
cod,29.66,1974
cod,29.5,1975
cod,29.35,1976
cod,29.19,1977
cod,29.03,1978
cod,28.88,1979
cod,28.72,1980
cod,28.57,1981
cod,28.42,1982
cod,28.27,1983
cod,28.12,1984
cod,27.97,1985
cod,27.93,1986
cod,27.88,1987
cod,27.84,1988
cod,27.79,1989
cod,27.74,1990
cod,27.83,1991
cod,27.92,1992
cod,28.01,1993
cod,28.09,1994
cod,28.18,1995
cod,28.4,1996
cod,28.63,1997
cod,28.85,1998
cod,29.08,1999
cod,29.3,2000
cod,29.67,2001
cod,30.05,2002
cod,30.42,2003
cod,30.79,2004
cod,31.16,2005
cod,31.67,2006
cod,32.19,2007
cod,32.7,2008
cod,33.21,2009
cod,33.73,2010
cod,34.28,2011
cog,31.6,1960
cog,32.34,1961
cog,33.07,1962
cog,33.8,1963
cog,34.54,1964
cog,35.27,1965
cog,36.04,1966
cog,36.82,1967
cog,37.59,1968
cog,38.36,1969
cog,39.13,1970
cog,39.96,1971
cog,40.78,1972
cog,41.61,1973
cog,42.44,1974
cog,43.26,1975
cog,44.18,1976
cog,45.1,1977
cog,46.02,1978
cog,46.94,1979
cog,47.86,1980
cog,48.73,1981
cog,49.6,1982
cog,50.48,1983
cog,51.35,1984
cog,52.22,1985
cog,52.64,1986
cog,53.06,1987
cog,53.48,1988
cog,53.9,1989
cog,54.32,1990
cog,54.74,1991
cog,55.16,1992
cog,55.58,1993
cog,56.0,1994
cog,56.41,1995
cog,56.87,1996
cog,57.33,1997
cog,57.78,1998
cog,58.24,1999
cog,58.7,2000
cog,59.15,2001
cog,59.61,2002
cog,60.07,2003
cog,60.53,2004
cog,60.99,2005
cog,61.44,2006
cog,61.88,2007
cog,62.33,2008
cog,62.78,2009
cog,63.22,2010
cog,63.65,2011
cri,34.3,1960
cri,34.56,1961
cri,34.87,1962
cri,35.18,1963
cri,35.48,1964
cri,35.79,1965
cri,36.4,1966
cri,37.01,1967
cri,37.61,1968
cri,38.22,1969
cri,38.83,1970
cri,39.33,1971
cri,39.84,1972
cri,40.34,1973
cri,40.84,1974
cri,41.35,1975
cri,41.7,1976
cri,42.05,1977
cri,42.4,1978
cri,42.75,1979
cri,43.1,1980
cri,43.59,1981
cri,44.08,1982
cri,44.58,1983
cri,45.07,1984
cri,45.56,1985
cri,46.59,1986
cri,47.61,1987
cri,48.63,1988
cri,49.66,1989
cri,50.68,1990
cri,51.7,1991
cri,52.73,1992
cri,53.75,1993
cri,54.77,1994
cri,55.79,1995
cri,56.44,1996
cri,57.09,1997
cri,57.74,1998
cri,58.39,1999
cri,59.04,2000
cri,59.57,2001
cri,60.11,2002
cri,60.64,2003
cri,61.17,2004
cri,61.71,2005
cri,62.2,2006
cri,62.7,2007
cri,63.19,2008
cri,63.69,2009
cri,64.19,2010
cri,64.64,2011
civ,17.7,1960
civ,19.04,1961
civ,20.41,1962
civ,21.77,1963
civ,23.14,1964
civ,24.5,1965
civ,25.23,1966
civ,25.97,1967
civ,26.7,1968
civ,27.43,1969
civ,28.16,1970
civ,28.98,1971
civ,29.79,1972
civ,30.6,1973
civ,31.42,1974
civ,32.23,1975
civ,33.15,1976
civ,34.07,1977
civ,34.99,1978
civ,35.91,1979
civ,36.83,1980
civ,37.05,1981
civ,37.26,1982
civ,37.48,1983
civ,37.69,1984
civ,37.91,1985
civ,38.2,1986
civ,38.48,1987
civ,38.77,1988
civ,39.06,1989
civ,39.34,1990
civ,39.72,1991
civ,40.09,1992
civ,40.46,1993
civ,40.84,1994
civ,41.21,1995
civ,41.68,1996
civ,42.14,1997
civ,42.61,1998
civ,43.07,1999
civ,43.54,2000
civ,44.2,2001
civ,44.86,2002
civ,45.52,2003
civ,46.18,2004
civ,46.84,2005
civ,47.58,2006
civ,48.32,2007
civ,49.07,2008
civ,49.81,2009
civ,50.56,2010
civ,51.28,2011
hrv,30.2,1960
hrv,31.12,1961
hrv,32.08,1962
hrv,33.05,1963
hrv,34.01,1964
hrv,34.98,1965
hrv,36.02,1966
hrv,37.06,1967
hrv,38.11,1968
hrv,39.15,1969
hrv,40.2,1970
hrv,41.18,1971
hrv,42.17,1972
hrv,43.15,1973
hrv,44.14,1974
hrv,45.13,1975
hrv,46.11,1976
hrv,47.1,1977
hrv,48.09,1978
hrv,49.07,1979
hrv,50.06,1980
hrv,50.51,1981
hrv,50.95,1982
hrv,51.4,1983
hrv,51.84,1984
hrv,52.29,1985
hrv,52.64,1986
hrv,52.99,1987
hrv,53.34,1988
hrv,53.69,1989
hrv,54.04,1990
hrv,54.21,1991
hrv,54.38,1992
hrv,54.55,1993
hrv,54.72,1994
hrv,54.89,1995
hrv,55.03,1996
hrv,55.17,1997
hrv,55.31,1998
hrv,55.45,1999
hrv,55.59,2000
hrv,55.75,2001
hrv,55.91,2002
hrv,56.08,2003
hrv,56.24,2004
hrv,56.41,2005
hrv,56.63,2006
hrv,56.86,2007
hrv,57.08,2008
hrv,57.31,2009
hrv,57.54,2010
hrv,57.82,2011
cub,58.4,1960
cub,58.59,1961
cub,58.78,1962
cub,58.96,1963
cub,59.15,1964
cub,59.34,1965
cub,59.52,1966
cub,59.71,1967
cub,59.89,1968
cub,60.08,1969
cub,60.27,1970
cub,61.06,1971
cub,61.85,1972
cub,62.64,1973
cub,63.43,1974
cub,64.22,1975
cub,65.0,1976
cub,65.78,1977
cub,66.55,1978
cub,67.33,1979
cub,68.11,1980
cub,68.67,1981
cub,69.24,1982
cub,69.8,1983
cub,70.37,1984
cub,70.93,1985
cub,71.42,1986
cub,71.91,1987
cub,72.39,1988
cub,72.88,1989
cub,73.36,1990
cub,73.55,1991
cub,73.73,1992
cub,73.91,1993
cub,74.09,1994
cub,74.28,1995
cub,74.54,1996
cub,74.81,1997
cub,75.07,1998
cub,75.34,1999
cub,75.6,2000
cub,75.6,2001
cub,75.6,2002
cub,75.6,2003
cub,75.6,2004
cub,75.6,2005
cub,75.52,2006
cub,75.45,2007
cub,75.37,2008
cub,75.29,2009
cub,75.22,2010
cub,75.19,2011
cyp,35.6,1960
cyp,36.14,1961
cyp,36.65,1962
cyp,37.16,1963
cyp,37.68,1964
cyp,38.19,1965
cyp,38.7,1966
cyp,39.22,1967
cyp,39.73,1968
cyp,40.25,1969
cyp,40.76,1970
cyp,42.06,1971
cyp,43.37,1972
cyp,44.67,1973
cyp,45.97,1974
cyp,47.28,1975
cyp,49.54,1976
cyp,51.81,1977
cyp,54.08,1978
cyp,56.35,1979
cyp,58.61,1980
cyp,59.83,1981
cyp,61.04,1982
cyp,62.25,1983
cyp,63.47,1984
cyp,64.68,1985
cyp,65.1,1986
cyp,65.52,1987
cyp,65.94,1988
cyp,66.36,1989
cyp,66.78,1990
cyp,67.03,1991
cyp,67.28,1992
cyp,67.53,1993
cyp,67.79,1994
cyp,68.04,1995
cyp,68.16,1996
cyp,68.28,1997
cyp,68.4,1998
cyp,68.53,1999
cyp,68.65,2000
cyp,68.81,2001
cyp,68.97,2002
cyp,69.13,2003
cyp,69.28,2004
cyp,69.44,2005
cyp,69.62,2006
cyp,69.79,2007
cyp,69.96,2008
cyp,70.14,2009
cyp,70.31,2010
cyp,70.51,2011
cze,59.5,1960
cze,60.04,1961
cze,60.54,1962
cze,61.03,1963
cze,61.52,1964
cze,62.02,1965
cze,62.49,1966
cze,62.97,1967
cze,63.45,1968
cze,63.92,1969
cze,64.4,1970
cze,65.5,1971
cze,66.61,1972
cze,67.71,1973
cze,68.81,1974
cze,69.92,1975
cze,70.97,1976
cze,72.02,1977
cze,73.07,1978
cze,74.12,1979
cze,75.17,1980
cze,75.21,1981
cze,75.25,1982
cze,75.29,1983
cze,75.33,1984
cze,75.36,1985
cze,75.34,1986
cze,75.31,1987
cze,75.28,1988
cze,75.25,1989
cze,75.22,1990
cze,75.1,1991
cze,74.99,1992
cze,74.87,1993
cze,74.76,1994
cze,74.64,1995
cze,74.51,1996
cze,74.38,1997
cze,74.25,1998
cze,74.12,1999
cze,73.99,2000
cze,73.93,2001
cze,73.87,2002
cze,73.81,2003
cze,73.76,2004
cze,73.7,2005
cze,73.65,2006
cze,73.6,2007
cze,73.56,2008
cze,73.51,2009
cze,73.46,2010
cze,73.44,2011
dnk,73.7,1960
dnk,74.36,1961
dnk,75.03,1962
dnk,75.7,1963
dnk,76.38,1964
dnk,77.05,1965
dnk,77.59,1966
dnk,78.12,1967
dnk,78.66,1968
dnk,79.2,1969
dnk,79.74,1970
dnk,80.22,1971
dnk,80.7,1972
dnk,81.18,1973
dnk,81.66,1974
dnk,82.15,1975
dnk,82.46,1976
dnk,82.78,1977
dnk,83.09,1978
dnk,83.41,1979
dnk,83.72,1980
dnk,83.85,1981
dnk,83.97,1982
dnk,84.1,1983
dnk,84.23,1984
dnk,84.35,1985
dnk,84.45,1986
dnk,84.55,1987
dnk,84.65,1988
dnk,84.74,1989
dnk,84.84,1990
dnk,84.87,1991
dnk,84.9,1992
dnk,84.92,1993
dnk,84.95,1994
dnk,84.98,1995
dnk,85.0,1996
dnk,85.03,1997
dnk,85.05,1998
dnk,85.08,1999
dnk,85.1,2000
dnk,85.25,2001
dnk,85.4,2002
dnk,85.55,2003
dnk,85.7,2004
dnk,85.86,2005
dnk,86.04,2006
dnk,86.23,2007
dnk,86.42,2008
dnk,86.61,2009
dnk,86.8,2010
dnk,86.93,2011
dji,50.3,1960
dji,51.48,1961
dji,52.64,1962
dji,53.8,1963
dji,54.95,1964
dji,56.11,1965
dji,57.24,1966
dji,58.38,1967
dji,59.51,1968
dji,60.64,1969
dji,61.78,1970
dji,62.85,1971
dji,63.92,1972
dji,65.0,1973
dji,66.07,1974
dji,67.14,1975
dji,68.13,1976
dji,69.12,1977
dji,70.11,1978
dji,71.11,1979
dji,72.1,1980
dji,72.6,1981
dji,73.11,1982
dji,73.62,1983
dji,74.12,1984
dji,74.63,1985
dji,74.83,1986
