merchandise_trade_percent_of_gdp,geo,time
82.49,bwa,1969
86.11,bwa,1970
98.49,bwa,1971
101.5,bwa,1972
102.8,bwa,1973
99.64,bwa,1974
100.8,bwa,1975
101.9,bwa,1976
104.5,bwa,1977
102.2,bwa,1978
120.6,bwa,1979
112.5,bwa,1980
111.2,bwa,1981
112.7,bwa,1982
116.9,bwa,1983
109.3,bwa,1984
117.4,bwa,1985
113.1,bwa,1986
128.4,bwa,1987
100.6,bwa,1988
108.9,bwa,1989
98.38,bwa,1990
96.3,bwa,1991
86.9,bwa,1992
85.35,bwa,1993
81.07,bwa,1994
84.9,bwa,1995
86.87,bwa,1996
98.46,bwa,1997
83.02,bwa,1998
82.53,bwa,1999
84.44,bwa,2000
71.58,bwa,2001
70.1,bwa,2002
65.02,bwa,2003
67.12,bwa,2004
73.97,bwa,2005
67.66,bwa,2006
74.67,bwa,2007
75.42,bwa,2008
71.33,bwa,2009
69.66,bwa,2010
18.0,bra,1960
18.79,bra,1961
13.49,bra,1962
12.57,bra,1963
12.7,bra,1964
12.35,bra,1965
11.96,bra,1966
10.86,bra,1967
11.85,bra,1968
12.22,bra,1969
13.2,bra,1970
13.42,bra,1971
14.99,bra,1972
16.65,bra,1973
21.04,bra,1974
18.0,bra,1975
15.62,bra,1976
14.4,bra,1977
13.8,bra,1978
15.58,bra,1979
19.19,bra,1980
17.97,bra,1981
14.64,bra,1982
19.04,bra,1983
20.2,bra,1984
17.93,bra,1985
14.14,bra,1986
14.56,bra,1987
15.0,bra,1988
12.75,bra,1989
11.68,bra,1990
13.4,bra,1991
15.07,bra,1992
15.13,bra,1993
14.56,bra,1994
13.09,bra,1995
12.45,bra,1996
13.35,bra,1997
13.31,bra,1998
17.03,bra,1999
17.7,bra,2000
21.11,bra,2001
21.83,bra,2002
22.43,bra,2003
24.57,bra,2004
22.24,bra,2005
21.46,bra,2006
21.03,bra,2007
23.01,bra,2008
17.98,bra,2009
18.84,bra,2010
88.57,brn,1965
94.16,brn,1966
90.63,brn,1967
100.1,brn,1968
99.87,brn,1969
99.96,brn,1970
258.7,brn,1971
104.1,brn,1972
110.6,brn,1973
108.5,brn,1974
113.2,brn,1975
111.9,brn,1976
110.8,brn,1977
109.5,brn,1978
109.2,brn,1979
104.5,brn,1980
106.1,brn,1981
106.4,brn,1982
106.5,brn,1983
101.3,brn,1984
101.8,brn,1985
104.0,brn,1986
92.32,brn,1987
91.13,brn,1988
91.84,brn,1989
91.29,brn,1990
105.1,brn,1991
92.82,brn,1992
97.16,brn,1993
99.43,brn,1994
94.91,brn,1995
97.25,brn,1996
89.85,brn,1997
89.11,brn,1998
85.24,brn,1999
83.48,brn,2000
85.68,brn,2001
89.98,brn,2002
87.66,brn,2003
82.3,brn,2004
81.21,brn,2005
81.18,brn,2006
79.76,brn,2007
89.42,brn,2008
89.98,brn,2009
100.1,bgr,1980
107.2,bgr,1981
116.0,bgr,1982
144.1,bgr,1983
146.9,bgr,1984
153.4,bgr,1985
144.8,bgr,1986
112.6,bgr,1987
147.8,bgr,1988
144.4,bgr,1989
48.88,bgr,1990
68.99,bgr,1991
74.91,bgr,1992
78.29,bgr,1993
88.51,bgr,1994
84.28,bgr,1995
112.1,bgr,1996
98.18,bgr,1997
70.82,bgr,1998
71.49,bgr,1999
88.31,bgr,2000
89.39,bgr,2001
85.65,bgr,2002
89.1,bgr,2003
96.45,bgr,2004
103.5,bgr,2005
115.4,bgr,2006
115.1,bgr,2007
114.4,bgr,2008
82.06,bgr,2009
96.55,bgr,2010
4.532,bfa,1960
9.121,bfa,1961
11.22,bfa,1962
11.77,bfa,1963
12.64,bfa,1964
12.4,bfa,1965
12.46,bfa,1966
12.08,bfa,1967
14.12,bfa,1968
15.56,bfa,1969
14.8,bfa,1970
15.09,bfa,1971
15.38,bfa,1972
18.24,bfa,1973
24.01,bfa,1974
20.72,bfa,1975
20.19,bfa,1976
23.38,bfa,1977
18.31,bfa,1978
21.59,bfa,1979
23.28,bfa,1980
23.2,bfa,1981
22.97,bfa,1982
21.81,bfa,1983
22.74,bfa,1984
25.96,bfa,1985
23.96,bfa,1986
24.85,bfa,1987
22.78,bfa,1988
18.58,bfa,1989
22.18,bfa,1990
20.38,bfa,1991
23.66,bfa,1992
24.79,bfa,1993
24.06,bfa,1994
30.72,bfa,1995
34.02,bfa,1996
33.46,bfa,1997
37.47,bfa,1998
30.95,bfa,1999
31.41,bfa,2000
31.25,bfa,2001
29.96,bfa,2002
29.17,bfa,2003
34.24,bfa,2004
31.84,bfa,2005
33.04,bfa,2006
34.0,bfa,2007
33.69,bfa,2008
34.04,bfa,2009
37.83,bfa,2010
14.29,bdi,1960
12.32,bdi,1961
13.11,bdi,1962
11.74,bdi,1963
9.971,bdi,1964
16.98,bdi,1965
18.13,bdi,1966
19.07,bdi,1967
20.55,bdi,1968
17.54,bdi,1969
19.24,bdi,1970
19.14,bdi,1971
23.34,bdi,1972
20.09,bdi,1973
21.45,bdi,1974
22.21,bdi,1975
26.41,bdi,1976
29.93,bdi,1977
27.48,bdi,1978
32.77,bdi,1979
25.33,bdi,1980
24.35,bdi,1981
29.71,bdi,1982
24.19,bdi,1983
29.28,bdi,1984
26.17,bdi,1985
29.62,bdi,1986
26.78,bdi,1987
31.13,bdi,1988
23.79,bdi,1989
27.03,bdi,1990
29.55,bdi,1991
27.05,bdi,1992
28.13,bdi,1993
37.19,bdi,1994
33.89,bdi,1995
19.1,bdi,1996
21.28,bdi,1997
24.95,bdi,1998
21.29,bdi,1999
27.92,bdi,2000
26.85,bdi,2001
25.38,bdi,2002
32.65,bdi,2003
33.58,bdi,2004
41.12,bdi,2005
53.22,bdi,2006
38.57,bdi,2007
39.36,bdi,2008
35.02,bdi,2009
37.85,bdi,2010
25.9,khm,1960
24.89,khm,1961
23.64,khm,1962
26.9,khm,1963
21.72,khm,1964
23.95,khm,1965
19.47,khm,1966
18.59,khm,1967
19.24,khm,1968
16.96,khm,1969
12.95,khm,1970
7.011,khm,1971
17.21,khm,1972
23.47,khm,1973
33.82,khm,1974
29.8,khm,1993
44.21,khm,1994
59.34,khm,1995
48.93,khm,1996
52.27,khm,1997
63.0,khm,1998
77.33,khm,1999
91.08,khm,2000
90.29,khm,2001
99.0,khm,2002
100.4,khm,2003
112.2,khm,2004
111.5,khm,2005
116.3,khm,2006
110.3,khm,2007
108.4,khm,2008
97.84,khm,2009
111.5,khm,2010
29.25,cmr,1960
29.5,cmr,1961
29.31,cmr,1962
36.3,cmr,1963
30.78,cmr,1964
34.17,cmr,1965
30.71,cmr,1966
31.98,cmr,1967
35.79,cmr,1968
37.27,cmr,1969
40.36,cmr,1970
37.08,cmr,1971
36.63,cmr,1972
39.03,cmr,1973
40.55,cmr,1974
38.01,cmr,1975
36.54,cmr,1976
42.75,cmr,1977
42.13,cmr,1978
41.41,cmr,1979
44.3,cmr,1980
33.16,cmr,1981
31.07,cmr,1982
29.8,cmr,1983
25.61,cmr,1984
22.99,cmr,1985
23.41,cmr,1986
20.56,cmr,1987
17.62,cmr,1988
26.42,cmr,1989
30.51,cmr,1990
24.18,cmr,1991
26.35,cmr,1992
22.06,cmr,1993
27.86,cmr,1994
32.63,cmr,1995
30.77,cmr,1996
32.71,cmr,1997
32.88,cmr,1998
27.84,cmr,1999
32.97,cmr,2000
37.52,cmr,2001
33.71,cmr,2002
32.64,cmr,2003
30.95,cmr,2004
33.74,cmr,2005
37.44,cmr,2006
37.73,cmr,2007
40.87,cmr,2008
34.58,cmr,2009
39.37,cmr,2010
28.94,can,1960
29.8,can,1961
29.62,can,1962
29.61,can,1963
31.58,can,1964
31.71,can,1965
33.25,can,1966
33.69,can,1967
35.97,can,1968
36.42,can,1969
36.0,can,1970
35.75,can,1971
37.13,can,1972
39.67,can,1973
43.65,can,1974
41.12,can,1975
39.86,can,1976
41.21,can,1977
44.12,can,1978
48.16,can,1979
48.45,can,1980
47.47,can,1981
42.01,can,1982
42.4,can,1983
48.41,can,1984
48.24,can,1985
47.67,can,1986
45.25,can,1987
46.13,can,1988
43.5,can,1989
43.05,can,1990
42.12,can,1991
45.5,can,1992
50.42,can,1993
56.77,can,1994
61.07,can,1995
61.39,can,1996
65.14,can,1997
68.16,can,1998
69.36,can,1999
71.93,can,2000
68.09,can,2001
65.32,can,2002
59.8,can,2003
60.14,can,2004
60.23,can,2005
58.44,can,2006
56.94,can,2007
58.26,can,2008
48.33,can,2009
50.11,can,2010
51.98,cpv,1986
41.58,cpv,1987
37.34,cpv,1988
40.31,cpv,1989
41.93,cpv,1990
43.55,cpv,1991
46.97,cpv,1992
43.5,cpv,1993
52.09,cpv,1994
53.0,cpv,1995
49.19,cpv,1996
49.17,cpv,1997
44.11,cpv,1998
44.05,cpv,1999
44.69,cpv,2000
43.34,cpv,2001
46.14,cpv,2002
44.69,cpv,2003
48.3,cpv,2004
46.9,cpv,2005
50.8,cpv,2006
57.77,cpv,2007
55.29,cpv,2008
46.91,cpv,2009
47.75,cpv,2010
30.27,caf,1960
29.24,caf,1961
31.63,caf,1962
37.4,caf,1963
41.39,caf,1964
36.0,caf,1965
41.8,caf,1966
44.86,caf,1967
39.26,caf,1968
38.89,caf,1969
34.29,caf,1970
32.55,caf,1971
31.89,caf,1972
32.79,caf,1973
33.48,caf,1974
30.65,caf,1975
25.77,caf,1976
28.54,caf,1977
21.02,caf,1978
21.3,caf,1979
24.72,caf,1980
25.04,caf,1981
30.74,caf,1982
23.84,caf,1983
27.12,caf,1984
23.7,caf,1985
20.8,caf,1986
27.56,caf,1987
25.8,caf,1988
22.39,caf,1989
18.42,caf,1990
15.52,caf,1991
17.57,caf,1992
18.09,caf,1993
34.0,caf,1994
30.84,caf,1995
26.91,caf,1996
30.3,caf,1997
28.36,caf,1998
26.35,caf,1999
28.98,caf,2000
25.74,caf,2001
25.62,caf,2002
21.59,caf,2003
22.45,caf,2004
22.44,caf,2005
24.38,caf,2006
25.15,caf,2007
22.69,caf,2008
21.21,caf,2009
23.84,caf,2010
12.28,tcd,1960
14.0,tcd,1961
12.76,tcd,1962
13.93,tcd,1963
15.57,tcd,1964
14.12,tcd,1965
12.99,tcd,1966
19.91,tcd,1967
18.63,tcd,1968
17.92,tcd,1969
19.6,tcd,1970
18.15,tcd,1971
16.77,tcd,1972
18.58,tcd,1973
19.12,tcd,1974
20.88,tcd,1975
20.67,tcd,1976
31.61,tcd,1977
28.39,tcd,1978
17.28,tcd,1979
14.04,tcd,1980
21.78,tcd,1981
20.02,tcd,1982
31.47,tcd,1983
33.95,tcd,1984
22.07,tcd,1985
29.12,tcd,1986
28.79,tcd,1987
25.09,tcd,1988
27.55,tcd,1989
27.21,tcd,1990
23.6,tcd,1991
22.58,tcd,1992
22.62,tcd,1993
27.55,tcd,1994
