geo,population_aged_60plus_years_total_number,time
pry,1551000,2045
pry,1804000,2050
per,432000,1950
per,489000,1955
per,561000,1960
per,637000,1965
per,733000,1970
per,846000,1975
per,966000,1980
per,1124000,1985
per,1329000,1990
per,1584000,1995
per,1877000,2000
per,2188000,2005
per,2568000,2010
per,3057000,2015
per,3650000,2020
per,4379000,2025
per,5183000,2030
per,6064000,2035
per,7037000,2040
per,7965000,2045
per,8932000,2050
phl,1104000,1950
phl,1177000,1955
phl,1304000,1960
phl,1487000,1965
phl,1774000,1970
phl,2084000,1975
phl,2370000,1980
phl,2713000,1985
phl,3050000,1990
phl,3603000,1995
phl,4288000,2000
phl,5169000,2005
phl,6242000,2010
phl,7792000,2015
phl,9628000,2020
phl,11730000,2025
phl,14060000,2030
phl,16590000,2035
phl,19470000,2040
phl,22620000,2045
phl,26110000,2050
pol,2045000,1950
pol,2311000,1955
pol,2776000,1960
pol,3455000,1965
pol,4176000,1970
pol,4683000,1975
pol,4696000,1980
pol,5148000,1985
pol,5663000,1990
pol,6091000,1995
pol,6419000,2000
pol,6563000,2005
pol,7379000,2010
pol,8541000,2015
pol,9591000,2020
pol,10020000,2025
pol,10140000,2030
pol,10500000,2035
pol,11120000,2040
pol,11840000,2045
pol,12180000,2050
prt,880000,1950
prt,923000,1955
prt,1021000,1960
prt,1119000,1965
prt,1219000,1970
prt,1352000,1975
prt,1529000,1980
prt,1689000,1985
prt,1874000,1990
prt,2042000,1995
prt,2202000,2000
prt,2349000,2005
prt,2536000,2010
prt,2719000,2015
prt,2917000,2020
prt,3150000,2025
prt,3361000,2030
prt,3599000,2035
prt,3805000,2040
prt,3894000,2045
prt,3848000,2050
pri,135000,1950
pri,157000,1955
pri,182000,1960
pri,212000,1965
pri,260000,1970
pri,271000,1975
pri,358000,1980
pri,405000,1985
pri,468000,1990
pri,527000,1995
pri,589000,2000
pri,676000,2005
pri,782000,2010
pri,876000,2015
pri,972000,2020
pri,1061000,2025
pri,1130000,2030
pri,1185000,2035
pri,1242000,2040
pri,1289000,2045
pri,1317000,2050
qat,1000,1950
qat,1000,1955
qat,2000,1960
qat,2000,1965
qat,3000,1970
qat,6000,1975
qat,5000,1980
qat,6000,1985
qat,10000,1990
qat,12000,1995
qat,16000,2000
qat,21000,2005
qat,31000,2010
qat,54000,2015
qat,52000,2020
qat,83000,2025
qat,124000,2030
qat,182000,2035
qat,259000,2040
qat,361000,2045
qat,454000,2050
reu,15000,1950
reu,17000,1955
reu,17000,1960
reu,20000,1965
reu,25000,1970
reu,30000,1975
reu,34000,1980
reu,42000,1985
reu,49000,1990
reu,57000,1995
reu,68000,2000
reu,81000,2005
reu,94000,2010
reu,113000,2015
reu,137000,2020
reu,169000,2025
reu,200000,2030
reu,221000,2035
reu,233000,2040
reu,247000,2045
reu,261000,2050
rou,1415000,1950
rou,1722000,1955
rou,1953000,1960
rou,2320000,1965
rou,2679000,1970
rou,3031000,1975
rou,2943000,1980
rou,3261000,1985
rou,3631000,1990
rou,3959000,1995
rou,4210000,2000
rou,4169000,2005
rou,4299000,2010
rou,4604000,2015
rou,4858000,2020
rou,4818000,2025
rou,5237000,2030
rou,5570000,2035
rou,5987000,2040
rou,6147000,2045
rou,6391000,2050
rus,9439000,1950
rus,10180000,1955
rus,11210000,1960
rus,13160000,1965
rus,15560000,1970
rus,18250000,1975
rus,18710000,1980
rus,19920000,1985
rus,23710000,1990
rus,24730000,1995
rus,26930000,2000
rus,24620000,2005
rus,25380000,2010
rus,27690000,2015
rus,30450000,2020
rus,32200000,2025
rus,32200000,2030
rus,32620000,2035
rus,33350000,2040
rus,35100000,2045
rus,36840000,2050
rwa,81000,1950
rwa,95000,1955
rwa,109000,1960
rwa,120000,1965
rwa,142000,1970
rwa,167000,1975
rwa,193000,1980
rwa,256000,1985
rwa,307000,1990
rwa,223000,1995
rwa,323000,2000
rwa,348000,2005
rwa,393000,2010
rwa,476000,2015
rwa,604000,2020
rwa,734000,2025
rwa,854000,2030
rwa,998000,2035
rwa,1227000,2040
rwa,1640000,2045
rwa,2123000,2050
lca,5000,1950
lca,4000,1955
lca,5000,1960
lca,6000,1965
lca,7000,1970
lca,8000,1975
lca,8000,1980
lca,10000,1985
lca,13000,1990
lca,16000,1995
lca,16000,2000
lca,15000,2005
lca,16000,2010
lca,18000,2015
lca,23000,2020
lca,28000,2025
lca,32000,2030
lca,38000,2035
lca,43000,2040
lca,49000,2045
lca,55000,2050
vct,4000,1950
vct,5000,1955
vct,5000,1960
vct,6000,1965
vct,7000,1970
vct,8000,1975
vct,8000,1980
vct,8000,1985
vct,9000,1990
vct,10000,1995
vct,9000,2000
vct,10000,2005
vct,9000,2010
vct,12000,2015
vct,12000,2020
vct,17000,2025
vct,19000,2030
vct,21000,2035
vct,23000,2040
vct,26000,2045
vct,26000,2050
wsm,3000,1950
wsm,2000,1955
wsm,3000,1960
wsm,2000,1965
wsm,4000,1970
wsm,4000,1975
wsm,5000,1980
wsm,7000,1985
wsm,10000,1990
wsm,10000,1995
wsm,12000,2000
wsm,12000,2005
wsm,13000,2010
wsm,13000,2015
wsm,15000,2020
wsm,19000,2025
wsm,20000,2030
wsm,22000,2035
wsm,21000,2040
wsm,22000,2045
wsm,25000,2050
stp,3000,1950
stp,3000,1955
stp,3000,1960
stp,2000,1965
stp,5000,1970
stp,5000,1975
stp,7000,1980
stp,7000,1985
stp,7000,1990
stp,8000,1995
stp,8000,2000
stp,9000,2005
stp,8000,2010
stp,10000,2015
stp,11000,2020
stp,13000,2025
stp,15000,2030
stp,19000,2035
stp,26000,2040
stp,33000,2045
stp,39000,2050
sau,179000,1950
sau,199000,1955
sau,223000,1960
sau,254000,1965
sau,293000,1970
sau,350000,1975
sau,419000,1980
sau,497000,1985
sau,575000,1990
sau,663000,1995
sau,843000,2000
sau,986000,2005
sau,1211000,2010
sau,1593000,2015
sau,2148000,2020
sau,2950000,2025
sau,3962000,2030
sau,4992000,2035
sau,6128000,2040
sau,7069000,2045
sau,8126000,2050
sen,132000,1950
sen,140000,1955
sen,151000,1960
sen,168000,1965
sen,189000,1970
sen,216000,1975
sen,246000,1980
sen,282000,1985
sen,322000,1990
sen,369000,1995
sen,415000,2000
sen,465000,2005
sen,504000,2010
sen,546000,2015
sen,628000,2020
sen,755000,2025
sen,945000,2030
sen,1209000,2035
sen,1548000,2040
sen,1952000,2045
sen,2419000,2050
srb,736000,1950
srb,707000,1955
srb,785000,1960
srb,897000,1965
srb,1061000,1970
srb,1113000,1975
srb,1123000,1980
srb,1258000,1985
srb,1467000,1990
srb,1789000,1995
srb,1916000,2000
srb,1869000,2005
srb,1940000,2010
srb,2121000,2015
srb,2218000,2020
srb,2288000,2025
srb,2371000,2030
srb,2482000,2035
srb,2607000,2040
srb,2730000,2045
srb,2825000,2050
sle,102000,1950
sle,116000,1955
sle,129000,1960
sle,140000,1965
sle,153000,1970
sle,164000,1975
sle,177000,1980
sle,191000,1985
sle,199000,1990
sle,177000,1995
sle,171000,2000
sle,186000,2005
sle,203000,2010
sle,217000,2015
sle,247000,2020
sle,293000,2025
sle,355000,2030
sle,441000,2035
sle,553000,2040
sle,687000,2045
sle,834000,2050
sgp,38000,1950
sgp,44000,1955
sgp,60000,1960
sgp,88000,1965
sgp,119000,1970
sgp,153000,1975
sgp,175000,1980
sgp,212000,1985
sgp,253000,1990
sgp,324000,1995
sgp,424000,2000
sgp,524000,2005
sgp,776000,2010
sgp,1057000,2015
sgp,1385000,2020
sgp,1704000,2025
sgp,1942000,2030
sgp,2065000,2035
sgp,2085000,2040
sgp,2072000,2045
sgp,2067000,2050
svk,344000,1950
svk,374000,1955
svk,436000,1960
svk,509000,1965
svk,631000,1970
svk,655000,1975
svk,666000,1980
svk,703000,1985
svk,778000,1990
svk,805000,1995
svk,824000,2000
svk,866000,2005
svk,955000,2010
svk,1103000,2015
svk,1235000,2020
svk,1332000,2025
svk,1391000,2030
svk,1489000,2035
svk,1620000,2040
svk,1721000,2045
svk,1780000,2050
svn,156000,1950
svn,167000,1955
svn,195000,1960
svn,224000,1965
svn,249000,1970
svn,267000,1975
svn,265000,1980
svn,284000,1985
svn,314000,1990
svn,351000,1995
svn,384000,2000
svn,410000,2005
svn,454000,2010
svn,511000,2015
svn,562000,2020
svn,606000,2025
svn,639000,2030
svn,668000,2035
svn,701000,2040
svn,720000,2045
svn,725000,2050
slb,3000,1950
slb,4000,1955
slb,6000,1960
slb,6000,1965
slb,8000,1970
slb,10000,1975
slb,11000,1980
slb,15000,1985
slb,16000,1990
slb,17000,1995
slb,19000,2000
slb,22000,2005
slb,25000,2010
slb,31000,2015
slb,38000,2020
slb,47000,2025
slb,58000,2030
slb,75000,2035
slb,95000,2040
slb,114000,2045
slb,133000,2050
som,105000,1950
som,120000,1955
som,138000,1960
som,157000,1965
som,177000,1970
som,200000,1975
som,304000,1980
som,300000,1985
som,306000,1990
som,291000,1995
som,330000,2000
som,363000,2005
som,406000,2010
som,490000,2015
som,586000,2020
som,700000,2025
som,841000,2030
som,1014000,2035
som,1235000,2040
som,1414000,2045
som,1665000,2050
zaf,814000,1950
zaf,934000,1955
zaf,1054000,1960
zaf,1196000,1965
zaf,1247000,1970
zaf,1332000,1975
zaf,1469000,1980
zaf,1644000,1985
zaf,1885000,1990
zaf,2269000,1995
zaf,2651000,2000
zaf,3140000,2005
zaf,3694000,2010
zaf,4374000,2015
zaf,5063000,2020
zaf,5629000,2025
zaf,6051000,2030
zaf,6364000,2035
zaf,6710000,2040
zaf,7308000,2045
zaf,8061000,2050
esp,3063000,1950
esp,3367000,1955
esp,3754000,1960
esp,4098000,1965
esp,4801000,1970
esp,5325000,1975
esp,5799000,1980
esp,6536000,1985
esp,7367000,1990
esp,8198000,1995
esp,8697000,2000
esp,9301000,2005
esp,10150000,2010
esp,10950000,2015
esp,12020000,2020
esp,13390000,2025
esp,14970000,2030
esp,16690000,2035
esp,18330000,2040
esp,19180000,2045
esp,19240000,2050
lka,1002000,1950
lka,773000,1955
lka,672000,1960
lka,670000,1965
lka,743000,1970
lka,874000,1975
lka,1031000,1980
lka,1230000,1985
lka,1441000,1990
lka,1641000,1995
lka,1778000,2000
lka,1975000,2005
lka,2508000,2010
lka,3115000,2015
lka,3721000,2020
lka,4331000,2025
lka,4851000,2030
lka,5010000,2035
lka,5261000,2040
lka,5754000,2045
lka,6044000,2050
sdn,491000,1950
sdn,532000,1955
sdn,572000,1960
sdn,627000,1965
sdn,707000,1970
sdn,822000,1975
sdn,969000,1980
sdn,1148000,1985
sdn,1312000,1990
sdn,1524000,1995
sdn,1789000,2000
sdn,2084000,2005
sdn,2481000,2010
sdn,2922000,2015
sdn,3456000,2020
sdn,4075000,2025
sdn,4832000,2030
sdn,5766000,2035
sdn,6896000,2040
sdn,8196000,2045
sdn,9651000,2050
sur,18000,1950
sur,17000,1955
sur,17000,1960
sur,20000,1965
sur,21000,1970
sur,20000,1975
sur,22000,1980
sur,25000,1985
sur,29000,1990
sur,33000,1995
sur,40000,2000
sur,44000,2005
sur,50000,2010
sur,55000,2015
sur,66000,2020
sur,83000,2025
sur,97000,2030
sur,112000,2035
sur,119000,2040
sur,131000,2045
sur,140000,2050
swz,12000,1950
swz,14000,1955
swz,16000,1960
swz,18000,1965
swz,19000,1970
swz,22000,1975
swz,26000,1980
swz,31000,1985
swz,37000,1990
swz,43000,1995
swz,52000,2000
swz,54000,2005
swz,63000,2010
swz,72000,2015
swz,83000,2020
swz,88000,2025
swz,90000,2030
swz,87000,2035
swz,91000,2040
swz,105000,2045
swz,136000,2050
swe,1049000,1950
swe,1145000,1955
swe,1291000,1960
swe,1412000,1965
swe,1574000,1970
swe,1723000,1975
swe,1824000,1980
swe,1969000,1985
swe,1948000,1990
swe,1945000,1995
swe,1959000,2000
swe,2110000,2005
swe,2322000,2010
swe,2464000,2015
swe,2598000,2020
swe,2755000,2025
swe,2908000,2030
swe,3013000,2035
swe,3053000,2040
swe,3089000,2045
swe,3192000,2050
che,652000,1950
che,718000,1955
che,806000,1960
che,908000,1965
che,1015000,1970
che,1107000,1975
che,1153000,1980
che,1236000,1985
che,1305000,1990
che,1380000,1995
che,1457000,2000
che,1606000,2005
che,1769000,2010
che,1918000,2015
che,2104000,2020
che,2333000,2025
che,2523000,2030
che,2620000,2035
che,2651000,2040
che,2681000,2045
che,2708000,2050
syr,238000,1950
syr,251000,1955
syr,261000,1960
syr,274000,1965
syr,295000,1970
syr,326000,1975
syr,374000,1980
syr,449000,1985
syr,538000,1990
syr,639000,1995
syr,756000,2000
syr,896000,2005
syr,1095000,2010
syr,1338000,2015
syr,1674000,2020
syr,2176000,2025
syr,2815000,2030
syr,3632000,2035
syr,4648000,2040
syr,5840000,2045
syr,6977000,2050
tjk,114000,1950
tjk,133000,1955
tjk,157000,1960
tjk,191000,1965
tjk,220000,1970
tjk,231000,1975
tjk,245000,1980
tjk,271000,1985
tjk,331000,1990
tjk,340000,1995
tjk,341000,2000
tjk,333000,2005
tjk,355000,2010
tjk,424000,2015
tjk,552000,2020
tjk,723000,2025
tjk,867000,2030
tjk,1009000,2035
tjk,1155000,2040
tjk,1381000,2045
tjk,1732000,2050
tza,289000,1950
tza,339000,1955
tza,401000,1960
tza,473000,1965
tza,560000,1970
tza,669000,1975
tza,790000,1980
tza,934000,1985
tza,1105000,1990
tza,1326000,1995
tza,1564000,2000
tza,1849000,2005
tza,2190000,2010
tza,2550000,2015
tza,2952000,2020
tza,3407000,2025
tza,3965000,2030
tza,4721000,2035
tza,5723000,2040
tza,6936000,2045
tza,8386000,2050
tha,1041000,1950
tha,1190000,1955
tha,1421000,1960
tha,1691000,1965
tha,2003000,1970
tha,2344000,1975
tha,2723000,1980
tha,3301000,1985
tha,4188000,1990
tha,5136000,1995
tha,6005000,2000
tha,6761000,2005
tha,7867000,2010
tha,9599000,2015
tha,11710000,2020
tha,13890000,2025
tha,15840000,2030
tha,17320000,2035
tha,18250000,2040
tha,18900000,2045
tha,19330000,2050
tls,24000,1950
tls,21000,1955
tls,22000,1960
tls,26000,1965
tls,27000,1970
tls,30000,1975
tls,22000,1980
tls,23000,1985
tls,26000,1990
tls,32000,1995
tls,34000,2000
tls,45000,2005
tls,56000,2010
tls,67000,2015
tls,83000,2020
tls,99000,2025
tls,112000,2030
tls,131000,2035
tls,147000,2040
tls,187000,2045
tls,240000,2050
tgo,90000,1950
tgo,89000,1955
tgo,90000,1960
tgo,91000,1965
tgo,110000,1970
tgo,126000,1975
tgo,140000,1980
tgo,166000,1985
tgo,192000,1990
tgo,217000,1995
tgo,264000,2000
tgo,312000,2005
tgo,372000,2010
tgo,444000,2015
tgo,529000,2020
tgo,629000,2025
tgo,754000,2030
tgo,914000,2035
tgo,1124000,2040
tgo,1375000,2045
tgo,1653000,2050
ton,1000,1950
ton,1000,1955
ton,2000,1960
ton,2000,1965
ton,3000,1970
ton,3000,1975
ton,4000,1980
ton,5000,1985
ton,6000,1990
ton,7000,1995
ton,8000,2000
ton,9000,2005
ton,8000,2010
ton,9000,2015
ton,9000,2020
ton,10000,2025
ton,12000,2030
ton,15000,2035
ton,14000,2040
ton,15000,2045
ton,16000,2050
tto,39000,1950
tto,44000,1955
tto,49000,1960
tto,52000,1965
tto,65000,1970
tto,77000,1975
tto,87000,1980
tto,94000,1985
tto,97000,1990
tto,102000,1995
tto,111000,2000
tto,123000,2005
tto,142000,2010
tto,167000,2015
tto,203000,2020
tto,245000,2025
tto,271000,2030
tto,294000,2035
tto,318000,2040
tto,358000,2045
tto,384000,2050
tun,285000,1950
tun,263000,1955
tun,264000,1960
tun,258000,1965
tun,317000,1970
tun,330000,1975
tun,378000,1980
tun,460000,1985
tun,587000,1990
tun,770000,1995
tun,857000,2000
tun,910000,2005
tun,1008000,2010
tun,1208000,2015
tun,1466000,2020
tun,1744000,2025
tun,2052000,2030
tun,2391000,2035
tun,2786000,2040
tun,3199000,2045
tun,3587000,2050
tur,1240000,1950
tur,1441000,1955
tur,1713000,1960
tur,1998000,1965
tur,2457000,1970
tur,2744000,1975
tur,2912000,1980
tur,3230000,1985
tur,3758000,1990
tur,4537000,1995
tur,5189000,2000
tur,5866000,2005
tur,6812000,2010
tur,8046000,2015
tur,9670000,2020
tur,11710000,2025
tur,14020000,2030
tur,16740000,2035
tur,19450000,2040
tur,21990000,2045
tur,23780000,2050
tkm,115000,1950
tkm,117000,1955
tkm,123000,1960
tkm,140000,1965
tkm,158000,1970
tkm,171000,1975
tkm,172000,1980
tkm,190000,1985
tkm,227000,1990
tkm,260000,1995
tkm,296000,2000
tkm,293000,2005
tkm,318000,2010
tkm,386000,2015
tkm,502000,2020
tkm,638000,2025
tkm,763000,2030
tkm,895000,2035
tkm,1032000,2040
tkm,1192000,2045
tkm,1393000,2050
uga,244000,1950
uga,257000,1955
uga,288000,1960
uga,338000,1965
uga,399000,1970
uga,463000,1975
uga,543000,1980
uga,639000,1985
uga,768000,1990
uga,916000,1995
uga,1011000,2000
uga,1155000,2005
uga,1301000,2010
uga,1462000,2015
uga,1620000,2020
uga,1833000,2025
uga,2205000,2030
uga,2812000,2035
uga,3617000,2040
uga,4661000,2045
uga,5941000,2050
ukr,4080000,1950
ukr,4365000,1955
ukr,4749000,1960
ukr,5587000,1965
ukr,6616000,1970
ukr,7738000,1975
ukr,7750000,1980
ukr,8361000,1985
ukr,9537000,1990
ukr,9446000,1995
ukr,10230000,2000
ukr,9666000,2005
ukr,9496000,2010
ukr,9754000,2015
ukr,10250000,2020
ukr,10570000,2025
ukr,10510000,2030
ukr,10590000,2035
ukr,10770000,2040
ukr,11180000,2045
ukr,11470000,2050
are,4000,1950
are,4000,1955
are,4000,1960
are,6000,1965
are,11000,1970
are,19000,1975
are,20000,1980
are,31000,1985
are,39000,1990
are,46000,1995
are,60000,2000
are,73000,2005
are,97000,2010
are,151000,2015
are,237000,2020
are,328000,2025
are,523000,2030
are,867000,2035
are,1172000,2040
are,1356000,2045
are,1449000,2050
gbr,7855000,1950
gbr,8285000,1955
gbr,8833000,1960
gbr,9554000,1965
gbr,10470000,1970
gbr,11070000,1975
gbr,11240000,1980
gbr,11730000,1985
gbr,11910000,1990
gbr,12040000,1995
gbr,12250000,2000
gbr,12820000,2005
gbr,14040000,2010
gbr,14800000,2015
gbr,15780000,2020
gbr,17190000,2025
gbr,18470000,2030
gbr,19210000,2035
gbr,19540000,2040
gbr,20100000,2045
gbr,20870000,2050
usa,19730000,1950
usa,22440000,1955
usa,24700000,1960
usa,26850000,1965
usa,29490000,1970
usa,32440000,1975
usa,35890000,1980
usa,39460000,1985
usa,42260000,1990
usa,44010000,1995
usa,46590000,2000
usa,50670000,2005
usa,57780000,2010
usa,66740000,2015
usa,77110000,2020
usa,86740000,2025
usa,93520000,2030
usa,98390000,2035
usa,102200000,2040
usa,106100000,2045
usa,110500000,2050
ury,265000,1950
ury,278000,1955
ury,301000,1960
ury,333000,1965
ury,363000,1970
ury,400000,1975
ury,430000,1980
ury,469000,1985
ury,515000,1990
ury,554000,1995
ury,576000,2000
ury,595000,2005
ury,620000,2010
ury,654000,2015
ury,703000,2020
ury,755000,2025
ury,799000,2030
ury,855000,2035
ury,915000,2040
ury,951000,2045
ury,996000,2050
uzb,576000,1950
uzb,645000,1955
uzb,751000,1960
uzb,914000,1965
uzb,1043000,1970
uzb,1082000,1975
uzb,1070000,1980
uzb,1164000,1985
uzb,1325000,1990
uzb,1449000,1995
uzb,1628000,2000
uzb,1629000,2005
uzb,1757000,2010
uzb,2142000,2015
uzb,2797000,2020
uzb,3578000,2025
uzb,4253000,2030
uzb,4991000,2035
uzb,5744000,2040
uzb,6671000,2045
uzb,7832000,2050
vut,2000,1950
vut,2000,1955
vut,2000,1960
vut,2000,1965
vut,3000,1970
vut,5000,1975
vut,5000,1980
vut,6000,1985
vut,8000,1990
vut,8000,1995
vut,9000,2000
vut,11000,2005
vut,12000,2010
vut,17000,2015
vut,20000,2020
vut,25000,2025
vut,31000,2030
vut,38000,2035
vut,45000,2040
vut,54000,2045
vut,66000,2050
ven,174000,1950
ven,250000,1955
ven,317000,1960
ven,405000,1965
ven,515000,1970
ven,633000,1975
ven,764000,1980
ven,922000,1985
ven,1144000,1990
ven,1380000,1995
ven,1644000,2000
ven,2003000,2005
ven,2507000,2010
ven,3135000,2015
ven,3845000,2020
ven,4711000,2025
ven,5579000,2030
ven,6388000,2035
ven,7322000,2040
ven,8286000,2045
ven,9287000,2050
vnm,1917000,1950
vnm,2173000,1955
vnm,2484000,1960
vnm,2911000,1965
vnm,3226000,1970
vnm,3593000,1975
vnm,3754000,1980
vnm,4176000,1985
vnm,4663000,1990
vnm,5472000,1995
vnm,6138000,2000
vnm,7116000,2005
vnm,7777000,2010
vnm,9389000,2015
vnm,12040000,2020
vnm,15500000,2025
vnm,19150000,2030
vnm,22540000,2035
vnm,25210000,2040
vnm,27210000,2045
vnm,29750000,2050
vir,3000,1950
vir,3000,1955
vir,3000,1960
vir,3000,1965
vir,3000,1970
vir,4000,1975
vir,6000,1980
vir,8000,1985
vir,8000,1990
vir,11000,1995
vir,14000,2000
vir,19000,2005
vir,23000,2010
vir,25000,2015
vir,29000,2020
vir,32000,2025
vir,31000,2030
vir,30000,2035
vir,28000,2040
vir,26000,2045
vir,26000,2050
pse,74000,1950
pse,71000,1955
pse,68000,1960
pse,63000,1965
pse,57000,1970
pse,61000,1975
pse,74000,1980
pse,96000,1985
pse,110000,1990
pse,146000,1995
pse,152000,2000
pse,169000,2005
pse,194000,2010
pse,232000,2015
pse,296000,2020
pse,385000,2025
pse,484000,2030
pse,609000,2035
pse,746000,2040
pse,901000,2045
pse,1113000,2050
esh,0,1950
esh,0,1955
esh,1000,1960
esh,2000,1965
esh,3000,1970
esh,3000,1975
esh,7000,1980
esh,8000,1985
esh,8000,1990
esh,10000,1995
esh,12000,2000
esh,16000,2005
esh,21000,2010
esh,33000,2015
esh,50000,2020
esh,68000,2025
esh,93000,2030
esh,120000,2035
esh,150000,2040
esh,180000,2045
esh,204000,2050
yem,266000,1950
yem,253000,1955
yem,249000,1960
yem,252000,1965
yem,259000,1970
yem,270000,1975
yem,298000,1980
yem,336000,1985
yem,381000,1990
yem,606000,1995
yem,679000,2000
yem,788000,2005
yem,933000,2010
yem,1145000,2015
yem,1419000,2020
yem,1744000,2025
yem,2107000,2030
yem,2581000,2035
yem,3263000,2040
yem,4221000,2045
yem,5439000,2050
zmb,102000,1950
zmb,111000,1955
zmb,128000,1960
zmb,152000,1965
zmb,179000,1970
zmb,216000,1975
zmb,255000,1980
zmb,300000,1985
zmb,349000,1990
zmb,406000,1995
zmb,477000,2000
zmb,549000,2005
zmb,631000,2010
zmb,706000,2015
zmb,779000,2020
zmb,841000,2025
zmb,916000,2030
zmb,1041000,2035
zmb,1244000,2040
zmb,1491000,2045
zmb,1826000,2050
zwe,147000,1950
zwe,172000,1955
zwe,198000,1960
zwe,226000,1965
zwe,254000,1970
zwe,291000,1975
zwe,342000,1980
zwe,402000,1985
zwe,475000,1990
zwe,554000,1995
zwe,638000,2000
zwe,703000,2005
zwe,732000,2010
zwe,823000,2015
zwe,876000,2020
zwe,880000,2025
zwe,873000,2030
zwe,965000,2035
zwe,1291000,2040
zwe,1899000,2045
zwe,2664000,2050
