geo,population_aged_60plus_years_total_number,time
bih,441000,1995
bih,613000,2000
bih,668000,2005
bih,718000,2010
bih,809000,2015
bih,902000,2020
bih,990000,2025
bih,1049000,2030
bih,1087000,2035
bih,1116000,2040
bih,1148000,2045
bih,1179000,2050
bwa,29000,1950
bwa,31000,1955
bwa,29000,1960
bwa,32000,1965
bwa,32000,1970
bwa,34000,1975
bwa,38000,1980
bwa,47000,1985
bwa,56000,1990
bwa,67000,1995
bwa,82000,2000
bwa,99000,2005
bwa,117000,2010
bwa,145000,2015
bwa,169000,2020
bwa,185000,2025
bwa,193000,2030
bwa,201000,2035
bwa,229000,2040
bwa,280000,2045
bwa,342000,2050
bra,2628000,1950
bra,3169000,1955
bra,3872000,1960
bra,4574000,1965
bra,5471000,1970
bra,6499000,1975
bra,7531000,1980
bra,8598000,1985
bra,10180000,1990
bra,11870000,1995
bra,14160000,2000
bra,16550000,2005
bra,19840000,2010
bra,24150000,2015
bra,29310000,2020
bra,35380000,2025
bra,41000000,2030
bra,46510000,2035
bra,52640000,2040
bra,59120000,2045
bra,64020000,2050
brn,3000,1950
brn,5000,1955
brn,5000,1960
brn,6000,1965
brn,7000,1970
brn,8000,1975
brn,9000,1980
brn,10000,1985
brn,11000,1990
brn,12000,1995
brn,15000,2000
brn,18000,2005
brn,24000,2010
brn,35000,2015
brn,48000,2020
brn,57000,2025
brn,74000,2030
brn,89000,2035
brn,104000,2040
brn,121000,2045
brn,136000,2050
bgr,737000,1950
bgr,798000,1955
bgr,896000,1960
bgr,1062000,1965
bgr,1249000,1970
bgr,1403000,1975
bgr,1387000,1980
bgr,1567000,1985
bgr,1700000,1990
bgr,1784000,1995
bgr,1775000,2000
bgr,1771000,2005
bgr,1839000,2010
bgr,1884000,2015
bgr,1917000,2020
bgr,1934000,2025
bgr,1952000,2030
bgr,1994000,2035
bgr,2054000,2040
bgr,2069000,2045
bgr,2060000,2050
bfa,154000,1950
bfa,189000,1955
bfa,221000,1960
bfa,249000,1965
bfa,274000,1970
bfa,302000,1975
bfa,326000,1980
bfa,347000,1985
bfa,368000,1990
bfa,390000,1995
bfa,421000,2000
bfa,481000,2005
bfa,534000,2010
bfa,614000,2015
bfa,750000,2020
bfa,944000,2025
bfa,1198000,2030
bfa,1516000,2035
bfa,1903000,2040
bfa,2363000,2045
bfa,2890000,2050
bdi,127000,1950
bdi,133000,1955
bdi,150000,1960
bdi,167000,1965
bdi,188000,1970
bdi,202000,1975
bdi,223000,1980
bdi,248000,1985
bdi,266000,1990
bdi,275000,1995
bdi,284000,2000
bdi,322000,2005
bdi,378000,2010
bdi,467000,2015
bdi,568000,2020
bdi,671000,2025
bdi,773000,2030
bdi,908000,2035
bdi,1121000,2040
bdi,1447000,2045
bdi,1826000,2050
khm,197000,1950
khm,219000,1955
khm,247000,1960
