energy_production_per_person,geo,time
0.00152,ago,1983
0.001626,ago,1984
0.001737,ago,1985
0.001967,ago,1986
0.002334,ago,1987
0.002762,ago,1988
0.002705,ago,1989
0.002772,ago,1990
0.002812,ago,1991
0.002977,ago,1992
0.002685,ago,1993
0.002806,ago,1994
0.003008,ago,1995
0.003196,ago,1996
0.003249,ago,1997
0.00327,ago,1998
0.003223,ago,1999
0.003137,ago,2000
0.00302,ago,2001
0.003454,ago,2002
0.00333,ago,2003
0.00361,ago,2004
0.0043,ago,2005
0.004703,ago,2006
0.005424,ago,2007
0.005864,ago,2008
0.005441,ago,2009
0.001254,arg,1971
0.001249,arg,1972
0.00121,arg,1973
0.001204,arg,1974
0.001175,arg,1975
0.001172,arg,1976
0.001216,arg,1977
0.001242,arg,1978
0.001312,arg,1979
0.00138,arg,1980
0.001381,arg,1981
0.001379,arg,1982
0.001426,arg,1983
0.001436,arg,1984
0.001402,arg,1985
0.001391,arg,1986
0.001385,arg,1987
0.001458,arg,1988
0.001468,arg,1989
0.001483,arg,1990
0.001517,arg,1991
0.00162,arg,1992
0.001676,arg,1993
0.001813,arg,1994
0.001919,arg,1995
0.002042,arg,1996
0.002169,arg,1997
0.002205,arg,1998
0.002191,arg,1999
0.002228,arg,2000
0.002265,arg,2001
0.00216,arg,2002
0.002218,arg,2003
0.002273,arg,2004
0.002189,arg,2005
0.002209,arg,2006
0.002105,arg,2007
0.002086,arg,2008
0.002017,arg,2009
3.874e-05,arm,1990
3.85e-05,arm,1991
7.615e-05,arm,1992
0.0001098,arm,1993
9.212e-05,arm,1994
7.607e-05,arm,1995
0.0002338,arm,1996
0.000172,arm,1997
0.000176,arm,1998
0.0002089,arm,1999
0.0002054,arm,2000
0.0001964,arm,2001
0.0002412,arm,2002
0.0002262,arm,2003
0.0002437,arm,2004
0.0002809,arm,2005
0.0002756,arm,2006
0.0002687,arm,2007
0.0002589,arm,2008
0.0002674,arm,2009
0.002071,aus,1960
0.002148,aus,1961
0.00214,aus,1962
0.002161,aus,1963
0.00228,aus,1964
0.00249,aus,1965
0.002546,aus,1966
0.002626,aus,1967
0.002897,aus,1968
0.003107,aus,1969
0.003747,aus,1970
0.004146,aus,1971
0.004716,aus,1972
0.005046,aus,1973
0.004931,aus,1974
0.005397,aus,1975
0.005349,aus,1976
0.005781,aus,1977
0.005676,aus,1978
0.005952,aus,1979
0.005806,aus,1980
0.006523,aus,1981
0.006526,aus,1982
0.007008,aus,1983
0.007603,aus,1984
0.008099,aus,1985
0.008494,aus,1986
0.009118,aus,1987
0.008239,aus,1988
0.008586,aus,1989
0.009214,aus,1990
0.009642,aus,1991
0.00982,aus,1992
0.009868,aus,1993
0.009679,aus,1994
0.01032,aus,1995
0.01036,aus,1996
0.01085,aus,1997
0.01156,aus,1998
0.01127,aus,1999
0.01219,aus,2000
0.01309,aus,2001
0.01344,aus,2002
0.01329,aus,2003
0.01339,aus,2004
0.01373,aus,2005
0.01357,aus,2006
0.01414,aus,2007
0.01399,aus,2008
0.01419,aus,2009
0.01455,aus,2010
0.001045,aut,1960
0.001006,aut,1961
0.001023,aut,1962
0.00108,aut,1963
0.001066,aut,1964
0.0011,aut,1965
0.001115,aut,1966
0.00106,aut,1967
0.001022,aut,1968
0.0009906,aut,1969
0.001065,aut,1970
0.0009824,aut,1971
0.0009743,aut,1972
0.001049,aut,1973
0.001033,aut,1974
0.00103,aut,1975
0.0009545,aut,1976
0.001012,aut,1977
0.001035,aut,1978
0.00106,aut,1979
0.001011,aut,1980
0.0009827,aut,1981
0.0009931,aut,1982
0.0009677,aut,1983
0.0009737,aut,1984
0.001,aut,1985
0.001012,aut,1986
0.001062,aut,1987
0.001208,aut,1988
0.001129,aut,1989
0.001057,aut,1990
0.001082,aut,1991
0.0011,aut,1992
0.001118,aut,1993
0.001064,aut,1994
0.001101,aut,1995
0.001085,aut,1996
0.001092,aut,1997
0.001113,aut,1998
0.001217,aut,1999
0.001222,aut,2000
0.001216,aut,2001
0.001215,aut,2002
0.00118,aut,2003
0.001209,aut,2004
0.001222,aut,2005
0.001226,aut,2006
0.001309,aut,2007
0.001346,aut,2008
0.001362,aut,2009
0.001331,aut,2010
0.002862,aze,1990
0.002589,aze,1991
0.002438,aze,1992
0.002168,aze,1993
0.001947,aze,1994
0.001896,aze,1995
