geo,income_share_of_middle_20percent,time
lao,16.18,2003
lva,18.71,1988
lva,17.59,1993
lva,17.28,1996
lva,16.73,1998
lva,16.1,2002
lva,16.27,2004
lso,11.25,1987
lso,10.19,1993
lso,9.0,1995
lso,12.52,2003
lbr,15.66,2007
ltu,18.62,1988
ltu,16.26,1993
ltu,16.84,1996
ltu,17.36,1998
ltu,16.91,2002
ltu,16.27,2004
lux,17.1,2000
mkd,17.97,1998
mkd,16.86,2000
mkd,15.68,2002
mkd,15.58,2003
mdg,13.35,1980
mdg,13.61,1993
mdg,14.51,1999
mdg,12.86,2001
mdg,13.06,2005
mwi,12.32,1998
mwi,14.89,2004
mys,13.07,1984
mys,13.42,1987
mys,13.57,1989
mys,13.31,1992
mys,13.13,1995
mys,13.03,1997
mys,15.78,2004
mli,12.1,1994
mli,14.95,2001
mli,15.18,2006
mrt,15.0,1987
mrt,12.21,1993
mrt,15.96,1996
mrt,15.35,2000
mex,13.62,1984
mex,11.62,1989
mex,12.58,1992
mex,12.26,1994
mex,13.26,1996
mex,13.28,1998
mex,12.4,2000
mex,12.88,2002
mex,14.09,2004
mex,13.2,2006
mda,18.37,1988
mda,16.75,1992
mda,16.09,1997
mda,15.86,1999
mda,15.73,2002
mda,15.96,2004
mng,16.75,1995
mng,17.7,1998
mng,16.84,2002
mng,16.97,2005
mar,15.07,1985
mar,14.99,1991
mar,15.13,1999
mar,14.73,2001
mar,14.54,2007
moz,13.86,1997
moz,13.06,2003
nam,5.46,1993
npl,14.97,1996
npl,12.45,2004
nld,17.24,1999
nzl,15.81,1997
nic,11.44,1993
nic,12.09,1998
nic,12.61,2001
nic,12.26,2005
ner,15.67,1992
ner,14.59,1994
ner,13.91,2005
nga,15.52,1986
nga,14.57,1993
nga,13.56,1996
nga,14.68,2004
nor,17.24,2000
pak,16.07,1987
pak,16.3,1991
pak,16.29,1993
pak,16.65,1997
pak,15.89,1999
pak,16.39,2002
pak,16.33,2005
pan,13.13,1979
pan,11.45,1991
pan,11.34,1995
pan,11.53,1996
pan,13.87,1997
pan,11.57,2000
pan,11.27,2002
pan,11.7,2004
pan,12.11,2006
png,12.06,1996
pry,15.44,1990
pry,10.74,1995
pry,11.73,1998
pry,11.62,1999
pry,11.27,2002
pry,12.19,2005
pry,12.21,2007
per,13.89,1986
per,14.08,1990
per,14.12,1994
per,14.07,1996
per,11.84,2002
per,12.31,2005
per,13.15,2006
phl,14.42,1985
phl,14.43,1988
phl,13.67,1991
phl,13.96,1994
phl,13.2,1997
phl,13.17,2000
phl,13.68,2003
phl,13.68,2006
pol,18.1,1985
pol,18.03,1987
pol,17.89,1989
pol,17.87,1993
pol,16.4,1996
pol,16.52,1999
pol,16.34,2002
pol,16.2,2005
prt,15.45,1997
rou,18.72,1989
rou,18.44,1992
rou,17.64,1994
rou,17.31,1998
rou,17.4,2000
rou,17.14,2002
rou,16.84,2005
rus,18.54,1988
rus,13.33,1993
rus,14.11,1996
rus,16.09,1999
rus,16.34,2002
rus,15.89,2005
rwa,16.65,1985
rwa,13.29,2000
lca,14.81,1995
sen,11.6,1991
sen,14.38,1995
sen,14.33,2001
sen,15.32,2005
sle,9.77,1990
sle,14.04,2003
sgp,14.55,1998
svk,18.68,1988
svk,18.92,1992
svk,18.6,1996
svn,18.22,1987
svn,16.94,1993
svn,17.51,1998
svn,17.47,2002
svn,17.0,2004
zaf,9.3,1993
zaf,10.15,1995
zaf,9.88,2000
esp,16.43,2000
lka,16.4,1985
lka,16.1,1991
lka,15.43,1996
lka,14.42,2002
sur,12.59,1999
swz,9.96,1995
swz,12.34,2001
swe,17.57,2000
che,16.29,2000
tjk,17.02,1999
tjk,16.59,2003
tjk,16.41,2004
tza,16.55,1992
tza,16.28,2000
tha,13.5,1981
tha,13.53,1988
tha,12.95,1992
tha,14.0,1996
tha,13.65,1999
tha,14.3,2002
tha,14.22,2004
tls,14.78,2001
tgo,16.09,2006
tto,14.91,1988
tto,15.53,1992
tun,14.25,1985
tun,15.27,1990
tun,14.88,1995
tun,14.94,2000
tur,13.98,1987
tur,14.81,1994
tur,14.47,2002
tur,14.62,2005
tkm,17.17,1988
tkm,16.25,1993
tkm,14.87,1998
uga,14.25,1989
uga,14.41,1992
uga,15.31,1996
uga,14.15,1999
uga,13.3,2002
uga,14.12,2005
ukr,18.47,1988
ukr,18.06,1992
ukr,16.26,1996
ukr,17.41,1999
ukr,17.58,2002
ukr,17.57,2005
gbr,15.96,1999
usa,15.66,2000
ury,15.04,1992
ury,14.69,1996
ury,14.43,1998
ury,14.35,2000
ury,14.41,2001
ury,14.33,2005
ury,13.97,2006
uzb,17.21,1988
uzb,14.8,1998
uzb,15.97,2002
uzb,15.67,2003
ven,11.18,1981
ven,11.64,1987
ven,14.56,1989
ven,14.97,1993
ven,13.6,1996
ven,13.95,1998
ven,14.12,2003
ven,14.05,2005
ven,14.77,2006
vnm,15.44,1993
vnm,15.4,1998
vnm,14.94,2002
vnm,14.58,2004
vnm,15.15,2006
yem,15.37,1992
yem,16.7,1998
yem,15.27,2005
zmb,10.78,1991
zmb,12.31,1993
zmb,12.86,1996
zmb,12.12,1998
zmb,14.37,2003
zmb,12.81,2004
zwe,12.19,1995
