geo,forest_land_total_area_ha,time
shn,2000,2005
stp,27000,1990
stp,27000,2000
stp,27000,2005
sen,9348000,1990
sen,8898000,2000
sen,8673000,2005
sle,3044000,1990
sle,2851000,2000
sle,2754000,2005
tgo,685000,1990
tgo,486000,2000
tgo,386000,2005
chn,157100000,1990
chn,177000000,2000
chn,197300000,2005
prk,8201000,1990
prk,6821000,2000
prk,6187000,2005
jpn,24950000,1990
jpn,24880000,2000
jpn,24870000,2005
mng,11490000,1990
mng,10660000,2000
mng,10250000,2005
kor,6371000,1990
kor,6300000,2000
kor,6265000,2005
bgd,882000,1990
bgd,884000,2000
bgd,871000,2005
btn,3035000,1990
btn,3141000,2000
btn,3195000,2005
brn,313000,1990
brn,288000,2000
brn,278000,2005
khm,12950000,1990
khm,11540000,2000
khm,10450000,2005
ind,63940000,1990
ind,67550000,2000
ind,67700000,2005
idn,116600000,1990
idn,97850000,2000
idn,88500000,2005
lao,17310000,1990
lao,16530000,2000
lao,16140000,2005
mys,22380000,1990
mys,21590000,2000
mys,20890000,2005
mdv,1000,1990
mdv,1000,2000
mdv,1000,2005
mmr,39220000,1990
mmr,34550000,2000
mmr,32220000,2005
npl,4817000,1990
npl,3900000,2000
npl,3636000,2005
pak,2527000,1990
pak,2116000,2000
pak,1902000,2005
phl,10570000,1990
phl,7949000,2000
phl,7162000,2005
sgp,2000,1990
sgp,2000,2000
sgp,2000,2005
lka,2350000,1990
lka,2082000,2000
lka,1933000,2005
tha,15960000,1990
tha,14810000,2000
tha,14520000,2005
tls,966000,1990
tls,854000,2000
tls,798000,2005
vnm,9363000,1990
vnm,11720000,2000
vnm,12930000,2005
afg,1309000,1990
afg,1015000,2000
afg,867000,2005
arm,346000,1990
arm,305000,2000
arm,283000,2005
aze,936000,1990
aze,936000,2000
aze,936000,2005
cyp,161000,1990
cyp,173000,2000
cyp,174000,2005
geo,2760000,1990
geo,2760000,2000
geo,2760000,2005
irn,11080000,1990
irn,11080000,2000
irn,11080000,2005
irq,804000,1990
irq,818000,2000
irq,822000,2005
isr,154000,1990
isr,164000,2000
isr,171000,2005
jor,83000,1990
jor,83000,2000
jor,83000,2005
kaz,3422000,1990
kaz,3365000,2000
kaz,3337000,2005
kwt,3000,1990
kwt,5000,2000
kwt,6000,2005
kgz,836000,1990
kgz,858000,2000
kgz,869000,2005
lbn,121000,1990
lbn,131000,2000
lbn,136000,2005
pse,9000,1990
pse,9000,2000
pse,9000,2005
omn,2000,1990
omn,2000,2000
omn,2000,2005
sau,2728000,1990
sau,2728000,2000
sau,2728000,2005
syr,372000,1990
syr,432000,2000
syr,461000,2005
tjk,408000,1990
tjk,410000,2000
tjk,410000,2005
tur,9680000,1990
tur,10050000,2000
tur,10180000,2005
tkm,4127000,1990
tkm,4127000,2000
tkm,4127000,2005
are,245000,1990
are,310000,2000
are,312000,2005
uzb,3045000,1990
uzb,3212000,2000
uzb,3295000,2005
yem,549000,1990
yem,549000,2000
yem,549000,2005
alb,789000,1990
alb,769000,2000
alb,794000,2005
and,16000,1990
and,16000,2000
and,16000,2005
aut,3776000,1990
aut,3838000,2000
aut,3862000,2005
blr,7376000,1990
blr,7848000,2000
blr,7894000,2005
bel,677000,1990
bel,667000,2000
bel,667000,2005
bih,2210000,1990
bih,2185000,2000
bih,2185000,2005
bgr,3327000,1990
bgr,3375000,2000
bgr,3625000,2005
chanisl,1000,1990
chanisl,1000,2000
chanisl,1000,2005
hrv,2116000,1990
hrv,2129000,2000
hrv,2135000,2005
cze,2630000,1990
cze,2637000,2000
cze,2648000,2005
dnk,445000,1990
dnk,486000,2000
dnk,500000,2005
est,2163000,1990
est,2243000,2000
est,2284000,2005
fin,22190000,1990
fin,22480000,2000
fin,22500000,2005
fra,14540000,1990
fra,15350000,2000
fra,15550000,2005
deu,10740000,1990
deu,11080000,2000
deu,11080000,2005
grc,3299000,1990
grc,3601000,2000
grc,3752000,2005
hun,1801000,1990
hun,1907000,2000
hun,1976000,2005
isl,25000,1990
isl,38000,2000
isl,46000,2005
irl,441000,1990
irl,609000,2000
irl,669000,2005
gbm,3000,1990
gbm,3000,2000
gbm,3000,2005
ita,8383000,1990
ita,9447000,2000
ita,9979000,2005
lva,2775000,1990
lva,2885000,2000
lva,2941000,2005
lie,6000,1990
lie,7000,2000
lie,7000,2005
ltu,1945000,1990
ltu,2020000,2000
ltu,2099000,2005
lux,86000,1990
lux,87000,2000
lux,87000,2005
nld,345000,1990
nld,360000,2000
nld,365000,2005
nor,9130000,1990
nor,9301000,2000
nor,9387000,2005
pol,8881000,1990
pol,9059000,2000
pol,9192000,2005
prt,3099000,1990
prt,3583000,2000
prt,3783000,2005
mda,319000,1990
mda,326000,2000
mda,329000,2005
rou,6371000,1990
rou,6366000,2000
rou,6370000,2005
rus,809000000,1990
rus,809300000,2000
rus,808800000,2005
scg,2559000,1990
scg,2649000,2000
scg,2694000,2005
svk,1922000,1990
svk,1921000,2000
svk,1929000,2005
svn,1188000,1990
svn,1239000,2000
svn,1264000,2005
esp,13480000,1990
esp,16440000,2000
esp,17920000,2005
swe,27370000,1990
swe,27470000,2000
swe,27530000,2005
che,1155000,1990
che,1199000,2000
che,1221000,2005
mkd,906000,1990
mkd,906000,2000
mkd,906000,2005
ukr,9274000,1990
ukr,9510000,2000
ukr,9575000,2005
gbr,2611000,1990
gbr,2793000,2000
gbr,2845000,2005
aia,6000,1990
aia,6000,2000
aia,6000,2005
atg,9000,1990
atg,9000,2000
atg,9000,2005
bhs,515000,1990
bhs,515000,2000
bhs,515000,2005
brb,2000,1990
brb,2000,2000
brb,2000,2005
bmu,1000,1990
bmu,1000,2000
bmu,1000,2005
vgb,4000,1990
vgb,4000,2000
vgb,4000,2005
cym,12000,1990
cym,12000,2000
cym,12000,2005
cub,2058000,1990
cub,2435000,2000
cub,2713000,2005
dma,50000,1990
dma,47000,2000
dma,46000,2005
dom,1376000,1990
dom,1376000,2000
dom,1376000,2005
grd,4000,1990
grd,4000,2000
grd,4000,2005
glp,84000,1990
glp,81000,2000
glp,80000,2005
hti,116000,1990
hti,109000,2000
hti,105000,2005
jam,345000,1990
jam,341000,2000
jam,339000,2005
mtq,46000,1990
mtq,46000,2000
mtq,46000,2005
msr,4000,1990
msr,4000,2000
msr,4000,2005
ant,1000,1990
ant,1000,2000
ant,1000,2005
pri,404000,1990
pri,407000,2000
pri,408000,2005
kna,5000,1990
kna,5000,2000
kna,5000,2005
lca,17000,1990
lca,17000,2000
lca,17000,2005
vct,9000,1990
vct,10000,2000
vct,11000,2005
tto,235000,1990
tto,228000,2000
tto,226000,2005
tca,34000,1990
tca,34000,2000
tca,34000,2005
vir,12000,1990
vir,10000,2000
vir,10000,2005
blz,1653000,1990
blz,1653000,2000
blz,1653000,2005
cri,2564000,1990
cri,2376000,2000
cri,2391000,2005
slv,375000,1990
slv,324000,2000
slv,298000,2005
gtm,4748000,1990
gtm,4208000,2000
gtm,3938000,2005
hnd,7385000,1990
hnd,5430000,2000
hnd,4648000,2005
nic,6538000,1990
nic,5539000,2000
nic,5189000,2005
pan,4376000,1990
pan,4307000,2000
pan,4294000,2005
can,310100000,1990
can,310100000,2000
can,310100000,2005
mex,69020000,1990
mex,65540000,2000
mex,64240000,2005
spm,3000,1990
spm,3000,2000
spm,3000,2005
usa,298600000,1990
usa,302300000,2000
usa,303100000,2005
asm,18000,1990
asm,18000,2000
asm,18000,2005
aus,167900000,1990
aus,164600000,2000
aus,163700000,2005
cok,15000,1990
cok,16000,2000
cok,16000,2005
fji,979000,1990
fji,1000000,2000
fji,1000000,2005
pyf,105000,1990
pyf,105000,2000
pyf,105000,2005
gum,26000,1990
gum,26000,2000
gum,26000,2005
kir,2000,1990
kir,2000,2000
kir,2000,2005
fsm,63000,1990
fsm,63000,2000
fsm,63000,2005
ncl,717000,1990
ncl,717000,2000
ncl,717000,2005
nzl,7720000,1990
nzl,8226000,2000
nzl,8309000,2005
niu,17000,1990
niu,15000,2000
niu,14000,2005
mnp,35000,1990
mnp,34000,2000
mnp,33000,2005
plw,38000,1990
plw,40000,2000
plw,40000,2005
png,31520000,1990
png,30130000,2000
png,29440000,2005
pcn,4000,1990
pcn,4000,2000
pcn,4000,2005
wsm,130000,1990
wsm,171000,2000
wsm,171000,2005
slb,2768000,1990
slb,2371000,2000
slb,2172000,2005
ton,4000,1990
ton,4000,2000
ton,4000,2005
tuv,1000,1990
tuv,1000,2000
tuv,1000,2005
vut,440000,1990
vut,440000,2000
vut,440000,2005
wlf,6000,1990
wlf,5000,2000
wlf,5000,2005
arg,35260000,1990
arg,33770000,2000
arg,33020000,2005
bol,62800000,1990
bol,60090000,2000
bol,58740000,2005
bra,520000000,1990
bra,493200000,2000
bra,477700000,2005
chl,15260000,1990
chl,15830000,2000
chl,16120000,2005
col,61440000,1990
col,60960000,2000
col,60730000,2005
ecu,13820000,1990
ecu,11840000,2000
ecu,10850000,2005
guf,8091000,1990
guf,8063000,2000
guf,8063000,2005
guy,15100000,1990
guy,15100000,2000
guy,15100000,2005
pry,21160000,1990
pry,19370000,2000
pry,18480000,2005
per,70160000,1990
per,69210000,2000
per,68740000,2005
sur,14780000,1990
sur,14780000,2000
sur,14780000,2005
ury,905000,1990
ury,1409000,2000
ury,1506000,2005
ven,52030000,1990
ven,49150000,2000
ven,47710000,2005
