geo,infectious_tb_new_cases_per_100000_estimated,time
bhs,18,1997
bhs,19,1998
bhs,19,1999
bhs,19,2000
bhs,19,2001
bhs,19,2002
bhs,19,2003
bhs,19,2004
bhs,19,2005
bhs,19,2006
bhs,19,2007
bhr,34,1990
bhr,32,1991
bhr,31,1992
bhr,29,1993
bhr,28,1994
bhr,26,1995
bhr,25,1996
bhr,25,1997
bhr,24,1998
bhr,22,1999
bhr,21,2000
bhr,20,2001
bhr,20,2002
bhr,19,2003
bhr,19,2004
bhr,19,2005
bhr,19,2006
bhr,18,2007
bgd,119,1990
bgd,118,1991
bgd,116,1992
bgd,115,1993
bgd,114,1994
bgd,113,1995
bgd,112,1996
bgd,111,1997
bgd,110,1998
bgd,108,1999
bgd,107,2000
bgd,106,2001
bgd,105,2002
bgd,104,2003
bgd,103,2004
bgd,102,2005
bgd,101,2006
bgd,100,2007
brb,3,1990
brb,3,1991
brb,3,1992
brb,3,1993
brb,2,1994
brb,2,1995
brb,2,1996
brb,2,1997
brb,2,1998
brb,2,1999
brb,2,2000
brb,2,2001
brb,2,2002
brb,2,2003
brb,2,2004
brb,2,2005
brb,2,2006
brb,2,2007
blr,17,1990
blr,15,1991
blr,17,1992
blr,18,1993
blr,22,1994
blr,24,1995
blr,27,1996
blr,29,1997
blr,32,1998
blr,34,1999
blr,33,2000
blr,29,2001
blr,27,2002
blr,27,2003
blr,27,2004
blr,27,2005
blr,27,2006
blr,27,2007
bel,9,1990
bel,8,1991
bel,8,1992
bel,8,1993
bel,8,1994
bel,8,1995
bel,8,1996
bel,7,1997
bel,7,1998
bel,7,1999
bel,7,2000
bel,7,2001
bel,7,2002
bel,6,2003
bel,6,2004
bel,6,2005
bel,6,2006
bel,5,2007
blz,22,1990
blz,22,1991
blz,22,1992
blz,22,1993
blz,21,1994
blz,21,1995
blz,21,1996
blz,21,1997
blz,21,1998
blz,21,1999
blz,21,2000
blz,21,2001
blz,21,2002
blz,21,2003
blz,21,2004
blz,21,2005
blz,21,2006
blz,21,2007
ben,34,1990
ben,35,1991
ben,35,1992
ben,35,1993
ben,35,1994
ben,35,1995
ben,36,1996
ben,36,1997
ben,36,1998
ben,36,1999
ben,37,2000
ben,37,2001
ben,37,2002
ben,38,2003
ben,38,2004
ben,39,2005
ben,39,2006
ben,39,2007
bmu,3,1990
bmu,3,1991
bmu,3,1992
bmu,3,1993
bmu,2,1994
bmu,2,1995
bmu,2,1996
bmu,2,1997
bmu,2,1998
bmu,2,1999
bmu,2,2000
bmu,2,2001
bmu,2,2002
bmu,2,2003
bmu,2,2004
bmu,2,2005
bmu,2,2006
bmu,2,2007
btn,243,1990
btn,232,1991
btn,222,1992
btn,211,1993
btn,202,1994
btn,193,1995
btn,184,1996
btn,176,1997
btn,168,1998
btn,160,1999
btn,153,2000
btn,146,2001
btn,139,2002
btn,133,2003
btn,127,2004
btn,121,2005
btn,116,2006
btn,110,2007
bol,140,1990
bol,136,1991
bol,132,1992
bol,128,1993
bol,124,1994
bol,121,1995
bol,117,1996
bol,114,1997
bol,110,1998
bol,107,1999
bol,104,2000
bol,101,2001
bol,98,2002
bol,95,2003
bol,92,2004
bol,90,2005
bol,87,2006
bol,85,2007
bih,42,1990
bih,42,1991
bih,42,1992
bih,41,1993
bih,40,1994
bih,38,1995
bih,37,1996
bih,37,1997
bih,36,1998
bih,32,1999
bih,28,2000
bih,26,2001
bih,25,2002
bih,25,2003
bih,24,2004
bih,23,2005
bih,23,2006
bih,23,2007
bwa,131,1990
bwa,143,1991
bwa,150,1992
bwa,158,1993
bwa,165,1994
bwa,174,1995
bwa,182,1996
bwa,194,1997
bwa,208,1998
bwa,225,1999
bwa,244,2000
bwa,264,2001
bwa,282,2002
bwa,294,2003
bwa,297,2004
bwa,294,2005
bwa,286,2006
bwa,279,2007
bra,45,1990
bra,44,1991
bra,42,1992
bra,41,1993
bra,39,1994
bra,38,1995
bra,37,1996
bra,36,1997
bra,35,1998
bra,33,1999
bra,32,2000
bra,31,2001
bra,30,2002
bra,29,2003
bra,28,2004
bra,27,2005
bra,27,2006
bra,26,2007
vgb,11,1990
vgb,10,1991
vgb,9,1992
vgb,9,1993
vgb,9,1994
vgb,8,1995
vgb,8,1996
vgb,8,1997
vgb,7,1998
vgb,7,1999
vgb,7,2000
vgb,6,2001
vgb,6,2002
vgb,6,2003
vgb,6,2004
vgb,6,2005
vgb,6,2006
vgb,6,2007
brn,26,1990
brn,26,1991
brn,26,1992
brn,26,1993
brn,26,1994
brn,26,1995
brn,26,1996
brn,26,1997
brn,26,1998
brn,35,1999
brn,28,2000
brn,31,2001
brn,36,2002
brn,38,2003
brn,35,2004
brn,30,2005
brn,37,2006
brn,39,2007
bgr,12,1990
bgr,13,1991
bgr,15,1992
bgr,16,1993
bgr,17,1994
bgr,17,1995
bgr,17,1996
bgr,19,1997
bgr,20,1998
bgr,20,1999
bgr,20,2000
bgr,20,2001
bgr,19,2002
bgr,18,2003
bgr,18,2004
bgr,18,2005
bgr,18,2006
bgr,17,2007
bfa,40,1990
bfa,45,1991
bfa,48,1992
bfa,51,1993
bfa,55,1994
bfa,58,1995
bfa,61,1996
bfa,66,1997
bfa,71,1998
bfa,76,1999
bfa,83,2000
bfa,90,2001
bfa,96,2002
bfa,101,2003
bfa,102,2004
bfa,101,2005
bfa,99,2006
bfa,96,2007
bdi,67,1990
bdi,73,1991
bdi,77,1992
bdi,81,1993
bdi,86,1994
bdi,92,1995
bdi,97,1996
bdi,105,1997
bdi,113,1998
bdi,123,1999
bdi,135,2000
bdi,146,2001
bdi,157,2002
bdi,164,2003
bdi,166,2004
bdi,165,2005
bdi,162,2006
bdi,158,2007
khm,260,1990
khm,257,1991
khm,253,1992
khm,250,1993
khm,247,1994
khm,244,1995
khm,241,1996
khm,238,1997
khm,236,1998
khm,233,1999
khm,231,2000
khm,229,2001
khm,227,2002
khm,226,2003
khm,224,2004
khm,222,2005
khm,221,2006
khm,219,2007
cmr,35,1990
cmr,39,1991
cmr,41,1992
cmr,43,1993
cmr,46,1994
cmr,48,1995
cmr,50,1996
cmr,54,1997
cmr,58,1998
cmr,62,1999
cmr,68,2000
cmr,73,2001
cmr,78,2002
cmr,82,2003
cmr,83,2004
cmr,82,2005
cmr,80,2006
cmr,78,2007
can,4,1990
can,4,1991
can,4,1992
can,4,1993
can,3,1994
can,3,1995
can,3,1996
can,3,1997
can,3,1998
can,3,1999
can,3,2000
can,3,2001
can,3,2002
can,2,2003
can,2,2004
can,2,2005
can,2,2006
can,2,2007
cpv,79,1990
cpv,78,1991
cpv,78,1992
cpv,77,1993
cpv,76,1994
cpv,75,1995
cpv,75,1996
cpv,74,1997
cpv,73,1998
cpv,73,1999
cpv,72,2000
cpv,71,2001
cpv,71,2002
cpv,70,2003
cpv,70,2004
cpv,69,2005
cpv,68,2006
cpv,68,2007
cym,3,1990
cym,3,1991
cym,3,1992
cym,3,1993
cym,2,1994
cym,2,1995
cym,2,1996
cym,2,1997
cym,2,1998
cym,2,1999
cym,2,2000
cym,2,2001
cym,2,2002
cym,2,2003
cym,2,2004
cym,2,2005
cym,2,2006
cym,2,2007
caf,63,1990
caf,69,1991
caf,73,1992
caf,78,1993
caf,82,1994
caf,87,1995
caf,91,1996
caf,98,1997
caf,105,1998
caf,114,1999
caf,124,2000
caf,133,2001
caf,143,2002
caf,149,2003
caf,150,2004
caf,148,2005
caf,144,2006
caf,141,2007
tcd,56,1990
tcd,62,1991
tcd,65,1992
tcd,70,1993
tcd,74,1994
tcd,79,1995
tcd,83,1996
tcd,88,1997
tcd,95,1998
tcd,102,1999
tcd,111,2000
tcd,120,2001
tcd,128,2002
tcd,133,2003
tcd,135,2004
tcd,133,2005
tcd,130,2006
tcd,126,2007
chl,21,1990
chl,19,1991
chl,18,1992
chl,17,1993
chl,16,1994
chl,15,1995
chl,14,1996
chl,13,1997
chl,12,1998
chl,11,1999
chl,11,2000
chl,10,2001
chl,9,2002
chl,9,2003
chl,8,2004
chl,8,2005
chl,7,2006
chl,7,2007
chn,52,1990
chn,52,1991
chn,51,1992
chn,51,1993
chn,50,1994
chn,50,1995
chn,49,1996
chn,49,1997
chn,48,1998
chn,48,1999
chn,47,2000
chn,47,2001
chn,46,2002
chn,46,2003
chn,45,2004
chn,45,2005
chn,44,2006
chn,44,2007
col,29,1990
col,28,1991
col,28,1992
col,27,1993
col,26,1994
col,26,1995
col,25,1996
col,24,1997
col,24,1998
col,23,1999
col,23,2000
col,22,2001
col,22,2002
col,21,2003
col,21,2004
col,20,2005
col,20,2006
col,19,2007
com,38,1990
com,37,1991
com,35,1992
com,34,1993
com,33,1994
com,31,1995
com,30,1996
com,29,1997
com,28,1998
com,26,1999
com,25,2000
com,24,2001
com,23,2002
com,22,2003
com,21,2004
com,21,2005
com,20,2006
com,19,2007
cog,70,1990
cog,77,1991
cog,82,1992
cog,88,1993
cog,94,1994
cog,100,1995
cog,106,1996
cog,114,1997
cog,123,1998
cog,134,1999
cog,146,2000
cog,158,2001
cog,170,2002
cog,177,2003
cog,180,2004
cog,178,2005
cog,173,2006
cog,169,2007
cok,0,1990
cok,3,1991
cok,17,1992
cok,31,1993
cok,24,1994
cok,12,1995
cok,6,1996
cok,13,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,14,2001
cok,7,2002
cok,0,2003
cok,8,2004
cok,8,2005
cok,0,2006
cok,7,2007
cri,10,1990
cri,10,1991
cri,9,1992
cri,9,1993
cri,9,1994
cri,9,1995
cri,8,1996
cri,8,1997
cri,8,1998
cri,8,1999
cri,7,2000
cri,7,2001
cri,7,2002
cri,7,2003
cri,7,2004
cri,6,2005
cri,6,2006
cri,6,2007
hrv,33,1990
hrv,33,1991
hrv,33,1992
hrv,32,1993
hrv,31,1994
hrv,30,1995
hrv,29,1996
hrv,29,1997
hrv,28,1998
hrv,25,1999
hrv,22,2000
hrv,21,2001
hrv,20,2002
hrv,19,2003
hrv,19,2004
hrv,18,2005
hrv,18,2006
hrv,18,2007
cub,14,1990
cub,13,1991
cub,12,1992
cub,11,1993
cub,10,1994
cub,9,1995
cub,9,1996
cub,8,1997
cub,7,1998
cub,7,1999
cub,6,2000
cub,6,2001
cub,5,2002
cub,5,2003
cub,4,2004
cub,4,2005
cub,4,2006
cub,4,2007
cyp,4,1990
cyp,4,1991
cyp,4,1992
cyp,4,1993
cyp,3,1994
cyp,3,1995
cyp,3,1996
cyp,3,1997
cyp,3,1998
cyp,3,1999
cyp,3,2000
cyp,2,2001
cyp,2,2002
cyp,2,2003
cyp,2,2004
cyp,2,2005
cyp,2,2006
cyp,2,2007
cze,9,1990
cze,9,1991
cze,9,1992
cze,9,1993
cze,9,1994
cze,9,1995
cze,9,1996
cze,9,1997
cze,8,1998
cze,8,1999
cze,7,2000
cze,6,2001
cze,6,2002
cze,5,2003
cze,5,2004
cze,5,2005
cze,4,2006
cze,4,2007
civ,76,1990
civ,83,1991
civ,87,1992
civ,93,1993
civ,98,1994
civ,103,1995
civ,109,1996
civ,116,1997
civ,125,1998
civ,136,1999
civ,148,2000
civ,160,2001
civ,172,2002
civ,179,2003
civ,182,2004
civ,181,2005
civ,177,2006
civ,173,2007
prk,155,1990
prk,155,1991
prk,155,1992
prk,155,1993
prk,155,1994
prk,155,1995
prk,155,1996
prk,155,1997
prk,155,1998
prk,155,1999
prk,155,2000
prk,155,2001
prk,155,2002
prk,155,2003
prk,155,2004
prk,155,2005
prk,155,2006
prk,155,2007
cod,73,1990
cod,81,1991
cod,86,1992
cod,93,1993
cod,99,1994
cod,106,1995
cod,111,1996
cod,120,1997
cod,129,1998
cod,140,1999
cod,152,2000
cod,165,2001
cod,176,2002
cod,184,2003
cod,185,2004
cod,183,2005
cod,179,2006
cod,174,2007
dnk,7,1990
dnk,6,1991
dnk,6,1992
dnk,6,1993
dnk,5,1994
dnk,5,1995
dnk,5,1996
dnk,5,1997
dnk,5,1998
dnk,4,1999
dnk,4,2000
dnk,4,2001
dnk,4,2002
dnk,4,2003
dnk,4,2004
dnk,4,2005
dnk,4,2006
dnk,4,2007
dji,261,1990
dji,265,1991
dji,269,1992
dji,273,1993
dji,277,1994
dji,280,1995
dji,284,1996
dji,287,1997
dji,291,1998
dji,296,1999
dji,301,2000
dji,306,2001
dji,312,2002
dji,318,2003
dji,324,2004
dji,330,2005
dji,336,2006
dji,343,2007
dma,8,1990
dma,8,1991
dma,8,1992
dma,8,1993
dma,8,1994
dma,8,1995
dma,8,1996
dma,8,1997
dma,8,1998
dma,8,1999
dma,8,2000
dma,8,2001
dma,8,2002
dma,8,2003
dma,7,2004
dma,7,2005
dma,7,2006
dma,7,2007
dom,62,1990
dom,60,1991
dom,58,1992
dom,56,1993
dom,54,1994
dom,53,1995
dom,51,1996
dom,49,1997
dom,48,1998
dom,47,1999
dom,45,2000
dom,44,2001
dom,43,2002
dom,42,2003
dom,40,2004
dom,39,2005
dom,38,2006
dom,37,2007
ecu,91,1990
ecu,89,1991
ecu,86,1992
ecu,83,1993
ecu,81,1994
ecu,79,1995
ecu,76,1996
ecu,74,1997
ecu,72,1998
ecu,70,1999
ecu,68,2000
ecu,66,2001
ecu,64,2002
ecu,62,2003
ecu,60,2004
ecu,58,2005
ecu,56,2006
ecu,55,2007
egy,16,1990
egy,15,1991
egy,15,1992
egy,15,1993
egy,15,1994
egy,14,1995
egy,14,1996
egy,13,1997
egy,12,1998
egy,12,1999
egy,12,2000
egy,11,2001
egy,11,2002
egy,10,2003
egy,10,2004
egy,10,2005
egy,9,2006
egy,9,2007
slv,45,1990
slv,43,1991
slv,41,1992
slv,39,1993
slv,38,1994
slv,36,1995
slv,34,1996
slv,33,1997
slv,31,1998
slv,30,1999
slv,29,2000
slv,28,2001
slv,26,2002
slv,25,2003
slv,24,2004
slv,23,2005
slv,22,2006
slv,21,2007
gnq,47,1990
gnq,52,1991
gnq,56,1992
gnq,59,1993
gnq,63,1994
gnq,67,1995
gnq,70,1996
gnq,75,1997
gnq,80,1998
gnq,87,1999
gnq,94,2000
gnq,102,2001
gnq,109,2002
gnq,113,2003
gnq,115,2004
gnq,113,2005
gnq,111,2006
gnq,108,2007
eri,32,1990
eri,33,1991
eri,33,1992
eri,34,1993
eri,34,1994
eri,34,1995
eri,35,1996
eri,35,1997
eri,36,1998
eri,36,1999
eri,37,2000
eri,38,2001
eri,38,2002
eri,39,2003
eri,39,2004
eri,40,2005
eri,41,2006
eri,41,2007
est,14,1990
est,14,1991
est,16,1992
est,19,1993
est,22,1994
est,24,1995
est,26,1996
est,29,1997
est,30,1998
est,31,1999
est,29,2000
est,27,2001
est,24,2002
est,22,2003
est,20,2004
est,18,2005
est,18,2006
est,17,2007
eth,70,1990
eth,77,1991
eth,82,1992
eth,87,1993
eth,93,1994
eth,99,1995
eth,104,1996
eth,111,1997
eth,120,1998
eth,130,1999
eth,142,2000
eth,154,2001
eth,164,2002
eth,171,2003
eth,173,2004
eth,171,2005
eth,167,2006
eth,163,2007
fji,23,1990
fji,22,1991
fji,20,1992
fji,19,1993
fji,18,1994
fji,17,1995
fji,17,1996
fji,16,1997
fji,15,1998
fji,14,1999
fji,13,2000
fji,13,2001
fji,12,2002
fji,11,2003
fji,11,2004
fji,10,2005
fji,10,2006
fji,9,2007
fin,8,1990
fin,7,1991
fin,6,1992
fin,6,1993
fin,5,1994
fin,6,1995
fin,6,1996
fin,6,1997
fin,5,1998
fin,5,1999
fin,5,2000
fin,4,2001
fin,4,2002
fin,3,2003
fin,3,2004
fin,3,2005
fin,3,2006
fin,3,2007
fra,12,1990
fra,11,1991
fra,10,1992
fra,10,1993
fra,9,1994
fra,9,1995
fra,9,1996
fra,8,1997
fra,8,1998
fra,8,1999
fra,7,2000
fra,7,2001
fra,7,2002
fra,7,2003
fra,6,2004
fra,6,2005
fra,6,2006
fra,6,2007
pyf,15,1990
pyf,12,1991
pyf,20,1992
pyf,19,1993
pyf,20,1994
pyf,24,1995
pyf,19,1996
pyf,20,1997
pyf,17,1998
pyf,16,1999
pyf,14,2000
pyf,13,2001
pyf,13,2002
pyf,9,2003
pyf,13,2004
pyf,9,2005
pyf,10,2006
pyf,8,2007
gab,68,1990
gab,66,1991
gab,65,1992
gab,65,1993
gab,67,1994
gab,65,1995
gab,70,1996
gab,73,1997
gab,84,1998
gab,87,1999
gab,105,2000
gab,112,2001
gab,117,2002
gab,116,2003
gab,121,2004
gab,133,2005
gab,149,2006
gab,166,2007
gmb,83,1990
gmb,85,1991
gmb,87,1992
gmb,88,1993
gmb,90,1994
gmb,91,1995
gmb,93,1996
gmb,94,1997
gmb,96,1998
gmb,97,1999
gmb,99,2000
gmb,101,2001
gmb,103,2002
gmb,105,2003
gmb,107,2004
gmb,109,2005
gmb,111,2006
gmb,113,2007
geo,17,1990
geo,17,1991
geo,18,1992
geo,19,1993
geo,21,1994
geo,24,1995
geo,28,1996
geo,30,1997
geo,33,1998
geo,35,1999
geo,37,2000
geo,38,2001
geo,38,2002
geo,37,2003
geo,37,2004
geo,37,2005
geo,38,2006
geo,38,2007
deu,9,1990
deu,8,1991
deu,8,1992
deu,8,1993
deu,8,1994
deu,7,1995
deu,7,1996
deu,7,1997
deu,6,1998
deu,6,1999
deu,5,2000
deu,4,2001
deu,4,2002
deu,4,2003
deu,3,2004
deu,3,2005
deu,3,2006
deu,3,2007
gha,100,1990
gha,99,1991
gha,99,1992
gha,97,1993
gha,96,1994
gha,95,1995
gha,94,1996
gha,93,1997
gha,92,1998
gha,92,1999
gha,91,2000
gha,91,2001
gha,90,2002
gha,90,2003
gha,89,2004
gha,89,2005
gha,89,2006
gha,88,2007
grc,15,1990
grc,14,1991
grc,13,1992
grc,13,1993
grc,12,1994
grc,12,1995
grc,11,1996
grc,11,1997
grc,10,1998
grc,10,1999
grc,9,2000
grc,9,2001
grc,9,2002
grc,9,2003
grc,8,2004
grc,8,2005
grc,8,2006
grc,8,2007
grd,3,1990
grd,3,1991
grd,3,1992
grd,3,1993
grd,2,1994
grd,2,1995
grd,2,1996
grd,2,1997
grd,2,1998
grd,2,1999
grd,2,2000
grd,2,2001
grd,2,2002
grd,2,2003
grd,2,2004
grd,2,2005
grd,2,2006
grd,2,2007
gum,23,1990
gum,23,1991
gum,22,1992
gum,25,1993
gum,31,1994
gum,21,1995
gum,20,1996
gum,20,1997
gum,20,1998
gum,19,1999
gum,31,2000
gum,33,2001
gum,21,2002
gum,18,2003
gum,15,2004
gum,18,2005
gum,14,2006
gum,3,2007
gtm,41,1990
gtm,41,1991
gtm,40,1992
gtm,40,1993
gtm,39,1994
gtm,39,1995
gtm,38,1996
gtm,38,1997
gtm,37,1998
gtm,37,1999
gtm,37,2000
gtm,36,2001
gtm,36,2002
gtm,36,2003
gtm,35,2004
gtm,35,2005
gtm,35,2006
gtm,34,2007
gin,53,1990
gin,56,1991
gin,59,1992
gin,62,1993
gin,65,1994
gin,68,1995
gin,72,1996
gin,75,1997
gin,79,1998
gin,83,1999
gin,87,2000
gin,92,2001
gin,96,2002
gin,101,2003
gin,106,2004
gin,112,2005
gin,118,2006
gin,124,2007
gnb,71,1990
gnb,72,1991
gnb,73,1992
gnb,74,1993
gnb,76,1994
gnb,77,1995
gnb,78,1996
gnb,79,1997
gnb,80,1998
gnb,81,1999
gnb,83,2000
gnb,84,2001
gnb,86,2002
gnb,87,2003
gnb,89,2004
gnb,91,2005
gnb,93,2006
gnb,94,2007
guy,14,1990
guy,16,1991
guy,14,1992
guy,18,1993
guy,21,1994
guy,29,1995
guy,33,1996
guy,34,1997
guy,37,1998
guy,38,1999
guy,41,2000
guy,48,2001
guy,54,2002
guy,60,2003
guy,62,2004
guy,64,2005
guy,64,2006
guy,64,2007
hti,164,1990
hti,163,1991
hti,163,1992
hti,162,1993
hti,162,1994
hti,162,1995
hti,162,1996
hti,162,1997
hti,162,1998
hti,162,1999
hti,161,2000
hti,161,2001
hti,161,2002
hti,161,2003
hti,161,2004
hti,161,2005
hti,161,2006
hti,161,2007
hnd,52,1990
hnd,51,1991
hnd,49,1992
hnd,48,1993
hnd,46,1994
hnd,45,1995
hnd,44,1996
hnd,43,1997
hnd,41,1998
hnd,40,1999
hnd,39,2000
hnd,38,2001
hnd,37,2002
hnd,36,2003
hnd,35,2004
hnd,34,2005
hnd,33,2006
hnd,32,2007
hun,18,1990
hun,19,1991
hun,20,1992
hun,21,1993
hun,21,1994
hun,22,1995
hun,22,1996
hun,21,1997
hun,20,1998
hun,18,1999
hun,16,2000
hun,15,2001
hun,14,2002
hun,13,2003
hun,11,2004
hun,10,2005
hun,9,2006
hun,7,2007
isl,3,1990
isl,3,1991
isl,2,1992
isl,2,1993
isl,2,1994
isl,2,1995
isl,2,1996
isl,2,1997
isl,2,1998
isl,2,1999
isl,2,2000
isl,2,2001
isl,1,2002
isl,1,2003
isl,1,2004
isl,2,2005
isl,2,2006
isl,2,2007
ind,75,1990
ind,75,1991
ind,75,1992
ind,75,1993
ind,75,1994
ind,75,1995
ind,75,1996
ind,75,1997
ind,74,1998
ind,74,1999
ind,74,2000
ind,74,2001
ind,74,2002
ind,74,2003
ind,75,2004
ind,75,2005
ind,75,2006
ind,75,2007
idn,154,1990
idn,151,1991
idn,147,1992
idn,144,1993
idn,140,1994
idn,137,1995
idn,134,1996
idn,130,1997
idn,127,1998
idn,124,1999
idn,121,2000
idn,118,2001
idn,115,2002
idn,113,2003
idn,110,2004
idn,107,2005
idn,104,2006
idn,102,2007
irn,16,1990
irn,17,1991
irn,18,1992
irn,17,1993
irn,18,1994
irn,18,1995
irn,17,1996
irn,16,1997
irn,15,1998
irn,14,1999
irn,14,2000
irn,13,2001
irn,13,2002
irn,12,2003
irn,11,2004
irn,11,2005
irn,10,2006
irn,10,2007
irq,25,1990
irq,25,1991
irq,25,1992
irq,25,1993
irq,25,1994
irq,25,1995
irq,25,1996
irq,25,1997
irq,25,1998
irq,25,1999
irq,25,2000
irq,25,2001
irq,25,2002
irq,25,2003
irq,25,2004
irq,25,2005
irq,25,2006
irq,25,2007
irl,11,1990
irl,11,1991
irl,10,1992
irl,10,1993
irl,9,1994
irl,8,1995
irl,7,1996
irl,7,1997
irl,7,1998
irl,7,1999
irl,6,2000
irl,6,2001
irl,6,2002
irl,6,2003
irl,5,2004
irl,6,2005
irl,6,2006
irl,6,2007
isr,6,1990
isr,6,1991
isr,6,1992
isr,5,1993
isr,5,1994
isr,5,1995
isr,5,1996
isr,5,1997
isr,4,1998
isr,4,1999
isr,4,2000
isr,4,2001
isr,4,2002
isr,4,2003
isr,4,2004
isr,3,2005
isr,3,2006
isr,3,2007
ita,6,1990
ita,6,1991
ita,6,1992
ita,5,1993
ita,5,1994
ita,5,1995
ita,5,1996
ita,4,1997
ita,4,1998
ita,4,1999
ita,4,2000
ita,4,2001
ita,4,2002
ita,3,2003
ita,3,2004
ita,3,2005
ita,3,2006
ita,3,2007
jam,4,1990
jam,4,1991
jam,4,1992
jam,4,1993
jam,4,1994
jam,4,1995
jam,4,1996
jam,3,1997
jam,3,1998
jam,3,1999
jam,3,2000
jam,3,2001
jam,3,2002
jam,3,2003
jam,3,2004
jam,3,2005
jam,3,2006
jam,3,2007
jpn,21,1990
jpn,21,1991
jpn,20,1992
jpn,19,1993
jpn,18,1994
jpn,17,1995
jpn,17,1996
jpn,17,1997
jpn,17,1998
jpn,16,1999
jpn,15,2000
jpn,14,2001
jpn,13,2002
jpn,12,2003
jpn,12,2004
jpn,11,2005
jpn,10,2006
jpn,9,2007
jor,5,1990
jor,5,1991
jor,4,1992
jor,4,1993
jor,4,1994
jor,4,1995
jor,4,1996
jor,3,1997
jor,3,1998
jor,3,1999
jor,3,2000
jor,2,2001
jor,2,2002
jor,2,2003
jor,2,2004
jor,2,2005
jor,2,2006
jor,2,2007
kaz,26,1990
kaz,24,1991
kaz,24,1992
kaz,24,1993
kaz,25,1994
kaz,28,1995
kaz,33,1996
kaz,40,1997
kaz,50,1998
