surface_area_sq_km,geo,time
29740.0,arm,1974
29740.0,arm,1975
29740.0,arm,1976
29740.0,arm,1977
29740.0,arm,1978
29740.0,arm,1979
29740.0,arm,1980
29740.0,arm,1981
29740.0,arm,1982
29740.0,arm,1983
29740.0,arm,1984
29740.0,arm,1985
29740.0,arm,1986
29740.0,arm,1987
29740.0,arm,1988
29740.0,arm,1989
29740.0,arm,1990
29740.0,arm,1991
29740.0,arm,1992
29740.0,arm,1993
29740.0,arm,1994
29740.0,arm,1995
29740.0,arm,1996
29740.0,arm,1997
29740.0,arm,1998
29740.0,arm,1999
29740.0,arm,2000
29740.0,arm,2001
29740.0,arm,2002
29740.0,arm,2003
29740.0,arm,2004
29740.0,arm,2005
29740.0,arm,2006
29740.0,arm,2007
29740.0,arm,2008
29740.0,arm,2009
29740.0,arm,2010
180.0,abw,1961
180.0,abw,1962
180.0,abw,1963
180.0,abw,1964
180.0,abw,1965
180.0,abw,1966
180.0,abw,1967
180.0,abw,1968
180.0,abw,1969
180.0,abw,1970
180.0,abw,1971
180.0,abw,1972
180.0,abw,1973
180.0,abw,1974
180.0,abw,1975
180.0,abw,1976
180.0,abw,1977
180.0,abw,1978
180.0,abw,1979
180.0,abw,1980
180.0,abw,1981
180.0,abw,1982
180.0,abw,1983
180.0,abw,1984
180.0,abw,1985
180.0,abw,1986
180.0,abw,1987
180.0,abw,1988
180.0,abw,1989
180.0,abw,1990
180.0,abw,1991
180.0,abw,1992
180.0,abw,1993
180.0,abw,1994
180.0,abw,1995
180.0,abw,1996
180.0,abw,1997
180.0,abw,1998
180.0,abw,1999
180.0,abw,2000
180.0,abw,2001
180.0,abw,2002
180.0,abw,2003
180.0,abw,2004
180.0,abw,2005
180.0,abw,2006
180.0,abw,2007
180.0,abw,2008
180.0,abw,2009
180.0,abw,2010
7741000.0,aus,1961
7741000.0,aus,1962
7741000.0,aus,1963
7741000.0,aus,1964
7741000.0,aus,1965
7741000.0,aus,1966
7741000.0,aus,1967
7741000.0,aus,1968
7741000.0,aus,1969
7741000.0,aus,1970
