geo,population_density_per_square_km,time
atg,125.4,1961
atg,127.5,1962
atg,130.0,1963
atg,132.7,1964
atg,135.4,1965
atg,138.1,1966
atg,140.8,1967
atg,143.4,1968
atg,146.0,1969
atg,148.4,1970
atg,150.6,1971
atg,152.5,1972
atg,154.3,1973
atg,155.8,1974
atg,157.1,1975
atg,158.2,1976
atg,159.1,1977
atg,159.6,1978
atg,159.6,1979
atg,158.9,1980
atg,157.6,1981
atg,155.7,1982
atg,153.4,1983
atg,150.9,1984
atg,148.4,1985
atg,146.0,1986
atg,143.7,1987
atg,141.8,1988
atg,140.7,1989
atg,140.7,1990
atg,142.0,1991
atg,144.3,1992
atg,147.6,1993
atg,151.3,1994
atg,155.3,1995
atg,159.4,1996
atg,163.6,1997
atg,167.9,1998
atg,171.9,1999
atg,175.7,2000
atg,179.1,2001
atg,182.1,2002
atg,184.9,2003
atg,187.4,2004
atg,189.9,2005
atg,192.2,2006
atg,194.4,2007
atg,196.6,2008
atg,198.6,2009
atg,200.7,2010
arg,6.168,1950
arg,6.296,1951
arg,6.425,1952
arg,6.554,1953
arg,6.682,1954
arg,6.809,1955
arg,6.933,1956
arg,7.056,1957
arg,7.177,1958
arg,7.298,1959
arg,7.418,1960
arg,7.539,1961
arg,7.66,1962
arg,7.781,1963
arg,7.9,1964
arg,8.019,1965
arg,8.136,1966
arg,8.252,1967
arg,8.37,1968
arg,8.494,1969
arg,8.626,1970
arg,8.767,1971
arg,8.917,1972
arg,9.071,1973
arg,9.227,1974
arg,9.379,1975
arg,9.528,1976
arg,9.675,1977
arg,9.82,1978
arg,9.967,1979
arg,10.12,1980
arg,10.27,1981
arg,10.43,1982
arg,10.59,1983
arg,10.75,1984
arg,10.92,1985
arg,11.08,1986
arg,11.25,1987
arg,11.41,1988
arg,11.58,1989
arg,11.74,1990
arg,11.9,1991
arg,12.06,1992
arg,12.22,1993
arg,12.38,1994
arg,12.54,1995
arg,12.69,1996
arg,12.85,1997
arg,13.0,1998
arg,13.14,1999
arg,13.28,2000
arg,13.42,2001
arg,13.54,2002
arg,13.67,2003
arg,13.79,2004
arg,13.91,2005
arg,14.04,2006
arg,14.16,2007
arg,14.28,2008
arg,14.41,2009
arg,14.54,2010
arm,45.42,1950
arm,46.41,1951
arm,47.65,1952
arm,49.09,1953
arm,50.71,1954
arm,52.47,1955
arm,54.34,1956
arm,56.3,1957
arm,58.35,1958
arm,60.48,1959
arm,62.66,1960
arm,64.91,1961
arm,67.19,1962
arm,69.48,1963
arm,71.75,1964
arm,73.98,1965
arm,76.16,1966
arm,78.28,1967
arm,80.36,1968
arm,82.43,1969
arm,84.51,1970
arm,86.61,1971
arm,88.71,1972
arm,90.79,1973
arm,92.83,1974
arm,94.82,1975
arm,96.74,1976
arm,98.6,1977
arm,100.4,1978
arm,102.2,1979
arm,103.9,1980
arm,105.6,1981
arm,107.1,1982
arm,108.7,1983
arm,110.3,1984
arm,112.1,1985
arm,114.0,1986
arm,116.0,1987
arm,117.8,1988
arm,118.9,1989
arm,118.9,1990
arm,117.9,1991
arm,115.8,1992
arm,113.1,1993
arm,110.4,1994
arm,108.2,1995
arm,106.4,1996
arm,105.2,1997
arm,104.3,1998
arm,103.7,1999
arm,103.2,2000
arm,102.9,2001
arm,102.7,2002
arm,102.7,2003
arm,102.8,2004
arm,102.9,2005
arm,103.0,2006
arm,103.2,2007
arm,103.3,2008
arm,103.5,2009
arm,103.8,2010
abw,211.5,1950
abw,212.6,1951
abw,216.5,1952
abw,223.1,1953
abw,232.0,1954
abw,242.9,1955
abw,255.2,1956
abw,268.0,1957
abw,280.6,1958
abw,291.9,1959
abw,301.2,1960
abw,308.0,1961
abw,312.4,1962
abw,315.0,1963
abw,316.8,1964
abw,318.7,1965
abw,320.6,1966
abw,322.5,1967
abw,324.4,1968
abw,326.2,1969
abw,328.1,1970
abw,330.2,1971
abw,332.5,1972
abw,334.7,1973
abw,336.2,1974
abw,337.0,1975
abw,336.6,1976
abw,335.4,1977
abw,333.9,1978
abw,333.2,1979
abw,333.9,1980
abw,336.5,1981
abw,340.8,1982
abw,345.6,1983
abw,349.1,1984
abw,350.2,1985
abw,348.0,1986
abw,343.5,1987
abw,339.3,1988
abw,339.0,1989
abw,345.3,1990
abw,359.1,1991
abw,379.4,1992
abw,403.2,1993
abw,426.5,1994
abw,446.2,1995
abw,461.5,1996
abw,473.1,1997
abw,482.4,1998
abw,491.3,1999
abw,501.5,2000
abw,513.1,2001
abw,525.5,2002
abw,538.2,2003
abw,550.3,2004
abw,561.1,2005
abw,570.6,2006
abw,579.0,2007
abw,586.3,2008
abw,592.3,2009
abw,597.2,2010
aus,1.056,1950
aus,1.085,1951
aus,1.112,1952
aus,1.137,1953
aus,1.163,1954
aus,1.19,1955
aus,1.217,1956
aus,1.245,1957
aus,1.273,1958
aus,1.301,1959
aus,1.329,1960
aus,1.356,1961
aus,1.382,1962
aus,1.409,1963
aus,1.437,1964
aus,1.467,1965
aus,1.501,1966
aus,1.536,1967
aus,1.573,1968
aus,1.609,1969
aus,1.644,1970
aus,1.678,1971
aus,1.71,1972
aus,1.74,1973
aus,1.768,1974
aus,1.794,1975
aus,1.817,1976
aus,1.838,1977
aus,1.858,1978
aus,1.878,1979
aus,1.9,1980
aus,1.925,1981
aus,1.952,1982
aus,1.981,1983
aus,2.011,1984
aus,2.043,1985
aus,2.075,1986
aus,2.11,1987
aus,2.144,1988
aus,2.177,1989
aus,2.208,1990
aus,2.237,1991
aus,2.264,1992
aus,2.29,1993
aus,2.315,1994
aus,2.341,1995
aus,2.367,1996
aus,2.393,1997
aus,2.42,1998
aus,2.448,1999
aus,2.476,2000
aus,2.504,2001
aus,2.532,2002
aus,2.563,2003
aus,2.597,2004
aus,2.636,2005
aus,2.68,2006
aus,2.728,2007
aus,2.779,2008
aus,2.829,2009
aus,2.877,2010
aut,82.72,1950
aut,82.65,1951
aut,82.63,1952
aut,82.66,1953
aut,82.72,1954
aut,82.81,1955
aut,82.93,1956
aut,83.1,1957
aut,83.32,1958
aut,83.61,1959
aut,83.98,1960
aut,84.44,1961
aut,84.96,1962
aut,85.53,1963
aut,86.11,1964
aut,86.67,1965
aut,87.2,1966
aut,87.71,1967
aut,88.18,1968
aut,88.62,1969
aut,89.03,1970
aut,89.41,1971
aut,89.75,1972
aut,90.04,1973
aut,90.25,1974
aut,90.37,1975
aut,90.4,1976
aut,90.34,1977
aut,90.23,1978
aut,90.11,1979
aut,90.02,1980
aut,89.97,1981
aut,89.95,1982
aut,89.98,1983
aut,90.05,1984
aut,90.15,1985
aut,90.28,1986
aut,90.45,1987
aut,90.69,1988
aut,91.02,1989
aut,91.47,1990
aut,92.06,1991
aut,92.75,1992
aut,93.49,1993
aut,94.14,1994
aut,94.63,1995
aut,94.93,1996
aut,95.06,1997
aut,95.11,1998
aut,95.22,1999
aut,95.46,2000
aut,95.86,2001
aut,96.39,2002
aut,97.0,2003
aut,97.61,2004
aut,98.17,2005
aut,98.66,2006
aut,99.09,2007
aut,99.47,2008
aut,99.81,2009
aut,100.1,2010
aze,33.44,1950
aze,34.24,1951
aze,35.16,1952
aze,36.17,1953
aze,37.26,1954
aze,38.41,1955
aze,39.6,1956
aze,40.85,1957
aze,42.15,1958
aze,43.52,1959
aze,44.97,1960
aze,46.49,1961
aze,48.08,1962
aze,49.69,1963
aze,51.28,1964
aze,52.82,1965
aze,54.31,1966
aze,55.73,1967
aze,57.1,1968
aze,58.43,1969
aze,59.72,1970
aze,60.98,1971
aze,62.21,1972
aze,63.4,1973
aze,64.56,1974
aze,65.69,1975
aze,66.8,1976
aze,67.88,1977
aze,68.95,1978
aze,70.03,1979
aze,71.14,1980
aze,72.27,1981
aze,73.43,1982
aze,74.61,1983
aze,75.81,1984
aze,77.02,1985
aze,78.24,1986
aze,79.47,1987
aze,80.71,1988
aze,81.98,1989
aze,83.28,1990
aze,84.61,1991
aze,85.98,1992
aze,87.32,1993
aze,88.56,1994
aze,89.66,1995
aze,90.59,1996
aze,91.38,1997
aze,92.1,1998
aze,92.83,1999
aze,93.66,2000
aze,94.59,2001
aze,95.61,2002
aze,96.73,2003
aze,97.92,2004
aze,99.17,2005
aze,100.5,2006
aze,101.9,2007
aze,103.3,2008
aze,104.7,2009
aze,106.1,2010
bhs,5.699,1950
bhs,5.763,1951
bhs,5.867,1952
bhs,6.007,1953
bhs,6.181,1954
bhs,6.385,1955
bhs,6.621,1956
bhs,6.889,1957
bhs,7.189,1958
bhs,7.523,1959
bhs,7.892,1960
bhs,8.295,1961
bhs,8.725,1962
bhs,9.176,1963
bhs,9.635,1964
bhs,10.09,1965
bhs,10.55,1966
bhs,11.0,1967
bhs,11.43,1968
bhs,11.84,1969
bhs,12.2,1970
bhs,12.53,1971
bhs,12.81,1972
bhs,13.08,1973
bhs,13.34,1974
