geo,total_health_spending_percent_of_gdp,time
kaz,4.387,1999
kaz,4.167,2000
kaz,3.476,2001
kaz,3.619,2002
kaz,3.699,2003
kaz,3.955,2004
kaz,4.071,2005
kaz,3.942,2006
kaz,3.42,2007
kaz,3.869,2008
kaz,4.478,2009
kaz,4.288,2010
ken,4.262,1995
ken,4.148,1996
ken,4.118,1997
ken,4.493,1998
ken,4.197,1999
ken,4.683,2000
ken,4.622,2001
ken,4.538,2002
ken,4.448,2003
ken,4.289,2004
ken,4.359,2005
ken,4.514,2006
ken,4.432,2007
ken,4.225,2008
ken,4.771,2009
ken,4.754,2010
kir,9.405,1995
kir,9.23,1996
kir,9.423,1997
kir,7.039,1998
kir,8.935,1999
kir,7.91,2000
kir,8.871,2001
kir,8.755,2002
kir,9.645,2003
kir,10.41,2004
kir,10.13,2005
kir,11.01,2006
kir,13.57,2007
kir,12.54,2008
kir,12.96,2009
kir,11.25,2010
kor,3.752,1995
kor,3.922,1996
kor,3.923,1997
kor,4.052,1998
kor,4.265,1999
kor,4.481,2000
kor,5.057,2001
kor,4.915,2002
kor,5.181,2003
kor,5.251,2004
kor,5.665,2005
kor,6.047,2006
kor,6.302,2007
kor,6.458,2008
kor,6.921,2009
kor,6.932,2010
kwt,3.761,1995
kwt,3.465,1996
kwt,3.694,1997
kwt,4.438,1998
kwt,3.668,1999
kwt,2.511,2000
kwt,3.611,2001
kwt,3.565,2002
kwt,3.23,2003
kwt,2.757,2004
kwt,2.379,2005
kwt,2.253,2006
kwt,2.133,2007
kwt,1.924,2008
kwt,3.82,2009
kwt,2.629,2010
kgz,6.871,1995
kgz,6.313,1996
kgz,5.54,1997
kgz,6.868,1998
kgz,5.988,1999
kgz,4.677,2000
kgz,4.786,2001
kgz,5.434,2002
kgz,5.428,2003
kgz,5.573,2004
kgz,5.822,2005
kgz,6.421,2006
kgz,6.575,2007
kgz,5.703,2008
kgz,6.409,2009
kgz,6.18,2010
lao,4.114,1995
lao,4.604,1996
lao,6.316,1997
lao,6.388,1998
lao,3.722,1999
lao,3.32,2000
lao,3.982,2001
lao,3.868,2002
lao,5.121,2003
lao,4.384,2004
lao,4.039,2005
lao,3.883,2006
lao,4.006,2007
lao,4.476,2008
lao,4.348,2009
lao,4.468,2010
lva,5.783,1995
lva,6.085,1996
lva,6.23,1997
lva,6.291,1998
lva,6.429,1999
lva,5.96,2000
lva,6.098,2001
lva,6.229,2002
lva,6.131,2003
lva,6.5,2004
lva,6.333,2005
lva,6.772,2006
lva,6.979,2007
lva,6.602,2008
lva,6.603,2009
lva,6.685,2010
lbn,10.67,1995
lbn,10.71,1996
lbn,11.45,1997
lbn,11.45,1998
lbn,10.4,1999
lbn,9.87,2000
lbn,9.327,2001
lbn,8.623,2002
lbn,8.228,2003
lbn,8.299,2004
lbn,8.059,2005
lbn,8.146,2006
lbn,8.418,2007
lbn,7.699,2008
lbn,7.416,2009
lbn,7.029,2010
lso,8.073,1995
lso,7.908,1996
lso,7.142,1997
lso,6.991,1998
lso,6.829,1999
lso,7.014,2000
lso,7.748,2001
lso,7.105,2002
lso,7.068,2003
lso,6.861,2004
lso,6.265,2005
lso,7.022,2006
lso,8.517,2007
lso,8.807,2008
lso,9.374,2009
lso,11.08,2010
lbr,5.154,1998
lbr,5.246,1999
lbr,5.057,2000
lbr,5.268,2001
lbr,4.77,2002
lbr,5.091,2003
lbr,5.08,2004
lbr,5.222,2005
lbr,6.932,2006
lbr,11.75,2007
lbr,11.93,2008
lbr,12.21,2009
lbr,11.85,2010
lby,3.497,1995
lby,3.274,1996
lby,3.231,1997
lby,3.961,1998
lby,3.628,1999
lby,3.281,2000
lby,3.957,2001
lby,4.852,2002
lby,3.662,2003
lby,3.122,2004
lby,2.527,2005
lby,2.366,2006
lby,2.794,2007
lby,3.024,2008
lby,3.888,2009
lby,3.882,2010
ltu,5.374,1995
ltu,5.584,1996
ltu,5.739,1997
ltu,6.078,1998
ltu,6.203,1999
ltu,6.458,2000
ltu,6.26,2001
ltu,6.396,2002
ltu,6.486,2003
ltu,5.673,2004
ltu,5.834,2005
ltu,6.196,2006
ltu,6.224,2007
ltu,6.599,2008
ltu,7.541,2009
ltu,7.04,2010
lux,5.566,1995
lux,5.651,1996
lux,5.594,1997
lux,5.667,1998
lux,5.826,1999
lux,7.477,2000
lux,7.401,2001
lux,8.263,2002
lux,7.664,2003
lux,8.201,2004
lux,7.942,2005
lux,7.748,2006
lux,7.13,2007
lux,6.806,2008
lux,7.91,2009
lux,7.771,2010
mkd,8.525,1995
mkd,8.754,1996
mkd,9.232,1997
mkd,10.14,1998
mkd,8.718,1999
mkd,8.758,2000
mkd,8.501,2001
mkd,9.359,2002
mkd,9.286,2003
mkd,8.726,2004
mkd,8.089,2005
mkd,7.839,2006
mkd,6.866,2007
mkd,6.811,2008
mkd,6.852,2009
mkd,7.088,2010
mdg,2.799,1995
mdg,3.155,1996
mdg,3.372,1997
mdg,3.185,1998
mdg,3.199,1999
mdg,3.715,2000
mdg,3.832,2001
mdg,3.849,2002
mdg,3.526,2003
mdg,3.646,2004
mdg,3.697,2005
mdg,3.954,2006
mdg,4.137,2007
mdg,4.494,2008
mdg,4.178,2009
mdg,3.769,2010
mwi,4.919,1995
mwi,4.664,1996
mwi,5.161,1997
mwi,5.487,1998
mwi,6.51,1999
mwi,6.062,2000
mwi,5.06,2001
mwi,4.823,2002
mwi,6.347,2003
mwi,7.816,2004
mwi,8.207,2005
mwi,8.992,2006
mwi,7.006,2007
mwi,6.587,2008
mwi,6.733,2009
mwi,6.593,2010
mys,2.895,1995
mys,2.881,1996
mys,2.676,1997
mys,2.966,1998
mys,3.084,1999
mys,3.11,2000
mys,3.569,2001
mys,3.63,2002
mys,4.207,2003
mys,3.902,2004
mys,3.561,2005
mys,3.912,2006
mys,3.807,2007
mys,3.786,2008
mys,4.586,2009
mys,4.394,2010
mdv,5.971,1995
mdv,6.321,1996
mdv,6.335,1997
mdv,6.337,1998
mdv,6.509,1999
mdv,7.097,2000
mdv,5.371,2001
mdv,5.236,2002
mdv,6.332,2003
mdv,6.487,2004
mdv,8.151,2005
mdv,7.405,2006
mdv,6.819,2007
mdv,7.821,2008
mdv,6.359,2009
mdv,6.331,2010
mli,5.238,1995
mli,7.841,1996
mli,7.03,1997
mli,6.202,1998
mli,6.048,1999
mli,6.293,2000
mli,6.393,2001
mli,6.317,2002
mli,6.25,2003
mli,6.28,2004
mli,6.014,2005
mli,5.887,2006
mli,5.809,2007
mli,5.564,2008
mli,5.503,2009
mli,4.978,2010
mlt,5.812,1995
mlt,6.22,1996
mlt,6.553,1997
mlt,6.597,1998
mlt,6.591,1999
mlt,6.703,2000
mlt,7.232,2001
mlt,8.112,2002
mlt,8.38,2003
mlt,8.85,2004
mlt,9.342,2005
mlt,9.263,2006
mlt,8.652,2007
mlt,8.339,2008
mlt,8.524,2009
mlt,8.647,2010
mhl,18.12,1995
mhl,21.83,1996
mhl,22.85,1997
mhl,20.88,1998
mhl,20.45,1999
mhl,22.57,2000
mhl,19.46,2001
mhl,18.27,2002
mhl,16.18,2003
mhl,16.38,2004
mhl,15.86,2005
mhl,16.58,2006
mhl,17.02,2007
mhl,16.56,2008
mhl,18.88,2009
mhl,18.05,2010
mrt,4.766,1995
mrt,3.808,1996
mrt,3.981,1997
mrt,4.867,1998
mrt,5.951,1999
mrt,5.964,2000
mrt,4.773,2001
mrt,5.959,2002
mrt,5.371,2003
mrt,5.884,2004
mrt,5.054,2005
mrt,3.509,2006
mrt,4.379,2007
mrt,4.345,2008
mrt,4.239,2009
mrt,4.413,2010
mus,3.619,1995
mus,3.524,1996
mus,3.524,1997
mus,3.571,1998
mus,3.443,1999
mus,3.719,2000
mus,3.801,2001
mus,4.171,2002
mus,3.891,2003
mus,4.166,2004
mus,4.5,2005
mus,4.279,2006
mus,5.183,2007
mus,5.261,2008
mus,5.594,2009
mus,5.998,2010
mex,5.15,1995
mex,4.678,1996
mex,4.804,1997
mex,4.89,1998
mex,5.102,1999
mex,5.071,2000
mex,5.452,2001
mex,5.62,2002
mex,5.782,2003
mex,5.976,2004
mex,5.871,2005
mex,5.683,2006
mex,5.836,2007
mex,5.869,2008
mex,6.458,2009
fsm,9.17,1995
fsm,8.616,1996
fsm,7.915,1997
fsm,7.168,1998
fsm,7.822,1999
fsm,8.081,2000
fsm,8.828,2001
fsm,8.092,2002
fsm,9.79,2003
fsm,10.38,2004
fsm,12.19,2005
fsm,12.0,2006
fsm,12.0,2007
fsm,12.9,2008
fsm,13.45,2009
fsm,14.15,2010
mda,9.053,1995
mda,10.27,1996
mda,9.454,1997
mda,7.689,1998
mda,5.888,1999
mda,6.653,2000
mda,7.113,2001
mda,8.066,2002
mda,8.333,2003
mda,8.485,2004
mda,9.153,2005
mda,10.63,2006
mda,10.88,2007
mda,11.41,2008
mda,12.49,2009
mda,11.68,2010
mco,3.031,1995
mco,2.955,1996
mco,3.149,1997
mco,3.103,1998
mco,3.368,1999
mco,3.244,2000
mco,3.288,2001
mco,3.34,2002
mco,3.864,2003
mco,3.969,2004
mco,3.929,2005
mco,3.754,2006
mco,3.321,2007
mco,3.579,2008
mco,4.237,2009
mco,4.302,2010
mng,3.649,1995
mng,4.15,1996
mng,4.177,1997
mng,4.421,1998
mng,4.718,1999
mng,5.515,2000
mng,5.664,2001
mng,6.035,2002
mng,4.712,2003
mng,4.2,2004
mng,3.68,2005
mng,3.552,2006
mng,4.56,2007
mng,5.707,2008
mng,5.711,2009
mng,5.442,2010
mne,7.668,1995
mne,7.686,1996
mne,7.655,1997
mne,7.668,1998
mne,7.726,1999
mne,7.885,2000
mne,8.855,2001
mne,8.977,2002
mne,9.563,2003
mne,9.077,2004
mne,9.113,2005
mne,8.644,2006
mne,7.838,2007
mne,7.956,2008
mne,9.42,2009
mne,9.114,2010
mar,3.898,1995
mar,3.844,1996
mar,4.091,1997
mar,3.866,1998
mar,3.985,1999
mar,4.181,2000
mar,4.439,2001
mar,5.308,2002
mar,5.252,2003
mar,5.216,2004
mar,5.053,2005
mar,5.234,2006
mar,5.173,2007
mar,5.193,2008
mar,5.245,2009
mar,5.195,2010
moz,5.059,1995
moz,4.268,1996
moz,4.556,1997
moz,4.553,1998
moz,5.183,1999
moz,5.957,2000
moz,5.473,2001
moz,5.972,2002
moz,5.64,2003
moz,5.055,2004
moz,5.783,2005
moz,5.424,2006
moz,4.8,2007
moz,4.087,2008
moz,5.361,2009
moz,5.207,2010
mmr,2.148,1995
mmr,2.124,1996
mmr,1.888,1997
mmr,1.838,1998
mmr,1.799,1999
mmr,2.118,2000
mmr,2.077,2001
mmr,2.375,2002
mmr,2.278,2003
mmr,2.28,2004
mmr,2.12,2005
mmr,2.058,2006
mmr,1.952,2007
mmr,2.04,2008
mmr,2.116,2009
mmr,1.969,2010
nam,6.223,1995
nam,6.569,1996
nam,6.902,1997
nam,6.837,1998
nam,6.971,1999
nam,6.114,2000
nam,6.177,2001
nam,6.167,2002
nam,6.524,2003
nam,6.472,2004
nam,7.319,2005
nam,7.199,2006
nam,6.941,2007
nam,6.761,2008
nam,7.245,2009
nam,6.778,2010
nru,12.99,1995
nru,14.2,1996
nru,14.05,1997
nru,14.69,1998
nru,13.48,1999
nru,12.27,2000
nru,12.4,2001
nru,12.27,2002
nru,11.92,2003
nru,12.96,2004
nru,15.54,2005
nru,16.14,2006
nru,21.73,2007
nru,14.15,2008
nru,11.22,2009
nru,11.23,2010
npl,4.723,1995
npl,4.84,1996
npl,5.074,1997
npl,5.268,1998
npl,5.108,1999
npl,5.207,2000
npl,5.273,2001
npl,5.512,2002
npl,5.386,2003
npl,5.973,2004
npl,6.031,2005
npl,5.827,2006
npl,5.378,2007
npl,5.93,2008
npl,5.819,2009
npl,5.255,2010
nld,8.327,1995
nld,8.211,1996
nld,7.949,1997
nld,8.062,1998
nld,8.088,1999
nld,7.958,2000
nld,8.297,2001
nld,8.87,2002
nld,9.773,2003
nld,9.968,2004
nld,9.829,2005
nld,9.722,2006
nld,9.681,2007
nld,9.887,2008
nld,11.98,2009
nld,11.92,2010
nzl,7.073,1995
nzl,7.018,1996
nzl,7.224,1997
nzl,7.653,1998
nzl,7.534,1999
nzl,7.618,2000
nzl,7.722,2001
nzl,8.041,2002
nzl,7.856,2003
nzl,8.032,2004
nzl,8.395,2005
nzl,8.809,2006
nzl,8.531,2007
nzl,9.257,2008
nzl,9.973,2009
nzl,10.1,2010
nic,8.411,1995
nic,8.315,1996
nic,6.837,1997
nic,7.3,1998
nic,6.896,1999
nic,6.993,2000
nic,6.824,2001
nic,7.415,2002
nic,7.936,2003
nic,7.948,2004
nic,7.93,2005
nic,8.215,2006
nic,9.107,2007
nic,9.305,2008
nic,9.552,2009
ner,3.408,1995
ner,3.189,1996
ner,3.581,1997
ner,3.689,1998
ner,3.685,1999
ner,3.352,2000
ner,3.7,2001
ner,3.757,2002
ner,3.626,2003
ner,3.913,2004
ner,5.958,2005
ner,6.048,2006
ner,5.355,2007
ner,5.235,2008
ner,5.416,2009
ner,5.161,2010
nga,4.369,1995
nga,4.51,1996
nga,4.628,1997
nga,5.577,1998
nga,5.431,1999
nga,4.562,2000
nga,5.22,2001
nga,3.91,2002
nga,6.508,2003
nga,6.959,2004
nga,6.603,2005
nga,5.701,2006
nga,5.985,2007
nga,5.742,2008
nga,6.077,2009
nga,5.068,2010
niu,7.991,1995
niu,9.335,1996
niu,9.431,1997
niu,8.223,1998
niu,8.27,1999
niu,7.925,2000
niu,11.11,2002
niu,12.48,2003
niu,15.06,2004
niu,12.87,2005
niu,15.61,2006
niu,16.14,2007
niu,16.51,2008
niu,17.45,2009
niu,17.43,2010
nor,9.136,1995
nor,8.7,1996
nor,8.4,1997
nor,9.252,1998
nor,9.328,1999
nor,8.421,2000
nor,8.801,2001
nor,9.791,2002
nor,10.02,2003
nor,9.598,2004
nor,9.035,2005
nor,8.564,2006
nor,8.746,2007
nor,8.48,2008
nor,9.702,2009
nor,9.476,2010
omn,3.645,1995
omn,3.555,1996
omn,3.354,1997
omn,3.701,1998
omn,3.544,1999
omn,3.073,2000
omn,3.09,2001
omn,3.194,2002
omn,3.186,2003
omn,2.986,2004
omn,2.602,2005
omn,2.34,2006
omn,2.466,2007
omn,2.088,2008
omn,3.015,2009
omn,2.766,2010
pak,3.258,1995
pak,3.343,1996
pak,3.338,1997
pak,3.597,1998
pak,3.71,1999
pak,3.015,2000
pak,2.828,2001
pak,2.983,2002
pak,2.841,2003
pak,2.821,2004
pak,2.734,2005
pak,2.718,2006
pak,2.598,2007
pak,2.54,2008
pak,2.195,2009
pak,2.196,2010
plw,12.41,1995
plw,12.75,1996
plw,12.4,1997
plw,10.89,1998
plw,11.99,1999
plw,12.83,2000
plw,10.37,2001
plw,10.41,2002
plw,10.31,2003
plw,11.49,2004
plw,10.51,2005
plw,10.47,2006
plw,10.79,2007
plw,10.24,2008
plw,10.55,2009
plw,10.25,2010
pan,7.721,1995
pan,7.183,1996
pan,7.12,1997
pan,7.086,1998
pan,6.855,1999
pan,7.764,2000
pan,7.721,2001
pan,8.029,2002
pan,7.604,2003
pan,8.086,2004
pan,7.483,2005
pan,7.001,2006
pan,6.73,2007
pan,7.303,2008
pan,8.11,2009
pan,8.095,2010
png,3.503,1995
png,3.651,1996
png,3.404,1997
png,3.809,1998
png,4.094,1999
png,3.984,2000
png,4.536,2001
png,4.468,2002
png,3.935,2003
png,4.4,2004
png,3.861,2005
png,3.446,2006
png,3.245,2007
png,3.261,2008
png,3.692,2009
png,3.575,2010
pry,6.655,1995
pry,6.801,1996
pry,6.954,1997
pry,7.166,1998
pry,7.82,1999
pry,9.388,2000
pry,9.052,2001
pry,8.652,2002
pry,7.16,2003
pry,6.64,2004
pry,6.481,2005
pry,6.559,2006
pry,6.085,2007
pry,5.984,2008
pry,6.554,2009
pry,5.868,2010
per,4.476,1995
per,4.503,1996
per,4.348,1997
per,4.501,1998
per,4.864,1999
per,4.694,2000
per,4.679,2001
per,4.814,2002
per,4.511,2003
per,4.367,2004
per,4.46,2005
per,4.518,2006
per,5.084,2007
per,5.749,2008
per,5.342,2009
per,5.079,2010
phl,3.449,1995
phl,3.542,1996
phl,3.619,1997
phl,3.199,1998
phl,3.231,1999
phl,3.209,2000
phl,2.998,2001
phl,2.791,2002
phl,3.247,2003
phl,3.227,2004
phl,3.494,2005
phl,3.451,2006
phl,3.4,2007
phl,3.348,2008
phl,3.601,2009
phl,3.613,2010
pol,5.476,1995
pol,5.876,1996
pol,5.605,1997
pol,5.906,1998
pol,5.735,1999
pol,5.521,2000
pol,5.859,2001
pol,6.337,2002
pol,6.242,2003
pol,6.204,2004
pol,6.214,2005
pol,6.201,2006
pol,6.43,2007
pol,7.002,2008
pol,7.35,2009
pol,7.461,2010
prt,7.529,1995
prt,7.805,1996
prt,7.793,1997
prt,7.714,1998
prt,7.955,1999
prt,9.319,2000
prt,9.285,2001
prt,9.323,2002
prt,9.765,2003
prt,10.08,2004
prt,10.39,2005
prt,10.07,2006
prt,9.994,2007
prt,10.05,2008
prt,10.74,2009
prt,11.0,2010
qat,3.705,1995
qat,3.624,1996
qat,3.184,1997
qat,3.409,1998
qat,2.905,1999
qat,2.289,2000
qat,2.661,2001
qat,2.817,2002
qat,4.248,2003
qat,3.715,2004
qat,3.269,2005
qat,2.709,2006
qat,2.393,2007
qat,2.062,2008
qat,2.62,2009
qat,1.81,2010
rou,3.494,1995
rou,3.67,1996
rou,4.769,1997
rou,4.606,1998
rou,5.133,1999
rou,5.209,2000
rou,5.381,2001
rou,5.659,2002
rou,5.335,2003
rou,5.462,2004
rou,5.498,2005
rou,5.099,2006
rou,5.243,2007
rou,5.44,2008
rou,5.641,2009
rou,5.578,2010
rus,5.363,1995
rus,5.551,1996
rus,7.1,1997
rus,6.62,1998
rus,5.796,1999
rus,5.422,2000
rus,5.674,2001
rus,5.989,2002
rus,5.609,2003
rus,5.188,2004
rus,5.212,2005
rus,5.305,2006
rus,5.38,2007
rus,4.833,2008
rus,5.573,2009
rus,5.075,2010
rwa,4.455,1995
rwa,4.616,1996
rwa,4.594,1997
rwa,5.259,1998
rwa,4.652,1999
rwa,4.221,2000
rwa,4.364,2001
rwa,4.178,2002
rwa,6.339,2003
rwa,6.222,2004
rwa,6.527,2005
rwa,10.77,2006
rwa,9.472,2007
rwa,9.358,2008
rwa,10.09,2009
rwa,10.48,2010
kna,5.409,1995
kna,5.415,1996
kna,5.094,1997
kna,5.071,1998
kna,5.348,1999
kna,5.484,2000
kna,5.095,2001
kna,4.995,2002
kna,4.722,2003
kna,4.394,2004
kna,4.355,2005
kna,5.286,2006
kna,5.417,2007
kna,4.955,2008
kna,5.158,2009
kna,6.661,2010
lca,4.748,1995
lca,5.491,1996
lca,4.963,1997
lca,4.998,1998
lca,5.011,1999
lca,5.125,2000
lca,5.656,2001
lca,5.784,2002
lca,5.892,2003
lca,5.779,2004
lca,5.998,2005
lca,7.282,2006
lca,7.241,2007
lca,8.089,2008
lca,8.431,2009
lca,8.7,2010
vct,4.458,1995
vct,4.446,1996
vct,4.728,1997
vct,4.168,1998
vct,4.153,1999
vct,3.722,2000
vct,3.64,2001
vct,3.926,2002
vct,3.901,2003
vct,3.719,2004
vct,3.655,2005
vct,3.882,2006
vct,3.917,2007
vct,4.629,2008
vct,4.601,2009
vct,4.471,2010
wsm,4.698,1995
wsm,5.223,1996
wsm,5.453,1997
wsm,5.585,1998
wsm,6.281,1999
wsm,6.018,2000
wsm,5.757,2001
wsm,5.529,2002
wsm,5.146,2003
wsm,4.927,2004
wsm,4.951,2005
wsm,5.32,2006
wsm,5.866,2007
wsm,5.494,2008
wsm,5.444,2009
wsm,6.47,2010
smr,7.84,1995
smr,7.551,1996
smr,7.535,1997
smr,7.409,1998
smr,7.444,1999
smr,7.519,2000
smr,7.363,2001
smr,9.281,2002
smr,7.326,2003
smr,7.578,2004
smr,7.489,2005
smr,7.202,2006
smr,7.109,2007
smr,7.142,2008
smr,7.126,2009
smr,7.126,2010
stp,8.233,1995
stp,7.738,1996
stp,8.888,1997
stp,7.934,1998
stp,8.982,1999
stp,9.487,2000
stp,9.709,2001
stp,9.87,2002
stp,10.89,2003
stp,10.15,2004
stp,9.496,2005
stp,7.583,2006
stp,7.454,2007
stp,7.018,2008
stp,7.242,2009
stp,7.169,2010
sau,2.963,1995
sau,2.962,1996
sau,3.057,1997
sau,3.343,1998
sau,4.127,1999
sau,4.259,2000
sau,4.514,2001
sau,4.297,2002
sau,4.024,2003
sau,3.695,2004
sau,3.545,2005
sau,3.808,2006
sau,3.829,2007
sau,3.192,2008
sau,4.375,2009
sau,4.292,2010
sen,3.934,1995
sen,4.084,1996
sen,4.081,1997
sen,4.103,1998
sen,4.363,1999
sen,4.331,2000
sen,4.525,2001
sen,5.064,2002
sen,5.4,2003
sen,5.705,2004
sen,5.401,2005
sen,5.829,2006
sen,5.724,2007
sen,5.818,2008
sen,5.662,2009
sen,5.664,2010
srb,7.317,1995
srb,7.317,1996
srb,7.224,1997
srb,7.403,1998
srb,7.409,1999
srb,7.416,2000
srb,7.579,2001
srb,8.874,2002
srb,8.81,2003
srb,8.661,2004
srb,9.053,2005
srb,9.418,2006
srb,10.36,2007
srb,10.36,2008
srb,10.51,2009
srb,10.36,2010
syc,5.19,1995
syc,5.335,1996
syc,5.845,1997
syc,5.228,1998
syc,5.294,1999
syc,4.818,2000
syc,4.64,2001
syc,4.383,2002
syc,4.801,2003
syc,5.143,2004
syc,4.163,2005
syc,3.992,2006
syc,3.45,2007
syc,3.333,2008
syc,3.292,2009
syc,3.404,2010
sle,14.34,1995
sle,14.53,1996
sle,13.54,1997
sle,13.29,1998
sle,16.01,1999
sle,15.62,2000
sle,14.96,2001
sle,14.86,2002
sle,7.77,2003
sle,13.52,2004
sle,14.48,2005
sle,11.06,2006
sle,12.84,2007
sle,13.78,2008
sle,13.86,2009
sle,13.07,2010
sgp,3.017,1995
sgp,2.959,1996
sgp,2.897,1997
sgp,3.197,1998
sgp,2.862,1999
sgp,2.41,2000
sgp,2.746,2001
sgp,2.884,2002
sgp,3.809,2003
sgp,3.401,2004
sgp,3.37,2005
sgp,3.257,2006
sgp,3.186,2007
sgp,3.615,2008
sgp,4.132,2009
sgp,3.96,2010
svk,6.064,1995
svk,6.437,1996
svk,5.784,1997
svk,5.655,1998
svk,5.754,1999
svk,5.499,2000
svk,5.505,2001
svk,5.629,2002
svk,5.819,2003
svk,7.211,2004
svk,7.045,2005
svk,7.348,2006
svk,7.755,2007
svk,8.01,2008
svk,9.137,2009
svk,8.79,2010
svn,7.455,1995
svn,7.639,1996
svn,7.756,1997
svn,7.81,1998
svn,7.799,1999
svn,8.264,2000
svn,8.569,2001
svn,8.62,2002
svn,8.609,2003
svn,8.339,2004
svn,8.41,2005
svn,8.274,2006
svn,7.787,2007
svn,8.359,2008
svn,9.286,2009
svn,9.41,2010
slb,5.153,1995
slb,4.706,1996
slb,4.984,1997
slb,5.526,1998
slb,5.6,1999
slb,6.926,2000
slb,9.462,2001
slb,9.171,2002
slb,6.127,2003
slb,5.661,2004
slb,7.628,2005
slb,6.342,2006
slb,6.235,2007
slb,6.038,2008
slb,8.739,2009
slb,8.553,2010
som,2.685,1995
som,2.594,1996
som,2.634,1997
som,2.693,1998
som,2.807,1999
som,2.444,2000
som,2.251,2001
zaf,7.488,1995
zaf,7.956,1996
zaf,8.256,1997
zaf,8.578,1998
zaf,9.065,1999
zaf,8.465,2000
zaf,8.784,2001
zaf,8.72,2002
zaf,8.858,2003
zaf,8.94,2004
zaf,8.814,2005
zaf,8.533,2006
zaf,8.452,2007
zaf,8.631,2008
zaf,9.161,2009
zaf,8.942,2010
esp,7.445,1995
esp,7.463,1996
esp,7.334,1997
esp,7.319,1998
esp,7.316,1999
esp,7.215,2000
esp,7.242,2001
esp,7.25,2002
esp,8.172,2003
esp,8.206,2004
esp,8.282,2005
esp,8.346,2006
esp,8.483,2007
esp,8.96,2008
esp,9.566,2009
esp,9.539,2010
lka,3.427,1995
lka,3.449,1996
lka,3.33,1997
lka,3.684,1998
lka,3.609,1999
lka,3.709,2000
lka,3.743,2001
lka,3.818,2002
lka,3.805,2003
lka,4.104,2004
lka,3.948,2005
lka,4.038,2006
lka,3.728,2007
lka,3.406,2008
lka,3.196,2009
lka,2.945,2010
sdn,3.362,1995
sdn,3.952,1996
sdn,3.75,1997
sdn,3.995,1998
sdn,3.799,1999
sdn,3.368,2000
sdn,3.525,2001
sdn,3.58,2002
sdn,3.848,2003
sdn,4.098,2004
sdn,3.987,2005
sdn,4.856,2006
sdn,6.025,2007
sdn,6.905,2008
sdn,7.326,2009
sdn,6.315,2010
sur,5.191,1995
sur,7.412,1996
sur,7.758,1997
sur,8.607,1998
sur,7.623,1999
sur,7.956,2000
sur,8.072,2001
sur,7.142,2002
sur,6.624,2003
sur,6.876,2004
sur,6.777,2005
sur,7.657,2006
sur,7.276,2007
sur,6.785,2008
sur,7.471,2009
sur,7.015,2010
swz,4.96,1995
swz,5.404,1996
swz,5.118,1997
swz,5.558,1998
swz,5.375,1999
swz,5.378,2000
swz,5.304,2001
swz,5.316,2002
swz,5.933,2003
swz,5.489,2004
swz,5.845,2005
swz,6.34,2006
swz,5.983,2007
swz,6.573,2008
swz,6.718,2009
swz,6.609,2010
swe,7.965,1995
swe,8.2,1996
swe,8.026,1997
swe,8.115,1998
swe,8.198,1999
swe,8.18,2000
swe,8.859,2001
swe,9.228,2002
swe,9.31,2003
swe,9.088,2004
swe,9.062,2005
swe,8.948,2006
swe,8.917,2007
swe,9.228,2008
swe,10.0,2009
swe,9.633,2010
che,9.572,1995
che,9.947,1996
che,9.951,1997
che,10.07,1998
che,10.2,1999
che,10.15,2000
che,10.59,2001
che,10.91,2002
che,11.25,2003
che,11.3,2004
che,11.22,2005
che,10.76,2006
che,10.62,2007
che,10.72,2008
che,11.39,2009
che,11.52,2010
syr,5.517,1995
syr,5.5,1996
syr,5.298,1997
syr,5.124,1998
syr,5.25,1999
syr,4.923,2000
syr,4.877,2001
syr,4.942,2002
syr,5.116,2003
syr,4.479,2004
syr,4.11,2005
syr,3.825,2006
syr,3.799,2007
syr,3.374,2008
syr,3.549,2009
syr,3.407,2010
tjk,3.1,1995
tjk,3.109,1996
tjk,3.636,1997
tjk,3.56,1998
tjk,3.877,1999
tjk,4.64,2000
tjk,4.585,2001
tjk,4.48,2002
tjk,4.459,2003
tjk,4.301,2004
tjk,4.837,2005
tjk,4.892,2006
tjk,5.347,2007
tjk,5.585,2008
tjk,5.928,2009
tjk,5.983,2010
tza,3.581,1995
tza,3.385,1996
tza,3.648,1997
tza,3.397,1998
tza,3.294,1999
tza,3.376,2000
tza,3.531,2001
tza,3.423,2002
tza,3.749,2003
tza,3.443,2004
tza,4.018,2005
tza,6.528,2006
tza,5.695,2007
tza,5.46,2008
tza,5.523,2009
tza,6.011,2010
tha,3.532,1995
tha,3.841,1996
tha,3.997,1997
tha,3.735,1998
tha,3.496,1999
tha,3.395,2000
tha,3.316,2001
tha,3.7,2002
tha,3.575,2003
tha,3.506,2004
tha,3.544,2005
tha,3.491,2006
tha,3.562,2007
tha,3.97,2008
tha,4.172,2009
tha,3.883,2010
tls,9.516,1995
tls,6.507,1996
tls,10.54,1997
tls,19.32,1998
tls,9.947,1999
tls,8.379,2000
tls,10.84,2001
tls,10.56,2002
tls,10.95,2003
tls,13.62,2004
tls,16.07,2005
tls,17.93,2006
tls,15.43,2007
tls,13.8,2008
tls,11.87,2009
tls,9.12,2010
tgo,4.588,1995
tgo,4.66,1996
tgo,4.562,1997
tgo,4.659,1998
tgo,4.705,1999
tgo,4.727,2000
tgo,5.31,2001
tgo,5.115,2002
tgo,5.597,2003
tgo,6.234,2004
