life_expectancy_female,geo,time
70.37,alb,1975
70.71,alb,1976
71.05,alb,1977
71.38,alb,1978
71.72,alb,1979
72.08,alb,1980
72.47,alb,1981
72.89,alb,1982
73.31,alb,1983
73.75,alb,1984
74.15,alb,1985
74.49,alb,1986
74.74,alb,1987
74.9,alb,1988
74.98,alb,1989
74.99,alb,1990
74.97,alb,1991
74.95,alb,1992
74.99,alb,1993
75.09,alb,1994
75.28,alb,1995
75.58,alb,1996
75.96,alb,1997
76.41,alb,1998
76.91,alb,1999
77.42,alb,2000
77.92,alb,2001
78.37,alb,2002
78.77,alb,2003
79.09,alb,2004
79.35,alb,2005
79.54,alb,2006
79.7,alb,2007
79.85,alb,2008
80.0,alb,2009
80.15,alb,2010
80.3,alb,2011
80.46,alb,2012
80.61,alb,2013
80.77,alb,2014
80.92,alb,2015
81.07,alb,2016
81.23,alb,2017
81.38,alb,2018
81.53,alb,2019
81.68,alb,2020
81.83,alb,2021
81.98,alb,2022
82.12,alb,2023
82.27,alb,2024
82.41,alb,2025
82.55,alb,2026
82.69,alb,2027
82.83,alb,2028
82.97,alb,2029
83.11,alb,2030
83.25,alb,2031
83.38,alb,2032
83.52,alb,2033
83.66,alb,2034
83.79,alb,2035
83.92,alb,2036
84.06,alb,2037
84.19,alb,2038
84.31,alb,2039
84.44,alb,2040
84.57,alb,2041
84.7,alb,2042
84.82,alb,2043
84.95,alb,2044
85.07,alb,2045
85.2,alb,2046
85.32,alb,2047
85.44,alb,2048
85.57,alb,2049
85.69,alb,2050
85.81,alb,2051
85.94,alb,2052
86.06,alb,2053
86.18,alb,2054
86.3,alb,2055
86.42,alb,2056
86.54,alb,2057
86.66,alb,2058
86.78,alb,2059
86.9,alb,2060
87.01,alb,2061
87.13,alb,2062
87.25,alb,2063
87.36,alb,2064
87.48,alb,2065
87.6,alb,2066
87.71,alb,2067
87.83,alb,2068
87.94,alb,2069
88.06,alb,2070
88.18,alb,2071
88.29,alb,2072
88.41,alb,2073
88.52,alb,2074
88.64,alb,2075
88.75,alb,2076
88.86,alb,2077
88.98,alb,2078
89.09,alb,2079
89.21,alb,2080
89.33,alb,2081
89.44,alb,2082
89.56,alb,2083
89.67,alb,2084
89.79,alb,2085
89.9,alb,2086
90.01,alb,2087
90.12,alb,2088
90.23,alb,2089
90.35,alb,2090
90.46,alb,2091
90.57,alb,2092
90.68,alb,2093
90.79,alb,2094
90.9,alb,2095
91.01,alb,2096
91.12,alb,2097
91.24,alb,2098
91.35,alb,2099
42.73,dza,1950
42.92,dza,1951
43.33,dza,1952
43.74,dza,1953
44.16,dza,1954
44.59,dza,1955
45.03,dza,1956
45.48,dza,1957
45.94,dza,1958
46.4,dza,1959
46.87,dza,1960
47.33,dza,1961
47.8,dza,1962
48.27,dza,1963
48.72,dza,1964
49.17,dza,1965
49.6,dza,1966
50.01,dza,1967
50.4,dza,1968
50.8,dza,1969
51.2,dza,1970
51.61,dza,1971
52.04,dza,1972
52.52,dza,1973
53.07,dza,1974
53.73,dza,1975
54.55,dza,1976
55.55,dza,1977
56.72,dza,1978
58.01,dza,1979
59.4,dza,1980
60.82,dza,1981
62.2,dza,1982
63.48,dza,1983
64.62,dza,1984
65.6,dza,1985
66.39,dza,1986
67.03,dza,1987
67.56,dza,1988
67.98,dza,1989
68.32,dza,1990
68.59,dza,1991
68.83,dza,1992
69.04,dza,1993
69.25,dza,1994
69.46,dza,1995
69.68,dza,1996
69.9,dza,1997
70.12,dza,1998
70.33,dza,1999
70.54,dza,2000
70.74,dza,2001
70.93,dza,2002
71.11,dza,2003
71.29,dza,2004
71.45,dza,2005
71.61,dza,2006
71.77,dza,2007
71.92,dza,2008
72.07,dza,2009
72.23,dza,2010
72.38,dza,2011
72.53,dza,2012
72.68,dza,2013
72.83,dza,2014
72.97,dza,2015
73.11,dza,2016
73.25,dza,2017
73.38,dza,2018
73.51,dza,2019
73.64,dza,2020
73.77,dza,2021
73.9,dza,2022
74.02,dza,2023
74.14,dza,2024
74.27,dza,2025
74.39,dza,2026
74.5,dza,2027
74.62,dza,2028
74.74,dza,2029
74.86,dza,2030
74.97,dza,2031
75.08,dza,2032
75.19,dza,2033
75.3,dza,2034
75.41,dza,2035
75.52,dza,2036
75.63,dza,2037
75.74,dza,2038
75.84,dza,2039
75.95,dza,2040
76.06,dza,2041
76.17,dza,2042
76.27,dza,2043
76.38,dza,2044
76.48,dza,2045
76.59,dza,2046
76.69,dza,2047
76.79,dza,2048
76.89,dza,2049
77.0,dza,2050
77.1,dza,2051
77.2,dza,2052
77.3,dza,2053
77.41,dza,2054
77.51,dza,2055
77.61,dza,2056
77.71,dza,2057
77.81,dza,2058
77.91,dza,2059
78.01,dza,2060
78.1,dza,2061
78.2,dza,2062
78.3,dza,2063
78.4,dza,2064
78.5,dza,2065
78.59,dza,2066
78.69,dza,2067
78.79,dza,2068
78.89,dza,2069
78.98,dza,2070
79.08,dza,2071
79.18,dza,2072
79.28,dza,2073
79.38,dza,2074
79.48,dza,2075
79.57,dza,2076
79.67,dza,2077
79.77,dza,2078
79.86,dza,2079
79.96,dza,2080
80.06,dza,2081
80.15,dza,2082
80.25,dza,2083
80.34,dza,2084
80.44,dza,2085
80.53,dza,2086
80.62,dza,2087
80.72,dza,2088
80.81,dza,2089
80.91,dza,2090
81.0,dza,2091
81.1,dza,2092
81.2,dza,2093
81.29,dza,2094
81.39,dza,2095
81.49,dza,2096
81.58,dza,2097
81.68,dza,2098
81.77,dza,2099
30.66,ago,1950
30.87,ago,1951
31.27,ago,1952
31.67,ago,1953
32.08,ago,1954
32.48,ago,1955
32.88,ago,1956
33.29,ago,1957
33.69,ago,1958
34.1,ago,1959
34.5,ago,1960
34.91,ago,1961
35.32,ago,1962
35.72,ago,1963
36.13,ago,1964
36.54,ago,1965
36.95,ago,1966
37.35,ago,1967
37.77,ago,1968
38.17,ago,1969
38.59,ago,1970
38.99,ago,1971
39.41,ago,1972
39.81,ago,1973
40.2,ago,1974
40.56,ago,1975
40.88,ago,1976
41.14,ago,1977
41.35,ago,1978
41.52,ago,1979
41.66,ago,1980
41.79,ago,1981
41.94,ago,1982
42.11,ago,1983
42.31,ago,1984
42.53,ago,1985
42.74,ago,1986
42.91,ago,1987
43.05,ago,1988
43.14,ago,1989
43.2,ago,1990
43.25,ago,1991
43.31,ago,1992
43.4,ago,1993
43.55,ago,1994
43.8,ago,1995
44.16,ago,1996
44.63,ago,1997
45.22,ago,1998
45.89,ago,1999
46.62,ago,2000
47.37,ago,2001
48.11,ago,2002
48.79,ago,2003
49.41,ago,2004
49.95,ago,2005
50.43,ago,2006
50.88,ago,2007
51.3,ago,2008
51.72,ago,2009
52.14,ago,2010
52.56,ago,2011
52.98,ago,2012
53.39,ago,2013
53.8,ago,2014
54.22,ago,2015
54.62,ago,2016
55.02,ago,2017
55.42,ago,2018
55.81,ago,2019
56.2,ago,2020
56.59,ago,2021
56.97,ago,2022
57.37,ago,2023
57.76,ago,2024
58.17,ago,2025
58.57,ago,2026
58.98,ago,2027
59.4,ago,2028
59.81,ago,2029
60.22,ago,2030
60.63,ago,2031
61.04,ago,2032
61.44,ago,2033
61.84,ago,2034
62.24,ago,2035
62.63,ago,2036
63.01,ago,2037
63.39,ago,2038
63.77,ago,2039
64.14,ago,2040
64.5,ago,2041
64.87,ago,2042
65.22,ago,2043
65.58,ago,2044
65.92,ago,2045
66.26,ago,2046
66.6,ago,2047
66.92,ago,2048
67.25,ago,2049
67.56,ago,2050
67.87,ago,2051
68.18,ago,2052
68.48,ago,2053
68.77,ago,2054
69.06,ago,2055
69.35,ago,2056
69.62,ago,2057
69.9,ago,2058
70.16,ago,2059
70.42,ago,2060
70.67,ago,2061
70.92,ago,2062
71.17,ago,2063
71.41,ago,2064
71.64,ago,2065
71.87,ago,2066
72.1,ago,2067
72.33,ago,2068
72.55,ago,2069
72.76,ago,2070
72.98,ago,2071
73.19,ago,2072
73.4,ago,2073
73.6,ago,2074
73.8,ago,2075
74.0,ago,2076
74.19,ago,2077
74.38,ago,2078
74.56,ago,2079
74.75,ago,2080
74.93,ago,2081
75.11,ago,2082
75.28,ago,2083
75.45,ago,2084
75.62,ago,2085
75.79,ago,2086
75.96,ago,2087
76.12,ago,2088
76.29,ago,2089
76.45,ago,2090
76.61,ago,2091
76.76,ago,2092
76.92,ago,2093
77.07,ago,2094
77.22,ago,2095
77.37,ago,2096
77.52,ago,2097
77.66,ago,2098
77.81,ago,2099
59.78,atg,1950
60.02,atg,1951
60.51,atg,1952
61.0,atg,1953
61.47,atg,1954
61.94,atg,1955
62.4,atg,1956
62.85,atg,1957
63.3,atg,1958
63.74,atg,1959
64.17,atg,1960
64.59,atg,1961
65.01,atg,1962
65.42,atg,1963
65.83,atg,1964
66.23,atg,1965
66.62,atg,1966
67.0,atg,1967
67.38,atg,1968
67.74,atg,1969
68.1,atg,1970
68.44,atg,1971
68.78,atg,1972
69.11,atg,1973
69.44,atg,1974
69.75,atg,1975
70.06,atg,1976
70.37,atg,1977
70.66,atg,1978
70.95,atg,1979
71.24,atg,1980
71.52,atg,1981
71.79,atg,1982
72.06,atg,1983
72.32,atg,1984
72.57,atg,1985
72.83,atg,1986
73.07,atg,1987
73.32,atg,1988
73.56,atg,1989
73.79,atg,1990
74.02,atg,1991
74.25,atg,1992
74.48,atg,1993
74.7,atg,1994
74.91,atg,1995
75.13,atg,1996
75.34,atg,1997
75.55,atg,1998
75.75,atg,1999
75.95,atg,2000
76.14,atg,2001
76.34,atg,2002
76.53,atg,2003
76.72,atg,2004
76.91,atg,2005
77.09,atg,2006
77.27,atg,2007
77.45,atg,2008
77.62,atg,2009
77.8,atg,2010
77.96,atg,2011
78.13,atg,2012
78.3,atg,2013
78.46,atg,2014
78.62,atg,2015
78.78,atg,2016
78.94,atg,2017
79.1,atg,2018
79.26,atg,2019
79.42,atg,2020
79.57,atg,2021
79.72,atg,2022
79.87,atg,2023
80.02,atg,2024
80.17,atg,2025
80.32,atg,2026
80.46,atg,2027
80.61,atg,2028
80.75,atg,2029
80.89,atg,2030
81.04,atg,2031
81.18,atg,2032
81.32,atg,2033
81.46,atg,2034
81.6,atg,2035
81.74,atg,2036
81.87,atg,2037
82.01,atg,2038
82.14,atg,2039
82.28,atg,2040
82.41,atg,2041
82.54,atg,2042
82.68,atg,2043
82.81,atg,2044
82.94,atg,2045
83.07,atg,2046
83.2,atg,2047
83.33,atg,2048
83.45,atg,2049
83.58,atg,2050
83.71,atg,2051
83.84,atg,2052
83.96,atg,2053
84.09,atg,2054
84.21,atg,2055
84.33,atg,2056
84.45,atg,2057
84.57,atg,2058
84.69,atg,2059
84.81,atg,2060
84.92,atg,2061
85.04,atg,2062
85.16,atg,2063
85.28,atg,2064
85.39,atg,2065
85.51,atg,2066
85.63,atg,2067
85.75,atg,2068
85.87,atg,2069
85.99,atg,2070
86.1,atg,2071
86.22,atg,2072
86.34,atg,2073
86.45,atg,2074
86.57,atg,2075
86.68,atg,2076
86.8,atg,2077
86.91,atg,2078
87.03,atg,2079
87.14,atg,2080
87.26,atg,2081
87.37,atg,2082
87.48,atg,2083
87.6,atg,2084
87.71,atg,2085
87.82,atg,2086
87.94,atg,2087
88.05,atg,2088
88.16,atg,2089
88.28,atg,2090
88.39,atg,2091
88.5,atg,2092
88.62,atg,2093
88.73,atg,2094
88.84,atg,2095
88.95,atg,2096
89.06,atg,2097
89.17,atg,2098
89.27,atg,2099
63.95,arg,1950
64.27,arg,1951
64.89,arg,1952
65.46,arg,1953
65.99,arg,1954
66.47,arg,1955
66.89,arg,1956
67.28,arg,1957
67.61,arg,1958
67.91,arg,1959
68.15,arg,1960
68.36,arg,1961
68.54,arg,1962
68.69,arg,1963
68.82,arg,1964
68.96,arg,1965
69.11,arg,1966
69.29,arg,1967
69.5,arg,1968
69.73,arg,1969
70.0,arg,1970
70.29,arg,1971
70.59,arg,1972
70.9,arg,1973
71.2,arg,1974
71.49,arg,1975
71.79,arg,1976
72.1,arg,1977
72.41,arg,1978
72.72,arg,1979
73.02,arg,1980
73.31,arg,1981
73.57,arg,1982
73.81,arg,1983
74.02,arg,1984
74.21,arg,1985
74.39,arg,1986
74.57,arg,1987
74.76,arg,1988
74.97,arg,1989
75.19,arg,1990
75.43,arg,1991
75.67,arg,1992
75.91,arg,1993
76.14,arg,1994
76.38,arg,1995
76.61,arg,1996
76.84,arg,1997
77.08,arg,1998
77.31,arg,1999
77.54,arg,2000
77.77,arg,2001
77.99,arg,2002
78.2,arg,2003
78.41,arg,2004
78.61,arg,2005
78.8,arg,2006
78.97,arg,2007
79.14,arg,2008
79.31,arg,2009
79.46,arg,2010
79.61,arg,2011
79.76,arg,2012
79.91,arg,2013
80.06,arg,2014
80.21,arg,2015
80.36,arg,2016
80.51,arg,2017
80.65,arg,2018
80.8,arg,2019
80.94,arg,2020
81.09,arg,2021
81.23,arg,2022
81.37,arg,2023
81.51,arg,2024
81.65,arg,2025
81.79,arg,2026
81.93,arg,2027
82.07,arg,2028
82.21,arg,2029
82.34,arg,2030
82.48,arg,2031
82.61,arg,2032
82.75,arg,2033
82.88,arg,2034
83.02,arg,2035
83.15,arg,2036
83.28,arg,2037
83.41,arg,2038
83.54,arg,2039
83.67,arg,2040
83.8,arg,2041
83.93,arg,2042
84.06,arg,2043
84.19,arg,2044
84.31,arg,2045
84.44,arg,2046
84.57,arg,2047
84.69,arg,2048
84.81,arg,2049
84.94,arg,2050
85.06,arg,2051
85.18,arg,2052
85.3,arg,2053
85.42,arg,2054
85.54,arg,2055
85.66,arg,2056
85.78,arg,2057
85.9,arg,2058
86.02,arg,2059
86.15,arg,2060
86.27,arg,2061
86.39,arg,2062
86.51,arg,2063
86.63,arg,2064
86.75,arg,2065
86.86,arg,2066
86.98,arg,2067
87.1,arg,2068
87.22,arg,2069
87.34,arg,2070
87.45,arg,2071
87.57,arg,2072
87.69,arg,2073
87.81,arg,2074
87.92,arg,2075
88.04,arg,2076
88.15,arg,2077
88.27,arg,2078
88.38,arg,2079
88.49,arg,2080
88.6,arg,2081
88.72,arg,2082
88.83,arg,2083
88.94,arg,2084
89.06,arg,2085
89.17,arg,2086
89.29,arg,2087
89.41,arg,2088
89.52,arg,2089
89.63,arg,2090
89.74,arg,2091
89.86,arg,2092
89.97,arg,2093
90.08,arg,2094
90.19,arg,2095
90.31,arg,2096
90.42,arg,2097
90.54,arg,2098
90.65,arg,2099
65.11,arm,1950
65.32,arm,1951
65.73,arm,1952
66.15,arm,1953
66.56,arm,1954
66.97,arm,1955
67.39,arm,1956
67.8,arm,1957
68.22,arm,1958
68.64,arm,1959
69.06,arm,1960
69.48,arm,1961
69.91,arm,1962
70.34,arm,1963
70.76,arm,1964
71.18,arm,1965
71.6,arm,1966
72.0,arm,1967
72.39,arm,1968
72.75,arm,1969
73.06,arm,1970
73.32,arm,1971
73.5,arm,1972
73.62,arm,1973
73.68,arm,1974
73.71,arm,1975
73.72,arm,1976
73.76,arm,1977
73.82,arm,1978
73.89,arm,1979
73.92,arm,1980
73.85,arm,1981
73.64,arm,1982
73.29,arm,1983
72.81,arm,1984
72.25,arm,1985
71.7,arm,1986
71.23,arm,1987
70.91,arm,1988
70.75,arm,1989
70.78,arm,1990
70.96,arm,1991
71.24,arm,1992
71.57,arm,1993
71.94,arm,1994
72.33,arm,1995
72.75,arm,1996
73.21,arm,1997
73.7,arm,1998
74.21,arm,1999
74.72,arm,2000
75.21,arm,2001
75.68,arm,2002
76.1,arm,2003
76.46,arm,2004
76.77,arm,2005
77.02,arm,2006
77.22,arm,2007
77.39,arm,2008
77.53,arm,2009
77.66,arm,2010
77.77,arm,2011
77.87,arm,2012
77.97,arm,2013
78.08,arm,2014
78.19,arm,2015
78.3,arm,2016
78.42,arm,2017
78.54,arm,2018
78.65,arm,2019
78.77,arm,2020
78.88,arm,2021
79.0,arm,2022
79.11,arm,2023
79.22,arm,2024
79.34,arm,2025
79.45,arm,2026
79.56,arm,2027
79.67,arm,2028
79.79,arm,2029
79.9,arm,2030
80.01,arm,2031
80.12,arm,2032
80.23,arm,2033
80.33,arm,2034
80.44,arm,2035
80.56,arm,2036
80.67,arm,2037
80.78,arm,2038
80.89,arm,2039
81.0,arm,2040
81.11,arm,2041
81.22,arm,2042
81.32,arm,2043
81.43,arm,2044
81.54,arm,2045
81.64,arm,2046
81.75,arm,2047
81.85,arm,2048
81.96,arm,2049
82.06,arm,2050
82.16,arm,2051
82.27,arm,2052
82.37,arm,2053
82.48,arm,2054
82.59,arm,2055
82.69,arm,2056
82.8,arm,2057
82.9,arm,2058
83.0,arm,2059
83.11,arm,2060
83.21,arm,2061
83.31,arm,2062
83.41,arm,2063
83.51,arm,2064
83.61,arm,2065
83.72,arm,2066
83.82,arm,2067
83.92,arm,2068
84.02,arm,2069
84.13,arm,2070
84.23,arm,2071
84.33,arm,2072
84.43,arm,2073
84.53,arm,2074
84.63,arm,2075
84.72,arm,2076
84.82,arm,2077
84.92,arm,2078
85.02,arm,2079
85.12,arm,2080
85.22,arm,2081
85.32,arm,2082
85.42,arm,2083
85.52,arm,2084
85.62,arm,2085
85.71,arm,2086
85.81,arm,2087
85.91,arm,2088
86.01,arm,2089
86.11,arm,2090
86.2,arm,2091
86.3,arm,2092
86.4,arm,2093
86.5,arm,2094
86.59,arm,2095
86.69,arm,2096
86.78,arm,2097
86.88,arm,2098
86.97,arm,2099
59.7,abw,1950
60.2,abw,1951
61.17,abw,1952
62.1,abw,1953
62.97,abw,1954
63.8,abw,1955
64.57,abw,1956
65.29,abw,1957
65.96,abw,1958
66.58,abw,1959
67.13,abw,1960
67.62,abw,1961
68.06,abw,1962
68.46,abw,1963
68.82,abw,1964
69.17,abw,1965
69.53,abw,1966
69.92,abw,1967
70.34,abw,1968
70.81,abw,1969
71.31,abw,1970
71.81,abw,1971
72.31,abw,1972
72.78,abw,1973
73.2,abw,1974
73.58,abw,1975
73.9,abw,1976
74.18,abw,1977
74.43,abw,1978
74.65,abw,1979
74.84,abw,1980
75.01,abw,1981
75.16,abw,1982
75.31,abw,1983
75.44,abw,1984
75.56,abw,1985
75.66,abw,1986
75.75,abw,1987
75.83,abw,1988
75.89,abw,1989
75.93,abw,1990
75.97,abw,1991
76.0,abw,1992
76.03,abw,1993
76.07,abw,1994
76.1,abw,1995
76.13,abw,1996
76.16,abw,1997
76.19,abw,1998
76.22,abw,1999
76.26,abw,2000
76.31,abw,2001
76.38,abw,2002
76.47,abw,2003
76.58,abw,2004
76.7,abw,2005
76.84,abw,2006
76.99,abw,2007
77.14,abw,2008
77.29,abw,2009
77.43,abw,2010
77.56,abw,2011
77.69,abw,2012
77.82,abw,2013
77.95,abw,2014
78.08,abw,2015
78.2,abw,2016
78.33,abw,2017
78.45,abw,2018
78.58,abw,2019
78.7,abw,2020
78.83,abw,2021
78.95,abw,2022
79.07,abw,2023
79.19,abw,2024
79.31,abw,2025
79.43,abw,2026
79.54,abw,2027
79.66,abw,2028
79.77,abw,2029
79.89,abw,2030
80.0,abw,2031
80.11,abw,2032
80.23,abw,2033
80.34,abw,2034
80.45,abw,2035
80.56,abw,2036
80.67,abw,2037
80.79,abw,2038
80.9,abw,2039
81.01,abw,2040
81.12,abw,2041
81.23,abw,2042
81.33,abw,2043
81.44,abw,2044
81.55,abw,2045
81.65,abw,2046
81.76,abw,2047
81.86,abw,2048
81.97,abw,2049
82.07,abw,2050
82.17,abw,2051
82.28,abw,2052
82.38,abw,2053
82.49,abw,2054
82.59,abw,2055
82.69,abw,2056
82.8,abw,2057
82.9,abw,2058
83.0,abw,2059
83.11,abw,2060
83.21,abw,2061
83.31,abw,2062
83.41,abw,2063
83.51,abw,2064
83.61,abw,2065
83.71,abw,2066
83.81,abw,2067
83.91,abw,2068
84.01,abw,2069
84.11,abw,2070
84.2,abw,2071
84.3,abw,2072
84.4,abw,2073
84.5,abw,2074
84.6,abw,2075
84.69,abw,2076
84.79,abw,2077
84.89,abw,2078
84.98,abw,2079
85.08,abw,2080
85.18,abw,2081
85.27,abw,2082
85.37,abw,2083
85.46,abw,2084
85.56,abw,2085
85.66,abw,2086
85.75,abw,2087
85.85,abw,2088
85.94,abw,2089
86.04,abw,2090
86.14,abw,2091
86.23,abw,2092
86.33,abw,2093
86.42,abw,2094
86.52,abw,2095
86.62,abw,2096
86.71,abw,2097
86.81,abw,2098
86.9,abw,2099
71.61,aus,1950
71.8,aus,1951
72.15,aus,1952
72.48,aus,1953
72.79,aus,1954
73.07,aus,1955
73.33,aus,1956
73.55,aus,1957
73.75,aus,1958
73.93,aus,1959
74.07,aus,1960
74.18,aus,1961
74.26,aus,1962
74.31,aus,1963
74.35,aus,1964
74.38,aus,1965
74.4,aus,1966
74.44,aus,1967
74.5,aus,1968
74.58,aus,1969
74.71,aus,1970
74.89,aus,1971
75.13,aus,1972
75.41,aus,1973
75.74,aus,1974
76.1,aus,1975
76.49,aus,1976
76.89,aus,1977
77.28,aus,1978
77.65,aus,1979
77.98,aus,1980
78.27,aus,1981
78.52,aus,1982
78.72,aus,1983
78.89,aus,1984
79.03,aus,1985
79.18,aus,1986
79.33,aus,1987
79.51,aus,1988
79.72,aus,1989
79.95,aus,1990
80.19,aus,1991
80.44,aus,1992
80.69,aus,1993
80.92,aus,1994
81.15,aus,1995
81.37,aus,1996
81.59,aus,1997
81.81,aus,1998
82.05,aus,1999
82.28,aus,2000
82.52,aus,2001
82.76,aus,2002
83.0,aus,2003
83.23,aus,2004
83.44,aus,2005
83.65,aus,2006
83.84,aus,2007
84.02,aus,2008
84.18,aus,2009
84.34,aus,2010
84.48,aus,2011
84.62,aus,2012
84.76,aus,2013
84.9,aus,2014
85.04,aus,2015
85.19,aus,2016
85.33,aus,2017
85.47,aus,2018
85.61,aus,2019
85.75,aus,2020
85.89,aus,2021
86.03,aus,2022
86.17,aus,2023
86.31,aus,2024
86.45,aus,2025
86.58,aus,2026
86.72,aus,2027
86.86,aus,2028
86.99,aus,2029
87.13,aus,2030
87.26,aus,2031
87.39,aus,2032
87.53,aus,2033
87.66,aus,2034
87.79,aus,2035
87.92,aus,2036
88.06,aus,2037
88.19,aus,2038
88.32,aus,2039
88.45,aus,2040
88.58,aus,2041
88.71,aus,2042
88.83,aus,2043
88.96,aus,2044
89.09,aus,2045
89.22,aus,2046
89.35,aus,2047
89.47,aus,2048
89.6,aus,2049
89.73,aus,2050
89.85,aus,2051
89.98,aus,2052
90.1,aus,2053
90.23,aus,2054
90.35,aus,2055
90.47,aus,2056
90.6,aus,2057
90.72,aus,2058
90.84,aus,2059
90.97,aus,2060
91.09,aus,2061
91.21,aus,2062
91.33,aus,2063
91.45,aus,2064
91.58,aus,2065
91.7,aus,2066
91.82,aus,2067
91.94,aus,2068
92.06,aus,2069
92.19,aus,2070
92.31,aus,2071
92.43,aus,2072
92.55,aus,2073
92.67,aus,2074
92.79,aus,2075
92.91,aus,2076
93.03,aus,2077
93.15,aus,2078
93.27,aus,2079
93.39,aus,2080
93.51,aus,2081
93.63,aus,2082
93.75,aus,2083
93.87,aus,2084
93.99,aus,2085
94.1,aus,2086
94.22,aus,2087
94.34,aus,2088
94.45,aus,2089
94.57,aus,2090
94.69,aus,2091
94.8,aus,2092
94.92,aus,2093
95.03,aus,2094
95.15,aus,2095
95.27,aus,2096
95.38,aus,2097
95.5,aus,2098
95.61,aus,2099
67.92,aut,1950
68.13,aut,1951
68.57,aut,1952
69.0,aut,1953
69.42,aut,1954
69.85,aut,1955
70.27,aut,1956
70.68,aut,1957
71.08,aut,1958
71.47,aut,1959
71.83,aut,1960
72.15,aut,1961
72.43,aut,1962
72.67,aut,1963
72.86,aut,1964
73.02,aut,1965
73.15,aut,1966
73.26,aut,1967
73.37,aut,1968
73.49,aut,1969
73.63,aut,1970
73.8,aut,1971
73.98,aut,1972
74.2,aut,1973
74.43,aut,1974
74.68,aut,1975
74.93,aut,1976
75.19,aut,1977
75.44,aut,1978
75.69,aut,1979
75.94,aut,1980
76.18,aut,1981
76.44,aut,1982
76.71,aut,1983
77.0,aut,1984
77.29,aut,1985
77.58,aut,1986
77.86,aut,1987
78.13,aut,1988
78.39,aut,1989
78.63,aut,1990
78.87,aut,1991
79.1,aut,1992
79.34,aut,1993
79.58,aut,1994
79.83,aut,1995
80.08,aut,1996
