geo,liver_cancer_deaths_per_100000_women,time
fra,0.75,1984
fra,0.92,1985
fra,0.86,1986
fra,0.96,1987
fra,0.94,1988
fra,0.97,1989
fra,0.89,1990
fra,0.97,1991
fra,0.96,1992
fra,1.07,1993
fra,1.24,1994
fra,1.14,1995
fra,1.3,1996
fra,1.3,1997
fra,1.29,1998
fra,1.33,1999
fra,2.07,2000
fra,2.17,2001
fra,2.25,2002
pyf,3.8,2002
gab,5.8,2002
gmb,16.6,2002
geo,4.7,2002
deu,0.61,1986
deu,0.95,1988
deu,0.95,1989
deu,0.75,1990
deu,0.84,1991
deu,0.99,1992
deu,0.98,1993
deu,1.02,1994
deu,1.0,1995
deu,1.04,1996
deu,1.04,1997
deu,1.75,1998
deu,1.88,1999
deu,1.77,2000
deu,1.66,2001
deu,1.83,2002
gha,5.5,2002
grc,5.1,2002
gum,3.0,2002
gtm,4.7,2002
gin,11.6,2002
gnb,5.5,2002
guy,0.2,2002
hti,9.0,2002
hnd,4.7,2002
hkg,7.24,1979
hkg,7.97,1980
hkg,7.46,1981
hkg,7.38,1982
hkg,7.96,1983
hkg,7.09,1984
hkg,7.76,1985
hkg,6.83,1986
hkg,7.24,1987
hkg,6.29,1988
hkg,6.26,1989
hkg,7.46,1990
hkg,7.12,1991
hkg,7.42,1992
hkg,6.71,1993
hkg,6.8,2001
hkg,5.04,2002
hun,3.97,1979
hun,3.49,1980
hun,4.19,1981
hun,3.57,1982
hun,4.05,1983
hun,3.72,1984
hun,3.58,1985
hun,3.49,1986
hun,3.71,1987
hun,3.71,1988
hun,3.25,1989
hun,3.76,1990
hun,3.8,1991
hun,3.83,1992
hun,3.7,1993
hun,3.69,1994
hun,4.06,1995
hun,3.66,1996
hun,3.13,1997
hun,3.26,1998
hun,3.67,1999
hun,3.2,2000
hun,2.9,2001
hun,2.79,2002
isl,2.23,1981
isl,0.91,1982
isl,1.46,1983
isl,1.15,1984
isl,0.76,1985
isl,2.15,1986
isl,1.74,1987
isl,0.7,1988
isl,0.81,1990
isl,0.9,1991
isl,0.98,1993
isl,1.24,1994
isl,3.23,1996
isl,1.14,1997
isl,1.12,1998
isl,2.31,1999
isl,1.82,2000
isl,1.05,2002
ind,1.0,2002
idn,2.4,2002
irn,1.8,2002
irq,0.4,2002
irl,0.34,1979
irl,0.56,1980
irl,0.35,1981
irl,0.25,1982
irl,0.17,1983
irl,0.27,1984
irl,0.41,1985
irl,0.38,1986
irl,0.63,1987
irl,0.28,1988
irl,0.15,1989
irl,0.04,1990
irl,0.26,1991
irl,0.2,1992
irl,0.13,1993
irl,0.06,1995
irl,0.25,1996
irl,0.58,1997
irl,0.27,1998
irl,0.1,1999
irl,0.28,2000
irl,0.29,2001
irl,0.23,2002
isr,1.57,1979
isr,0.68,1980
isr,1.77,1981
isr,0.92,1982
isr,0.3,1983
isr,1.32,1984
isr,0.82,1985
isr,1.61,1986
isr,1.29,1987
isr,1.53,1988
