geo,sex_ratio_above_50_years,time
fra,84.91,2030
fra,85.17,2035
fra,85.47,2040
fra,85.93,2045
fra,86.76,2050
guf,111.0,1950
guf,114.7,1955
guf,110.5,1960
guf,107.6,1965
guf,104.2,1970
guf,101.5,1975
guf,103.9,1980
guf,105.7,1985
guf,106.4,1990
guf,109.5,1995
guf,111.7,2000
guf,102.4,2005
guf,99.67,2010
guf,96.97,2015
guf,92.85,2020
guf,89.36,2025
guf,87.53,2030
guf,85.81,2035
guf,85.61,2040
guf,85.99,2045
guf,86.67,2050
pyf,122.6,1950
pyf,122.6,1955
pyf,122.6,1960
pyf,114.4,1965
pyf,114.6,1970
pyf,110.4,1975
pyf,109.1,1980
pyf,106.9,1985
pyf,107.7,1990
pyf,107.5,1995
pyf,107.0,2000
pyf,103.7,2005
pyf,102.9,2010
pyf,100.9,2015
pyf,99.39,2020
pyf,97.68,2025
pyf,95.91,2030
pyf,93.7,2035
pyf,93.31,2040
pyf,92.92,2045
pyf,92.5,2050
gab,85.5,1950
gab,85.41,1955
gab,85.46,1960
gab,85.59,1965
gab,85.95,1970
gab,86.43,1975
gab,86.17,1980
gab,84.8,1985
gab,85.33,1990
gab,88.4,1995
gab,91.05,2000
gab,92.93,2005
gab,93.55,2010
gab,93.77,2015
gab,93.54,2020
gab,93.37,2025
gab,94.5,2030
gab,96.28,2035
gab,98.17,2040
gab,99.52,2045
gab,100.1,2050
gmb,82.97,1950
gmb,86.39,1955
gmb,89.8,1960
gmb,92.3,1965
gmb,93.77,1970
gmb,94.85,1975
gmb,95.14,1980
gmb,94.91,1985
gmb,94.48,1990
gmb,93.71,1995
gmb,92.62,2000
gmb,91.3,2005
gmb,89.95,2010
gmb,88.79,2015
gmb,87.85,2020
gmb,87.17,2025
gmb,86.77,2030
gmb,86.56,2035
gmb,86.63,2040
gmb,86.97,2045
gmb,87.42,2050
geo,81.25,1950
geo,77.47,1955
geo,72.96,1960
geo,66.62,1965
geo,62.3,1970
geo,60.4,1975
geo,65.09,1980
geo,68.67,1985
geo,71.92,1990
geo,72.22,1995
geo,73.11,2000
geo,74.02,2005
geo,73.83,2010
geo,72.72,2015
geo,71.61,2020
geo,70.97,2025
geo,69.79,2030
geo,69.78,2035
geo,71.06,2040
geo,72.04,2045
geo,73.57,2050
deu,77.09,1950
deu,77.03,1955
deu,74.33,1960
deu,70.63,1965
deu,66.88,1970
deu,63.81,1975
deu,64.95,1980
deu,67.74,1985
deu,73.36,1990
deu,76.91,1995
deu,79.97,2000
deu,82.63,2005
deu,85.37,2010
deu,87.75,2015
deu,89.25,2020
deu,89.47,2025
deu,89.32,2030
deu,89.11,2035
deu,88.92,2040
deu,88.45,2045
deu,87.96,2050
gha,91.6,1950
gha,91.97,1955
gha,92.57,1960
gha,93.1,1965
gha,93.55,1970
gha,93.96,1975
gha,94.37,1980
gha,94.75,1985
gha,95.23,1990
gha,95.81,1995
gha,96.56,2000
gha,96.17,2005
gha,95.45,2010
gha,94.84,2015
gha,94.87,2020
gha,95.52,2025
gha,96.25,2030
gha,96.87,2035
gha,97.44,2040
gha,97.88,2045
gha,98.15,2050
grc,83.4,1950
grc,84.02,1955
grc,85.66,1960
grc,86.7,1965
grc,85.68,1970
grc,85.57,1975
grc,85.96,1980
grc,85.9,1985
grc,87.45,1990
grc,86.37,1995
grc,86.72,2000
grc,86.89,2005
grc,87.17,2010
grc,87.06,2015
grc,87.82,2020
grc,89.15,2025
grc,90.65,2030
grc,91.77,2035
grc,92.2,2040
grc,92.24,2045
grc,92.17,2050
grd,61.11,1950
grd,63.85,1955
grd,64.79,1960
grd,65.28,1965
grd,66.37,1970
grd,69.66,1975
grd,73.77,1980
grd,73.26,1985
grd,77.52,1990
grd,73.85,1995
grd,75.6,2000
grd,80.14,2005
grd,83.62,2010
grd,86.17,2015
grd,88.52,2020
grd,92.1,2025
grd,93.37,2030
grd,94.86,2035
grd,95.36,2040
grd,95.33,2045
grd,95.3,2050
glp,68.75,1950
glp,72.21,1955
glp,80.94,1960
glp,78.38,1965
glp,86.0,1970
glp,84.59,1975
glp,83.4,1980
glp,82.94,1985
glp,83.15,1990
glp,83.68,1995
glp,82.71,2000
glp,88.37,2005
glp,85.13,2010
glp,82.76,2015
glp,79.66,2020
glp,77.56,2025
glp,77.02,2030
glp,76.48,2035
glp,76.52,2040
glp,76.09,2045
glp,76.02,2050
gum,126.8,1950
gum,123.1,1955
gum,117.1,1960
gum,118.2,1965
gum,118.7,1970
gum,117.0,1975
gum,113.4,1980
gum,109.5,1985
gum,106.2,1990
gum,103.6,1995
gum,98.4,2000
gum,96.81,2005
gum,96.95,2010
gum,96.13,2015
gum,97.26,2020
gum,95.43,2025
gum,94.03,2030
gum,92.63,2035
gum,91.54,2040
gum,91.7,2045
gum,92.25,2050
gtm,97.4,1950
gtm,97.16,1955
gtm,97.19,1960
gtm,97.98,1965
gtm,98.43,1970
gtm,98.64,1975
gtm,99.14,1980
gtm,98.99,1985
gtm,98.37,1990
gtm,95.93,1995
gtm,93.6,2000
gtm,91.7,2005
gtm,88.9,2010
gtm,85.33,2015
gtm,81.54,2020
gtm,78.18,2025
gtm,76.38,2030
gtm,76.22,2035
gtm,76.93,2040
gtm,78.29,2045
gtm,79.71,2050
gin,107.1,1950
gin,102.1,1955
gin,98.28,1960
gin,95.38,1965
gin,93.38,1970
gin,92.23,1975
gin,90.99,1980
gin,88.92,1985
gin,87.32,1990
gin,87.04,1995
gin,87.02,2000
gin,88.13,2005
gin,89.16,2010
gin,90.09,2015
gin,90.92,2020
gin,91.74,2025
gin,92.56,2030
gin,93.22,2035
gin,93.6,2040
gin,93.76,2045
gin,93.74,2050
gnb,85.54,1950
gnb,85.42,1955
gnb,86.47,1960
