imports_percent_of_gdp,geo,time
6.554,bra,1969
7.45,bra,1970
8.138,bra,1971
8.844,bra,1972
9.502,bra,1973
13.88,bra,1974
11.51,bra,1975
9.433,bra,1976
7.918,bra,1977
7.864,bra,1978
9.176,bra,1979
11.31,bra,1980
9.799,bra,1981
8.274,bra,1982
9.008,bra,1983
7.924,bra,1984
7.095,bra,1985
6.355,bra,1986
6.193,bra,1987
5.693,bra,1988
5.461,bra,1989
6.962,bra,1990
7.914,bra,1991
8.385,bra,1992
9.096,bra,1993
9.162,bra,1994
8.775,bra,1995
8.366,bra,1996
9.02,bra,1997
8.932,bra,1998
10.82,bra,1999
11.74,bra,2000
13.5,bra,2001
12.58,bra,2002
12.08,bra,2003
12.55,bra,2004
11.52,bra,2005
11.47,bra,2006
11.85,bra,2007
13.47,bra,2008
11.18,bra,2009
12.15,bra,2010
17.35,brn,1974
23.43,brn,1975
18.26,brn,1976
16.09,brn,1977
14.47,brn,1978
14.14,brn,1979
11.66,brn,1980
13.71,brn,1981
17.23,brn,1982
18.98,brn,1983
35.21,brn,1989
37.27,brn,1990
40.17,brn,1991
47.91,brn,1992
51.76,brn,1993
48.41,brn,1994
55.83,brn,1995
60.64,brn,1996
58.49,brn,1997
57.4,brn,1998
48.4,brn,1999
35.82,brn,2000
39.19,brn,2001
41.63,brn,2002
35.97,brn,2003
31.79,brn,2004
27.29,brn,2005
25.22,brn,2006
27.9,brn,2007
27.61,brn,2008
30.69,bgr,1980
34.52,bgr,1981
33.22,bgr,1982
36.94,bgr,1983
38.25,bgr,1984
43.2,bgr,1985
43.47,bgr,1986
42.62,bgr,1987
45.9,bgr,1988
48.16,bgr,1989
36.73,bgr,1990
39.2,bgr,1991
52.94,bgr,1992
45.83,bgr,1993
45.67,bgr,1994
49.91,bgr,1995
56.81,bgr,1996
53.41,bgr,1997
58.08,bgr,1998
60.58,bgr,1999
55.8,bgr,2000
58.14,bgr,2001
55.54,bgr,2002
58.86,bgr,2003
63.39,bgr,2004
55.63,bgr,2005
78.8,bgr,2006
79.18,bgr,2007
78.73,bgr,2008
56.34,bgr,2009
59.7,bgr,2010
15.84,bfa,1960
15.79,bfa,1961
15.71,bfa,1962
15.67,bfa,1963
11.52,bfa,1964
11.38,bfa,1965
11.65,bfa,1966
13.93,bfa,1967
15.29,bfa,1968
16.53,bfa,1969
16.14,bfa,1970
19.93,bfa,1971
21.29,bfa,1972
22.92,bfa,1973
24.47,bfa,1974
30.15,bfa,1975
27.01,bfa,1976
30.44,bfa,1977
27.75,bfa,1978
29.28,bfa,1979
31.26,bfa,1980
31.44,bfa,1981
31.62,bfa,1982
29.57,bfa,1983
28.76,bfa,1984
31.03,bfa,1985
28.97,bfa,1986
28.08,bfa,1987
27.13,bfa,1988
23.65,bfa,1989
24.46,bfa,1990
23.35,bfa,1991
19.53,bfa,1992
20.67,bfa,1993
25.03,bfa,1994
26.61,bfa,1995
27.62,bfa,1996
26.6,bfa,1997
28.13,bfa,1998
24.01,bfa,1999
25.19,bfa,2000
23.13,bfa,2001
21.18,bfa,2002
21.72,bfa,2003
24.28,bfa,2004
25.62,bfa,2005
26.81,bfa,2006
13.39,bdi,1960
14.66,bdi,1961
16.39,bdi,1962
14.29,bdi,1963
12.08,bdi,1964
12.53,bdi,1965
12.99,bdi,1966
11.89,bdi,1967
13.37,bdi,1968
12.09,bdi,1969
11.62,bdi,1970
14.17,bdi,1971
15.07,bdi,1972
13.33,bdi,1973
15.53,bdi,1974
19.0,bdi,1975
16.65,bdi,1976
17.29,bdi,1977
20.23,bdi,1978
22.72,bdi,1979
23.29,bdi,1980
22.04,bdi,1981
26.91,bdi,1982
24.75,bdi,1983
23.55,bdi,1984
20.79,bdi,1985
22.32,bdi,1986
25.74,bdi,1987
25.95,bdi,1988
22.94,bdi,1989
27.78,bdi,1990
28.51,bdi,1991
29.48,bdi,1992
27.16,bdi,1993
28.48,bdi,1994
27.28,bdi,1995
15.75,bdi,1996
14.44,bdi,1997
19.44,bdi,1998
15.96,bdi,1999
19.93,bdi,2000
20.89,bdi,2001
22.32,bdi,2002
27.69,bdi,2003
33.92,bdi,2004
45.29,bdi,2005
46.98,bdi,2006
21.97,khm,1960
18.67,khm,1961
22.94,khm,1962
20.78,khm,1963
15.69,khm,1964
12.5,khm,1965
12.81,khm,1966
10.09,khm,1967
10.72,khm,1968
10.55,khm,1969
7.769,khm,1970
32.67,khm,1993
38.68,khm,1994
46.58,khm,1995
43.8,khm,1996
45.32,khm,1997
44.38,khm,1998
53.63,khm,1999
61.76,khm,2000
61.27,khm,2001
64.27,khm,2002
66.56,khm,2003
70.91,khm,2004
72.75,khm,2005
76.02,khm,2006
72.94,khm,2007
67.78,khm,2008
55.92,khm,2009
59.52,khm,2010
24.26,cmr,1965
23.58,cmr,1966
22.58,cmr,1967
24.63,cmr,1968
22.86,cmr,1969
24.67,cmr,1970
27.16,cmr,1971
26.09,cmr,1972
24.0,cmr,1973
22.8,cmr,1974
25.54,cmr,1975
27.36,cmr,1976
27.81,cmr,1977
