geo,traffic_deaths_per_100000_people,time
hrv,11.26,1996
hrv,11.44,1997
hrv,11.87,1998
hrv,11.17,1999
hrv,12.39,2000
hrv,11.49,2001
hrv,11.65,2002
hrv,14.0,2003
hrv,13.19,2004
hrv,12.13,2005
hrv,12.37,2006
hrv,12.99,2007
cub,10.52,1964
cub,10.98,1968
cub,11.99,1969
cub,13.62,1970
cub,12.57,1971
cub,11.1,1972
cub,10.62,1973
cub,11.47,1974
cub,13.64,1975
cub,13.75,1976
cub,17.79,1977
cub,17.1,1992
cub,16.25,1993
cub,17.93,1994
cub,17.63,1995
cub,16.27,1996
cub,15.45,1997
cub,15.07,1998
cub,12.86,1999
cub,13.87,2000
cub,12.29,2001
cub,11.17,2002
cub,9.879,2003
cub,9.685,2004
cub,9.818,2005
cub,8.257,2006
cub,7.3,2007
cyp,10.61,1999
cyp,12.63,2000
cyp,14.66,2004
cyp,13.67,2005
cyp,10.3,2006
cyp,11.55,2007
cze,8.952,1986
cze,9.235,1987
cze,9.894,1988
cze,10.56,1989
cze,12.26,1990
cze,12.82,1991
cze,14.3,1992
cze,13.85,1993
cze,13.25,1994
cze,12.68,1995
cze,11.47,1996
cze,11.87,1997
cze,10.46,1998
cze,8.59,1999
cze,9.666,2000
cze,8.791,2001
cze,8.638,2003
cze,8.141,2004
cze,7.718,2005
cze,6.44,2006
cze,8.056,2007
cze,9.059,2002
cheslo,6.903,1953
cheslo,7.884,1954
cheslo,8.789,1955
cheslo,10.53,1956
cheslo,10.65,1957
cheslo,10.18,1958
cheslo,14.16,1959
cheslo,13.88,1960
cheslo,13.86,1961
cheslo,13.25,1962
cheslo,13.36,1963
cheslo,15.96,1964
cheslo,15.48,1965
cheslo,15.97,1966
cheslo,17.06,1967
cheslo,21.38,1968
cheslo,23.39,1969
cheslo,20.13,1970
cheslo,20.79,1971
cheslo,19.9,1972
cheslo,19.21,1973
cheslo,17.55,1974
cheslo,17.68,1975
cheslo,18.37,1976
cheslo,17.04,1977
cheslo,16.98,1978
cheslo,14.6,1979
cheslo,12.96,1980
cheslo,12.36,1981
cheslo,10.8,1982
cheslo,11.33,1983
cheslo,9.992,1984
cheslo,10.64,1985
cheslo,9.98,1986
cheslo,9.753,1987
cheslo,10.5,1988
cheslo,11.15,1989
cheslo,13.67,1990
cheslo,13.98,1991
dnk,9.607,1951
dnk,10.01,1952
dnk,11.82,1953
dnk,15.06,1954
dnk,15.06,1955
dnk,14.09,1956
dnk,13.97,1957
dnk,13.92,1958
dnk,16.82,1959
dnk,16.06,1960
dnk,17.48,1961
dnk,16.8,1962
dnk,16.55,1963
dnk,18.68,1964
dnk,20.2,1965
dnk,20.52,1966
dnk,21.59,1967
dnk,22.72,1968
dnk,23.58,1969
dnk,22.85,1970
dnk,22.99,1971
dnk,21.97,1972
dnk,22.09,1973
dnk,14.83,1974
dnk,15.44,1975
dnk,15.83,1976
dnk,15.27,1977
dnk,15.56,1978
dnk,13.64,1979
dnk,12.86,1980
dnk,12.42,1981
dnk,11.7,1982
dnk,11.62,1983
dnk,12.05,1984
dnk,13.8,1985
dnk,12.62,1986
dnk,12.15,1987
dnk,12.63,1988
dnk,11.23,1989
dnk,10.59,1990
dnk,10.39,1991
dnk,10.03,1992
dnk,9.466,1993
dnk,9.38,1994
dnk,10.14,1995
dnk,9.06,1996
dnk,8.131,1997
dnk,8.72,1998
dnk,9.469,1999
dnk,8.241,2000
dnk,7.356,2001
dnk,6.913,2002
dnk,7.068,2003
dnk,5.935,2004
dnk,5.503,2005
dnk,5.042,2006
dji,38.54,2002
dji,34.84,2004
dma,19.19,2002
dma,6.593,2004
dom,49.18,2004
dom,19.6,2007
dom,28.51,2002
deu_east,14.04,1973
deu_east,13.62,1974
deu_east,16.26,1977
deu_east,11.77,1980
deu_east,12.13,1981
deu_east,11.26,1982
deu_east,11.15,1983
deu_east,11.44,1984
deu_east,10.44,1985
deu_east,10.44,1986
deu_east,10.07,1987
deu_east,10.68,1988
deu_east,11.13,1989
deu_east,19.48,1990
ecu,16.67,2002
ecu,15.46,2004
ecu,12.9,2007
egy,47.5,2007
slv,35.98,2002
slv,36.22,2004
slv,26.11,2005
slv,28.51,2006
slv,15.3,2007
gnq,42.97,2002
gnq,40.31,2004
eri,26.48,2002
eri,21.65,2004
eri,62.9,2007
est,20.36,1981
est,20.65,1982
est,13.82,1985
est,14.65,1986
est,16.11,1987
est,20.25,1988
est,26.04,1989
est,32.98,1990
est,33.93,1991
est,20.38,1992
est,24.53,1993
est,27.5,1994
est,25.61,1995
est,16.01,1996
est,21.72,1997
est,21.6,1998
est,17.53,1999
est,15.51,2000
est,14.77,2001
est,15.96,2002
est,11.95,2003
est,11.68,2004
est,12.58,2005
est,15.16,2006
est,13.23,2007
eth,30.72,2002
eth,28.66,2004
eth,44.5,2007
fji,4.38,2002
fji,3.965,2004
fji,7.5,2007
fin,7.923,1952
fin,8.789,1953
fin,9.513,1954
fin,10.76,1955
fin,12.04,1956
fin,12.88,1957
fin,12.74,1958
fin,14.65,1959
fin,17.64,1960
fin,18.16,1961
fin,18.65,1962
fin,21.07,1963
fin,22.29,1964
fin,23.53,1965
fin,24.37,1966
fin,22.64,1967
fin,21.58,1968
fin,22.74,1969
fin,22.8,1970
fin,25.1,1971
fin,24.31,1972
fin,22.77,1973
fin,17.03,1974
fin,18.45,1975
fin,15.92,1976
fin,14.03,1977
fin,12.48,1978
fin,12.74,1979
fin,10.9,1980
fin,10.99,1981
fin,10.68,1982
fin,11.7,1983
fin,9.711,1984
fin,10.14,1985
fin,11.28,1986
fin,10.42,1987
fin,12.23,1988
fin,13.85,1989
fin,12.53,1990
fin,11.45,1991
fin,10.87,1992
fin,8.497,1993
fin,8.747,1994
fin,7.659,1995
fin,7.435,1996
fin,7.585,1997
fin,7.094,1998
fin,7.493,1999
fin,6.761,2000
fin,7.777,2001
fin,7.233,2002
fin,6.752,2003
fin,6.563,2004
fin,6.369,2005
fin,5.531,2006
fin,6.665,2007
fra,7.471,1950
fra,9.061,1952
fra,12.48,1953
fra,17.06,1954
fra,18.22,1955
fra,18.49,1956
fra,19.04,1957
fra,17.63,1958
fra,18.01,1959
fra,17.72,1960
fra,19.3,1961
fra,20.58,1962
fra,20.62,1963
fra,22.64,1964
fra,24.53,1965
fra,24.49,1966
fra,26.82,1967
fra,28.48,1968
fra,21.81,1969
fra,22.5,1970
fra,24.4,1971
fra,26.32,1972
fra,24.66,1973
fra,21.63,1974
fra,21.17,1975
fra,22.19,1976
fra,20.92,1977
fra,19.46,1978
fra,19.73,1979
fra,19.67,1980
fra,19.61,1981
fra,19.43,1982
fra,19.23,1983
fra,19.1,1984
fra,17.27,1985
fra,17.96,1986
fra,16.06,1987
fra,17.24,1988
fra,17.38,1989
fra,16.94,1990
fra,15.84,1991
fra,14.73,1992
fra,14.5,1993
fra,13.56,1994
fra,13.3,1995
fra,12.61,1996
fra,12.44,1997
fra,13.49,1998
fra,13.2,1999
fra,12.11,2000
fra,12.25,2001
fra,11.52,2002
fra,9.295,2003
fra,8.345,2004
fra,8.182,2005
fra,7.179,2006
fra,6.984,2007
gab,31.94,2002
gab,29.35,2004
gmb,34.0,2002
gmb,25.89,2004
gmb,42.7,2007
geo,2.833,1981
geo,4.026,1982
geo,9.508,1985
geo,10.41,1986
geo,10.42,1987
geo,16.33,1988
geo,17.36,1989
geo,13.22,1990
geo,6.129,1991
geo,10.31,1992
geo,2.293,1994
geo,2.364,1995
geo,5.679,1996
geo,6.739,1997
geo,5.141,1998
geo,6.317,1999
geo,4.874,2000
geo,7.163,2001
geo,5.564,2002
geo,7.013,2004
geo,15.9,2007
deu,12.82,1990
deu,13.34,1991
deu,12.59,1992
deu,11.82,1993
deu,11.62,1994
deu,11.24,1995
deu,10.54,1996
deu,10.27,1997
deu,8.917,1998
deu,9.216,1999
deu,8.869,2000
deu,8.127,2001
deu,7.987,2002
deu,7.502,2003
deu,6.546,2004
deu,5.923,2005
deu,5.559,2006
deu,5.8,2007
gha,30.81,2002
gha,24.61,2004
gha,36.9,2007
grc,5.946,1961
grc,7.642,1962
grc,7.852,1963
grc,10.68,1964
grc,10.71,1965
grc,11.81,1966
grc,12.19,1967
grc,11.1,1968
grc,11.04,1969
grc,11.28,1970
grc,11.76,1971
grc,12.4,1972
grc,14.68,1973
grc,14.12,1974
grc,16.3,1975
grc,17.3,1976
grc,18.5,1977
grc,20.15,1978
grc,18.59,1979
grc,16.42,1980
grc,14.49,1981
grc,18.99,1982
grc,19.92,1983
grc,20.15,1984
grc,19.6,1985
grc,18.24,1986
grc,17.67,1987
grc,17.54,1988
grc,18.98,1989
grc,20.37,1990
grc,20.31,1991
grc,20.01,1992
grc,17.38,1993
grc,19.24,1994
grc,20.67,1995
grc,21.11,1996
grc,19.42,1997
grc,18.9,1998
grc,18.29,1999
grc,17.51,2000
grc,16.2,2001
grc,14.67,2002
grc,14.39,2003
grc,15.85,2004
grc,15.22,2005
grc,14.5,2006
grc,14.58,2007
grd,4.583,2002
grd,3.694,2004
gtm,14.38,1963
gtm,10.24,1964
gtm,9.841,1965
gtm,8.142,1966
gtm,6.773,1967
gtm,7.763,1968
gtm,8.47,1969
gtm,11.19,1970
gtm,9.799,1971
gtm,3.721,1974
gtm,6.591,1977
gtm,24.43,1979
gtm,22.69,1980
gtm,15.22,1981
gtm,1.597,1984
gtm,5.747,1986
gtm,6.914,1987
gtm,6.004,1988
gtm,5.406,1989
gtm,4.605,1990
gtm,5.788,1991
gtm,6.171,1992
gtm,6.934,1993
gtm,5.505,1994
gtm,6.498,1995
gtm,5.49,1996
gtm,6.269,1997
gtm,5.91,1998
gtm,3.707,1999
gtm,4.782,2000
gtm,3.872,2001
gtm,4.115,2002
gtm,4.125,2003
gtm,3.997,2004
gtm,3.568,2005
gtm,3.399,2006
gtm,19.4,2007
gin,41.03,2002
gin,34.41,2004
gnb,40.76,2002
gnb,30.99,2004
gnb,41.4,2007
guy,11.51,2002
guy,29.0,2004
guy,21.3,2007
hti,11.57,2002
hti,8.179,2004
hnd,18.95,2002
hnd,14.56,2004
hnd,15.9,2007
hun,5.056,1955
hun,7.775,1956
hun,7.434,1957
hun,5.304,1958
hun,6.955,1959
hun,6.537,1960
hun,6.979,1961
hun,7.735,1962
hun,9.229,1963
hun,9.464,1964
hun,8.56,1965
hun,8.452,1966
hun,9.212,1967
hun,12.01,1968
hun,13.21,1969
hun,15.72,1970
hun,17.44,1971
hun,17.29,1972
hun,15.77,1973
hun,16.0,1974
hun,16.32,1975
hun,14.51,1976
hun,16.02,1977
hun,18.01,1978
hun,16.76,1979
hun,15.94,1980
hun,15.73,1981
hun,15.22,1982
hun,15.49,1983
hun,15.37,1984
hun,17.08,1985
hun,16.03,1986
hun,15.75,1987
hun,16.6,1988
hun,21.02,1989
hun,24.28,1990
hun,21.92,1991
hun,21.83,1992
hun,17.07,1993
hun,15.97,1994
hun,16.4,1995
hun,12.39,1996
hun,12.6,1997
hun,12.41,1998
hun,11.69,1999
hun,11.15,2000
hun,11.47,2001
hun,13.99,2002
hun,12.8,2003
hun,12.93,2004
hun,12.69,2005
hun,12.95,2006
hun,12.55,2007
isl,7.205,2002
isl,7.507,2004
isl,9.5,2006
ind,20.88,2002
ind,20.98,2004
ind,19.5,2007
idn,26.49,2002
idn,24.69,2004
idn,17.6,2007
irn,77.3,2002
irn,59.53,2004
irn,42.6,2007
irq,67.14,2002
irq,117.9,2004
irq,44.6,2007
irl,5.016,1950
irl,5.686,1951
irl,5.86,1952
irl,6.137,1953
irl,6.925,1954
irl,7.602,1955
irl,8.932,1956
irl,6.499,1957
irl,8.682,1958
irl,8.625,1959
irl,8.764,1960
irl,10.4,1961
irl,9.735,1962
irl,10.21,1963
irl,10.37,1964
irl,10.61,1965
irl,12.38,1966
irl,12.81,1967
irl,14.41,1968
irl,15.07,1969
irl,16.17,1970
irl,18.46,1971
irl,20.63,1972
irl,20.24,1973
irl,18.17,1974
irl,18.72,1975
irl,16.42,1976
irl,17.78,1977
irl,18.83,1978
irl,18.57,1979
irl,16.6,1980
irl,17.97,1981
irl,15.38,1982
irl,15.4,1983
irl,13.94,1984
irl,13.3,1985
irl,11.91,1986
irl,12.59,1987
irl,13.06,1988
irl,13.16,1989
irl,13.14,1990
irl,11.99,1991
irl,10.58,1992
irl,11.17,1993
irl,10.83,1994
irl,11.42,1995
irl,11.6,1996
irl,11.32,1997
irl,11.46,1998
irl,10.15,1999
irl,10.17,2000
irl,9.586,2001
irl,8.856,2002
irl,7.096,2003
irl,7.13,2004
irl,7.635,2005
irl,6.522,2006
irl,5.537,2007
isr,18.58,1975
isr,15.59,1976
isr,16.48,1977
isr,14.69,1978
isr,14.2,1979
isr,10.82,1980
isr,10.46,1981
isr,10.02,1982
isr,11.12,1983
isr,10.22,1984
isr,9.743,1985
isr,10.07,1986
isr,10.96,1987
isr,10.05,1988
isr,9.957,1989
isr,8.003,1990
isr,5.927,1991
isr,6.457,1992
isr,9.975,1993
isr,10.56,1994
isr,10.65,1995
isr,9.02,1996
isr,8.813,1997
isr,6.395,1998
isr,5.939,1999
isr,5.567,2000
isr,6.467,2001
isr,6.032,2002
isr,5.079,2003
isr,5.285,2004
isr,5.22,2005
