geo,year_categorization_1820_2010,time
cxr,1880,1880
cxr,1890,1890
cxr,1900,1900
cxr,1910,1910
cxr,1920,1920
cxr,1930,1930
cxr,1940,1940
cxr,1950,1950
cxr,1960,1960
cxr,1970,1970
cxr,1980,1980
cxr,1990,1990
cxr,2000,2000
cxr,2010,2010
cck,1820,1820
cck,1830,1830
cck,1840,1840
cck,1850,1850
cck,1860,1860
cck,1870,1870
cck,1880,1880
cck,1890,1890
cck,1900,1900
cck,1910,1910
cck,1920,1920
cck,1930,1930
cck,1940,1940
cck,1950,1950
cck,1960,1960
cck,1970,1970
cck,1980,1980
cck,1990,1990
cck,2000,2000
cck,2010,2010
col,1820,1820
col,1830,1830
col,1840,1840
col,1850,1850
col,1860,1860
col,1870,1870
col,1880,1880
col,1890,1890
col,1900,1900
col,1910,1910
col,1920,1920
col,1930,1930
col,1940,1940
col,1950,1950
col,1960,1960
col,1970,1970
col,1980,1980
col,1990,1990
col,2000,2000
col,2010,2010
com,1820,1820
com,1830,1830
com,1840,1840
com,1850,1850
com,1860,1860
com,1870,1870
com,1880,1880
com,1890,1890
com,1900,1900
com,1910,1910
com,1920,1920
com,1930,1930
com,1940,1940
com,1950,1950
com,1960,1960
com,1970,1970
com,1980,1980
com,1990,1990
com,2000,2000
com,2010,2010
cod,1820,1820
cod,1830,1830
cod,1840,1840
cod,1850,1850
cod,1860,1860
cod,1870,1870
cod,1880,1880
cod,1890,1890
cod,1900,1900
cod,1910,1910
cod,1920,1920
cod,1930,1930
cod,1940,1940
cod,1950,1950
cod,1960,1960
cod,1970,1970
cod,1980,1980
cod,1990,1990
cod,2000,2000
cod,2010,2010
cog,1820,1820
cog,1830,1830
cog,1840,1840
cog,1850,1850
cog,1860,1860
cog,1870,1870
cog,1880,1880
cog,1890,1890
cog,1900,1900
cog,1910,1910
cog,1920,1920
cog,1930,1930
cog,1940,1940
cog,1950,1950
cog,1960,1960
cog,1970,1970
cog,1980,1980
cog,1990,1990
cog,2000,2000
cog,2010,2010
cok,1820,1820
cok,1830,1830
cok,1840,1840
cok,1850,1850
cok,1860,1860
cok,1870,1870
cok,1880,1880
cok,1890,1890
cok,1900,1900
cok,1910,1910
cok,1920,1920
cok,1930,1930
cok,1940,1940
cok,1950,1950
cok,1960,1960
cok,1970,1970
cok,1980,1980
cok,1990,1990
cok,2000,2000
cok,2010,2010
cri,1820,1820
cri,1830,1830
cri,1840,1840
cri,1850,1850
cri,1860,1860
cri,1870,1870
cri,1880,1880
cri,1890,1890
cri,1900,1900
cri,1910,1910
cri,1920,1920
cri,1930,1930
cri,1940,1940
cri,1950,1950
cri,1960,1960
cri,1970,1970
cri,1980,1980
cri,1990,1990
cri,2000,2000
cri,2010,2010
civ,1820,1820
civ,1830,1830
civ,1840,1840
civ,1850,1850
civ,1860,1860
civ,1870,1870
civ,1880,1880
civ,1890,1890
civ,1900,1900
civ,1910,1910
civ,1920,1920
civ,1930,1930
civ,1940,1940
civ,1950,1950
civ,1960,1960
civ,1970,1970
civ,1980,1980
civ,1990,1990
civ,2000,2000
civ,2010,2010
hrv,1820,1820
hrv,1830,1830
hrv,1840,1840
hrv,1850,1850
hrv,1860,1860
hrv,1870,1870
hrv,1880,1880
hrv,1890,1890
hrv,1900,1900
hrv,1910,1910
hrv,1920,1920
hrv,1930,1930
hrv,1940,1940
hrv,1950,1950
hrv,1960,1960
hrv,1970,1970
hrv,1980,1980
hrv,1990,1990
hrv,2000,2000
hrv,2010,2010
cub,1820,1820
cub,1830,1830
cub,1840,1840
cub,1850,1850
cub,1860,1860
cub,1870,1870
cub,1880,1880
cub,1890,1890
cub,1900,1900
cub,1910,1910
cub,1920,1920
cub,1930,1930
cub,1940,1940
cub,1950,1950
cub,1960,1960
cub,1970,1970
cub,1980,1980
cub,1990,1990
cub,2000,2000
cub,2010,2010
cyp,1820,1820
cyp,1830,1830
cyp,1840,1840
cyp,1850,1850
cyp,1860,1860
cyp,1870,1870
cyp,1880,1880
cyp,1890,1890
cyp,1900,1900
cyp,1910,1910
cyp,1920,1920
cyp,1930,1930
cyp,1940,1940
cyp,1950,1950
cyp,1960,1960
cyp,1970,1970
cyp,1980,1980
cyp,1990,1990
cyp,2000,2000
cyp,2010,2010
cze,1820,1820
cze,1830,1830
cze,1840,1840
cze,1850,1850
cze,1860,1860
cze,1870,1870
cze,1880,1880
cze,1890,1890
cze,1900,1900
cze,1910,1910
cze,1920,1920
cze,1930,1930
cze,1940,1940
cze,1950,1950
cze,1960,1960
cze,1970,1970
cze,1980,1980
cze,1990,1990
cze,2000,2000
cze,2010,2010
cheslo,1820,1820
cheslo,1830,1830
cheslo,1840,1840
cheslo,1850,1850
cheslo,1860,1860
cheslo,1870,1870
cheslo,1880,1880
cheslo,1890,1890
cheslo,1900,1900
cheslo,1910,1910
cheslo,1920,1920
cheslo,1930,1930
cheslo,1940,1940
cheslo,1950,1950
cheslo,1960,1960
cheslo,1970,1970
cheslo,1980,1980
cheslo,1990,1990
cheslo,2000,2000
cheslo,2010,2010
dnk,1820,1820
dnk,1830,1830
dnk,1840,1840
dnk,1850,1850
dnk,1860,1860
dnk,1870,1870
dnk,1880,1880
dnk,1890,1890
dnk,1900,1900
dnk,1910,1910
dnk,1920,1920
dnk,1930,1930
dnk,1940,1940
dnk,1950,1950
dnk,1960,1960
dnk,1970,1970
dnk,1980,1980
dnk,1990,1990
dnk,2000,2000
dnk,2010,2010
dji,1820,1820
dji,1830,1830
dji,1840,1840
dji,1850,1850
dji,1860,1860
dji,1870,1870
dji,1880,1880
dji,1890,1890
dji,1900,1900
dji,1910,1910
dji,1920,1920
dji,1930,1930
dji,1940,1940
dji,1950,1950
dji,1960,1960
dji,1970,1970
dji,1980,1980
dji,1990,1990
dji,2000,2000
dji,2010,2010
dma,1820,1820
dma,1830,1830
dma,1840,1840
dma,1850,1850
dma,1860,1860
dma,1870,1870
dma,1880,1880
dma,1890,1890
dma,1900,1900
dma,1910,1910
dma,1920,1920
dma,1930,1930
dma,1940,1940
dma,1950,1950
dma,1960,1960
dma,1970,1970
dma,1980,1980
dma,1990,1990
dma,2000,2000
dma,2010,2010
dom,1820,1820
dom,1830,1830
dom,1840,1840
dom,1850,1850
dom,1860,1860
dom,1870,1870
dom,1880,1880
dom,1890,1890
dom,1900,1900
dom,1910,1910
dom,1920,1920
dom,1930,1930
dom,1940,1940
dom,1950,1950
dom,1960,1960
dom,1970,1970
dom,1980,1980
dom,1990,1990
dom,2000,2000
dom,2010,2010
deu_east,1820,1820
deu_east,1830,1830
deu_east,1840,1840
deu_east,1850,1850
deu_east,1860,1860
deu_east,1870,1870
deu_east,1880,1880
deu_east,1890,1890
deu_east,1900,1900
deu_east,1910,1910
deu_east,1920,1920
deu_east,1930,1930
deu_east,1940,1940
deu_east,1950,1950
deu_east,1960,1960
deu_east,1970,1970
deu_east,1980,1980
deu_east,1990,1990
deu_east,2000,2000
deu_east,2010,2010
ecu,1820,1820
ecu,1830,1830
ecu,1840,1840
ecu,1850,1850
ecu,1860,1860
ecu,1870,1870
ecu,1880,1880
ecu,1890,1890
ecu,1900,1900
ecu,1910,1910
ecu,1920,1920
ecu,1930,1930
ecu,1940,1940
ecu,1950,1950
ecu,1960,1960
ecu,1970,1970
ecu,1980,1980
ecu,1990,1990
ecu,2000,2000
ecu,2010,2010
egy,1820,1820
egy,1830,1830
egy,1840,1840
egy,1850,1850
egy,1860,1860
egy,1870,1870
egy,1880,1880
egy,1890,1890
egy,1900,1900
egy,1910,1910
egy,1920,1920
egy,1930,1930
egy,1940,1940
egy,1950,1950
egy,1960,1960
egy,1970,1970
egy,1980,1980
egy,1990,1990
egy,2000,2000
egy,2010,2010
slv,1820,1820
slv,1830,1830
slv,1840,1840
slv,1850,1850
slv,1860,1860
slv,1870,1870
slv,1880,1880
slv,1890,1890
slv,1900,1900
slv,1910,1910
slv,1920,1920
slv,1930,1930
slv,1940,1940
slv,1950,1950
slv,1960,1960
slv,1970,1970
slv,1980,1980
slv,1990,1990
slv,2000,2000
slv,2010,2010
gnq,1820,1820
gnq,1830,1830
gnq,1840,1840
gnq,1850,1850
gnq,1860,1860
gnq,1870,1870
gnq,1880,1880
gnq,1890,1890
gnq,1900,1900
gnq,1910,1910
gnq,1920,1920
gnq,1930,1930
gnq,1940,1940
gnq,1950,1950
gnq,1960,1960
gnq,1970,1970
gnq,1980,1980
gnq,1990,1990
gnq,2000,2000
gnq,2010,2010
eri,1820,1820
eri,1830,1830
eri,1840,1840
eri,1850,1850
eri,1860,1860
eri,1870,1870
eri,1880,1880
eri,1890,1890
eri,1900,1900
eri,1910,1910
eri,1920,1920
eri,1930,1930
eri,1940,1940
eri,1950,1950
eri,1960,1960
eri,1970,1970
eri,1980,1980
eri,1990,1990
eri,2000,2000
eri,2010,2010
eri_a_eth,1820,1820
eri_a_eth,1830,1830
eri_a_eth,1840,1840
eri_a_eth,1850,1850
eri_a_eth,1860,1860
eri_a_eth,1870,1870
eri_a_eth,1880,1880
eri_a_eth,1890,1890
eri_a_eth,1900,1900
eri_a_eth,1910,1910
eri_a_eth,1920,1920
eri_a_eth,1930,1930
eri_a_eth,1940,1940
eri_a_eth,1950,1950
eri_a_eth,1960,1960
eri_a_eth,1970,1970
eri_a_eth,1980,1980
eri_a_eth,1990,1990
eri_a_eth,2000,2000
eri_a_eth,2010,2010
est,1820,1820
est,1830,1830
est,1840,1840
est,1850,1850
est,1860,1860
est,1870,1870
est,1880,1880
est,1890,1890
est,1900,1900
est,1910,1910
est,1920,1920
est,1930,1930
est,1940,1940
est,1950,1950
est,1960,1960
est,1970,1970
est,1980,1980
est,1990,1990
est,2000,2000
est,2010,2010
eth,1820,1820
eth,1830,1830
eth,1840,1840
eth,1850,1850
eth,1860,1860
eth,1870,1870
eth,1880,1880
eth,1890,1890
eth,1900,1900
eth,1910,1910
eth,1920,1920
eth,1930,1930
eth,1940,1940
eth,1950,1950
eth,1960,1960
eth,1970,1970
eth,1980,1980
eth,1990,1990
eth,2000,2000
eth,2010,2010
fro,1820,1820
fro,1830,1830
fro,1840,1840
fro,1850,1850
fro,1860,1860
fro,1870,1870
fro,1880,1880
fro,1890,1890
fro,1900,1900
fro,1910,1910
fro,1920,1920
fro,1930,1930
fro,1940,1940
fro,1950,1950
fro,1960,1960
fro,1970,1970
fro,1980,1980
fro,1990,1990
fro,2000,2000
fro,2010,2010
flk,1820,1820
flk,1830,1830
flk,1840,1840
flk,1850,1850
flk,1860,1860
flk,1870,1870
flk,1880,1880
flk,1890,1890
flk,1900,1900
flk,1910,1910
flk,1920,1920
flk,1930,1930
flk,1940,1940
flk,1950,1950
flk,1960,1960
flk,1970,1970
flk,1980,1980
flk,1990,1990
flk,2000,2000
flk,2010,2010
fji,1820,1820
fji,1830,1830
