geo,males_aged_15_24_employment_rate_percent,time
bhr,46.2,1994
bhr,46.2,1995
bhr,46.1,1996
bhr,45.0,1997
bhr,45.4,1998
bhr,45.9,1999
bhr,45.7,2000
bhr,45.6,2001
bhr,45.0,2002
bhr,44.6,2003
bhr,43.9,2004
bhr,43.5,2005
bhr,42.6,2006
bhr,41.8,2007
bgd,75.4,1991
bgd,70.1,1992
bgd,72.5,1993
bgd,69.8,1994
bgd,66.9,1995
bgd,67.9,1996
bgd,66.7,1997
bgd,67.3,1998
bgd,65.7,1999
bgd,65.1,2000
bgd,65.4,2001
bgd,65.8,2002
bgd,66.4,2003
bgd,65.7,2004
bgd,65.7,2005
bgd,65.1,2006
bgd,65.2,2007
brb,43.7,1991
brb,42.4,1992
brb,40.9,1993
brb,45.0,1994
brb,46.1,1995
brb,50.2,1996
brb,49.4,1997
brb,51.8,1998
brb,51.8,1999
brb,50.6,2000
brb,47.9,2001
brb,46.5,2002
brb,44.3,2003
brb,49.5,2004
brb,50.1,2005
brb,50.3,2006
brb,50.3,2007
blr,40.8,1991
blr,40.6,1992
blr,40.4,1993
blr,40.3,1994
blr,40.0,1995
blr,40.2,1996
blr,40.8,1997
blr,39.9,1998
blr,38.8,1999
blr,38.5,2000
blr,38.0,2001
blr,37.7,2002
blr,37.5,2003
blr,37.0,2004
blr,36.3,2005
blr,35.3,2006
blr,36.4,2007
bel,33.7,1991
bel,32.6,1992
bel,29.7,1993
bel,29.3,1994
bel,28.6,1995
bel,29.5,1996
bel,28.8,1997
bel,29.6,1998
bel,27.7,1999
bel,33.8,2000
bel,31.5,2001
bel,30.9,2002
bel,29.9,2003
bel,29.8,2004
bel,27.6,2005
bel,29.5,2006
bel,30.1,2007
blz,60.0,1991
blz,59.7,1992
blz,60.1,1993
blz,58.4,1994
blz,55.1,1995
blz,52.5,1996
blz,55.1,1997
blz,53.6,1998
blz,55.9,1999
blz,56.1,2000
blz,57.6,2001
blz,56.6,2002
blz,56.1,2003
blz,55.6,2004
blz,55.6,2005
blz,55.7,2006
blz,54.3,2007
ben,77.0,1991
ben,77.5,1992
ben,77.7,1993
ben,77.5,1994
ben,77.3,1995
ben,76.9,1996
ben,76.1,1997
ben,75.4,1998
ben,74.8,1999
ben,74.2,2000
ben,73.5,2001
ben,73.0,2002
ben,72.4,2003
ben,72.0,2004
ben,71.4,2005
ben,70.9,2006
ben,69.8,2007
btn,63.2,1991
btn,61.8,1992
btn,62.1,1993
btn,60.9,1994
btn,59.9,1995
btn,59.8,1996
btn,59.3,1997
btn,58.7,1998
btn,57.8,1999
btn,57.8,2000
btn,57.9,2001
btn,56.7,2002
btn,57.9,2003
btn,57.9,2004
btn,59.0,2005
btn,57.7,2006
btn,53.8,2007
bol,59.8,1991
bol,56.5,1992
bol,53.7,1993
bol,50.8,1994
bol,47.8,1995
bol,43.7,1996
bol,57.4,1997
bol,57.3,1998
bol,57.0,1999
bol,56.3,2000
bol,55.7,2001
bol,55.7,2002
bol,55.3,2003
bol,54.9,2004
bol,54.5,2005
bol,54.0,2006
bol,57.1,2007
bih,32.4,1991
bih,30.2,1992
bih,27.6,1993
bih,27.1,1994
bih,27.5,1995
bih,26.8,1996
bih,25.1,1997
bih,24.6,1998
bih,23.6,1999
bih,22.7,2000
bih,23.4,2001
bih,22.2,2002
bih,22.5,2003
bih,20.4,2004
bih,21.2,2005
bih,17.2,2006
bih,19.9,2007
bwa,48.1,1991
bwa,41.7,1992
bwa,35.2,1993
bwa,28.2,1994
bwa,26.9,1995
bwa,25.6,1996
bwa,32.6,1997
bwa,40.4,1998
bwa,38.6,1999
bwa,36.8,2000
bwa,28.1,2001
bwa,28.4,2002
bwa,26.8,2003
bwa,24.2,2004
bwa,21.5,2005
bwa,26.9,2006
bwa,27.6,2007
bra,69.4,1991
bra,73.9,1992
bra,73.4,1993
bra,72.5,1994
bra,71.5,1995
bra,67.9,1996
bra,67.4,1997
bra,65.3,1998
bra,63.9,1999
bra,63.1,2000
bra,62.2,2001
bra,62.5,2002
bra,61.8,2003
bra,63.5,2004
bra,63.0,2005
bra,63.9,2006
bra,63.1,2007
brn,49.3,1991
brn,49.0,1992
brn,48.4,1993
brn,48.1,1994
brn,47.9,1995
brn,47.9,1996
brn,47.9,1997
brn,48.1,1998
brn,48.3,1999
brn,48.2,2000
brn,48.1,2001
brn,47.6,2002
brn,47.0,2003
brn,46.4,2004
brn,46.0,2005
brn,45.7,2006
brn,45.7,2007
bgr,24.0,1991
bgr,30.2,1992
bgr,24.7,1993
bgr,24.4,1994
bgr,25.8,1995
bgr,26.0,1996
bgr,24.5,1997
bgr,24.2,1998
bgr,21.7,1999
bgr,17.6,2000
bgr,20.7,2001
bgr,21.1,2002
bgr,22.8,2003
bgr,24.6,2004
bgr,26.1,2005
bgr,28.3,2006
bgr,28.6,2007
bfa,80.7,1991
bfa,80.7,1992
bfa,80.6,1993
bfa,80.7,1994
bfa,80.8,1995
bfa,80.6,1996
bfa,80.4,1997
bfa,80.5,1998
bfa,80.2,1999
bfa,80.1,2000
bfa,79.8,2001
bfa,79.5,2002
bfa,79.1,2003
bfa,78.7,2004
bfa,78.4,2005
bfa,77.9,2006
bfa,77.8,2007
bdi,69.6,1991
bdi,70.0,1992
bdi,70.7,1993
bdi,71.5,1994
bdi,72.2,1995
bdi,73.0,1996
bdi,73.7,1997
bdi,73.8,1998
bdi,73.7,1999
bdi,73.8,2000
bdi,73.2,2001
bdi,72.6,2002
bdi,71.9,2003
bdi,71.4,2004
bdi,70.9,2005
bdi,70.6,2006
bdi,70.7,2007
khm,64.4,1991
khm,64.0,1992
khm,64.4,1993
khm,64.1,1994
khm,61.9,1995
khm,59.1,1996
khm,59.7,1997
khm,62.7,1998
khm,64.4,1999
khm,66.6,2000
khm,70.0,2001
khm,72.1,2002
khm,74.2,2003
khm,75.9,2004
khm,75.5,2005
khm,74.0,2006
khm,76.8,2007
cmr,46.6,1991
cmr,47.0,1992
cmr,47.3,1993
cmr,47.4,1994
cmr,47.2,1995
cmr,48.6,1996
cmr,48.0,1997
cmr,47.4,1998
cmr,46.8,1999
cmr,46.3,2000
cmr,45.3,2001
cmr,44.9,2002
cmr,44.7,2003
cmr,44.3,2004
cmr,43.8,2005
cmr,43.2,2006
cmr,42.0,2007
can,57.1,1991
can,54.3,1992
can,53.3,1993
can,54.1,1994
can,54.3,1995
can,53.4,1996
can,52.8,1997
can,53.0,1998
can,55.4,1999
can,56.9,2000
can,56.5,2001
can,57.4,2002
can,57.8,2003
can,57.5,2004
can,56.5,2005
can,57.7,2006
can,59.6,2007
cpv,69.9,1991
cpv,69.5,1992
cpv,68.6,1993
cpv,67.5,1994
cpv,66.2,1995
cpv,65.0,1996
cpv,63.5,1997
cpv,61.9,1998
cpv,60.1,1999
cpv,58.3,2000
cpv,57.0,2001
cpv,55.7,2002
cpv,54.3,2003
cpv,53.4,2004
cpv,51.3,2005
cpv,50.1,2006
cpv,47.2,2007
caf,63.2,1991
caf,63.8,1992
caf,63.7,1993
caf,63.3,1994
caf,62.9,1995
caf,63.0,1996
caf,63.3,1997
caf,63.0,1998
caf,62.9,1999
caf,62.8,2000
caf,62.8,2001
caf,63.0,2002
caf,63.5,2003
caf,63.6,2004
caf,63.4,2005
caf,63.0,2006
caf,63.6,2007
tcd,54.2,1991
tcd,52.0,1992
tcd,49.7,1993
tcd,49.4,1994
tcd,49.5,1995
tcd,49.7,1996
tcd,49.6,1997
tcd,49.4,1998
tcd,49.5,1999
tcd,49.7,2000
tcd,49.6,2001
tcd,49.2,2002
tcd,47.5,2003
tcd,46.2,2004
tcd,45.2,2005
tcd,45.3,2006
tcd,45.2,2007
chl,46.6,1991
chl,47.3,1992
chl,49.2,1993
chl,47.9,1994
chl,46.2,1995
chl,43.2,1996
chl,41.2,1997
chl,38.3,1998
chl,36.2,1999
chl,33.5,2000
chl,33.3,2001
chl,32.2,2002
chl,31.6,2003
chl,33.0,2004
chl,32.8,2005
chl,32.8,2006
chl,30.3,2007
chn,70.3,1991
chn,70.4,1992
chn,69.2,1993
chn,68.0,1994
chn,66.2,1995
chn,64.8,1996
chn,63.3,1997
chn,61.4,1998
chn,59.8,1999
chn,58.5,2000
chn,56.9,2001
chn,55.6,2002
chn,54.2,2003
chn,52.9,2004
chn,51.9,2005
chn,51.0,2006
chn,51.5,2007
col,46.8,1991
col,47.9,1992
col,49.8,1993
col,48.1,1994
col,48.1,1995
col,47.2,1996
col,44.8,1997
col,44.1,1998
col,47.5,1999
col,47.1,2000
col,48.0,2001
col,47.1,2002
col,47.8,2003
col,47.6,2004
col,48.6,2005
col,46.8,2006
col,49.6,2007
com,60.7,1991
com,60.1,1992
com,59.2,1993
com,58.9,1994
com,58.3,1995
com,57.6,1996
com,56.6,1997
com,55.7,1998
com,54.9,1999
com,54.4,2000
com,54.1,2001
com,53.8,2002
com,53.7,2003
com,53.5,2004
com,53.4,2005
com,53.1,2006
com,52.2,2007
cog,57.2,1991
cog,57.3,1992
cog,57.2,1993
cog,57.4,1994
cog,53.4,1995
cog,52.8,1996
cog,55.0,1997
cog,55.3,1998
cog,54.7,1999
cog,54.4,2000
cog,54.1,2001
cog,54.3,2002
cog,54.8,2003
cog,54.7,2004
cog,54.5,2005
cog,54.0,2006
cog,54.2,2007
cod,65.1,1991
cod,66.9,1992
cod,67.6,1993
cod,68.1,1994
cod,68.3,1995
cod,69.0,1996
cod,69.3,1997
cod,69.7,1998
cod,69.8,1999
cod,70.3,2000
cod,70.8,2001
cod,71.2,2002
cod,71.3,2003
cod,71.1,2004
cod,71.0,2005
cod,71.0,2006
cod,71.4,2007
cri,64.9,1991
cri,66.2,1992
cri,66.6,1993
cri,66.0,1994
cri,64.0,1995
cri,61.4,1996
cri,62.7,1997
cri,64.8,1998
cri,61.0,1999
cri,61.0,2000
cri,57.9,2001
cri,57.5,2002
cri,56.7,2003
cri,55.2,2004
cri,54.8,2005
cri,54.7,2006
cri,55.6,2007
civ,67.3,1991
civ,67.2,1992
civ,67.9,1993
civ,68.7,1994
civ,69.1,1995
civ,68.1,1996
civ,67.1,1997
civ,66.1,1998
civ,65.2,1999
civ,64.9,2000
civ,64.7,2001
civ,64.6,2002
civ,64.7,2003
civ,64.4,2004
civ,64.1,2005
civ,63.6,2006
civ,63.4,2007
hrv,26.7,1991
hrv,26.3,1992
hrv,25.8,1993
hrv,35.0,1994
hrv,35.1,1995
hrv,35.1,1996
hrv,34.9,1997
hrv,31.4,1998
hrv,29.3,1999
hrv,27.2,2000
hrv,24.0,2001
hrv,28.9,2002
hrv,28.1,2003
hrv,29.8,2004
hrv,28.6,2005
hrv,29.0,2006
hrv,31.7,2007
cub,51.3,1991
cub,50.3,1992
cub,50.9,1993
cub,50.2,1994
cub,45.1,1995
cub,44.6,1996
cub,43.3,1997
cub,42.1,1998
cub,39.9,1999
cub,39.0,2000
cub,38.8,2001
cub,38.6,2002
cub,38.9,2003
cub,38.9,2004
cub,39.0,2005
cub,38.9,2006
cub,38.7,2007
cyp,65.1,1991
cyp,61.9,1992
cyp,59.5,1993
cyp,58.4,1994
cyp,55.8,1995
cyp,54.2,1996
cyp,53.6,1997
cyp,54.9,1998
cyp,50.3,1999
cyp,53.5,2000
cyp,53.3,2001
cyp,37.4,2002
cyp,37.8,2003
cyp,39.7,2004
cyp,38.1,2005
cyp,39.6,2006
cyp,37.2,2007
cze,52.6,1991
cze,53.6,1992
cze,56.2,1993
cze,55.6,1994
cze,54.5,1995
cze,53.5,1996
cze,51.2,1997
cze,49.1,1998
cze,45.1,1999
cze,42.7,2000
cze,40.7,2001
cze,38.4,2002
cze,35.4,2003
cze,31.7,2004
cze,31.2,2005
cze,31.3,2006
cze,31.8,2007
dnk,67.6,1991
dnk,64.3,1992
dnk,61.1,1993
dnk,65.0,1994
dnk,71.2,1995
dnk,70.1,1996
dnk,73.0,1997
dnk,67.5,1998
dnk,70.3,1999
dnk,70.5,2000
dnk,64.9,2001
dnk,65.1,2002
dnk,60.8,2003
dnk,63.6,2004
dnk,66.3,2005
dnk,63.1,2006
dnk,61.0,2007
dom,45.8,1991
dom,45.6,1992
dom,46.1,1993
dom,49.1,1994
dom,50.5,1995
dom,49.3,1996
dom,49.8,1997
dom,50.3,1998
dom,50.2,1999
dom,50.3,2000
dom,48.9,2001
dom,49.5,2002
dom,46.0,2003
dom,44.9,2004
dom,45.0,2005
dom,44.3,2006
dom,42.9,2007
tls,55.6,1991
tls,55.7,1992
tls,55.9,1993
tls,56.1,1994
tls,56.1,1995
tls,55.8,1996
tls,55.2,1997
tls,54.3,1998
tls,54.2,1999
tls,54.8,2000
tls,56.0,2001
tls,57.8,2002
tls,59.4,2003
tls,60.5,2004
tls,61.1,2005
tls,61.4,2006
tls,63.5,2007
ecu,52.5,1991
ecu,52.7,1992
ecu,53.1,1993
ecu,52.7,1994
ecu,52.6,1995
ecu,52.3,1996
ecu,52.0,1997
ecu,51.7,1998
ecu,52.3,1999
ecu,51.7,2000
ecu,51.1,2001
ecu,50.7,2002
ecu,50.3,2003
ecu,49.9,2004
ecu,49.3,2005
ecu,48.7,2006
ecu,48.8,2007
egy,31.1,1991
egy,34.3,1992
egy,33.9,1993
egy,34.5,1994
egy,35.4,1995
egy,36.8,1996
egy,36.6,1997
egy,36.5,1998
egy,41.3,1999
egy,36.6,2000
egy,32.4,2001
egy,32.7,2002
egy,32.3,2003
egy,31.7,2004
egy,30.9,2005
egy,31.4,2006
egy,31.2,2007
slv,50.2,1991
slv,61.4,1992
slv,56.7,1993
slv,59.7,1994
slv,61.5,1995
slv,59.5,1996
slv,57.0,1997
slv,59.6,1998
slv,57.8,1999
slv,56.2,2000
slv,54.6,2001
slv,53.9,2002
slv,56.6,2003
slv,55.8,2004
slv,55.1,2005
slv,54.3,2006
slv,52.7,2007
gnq,76.5,1991
gnq,77.9,1992
gnq,77.2,1993
gnq,77.6,1994
gnq,77.7,1995
gnq,79.5,1996
gnq,81.8,1997
gnq,78.4,1998
gnq,78.5,1999
gnq,78.3,2000
gnq,79.8,2001
gnq,78.4,2002
gnq,78.2,2003
gnq,79.0,2004
gnq,78.0,2005
gnq,77.7,2006
gnq,78.5,2007
eri,68.0,1991
eri,68.4,1992
eri,68.4,1993
eri,67.7,1994
eri,67.3,1995
eri,67.0,1996
eri,66.6,1997
eri,66.5,1998
eri,66.3,1999
eri,66.7,2000
eri,66.3,2001
eri,65.4,2002
eri,64.3,2003
eri,63.8,2004
eri,63.3,2005
eri,63.1,2006
eri,62.7,2007
est,45.0,1991
est,47.1,1992
est,46.4,1993
est,46.7,1994
est,46.9,1995
est,43.8,1996
est,41.1,1997
est,40.5,1998
est,37.7,1999
est,36.8,2000
est,37.3,2001
est,33.6,2002
est,34.6,2003
est,31.5,2004
est,32.2,2005
est,32.1,2006
est,32.7,2007
eth,73.8,1991
eth,74.6,1992
eth,76.5,1993
eth,77.6,1994
eth,76.4,1995
eth,79.2,1996
eth,79.6,1997
eth,79.3,1998
eth,78.1,1999
eth,78.2,2000
eth,78.4,2001
eth,78.5,2002
eth,78.5,2003
eth,78.5,2004
eth,79.2,2005
eth,78.0,2006
eth,79.1,2007
fji,58.8,1991
fji,57.8,1992
fji,55.6,1993
fji,54.2,1994
fji,53.0,1995
fji,51.1,1996
fji,51.3,1997
fji,52.0,1998
fji,51.0,1999
fji,52.4,2000
fji,52.2,2001
fji,51.9,2002
fji,53.1,2003
fji,53.1,2004
fji,53.1,2005
fji,52.8,2006
fji,52.6,2007
fin,44.4,1991
fin,35.8,1992
fin,32.2,1993
fin,29.9,1994
fin,32.0,1995
fin,32.3,1996
fin,35.1,1997
fin,36.7,1998
fin,40.2,1999
fin,40.9,2000
fin,41.5,2001
fin,39.9,2002
fin,38.9,2003
fin,37.9,2004
fin,39.2,2005
fin,41.0,2006
fin,43.2,2007
fra,31.5,1991
fra,30.6,1992
fra,27.0,1993
fra,25.0,1994
fra,25.9,1995
fra,25.8,1996
fra,24.4,1997
fra,25.0,1998
fra,25.1,1999
fra,27.1,2000
fra,27.8,2001
fra,27.4,2002
fra,31.1,2003
fra,30.4,2004
fra,30.0,2005
fra,29.7,2006
fra,32.0,2007
gab,39.6,1991
gab,39.3,1992
gab,43.5,1993
gab,43.4,1994
gab,42.8,1995
gab,42.3,1996
gab,42.1,1997
gab,41.6,1998
gab,40.9,1999
gab,40.6,2000
gab,40.2,2001
gab,39.2,2002
gab,38.7,2003
gab,37.9,2004
gab,37.6,2005
gab,36.9,2006
gab,37.0,2007
gmb,58.9,1991
gmb,59.1,1992
gmb,59.1,1993
gmb,59.1,1994
gmb,59.0,1995
gmb,59.1,1996
gmb,58.6,1997
gmb,58.1,1998
gmb,57.6,1999
gmb,57.1,2000
gmb,56.5,2001
gmb,56.6,2002
gmb,56.4,2003
gmb,55.9,2004
gmb,55.5,2005
gmb,54.8,2006
gmb,54.3,2007
geo,32.3,1991
geo,29.8,1992
geo,26.8,1993
geo,28.2,1994
geo,27.8,1995
geo,29.6,1996
geo,30.5,1997
geo,29.9,1998
geo,31.8,1999
geo,34.4,2000
geo,35.0,2001
geo,28.6,2002
geo,35.0,2003
geo,28.4,2004
geo,29.6,2005
geo,29.5,2006
geo,29.8,2007
deu,60.8,1991
deu,58.5,1992
deu,55.8,1993
deu,54.1,1994
deu,52.3,1995
deu,51.2,1996
deu,49.9,1997
deu,50.9,1998
deu,50.6,1999
deu,50.2,2000
deu,49.4,2001
deu,46.3,2002
deu,43.7,2003
deu,43.8,2004
deu,45.0,2005
deu,46.4,2006
deu,45.7,2007
gha,36.9,1991
gha,36.5,1992
gha,38.1,1993
gha,38.9,1994
gha,39.7,1995
gha,41.8,1996
gha,42.6,1997
gha,44.2,1998
gha,45.3,1999
gha,44.8,2000
gha,43.7,2001
gha,42.5,2002
gha,41.2,2003
gha,39.8,2004
gha,38.6,2005
gha,37.2,2006
gha,38.8,2007
grc,37.6,1991
grc,37.2,1992
grc,35.4,1993
grc,34.8,1994
grc,35.2,1995
grc,33.9,1996
grc,32.7,1997
grc,35.4,1998
grc,33.4,1999
grc,33.4,2000
grc,31.2,2001
grc,32.8,2002
grc,32.4,2003
grc,34.1,2004
grc,31.0,2005
grc,31.0,2006
grc,33.7,2007
glp,26.3,1991
glp,26.8,1992
glp,25.1,1993
glp,24.9,1994
glp,23.2,1995
glp,20.3,1996
glp,18.8,1997
glp,16.8,1998
glp,15.9,1999
glp,17.2,2000
glp,16.1,2001
glp,16.8,2002
glp,16.3,2003
glp,17.4,2004
glp,16.8,2005
glp,16.1,2006
glp,15.4,2007
gtm,78.0,1991
gtm,78.4,1992
gtm,78.0,1993
gtm,77.6,1994
gtm,76.5,1995
gtm,76.6,1996
gtm,74.7,1997
gtm,74.5,1998
gtm,74.6,1999
gtm,75.6,2000
gtm,76.0,2001
gtm,74.1,2002
gtm,74.5,2003
gtm,74.0,2004
gtm,74.8,2005
gtm,75.2,2006
gtm,72.6,2007
gin,77.7,1991
gin,77.9,1992
gin,78.1,1993
gin,78.1,1994
gin,77.8,1995
gin,77.6,1996
gin,77.3,1997
gin,76.9,1998
gin,76.6,1999
gin,76.5,2000
gin,76.1,2001
gin,76.0,2002
gin,75.9,2003
gin,75.6,2004
gin,75.4,2005
gin,75.2,2006
gin,74.6,2007
gnb,65.9,1991
gnb,66.2,1992
gnb,66.7,1993
gnb,67.1,1994
gnb,67.2,1995
gnb,66.9,1996
gnb,67.0,1997
gnb,68.4,1998
gnb,69.5,1999
gnb,69.4,2000
gnb,69.4,2001
gnb,70.2,2002
gnb,70.8,2003
gnb,71.1,2004
gnb,71.3,2005
gnb,71.5,2006
gnb,72.3,2007
guy,58.0,1991
guy,56.8,1992
guy,56.6,1993
guy,56.8,1994
guy,57.1,1995
guy,56.3,1996
guy,55.3,1997
guy,56.2,1998
guy,57.0,1999
guy,57.2,2000
guy,57.5,2001
guy,55.2,2002
guy,55.3,2003
guy,56.0,2004
guy,55.5,2005
guy,55.9,2006
guy,55.7,2007
hti,47.2,1991
hti,47.2,1992
hti,46.2,1993
hti,43.9,1994
hti,53.3,1995
hti,50.9,1996
hti,52.7,1997
hti,52.5,1998
hti,53.9,1999
hti,53.4,2000
hti,53.0,2001
hti,53.7,2002
hti,54.4,2003
hti,53.3,2004
hti,55.7,2005
hti,55.9,2006
hti,56.4,2007
hnd,70.3,1991
hnd,72.4,1992
hnd,72.9,1993
hnd,73.4,1994
hnd,73.6,1995
hnd,74.7,1996
hnd,76.1,1997
hnd,74.8,1998
hnd,75.1,1999
hnd,73.7,2000
hnd,71.9,2001
hnd,71.2,2002
hnd,68.4,2003
hnd,65.1,2004
hnd,64.7,2005
hnd,64.4,2006
hnd,62.4,2007
hkg,54.5,1991
hkg,53.0,1992
hkg,52.1,1993
hkg,49.8,1994
hkg,47.4,1995
hkg,46.9,1996
hkg,47.1,1997
hkg,43.3,1998
hkg,40.7,1999
hkg,41.6,2000
hkg,39.0,2001
hkg,37.0,2002
hkg,37.3,2003
hkg,38.4,2004
hkg,37.9,2005
hkg,37.5,2006
hkg,38.0,2007
hun,42.4,1991
hun,38.1,1992
hun,34.2,1993
hun,33.2,1994
hun,36.8,1995
hun,36.7,1996
hun,36.5,1997
hun,39.0,1998
hun,39.3,1999
hun,36.8,2000
hun,35.3,2001
hun,31.9,2002
hun,30.2,2003
hun,26.5,2004
hun,24.2,2005
hun,24.2,2006
hun,23.1,2007
isl,57.1,1991
isl,55.8,1992
isl,51.0,1993
isl,50.4,1994
isl,55.7,1995
isl,55.1,1996
isl,55.0,1997
isl,60.6,1998
isl,63.9,1999
isl,66.3,2000
isl,66.5,2001
isl,58.8,2002
isl,68.1,2003
isl,64.6,2004
isl,68.6,2005
isl,70.5,2006
isl,65.9,2007
ind,64.5,1991
ind,64.9,1992
ind,63.3,1993
ind,61.9,1994
ind,63.8,1995
ind,63.5,1996
ind,62.3,1997
ind,60.4,1998
ind,59.5,1999
ind,58.3,2000
ind,59.7,2001
ind,60.8,2002
ind,58.7,2003
ind,57.5,2004
ind,56.6,2005
ind,55.8,2006
ind,55.6,2007
idn,54.6,1991
idn,56.6,1992
idn,53.4,1993
idn,49.1,1994
idn,50.9,1995
idn,54.3,1996
idn,54.9,1997
idn,46.9,1998
idn,56.5,1999
idn,54.5,2000
idn,53.6,2001
idn,49.3,2002
idn,49.2,2003
idn,48.0,2004
idn,48.3,2005
idn,45.3,2006
idn,50.0,2007
irn,49.3,1991
irn,47.2,1992
irn,45.2,1993
irn,43.7,1994
irn,42.2,1995
irn,40.8,1996
irn,41.0,1997
irn,41.2,1998
irn,41.6,1999
irn,42.0,2000
irn,41.5,2001
irn,42.1,2002
irn,43.7,2003
irn,45.3,2004
irn,44.7,2005
irn,44.5,2006
irn,45.4,2007
irq,39.6,1991
irq,39.8,1992
irq,39.1,1993
irq,38.7,1994
irq,38.3,1995
irq,38.0,1996
irq,37.7,1997
irq,37.2,1998
irq,36.6,1999
irq,36.4,2000
irq,35.8,2001
irq,35.2,2002
irq,26.6,2003
irq,39.6,2004
irq,39.1,2005
irq,38.6,2006
irq,38.3,2007
irl,39.9,1991
irl,37.3,1992
irl,35.2,1993
irl,35.8,1994
irl,39.4,1995
irl,38.7,1996
irl,41.2,1997
irl,46.7,1998
irl,50.4,1999
irl,53.0,2000
irl,51.7,2001
irl,48.4,2002
irl,48.5,2003
irl,48.3,2004
irl,48.5,2005
irl,51.8,2006
irl,50.7,2007
isr,26.6,1991
isr,26.5,1992
isr,29.5,1993
isr,31.1,1994
isr,31.3,1995
isr,31.0,1996
isr,30.1,1997
isr,29.0,1998
isr,28.4,1999
isr,27.8,2000
isr,26.6,2001
isr,24.1,2002
isr,23.2,2003
isr,24.3,2004
isr,25.6,2005
isr,25.4,2006
isr,25.1,2007
ita,34.4,1991
ita,33.0,1992
ita,37.1,1993
ita,35.1,1994
ita,34.0,1995
ita,33.4,1996
ita,33.5,1997
ita,33.5,1998
ita,33.0,1999
ita,33.2,2000
ita,32.6,2001
ita,32.1,2002
ita,31.0,2003
ita,31.2,2004
ita,29.8,2005
ita,30.5,2006
ita,30.1,2007
jam,50.2,1991
jam,50.5,1992
jam,47.6,1993
jam,48.0,1994
jam,42.6,1995
jam,42.5,1996
jam,40.9,1997
jam,39.5,1998
