military_expenditure_percent_of_gdp,geo,time
3.508,irn,2005
3.682,irn,2006
2.731,irn,2007
1.92,irn,2008
2.383,irq,2004
3.577,irq,2005
2.742,irq,2006
3.408,irq,2007
3.32,irq,2008
4.621,irq,2009
4.415,irq,2010
5.066,irq,2011
1.088,irl,1988
1.009,irl,1989
1.262,irl,1990
1.242,irl,1991
1.211,irl,1992
1.151,irl,1993
1.145,irl,1994
1.047,irl,1995
1.015,irl,1996
0.943,irl,1997
0.8425,irl,1998
0.7691,irl,1999
0.7123,irl,2000
0.7264,irl,2001
0.6563,irl,2002
0.6065,irl,2003
0.5891,irl,2004
0.5634,irl,2005
0.5323,irl,2006
0.5281,irl,2007
0.6006,irl,2008
0.6345,irl,2009
0.6167,irl,2010
0.5977,irl,2011
15.57,isr,1988
13.28,isr,1989
12.9,isr,1990
16.03,isr,1991
11.83,isr,1992
12.13,isr,1993
11.03,isr,1994
8.925,isr,1995
9.119,isr,1996
9.149,isr,1997
8.658,isr,1998
8.367,isr,1999
7.952,isr,2000
8.393,isr,2001
9.636,isr,2002
9.62,isr,2003
8.722,isr,2004
8.028,isr,2005
8.102,isr,2006
7.465,isr,2007
7.115,isr,2008
7.002,isr,2009
6.55,isr,2010
6.768,isr,2011
2.284,ita,1988
2.227,ita,1989
2.062,ita,1990
2.036,ita,1991
1.966,ita,1992
2.004,ita,1993
1.923,ita,1994
1.712,ita,1995
1.851,ita,1996
1.896,ita,1997
1.917,ita,1998
1.961,ita,1999
2.03,ita,2000
1.958,ita,2001
1.988,ita,2002
1.997,ita,2003
1.966,ita,2004
1.877,ita,2005
1.784,ita,2006
1.691,ita,2007
1.788,ita,2008
1.815,ita,2009
1.727,ita,2010
1.568,ita,2011
0.5335,jam,1989
0.5971,jam,1990
0.5528,jam,1991
0.9498,jam,1992
0.6474,jam,1993
0.4927,jam,1994
0.58,jam,1995
0.655,jam,1996
0.7374,jam,1997
0.5449,jam,1998
0.511,jam,1999
0.4869,jam,2000
0.5093,jam,2001
0.588,jam,2002
0.5836,jam,2003
0.538,jam,2004
0.5175,jam,2005
0.586,jam,2006
0.626,jam,2007
0.9286,jam,2008
0.9124,jam,2009
0.7727,jam,2010
0.9458,jpn,1988
0.9285,jpn,1989
0.9121,jpn,1990
0.9086,jpn,1991
0.9243,jpn,1992
0.9407,jpn,1993
0.9426,jpn,1994
0.9396,jpn,1995
0.9405,jpn,1996
0.9408,jpn,1997
0.9644,jpn,1998
0.9772,jpn,1999
0.9679,jpn,2000
0.9791,jpn,2001
0.9929,jpn,2002
0.9931,jpn,2003
0.9743,jpn,2004
0.9676,jpn,2005
0.9527,jpn,2006
0.9285,jpn,2007
0.9503,jpn,2008
1.019,jpn,2009
0.9955,jpn,2010
1.021,jpn,2011
9.716,jor,1988
9.274,jor,1989
8.02,jor,1990
10.33,jor,1991
6.924,jor,1992
6.977,jor,1993
6.54,jor,1994
4.454,jor,1995
6.026,jor,1996
6.13,jor,1997
6.273,jor,1998
6.281,jor,1999
6.249,jor,2000
5.889,jor,2001
5.445,jor,2002
6.002,jor,2003
5.142,jor,2004
4.795,jor,2005
4.656,jor,2006
6.034,jor,2007
6.105,jor,2008
5.895,jor,2009
5.175,jor,2010
4.742,jor,2011
1.02,kaz,1993
0.8974,kaz,1994
1.065,kaz,1995
1.151,kaz,1996
1.07,kaz,1997
1.096,kaz,1998
0.853,kaz,1999
0.7846,kaz,2000
0.9998,kaz,2001
0.9983,kaz,2002
1.03,kaz,2003
0.9881,kaz,2004
1.037,kaz,2005
0.9791,kaz,2006
1.3,kaz,2007
1.152,kaz,2008
1.105,kaz,2009
1.013,kaz,2010
0.9633,kaz,2011
3.004,ken,1988
2.76,ken,1989
2.875,ken,1990
2.354,ken,1991
1.901,ken,1992
1.838,ken,1993
1.642,ken,1994
1.648,ken,1995
1.418,ken,1996
1.341,ken,1997
1.22,ken,1998
1.178,ken,1999
1.303,ken,2000
1.504,ken,2001
1.627,ken,2002
1.65,ken,2003
1.614,ken,2004
1.691,ken,2005
1.67,ken,2006
1.816,ken,2007
1.901,ken,2008
1.897,ken,2009
1.871,ken,2010
1.535,ken,2011
4.341,kor,1988
4.191,kor,1989
3.833,kor,1990
3.567,kor,1991
3.521,kor,1992
3.418,kor,1993
3.193,kor,1994
2.994,kor,1995
2.943,kor,1996
2.876,kor,1997
3.027,kor,1998
2.716,kor,1999
2.588,kor,2000
2.565,kor,2001
2.449,kor,2002
2.462,kor,2003
2.47,kor,2004
2.623,kor,2005
2.645,kor,2006
2.643,kor,2007
2.799,kor,2008
2.922,kor,2009
2.717,kor,2010
2.757,kor,2011
8.245,kwt,1988
8.54,kwt,1989
48.71,kwt,1990
117.4,kwt,1991
31.79,kwt,1992
12.45,kwt,1993
13.27,kwt,1994
13.58,kwt,1995
10.3,kwt,1996
8.092,kwt,1997
8.802,kwt,1998
7.591,kwt,1999
7.148,kwt,2000
7.7,kwt,2001
7.403,kwt,2002
6.54,kwt,2003
5.806,kwt,2004
4.345,kwt,2005
3.56,kwt,2006
3.619,kwt,2007
3.031,kwt,2008
4.055,kwt,2009
3.797,kwt,2010
3.195,kwt,2011
1.646,kgz,1992
1.531,kgz,1993
2.588,kgz,1994
3.456,kgz,1995
2.987,kgz,1996
3.112,kgz,1997
2.668,kgz,1998
2.599,kgz,1999
2.852,kgz,2000
2.347,kgz,2001
2.727,kgz,2002
2.871,kgz,2003
2.849,kgz,2004
3.077,kgz,2005
3.169,kgz,2006
3.388,kgz,2007
3.417,kgz,2008
3.518,kgz,2009
4.207,kgz,2010
8.977,lao,1992
7.939,lao,1993
7.393,lao,1994
6.173,lao,1995
4.114,lao,1996
3.453,lao,1997
2.605,lao,1998
1.065,lao,1999
0.7846,lao,2000
0.7133,lao,2001
0.6504,lao,2002
0.5405,lao,2003
0.483,lao,2004
0.4288,lao,2005
0.3848,lao,2006
0.3452,lao,2007
0.3151,lao,2008
0.2396,lao,2009
0.2259,lao,2010
0.818,lva,1993
0.9302,lva,1994
0.8914,lva,1995
0.6827,lva,1996
0.6203,lva,1997
0.6354,lva,1998
0.7761,lva,1999
0.8925,lva,2000
1.046,lva,2001
1.58,lva,2002
1.689,lva,2003
1.668,lva,2004
1.7,lva,2005
1.844,lva,2006
1.671,lva,2007
1.73,lva,2008
1.406,lva,2009
1.084,lva,2010
1.045,lva,2011
1.187,lbn,1988
7.552,lbn,1990
5.155,lbn,1991
7.98,lbn,1992
6.013,lbn,1993
6.641,lbn,1994
6.368,lbn,1995
5.374,lbn,1996
4.305,lbn,1997
4.023,lbn,1998
4.771,lbn,1999
5.388,lbn,2000
5.431,lbn,2001
4.738,lbn,2002
4.598,lbn,2003
4.381,lbn,2004
4.403,lbn,2005
4.497,lbn,2006
4.599,lbn,2007
3.888,lbn,2008
4.084,lbn,2009
4.185,lbn,2010
4.158,lbn,2011
4.57,lso,1988
5.761,lso,1989
5.104,lso,1990
4.317,lso,1991
3.406,lso,1992
3.095,lso,1993
3.502,lso,1994
4.232,lso,1995
3.565,lso,1996
3.42,lso,1997
3.482,lso,1998
4.347,lso,1999
4.096,lso,2000
3.401,lso,2001
3.06,lso,2002
2.889,lso,2003
2.546,lso,2004
2.459,lso,2005
2.47,lso,2006
2.497,lso,2007
1.682,lso,2008
2.772,lso,2009
3.24,lso,2010
2.35,lso,2011
2.408,lbr,1988
3.694,lbr,1990
7.184,lbr,1991
10.16,lbr,1992
19.01,lbr,1993
29.73,lbr,1994
0.1787,lbr,2003
0.6825,lbr,2004
1.48,lbr,2005
0.6507,lbr,2006
0.4726,lbr,2007
0.4594,lbr,2008
0.8177,lbr,2009
0.8573,lbr,2010
4.078,lby,1997
5.297,lby,1998
3.784,lby,1999
3.202,lby,2000
2.884,lby,2001
2.282,lby,2002
2.273,lby,2003
2.06,lby,2004
1.522,lby,2005
1.116,lby,2006
0.9212,lby,2007
1.181,lby,2008
0.7783,ltu,1993
0.4957,ltu,1994
0.4531,ltu,1995
0.5014,ltu,1996
0.7454,ltu,1997
1.228,ltu,1998
1.05,ltu,1999
1.703,ltu,2000
1.768,ltu,2001
1.7,ltu,2002
1.698,ltu,2003
1.493,ltu,2004
1.443,ltu,2005
1.418,ltu,2006
1.373,ltu,2007
1.409,ltu,2008
1.367,ltu,2009
1.129,ltu,2010
1.038,ltu,2011
0.9211,lux,1988
0.7632,lux,1989
0.7631,lux,1990
0.7854,lux,1991
0.8007,lux,1992
0.6845,lux,1993
0.7213,lux,1994
0.6883,lux,1995
0.69,lux,1996
0.7247,lux,1997
0.7408,lux,1998
0.6638,lux,1999
0.6318,lux,2000
0.793,lux,2001
0.6794,lux,2002
0.6813,lux,2003
0.6884,lux,2004
0.6472,lux,2005
0.5808,lux,2006
0.5575,lux,2007
2.96,mkd,1996
2.238,mkd,1997
2.206,mkd,1998
1.803,mkd,1999
1.947,mkd,2000
6.584,mkd,2001
2.804,mkd,2002
2.435,mkd,2003
2.453,mkd,2004
2.121,mkd,2005
1.921,mkd,2006
1.992,mkd,2007
1.756,mkd,2008
1.704,mkd,2009
1.423,mkd,2010
1.303,mkd,2011
1.353,mdg,1988
1.211,mdg,1989
1.227,mdg,1990
1.304,mdg,1991
0.7628,mdg,1992
1.124,mdg,1993
0.9254,mdg,1994
0.8606,mdg,1995
1.239,mdg,1996
1.482,mdg,1997
1.349,mdg,1998
1.211,mdg,1999
1.218,mdg,2000
1.436,mdg,2001
1.313,mdg,2002
1.325,mdg,2003
1.251,mdg,2004
1.07,mdg,2005
0.9818,mdg,2006
1.119,mdg,2007
1.097,mdg,2008
0.8371,mdg,2009
0.6529,mdg,2010
0.7248,mdg,2011
1.463,mwi,1988
1.433,mwi,1989
1.292,mwi,1990
1.077,mwi,1991
1.402,mwi,1992
1.239,mwi,1993
1.443,mwi,1994
0.7913,mwi,1995
0.8849,mwi,1996
0.991,mwi,1997
0.8273,mwi,1998
0.811,mwi,1999
0.6723,mwi,2000
0.7391,mwi,2001
0.5558,mwi,2002
0.541,mwi,2003
0.8364,mwi,2004
1.234,mwi,2005
1.24,mwi,2006
1.203,mwi,2007
2.426,mys,1988
2.624,mys,1989
2.555,mys,1990
3.199,mys,1991
2.986,mys,1992
2.875,mys,1993
2.847,mys,1994
2.751,mys,1995
2.401,mys,1996
2.086,mys,1997
1.605,mys,1998
2.102,mys,1999
1.635,mys,2000
2.085,mys,2001
2.219,mys,2002
2.615,mys,2003
2.263,mys,2004
2.262,mys,2005
2.086,mys,2006
2.126,mys,2007
1.982,mys,2008
2.055,mys,2009
1.623,mys,2010
1.646,mys,2011
2.465,mli,1988
2.295,mli,1989
2.154,mli,1990
2.215,mli,1993
2.268,mli,1994
2.185,mli,1995
2.023,mli,1996
2.167,mli,1997
2.102,mli,1998
2.275,mli,1999
2.4,mli,2000
2.272,mli,2001
1.966,mli,2002
2.035,mli,2003
2.117,mli,2004
2.258,mli,2005
2.246,mli,2006
2.207,mli,2007
1.975,mli,2008
1.944,mli,2009
1.879,mli,2010
1.835,mli,2011
1.108,mlt,1988
1.006,mlt,1989
0.8304,mlt,1990
0.7907,mlt,1991
0.8833,mlt,1992
0.9094,mlt,1993
0.9295,mlt,1994
0.8652,mlt,1995
0.9068,mlt,1996
0.8571,mlt,1997
0.7634,mlt,1998
0.7162,mlt,1999
0.6407,mlt,2000
0.6922,mlt,2001
0.6612,mlt,2002
0.6666,mlt,2003
0.7181,mlt,2004
0.8778,mlt,2005
0.6954,mlt,2006
0.6556,mlt,2007
0.655,mlt,2008
0.7298,mlt,2009
0.7194,mlt,2010
0.7133,mlt,2011
4.441,mrt,1988
3.926,mrt,1989
3.893,mrt,1990
2.705,mrt,1991
2.668,mrt,1992
2.384,mrt,1993
2.214,mrt,1994
2.287,mrt,1995
2.627,mrt,1996
2.959,mrt,1997
1.852,mrt,1998
2.275,mrt,1999
2.944,mrt,2000
4.016,mrt,2001
2.751,mrt,2002
3.989,mrt,2003
3.828,mrt,2004
3.052,mrt,2005
2.694,mrt,2006
3.443,mrt,2008
3.79,mrt,2009
0.2187,mus,1988
0.2888,mus,1989
0.3474,mus,1990
0.3668,mus,1991
0.3547,mus,1992
0.3299,mus,1993
0.3333,mus,1994
0.3331,mus,1995
0.2936,mus,1996
0.2336,mus,1997
0.2029,mus,1998
0.211,mus,1999
0.2045,mus,2000
0.1983,mus,2001
0.1995,mus,2002
0.1942,mus,2003
0.1714,mus,2004
0.1732,mus,2005
0.1662,mus,2006
0.1492,mus,2007
0.1589,mus,2008
0.1485,mus,2010
0.0893,mus,2011
0.5361,mex,1988
0.5173,mex,1989
0.5052,mex,1990
0.5087,mex,1991
0.5501,mex,1992
0.5772,mex,1993
0.685,mex,1994
0.5975,mex,1995
0.62,mex,1996
0.5963,mex,1997
0.589,mex,1998
0.6043,mex,1999
0.5715,mex,2000
0.5691,mex,2001
0.5361,mex,2002
0.4634,mex,2003
0.4118,mex,2004
0.4266,mex,2005
0.4287,mex,2006
0.4614,mex,2007
0.4513,mex,2008
0.5397,mex,2009
0.5226,mex,2010
0.5211,mex,2011
0.5327,mda,1993
0.7748,mda,1994
0.926,mda,1995
0.9067,mda,1996
0.9028,mda,1997
0.6474,mda,1998
0.5113,mda,1999
0.3951,mda,2000
0.4026,mda,2001
0.4198,mda,2002
0.4164,mda,2003
0.3621,mda,2004
0.401,mda,2005
0.4826,mda,2006
0.5166,mda,2007
0.6087,mda,2008
0.4584,mda,2009
0.3158,mda,2010
0.2981,mda,2011
9.362,mng,1988
7.921,mng,1989
4.624,mng,1990
3.929,mng,1991
2.109,mng,1992
1.821,mng,1993
1.771,mng,1994
1.465,mng,1995
1.606,mng,1996
1.583,mng,1997
1.772,mng,1998
1.704,mng,1999
2.134,mng,2000
1.824,mng,2001
1.81,mng,2002
1.525,mng,2003
1.393,mng,2004
1.181,mng,2005
1.148,mng,2006
1.336,mng,2007
1.187,mng,2008
0.821,mng,2009
0.8847,mng,2010
0.9516,mng,2011
2.313,mne,2006
1.75,mne,2007
1.883,mne,2008
1.852,mne,2009
1.83,mne,2010
1.928,mne,2011
4.132,mar,1988
4.336,mar,1989
4.143,mar,1990
4.126,mar,1991
4.318,mar,1992
4.671,mar,1993
4.498,mar,1994
4.359,mar,1995
3.95,mar,1996
4.193,mar,1997
3.61,mar,1998
2.97,mar,1999
2.321,mar,2000
3.897,mar,2001
3.649,mar,2002
3.651,mar,2003
3.402,mar,2004
3.412,mar,2005
3.252,mar,2006
3.202,mar,2007
3.313,mar,2008
3.361,mar,2009
3.481,mar,2010
3.335,mar,2011
3.05,moz,1988
3.417,moz,1989
3.368,moz,1990
2.612,moz,1991
2.968,moz,1992
2.871,moz,1993
3.303,moz,1994
1.46,moz,1995
1.112,moz,1996
1.103,moz,1997
1.139,moz,1998
1.246,moz,1999
1.284,moz,2000
1.242,moz,2001
1.274,moz,2002
1.281,moz,2003
1.362,moz,2004
0.9466,moz,2005
0.8095,moz,2006
0.8539,moz,2007
0.8462,moz,2008
0.8715,moz,2009
2.099,mmr,1988
2.968,mmr,1989
3.422,mmr,1990
3.158,mmr,1991
3.368,mmr,1992
3.525,mmr,1993
3.532,mmr,1994
3.688,mmr,1995
3.498,mmr,1996
2.662,mmr,1997
2.317,mmr,1998
1.995,mmr,1999
2.303,mmr,2000
1.801,mmr,2001
1.299,mmr,2002
8.436,nam,1990
5.812,nam,1991
4.387,nam,1992
2.462,nam,1993
1.749,nam,1994
1.952,nam,1995
1.905,nam,1996
2.304,nam,1997
2.321,nam,1998
3.123,nam,1999
2.363,nam,2000
2.728,nam,2001
2.619,nam,2002
2.624,nam,2003
2.528,nam,2004
2.644,nam,2005
2.501,nam,2006
2.59,nam,2007
3.016,nam,2008
3.354,nam,2009
3.569,nam,2010
3.47,nam,2011
1.084,npl,1988
1.107,npl,1989
1.077,npl,1990
1.066,npl,1991
1.052,npl,1992
1.025,npl,1993
0.973,npl,1994
0.9417,npl,1995
0.9007,npl,1996
0.8809,npl,1997
0.9271,npl,1998
0.9473,npl,1999
0.9621,npl,2000
1.098,npl,2001
1.448,npl,2002
1.592,npl,2003
1.793,npl,2004
1.929,npl,2005
1.749,npl,2006
1.547,npl,2007
1.6,npl,2008
1.645,npl,2009
1.562,npl,2010
1.409,npl,2011
2.773,nld,1988
2.674,nld,1989
2.517,nld,1990
2.389,nld,1991
2.351,nld,1992
2.154,nld,1993
2.032,nld,1994
1.912,nld,1995
1.873,nld,1996
1.77,nld,1997
1.698,nld,1998
1.708,nld,1999
1.551,nld,2000
1.548,nld,2001
1.537,nld,2002
1.552,nld,2003
1.538,nld,2004
1.498,nld,2005
1.508,nld,2006
1.467,nld,2007
1.421,nld,2008
1.529,nld,2009
1.447,nld,2010
1.405,nld,2011
1.908,nzl,1988
1.857,nzl,1989
1.791,nzl,1990
1.738,nzl,1991
1.593,nzl,1992
1.459,nzl,1993
1.401,nzl,1994
1.392,nzl,1995
1.366,nzl,1996
1.305,nzl,1997
1.3,nzl,1998
1.241,nzl,1999
1.21,nzl,2000
1.13,nzl,2001
1.062,nzl,2002
1.034,nzl,2003
1.002,nzl,2004
0.9883,nzl,2005
1.023,nzl,2006
1.01,nzl,2007
1.066,nzl,2008
1.141,nzl,2009
1.125,nzl,2010
4.002,nic,1991
2.633,nic,1992
2.102,nic,1993
1.19,nic,1994
1.103,nic,1995
0.9497,nic,1996
0.8947,nic,1997
0.7354,nic,1998
0.7195,nic,1999
0.7828,nic,2000
0.6835,nic,2001
0.8645,nic,2002
0.8603,nic,2003
0.7308,nic,2004
0.8034,nic,2005
0.7922,nic,2006
0.7908,nic,2007
0.6878,nic,2008
0.7485,nic,2009
0.6735,nic,2010
0.7498,nic,2011
1.118,ner,1994
0.98,ner,1995
0.8753,ner,1996
0.9376,ner,1997
1.061,ner,1998
1.167,ner,1999
1.117,ner,2000
1.276,ner,2001
0.9519,ner,2002
0.9008,ner,2003
1.035,ner,2004
0.9632,ner,2005
0.998,ner,2008
0.8732,ner,2010
0.8262,nga,1988
0.5783,nga,1989
0.8441,nga,1990
0.7315,nga,1991
0.4838,nga,1992
0.6616,nga,1993
0.5658,nga,1994
0.7079,nga,1995
0.5453,nga,1996
0.6089,nga,1997
0.8909,nga,1998
1.414,nga,1999
0.8019,nga,2000
1.189,nga,2001
1.515,nga,2002
0.8682,nga,2003
0.7281,nga,2004
0.6006,nga,2005
0.534,nga,2006
0.5845,nga,2007
0.782,nga,2008
0.8924,nga,2009
1.011,nga,2010
1.016,nga,2011
2.893,nor,1988
2.91,nor,1989
2.886,nor,1990
2.747,nor,1991
2.965,nor,1992
2.687,nor,1993
2.733,nor,1994
2.356,nor,1995
2.208,nor,1996
2.056,nor,1997
2.2,nor,1998
2.081,nor,1999
1.737,nor,2000
1.735,nor,2001
2.118,nor,2002
2.009,nor,2003
1.88,nor,2004
1.607,nor,2005
1.474,nor,2006
1.493,nor,2007
1.404,nor,2008
1.653,nor,2009
1.531,nor,2010
1.595,nor,2011
18.27,omn,1988
16.68,omn,1989
16.51,omn,1990
14.75,omn,1991
16.25,omn,1992
15.36,omn,1993
15.68,omn,1994
14.62,omn,1995
12.55,omn,1996
12.48,omn,1997
12.48,omn,1998
11.37,omn,1999
10.59,omn,2000
12.16,omn,2001
12.43,omn,2002
12.19,omn,2003
12.06,omn,2004
11.82,omn,2005
10.95,omn,2006
10.32,omn,2007
7.622,omn,2008
9.578,omn,2009
8.461,omn,2010
5.978,omn,2011
7.003,pak,1988
6.626,pak,1989
6.846,pak,1990
6.905,pak,1991
6.771,pak,1992
6.721,pak,1993
6.284,pak,1994
6.002,pak,1995
5.849,pak,1996
5.436,pak,1997
5.228,pak,1998
5.003,pak,1999
4.025,pak,2000
4.038,pak,2001
4.222,pak,2002
4.246,pak,2003
4.113,pak,2004
4.046,pak,2005
3.765,pak,2006
3.574,pak,2007
3.427,pak,2008
3.238,pak,2009
3.249,pak,2010
3.006,pak,2011
2.113,pan,1988
2.087,pan,1989
1.376,pan,1990
1.345,pan,1991
1.186,pan,1992
1.313,pan,1993
1.306,pan,1994
1.222,pan,1995
1.083,pan,1996
1.17,pan,1997
0.9513,pan,1998
0.9776,pan,1999
1.265,png,1988
1.497,png,1989
2.133,png,1990
1.39,png,1991
1.338,png,1992
1.118,png,1993
0.9819,png,1994
0.9686,png,1995
1.001,png,1996
1.308,png,1997
1.102,png,1998
0.9062,png,1999
0.8731,png,2000
0.8224,png,2001
0.5688,png,2002
0.5475,png,2003
0.622,png,2004
0.6199,png,2005
0.5469,png,2006
0.5958,png,2007
0.4624,png,2008
0.5402,png,2009
0.45,png,2010
0.4727,png,2011
1.198,pry,1989
1.186,pry,1990
1.582,pry,1991
1.53,pry,1992
1.092,pry,1993
1.195,pry,1994
1.288,pry,1995
1.134,pry,1996
1.366,pry,1997
1.27,pry,1998
1.152,pry,1999
1.124,pry,2000
1.02,pry,2001
0.9986,pry,2002
0.8243,pry,2003
0.8766,pry,2004
0.7516,pry,2005
0.8246,pry,2006
0.7738,pry,2007
0.7288,pry,2008
0.8594,pry,2009
0.8409,pry,2010
1.057,pry,2011
0.2623,per,1989
0.08268,per,1990
1.154,per,1991
1.775,per,1992
1.945,per,1993
1.752,per,1994
1.866,per,1995
1.77,per,1996
2.013,per,1997
2.035,per,1998
1.948,per,1999
1.788,per,2000
1.684,per,2001
1.494,per,2002
1.449,per,2003
1.428,per,2004
1.46,per,2005
1.327,per,2006
1.168,per,2007
1.093,per,2008
1.349,per,2009
1.272,per,2010
1.187,per,2011
2.459,phl,1988
2.243,phl,1989
2.147,phl,1990
2.011,phl,1991
2.036,phl,1992
2.158,phl,1993
2.172,phl,1994
2.294,phl,1995
2.268,phl,1996
1.914,phl,1997
1.697,phl,1998
1.616,phl,1999
1.608,phl,2000
1.471,phl,2001
1.474,phl,2002
1.551,phl,2003
1.361,phl,2004
1.332,phl,2005
1.315,phl,2006
1.349,phl,2007
1.304,phl,2008
1.257,phl,2009
1.222,phl,2010
1.075,phl,2011
2.498,pol,1988
1.817,pol,1989
2.387,pol,1990
2.057,pol,1991
2.038,pol,1992
2.256,pol,1993
2.077,pol,1994
1.955,pol,1995
1.968,pol,1996
2.031,pol,1997
2.019,pol,1998
1.923,pol,1999
1.837,pol,2000
1.907,pol,2001
1.905,pol,2002
1.914,pol,2003
1.891,pol,2004
1.94,pol,2005
1.938,pol,2006
2.02,pol,2007
1.74,pol,2008
1.837,pol,2009
1.869,pol,2010
1.886,pol,2011
2.425,prt,1988
2.436,prt,1989
2.414,prt,1990
2.403,prt,1991
2.385,prt,1992
2.338,prt,1993
2.21,prt,1994
2.292,prt,1995
2.147,prt,1996
2.065,prt,1997
1.901,prt,1998
1.904,prt,1999
1.88,prt,2000
1.932,prt,2001
1.967,prt,2002
1.92,prt,2003
2.007,prt,2004
2.105,prt,2005
2.015,prt,2006
1.884,prt,2007
1.91,prt,2008
2.055,prt,2009
2.108,prt,2010
1.961,prt,2011
4.716,qat,2002
4.002,qat,2003
2.926,qat,2004
2.49,qat,2005
2.093,qat,2006
2.207,qat,2007
2.206,qat,2008
4.317,rou,1988
4.75,rou,1989
4.546,rou,1990
4.764,rou,1991
4.263,rou,1992
2.75,rou,1993
3.114,rou,1994
2.773,rou,1995
2.479,rou,1996
3.044,rou,1997
2.978,rou,1998
2.684,rou,1999
2.527,rou,2000
2.453,rou,2001
2.305,rou,2002
2.101,rou,2003
2.027,rou,2004
1.998,rou,2005
1.836,rou,2006
1.54,rou,2007
1.5,rou,2008
1.381,rou,2009
1.291,rou,2010
1.193,rou,2011
23.39,rus,1989
19.09,rus,1990
5.26,rus,1992
5.248,rus,1993
5.878,rus,1994
4.424,rus,1995
4.109,rus,1996
4.482,rus,1997
3.255,rus,1998
3.421,rus,1999
3.709,rus,2000
4.081,rus,2001
4.344,rus,2002
4.3,rus,2003
3.853,rus,2004
3.73,rus,2005
3.592,rus,2006
3.441,rus,2007
3.508,rus,2008
4.363,rus,2009
3.943,rus,2010
3.869,rus,2011
1.529,rwa,1988
1.712,rwa,1989
3.748,rwa,1990
5.517,rwa,1991
4.379,rwa,1992
4.536,rwa,1993
3.438,rwa,1994
4.364,rwa,1995
5.329,rwa,1996
4.173,rwa,1997
4.378,rwa,1998
4.187,rwa,1999
3.535,rwa,2000
3.397,rwa,2001
3.11,rwa,2002
2.448,rwa,2003
1.973,rwa,2004
1.743,rwa,2005
1.754,rwa,2006
1.487,rwa,2007
1.436,rwa,2008
2.151,rwa,2009
1.345,rwa,2010
1.212,rwa,2011
15.15,sau,1988
13.39,sau,1989
14.02,sau,1990
12.47,sau,1991
11.28,sau,1992
12.47,sau,1993
10.64,sau,1994
9.278,sau,1995
8.468,sau,1996
11.0,sau,1997
14.31,sau,1998
11.38,sau,1999
10.59,sau,2000
11.49,sau,2001
9.813,sau,2002
8.737,sau,2003
8.353,sau,2004
8.046,sau,2005
8.294,sau,2006
9.214,sau,2007
8.025,sau,2008
10.96,sau,2009
10.04,sau,2010
8.413,sau,2011
1.996,sen,1988
1.945,sen,1989
2.011,sen,1990
1.889,sen,1991
1.828,sen,1992
2.112,sen,1993
1.706,sen,1994
1.659,sen,1995
1.575,sen,1996
1.515,sen,1997
1.493,sen,1998
1.522,sen,1999
1.333,sen,2000
1.412,sen,2001
1.394,sen,2002
1.412,sen,2003
1.339,sen,2004
1.43,sen,2005
1.586,sen,2006
1.703,sen,2007
1.62,sen,2008
1.627,sen,2009
1.552,sen,2010
4.277,srb,1997
3.963,srb,1998
4.182,srb,1999
5.542,srb,2000
4.338,srb,2001
4.493,srb,2002
3.737,srb,2003
3.125,srb,2004
2.495,srb,2005
2.413,srb,2006
2.494,srb,2007
2.328,srb,2008
2.353,srb,2009
2.198,srb,2010
2.107,srb,2011
4.28,syc,1988
4.227,syc,1989
4.026,syc,1990
4.424,syc,1991
4.727,syc,1992
2.733,syc,1993
2.444,syc,1994
2.281,syc,1995
2.096,syc,1996
2.025,syc,1997
1.734,syc,1998
1.782,syc,1999
1.679,syc,2000
1.778,syc,2001
1.677,syc,2002
1.734,syc,2003
2.276,syc,2004
1.606,syc,2005
1.409,syc,2006
1.494,syc,2007
1.154,syc,2008
1.031,syc,2009
0.9293,syc,2010
0.9302,syc,2011
0.6705,sle,1988
1.034,sle,1989
1.391,sle,1990
2.08,sle,1991
2.968,sle,1992
3.035,sle,1993
2.906,sle,1994
2.874,sle,1995
1.974,sle,1996
1.116,sle,1997
3.666,sle,2000
3.713,sle,2001
2.9,sle,2002
2.872,sle,2003
2.095,sle,2004
1.9,sle,2005
1.987,sle,2006
1.772,sle,2007
1.206,sle,2008
1.418,sle,2009
1.293,sle,2010
1.185,sle,2011
4.555,sgp,1988
4.492,sgp,1989
4.64,sgp,1990
4.477,sgp,1991
4.484,sgp,1992
4.104,sgp,1993
3.82,sgp,1994
4.219,sgp,1995
4.308,sgp,1996
4.489,sgp,1997
5.254,sgp,1998
5.294,sgp,1999
4.592,sgp,2000
4.914,sgp,2001
4.996,sgp,2002
4.923,sgp,2003
4.475,sgp,2004
4.356,sgp,2005
4.0,sgp,2006
3.671,sgp,2007
4.196,sgp,2008
4.405,sgp,2009
3.662,sgp,2010
3.647,sgp,2011
1.98,svk,1993
1.921,svk,1994
3.214,svk,1995
3.033,svk,1996
2.334,svk,1997
1.777,svk,1998
1.597,svk,1999
1.678,svk,2000
1.865,svk,2001
1.799,svk,2002
1.876,svk,2003
1.687,svk,2004
1.72,svk,2005
1.633,svk,2006
1.512,svk,2007
1.487,svk,2008
1.54,svk,2009
1.297,svk,2010
1.101,svk,2011
2.248,svn,1992
1.82,svn,1993
1.655,svn,1994
1.603,svn,1995
1.557,svn,1996
1.426,svn,1997
1.386,svn,1998
1.229,svn,1999
1.115,svn,2000
1.324,svn,2001
1.414,svn,2002
1.429,svn,2003
1.458,svn,2004
