internet_users_per_100_people,geo,time
0.003288,bra,1991
0.01295,bra,1992
0.0255,bra,1993
0.03767,bra,1994
0.1051,bra,1995
0.4508,bra,1996
0.7861,bra,1997
1.478,bra,1998
2.039,bra,1999
2.871,bra,2000
4.528,bra,2001
9.149,bra,2002
13.21,bra,2003
19.07,bra,2004
21.02,bra,2005
28.18,bra,2006
30.88,bra,2007
33.83,bra,2008
39.22,bra,2009
40.65,bra,2010
45.0,bra,2011
0.0,brn,1990
1.017,brn,1995
3.303,brn,1996
4.831,brn,1997
6.285,brn,1998
7.671,brn,1999
8.996,brn,2000
12.92,brn,2001
15.33,brn,2002
19.6,brn,2003
29.72,brn,2004
36.47,brn,2005
42.19,brn,2006
44.68,brn,2007
46.0,brn,2008
49.0,brn,2009
53.0,brn,2010
56.0,brn,2011
0.0,bgr,1990
0.002361,bgr,1993
0.01954,bgr,1994
0.119,bgr,1995
0.7175,bgr,1996
1.203,bgr,1997
1.817,bgr,1998
2.857,bgr,1999
5.263,bgr,2000
7.543,bgr,2001
9.108,bgr,2002
12.07,bgr,2003
18.15,bgr,2004
19.97,bgr,2005
27.06,bgr,2006
33.55,bgr,2007
39.5,bgr,2008
44.75,bgr,2009
45.98,bgr,2010
50.8,bgr,2011
0.0,bfa,1990
0.0009605,bfa,1996
0.01869,bfa,1997
0.04542,bfa,1998
0.06178,bfa,1999
0.07708,bfa,2000
0.1577,bfa,2001
0.201,bfa,2002
0.3734,bfa,2003
0.4003,bfa,2004
0.4699,bfa,2005
0.6327,bfa,2006
0.75,bfa,2007
0.92,bfa,2008
1.13,bfa,2009
2.4,bfa,2010
3.0,bfa,2011
0.0,bdi,1990
0.0,bdi,1991
0.0,bdi,1992
0.0,bdi,1993
0.0,bdi,1994
0.0,bdi,1995
0.0008036,bdi,1996
0.007979,bdi,1997
0.01584,bdi,1998
0.0392,bdi,1999
0.07725,bdi,2000
0.106,bdi,2001
0.1182,bdi,2002
0.2013,bdi,2003
0.3491,bdi,2004
0.5421,bdi,2005
0.6576,bdi,2006
0.7,bdi,2007
0.81,bdi,2008
0.9,bdi,2009
1.0,bdi,2010
1.11,bdi,2011
0.0,khm,1990
0.005845,khm,1997
0.01632,khm,1998
0.03197,khm,1999
0.04702,khm,2000
0.07696,khm,2001
0.227,khm,2002
0.2606,khm,2003
0.3004,khm,2004
0.3173,khm,2005
0.4684,khm,2006
0.49,khm,2007
0.51,khm,2008
0.53,khm,2009
1.26,khm,2010
3.1,khm,2011
0.0,cmr,1990
0.006769,cmr,1997
0.01322,cmr,1998
