geo,female_family_workers_percent_of_female_labour_force,time
deu,1.5,2000
deu,2.1,2001
deu,2.0,2002
deu,1.8,2003
deu,1.9,2004
deu,1.9,2005
deu,1.7,2006
deu,1.8,2007
grc,36.4,1981
grc,30.0,1982
grc,36.1,1983
grc,35.8,1984
grc,34.0,1985
grc,35.7,1986
grc,33.9,1987
grc,32.2,1988
grc,31.4,1989
grc,27.7,1990
grc,25.2,1991
grc,26.0,1992
grc,25.3,1993
grc,25.7,1994
grc,25.1,1995
grc,24.3,1996
grc,23.6,1997
grc,21.3,1998
grc,18.5,1999
grc,17.2,2000
grc,14.9,2001
grc,14.1,2002
grc,13.8,2003
grc,11.4,2004
grc,11.2,2005
grc,10.9,2006
grc,10.7,2007
grd,0.6,1996
grd,1.7,1998
gtm,24.5,2002
guy,3.6,1992
hti,11.2,1990
hnd,6.3,1990
hnd,6.6,1991
hnd,7.0,1992
hnd,6.1,1994
hnd,6.5,1995
hnd,10.5,1996
hnd,10.8,1997
hnd,10.7,1998
hnd,14.3,1999
hnd,11.4,2001
hnd,11.0,2002
hnd,7.5,2003
hnd,9.1,2004
hnd,8.3,2005
hkg,2.0,1993
hkg,1.7,1994
hkg,1.5,1995
hkg,1.4,1996
hkg,1.4,1997
hkg,1.2,1998
hkg,1.5,1999
hkg,1.2,2000
hkg,1.2,2001
hkg,1.3,2002
hkg,1.3,2003
hkg,1.4,2004
hkg,1.4,2005
hkg,1.2,2006
hkg,1.1,2007
hun,1.8,1992
hun,1.7,1993
hun,1.6,1994
hun,1.6,1995
hun,1.7,1996
hun,1.7,1997
hun,1.1,1998
hun,1.1,1999
hun,1.0,2000
hun,1.0,2001
hun,1.0,2002
hun,0.7,2003
hun,0.7,2004
hun,0.7,2005
hun,0.8,2006
hun,0.7,2007
isl,3.0,1991
isl,2.7,1992
isl,2.8,1993
isl,2.5,1994
isl,1.5,1995
isl,0.8,1996
isl,0.6,1997
isl,0.3,1998
isl,0.3,1999
isl,0.5,2000
isl,0.3,2001
isl,0.3,2002
isl,0.1,2003
isl,0.0,2004
isl,0.1,2005
isl,0.0,2006
isl,0.0,2007
idn,36.2,2002
idn,41.5,2003
idn,38.5,2004
idn,37.5,2005
idn,34.1,2006
idn,33.6,2007
irn,20.8,1996
irn,36.9,2005
irn,32.7,2007
irl,4.3,1985
irl,3.5,1986
irl,3.9,1987
irl,3.5,1988
irl,3.6,1989
irl,3.3,1990
irl,2.6,1991
irl,2.0,1992
irl,2.3,1993
irl,2.1,1994
irl,1.9,1995
irl,1.4,1996
irl,1.8,1997
irl,2.0,1998
irl,1.8,1999
irl,1.9,2000
irl,1.5,2001
irl,1.2,2002
irl,1.4,2003
irl,0.9,2004
irl,0.9,2005
irl,0.9,2006
irl,0.9,2007
isr,1.2,1995
isr,1.1,1996
isr,0.9,1997
isr,0.9,1998
isr,0.8,1999
isr,0.8,2000
isr,0.8,2001
isr,0.7,2002
isr,0.7,2003
isr,0.6,2004
isr,0.5,2005
isr,0.5,2006
isr,0.4,2007
ita,11.1,1980
ita,10.8,1981
ita,10.2,1982
ita,10.5,1983
ita,11.1,1984
ita,10.5,1985
ita,10.2,1986
ita,9.7,1987
ita,9.1,1988
ita,8.0,1989
ita,7.5,1990
ita,7.3,1991
ita,7.1,1992
ita,8.4,1993
ita,8.0,1994
ita,7.4,1995
ita,7.1,1996
ita,6.8,1997
ita,6.6,1998
ita,6.0,1999
ita,5.9,2000
ita,6.0,2001
ita,5.9,2002
ita,5.8,2003
ita,3.7,2004
ita,2.8,2005
ita,2.7,2006
ita,2.6,2007
jam,4.5,1991
jam,4.1,1992
jam,3.2,1993
jam,3.4,1994
jam,3.9,1995
jam,3.6,1996
jam,3.2,1997
jam,3.4,1998
jam,3.0,1999
jam,3.0,2000
jam,3.4,2001
jam,2.5,2002
jam,2.2,2003
jam,2.4,2004
jam,2.5,2005
jam,2.2,2006
jpn,22.9,1980
jpn,22.3,1981
jpn,22.0,1982
jpn,20.8,1983
jpn,20.3,1984
jpn,20.0,1985
jpn,19.4,1986
jpn,19.3,1987
jpn,18.6,1988
jpn,17.7,1989
jpn,16.7,1990
jpn,15.5,1991
jpn,14.3,1992
jpn,13.1,1993
jpn,12.8,1994
jpn,12.5,1995
jpn,12.0,1996
jpn,11.6,1997
jpn,11.3,1998
jpn,11.1,1999
jpn,10.6,2000
jpn,10.1,2001
jpn,9.5,2002
jpn,9.2,2003
jpn,8.9,2004
jpn,8.6,2005
jpn,7.6,2006
jpn,7.3,2007
kaz,1.2,2001
kaz,1.3,2002
kaz,1.2,2003
kaz,1.3,2004
kor,37.4,1980
kor,38.2,1981
kor,36.4,1982
kor,33.9,1983
kor,32.5,1984
kor,30.6,1985
kor,29.2,1986
kor,27.4,1987
kor,27.3,1988
kor,25.6,1989
kor,24.5,1990
kor,23.7,1991
kor,22.9,1992
kor,23.8,1993
kor,22.7,1994
kor,21.3,1995
kor,20.6,1996
kor,19.7,1997
kor,22.5,1998
kor,20.3,1999
kor,19.2,2000
kor,18.1,2001
kor,17.1,2002
kor,16.7,2003
kor,14.8,2004
kor,14.0,2005
kor,13.5,2006
kor,12.7,2007
kgz,15.9,2002
kgz,17.7,2003
kgz,21.8,2004
kgz,21.0,2005
kgz,19.3,2006
lao,37.6,1995
lva,5.1,1996
lva,7.5,1997
lva,6.2,1998
lva,5.7,1999
lva,4.3,2000
lva,4.8,2001
lva,4.5,2002
lva,3.9,2003
lva,3.9,2004
lva,2.1,2005
lva,1.4,2006
lva,1.6,2007
lso,25.9,1987
ltu,4.7,1997
ltu,4.1,1998
ltu,4.5,1999
ltu,4.3,2000
ltu,3.5,2001
ltu,4.1,2002
ltu,4.3,2003
ltu,4.4,2004
ltu,3.9,2005
ltu,3.4,2006
ltu,2.4,2007
mac,2.3,1996
mac,3.2,1997
mac,3.1,1998
mac,3.3,1999
mac,2.9,2000
mac,2.8,2001
mac,2.5,2002
mac,2.8,2003
mac,3.5,2004
mac,2.3,2005
mac,1.8,2006
mac,1.4,2007
mdg,41.6,1993
mdg,51.9,2003
mdg,73.0,2005
mys,8.1,1991
mys,13.2,1995
mys,13.8,1996
mys,12.4,1997
mys,12.0,1998
mys,11.7,1999
mys,11.1,2000
mys,10.3,2001
mys,9.6,2002
mys,9.6,2003
mys,9.6,2004
mys,8.5,2005
mys,9.0,2006
mys,8.8,2007
mdv,6.6,1990
mdv,12.1,1995
mdv,3.4,2000
mli,72.0,1994
mli,10.2,2004
mlt,0.0,2006
mlt,0.0,2007
mhl,0.0,1999
mus,3.1,1990
mus,4.1,1995
mus,1.7,2000
mus,4.7,2004
mus,4.7,2005
mus,4.8,2006
mus,4.7,2007
mex,1.2,1990
mex,17.4,1991
mex,16.2,1992
mex,17.7,1993
mex,16.7,1994
mex,17.0,1995
mex,16.1,1996
mex,18.0,1997
mex,15.0,1998
mex,14.4,1999
mex,12.6,2000
mex,11.9,2001
mex,12.4,2002
mex,11.4,2003
mex,11.7,2004
mex,10.9,2005
mex,10.4,2006
mex,10.0,2007
mng,38.6,2000
mng,31.7,2003
mne,2.6,2005
msr,0.5,1991
mar,29.3,1994
mar,54.9,1999
mar,5.5,2000
mar,5.1,2001
mar,52.5,2002
mar,52.5,2003
mar,56.1,2004
mar,55.7,2005
mar,55.3,2006
nam,31.5,1994
nam,18.1,1997
nam,4.1,2000
nam,22.0,2001
nam,5.8,2004
npl,12.9,2001
nld,2.5,1995
nld,2.2,1996
nld,2.1,1997
nld,1.7,1998
nld,1.6,1999
nld,1.4,2000
nld,1.4,2001
nld,1.2,2002
nld,1.1,2003
nld,1.1,2004
nld,1.1,2005
nld,1.1,2006
nld,1.0,2007
ant,2.4,1991
ant,1.9,1992
ant,2.3,1993
ant,1.1,1994
ant,1.2,1995
ant,1.4,1996
ant,0.8,1997
ant,1.4,1998
ant,1.0,2000
ncl,0.5,1996
nzl,1.1,1981
nzl,1.6,1986
nzl,1.0,1987
nzl,1.0,1988
nzl,1.1,1989
nzl,1.9,1990
nzl,1.9,1991
nzl,1.8,1992
nzl,1.6,1993
nzl,1.7,1994
nzl,1.6,1995
nzl,1.8,1996
nzl,1.3,1997
nzl,1.4,1998
nzl,1.3,1999
nzl,1.3,2000
nzl,1.2,2001
nzl,1.1,2002
nzl,0.9,2003
nzl,0.8,2004
nzl,0.9,2005
nzl,1.3,2006
nzl,1.5,2007
nic,4.2,2002
nic,12.0,2003
nic,10.4,2004
nic,11.7,2005
nic,9.1,2006
nor,6.2,1980
nor,6.2,1981
nor,5.2,1982
nor,4.6,1983
nor,4.6,1984
nor,4.0,1985
nor,4.9,1986
nor,3.6,1987
nor,3.5,1988
nor,3.1,1989
nor,2.6,1990
nor,2.0,1991
nor,1.9,1992
nor,1.7,1993
nor,1.3,1994
nor,1.3,1995
nor,1.3,1996
nor,0.8,1997
nor,1.0,1998
nor,0.6,1999
nor,0.5,2000
nor,0.5,2001
nor,0.5,2002
nor,0.4,2003
nor,0.3,2004
nor,0.3,2005
nor,0.5,2006
nor,0.3,2007
pak,61.7,1995
pak,61.7,1996
pak,54.1,1997
pak,63.3,1998
pak,63.3,1999
pak,50.1,2000
pak,50.1,2001
pak,46.9,2002
pak,46.9,2003
pak,52.8,2004
pak,52.8,2005
pak,59.2,2006
pak,61.9,2007
pan,3.0,1982
pan,3.4,1983
pan,2.0,1984
pan,2.9,1985
pan,2.3,1986
pan,3.8,1987
pan,4.7,1988
pan,3.3,1989
pan,2.2,1992
pan,2.4,1993
pan,1.6,1994
pan,3.0,1995
pan,2.8,1996
pan,2.9,1997
pan,2.9,1998
pan,2.1,1999
pan,1.8,2000
pan,3.3,2001
pan,3.2,2002
pan,4.0,2003
pan,3.6,2004
pan,5.5,2005
pan,5.0,2006
pan,4.0,2007
pry,0.1,1990
pry,8.1,1997
pry,8.6,2000
pry,9.5,2002
pry,8.7,2003
pry,8.9,2007
per,9.2,1990
per,5.9,1991
per,7.3,1992
per,9.2,1993
per,8.3,1994
per,8.3,1995
per,10.1,1996
per,12.1,1997
per,11.7,1998
per,10.6,1999
per,10.7,2000
per,11.5,2001
per,11.3,2002
per,12.2,2003
per,13.0,2004
per,11.7,2005
per,11.4,2006
per,9.9,2007
phl,18.3,1998
phl,17.5,1999
phl,17.2,2000
phl,18.7,2001
phl,18.5,2002
phl,17.0,2003
phl,17.4,2004
phl,18.7,2005
phl,19.1,2006
phl,18.0,2007
pol,7.8,1992
pol,8.4,1993
pol,7.4,1994
pol,7.7,1995
pol,7.9,1996
pol,6.7,1997
pol,6.3,1998
pol,5.8,1999
pol,6.6,2000
pol,6.8,2001
pol,6.9,2002
pol,7.2,2003
pol,7.3,2004
pol,7.0,2005
pol,6.2,2006
pol,6.0,2007
prt,2.4,1992
prt,2.5,1993
prt,2.9,1994
prt,2.5,1995
prt,2.0,1996
prt,2.0,1997
prt,2.9,1998
prt,2.9,1999
prt,3.5,2000
prt,3.2,2001
prt,2.9,2002
prt,2.3,2003
prt,2.2,2004
prt,2.1,2005
prt,1.8,2006
prt,1.5,2007
pri,2.1,1991
pri,1.8,1992
pri,1.7,1993
pri,1.7,1994
pri,1.8,1995
pri,1.7,1996
pri,1.5,1997
pri,1.3,1998
pri,1.3,1999
pri,1.0,2000
pri,1.0,2001
pri,1.2,2002
pri,1.1,2003
pri,0.9,2004
pri,0.9,2005
pri,0.0,2006
pri,0.0,2007
qat,0.0,1997
qat,0.0,2004
mda,8.0,1999
mda,8.8,2000
mda,10.7,2001
mda,10.2,2002
mda,3.4,2003
mda,1.5,2004
mda,1.4,2005
mda,4.3,2006
mda,3.4,2007
rou,0.0,1990
rou,5.6,1991
rou,22.0,1992
rou,22.9,1993
rou,24.2,1994
rou,23.7,1995
rou,25.6,1996
rou,26.9,1997
rou,27.6,1998
rou,29.0,1999
rou,29.3,2000
rou,29.1,2001
rou,23.4,2002
rou,23.4,2003
rou,21.2,2004
rou,21.2,2005
rou,19.9,2006
rou,19.9,2007
rus,0.1,1992
rus,0.1,1993
rus,0.1,1994
rus,0.2,1995
rus,0.1,1996
rus,0.1,1997
rus,0.1,1998
rus,0.1,1999
rus,0.1,2000
rus,0.1,2001
rus,0.1,2002
rus,0.1,2003
rus,0.1,2004
rus,0.1,2005
rus,0.1,2006
rus,0.1,2007
rwa,30.0,1996
kna,1.3,1991
kna,0.8,2001
lca,4.1,1993
lca,2.6,1994
lca,3.0,1995
lca,2.2,1996
lca,2.2,1997
lca,1.1,1998
lca,1.6,1999
lca,1.4,2000
vct,2.7,1991
smr,0.6,1995
smr,0.5,1996
smr,0.3,1997
smr,0.3,1998
smr,0.3,1999
smr,0.0,2001
smr,0.0,2002
smr,0.0,2003
smr,0.0,2004
smr,0.0,2005
smr,0.0,2006
smr,0.0,2007
stp,0.7,1991
sen,32.4,1991
srb,12.7,2004
srb,13.9,2005
srb,11.6,2006
srb,11.9,2007
sle,21.6,2004
sgp,3.6,1986
sgp,3.9,1987
sgp,3.3,1988
sgp,2.8,1989
sgp,2.1,1991
sgp,1.9,1992
sgp,1.9,1993
sgp,2.1,1994
sgp,1.8,1995
sgp,2.2,1996
sgp,2.2,1997
sgp,2.1,1998
sgp,2.2,1999
sgp,0.6,2000
sgp,2.0,2001
sgp,1.6,2002
sgp,1.5,2003
sgp,1.4,2004
sgp,1.1,2006
sgp,1.3,2007
svk,0.2,1994
svk,0.2,1995
svk,0.2,1996
svk,0.1,1997
svk,0.1,1998
svk,0.2,1999
svk,0.2,2000
svk,0.2,2001
svk,0.2,2002
svk,0.2,2003
svk,0.2,2004
svk,0.1,2005
svk,0.1,2006
svk,0.1,2007
svn,4.6,1993
svn,7.6,1994
svn,6.6,1995
svn,5.6,1996
svn,8.9,1997
svn,8.3,1998
svn,7.3,1999
svn,6.5,2000
svn,7.0,2001
svn,6.1,2002
svn,5.6,2003
svn,6.9,2004
svn,6.4,2005
svn,7.1,2006
svn,7.1,2007
zaf,1.7,2001
zaf,1.4,2002
zaf,1.1,2003
zaf,1.1,2004
zaf,0.6,2007
esp,19.6,1980
esp,19.5,1981
esp,18.6,1982
esp,18.0,1983
esp,16.9,1984
esp,16.1,1985
esp,14.2,1986
esp,13.3,1987
esp,12.7,1988
esp,11.7,1989
esp,10.6,1990
esp,9.6,1991
esp,8.7,1992
esp,8.2,1993
esp,7.5,1994
esp,6.5,1995
esp,5.9,1996
esp,5.1,1997
esp,4.8,1998
esp,4.1,1999
esp,3.7,2000
esp,3.3,2001
esp,2.9,2002
esp,2.6,2003
esp,2.4,2004
esp,2.4,2005
esp,1.9,2006
esp,1.6,2007
lka,18.3,1997
lka,27.0,1998
lka,24.8,1999
lka,26.5,2000
lka,21.3,2001
lka,25.5,2002
lka,20.9,2003
lka,19.8,2004
lka,17.9,2005
lka,21.7,2006
lka,21.7,2007
sur,2.2,1995
sur,2.6,1996
sur,3.8,1997
sur,1.6,1998
swz,1.5,1997
swe,0.9,1980
swe,0.8,1981
swe,0.7,1982
swe,0.6,1983
swe,0.6,1984
swe,0.4,1985
swe,0.3,1986
swe,0.7,1987
swe,0.6,1988
swe,0.5,1989
swe,0.5,1990
swe,0.5,1991
swe,0.5,1992
swe,0.6,1993
swe,0.6,1994
swe,0.5,1995
swe,0.5,1996
swe,0.5,1997
swe,0.5,1998
swe,0.5,1999
swe,0.4,2000
swe,0.4,2001
swe,0.3,2002
swe,0.2,2003
swe,0.3,2004
swe,0.2,2005
swe,0.2,2006
swe,0.3,2007
che,6.4,1991
che,6.1,1992
che,5.9,1993
che,5.7,1994
che,5.2,1995
che,4.6,1996
che,4.5,1997
che,4.1,1998
che,4.0,1999
che,3.6,2000
che,3.4,2001
che,3.4,2002
che,3.1,2003
che,2.8,2004
che,2.9,2005
che,3.2,2006
che,3.2,2007
syr,44.2,2001
tza,4.6,2001
tza,13.0,2006
tha,54.6,1987
tha,58.1,1988
tha,58.5,1989
tha,56.1,1990
tha,53.2,1991
tha,53.5,1992
tha,49.6,1993
tha,48.6,1994
tha,46.5,1995
tha,44.4,1996
tha,45.1,1997
tha,43.6,1998
tha,40.3,1999
tha,39.8,2000
tha,35.9,2001
tha,37.4,2002
tha,35.2,2003
tha,31.4,2004
tha,30.8,2005
tha,30.5,2006
tha,29.9,2007
mkd,12.0,1998
mkd,16.2,1999
mkd,16.5,2000
mkd,21.8,2001
mkd,19.2,2002
mkd,18.1,2003
mkd,12.0,2004
mkd,16.7,2005
mkd,17.0,2006
mkd,14.9,2007
ton,33.6,1996
tto,8.8,1987
tto,8.6,1988
tto,8.9,1989
tto,6.5,1990
tto,6.3,1991
tto,6.2,1992
tto,6.9,1993
tto,6.8,1994
tto,6.0,1995
tto,4.3,1996
tto,4.2,1997
tto,4.0,1998
tto,3.5,1999
tto,2.9,2000
tto,2.2,2001
tto,1.9,2002
tto,2.0,2003
tto,1.8,2004
tto,1.7,2005
tun,21.8,1989
tun,0.8,1994
tur,70.2,1988
tur,71.2,1989
tur,69.2,1990
tur,71.3,1991
tur,65.4,1992
tur,63.7,1993
tur,64.1,1994
tur,65.0,1995
tur,65.3,1996
tur,60.0,1997
tur,60.0,1998
tur,61.2,1999
tur,52.1,2000
tur,53.3,2001
tur,49.6,2002
tur,49.0,2003
tur,49.8,2004
tur,41.7,2005
tur,39.0,2006
tur,38.2,2007
tuv,0.1,2002
uga,43.3,2002
uga,40.5,2003
ukr,0.2,1995
ukr,0.2,1996
ukr,0.3,1997
ukr,0.2,1998
ukr,1.3,1999
ukr,1.5,2000
ukr,1.7,2001
ukr,2.3,2002
ukr,2.0,2003
ukr,0.6,2004
ukr,0.5,2005
ukr,0.3,2006
ukr,0.3,2007
gbr,0.1,1983
gbr,1.3,1984
gbr,1.4,1985
gbr,1.3,1986
gbr,1.8,1987
gbr,1.9,1988
gbr,1.6,1989
gbr,1.5,1990
gbr,1.5,1991
gbr,1.1,1992
gbr,0.9,1993
gbr,0.8,1994
gbr,0.8,1995
gbr,0.7,1996
gbr,0.7,1997
gbr,0.6,1998
gbr,0.5,1999
gbr,0.6,2000
gbr,0.5,2001
gbr,0.5,2002
gbr,0.4,2003
gbr,0.5,2004
gbr,0.5,2005
gbr,0.4,2006
gbr,0.5,2007
usa,1.3,1980
usa,1.2,1981
usa,1.2,1982
usa,1.1,1983
usa,0.9,1984
usa,0.8,1985
usa,0.7,1986
usa,0.6,1987
usa,0.6,1988
usa,0.6,1989
usa,0.5,1990
usa,0.5,1991
usa,0.5,1992
