geo,sugar_per_person_g_per_day,time
cmr,13.7,1976
cmr,16.44,1977
cmr,16.44,1978
cmr,19.18,1979
cmr,19.18,1980
cmr,19.18,1981
cmr,19.18,1982
cmr,19.18,1983
cmr,13.7,1984
cmr,13.7,1985
cmr,13.7,1986
cmr,16.44,1987
cmr,16.44,1988
cmr,13.7,1989
cmr,16.44,1990
cmr,16.44,1991
cmr,16.44,1992
cmr,19.18,1993
cmr,16.44,1994
cmr,16.44,1995
cmr,19.18,1996
cmr,24.66,1997
cmr,19.18,1998
cmr,19.18,1999
cmr,24.66,2000
cmr,24.66,2001
cmr,27.4,2002
cmr,27.4,2003
cmr,27.4,2004
can,123.3,1961
can,128.8,1962
can,126.0,1963
can,123.3,1964
can,126.0,1965
can,134.2,1966
can,128.8,1967
can,128.8,1968
can,134.2,1969
can,131.5,1970
can,131.5,1971
can,131.5,1972
can,128.8,1973
can,123.3,1974
can,120.5,1975
can,128.8,1976
can,126.0,1977
can,123.3,1978
can,120.5,1979
can,115.1,1980
can,115.1,1981
can,109.6,1982
can,112.3,1983
can,120.5,1984
can,120.5,1985
can,123.3,1986
can,126.0,1987
can,115.1,1988
can,109.6,1989
can,115.1,1990
can,112.3,1991
can,117.8,1992
can,123.3,1993
can,126.0,1994
can,128.8,1995
can,134.2,1996
can,139.7,1997
can,142.5,1998
can,139.7,1999
can,145.2,2000
can,153.4,2001
can,167.1,2002
can,172.6,2003
can,172.6,2004
cpv,41.1,1961
cpv,41.1,1962
cpv,38.36,1963
cpv,41.1,1964
cpv,38.36,1965
cpv,43.84,1966
cpv,43.84,1967
cpv,46.58,1968
cpv,54.8,1969
cpv,54.8,1970
cpv,54.8,1971
cpv,57.53,1972
cpv,41.1,1973
cpv,43.84,1974
cpv,27.4,1975
cpv,54.8,1976
cpv,79.45,1977
cpv,82.19,1978
cpv,98.63,1979
cpv,60.27,1980
cpv,76.71,1981
cpv,90.41,1982
cpv,128.8,1983
cpv,112.3,1984
cpv,104.1,1985
cpv,109.6,1986
cpv,84.93,1987
cpv,76.71,1988
cpv,98.63,1989
cpv,112.3,1990
cpv,95.89,1991
cpv,112.3,1992
cpv,112.3,1993
cpv,95.89,1994
cpv,112.3,1995
cpv,117.8,1996
cpv,131.5,1997
cpv,93.15,1998
cpv,115.1,1999
cpv,112.3,2000
cpv,109.6,2001
cpv,101.4,2002
cpv,87.67,2003
cpv,87.67,2004
caf,5.48,1961
caf,8.22,1962
caf,8.22,1963
caf,8.22,1964
caf,8.22,1965
caf,8.22,1966
caf,13.7,1967
caf,10.96,1968
caf,10.96,1969
caf,10.96,1970
caf,10.96,1971
caf,8.22,1972
caf,10.96,1973
caf,10.96,1974
caf,8.22,1975
caf,8.22,1976
caf,8.22,1977
caf,10.96,1978
caf,10.96,1979
caf,8.22,1980
caf,8.22,1981
caf,8.22,1982
caf,8.22,1983
caf,8.22,1984
caf,8.22,1985
caf,10.96,1986
caf,10.96,1987
caf,16.44,1988
caf,16.44,1989
caf,19.18,1990
caf,16.44,1991
caf,16.44,1992
caf,13.7,1993
caf,19.18,1994
caf,19.18,1995
caf,16.44,1996
caf,21.92,1997
caf,21.92,1998
caf,19.18,1999
caf,24.66,2000
caf,19.18,2001
caf,19.18,2002
caf,21.92,2003
caf,21.92,2004
tcd,13.7,1961
tcd,13.7,1962
tcd,16.44,1963
tcd,16.44,1964
tcd,16.44,1965
tcd,16.44,1966
tcd,19.18,1967
tcd,16.44,1968
tcd,13.7,1969
tcd,19.18,1970
tcd,16.44,1971
tcd,19.18,1972
tcd,19.18,1973
tcd,16.44,1974
tcd,16.44,1975
tcd,16.44,1976
tcd,16.44,1977
tcd,16.44,1978
tcd,16.44,1979
tcd,10.96,1980
tcd,10.96,1981
tcd,13.7,1982
tcd,16.44,1983
tcd,10.96,1984
tcd,21.92,1985
tcd,16.44,1986
tcd,10.96,1987
tcd,10.96,1988
tcd,19.18,1989
tcd,21.92,1990
tcd,13.7,1991
tcd,13.7,1992
tcd,16.44,1993
tcd,13.7,1994
tcd,16.44,1995
tcd,24.66,1996
tcd,16.44,1997
tcd,21.92,1998
tcd,16.44,1999
tcd,19.18,2000
tcd,19.18,2001
tcd,21.92,2002
tcd,19.18,2003
tcd,19.18,2004
chl,73.97,1961
chl,95.89,1962
chl,98.63,1963
chl,87.67,1964
chl,82.19,1965
chl,98.63,1966
chl,101.4,1967
chl,106.8,1968
chl,101.4,1969
chl,101.4,1970
chl,106.8,1971
chl,109.6,1972
chl,87.67,1973
chl,87.67,1974
chl,82.19,1975
chl,93.15,1976
chl,98.63,1977
chl,104.1,1978
chl,101.4,1979
chl,104.1,1980
chl,101.4,1981
chl,95.89,1982
chl,90.41,1983
chl,98.63,1984
chl,90.41,1985
chl,98.63,1986
chl,104.1,1987
chl,101.4,1988
chl,106.8,1989
chl,106.8,1990
chl,106.8,1991
chl,117.8,1992
chl,117.8,1993
chl,120.5,1994
chl,123.3,1995
chl,126.0,1996
chl,126.0,1997
chl,128.8,1998
chl,131.5,1999
chl,126.0,2000
chl,123.3,2001
chl,128.8,2002
chl,126.0,2003
chl,126.0,2004
chn,5.48,1961
chn,5.48,1962
chn,5.48,1963
chn,5.48,1964
chn,5.48,1965
chn,8.22,1966
chn,5.48,1967
chn,5.48,1968
chn,8.22,1969
chn,5.48,1970
chn,5.48,1971
chn,8.22,1972
chn,8.22,1973
chn,8.22,1974
chn,8.22,1975
chn,8.22,1976
chn,10.96,1977
chn,10.96,1978
chn,10.96,1979
chn,13.7,1980
chn,13.7,1981
chn,16.44,1982
chn,16.44,1983
chn,16.44,1984
chn,19.18,1985
chn,19.18,1986
chn,19.18,1987
chn,21.92,1988
chn,19.18,1989
chn,21.92,1990
chn,21.92,1991
chn,19.18,1992
chn,13.7,1993
chn,16.44,1994
chn,19.18,1995
chn,21.92,1996
chn,24.66,1997
chn,21.92,1998
chn,19.18,1999
chn,16.44,2000
chn,16.44,2001
chn,19.18,2002
chn,21.92,2003
chn,21.92,2004
col,147.9,1961
col,139.7,1962
col,137.0,1963
col,128.8,1964
col,123.3,1965
col,120.5,1966
col,112.3,1967
col,115.1,1968
col,115.1,1969
col,109.6,1970
col,115.1,1971
col,123.3,1972
col,126.0,1973
col,134.2,1974
col,142.5,1975
col,150.7,1976
col,153.4,1977
col,145.2,1978
col,142.5,1979
col,153.4,1980
col,153.4,1981
col,147.9,1982
col,147.9,1983
col,142.5,1984
col,139.7,1985
col,139.7,1986
col,150.7,1987
col,147.9,1988
col,147.9,1989
