geo,patents_granted_total,time
mco,71,1987
mco,81,1988
mco,147,1989
mco,84,1990
mco,49,1991
mco,89,1992
mco,115,1993
mco,253,1994
mco,1213,1995
mco,2478,1996
mco,3791,1997
mco,4061,1998
mco,4137,1999
mco,3502,2000
mco,4588,2001
mco,8993,2002
mng,2,1984
mng,31,1985
mng,24,1986
mng,44,1987
mng,37,1988
mng,47,1989
mng,38,1990
mng,38,1991
mng,33,1992
mng,50,1993
mng,103,1994
mng,117,1995
mng,112,1996
mng,116,1997
mng,172,1998
mng,161,1999
mng,176,2001
mng,163,2002
mar,333,1984
mar,313,1985
mar,255,1986
mar,296,1987
mar,299,1988
mar,276,1989
mar,311,1990
mar,303,1991
mar,372,1992
mar,352,1993
mar,329,1994
mar,354,1995
mar,327,1996
nam,139,1990
nam,124,1991
nam,102,1993
npl,3,1989
npl,6,1992
npl,2,1993
npl,1,1995
nld,10260,1984
nld,11970,1985
nld,13950,1986
nld,12570,1987
nld,13910,1988
nld,15310,1989
nld,16840,1990
nld,17610,1991
nld,20350,1992
nld,23260,1993
nld,24740,1994
nld,23440,1995
nld,22640,1996
nld,23790,1997
nld,22410,1998
nld,21400,1999
nld,17050,2000
nld,20620,2001
nld,27480,2002
nzl,1914,1984
nzl,1732,1985
nzl,3035,1986
nzl,2510,1987
nzl,2705,1988
nzl,2841,1989
nzl,3481,1990
nzl,3598,1991
nzl,2988,1992
nzl,2886,1993
nzl,2669,1994
nzl,2641,1995
nzl,2771,1996
nzl,3823,1997
nzl,4058,1998
nzl,2463,1999
nzl,4587,2000
nzl,3539,2001
nzl,2549,2002
nic,27,1984
nic,25,1985
nic,2,1986
nic,4,1992
nic,2,1993
nic,32,1995
nic,38,1997
nic,18,1998
nic,12,1999
nic,136,2000
nga,170,1990
nor,1931,1984
nor,2165,1985
nor,1818,1986
nor,2145,1987
nor,2447,1988
nor,2918,1989
nor,2666,1990
nor,2821,1991
nor,2998,1992
nor,2609,1993
nor,2321,1994
nor,2014,1995
nor,1860,1996
nor,2942,1997
nor,2560,1998
nor,2362,1999
nor,2412,2000
nor,2448,2001
pak,380,1990
pak,524,1991
pak,436,1992
pak,476,1993
pak,503,1994
pak,474,1995
pak,539,1996
pak,381,2000
pak,350,2001
pan,139,1984
pan,72,1985
pan,44,1986
pan,40,1987
pan,54,1988
pan,5,1989
pan,35,1990
pan,46,1991
pan,40,1992
pan,26,1993
pan,38,1994
pan,80,1995
pan,38,1996
pan,15,2000
pry,21,1984
pry,8,1985
pry,96,1988
pry,44,1989
pry,35,1990
pry,24,1992
pry,26,1993
per,81,1984
per,155,1985
per,326,1986
per,333,1987
per,154,1988
per,165,1990
per,193,1991
per,260,1992
per,114,1993
per,235,1994
per,181,1996
per,180,1997
per,271,1999
per,308,2000
phl,1127,1984
phl,1281,1985
phl,1101,1989
phl,1092,1990
phl,944,1991
phl,778,1996
phl,916,1997
phl,565,1998
phl,648,1999
phl,566,2000
pol,4185,1984
pol,4467,1985
pol,3694,1986
pol,4057,1987
pol,3254,1988
pol,3000,1989
pol,3647,1990
pol,3788,1991
pol,3851,1992
pol,2941,1993
pol,2560,1994
pol,2608,1995
pol,2565,1996
pol,2330,1997
pol,2416,1998
pol,2236,1999
pol,2463,2000
pol,2022,2001
pol,2271,2002
prt,637,1984
prt,960,1985
prt,4037,1986
prt,1724,1987
prt,929,1988
prt,1236,1989
prt,563,1990
prt,453,1991
prt,1253,1992
prt,1694,1993
prt,1775,1994
prt,3042,1995
prt,4810,1996
prt,7229,1997
prt,8947,1998
prt,8493,1999
prt,6354,2000
prt,8567,2001
prt,13840,2002
rou,2585,1984
rou,2788,1985
rou,2753,1986
rou,2849,1987
rou,2923,1988
rou,2913,1989
rou,1428,1990
rou,2127,1991
rou,2100,1992
rou,1713,1993
rou,1804,1994
rou,1860,1995
rou,1860,1996
rou,1417,1997
rou,1818,1998
rou,1083,1999
rou,1320,2000
rou,1509,2001
rou,2357,2002
rus,7897,1992
rus,13210,1993
rus,20580,1994
rus,25630,1995
rus,19680,1996
rus,29690,1997
rus,23370,1998
rus,19510,1999
rus,17590,2000
rus,16290,2001
rus,18110,2002
rwa,6,1984
rwa,1,1985
rwa,1,1986
rwa,2,1987
rwa,6,1988
rwa,1,1989
rwa,4,1990
rwa,1,1991
rwa,2,1992
rwa,3,1994
rwa,4,1999
lca,1,1984
lca,2,1990
lca,1,1992
lca,4,1996
lca,7,2001
vct,2,2000
wsm,4,1985
wsm,7,1993
wsm,2,1995
wsm,1,1996
sau,3,1995
sau,2,1996
sau,2,1997
sau,3,1998
sau,16,1999
sau,8,2000
sau,10,2001
sau,25,2002
scg,375,1992
scg,283,1993
scg,674,1994
scg,510,1995
scg,337,1996
scg,293,1997
scg,342,1998
scg,175,1999
scg,8,2000
scg,154,2001
scg,221,2002
syc,1,1984
syc,2,1985
syc,5,1988
syc,1,1995
syc,6,1996
sle,12,1984
sle,5,1995
sle,1,1999
sle,4,2001
sgp,416,1985
sgp,1064,1989
sgp,1238,1990
sgp,1091,1991
sgp,1281,1992
sgp,1395,1993
sgp,1768,1994
sgp,1968,1995
sgp,3331,1996
sgp,2291,1998
sgp,4410,1999
sgp,5090,2000
sgp,7583,2002
svk,4,1993
svk,138,1994
svk,381,1995
svk,198,1996
svk,562,1997
svk,845,1998
svk,773,1999
svk,894,2000
svk,1043,2001
svk,803,2002
svn,33,1992
svn,379,1993
svn,604,1994
svn,380,1995
svn,515,1996
svn,623,1997
svn,466,1998
svn,871,1999
svn,1276,2000
svn,1855,2001
svn,2802,2002
slb,12,1984
slb,4,1985
slb,8,1986
slb,6,1987
slb,2,1988
slb,1,1989
som,8,1984
som,7,1985
zaf,7300,1984
zaf,6768,1985
zaf,6196,1986
zaf,5828,1987
zaf,5571,1988
zaf,5586,1989
zaf,5465,1990
zaf,5885,1991
zaf,6125,1992
zaf,5096,1993
zaf,5160,1994
zaf,5453,1995
esp,8213,1984
esp,9115,1985
esp,8735,1986
esp,7280,1987
esp,5129,1988
esp,7134,1989
esp,7597,1990
esp,9781,1991
esp,14020,1992
esp,15820,1993
esp,19970,1994
esp,19930,1995
esp,19820,1996
esp,20610,1997
esp,20130,1998
esp,20070,1999
esp,15810,2000
esp,19710,2001
esp,26630,2002
lka,105,1984
lka,112,1985
lka,97,1986
lka,124,1987
lka,127,1988
lka,110,1989
lka,134,1990
lka,104,1991
lka,58,1992
lka,85,1993
lka,66,1994
lka,159,1995
lka,205,1996
lka,160,1997
sdn,1,1985
sdn,1,1986
sdn,5,1987
sdn,18,1988
sdn,26,1989
sdn,36,1990
sdn,37,1991
sdn,56,1992
sdn,34,1993
sdn,55,1994
sdn,49,1995
sdn,97,1996
sdn,37,1997
sdn,64,1998
sdn,59,1999
sdn,97,2000
sdn,79,2001
swz,35,1984
swz,30,1985
swz,5,1989
swz,21,1990
swz,28,1991
swz,70,1992
swz,33,1993
swz,52,1994
swz,45,1995
swz,91,1996
swz,34,1997
swz,63,1998
swz,57,1999
swz,85,2000
swz,70,2001
swe,11670,1984
swe,13520,1985
swe,14950,1986
swe,13810,1987
swe,15370,1988
swe,15900,1989
swe,15950,1990
swe,16770,1991
swe,18670,1992
swe,21120,1993
swe,22910,1994
swe,20820,1995
swe,18980,1996
swe,19410,1997
swe,18480,1998
swe,17650,1999
swe,13810,2000
swe,14870,2001
swe,24550,2002
che,13980,1984
che,14540,1985
che,15260,1986
che,13400,1987
che,14990,1988
che,16060,1989
che,16150,1990
che,16810,1991
che,17970,1992
che,20640,1993
che,22310,1994
che,20340,1995
che,17300,1996
che,18080,1997
che,16250,1998
che,15430,1999
che,12260,2000
che,15640,2001
che,21850,2002
syr,49,1996
syr,50,2000
syr,62,2001
tjk,77,1996
tjk,109,1997
tjk,57,1998
tjk,42,1999
tjk,43,2000
tjk,27,2002
tha,20,1984
tha,45,1985
tha,52,1986
tha,71,1987
tha,86,1988
tha,164,1989
tha,141,1990
tha,153,1991
tha,199,1992
tha,451,1993
tha,674,1994
tha,884,1996
tha,729,1997
tha,723,1998
tha,541,2000
mkd,94,1994
mkd,163,1995
mkd,95,1996
mkd,79,1997
mkd,80,1998
mkd,55,1999
mkd,86,2000
mkd,240,2001
mkd,679,2002
tto,55,1988
tto,67,1992
tto,91,1993
tto,84,1994
tto,87,1995
tto,119,1996
tto,171,1997
tto,17,2002
tun,18,1986
tun,381,1989
tun,522,1990
tun,180,1991
tun,138,1993
tun,142,1994
tun,141,1995
tun,146,1996
tur,410,1984
tur,385,1985
tur,283,1986
tur,319,1987
tur,372,1988
tur,481,1989
tur,486,1990
tur,694,1991
tur,674,1992
tur,804,1993
tur,1102,1994
tur,722,1995
tur,601,1996
tur,458,1997
tur,796,1998
tur,1122,1999
tur,1157,2000
tur,2137,2001
tur,1885,2002
tkm,206,1997
tkm,154,1998
tkm,95,1999
uga,28,1984
uga,27,1985
uga,1,1986
uga,28,1987
uga,39,1988
uga,36,1989
uga,41,1990
uga,42,1991
uga,42,1992
uga,38,1993
uga,56,1994
uga,47,1995
uga,102,1996
uga,30,1997
uga,66,1998
uga,74,1999
uga,112,2000
uga,92,2001
ukr,226,1992
ukr,1942,1993
ukr,4650,1994
ukr,1350,1995
ukr,4270,1996
ukr,9121,1997
ukr,4336,1998
ukr,1294,1999
ukr,5772,2000
ukr,11670,2001
ussr,951,1984
ussr,74740,1985
ussr,79370,1986
ussr,85020,1987
ussr,83980,1988
ussr,84580,1989
ussr,84660,1990
ussr,1215,1991
gbr,18870,1984
gbr,34480,1985
gbr,32930,1986
gbr,28660,1987
gbr,29560,1988
gbr,30990,1989
gbr,32180,1990
gbr,34070,1991
gbr,37830,1992
gbr,42590,1993
gbr,48770,1994
gbr,48350,1995
gbr,44340,1996
gbr,44750,1997
gbr,43180,1998
gbr,40680,1999
gbr,33760,2000
gbr,39650,2001
gbr,52590,2002
tza,30,1985
tza,37,1988
tza,23,1989
tza,10,1998
tza,8,1999
usa,67200,1984
usa,71660,1985
usa,70860,1986
usa,82950,1987
usa,77920,1988
usa,95540,1989
usa,90370,1990
usa,96510,1991
usa,97440,1992
usa,98340,1993
usa,101700,1994
usa,101400,1995
usa,109600,1996
usa,112000,1997
usa,147500,1998
usa,153500,1999
usa,157500,2000
usa,166000,2001
usa,167300,2002
ury,120,1984
ury,196,1985
ury,101,1986
ury,95,1987
ury,89,1988
ury,61,1989
ury,125,1991
ury,119,1993
ury,61,1994
ury,36,1995
ury,22,1996
ury,52,1997
ury,73,1998
ury,113,1999
ury,140,2000
ury,55,2002
uzb,13,1993
uzb,1482,1994
uzb,1233,1995
uzb,421,1996
uzb,2,1997
uzb,512,1999
uzb,476,2000
uzb,485,2001
uzb,515,2002
ven,1732,1984
