dead_kids_per_woman,geo,time
4.219,ago,1947
4.217,ago,1948
4.215,ago,1949
4.213,ago,1950
4.219,ago,1951
4.13,ago,1952
4.153,ago,1953
4.063,ago,1954
4.086,ago,1955
4.109,ago,1956
4.023,ago,1957
4.045,ago,1958
3.957,ago,1959
3.979,ago,1960
3.995,ago,1961
3.901,ago,1962
3.911,ago,1963
3.805,ago,1964
3.805,ago,1965
3.8,ago,1966
3.675,ago,1967
3.665,ago,1968
3.533,ago,1969
3.513,ago,1970
3.494,ago,1971
3.369,ago,1972
3.36,ago,1973
3.242,ago,1974
3.242,ago,1975
3.242,ago,1976
3.135,ago,1977
3.135,ago,1978
3.139,ago,1979
3.139,ago,1980
3.139,ago,1981
3.139,ago,1982
3.037,ago,1983
3.037,ago,1984
3.037,ago,1985
3.037,ago,1986
3.033,ago,1987
3.029,ago,1988
3.024,ago,1989
3.02,ago,1990
3.008,ago,1991
2.999,ago,1992
2.987,ago,1993
2.871,ago,1994
2.858,ago,1995
2.745,ago,1996
2.729,ago,1997
2.619,ago,1998
2.6,ago,1999
2.484,ago,2000
2.361,ago,2001
2.235,ago,2002
2.195,ago,2003
2.061,ago,2004
1.926,ago,2005
1.876,ago,2006
1.824,ago,2007
1.699,ago,2008
1.651,ago,2009
1.539,ago,2010
0.6619,ago,2030
0.2976,ago,2050
0.0859,ago,2099
3.696,arg,1800
3.696,arg,1801
3.696,arg,1802
3.696,arg,1803
3.696,arg,1804
3.696,arg,1805
3.696,arg,1806
3.696,arg,1807
3.696,arg,1808
3.696,arg,1809
3.696,arg,1810
3.696,arg,1811
3.696,arg,1812
3.696,arg,1813
3.696,arg,1814
3.696,arg,1815
3.696,arg,1816
3.696,arg,1817
3.696,arg,1818
3.696,arg,1819
3.696,arg,1820
3.696,arg,1821
3.696,arg,1822
3.696,arg,1823
3.696,arg,1824
3.696,arg,1825
3.696,arg,1826
3.696,arg,1827
3.696,arg,1828
3.696,arg,1829
3.696,arg,1830
3.696,arg,1831
3.696,arg,1832
3.696,arg,1833
3.696,arg,1834
3.696,arg,1835
3.696,arg,1836
3.696,arg,1837
3.696,arg,1838
3.696,arg,1839
3.696,arg,1840
3.696,arg,1841
3.696,arg,1842
3.696,arg,1843
3.696,arg,1844
3.696,arg,1845
3.696,arg,1846
3.696,arg,1847
3.696,arg,1848
3.696,arg,1849
3.696,arg,1850
3.696,arg,1851
3.696,arg,1852
3.696,arg,1853
3.696,arg,1854
3.696,arg,1855
3.696,arg,1856
3.696,arg,1857
3.696,arg,1858
3.696,arg,1859
3.696,arg,1860
3.696,arg,1861
3.696,arg,1862
3.696,arg,1863
3.696,arg,1864
3.696,arg,1865
3.696,arg,1866
3.696,arg,1867
3.696,arg,1868
3.696,arg,1869
3.657,arg,1870
3.617,arg,1871
3.577,arg,1872
3.575,arg,1873
3.574,arg,1874
3.572,arg,1875
3.571,arg,1876
3.569,arg,1877
3.568,arg,1878
3.566,arg,1879
3.565,arg,1880
3.563,arg,1881
3.562,arg,1882
3.517,arg,1883
3.472,arg,1884
3.427,arg,1885
3.381,arg,1886
3.336,arg,1887
3.31,arg,1888
3.188,arg,1889
3.163,arg,1890
3.138,arg,1891
3.112,arg,1892
3.306,arg,1893
3.605,arg,1894
3.805,arg,1895
3.421,arg,1896
3.054,arg,1897
3.051,arg,1898
2.956,arg,1899
2.862,arg,1900
2.86,arg,1901
2.766,arg,1902
2.65,arg,1903
2.624,arg,1904
2.511,arg,1905
2.485,arg,1906
2.376,arg,1907
2.262,arg,1908
2.151,arg,1909
2.044,arg,1910
2.014,arg,1911
1.911,arg,1912
1.919,arg,1913
1.854,arg,1914
1.829,arg,1915
1.732,arg,1916
1.639,arg,1917
1.549,arg,1918
1.526,arg,1919
1.439,arg,1920
1.356,arg,1921
1.335,arg,1922
1.255,arg,1923
1.236,arg,1924
1.159,arg,1925
1.141,arg,1926
1.122,arg,1927
1.045,arg,1928
1.022,arg,1929
0.9991,arg,1930
0.9761,arg,1931
0.9531,arg,1932
0.9314,arg,1933
0.9098,arg,1934
0.8881,arg,1935
0.8235,arg,1936
0.7619,arg,1937
0.7206,arg,1938
0.6803,arg,1939
0.6409,arg,1940
0.6026,arg,1941
0.6016,arg,1942
0.558,arg,1943
0.5509,arg,1944
0.5095,arg,1945
0.5028,arg,1946
0.4961,arg,1947
0.494,arg,1948
0.492,arg,1949
0.5227,arg,1950
0.4899,arg,1951
0.4899,arg,1952
0.4565,arg,1953
0.4565,arg,1954
0.4242,arg,1955
0.4242,arg,1956
0.4229,arg,1957
0.3918,arg,1958
0.3918,arg,1959
0.3906,arg,1960
0.3893,arg,1961
0.388,arg,1962
0.3868,arg,1963
0.3855,arg,1964
0.3843,arg,1965
0.3549,arg,1966
0.3549,arg,1967
0.3549,arg,1968
0.3561,arg,1969
