geo,extreme_poverty_percent_people_below_125_a_day,time
bra,16.23,1990
bra,16.7,1992
bra,15.87,1993
bra,9.93,1995
bra,11.21,1996
bra,10.9,1997
bra,9.58,1998
bra,9.87,1999
bra,10.2,2001
bra,8.87,2002
bra,9.62,2003
bra,8.14,2004
bra,7.18,2005
bra,5.93,2006
bra,5.84,2007
bra,4.87,2008
bra,4.72,2009
bra,4.53,2011
bra,3.75,2012
bgr,0.04,1989
bgr,0.0,1992
bgr,0.22,1994
bgr,0.82,1995
bgr,0.32,1997
bgr,2.12,2001
bgr,0.62,2003
bgr,0.26,2007
bgr,0.73,2008
bgr,1.64,2010
bgr,1.9,2011
bfa,71.17,1994
bfa,70.03,1998
bfa,48.9,2003
bfa,44.46,2009
bdi,84.24,1992
bdi,86.43,1998
bdi,81.32,2006
khm,44.5,1994
khm,32.77,2004
khm,30.82,2007
khm,20.89,2008
khm,12.93,2009
khm,11.25,2010
khm,10.05,2011
cmr,47.43,1996
cmr,24.86,2001
cmr,27.61,2007
can,0.68,1981
can,0.37,1987
can,0.33,1991
can,0.33,1994
can,0.36,1997
can,0.68,1998
can,0.34,2000
can,0.34,2004
can,0.34,2007
can,0.34,2010
cpv,21.02,2002
cpv,13.72,2008
caf,83.15,1992
caf,62.43,2003
caf,62.83,2008
tcd,61.94,2003
tcd,36.52,2011
chl,5.8,1987
chl,4.91,1990
chl,2.74,1992
chl,3.05,1994
chl,2.2,1996
chl,2.32,1998
chl,2.16,2000
chl,1.73,2003
chl,1.07,2006
chl,1.28,2009
chl,0.83,2011
chn,84.27,1981
chn,69.43,1984
chn,53.95,1987
chn,60.73,1990
chn,54.85,1993
chn,37.39,1996
chn,36.0,1999
chn,28.06,2002
chn,15.77,2005
chn,12.34,2008
chn,9.19,2010
chn,6.26,2011
col,15.45,1980
col,10.69,1988
col,8.08,1989
col,8.18,1991
col,6.29,1992
col,13.0,1996
col,16.18,1999
col,17.85,2000
col,17.86,2001
col,11.14,2002
col,10.34,2003
col,9.01,2004
col,7.87,2005
col,11.04,2006
col,8.84,2007
col,8.5,2008
col,7.26,2009
col,6.17,2010
col,4.95,2011
col,5.63,2012
com,46.11,2004
cod,87.72,2006
cog,54.1,2005
cog,32.82,2011
cri,11.4,1981
cri,5.68,1986
cri,10.59,1989
cri,8.45,1990
cri,9.69,1991
cri,8.12,1992
cri,6.89,1993
cri,5.75,1994
cri,6.01,1995
cri,7.02,1996
cri,5.3,1997
cri,4.22,1998
cri,5.43,1999
cri,5.56,2000
cri,5.51,2001
cri,5.5,2002
cri,5.4,2003
cri,4.85,2004
cri,3.57,2005
cri,3.72,2006
cri,2.06,2007
cri,2.28,2008
cri,2.86,2009
cri,1.27,2010
cri,1.36,2011
cri,1.35,2012
civ,8.08,1985
civ,4.11,1986
civ,8.68,1987
civ,13.76,1988
civ,26.47,1993
civ,21.09,1995
civ,30.06,1998
civ,29.66,2002
civ,35.04,2008
hrv,0.04,1988
hrv,0.0,1998
hrv,0.19,1999
hrv,0.07,2000
hrv,0.06,2001
hrv,0.0,2004
hrv,0.0,2008
cze,0.0,1988
cze,0.0,1993
cze,0.13,1996
cze,0.0,2005
cze,0.07,2006
cze,0.04,2008
cze,0.03,2009
cze,0.04,2010
cze,0.03,2011
dnk,1.02,1987
dnk,0.67,1992
dnk,0.33,1995
dnk,0.34,2000
dnk,0.33,2004
dnk,0.39,2007
dnk,0.67,2010
dji,18.83,2002
dom,16.37,1986
dom,12.16,1989
dom,4.66,1992
dom,4.69,1996
dom,4.95,1997
dom,5.24,2000
dom,3.68,2001
dom,5.27,2002
dom,6.43,2003
dom,7.83,2004
dom,5.38,2005
dom,4.23,2006
dom,3.72,2007
dom,3.35,2008
dom,2.99,2009
dom,2.24,2010
dom,2.54,2011
dom,2.25,2012
ecu,12.86,1987
ecu,14.59,1994
ecu,9.48,1995
ecu,10.16,1998
ecu,16.19,1999
ecu,20.32,2000
ecu,12.0,2003
ecu,10.45,2004
ecu,9.16,2005
ecu,6.12,2006
ecu,6.94,2007
ecu,6.26,2008
ecu,6.03,2009
ecu,4.58,2010
ecu,4.04,2011
ecu,3.95,2012
egy,4.46,1991
egy,2.46,1996
egy,1.81,2000
egy,2.26,2005
egy,1.68,2008
slv,15.24,1989
slv,17.07,1991
slv,9.96,1995
slv,11.54,1996
slv,17.38,1998
slv,13.73,1999
slv,13.67,2000
slv,14.4,2001
slv,14.68,2002
slv,13.4,2003
slv,8.02,2004
slv,7.11,2005
slv,4.27,2006
slv,2.85,2007
slv,4.82,2008
slv,4.24,2009
slv,5.17,2010
slv,2.82,2011
slv,2.53,2012
est,0.05,1988
est,0.79,1993
est,0.25,1995
est,0.05,1998
est,0.6,2000
est,0.57,2001
est,0.57,2002
est,0.37,2003
est,0.72,2005
est,0.73,2006
est,0.47,2007
est,0.45,2008
est,0.59,2009
est,0.81,2010
est,0.98,2011
eth,69.12,1982
eth,63.2,1995
eth,54.57,2000
eth,38.96,2005
eth,36.79,2011
fji,29.16,2003
fji,5.88,2009
fin,0.0,1987
fin,0.0,1991
fin,0.0,1995
fin,0.0,2000
fin,0.0,2004
fin,0.0,2007
fin,0.0,2010
fra,3.0,1984
fra,1.68,1989
fra,0.35,1994
fra,0.35,2000
fra,0.33,2005
gab,6.09,2005
gmb,65.61,1998
gmb,33.63,2003
geo,4.72,1996
geo,17.52,1997
geo,13.36,1998
geo,17.19,1999
geo,17.75,2000
geo,17.42,2001
geo,14.19,2002
geo,15.62,2003
geo,15.11,2004
geo,14.86,2005
geo,13.87,2006
geo,14.75,2007
geo,14.05,2008
geo,13.99,2009
geo,18.04,2010
geo,16.05,2011
geo,14.14,2012
deu,0.0,1981
deu,0.0,1983
deu,0.34,1984
deu,0.0,1989
deu,0.34,1994
deu,0.0,2000
deu,0.0,2004
deu,0.0,2007
deu,0.34,2010
gha,50.59,1988
gha,49.37,1989
gha,51.07,1992
gha,39.12,1998
gha,28.59,2006
grc,1.67,1995
grc,0.68,2000
grc,1.01,2004
grc,1.03,2007
grc,1.37,2010
gtm,38.64,1987
gtm,28.36,1989
gtm,16.23,1998
gtm,11.79,2000
gtm,19.91,2002
gtm,17.97,2003
gtm,16.47,2004
gtm,13.45,2006
gtm,13.7,2011
gin,93.74,1991
gin,63.81,1994
gin,56.32,2003
gin,39.33,2007
gin,40.87,2012
gnb,41.31,1991
gnb,65.33,1993
gnb,48.9,2002
guy,6.91,1993
guy,8.7,1998
hti,61.71,2001
hnd,12.99,1986
hnd,41.06,1989
hnd,46.91,1990
hnd,33.04,1991
hnd,26.86,1992
hnd,20.97,1993
hnd,24.21,1994
hnd,26.18,1995
hnd,28.48,1996
hnd,19.45,1997
hnd,24.4,1998
hnd,24.84,1999
hnd,16.96,2001
hnd,27.48,2002
hnd,25.59,2003
hnd,24.59,2004
hnd,25.85,2005
hnd,22.4,2006
hnd,15.8,2007
hnd,14.61,2008
hnd,12.4,2009
hnd,13.41,2010
hnd,16.48,2011
hun,0.05,1987
hun,0.04,1989
hun,0.15,1993
hun,0.0,1998
hun,0.02,1999
hun,0.0,2000
hun,0.0,2001
hun,0.0,2002
hun,0.0,2003
hun,0.0,2005
hun,0.13,2006
hun,0.03,2008
hun,0.05,2010
hun,0.05,2011
ind,65.89,1978
ind,55.51,1983
ind,53.59,1988
ind,49.4,1994
ind,41.64,2005
ind,32.68,2010
ind,23.63,2012
idn,62.84,1984
idn,68.16,1987
idn,54.27,1990
idn,54.4,1993
idn,43.38,1996
idn,47.7,1999
idn,29.39,2002
idn,21.56,2005
idn,22.71,2008
idn,18.04,2010
idn,16.2,2011
irn,4.19,1986
irn,3.85,1990
irn,1.42,1994
irn,1.26,1998
irn,1.45,2005
irq,3.37,2007
irq,3.91,2012
irl,1.37,1987
irl,0.35,1994
irl,0.34,1995
irl,0.0,1996
irl,0.37,2000
irl,0.0,2004
irl,0.0,2007
irl,0.36,2010
isr,0.0,1979
isr,0.0,1986
isr,0.0,1992
isr,0.36,1997
isr,0.33,2001
isr,0.67,2005
isr,0.33,2007
isr,0.39,2010
ita,0.0,1986
ita,1.34,1987
ita,0.34,1989
ita,0.37,1991
ita,1.0,1993
ita,1.01,1995
ita,1.67,1998
ita,1.34,2000
ita,0.67,2004
ita,1.01,2008
ita,1.35,2010
jam,3.97,1988
jam,1.27,1990
jam,3.82,1993
jam,1.76,1996
jam,1.33,1999
jam,37.33,2001
jam,0.31,2002
jam,0.24,2004
jpn,0.35,2008
jor,0.0,1987
jor,2.74,1992
jor,1.49,1997
jor,1.16,2003
jor,0.25,2006
jor,0.07,2008
jor,0.08,2010
kaz,0.02,1988
kaz,4.21,1993
kaz,4.98,1996
kaz,6.12,2001
kaz,3.76,2002
kaz,2.41,2003
kaz,1.45,2004
kaz,0.02,2005
kaz,0.41,2006
kaz,0.16,2007
kaz,0.01,2008
kaz,0.06,2010
ken,38.42,1992
ken,28.5,1994
ken,31.83,1997
ken,43.37,2005
kgz,0.0,1988
kgz,18.61,1993
kgz,31.84,1998
kgz,36.81,2000
