geo,tb_with_hivplus_number_of_deaths_estimated,time
bwa,2165,2003
bwa,2307,2004
bwa,2391,2005
bwa,2822,2006
bwa,2945,2007
bra,1550,1990
bra,1780,1991
bra,1736,1992
bra,1789,1993
bra,1819,1994
bra,3035,1995
bra,3074,1996
bra,3094,1997
bra,2658,1998
bra,3022,1999
bra,2989,2000
bra,2906,2001
bra,2855,2002
bra,2725,2003
bra,2193,2004
bra,2241,2005
bra,2078,2006
bra,2473,2007
brn,0,1990
brn,0,1991
brn,0,1992
brn,0,1993
brn,0,1994
brn,0,1995
brn,0,1996
brn,0,1997
brn,0,1998
brn,0,1999
brn,0,2000
brn,0,2001
brn,0,2002
brn,0,2003
brn,0,2004
brn,0,2005
brn,0,2006
brn,0,2007
bgr,0,1990
bgr,0,1991
bgr,0,1992
bgr,0,1993
bgr,0,1994
bgr,0,1995
bgr,0,1996
bgr,0,1997
bgr,0,1998
bgr,0,1999
bgr,1,2000
bgr,1,2001
bgr,2,2002
bgr,2,2003
bgr,3,2004
bgr,5,2005
bgr,7,2006
bgr,9,2007
bfa,1228,1990
bfa,1384,1991
bfa,1485,1992
bfa,1592,1993
bfa,1704,1994
bfa,1850,1995
bfa,2023,1996
bfa,2345,1997
bfa,2674,1998
bfa,3053,1999
bfa,3490,2000
bfa,3872,2001
bfa,4223,2002
bfa,4422,2003
bfa,4464,2004
bfa,4358,2005
bfa,4202,2006
bfa,4105,2007
bdi,667,1990
bdi,987,1991
bdi,1533,1992
bdi,1942,1993
bdi,2126,1994
bdi,2236,1995
bdi,2341,1996
bdi,2295,1997
bdi,2840,1998
bdi,2600,1999
bdi,2763,2000
bdi,3070,2001
bdi,3266,2002
bdi,3328,2003
bdi,3286,2004
bdi,3234,2005
bdi,3093,2006
bdi,2923,2007
khm,1119,1990
khm,1515,1991
khm,1976,1992
khm,2460,1993
khm,2890,1994
khm,3166,1995
khm,3510,1996
khm,3615,1997
khm,3708,1998
khm,3696,1999
khm,3649,2000
khm,3513,2001
khm,3198,2002
khm,2880,2003
khm,2547,2004
khm,2210,2005
khm,2020,2006
khm,1843,2007
cmr,523,1990
cmr,865,1991
cmr,1314,1992
cmr,1887,1993
cmr,2522,1994
cmr,3161,1995
cmr,3740,1996
cmr,4420,1997
cmr,4866,1998
cmr,5265,1999
cmr,5671,2000
cmr,6118,2001
cmr,6147,2002
cmr,5787,2003
cmr,5785,2004
cmr,5066,2005
cmr,4675,2006
cmr,4434,2007
can,8,1990
can,8,1991
can,8,1992
can,8,1993
can,7,1994
can,7,1995
can,7,1996
can,7,1997
can,7,1998
can,7,1999
can,7,2000
can,7,2001
can,7,2002
can,8,2003
can,8,2004
can,8,2005
can,9,2006
can,11,2007
caf,394,1990
caf,554,1991
caf,722,1992
caf,910,1993
caf,1102,1994
caf,1298,1995
caf,1053,1996
caf,1745,1997
caf,1997,1998
caf,2270,1999
caf,2567,2000
caf,2681,2001
caf,2673,2002
caf,3256,2003
caf,3364,2004
caf,3031,2005
caf,2700,2006
caf,2681,2007
tcd,231,1990
tcd,332,1991
tcd,448,1992
tcd,592,1993
tcd,759,1994
tcd,952,1995
tcd,1262,1996
tcd,1722,1997
tcd,2091,1998
tcd,2125,1999
tcd,2523,2000
tcd,2935,2001
tcd,3534,2002
tcd,4242,2003
tcd,4194,2004
tcd,4074,2005
tcd,4098,2006
tcd,4178,2007
chl,3,1990
chl,5,1991
chl,6,1992
chl,7,1993
chl,8,1994
chl,10,1995
chl,11,1996
chl,12,1997
chl,13,1998
chl,13,1999
chl,13,2000
chl,13,2001
chl,19,2002
chl,18,2003
chl,11,2004
chl,17,2005
chl,11,2006
chl,8,2007
chn,491,1990
chn,671,1991
chn,919,1992
chn,1229,1993
chn,1635,1994
chn,2134,1995
chn,2736,1996
chn,3440,1997
chn,4189,1998
chn,5048,1999
chn,5900,2000
chn,6662,2001
chn,7257,2002
chn,7320,2003
chn,7109,2004
chn,7046,2005
chn,7020,2006
chn,6774,2007
col,46,1990
col,63,1991
col,85,1992
col,111,1993
col,140,1994
col,168,1995
col,198,1996
col,225,1997
col,247,1998
col,248,1999
col,216,2000
col,288,2001
col,287,2002
col,292,2003
col,286,2004
col,280,2005
col,235,2006
col,234,2007
com,0,1990
com,0,1991
com,0,1992
com,0,1993
com,0,1994
com,0,1995
com,0,1996
com,0,1997
com,0,1998
com,1,1999
com,1,2000
com,1,2001
com,1,2002
com,1,2003
com,1,2004
com,1,2005
com,1,2006
com,1,2007
cog,587,1990
cog,704,1991
cog,782,1992
cog,852,1993
cog,908,1994
cog,959,1995
cog,1537,1996
cog,1699,1997
cog,1315,1998
cog,1998,1999
cog,718,2000
cog,918,2001
cog,1180,2002
cog,1653,2003
cog,1486,2004
cog,1453,2005
cog,1598,2006
cog,1501,2007
cri,0,1990
cri,0,1991
cri,0,1992
cri,0,1993
cri,1,1994
cri,1,1995
cri,1,1996
cri,2,1997
cri,2,1998
cri,2,1999
cri,2,2000
cri,2,2001
cri,4,2002
cri,4,2003
cri,2,2004
cri,4,2005
cri,4,2006
cri,3,2007
cub,0,1990
cub,0,1991
cub,0,1992
cub,0,1993
cub,0,1994
cub,0,1995
cub,0,1996
cub,1,1997
cub,1,1998
cub,1,1999
cub,1,2000
cub,2,2001
cub,2,2002
cub,2,2003
cub,2,2004
cub,2,2005
cub,2,2006
cub,2,2007
cze,0,1990
cze,0,1991
cze,0,1992
cze,1,1993
cze,1,1994
cze,1,1995
cze,1,1996
cze,1,1997
cze,1,1998
cze,1,1999
cze,1,2000
cze,1,2001
cze,1,2002
cze,1,2003
cze,1,2004
cze,1,2005
cze,1,2006
cze,1,2007
civ,2409,1990
civ,3364,1991
civ,4332,1992
civ,5366,1993
civ,6373,1994
civ,7359,1995
civ,8404,1996
civ,9600,1997
civ,10860,1998
civ,12320,1999
civ,14220,2000
civ,17230,2001
civ,16630,2002
civ,16940,2003
civ,16670,2004
civ,16310,2005
civ,15170,2006
civ,14090,2007
prk,0,1990
prk,0,1991
prk,0,1992
prk,0,1993
prk,0,1994
prk,0,1995
prk,0,1996
prk,0,1997
prk,0,1998
prk,0,1999
prk,0,2000
prk,0,2001
prk,75,2002
prk,68,2003
prk,66,2004
prk,71,2005
prk,69,2006
prk,49,2007
cod,1469,1990
cod,1687,1991
cod,1866,1992
cod,2067,1993
cod,2270,1994
cod,2537,1995
cod,2662,1996
cod,3034,1997
cod,3150,1998
cod,3621,1999
cod,4164,2000
cod,4689,2001
cod,5235,2002
cod,5509,2003
cod,5755,2004
cod,5891,2005
cod,5996,2006
cod,6000,2007
dnk,1,1990
dnk,1,1991
dnk,1,1992
dnk,1,1993
dnk,1,1994
dnk,1,1995
dnk,1,1996
dnk,1,1997
dnk,1,1998
dnk,1,1999
dnk,1,2000
dnk,1,2001
dnk,1,2002
dnk,1,2003
dnk,1,2004
dnk,1,2005
dnk,2,2006
dnk,2,2007
dji,33,1990
dji,52,1991
dji,79,1992
dji,116,1993
dji,161,1994
dji,213,1995
dji,148,1996
dji,163,1997
dji,228,1998
dji,205,1999
dji,257,2000
dji,247,2001
dji,404,2002
dji,428,2003
dji,472,2004
dji,489,2005
dji,526,2006
dji,543,2007
dom,271,1990
dom,332,1991
dom,390,1992
dom,441,1993
dom,482,1994
dom,510,1995
dom,508,1996
dom,542,1997
dom,543,1998
dom,526,1999
dom,517,2000
dom,505,2001
dom,407,2002
dom,359,2003
dom,338,2004
dom,306,2005
dom,305,2006
dom,299,2007
ecu,162,1990
ecu,191,1991
ecu,222,1992
ecu,255,1993
ecu,288,1994
ecu,320,1995
ecu,355,1996
ecu,375,1997
ecu,417,1998
ecu,443,1999
ecu,466,2000
ecu,478,2001
ecu,460,2002
ecu,457,2003
ecu,455,2004
ecu,480,2005
ecu,467,2006
ecu,454,2007
egy,12,1990
egy,15,1991
egy,18,1992
egy,21,1993
egy,25,1994
egy,29,1995
egy,37,1996
egy,39,1997
egy,43,1998
egy,46,1999
egy,48,2000
egy,51,2001
egy,54,2002
egy,57,2003
egy,59,2004
egy,60,2005
egy,64,2006
egy,66,2007
slv,16,1990
slv,23,1991
slv,32,1992
slv,43,1993
slv,55,1994
slv,68,1995
slv,99,1996
slv,94,1997
slv,104,1998
slv,108,1999
slv,114,2000
slv,115,2001
slv,112,2002
slv,113,2003
slv,111,2004
slv,102,2005
slv,101,2006
slv,99,2007
gnq,14,1990
gnq,19,1991
gnq,24,1992
gnq,30,1993
gnq,37,1994
gnq,45,1995
gnq,56,1996
gnq,64,1997
gnq,72,1998
gnq,83,1999
gnq,96,2000
gnq,168,2001
gnq,186,2002
gnq,199,2003
gnq,159,2004
gnq,160,2005
gnq,158,2006
gnq,200,2007
eri,20,1990
eri,34,1991
eri,54,1992
eri,83,1993
eri,113,1994
eri,138,1995
eri,160,1996
eri,172,1997
eri,159,1998
eri,80,1999
eri,84,2000
eri,87,2001
eri,97,2002
eri,97,2003
eri,112,2004
eri,123,2005
eri,146,2006
eri,144,2007
est,0,1990
est,0,1991
est,0,1992
est,0,1993
est,0,1994
est,0,1995
est,0,1996
est,0,1997
est,1,1998
est,3,1999
est,5,2000
est,10,2001
est,18,2002
est,23,2003
est,23,2004
est,21,2005
est,22,2006
est,18,2007
eth,2600,1990
eth,4295,1991
eth,6278,1992
eth,8504,1993
eth,10690,1994
eth,12770,1995
eth,13360,1996
eth,13740,1997
eth,14950,1998
eth,17140,1999
eth,18190,2000
eth,20600,2001
eth,21760,2002
eth,23220,2003
eth,23900,2004
eth,23990,2005
eth,23920,2006
eth,23280,2007
fji,0,1990
fji,0,1991
fji,0,1992
fji,0,1993
fji,0,1994
fji,0,1995
fji,0,1996
fji,0,1997
fji,0,1998
fji,0,1999
fji,1,2000
fji,1,2001
fji,1,2002
fji,1,2003
fji,1,2004
fji,1,2005
fji,1,2006
fji,1,2007
fin,0,1990
fin,0,1991
fin,0,1992
fin,0,1993
fin,0,1994
fin,0,1995
fin,0,1996
fin,0,1997
fin,0,1998
fin,0,1999
fin,1,2000
fin,1,2001
fin,1,2002
fin,1,2003
fin,1,2004
fin,0,2005
fin,0,2006
fin,0,2007
fra,28,1990
fra,32,1991
fra,37,1992
fra,41,1993
fra,45,1994
fra,48,1995
fra,51,1996
fra,53,1997
fra,48,1998
fra,54,1999
fra,54,2000
fra,54,2001
fra,55,2002
fra,55,2003
fra,55,2004
fra,56,2005
fra,56,2006
fra,57,2007
gab,66,1990
gab,84,1991
gab,108,1992
gab,138,1993
gab,174,1994
gab,199,1995
gab,255,1996
gab,300,1997
gab,374,1998
gab,436,1999
gab,568,2000
gab,283,2001
gab,445,2002
gab,464,2003
gab,426,2004
gab,521,2005
gab,529,2006
gab,542,2007
gmb,2,1990
gmb,4,1991
gmb,8,1992
gmb,13,1993
gmb,22,1994
gmb,34,1995
gmb,47,1996
gmb,66,1997
gmb,82,1998
gmb,151,1999
gmb,173,2000
gmb,190,2001
gmb,136,2002
gmb,144,2003
gmb,145,2004
gmb,166,2005
gmb,194,2006
gmb,202,2007
geo,0,1990
geo,0,1991
geo,0,1992
geo,0,1993
geo,0,1994
geo,0,1995
geo,0,1996
geo,0,1997
geo,0,1998
geo,0,1999
geo,1,2000
geo,2,2001
geo,4,2002
geo,6,2003
geo,10,2004
geo,13,2005
geo,15,2006
geo,19,2007
deu,13,1990
deu,14,1991
deu,16,1992
deu,17,1993
deu,18,1994
deu,18,1995
deu,18,1996
deu,18,1997
deu,18,1998
deu,18,1999
deu,17,2000
deu,17,2001
deu,14,2002
deu,14,2003
deu,13,2004
deu,13,2005
deu,12,2006
deu,11,2007
gha,80,1990
gha,207,1991
gha,501,1992
gha,1052,1993
gha,1795,1994
gha,2485,1995
gha,3068,1996
gha,3173,1997
gha,3349,1998
gha,3424,1999
gha,3378,2000
gha,3315,2001
gha,3355,2002
gha,3359,2003
gha,3358,2004
gha,3354,2005
gha,3349,2006
gha,3337,2007
grc,5,1990
grc,6,1991
grc,6,1992
grc,7,1993
grc,8,1994
grc,8,1995
grc,9,1996
grc,9,1997
grc,10,1998
grc,10,1999
grc,10,2000
grc,10,2001
grc,11,2002
grc,11,2003
grc,11,2004
grc,11,2005
grc,12,2006
grc,12,2007
gtm,9,1990
gtm,15,1991
gtm,24,1992
gtm,37,1993
gtm,57,1994
gtm,82,1995
gtm,110,1996
gtm,147,1997
gtm,181,1998
gtm,208,1999
gtm,224,2000
gtm,242,2001
gtm,244,2002
gtm,253,2003
gtm,249,2004
gtm,250,2005
gtm,247,2006
gtm,258,2007
gin,92,1990
gin,124,1991
gin,164,1992
gin,215,1993
gin,276,1994
gin,348,1995
gin,427,1996
gin,541,1997
gin,667,1998
gin,798,1999
gin,959,2000
gin,1115,2001
gin,1291,2002
gin,1473,2003
gin,1637,2004
gin,1930,2005
gin,2014,2006
gin,2204,2007
gnb,18,1990
gnb,26,1991
gnb,37,1992
gnb,52,1993
gnb,71,1994
gnb,94,1995
gnb,123,1996
gnb,159,1997
gnb,195,1998
gnb,228,1999
gnb,172,2000
gnb,190,2001
gnb,232,2002
gnb,241,2003
gnb,240,2004
gnb,255,2005
gnb,234,2006
gnb,244,2007
guy,10,1990
guy,15,1991
guy,16,1992
guy,25,1993
guy,32,1994
guy,43,1995
guy,48,1996
guy,47,1997
guy,49,1998
guy,51,1999
guy,50,2000
guy,59,2001
guy,59,2002
guy,65,2003
guy,51,2004
guy,53,2005
guy,56,2006
guy,62,2007
hti,1197,1990
hti,1491,1991
hti,1716,1992
hti,1891,1993
hti,2018,1994
hti,2099,1995
hti,2174,1996
hti,2223,1997
hti,2236,1998
hti,2241,1999
hti,2239,2000
hti,2255,2001
hti,2228,2002
hti,2191,2003
hti,2196,2004
hti,2161,2005
hti,2216,2006
hti,2279,2007
hnd,202,1990
hnd,224,1991
hnd,226,1992
hnd,219,1993
hnd,208,1994
hnd,197,1995
hnd,208,1996
hnd,209,1997
hnd,166,1998
hnd,140,1999
hnd,67,2000
hnd,82,2001
hnd,108,2002
hnd,106,2003
hnd,118,2004
hnd,116,2005
hnd,114,2006
hnd,118,2007
hun,2,1990
hun,2,1991
hun,3,1992
hun,4,1993
hun,6,1994
hun,7,1995
hun,8,1996
hun,9,1997
hun,9,1998
hun,7,1999
hun,6,2000
hun,6,2001
hun,6,2002
hun,6,2003
hun,5,2004
hun,5,2005
hun,4,2006
hun,4,2007
isl,0,1990
isl,0,1991
isl,0,1992
isl,0,1993
isl,0,1994
isl,0,1995
isl,0,1996
isl,0,1997
isl,0,1998
isl,0,1999
isl,0,2000
isl,0,2001
isl,0,2002
isl,0,2003
isl,0,2004
isl,0,2005
isl,0,2006
isl,0,2007
ind,1126,1990
ind,2306,1991
ind,4615,1992
ind,8829,1993
ind,16000,1994
ind,25840,1995
ind,36810,1996
ind,46980,1997
ind,53840,1998
ind,54070,1999
ind,55100,2000
ind,50700,2001
ind,47340,2002
ind,41540,2003
ind,35690,2004
ind,33220,2005
ind,31150,2006
ind,29510,2007
idn,0,1990
idn,0,1991
idn,0,1992
idn,0,1993
idn,0,1994
idn,0,1995
idn,0,1996
idn,13,1997
idn,101,1998
idn,630,1999
idn,1981,2000
idn,2929,2001
idn,3250,2002
idn,3780,2003
idn,4249,2004
idn,4549,2005
idn,4958,2006
idn,5444,2007
irn,2,1990
irn,3,1991
irn,5,1992
irn,7,1993
irn,12,1994
irn,17,1995
irn,27,1996
irn,34,1997
irn,42,1998
irn,53,1999
irn,67,2000
irn,81,2001
irn,93,2002
irn,101,2003
irn,104,2004
irn,106,2005
irn,108,2006
irn,108,2007
irq,0,1990
irq,0,1991
irq,0,1992
irq,0,1993
irq,0,1994
irq,0,1995
irq,0,1996
irq,0,1997
irq,0,1998
irq,0,1999
irq,0,2000
irq,0,2001
irq,0,2002
irq,0,2003
irq,0,2004
irq,1,2005
irl,0,1990
irl,0,1991
irl,0,1992
irl,0,1993
irl,1,1994
irl,1,1995
irl,1,1996
irl,2,1997
irl,2,1998
irl,2,1999
irl,2,2000
irl,2,2001
irl,2,2002
irl,2,2003
irl,2,2004
irl,2,2005
irl,2,2006
irl,2,2007
isr,1,1990
isr,1,1991
isr,1,1992
isr,1,1993
isr,1,1994
isr,1,1995
isr,2,1996
isr,2,1997
isr,2,1998
isr,2,1999
isr,2,2000
isr,2,2001
isr,2,2002
isr,2,2003
isr,2,2004
isr,2,2005
isr,2,2006
isr,3,2007
ita,50,1990
ita,48,1991
ita,46,1992
ita,43,1993
ita,42,1994
ita,40,1995
ita,53,1996
ita,51,1997
ita,33,1998
ita,34,1999
ita,36,2000
ita,32,2001
ita,33,2002
ita,31,2003
ita,31,2004
ita,31,2005
ita,31,2006
ita,43,2007
jam,2,1990
jam,3,1991
jam,4,1992
jam,5,1993
jam,6,1994
jam,7,1995
jam,6,1996
jam,6,1997
jam,7,1998
jam,7,1999
jam,7,2000
jam,8,2001
jam,9,2002
jam,9,2003
jam,9,2004
jam,11,2005
jam,11,2006
jam,11,2007
jpn,10,1990
jpn,11,1991
jpn,12,1992
jpn,12,1993
jpn,13,1994
jpn,13,1995
jpn,14,1996
jpn,15,1997
jpn,16,1998
jpn,16,1999
jpn,16,2000
jpn,15,2001
jpn,15,2002
jpn,14,2003
jpn,14,2004
jpn,16,2005
jpn,15,2006
jpn,14,2007
jor,0,1990
jor,0,1991
jor,0,1992
jor,0,1993
jor,0,1994
jor,0,1995
jor,0,1996
jor,0,1997
jor,0,1998
jor,0,1999
jor,0,2000
jor,0,2001
jor,0,2002
jor,0,2003
jor,0,2004
jor,0,2005
kaz,0,1990
kaz,0,1991
kaz,1,1992
kaz,1,1993
kaz,1,1994
kaz,2,1995
kaz,3,1996
kaz,7,1997
kaz,11,1998
kaz,14,1999
kaz,19,2000
kaz,29,2001
kaz,39,2002
kaz,57,2003
kaz,70,2004
kaz,81,2005
kaz,92,2006
kaz,100,2007
ken,3343,1990
ken,4126,1991
ken,5644,1992
ken,7478,1993
ken,9709,1994
ken,12560,1995
ken,14800,1996
ken,18250,1997
ken,20990,1998
ken,23430,1999
ken,26350,2000
ken,24390,2001
ken,23980,2002
ken,23250,2003
ken,22670,2004
ken,20830,2005
ken,16600,2006
ken,14590,2007
kgz,0,1990
kgz,0,1991
kgz,0,1992
kgz,0,1993
kgz,0,1994
kgz,0,1995
kgz,0,1996
kgz,1,1997
kgz,2,1998
kgz,4,1999
kgz,6,2000
kgz,10,2001
kgz,15,2002
kgz,19,2003
kgz,24,2004
kgz,29,2005
kgz,32,2006
kgz,35,2007
lao,0,1990
lao,1,1991
lao,2,1992
lao,2,1993
lao,3,1994
lao,4,1995
lao,5,1996
lao,7,1997
lao,10,1998
lao,13,1999
lao,18,2000
lao,24,2001
lao,31,2002
lao,41,2003
lao,52,2004
lao,64,2005
lao,80,2006
lao,99,2007
lva,0,1990
lva,0,1991
lva,0,1992
lva,0,1993
lva,0,1994
lva,0,1995
lva,0,1996
lva,1,1997
lva,1,1998
lva,3,1999
lva,5,2000
lva,7,2001
lva,10,2002
lva,12,2003
lva,13,2004
lva,13,2005
lva,13,2006
lva,12,2007
lbn,3,1990
lbn,3,1991
lbn,3,1992
lbn,4,1993
lbn,5,1994
lbn,5,1995
lbn,6,1996
lbn,5,1997
lbn,5,1998
lbn,5,1999
lbn,5,2000
lbn,4,2001
lbn,4,2002
lbn,4,2003
lbn,4,2004
lbn,4,2005
lbn,4,2006
lbn,4,2007
lso,45,1990
lso,92,1991
lso,169,1992
lso,283,1993
lso,420,1994
lso,551,1995
lso,641,1996
lso,565,1997
lso,813,1998
lso,3468,1999
lso,1128,2000
lso,1195,2001
lso,1394,2002
lso,1374,2003
lso,1507,2004
lso,1927,2005
lso,1346,2006
lso,4542,2007
lbr,124,1990
lbr,171,1991
lbr,221,1992
lbr,269,1993
lbr,315,1994
lbr,360,1995
lbr,381,1996
lbr,438,1997
lbr,457,1998
lbr,508,1999
lbr,581,2000
lbr,600,2001
lbr,545,2002
lbr,624,2003
lbr,566,2004
lbr,685,2005
lbr,711,2006
lbr,796,2007
lby,0,1990
lby,0,1991
lby,0,1992
lby,0,1993
lby,0,1994
lby,0,1995
lby,0,1996
lby,0,1997
lby,1,1998
lby,0,1999
lby,0,2000
lby,1,2001
lby,1,2002
lby,1,2003
lby,1,2004
lby,1,2005
ltu,0,1990
ltu,0,1991
ltu,0,1992
ltu,0,1993
ltu,0,1994
ltu,1,1995
ltu,1,1996
ltu,2,1997
ltu,4,1998
ltu,5,1999
ltu,7,2000
ltu,8,2001
ltu,8,2002
ltu,8,2003
ltu,10,2004
ltu,9,2005
ltu,8,2006
ltu,9,2007
lux,0,1990
lux,0,1991
lux,0,1992
lux,0,1993
lux,0,1994
lux,0,1995
lux,0,1996
lux,0,1997
lux,0,1998
lux,0,1999
lux,0,2000
lux,0,2001
lux,0,2002
lux,0,2003
lux,0,2004
lux,0,2005
lux,0,2006
lux,0,2007
mdg,2,1990
mdg,4,1991
mdg,7,1992
mdg,11,1993
mdg,18,1994
mdg,30,1995
mdg,49,1996
mdg,76,1997
mdg,111,1998
mdg,155,1999
mdg,203,2000
mdg,255,2001
mdg,305,2002
mdg,334,2003
mdg,374,2004
mdg,423,2005
mdg,444,2006
mdg,483,2007
mwi,2215,1990
mwi,3601,1991
mwi,5163,1992
mwi,6639,1993
mwi,7880,1994
mwi,8626,1995
mwi,9087,1996
mwi,10020,1997
mwi,10570,1998
mwi,10830,1999
mwi,11880,2000
mwi,11440,2001
mwi,12130,2002
mwi,12040,2003
mwi,11960,2004
mwi,12290,2005
mwi,11870,2006
mwi,11290,2007
mys,39,1990
mys,54,1991
mys,76,1992
mys,106,1993
mys,145,1994
mys,195,1995
mys,262,1996
mys,464,1997
mys,601,1998
mys,754,1999
mys,657,2000
mys,784,2001
mys,903,2002
mys,961,2003
mys,1068,2004
mys,1141,2005
mys,1215,2006
mys,1296,2007
mdv,0,1990
mdv,0,1991
mdv,0,1992
mdv,0,1993
mdv,0,1994
mdv,0,1995
mdv,0,1996
mdv,0,1997
mdv,0,1998
mdv,0,1999
mdv,0,2000
mdv,0,2001
mdv,0,2002
mdv,0,2003
mdv,0,2004
mdv,0,2005
mdv,0,2006
mdv,0,2007
mli,262,1990
mli,370,1991
mli,514,1992
mli,693,1993
mli,905,1994
mli,1142,1995
mli,1401,1996
