geo,tb_with_hivplus_number_of_new_cases_estimated,time
wlf,0,1997
wlf,0,1998
wlf,0,1999
wlf,0,2000
wlf,0,2001
wlf,0,2002
wlf,0,2003
wlf,0,2004
wlf,0,2005
wlf,0,2006
pse,0,1995
pse,0,1996
pse,0,1997
pse,0,1998
pse,0,1999
pse,0,2000
pse,0,2001
pse,0,2002
pse,0,2003
pse,0,2004
pse,0,2005
pse,0,2006
yem,0,1995
yem,0,1996
yem,0,1997
yem,0,1998
yem,0,1999
yem,0,2000
yem,0,2001
yem,0,2002
yem,0,2003
yem,0,2004
yem,0,2005
yem,0,2006
zmb,12780,1990
zmb,17560,1991
zmb,22850,1992
zmb,27300,1993
zmb,31060,1994
zmb,34380,1995
zmb,36580,1996
zmb,39000,1997
zmb,40500,1998
zmb,42870,1999
zmb,43680,2000
zmb,46390,2001
zmb,47590,2002
zmb,50010,2003
zmb,48580,2004
zmb,46680,2005
zmb,44280,2006
zmb,41950,2007
zwe,20730,1990
zwe,25710,1991
zwe,30000,1992
zwe,34460,1993
zwe,38780,1994
zwe,43200,1995
zwe,47110,1996
zwe,51840,1997
zwe,56920,1998
zwe,62420,1999
zwe,68420,2000
zwe,74010,2001
zwe,78710,2002
zwe,81340,2003
zwe,81140,2004
zwe,78920,2005
zwe,75480,2006
zwe,71960,2007
