geo,forest_coverage_percent,time
cyp,17.42,1990
cyp,18.72,2000
cyp,18.83,2005
geo,39.72,1990
geo,39.72,2000
geo,39.72,2005
irn,6.77,1990
irn,6.77,2000
irn,6.77,2005
irq,1.84,1990
irq,1.87,2000
irq,1.88,2005
isr,7.09,1990
isr,7.55,2000
isr,7.88,2005
jor,0.93,1990
jor,0.93,2000
jor,0.93,2005
kaz,1.27,1990
kaz,1.25,2000
kaz,1.24,2005
kwt,0.17,1990
kwt,0.28,2000
kwt,0.34,2005
kgz,4.36,1990
kgz,4.47,2000
kgz,4.53,2005
lbn,11.83,1990
lbn,12.81,2000
lbn,13.29,2005
pse,0.03,1990
pse,0.03,2000
pse,0.03,2005
omn,0.33,1990
omn,0.33,2000
omn,0.33,2005
sau,1.27,1990
sau,1.27,2000
sau,1.27,2005
syr,2.02,1990
syr,2.35,2000
syr,2.51,2005
tjk,2.9,1990
tjk,2.92,2000
tjk,2.92,2005
tur,12.58,1990
tur,13.06,2000
tur,13.22,2005
tkm,8.78,1990
tkm,8.78,2000
tkm,8.78,2005
are,2.93,1990
are,3.71,2000
are,3.73,2005
uzb,7.35,1990
uzb,7.75,2000
uzb,7.95,2005
yem,1.04,1990
yem,1.04,2000
yem,1.04,2005
alb,28.8,1990
alb,28.07,2000
alb,28.98,2005
and,33.33,1990
and,33.33,2000
and,33.33,2005
aut,45.64,1990
aut,46.39,2000
aut,46.68,2005
blr,35.55,1990
blr,37.83,2000
blr,38.05,2005
bel,22.36,1990
bel,22.03,2000
bel,22.03,2005
bih,43.16,1990
bih,42.68,2000
bih,42.68,2005
bgr,30.07,1990
bgr,30.51,2000
bgr,32.77,2005
chanisl,5.26,1990
chanisl,5.26,2000
chanisl,5.26,2005
hrv,37.84,1990
hrv,38.07,2000
hrv,38.18,2005
cze,34.03,1990
cze,34.12,2000
cze,34.27,2005
dnk,10.49,1990
dnk,11.45,2000
dnk,11.78,2005
est,51.03,1990
est,52.91,2000
est,53.88,2005
fin,72.87,1990
fin,73.79,2000
fin,73.87,2005
fra,26.43,1990
fra,27.91,2000
fra,28.27,2005
deu,30.78,1990
deu,31.74,2000
deu,31.74,2005
grc,25.59,1990
grc,27.94,2000
grc,29.11,2005
hun,19.55,1990
hun,20.71,2000
hun,21.45,2005
isl,0.25,1990
isl,0.38,2000
isl,0.46,2005
irl,6.4,1990
irl,8.84,2000
irl,9.71,2005
gbm,5.26,1990
gbm,5.26,2000
gbm,5.26,2005
ita,28.5,1990
ita,32.12,2000
ita,33.93,2005
lva,44.72,1990
lva,46.49,2000
lva,47.4,2005
lie,37.5,1990
lie,43.75,2000
lie,43.75,2005
ltu,31.03,1990
ltu,32.23,2000
ltu,33.49,2005
lux,33.2,1990
lux,33.59,2000
lux,33.59,2005
nld,10.18,1990
nld,10.63,2000
nld,10.77,2005
nor,29.81,1990
