agriculture_percent_of_gdp,geo,time
26.83,bwa,1976
24.9,bwa,1977
20.6,bwa,1978
16.49,bwa,1979
14.69,bwa,1980
14.27,bwa,1981
11.67,bwa,1982
9.012,bwa,1983
7.653,bwa,1984
6.386,bwa,1985
5.688,bwa,1986
6.699,bwa,1987
5.961,bwa,1988
4.967,bwa,1989
4.853,bwa,1990
4.818,bwa,1991
5.205,bwa,1992
5.009,bwa,1993
4.427,bwa,1994
4.365,bwa,1995
4.005,bwa,1996
3.675,bwa,1997
3.31,bwa,1998
2.816,bwa,1999
2.699,bwa,2000
2.259,bwa,2001
2.007,bwa,2002
2.455,bwa,2003
2.031,bwa,2004
1.819,bwa,2005
1.83,bwa,2006
2.034,bwa,2007
1.984,bwa,2008
2.952,bwa,2009
2.471,bwa,2010
2.465,bwa,2011
19.5,bra,1961
17.35,bra,1962
16.79,bra,1963
17.29,bra,1964
18.71,bra,1965
15.69,bra,1966
15.11,bra,1967
14.05,bra,1968
13.22,bra,1969
12.35,bra,1970
12.86,bra,1971
12.99,bra,1972
13.36,bra,1973
12.92,bra,1974
12.1,bra,1975
13.0,bra,1976
14.67,bra,1977
11.61,bra,1978
11.02,bra,1979
11.01,bra,1980
10.74,bra,1981
8.968,bra,1982
10.94,bra,1983
11.46,bra,1984
11.54,bra,1985
11.16,bra,1986
10.01,bra,1987
10.12,bra,1988
8.519,bra,1989
8.1,bra,1990
7.79,bra,1991
7.72,bra,1992
7.56,bra,1993
9.85,bra,1994
5.771,bra,1995
5.514,bra,1996
5.396,bra,1997
5.525,bra,1998
5.473,bra,1999
5.603,bra,2000
5.973,bra,2001
6.618,bra,2002
7.386,bra,2003
6.913,bra,2004
5.708,bra,2005
5.467,bra,2006
5.563,bra,2007
5.914,bra,2008
5.627,bra,2009
5.304,bra,2010
5.456,bra,2011
1.338,brn,1974
1.336,brn,1975
1.109,brn,1976
1.017,brn,1977
1.087,brn,1978
0.9021,brn,1979
0.6349,brn,1980
0.6938,brn,1981
0.8438,brn,1982
0.9847,brn,1983
1.066,brn,1984
1.213,brn,1985
1.928,brn,1986
1.931,brn,1987
