geo,education_aid_given_percent_of_aid,time
nld,16.92,2001
nld,17.97,2002
nld,17.97,2003
nld,18.83,2004
nld,21.49,2005
nld,29.15,2006
nld,21.84,2007
nzl,19.54,1973
nzl,20.86,1974
nzl,5.146,1975
nzl,8.89,1976
nzl,28.68,1977
nzl,22.7,1978
nzl,16.51,1979
nzl,19.17,1980
nzl,18.97,1981
nzl,17.28,1982
nzl,19.37,1983
nzl,15.22,1984
nzl,12.96,1985
nzl,46.77,1987
nzl,67.56,1988
nzl,15.27,1990
nzl,59.07,1991
nzl,47.62,1992
nzl,50.84,1993
nzl,49.87,1994
nzl,49.87,1995
nzl,58.17,1998
nzl,48.31,1999
nzl,50.77,2000
nzl,48.52,2001
nzl,44.74,2002
nzl,39.51,2003
nzl,40.72,2004
nzl,34.49,2005
nzl,34.44,2006
nzl,32.43,2007
nor,54.67,1971
nor,48.75,1972
nor,32.38,1973
nor,9.706,1974
nor,5.742,1975
nor,7.04,1976
nor,13.32,1977
nor,5.889,1978
nor,5.506,1979
nor,2.837,1980
nor,2.597,1981
nor,2.452,1982
nor,8.722,1983
nor,7.522,1984
nor,10.72,1985
nor,8.85,1986
nor,11.98,1987
nor,3.094,1988
nor,14.25,1989
nor,7.561,1990
nor,8.219,1991
nor,7.255,1992
nor,3.967,1993
nor,4.307,1994
nor,4.476,1995
nor,10.99,1996
nor,14.62,1997
nor,9.296,1998
nor,15.42,1999
nor,9.968,2000
nor,9.737,2001
nor,14.09,2002
nor,14.47,2003
nor,14.74,2004
nor,14.17,2005
nor,13.19,2006
nor,13.35,2007
prt,60.1,1992
prt,42.03,1994
prt,47.83,1995
prt,41.05,1996
prt,36.01,1997
prt,18.41,1998
prt,14.65,1999
prt,18.76,2000
prt,22.67,2001
prt,22.16,2002
prt,39.23,2003
prt,39.96,2004
prt,35.7,2005
prt,35.41,2006
prt,28.17,2007
esp,6.812,1991
esp,5.299,1992
esp,9.408,1993
esp,12.4,1994
esp,10.58,1995
esp,12.51,1996
esp,16.7,1997
esp,15.75,1998
esp,21.29,1999
esp,33.29,2000
esp,18.2,2001
esp,17.18,2002
esp,15.44,2003
esp,11.43,2004
esp,19.13,2005
esp,15.65,2006
esp,14.07,2007
swe,32.61,1971
swe,23.41,1972
swe,14.98,1973
swe,13.67,1974
swe,20.71,1975
swe,18.14,1976
swe,16.68,1977
swe,21.16,1978
swe,16.99,1979
swe,6.755,1980
swe,16.49,1981
swe,16.61,1982
swe,17.47,1983
swe,12.35,1984
swe,11.48,1985
swe,15.77,1986
swe,13.05,1987
swe,14.6,1988
swe,6.456,1989
swe,8.703,1990
swe,14.17,1991
swe,7.631,1992
swe,9.684,1993
swe,10.97,1994
swe,13.26,1995
swe,11.67,1996
swe,13.61,1997
swe,10.43,1998
swe,11.0,1999
swe,9.026,2000
swe,6.193,2001
swe,10.58,2002
swe,9.867,2003
swe,10.77,2004
swe,8.932,2005
swe,8.454,2006
swe,5.403,2007
che,47.04,1971
che,46.0,1972
che,12.03,1973
che,15.01,1974
che,8.7,1975
che,11.48,1976
che,14.56,1977
che,19.49,1978
che,14.74,1979
che,13.05,1980
che,12.76,1981
che,11.9,1982
che,12.35,1983
che,11.36,1984
che,16.65,1985
che,4.996,1986
che,13.36,1987
che,12.64,1988
che,16.79,1989
che,16.19,1990
che,11.73,1991
che,13.21,1992
che,15.23,1993
che,9.958,1994
che,10.21,1995
che,7.455,1996
che,8.412,1998
che,6.607,1999
che,8.004,2000
che,7.128,2001
che,7.421,2002
