tax_revenue_percent_of_gdp,geo,time
22.22,blr,2006
23.73,blr,2007
25.35,blr,2008
19.26,blr,2009
17.07,blr,2010
25.43,bel,1995
25.93,bel,1996
26.48,bel,1997
27.1,bel,1998
27.08,bel,1999
27.33,bel,2000
26.94,bel,2001
25.94,bel,2002
25.31,bel,2003
25.89,bel,2004
26.01,bel,2005
25.72,bel,2006
25.05,bel,2007
25.36,bel,2008
23.94,bel,2009
24.61,bel,2010
21.41,blz,1990
20.71,blz,1991
19.94,blz,1992
19.53,blz,1993
19.92,blz,1994
18.76,blz,1995
19.54,blz,1996
19.21,blz,1997
15.47,ben,2001
15.68,ben,2002
15.66,ben,2003
16.35,ben,2004
15.47,ben,2005
15.96,ben,2006
17.25,ben,2008
16.15,ben,2009
16.19,ben,2010
4.704,btn,1990
5.084,btn,1991
5.313,btn,1992
6.452,btn,1993
6.336,btn,1994
6.994,btn,1995
7.917,btn,1996
6.979,btn,1997
8.492,btn,1998
7.41,btn,1999
10.28,btn,2000
8.914,btn,2001
9.792,btn,2002
9.534,btn,2003
7.82,btn,2004
8.347,btn,2005
9.031,btn,2006
7.519,btn,2007
8.421,btn,2008
9.235,btn,2009
13.18,bol,2002
12.97,bol,2003
15.02,bol,2004
16.22,bol,2005
16.82,bol,2006
16.96,bol,2007
19.76,bih,2003
19.03,bih,2004
20.73,bih,2005
22.77,bih,2006
22.15,bih,2007
20.96,bih,2008
19.57,bih,2009
20.39,bih,2010
27.5,bwa,1990
25.56,bwa,1991
27.85,bwa,1992
23.68,bwa,1993
19.55,bwa,1994
16.62,bwa,1995
15.09,bwa,1996
12.01,bra,1990
9.53,bra,1991
9.734,bra,1992
10.5,bra,1993
11.9,bra,1994
10.34,bra,1997
12.23,bra,1998
13.45,bra,1999
14.0,bra,2000
14.71,bra,2001
15.84,bra,2002
15.41,bra,2003
15.88,bra,2004
16.71,bra,2005
16.46,bra,2006
16.81,bra,2007
16.72,bra,2008
15.64,bra,2009
23.83,bgr,1990
22.33,bgr,1991
16.9,bgr,1992
15.21,bgr,1993
21.24,bgr,1994
20.07,bgr,1995
19.36,bgr,1996
18.52,bgr,1997
18.11,bgr,1998
17.53,bgr,1999
17.88,bgr,2000
17.11,bgr,2001
16.39,bgr,2002
18.23,bgr,2003
21.28,bgr,2004
21.61,bgr,2005
22.5,bgr,2006
23.13,bgr,2007
23.27,bgr,2008
21.02,bgr,2009
10.59,bfa,2002
10.92,bfa,2003
12.03,bfa,2004
11.83,bfa,2005
12.22,bfa,2006
12.69,bfa,2007
12.34,bfa,2008
12.87,bfa,2009
12.95,bfa,2010
15.14,bdi,1991
15.12,bdi,1992
14.93,bdi,1993
15.62,bdi,1994
16.68,bdi,1995
13.44,bdi,1996
11.42,bdi,1997
14.35,bdi,1998
13.6,bdi,1999
8.173,khm,2002
7.538,khm,2003
8.117,khm,2004
7.893,khm,2005
8.179,khm,2006
9.697,khm,2007
10.56,khm,2008
9.669,khm,2009
10.12,khm,2010
9.767,cmr,1990
8.905,cmr,1991
9.754,cmr,1992
8.358,cmr,1993
7.28,cmr,1994
8.601,cmr,1995
11.15,cmr,1998
11.2,cmr,1999
14.71,can,1991
14.65,can,1992
14.0,can,1993
13.39,can,1994
13.62,can,1995
14.24,can,1996
14.94,can,1997
15.05,can,1998
15.06,can,1999
15.24,can,2000
14.62,can,2001
13.82,can,2002
13.65,can,2003
13.78,can,2004
13.73,can,2005
13.75,can,2006
13.71,can,2007
12.79,can,2008
12.4,can,2009
11.93,can,2010
21.08,cpv,2005
22.74,cpv,2006
23.78,cpv,2007
24.56,cpv,2008
19.95,cpv,2009
6.214,caf,2004
16.72,chl,2000
16.6,chl,2001
16.8,chl,2002
16.31,chl,2003
17.01,chl,2004
18.74,chl,2005
20.56,chl,2006
21.4,chl,2007
19.69,chl,2008
15.56,chl,2009
17.83,chl,2010
3.932,chn,1990
3.609,chn,1991
3.252,chn,1992
2.497,chn,1993
5.551,chn,1994
5.019,chn,1995
4.704,chn,1996
5.329,chn,1997
5.661,chn,1998
6.186,chn,1999
6.816,chn,2000
7.402,chn,2001
8.503,chn,2002
8.539,chn,2003
8.861,chn,2004
8.68,chn,2005
9.188,chn,2006
9.929,chn,2007
10.27,chn,2008
10.54,chn,2009
11.03,col,2001
9.854,col,2002
11.23,col,2003
10.53,col,2004
12.81,col,2005
11.83,col,2006
13.6,col,2007
12.32,col,2008
11.83,col,2009
11.5,col,2010
9.291,cod,1990
4.389,cod,1991
2.734,cod,1992
3.408,cod,1993
2.651,cod,1994
4.932,cod,1995
4.76,cod,1996
4.054,cod,1997
5.35,cod,1998
3.46,cod,1999
3.457,cod,2000
4.364,cod,2001
6.667,cod,2002
6.368,cod,2003
8.345,cod,2004
9.972,cod,2005
11.55,cod,2006
11.75,cod,2007
15.21,cod,2008
13.14,cod,2009
13.7,cod,2010
14.7,cog,1992
11.74,cog,1993
8.276,cog,1994
11.24,cog,1995
11.13,cog,1996
7.618,cog,1997
10.9,cog,1998
7.771,cog,1999
5.935,cog,2000
9.216,cog,2001
8.361,cog,2002
8.703,cog,2003
7.849,cog,2004
6.243,cog,2005
15.72,cri,2008
13.86,cri,2009
14.91,civ,2003
15.18,civ,2004
9.77,civ,2005
15.02,civ,2006
15.48,civ,2007
15.57,civ,2008
16.56,civ,2009
14.89,hrv,1991
19.73,hrv,1992
21.55,hrv,1993
26.87,hrv,1994
23.13,hrv,1995
22.98,hrv,1996
22.1,hrv,1997
25.32,hrv,1998
23.35,hrv,1999
22.42,hrv,2000
21.06,hrv,2001
21.63,hrv,2002
20.93,hrv,2003
20.14,hrv,2004
20.04,hrv,2005
20.09,hrv,2006
20.18,hrv,2007
20.17,hrv,2008
19.0,hrv,2009
18.79,hrv,2010
33.83,cyp,1995
32.66,cyp,1996
31.36,cyp,1997
34.75,cyp,1998
35.71,cyp,1999
39.32,cyp,2000
40.46,cyp,2001
41.15,cyp,2002
43.66,cyp,2003
42.82,cyp,2004
45.44,cyp,2005
47.71,cyp,2006
55.71,cyp,2007
52.39,cyp,2008
25.77,cyp,2009
22.29,cze,1993
19.39,cze,1994
17.09,cze,1995
16.44,cze,1996
15.89,cze,1997
15.34,cze,1998
15.85,cze,1999
15.44,cze,2000
15.91,cze,2001
15.76,cze,2002
16.15,cze,2003
15.7,cze,2004
15.56,cze,2005
14.66,cze,2006
15.18,cze,2007
14.83,cze,2008
13.46,cze,2009
13.93,cze,2010
31.91,dnk,1995
32.19,dnk,1996
31.86,dnk,1997
31.84,dnk,1998
31.91,dnk,1999
30.82,dnk,2000
29.55,dnk,2001
29.42,dnk,2002
29.49,dnk,2003
30.79,dnk,2004
32.61,dnk,2005
31.58,dnk,2006
35.77,dnk,2007
34.73,dnk,2008
34.31,dnk,2009
12.89,dom,2004
14.55,dom,2005
14.84,dom,2006
15.91,dom,2007
14.93,dom,2008
13.07,dom,2009
14.1,ecu,1990
16.24,ecu,1991
25.2,ecu,1992
27.71,ecu,1993
27.25,ecu,1994
13.19,egy,1990
14.9,egy,1991
18.48,egy,1992
18.76,egy,1993
19.05,egy,1994
17.62,egy,1995
17.46,egy,1996
15.96,egy,1997
13.41,egy,2002
13.35,egy,2003
13.84,egy,2004
14.07,egy,2005
15.83,egy,2006
15.35,egy,2007
15.32,egy,2008
15.66,egy,2009
14.13,egy,2010
10.71,slv,2002
11.16,slv,2003
10.99,slv,2004
12.48,slv,2005
13.52,slv,2006
14.17,slv,2007
14.32,slv,2008
12.76,slv,2009
13.75,slv,2010
19.24,est,1995
22.17,est,1996
18.29,est,1997
17.96,est,1998
16.63,est,1999
15.77,est,2000
15.48,est,2001
16.03,est,2002
16.19,est,2003
15.96,est,2004
16.06,est,2005
16.17,est,2006
16.63,est,2007
15.09,est,2008
17.42,est,2009
8.705,eth,1990
7.508,eth,1991
5.644,eth,1992
5.957,eth,1993
7.737,eth,1994
8.494,eth,1995
9.021,eth,1996
10.17,eth,1997
10.91,eth,1998
10.71,eth,1999
8.146,eth,2001
9.784,eth,2002
9.187,eth,2003
9.755,eth,2004
8.791,eth,2005
22.76,fji,1990
21.87,fji,1991
21.6,fji,1992
21.41,fji,1993
21.5,fji,1994
22.21,fji,1995
21.2,fji,1996
22.19,fji,2004
21.35,fji,2005
23.19,fji,2006
20.74,fin,1995
22.12,fin,1996
22.9,fin,1997
23.06,fin,1998
22.84,fin,1999
24.65,fin,2000
22.41,fin,2001
22.97,fin,2002
22.74,fin,2003
22.55,fin,2004
22.59,fin,2005
22.1,fin,2006
21.66,fin,2007
21.22,fin,2008
18.77,fra,1995
19.9,fra,1996
20.67,fra,1997
22.67,fra,1998
23.41,fra,1999
23.19,fra,2000
22.98,fra,2001
22.46,fra,2002
22.13,fra,2003
22.28,fra,2004
22.42,fra,2005
22.54,fra,2006
21.88,fra,2007
21.67,fra,2008
19.8,fra,2009
18.2,gmb,1990
8.334,geo,1997
7.242,geo,1998
7.903,geo,1999
7.652,geo,2000
7.352,geo,2001
7.617,geo,2002
7.033,geo,2003
9.927,geo,2004
12.11,geo,2005
15.45,geo,2006
17.72,geo,2007
23.81,geo,2008
23.14,geo,2009
22.09,geo,2010
11.07,deu,1995
10.83,deu,1996
10.73,deu,1997
10.96,deu,1998
11.74,deu,1999
11.98,deu,2000
11.32,deu,2001
11.31,deu,2002
11.45,deu,2003
10.94,deu,2004
11.14,deu,2005
11.35,deu,2006
11.81,deu,2007
11.86,deu,2008
12.16,deu,2009
11.44,gha,1990
13.16,gha,1991
10.77,gha,1992
13.15,gha,1993
17.19,gha,2001
17.49,gha,2002
18.48,gha,2003
21.75,gha,2004
21.32,gha,2005
12.81,gha,2006
13.88,gha,2007
13.9,gha,2008
12.61,gha,2009
18.93,grc,1995
18.95,grc,1996
19.92,grc,1997
21.51,grc,1998
22.52,grc,1999
23.46,grc,2000
22.01,grc,2001
21.61,grc,2002
19.96,grc,2003
19.77,grc,2004
20.34,grc,2005
20.41,grc,2006
20.75,grc,2007
20.36,grc,2008
19.61,grc,2009
23.05,grd,1991
21.72,grd,1992
23.52,grd,1993
22.34,grd,1994
23.08,grd,1995
6.865,gtm,1990
7.326,gtm,1991
8.314,gtm,1992
7.82,gtm,1993
6.765,gtm,1994
7.715,gtm,1995
8.53,gtm,1996
8.698,gtm,1997
9.372,gtm,1998
10.25,gtm,1999
10.06,gtm,2000
10.86,gtm,2001
11.88,gtm,2002
11.67,gtm,2003
11.55,gtm,2004
11.21,gtm,2005
11.86,gtm,2006
12.06,gtm,2007
11.27,gtm,2008
10.35,gtm,2009
10.45,gin,1998
11.13,gin,1999
13.75,hnd,2003
14.5,hnd,2004
14.53,hnd,2005
15.24,hnd,2006
16.39,hnd,2007
16.13,hnd,2008
14.57,hnd,2009
14.84,hnd,2010
9.095,hkg,2002
10.6,hkg,2003
12.04,hkg,2004
12.66,hkg,2005
12.72,hkg,2006
14.24,hkg,2007
12.95,hkg,2008
12.78,hkg,2009
23.49,hun,1995
23.15,hun,1996
21.13,hun,1997
20.99,hun,1998
22.01,hun,1999
22.64,hun,2000
21.71,hun,2001
21.16,hun,2002
21.05,hun,2003
20.7,hun,2004
20.28,hun,2005
20.14,hun,2006
21.84,hun,2007
23.67,hun,2008
23.93,hun,2009
24.57,isl,1998
26.57,isl,1999
26.05,isl,2000
23.66,isl,2001
23.64,isl,2002
24.67,isl,2003
25.84,isl,2004
28.11,isl,2005
28.07,isl,2006
27.31,isl,2007
24.3,isl,2008
21.46,isl,2009
21.86,isl,2010
10.11,ind,1990
10.29,ind,1991
9.917,ind,1992
8.636,ind,1993
9.086,ind,1994
9.333,ind,1995
9.34,ind,1996
9.116,ind,1997
8.211,ind,1998
8.799,ind,1999
8.968,ind,2000
8.208,ind,2001
8.811,ind,2002
9.233,ind,2003
9.406,ind,2004
9.916,ind,2005
11.03,ind,2006
11.9,ind,2007
10.84,ind,2008
9.663,ind,2009
9.479,ind,2010
15.64,idn,1991
15.76,idn,1992
14.36,idn,1993
15.56,idn,1994
14.02,idn,1995
14.05,idn,1996
16.0,idn,1997
14.97,idn,1998
15.48,idn,1999
11.58,idn,2001
11.83,idn,2002
12.39,idn,2003
12.33,idn,2004
12.5,idn,2005
12.25,idn,2006
12.43,idn,2007
13.04,idn,2008
11.44,idn,2009
10.89,idn,2010
5.994,irn,1990
6.659,irn,1991
7.441,irn,1992
4.095,irn,1993
4.678,irn,1994
6.604,irn,1995
8.653,irn,1996
10.99,irn,1997
9.286,irn,1998
9.059,irn,1999
6.342,irn,2000
6.316,irn,2001
5.518,irn,2002
5.898,irn,2003
6.049,irn,2004
7.852,irn,2005
7.429,irn,2006
7.262,irn,2007
7.557,irn,2008
9.257,irn,2009
26.24,irl,1995
26.87,irl,1996
26.64,irl,1997
26.08,irl,1998
26.25,irl,1999
25.77,irl,2000
23.93,irl,2001
23.02,irl,2002
23.46,irl,2003
24.55,irl,2004
24.92,irl,2005
26.28,irl,2006
25.45,irl,2007
23.3,irl,2008
21.16,irl,2009
28.74,isr,2000
28.4,isr,2001
27.63,isr,2002
26.7,isr,2003
26.57,isr,2004
26.93,isr,2005
27.58,isr,2006
27.92,isr,2007
25.41,isr,2008
23.19,isr,2009
24.31,isr,2010
23.55,ita,1995
23.4,ita,1996
25.08,ita,1997
23.91,ita,1998
24.43,ita,1999
23.07,ita,2000
22.7,ita,2001
21.96,ita,2002
21.99,ita,2003
21.48,ita,2004
21.11,ita,2005
22.62,ita,2006
22.9,ita,2007
22.39,ita,2008
22.88,ita,2009
24.55,jam,2003
25.22,jam,2004
25.54,jam,2005
26.01,jam,2006
26.89,jam,2007
26.23,jam,2008
21.0,jam,2009
10.92,jpn,2006
10.42,jpn,2007
9.226,jpn,2008
8.704,jpn,2009
18.63,jor,1990
18.6,jor,1991
22.97,jor,1992
20.92,jor,1993
19.99,jor,1994
20.71,jor,1995
21.69,jor,1996
19.05,jor,1997
18.12,jor,1998
18.11,jor,1999
18.99,jor,2000
18.67,jor,2001
17.48,jor,2002
18.21,jor,2003
21.0,jor,2004
24.42,jor,2005
23.63,jor,2006
23.78,jor,2007
17.12,jor,2008
16.17,jor,2009
15.29,jor,2010
6.787,kaz,1997
7.295,kaz,1998
7.745,kaz,1999
10.22,kaz,2000
9.642,kaz,2001
12.13,kaz,2002
13.08,kaz,2003
13.91,kaz,2004
17.15,kaz,2005
14.85,kaz,2006
12.28,kaz,2007
12.66,kaz,2008
8.055,kaz,2009
8.939,kaz,2010
17.62,ken,1991
18.41,ken,1992
14.97,ken,1993
14.94,ken,1994
20.49,ken,1995
15.85,ken,1996
16.06,ken,1997
15.06,ken,1998
16.15,ken,1999
16.83,ken,2000
17.83,ken,2001
17.29,ken,2002
15.77,ken,2003
16.97,ken,2004
18.67,ken,2005
17.38,ken,2006
17.79,ken,2007
18.78,ken,2008
18.82,ken,2009
19.55,ken,2010
14.42,kor,1990
13.45,kor,1991
13.72,kor,1992
13.55,kor,1993
13.89,kor,1994
14.23,kor,1995
14.48,kor,1996
14.24,kor,1997
14.0,kor,1998
14.29,kor,1999
15.41,kor,2000
14.71,kor,2001
14.43,kor,2002
14.95,kor,2003
14.25,kor,2004
14.73,kor,2005
15.19,kor,2006
16.56,kor,2007
16.3,kor,2008
15.45,kor,2009
15.15,kor,2010
1.545,kwt,1990
0.2556,kwt,1991
0.08581,kwt,1992
1.093,kwt,1993
1.423,kwt,1994
1.146,kwt,1995
0.9651,kwt,1996
1.173,kwt,1997
1.492,kwt,1998
1.037,kwt,2001
1.182,kwt,2002
1.325,kwt,2003
1.324,kwt,2004
1.03,kwt,2005
0.9705,kwt,2006
1.087,kwt,2007
0.8677,kwt,2008
0.9397,kwt,2009
14.86,kgz,1993
14.68,kgz,1994
15.06,kgz,1995
12.59,kgz,1996
12.51,kgz,1997
14.23,kgz,1998
12.21,kgz,1999
11.74,kgz,2000
12.44,kgz,2001
14.22,kgz,2006
16.4,kgz,2007
16.51,kgz,2008
15.04,kgz,2009
15.61,kgz,2010
10.38,lao,2006
11.49,lao,2007
12.03,lao,2008
12.6,lao,2009
12.73,lao,2010
15.14,lva,1994
13.22,lva,1995
14.11,lva,1996
16.67,lva,1997
17.11,lva,1998
15.51,lva,1999
14.16,lva,2000
13.74,lva,2001
13.73,lva,2002
14.1,lva,2003
13.61,lva,2004
15.05,lva,2005
15.87,lva,2006
15.64,lva,2007
15.01,lva,2008
13.41,lva,2009
12.77,lva,2010
11.9,lbn,2000
11.88,lbn,2001
14.43,lbn,2002
15.38,lbn,2003
16.03,lbn,2004
14.92,lbn,2005
14.73,lbn,2006
14.81,lbn,2007
15.89,lbn,2008
17.09,lbn,2009
39.89,lso,1990
42.37,lso,1991
43.63,lso,1992
47.64,lso,1993
48.4,lso,1994
47.86,lso,1995
45.4,lso,1996
46.21,lso,1997
38.23,lso,1998
39.35,lso,1999
37.38,lso,2000
40.25,lso,2001
38.27,lso,2002
40.89,lso,2003
46.72,lso,2004
46.19,lso,2005
61.02,lso,2006
56.89,lso,2007
58.86,lso,2008
0.2396,lbr,2005
0.2281,lbr,2006
0.311,lbr,2007
0.319,lbr,2008
14.56,ltu,2000
14.39,ltu,2001
17.29,ltu,2002
17.08,ltu,2003
16.96,ltu,2004
17.26,ltu,2005
17.86,ltu,2006
17.75,ltu,2007
17.38,ltu,2008
13.98,ltu,2009
13.36,ltu,2010
25.5,lux,1999
26.38,lux,2000
25.94,lux,2001
25.37,lux,2002
24.55,lux,2003
24.4,lux,2004
25.25,lux,2005
24.16,lux,2006
24.01,lux,2007
23.67,lux,2008
24.49,lux,2009
24.49,lux,2010
14.19,mac,1996
17.36,mac,1997
15.63,mac,1998
15.71,mac,1999
16.57,mac,2000
17.34,mac,2001
18.2,mac,2002
20.94,mac,2003
22.14,mac,2004
21.71,mac,2005
21.64,mac,2006
26.05,mac,2007
30.71,mac,2008
29.7,mac,2009
34.73,mac,2010
19.26,mkd,2005
18.92,mkd,2006
19.49,mkd,2007
19.09,mkd,2008
11.33,mdg,2000
9.739,mdg,2001
7.67,mdg,2002
10.01,mdg,2003
10.88,mdg,2004
10.11,mdg,2005
10.67,mdg,2006
11.43,mdg,2007
13.0,mdg,2008
19.38,mys,1996
19.75,mys,1997
16.73,mys,1998
14.09,mys,1999
13.67,mys,2000
17.79,mys,2001
17.45,mys,2002
15.5,mys,2003
15.2,mys,2004
15.43,mys,2005
15.08,mys,2006
14.82,mys,2007
15.21,mys,2008
15.66,mys,2009
14.3,mys,2010
13.96,mdv,1990
14.61,mdv,1991
14.96,mdv,1992
13.73,mdv,1993
13.0,mdv,1994
13.6,mdv,1995
13.45,mdv,1996
14.45,mdv,1997
14.2,mdv,1998
14.09,mdv,1999
13.8,mdv,2000
10.85,mdv,2001
10.47,mdv,2002
10.63,mdv,2003
12.15,mdv,2004
13.74,mdv,2005
14.44,mdv,2006
15.02,mdv,2007
14.7,mdv,2008
11.9,mdv,2009
13.15,mli,2000
13.95,mli,2001
13.0,mli,2002
13.77,mli,2003
15.29,mli,2004
15.66,mli,2005
15.66,mli,2006
14.88,mli,2007
13.27,mli,2008
14.75,mli,2009
24.88,mlt,2003
26.1,mlt,2004
26.18,mlt,2005
27.29,mlt,2006
28.22,mlt,2007
26.83,mlt,2008
27.64,mlt,2009
26.54,mlt,2010
18.69,mus,2009
18.54,mus,2010
11.78,mex,1990
11.55,mex,1991
11.59,mex,1992
11.26,mex,1993
10.63,mex,1994
10.65,mex,1995
10.79,mex,1996
11.2,mex,1997
10.19,mex,1998
10.74,mex,1999
11.66,mex,2000
12.09,mda,1996
18.28,mda,1997
18.73,mda,1998
15.06,mda,1999
14.73,mda,2000
12.17,mda,2001
12.88,mda,2002
14.67,mda,2003
16.36,mda,2004
18.49,mda,2005
19.57,mda,2006
20.57,mda,2007
20.45,mda,2008
17.69,mda,2009
18.2,mda,2010
11.08,mng,1992
17.52,mng,1993
11.32,mng,1994
9.774,mng,1995
9.602,mng,1996
10.57,mng,1997
8.359,mng,1998
9.806,mng,1999
13.91,mng,2000
14.66,mng,2001
13.37,mng,2002
18.04,mng,2003
28.71,mng,2006
23.48,mng,2007
21.65,mng,2008
16.54,mng,2009
22.72,mng,2010
19.93,mar,2002
19.64,mar,2003
19.87,mar,2004
21.97,mar,2005
22.43,mar,2006
25.12,mar,2007
27.57,mar,2008
23.97,mar,2009
23.43,mar,2010
6.198,mmr,1990
5.61,mmr,1991
5.037,mmr,1992
4.728,mmr,1993
4.252,mmr,1994
3.744,mmr,1995
3.959,mmr,1996
4.415,mmr,1997
3.519,mmr,1998
2.753,mmr,1999
2.967,mmr,2000
2.257,mmr,2001
2.001,mmr,2002
2.21,mmr,2003
3.272,mmr,2004
3.882,mmr,2005
27.31,nam,1990
32.41,nam,1991
30.34,nam,1992
29.84,nam,1993
27.16,nam,1994
28.41,nam,1995
27.41,nam,1996
30.48,nam,1997
29.28,nam,1998
31.9,nam,1999
27.53,nam,2000
26.4,nam,2001
25.98,nam,2002
23.18,nam,2003
24.29,nam,2004
25.76,nam,2005
29.15,nam,2006
27.33,nam,2007
6.997,npl,1990
6.62,npl,1991
6.483,npl,1992
6.655,npl,1993
7.729,npl,1994
8.986,npl,1995
8.72,npl,1996
8.724,npl,1997
8.639,npl,1998
8.423,npl,1999
8.736,npl,2000
8.803,npl,2001
8.561,npl,2002
8.652,npl,2003
8.975,npl,2004
9.179,npl,2005
8.78,npl,2006
9.772,npl,2007
10.44,npl,2008
11.85,npl,2009
13.34,npl,2010
21.91,nld,1995
22.67,nld,1996
22.22,nld,1997
22.17,nld,1998
22.63,nld,1999
22.33,nld,2000
22.59,nld,2001
22.52,nld,2002
21.64,nld,2003
21.63,nld,2004
22.64,nld,2005
23.19,nld,2006
23.38,nld,2007
22.84,nld,2008
22.63,nld,2009
29.1,nzl,2001
28.71,nzl,2002
29.76,nzl,2003
29.74,nzl,2004
30.76,nzl,2005
32.62,nzl,2006
30.84,nzl,2007
26.27,nic,1990
18.24,nic,1991
19.85,nic,1992
18.98,nic,1993
11.67,nic,1994
12.2,nic,1995
12.32,nic,1996
13.74,nic,1997
14.32,nic,1998
13.91,nic,1999
13.81,nic,2000
12.72,nic,2001
13.49,nic,2002
15.21,nic,2003
15.81,nic,2004
16.74,nic,2005
17.7,nic,2006
18.17,nic,2007
17.6,nic,2008
17.55,nic,2009
18.29,nic,2010
10.09,ner,2005
10.7,ner,2006
11.34,ner,2007
0.2304,nga,2004
0.1751,nga,2005
0.1167,nga,2006
0.1954,nga,2007
0.279,nga,2008
27.44,nor,2000
26.88,nor,2001
27.93,nor,2002
26.31,nor,2003
27.81,nor,2004
28.73,nor,2005
29.4,nor,2006
28.8,nor,2007
28.27,nor,2008
26.56,nor,2009
26.88,nor,2010
9.361,omn,1990
7.508,omn,1991
6.993,omn,1992
6.143,omn,1993
7.123,omn,1994
7.426,omn,1995
7.536,omn,1996
8.763,omn,1997
6.795,omn,1998
6.686,omn,1999
7.162,omn,2000
7.388,omn,2001
13.32,pak,1990
12.23,pak,1991
12.99,pak,1992
12.83,pak,1993
12.75,pak,1994
13.25,pak,1995
13.82,pak,1996
12.74,pak,1997
12.83,pak,1998
13.17,pak,1999
10.09,pak,2000
10.04,pak,2001
10.31,pak,2002
10.78,pak,2003
10.28,pak,2004
9.604,pak,2005
9.427,pak,2006
9.838,pak,2007
9.86,pak,2008
9.277,pak,2009
9.996,pak,2010
12.61,pan,1990
13.47,pan,1991
13.06,pan,1992
12.45,pan,1993
12.43,pan,1994
13.0,pan,1995
11.2,pan,1996
11.52,pan,1997
10.76,pan,1998
11.05,pan,1999
10.2,pan,2000
9.26,pan,2001
20.07,png,1990
17.73,png,1991
18.28,png,1992
19.86,png,1993
20.6,png,1994
19.73,png,1995
22.46,png,1996
23.72,png,1997
20.48,png,1998
21.79,png,1999
18.98,png,2000
24.7,png,2001
21.01,png,2002
9.166,pry,1990
8.979,pry,1991
9.99,pry,1992
9.079,pry,1993
11.03,pry,1994
12.51,pry,1995
11.53,pry,1996
11.57,pry,1997
11.51,pry,1998
10.54,pry,1999
10.86,pry,2000
10.77,pry,2001
10.13,pry,2002
10.31,pry,2003
11.87,pry,2004
11.85,pry,2005
12.04,pry,2006
11.41,pry,2007
11.76,pry,2008
13.02,pry,2009
13.14,pry,2010
10.77,per,1990
11.04,per,1991
11.99,per,1992
12.17,per,1993
12.97,per,1994
13.61,per,1995
14.05,per,1996
14.16,per,1997
13.92,per,1998
12.65,per,1999
12.23,per,2000
12.44,per,2001
12.05,per,2002
12.84,per,2003
13.09,per,2004
13.52,per,2005
15.05,per,2006
15.63,per,2007
15.7,per,2008
13.75,per,2009
14.5,per,2010
14.08,phl,1990
14.61,phl,1991
15.44,phl,1992
15.61,phl,1993
16.03,phl,1994
16.29,phl,1995
16.94,phl,1996
16.98,phl,1997
14.11,phl,1998
13.31,phl,1999
12.85,phl,2000
12.6,phl,2001
11.82,phl,2002
12.1,phl,2003
11.81,phl,2004
12.43,phl,2005
13.71,phl,2006
13.54,phl,2007
13.59,phl,2008
12.23,phl,2009
12.15,phl,2010
15.99,pol,2001
17.01,pol,2002
16.96,pol,2003
15.69,pol,2004
16.67,pol,2005
17.36,pol,2006
18.31,pol,2007
18.31,pol,2008
16.34,pol,2009
19.25,prt,1995
20.2,prt,1996
19.97,prt,1997
20.05,prt,1998
