contraceptive_use_percent_of_women_ages_15_49,geo,time
72.2,col,1995
76.9,col,2000
78.2,col,2005
79.1,col,2010
21.0,com,1996
25.7,com,2000
25.8,cod,1984
7.7,cod,1991
31.4,cod,2001
20.6,cod,2007
17.26,cod,2010
44.3,cog,2005
64.4,cri,1977
63.8,cri,1978
65.2,cri,1981
69.5,cri,1986
75.0,cri,1993
80.0,cri,1999
96.0,cri,2005
96.0,cri,2007
80.0,cri,2008
2.9,civ,1981
11.4,civ,1994
15.0,civ,1999
12.9,civ,2006
58.0,hrv,1970
69.0,hrv,2000
60.0,cub,1980
60.0,cub,1982
70.0,cub,1987
73.3,cub,2000
72.6,cub,2006
77.1,cub,2007
77.8,cub,2009
77.8,cub,2010
66.0,cze,1970
95.0,cze,1977
78.0,cze,1991
68.9,cze,1993
72.0,cze,1997
67.0,dnk,1970
63.0,dnk,1975
78.0,dnk,1988
9.0,dji,2002
17.8,dji,2006
22.5,dji,2008
62.3,dma,1981
62.0,dma,1982
49.8,dma,1987
50.0,dma,1998
31.8,dom,1975
42.0,dom,1980
45.8,dom,1983
50.0,dom,1986
56.4,dom,1991
63.7,dom,1996
69.2,dom,1999
64.7,dom,2000
69.8,dom,2002
61.3,dom,2006
72.9,dom,2007
33.6,ecu,1980
39.9,ecu,1982
44.3,ecu,1987
52.9,ecu,1989
56.8,ecu,1994
65.8,ecu,1999
72.7,ecu,2004
24.9,egy,1975
31.4,egy,1980
30.3,egy,1984
37.8,egy,1988
47.6,egy,1991
47.1,egy,1992
47.9,egy,1995
51.7,egy,1998
56.1,egy,2000
60.0,egy,2003
59.2,egy,2005
60.3,egy,2008
21.6,slv,1975
34.4,slv,1978
47.3,slv,1985
47.1,slv,1988
53.3,slv,1993
59.7,slv,1998
67.3,slv,2003
72.5,slv,2008
10.1,gnq,2000
8.0,eri,1995
8.0,eri,2002
70.3,est,1994
4.8,eth,1990
3.3,eth,1997
8.1,eth,2000
14.7,eth,2005
40.9,fji,1974
38.0,fji,1978
43.9,fji,1997
44.0,fji,2000
35.0,fji,2002
43.1,fji,2007
77.0,fin,1971
80.0,fin,1977
77.4,fin,1989
64.0,fra,1972
71.0,fra,1977
78.7,fra,1978
81.2,fra,1988
74.5,fra,1994
81.8,fra,2000
71.0,fra,2005
32.7,gab,2000
11.8,gmb,1990
9.5,gmb,2000
18.0,gmb,2001
40.5,geo,2000
47.3,geo,2005
53.4,geo,2010
77.9,deu,1985
70.1,deu,1992
9.5,gha,1980
12.9,gha,1988
17.2,gha,1992
20.3,gha,1993
15.0,gha,1998
22.0,gha,1999
25.2,gha,2003
16.6,gha,2006
23.5,gha,2008
77.2,grc,1983
61.3,grc,1999
76.2,grc,2001
31.0,grd,1985
54.3,grd,1990
54.0,grd,1998
54.0,grd,2006
66.6,gum,2002
18.1,gtm,1978
25.0,gtm,1983
23.2,gtm,1987
31.4,gtm,1995
38.2,gtm,1999
43.3,gtm,2002
54.1,gtm,2009
1.7,gin,1993
6.2,gin,1999
6.5,gin,2003
9.1,gin,2005
7.6,gnb,2000
10.3,gnb,2006
14.2,gnb,2010
29.5,guy,1975
38.2,guy,1992
37.3,guy,2000
34.6,guy,2005
34.2,guy,2007
42.5,guy,2009
18.9,hti,1977
6.9,hti,1983
6.7,hti,1987
10.2,hti,1989
18.0,hti,1995
28.1,hti,2000
32.0,hti,2006
26.9,hnd,1981
34.9,hnd,1984
40.6,hnd,1987
46.7,hnd,1992
50.0,hnd,1996
61.8,hnd,2001
65.2,hnd,2006
49.6,hkg,1972
71.9,hkg,1977
72.3,hkg,1982
80.8,hkg,1987
86.2,hkg,1992
86.0,hkg,1997
86.2,hkg,2002
79.5,hkg,2007
73.0,hun,1972
74.0,hun,1974
76.0,hun,1975
73.1,hun,1977
73.1,hun,1986
80.6,hun,1993
13.6,ind,1970
35.3,ind,1980
44.9,ind,1988
40.7,ind,1993
48.2,ind,1999
46.9,ind,2000
53.0,ind,2004
56.3,ind,2006
54.0,ind,2008
8.6,idn,1973
26.3,idn,1976
31.2,idn,1979
38.5,idn,1985
47.7,idn,1987
49.7,idn,1991
53.1,idn,1993
54.7,idn,1994
54.2,idn,1995
54.2,idn,1996
57.4,idn,1997
55.4,idn,1998
55.4,idn,1999
54.8,idn,2000
52.5,idn,2001
60.3,idn,2003
56.7,idn,2004
57.9,idn,2005
61.4,idn,2007
56.6,idn,2008
60.63,idn,2009
55.9,idn,2010
36.0,irn,1977
23.0,irn,1978
48.9,irn,1989
49.0,irn,1991
64.6,irn,1992
67.8,irn,1993
70.0,irn,1994
72.8,irn,1995
73.7,irn,1996
72.9,irn,1997
73.8,irn,2000
73.3,irn,2002
78.9,irn,2005
14.5,irq,1974
13.7,irq,1989
43.5,irq,2000
49.8,irq,2006
77.0,irl,1998
75.0,irl,2002
89.0,irl,2004
64.8,irl,2005
68.0,isr,1988
78.0,ita,1979
62.7,ita,1996
38.3,jam,1976
54.9,jam,1979
51.4,jam,1983
54.6,jam,1989
62.0,jam,1993
65.9,jam,1997
69.1,jam,2002
69.0,jam,2003
72.3,jam,2008
52.6,jpn,1971
59.3,jpn,1973
60.5,jpn,1975
60.4,jpn,1977
62.2,jpn,1979
57.3,jpn,1984
62.8,jpn,1986
64.5,jpn,1987
56.3,jpn,1988
57.9,jpn,1990
64.0,jpn,1992
58.6,jpn,1994
58.6,jpn,1996
60.4,jpn,1997
54.1,jpn,1998
55.9,jpn,2000
52.0,jpn,2004
54.3,jpn,2005
26.1,jor,1972
25.2,jor,1976
26.5,jor,1985
40.0,jor,1990
52.6,jor,1997
55.8,jor,2002
57.1,jor,2007
59.3,jor,2009
59.1,kaz,1995
66.1,kaz,1999
50.7,kaz,2006
7.0,ken,1978
17.0,ken,1984
26.9,ken,1989
32.7,ken,1993
39.0,ken,1998
39.3,ken,2003
45.5,ken,2009
20.9,kir,1998
36.1,kir,2000
21.5,kir,2004
61.9,prk,1992
62.0,prk,1996
67.3,prk,1997
68.6,prk,2002
24.5,kor,1971
34.9,kor,1974
44.2,kor,1976
54.5,kor,1979
57.7,kor,1982
70.4,kor,1985
77.1,kor,1988
79.4,kor,1991
77.4,kor,1994
80.5,kor,1997
79.3,kor,2000
84.5,kor,2003
80.2,kor,2005
