ratio_of_young_literate_females_to_males_percent_ages_15_24,geo,time
99.94,hrv,1991
100.0,hrv,2001
97.43,hrv,2002
97.43,hrv,2003
97.43,hrv,2004
100.0,hrv,2009
100.0,cub,2002
100.0,cub,2009
100.1,cyp,1992
100.1,cyp,2001
100.1,cyp,2009
103.3,dom,1981
102.6,dom,2002
102.4,dom,2007
97.59,ecu,1982
99.23,ecu,1990
100.1,ecu,2001
100.4,ecu,2007
100.0,ecu,2009
60.47,egy,1976
75.66,egy,1986
84.73,egy,1996
87.65,egy,2005
93.05,egy,2006
100.0,slv,1992
101.1,slv,2006
100.7,slv,2007
101.1,slv,2008
100.6,slv,2009
100.2,gnq,2000
100.5,gnq,2009
80.56,eri,2002
93.64,eri,2009
100.1,est,1989
100.1,est,2000
100.1,est,2009
71.47,eth,1994
61.9,eth,2004
59.59,eth,2008
97.57,gab,1993
97.75,gab,2004
98.04,gab,2009
64.34,gmb,2000
84.51,gmb,2009
100.1,geo,2002
100.1,geo,2009
86.23,gha,2000
97.25,gha,2009
99.83,grc,1981
99.99,grc,1991
100.1,grc,2001
99.89,grc,2009
100.0,grd,2004
100.6,gum,1980
86.54,gtm,1994
90.75,gtm,2002
94.99,gtm,2009
57.45,gin,2003
79.1,gin,2009
29.82,gnb,1979
61.37,gnb,2000
81.25,gnb,2009
99.59,hti,1982
115.4,hti,2004
104.6,hnd,2001
102.5,hnd,2007
99.9,hun,1980
100.2,hun,1994
100.6,hun,2004
100.1,hun,2009
60.8,ind,1981
67.13,ind,1991
80.47,ind,2001
84.1,ind,2006
91.13,idn,1980
97.6,idn,1990
99.67,idn,2004
99.22,idn,2006
99.84,idn,2008
59.7,irn,1976
77.6,irn,1986
87.85,irn,1991
84.31,irn,1996
98.6,irn,2005
98.96,irn,2006
99.72,irn,2008
90.53,irq,2000
94.73,irq,2009
98.98,isr,1983
99.89,ita,1981
100.0,ita,2001
100.0,ita,2009
110.3,jam,1999
106.6,jam,2009
88.56,jor,1979
99.58,jor,2003
100.1,jor,2005
99.99,jor,2007
100.1,kaz,1989
100.1,kaz,1999
100.1,kaz,2009
101.1,ken,2000
101.8,ken,2009
100.0,prk,2008
84.96,kwt,1975
93.53,kwt,1980
92.72,kwt,1985
96.15,kwt,1995
100.1,kwt,2005
99.98,kwt,2006
100.1,kwt,2007
100.2,kwt,2008
100.1,kgz,1999
100.1,kgz,2009
81.27,lao,1995
83.53,lao,2000
90.42,lao,2001
88.29,lao,2005
100.1,lva,1989
100.1,lva,2000
100.1,lva,2009
100.7,lbn,2007
114.9,lso,2000
114.4,lso,2009
53.68,lbr,1984
82.93,lbr,1994
106.7,lbr,2004
114.9,lbr,2009
82.07,lby,1984
96.88,lby,1994
99.6,lby,2004
99.86,lby,2009
100.1,ltu,1989
100.1,ltu,2001
100.0,ltu,2009
99.01,mac,1981
100.4,mac,2001
100.1,mac,2006
99.42,mkd,1994
99.49,mkd,2002
99.64,mkd,2009
93.85,mdg,2000
97.05,mdg,2008
69.74,mwi,1987
86.12,mwi,1998
99.02,mwi,2009
96.69,mys,1980
99.29,mys,1991
100.1,mys,2000
100.2,mys,2009
103.6,mdv,1977
101.4,mdv,1985
100.2,mdv,1990
100.3,mdv,1995
100.3,mdv,2000
100.1,mdv,2006
50.53,mli,1976
52.28,mli,1998
48.62,mli,2003
65.0,mli,2006
101.7,mlt,1985
103.6,mlt,1995
101.7,mlt,2005
81.92,mrt,2000
90.75,mrt,2009
101.1,mus,1990
101.7,mus,2000
102.1,mus,2009
97.61,mex,1980
98.9,mex,1990
99.72,mex,2000
99.32,mex,2002
100.1,mex,2004
99.98,mex,2005
99.58,mex,2006
99.92,mex,2007
99.95,mex,2008
99.71,mex,2009
100.0,mda,1989
100.2,mda,2000
100.3,mda,2009
101.5,mng,2000
103.0,mng,2009
53.26,mar,1982
64.43,mar,1994
74.86,mar,2004
81.46,mar,2008
83.19,mar,2009
39.27,moz,1980
61.48,moz,1997
67.29,moz,2003
81.55,moz,2009
91.85,mmr,1983
97.62,mmr,2000
99.23,mmr,2009
105.5,nam,1991
102.6,nam,2001
104.2,nam,2009
33.19,npl,1981
47.88,npl,1991
74.61,npl,2001
88.29,npl,2009
101.0,ncl,1976
100.2,ncl,1989
100.1,ncl,1996
100.3,ncl,2009
106.2,nic,2001
104.3,nic,2005
104.0,ner,2001
44.23,ner,2005
76.81,nga,1991
77.45,nga,2003
83.6,nga,2009
98.77,omn,2003
99.99,omn,2008
53.55,pak,1981
64.21,pak,1998
69.26,pak,2005
73.79,pak,2006
77.12,pak,2008
100.2,plw,1980
100.4,pan,1980
99.35,pan,1990
99.06,pan,2000
99.62,pan,2009
92.66,png,2000
108.6,png,2009
98.7,pry,1982
99.48,pry,1992
99.97,pry,2007
93.01,per,1981
96.7,per,1993
97.8,per,2004
98.33,per,2005
98.42,per,2006
98.67,per,2007
101.5,phl,1980
100.6,phl,1990
101.3,phl,2000
103.2,phl,2003
101.5,phl,2008
100.0,pol,1978
100.1,pol,1994
100.1,pol,2004
100.1,pol,2009
100.6,prt,1981
100.1,prt,1991
100.1,prt,2009
101.5,pri,1980
102.0,pri,1990
100.2,pri,2004
101.1,pri,2009
103.1,qat,1986
101.8,qat,1997
102.8,qat,2004
99.87,qat,2007
101.6,qat,2008
100.3,qat,2009
99.85,rou,1992
100.0,rou,2002
100.3,rou,2009
100.1,rus,1989
100.1,rus,2002
100.1,rus,2009
74.92,rwa,1978
100.0,rwa,1991
97.88,rwa,2000
100.5,rwa,2009
99.83,wsm,1991
100.1,wsm,2004
100.2,wsm,2009
81.54,stp,1981
95.87,stp,1991
98.83,stp,2001
101.0,stp,2009
86.28,sau,1992
95.55,sau,2000
97.65,sau,2004
97.8,sau,2009
57.07,sen,1988
70.05,sen,2002
76.63,sen,2006
75.73,sen,2009
99.92,srb,2003
101.7,syc,1987
100.7,syc,1994
100.6,syc,2002
100.6,syc,2008
62.67,sle,2004
71.05,sle,2009
99.74,sgp,1980
100.2,sgp,1990
100.2,sgp,2000
100.1,sgp,2009
100.0,svn,1991
100.1,svn,2004
100.1,svn,2009
88.89,slb,1999
99.56,zaf,1980
100.8,zaf,1996
101.1,zaf,2007
100.0,esp,1981
100.0,esp,1991
99.98,esp,2007
100.1,esp,2008
99.92,esp,2009
98.16,lka,1981
101.1,lka,2001
100.9,lka,2006
101.3,lka,2008
98.46,sur,2004
100.1,sur,2008
98.55,swz,1976
101.5,swz,1986
103.2,swz,2000
103.2,swz,2009
66.44,syr,1981
95.7,syr,2002
95.36,syr,2004
97.06,syr,2009
99.93,tjk,1989
100.0,tjk,2000
100.0,tjk,2009
90.33,tza,1988
94.17,tza,2002
97.33,tza,2009
98.57,tha,1980
99.74,tha,2000
99.66,tha,2005
75.97,tgo,2000
80.05,tgo,2006
99.96,ton,1976
100.1,ton,1996
100.3,ton,2006
100.0,tto,1980
100.0,tto,1990
100.0,tto,2004
100.0,tto,2009
72.92,tun,1984
95.69,tun,2004
97.61,tun,2008
75.21,tur,1975
80.36,tur,1980
89.84,tur,1985
91.52,tur,1990
95.18,tur,2004
95.53,tur,2005
95.68,tur,2006
95.64,tur,2007
97.53,tur,2009
100.0,tkm,1995
100.1,tkm,2009
81.74,uga,1991
88.62,uga,2002
95.35,uga,2010
100.1,ukr,2001
100.1,ukr,2009
85.9,are,1975
104.3,are,1985
103.6,are,2005
101.1,ury,1975
100.7,ury,1985
100.9,ury,1996
100.8,ury,2006
100.5,ury,2007
100.7,ury,2008
101.5,ury,2009
99.92,uzb,2000
100.1,uzb,2009
89.31,vut,1979
97.48,vut,1994
99.67,vut,2004
100.2,vut,2009
101.7,ven,1981
101.9,ven,1990
101.8,ven,2001
100.9,ven,2007
97.83,vnm,1979
99.28,vnm,1989
99.37,vnm,1999
98.4,vnm,2000
99.11,vnm,2009
100.3,pse,1997
99.83,pse,2004
100.1,pse,2006
99.85,pse,2007
99.76,pse,2008
100.0,pse,2009
42.72,yem,1994
65.3,yem,2004
75.49,yem,2009
97.41,zmb,1990
91.2,zmb,1999
85.31,zmb,2002
82.29,zmb,2009
90.39,zwe,1982
97.73,zwe,1992
101.1,zwe,2009
