geo,external_debt_total_us_not_inflation_adjusted,time
bra,22040000000,1974
bra,27330000000,1975
bra,33340000000,1976
bra,42040000000,1977
bra,54570000000,1978
bra,61330000000,1979
bra,71530000000,1980
bra,81450000000,1981
bra,93930000000,1982
bra,98520000000,1983
bra,103900000000,1984
bra,103600000000,1985
bra,109000000000,1986
bra,119800000000,1987
bra,117400000000,1988
bra,114400000000,1989
bra,119700000000,1990
bra,120800000000,1991
bra,129000000000,1992
bra,144100000000,1993
bra,152400000000,1994
bra,160500000000,1995
bra,181300000000,1996
bra,198500000000,1997
bra,241500000000,1998
bra,244100000000,1999
bra,241600000000,2000
bra,229000000000,2001
bra,230900000000,2002
bra,234800000000,2003
bra,219500000000,2004
bra,187400000000,2005
bra,193500000000,2006
bra,237500000000,2007
bra,255600000000,2008
bgr,772700000,1981
bgr,1313000000,1982
bgr,1739000000,1983
bgr,2584000000,1984
bgr,3852000000,1985
bgr,5866000000,1986
bgr,8266000000,1987
bgr,8944000000,1988
bgr,10140000000,1989
bgr,10890000000,1990
bgr,11740000000,1991
bgr,11840000000,1992
bgr,12180000000,1993
bgr,9829000000,1994
bgr,10380000000,1995
bgr,10370000000,1996
bgr,11100000000,1997
bgr,11400000000,1998
bgr,11020000000,1999
bgr,11210000000,2000
bgr,10500000000,2001
bgr,11480000000,2002
bgr,13350000000,2003
bgr,15670000000,2004
bgr,15700000000,2005
bgr,20990000000,2006
bgr,32970000000,2007
bgr,38050000000,2008
bfa,20790000,1970
bfa,23600000,1971
bfa,20020000,1972
bfa,31070000,1973
bfa,47360000,1974
bfa,62530000,1975
bfa,85310000,1976
bfa,164300000,1977
bfa,262700000,1978
bfa,295000000,1979
bfa,330400000,1980
bfa,328200000,1981
bfa,351800000,1982
bfa,397700000,1983
bfa,410000000,1984
bfa,512700000,1985
bfa,639600000,1986
bfa,827400000,1987
bfa,845100000,1988
bfa,717200000,1989
bfa,832000000,1990
bfa,964500000,1991
bfa,1036000000,1992
bfa,1115000000,1993
bfa,1131000000,1994
bfa,1271000000,1995
bfa,1298000000,1996
bfa,1301000000,1997
bfa,1459000000,1998
bfa,1583000000,1999
bfa,1422000000,2000
bfa,1493000000,2001
bfa,1541000000,2002
bfa,1730000000,2003
bfa,1990000000,2004
bfa,1994000000,2005
bfa,1123000000,2006
bfa,1456000000,2007
bfa,1681000000,2008
bdi,14970000,1970
bdi,13630000,1971
bdi,6895000,1972
bdi,7780000,1973
bdi,9438000,1974
bdi,19380000,1975
bdi,22360000,1976
bdi,47220000,1977
bdi,74680000,1978
bdi,136200000,1979
bdi,165700000,1980
bdi,178600000,1981
bdi,227400000,1982
bdi,307700000,1983
bdi,348000000,1984
bdi,455100000,1985
bdi,570400000,1986
bdi,769600000,1987
bdi,800700000,1988
bdi,888900000,1989
bdi,906900000,1990
bdi,963500000,1991
bdi,1027000000,1992
bdi,1066000000,1993
bdi,1127000000,1994
bdi,1162000000,1995
bdi,1131000000,1996
bdi,1069000000,1997
bdi,1122000000,1998
bdi,1135000000,1999
bdi,1108000000,2000
bdi,1076000000,2001
bdi,1214000000,2002
bdi,1328000000,2003
bdi,1390000000,2004
bdi,1322000000,2005
bdi,1412000000,2006
bdi,1456000000,2007
bdi,1445000000,2008
khm,1320000,1981
khm,9340000,1982
khm,9360000,1983
khm,5380000,1984
khm,7400000,1985
khm,31350000,1986
khm,42010000,1987
khm,39950000,1988
khm,1679000000,1989
khm,1845000000,1990
khm,1852000000,1991
khm,1831000000,1992
khm,1821000000,1993
khm,1909000000,1994
khm,2284000000,1995
khm,2354000000,1996
khm,2383000000,1997
khm,2465000000,1998
khm,2517000000,1999
khm,2628000000,2000
khm,2697000000,2001
khm,2900000000,2002
khm,3193000000,2003
khm,3439000000,2004
khm,3515000000,2005
khm,3527000000,2006
khm,3761000000,2007
khm,4215000000,2008
cmr,145900000,1970
cmr,180100000,1971
cmr,221600000,1972
cmr,265900000,1973
cmr,323600000,1974
cmr,441400000,1975
cmr,610900000,1976
cmr,1113000000,1977
cmr,1529000000,1978
cmr,2172000000,1979
cmr,2573000000,1980
cmr,2642000000,1981
cmr,2799000000,1982
cmr,2892000000,1983
cmr,2892000000,1984
cmr,3155000000,1985
cmr,4130000000,1986
cmr,4581000000,1987
cmr,4806000000,1988
cmr,5357000000,1989
cmr,6555000000,1990
