geo,out_of_pocket_share_of_total_health_spending_percent,time
cog,46.16,2004
cog,40.52,2005
cog,36.71,2006
cog,42.4,2007
cog,51.86,2008
cog,52.51,2009
cog,53.26,2010
cok,8.662,1995
cok,8.204,1996
cok,10.22,1997
cok,9.467,1998
cok,10.53,1999
cok,9.497,2000
cok,6.698,2001
cok,8.697,2002
cok,8.679,2003
cok,9.575,2004
cok,5.715,2005
cok,6.562,2006
cok,6.501,2007
cok,6.382,2008
cok,6.235,2009
cok,6.155,2010
civ,76.19,1995
civ,75.17,1996
civ,75.4,1997
civ,78.5,1998
civ,75.71,1999
civ,72.32,2000
civ,74.04,2001
civ,68.25,2002
civ,72.39,2003
civ,73.02,2004
civ,78.52,2005
civ,79.32,2006
civ,70.99,2007
civ,69.42,2008
civ,78.2,2009
civ,77.47,2010
cyp,63.27,1995
cyp,64.86,1996
cyp,63.6,1997
cyp,57.05,1998
cyp,54.56,1999
cyp,55.86,2000
cyp,55.19,2001
cyp,52.77,2002
cyp,43.43,2003
cyp,46.49,2004
cyp,47.04,2005
cyp,46.63,2006
cyp,47.78,2007
cyp,48.83,2008
cyp,48.82,2009
cyp,48.84,2010
cze,9.111,1995
cze,9.332,1996
cze,9.714,1997
cze,9.57,1998
cze,9.518,1999
cze,9.681,2000
cze,10.23,2001
cze,9.526,2002
cze,9.961,2003
cze,10.35,2004
cze,10.7,2005
cze,11.29,2006
cze,13.18,2007
cze,15.73,2008
cze,14.43,2009
cze,14.69,2010
dnk,16.3,1995
dnk,16.23,1996
dnk,16.33,1997
dnk,16.35,1998
dnk,14.6,1999
dnk,14.67,2000
dnk,14.41,2001
dnk,14.11,2002
dnk,13.98,2003
dnk,14.22,2004
dnk,14.05,2005
dnk,13.84,2006
dnk,13.6,2007
dnk,13.26,2008
dnk,13.17,2009
dnk,13.11,2010
dji,39.3,1995
dji,40.99,1996
dji,37.86,1997
dji,33.38,1998
dji,28.75,1999
dji,31.71,2000
dji,34.58,2001
dji,34.98,2002
dji,32.57,2003
dji,37.82,2004
dji,31.21,2005
dji,32.92,2006
dji,30.52,2007
dji,31.68,2008
dji,30.39,2009
dji,34.39,2010
egy,47.95,1995
egy,54.28,1996
egy,58.35,1997
egy,57.67,1998
egy,57.75,1999
egy,58.0,2000
egy,58.32,2001
egy,58.77,2002
egy,58.7,2003
egy,58.61,2004
egy,58.39,2005
egy,54.83,2006
egy,57.63,2007
egy,56.48,2008
egy,59.13,2009
egy,61.17,2010
gnq,42.97,1995
gnq,47.59,1996
gnq,49.47,1997
gnq,50.77,1998
gnq,50.61,1999
gnq,48.81,2000
gnq,35.18,2001
gnq,19.05,2002
gnq,29.94,2003
gnq,38.47,2004
gnq,36.03,2005
gnq,28.03,2006
gnq,25.62,2007
gnq,41.12,2008
gnq,22.07,2009
gnq,22.17,2010
eri,52.1,1995
eri,62.73,1996
eri,57.82,1997
eri,56.87,1998
eri,57.22,1999
eri,52.37,2000
eri,47.32,2001
eri,50.73,2002
eri,52.81,2003
eri,53.79,2004
eri,54.05,2005
eri,54.43,2006
eri,54.72,2007
eri,49.45,2008
eri,52.3,2009
eri,51.76,2010
est,10.23,1995
est,11.49,1996
est,10.6,1997
est,13.19,1998
est,12.61,1999
est,17.44,2000
est,16.69,2001
est,17.53,2002
est,18.52,2003
est,18.84,2004
est,20.54,2005
est,25.3,2006
est,22.2,2007
est,19.93,2008
est,21.11,2009
est,19.58,2010
eth,46.98,1995
eth,48.6,1996
eth,46.43,1997
eth,44.71,1998
eth,42.52,1999
eth,36.77,2000
eth,34.55,2001
eth,37.41,2002
eth,34.35,2003
eth,34.83,2004
eth,31.52,2005
eth,36.08,2006
eth,34.8,2007
eth,38.47,2008
eth,37.13,2009
eth,37.21,2010
fji,12.77,1995
fji,11.67,1996
fji,10.99,1997
fji,11.25,1998
fji,12.45,1999
fji,10.11,2000
fji,12.25,2001
fji,11.08,2002
fji,11.93,2003
fji,12.24,2004
fji,11.82,2005
fji,13.57,2006
fji,15.48,2007
fji,15.53,2008
fji,21.89,2009
fji,19.66,2010
fin,22.65,1995
fin,22.66,1996
fin,22.15,1997
fin,21.62,1998
fin,22.37,1999
fin,22.32,2000
fin,21.79,2001
fin,21.27,2002
fin,19.12,2003
fin,18.83,2004
fin,18.49,2005
fin,19.07,2006
fin,19.33,2007
fin,19.09,2008
fin,19.03,2009
fin,18.78,2010
fra,7.604,1995
fra,7.323,1996
fra,7.192,1997
fra,7.115,1998
fra,7.164,1999
fra,7.1,2000
fra,7.171,2001
fra,6.971,2002
fra,6.654,2003
fra,6.565,2004
fra,6.621,2005
fra,6.593,2006
fra,7.021,2007
fra,7.438,2008
fra,7.312,2009
fra,7.34,2010
gab,62.15,1995
gab,59.73,1996
gab,60.0,1997
gab,59.65,1998
gab,64.38,1999
gab,58.03,2000
gab,57.97,2001
gab,63.69,2002
gab,56.23,2003
gab,54.28,2004
gab,57.72,2005
gab,57.33,2006
gab,56.12,2007
gab,56.3,2008
gab,52.08,2009
gab,47.07,2010
gmb,38.23,1995
gmb,37.85,1996
gmb,37.76,1997
gmb,35.53,1998
gmb,35.0,1999
gmb,35.62,2000
gmb,33.6,2001
gmb,33.56,2002
gmb,25.42,2003
gmb,20.36,2004
gmb,21.73,2005
gmb,20.76,2006
gmb,25.01,2007
gmb,25.12,2008
gmb,22.53,2009
gmb,23.77,2010
geo,94.78,1995
geo,88.33,1996
geo,81.28,1997
geo,81.65,1998
geo,81.74,1999
geo,82.51,2000
geo,72.27,2001
geo,71.19,2002
geo,77.06,2003
geo,77.4,2004
geo,76.83,2005
geo,72.22,2006
geo,70.8,2007
geo,64.24,2008
geo,66.55,2009
geo,68.34,2010
deu,9.973,1995
deu,9.747,1996
deu,10.55,1997
deu,11.3,1998
deu,11.2,1999
deu,11.41,2000
deu,11.57,2001
deu,11.69,2002
deu,12.05,2003
deu,13.44,2004
deu,13.44,2005
deu,13.67,2006
deu,13.6,2007
deu,13.29,2008
deu,13.09,2009
deu,12.97,2010
gha,27.03,1995
gha,27.02,1996
gha,29.18,1997
gha,28.37,1998
gha,32.07,1999
gha,33.05,2000
gha,27.64,2001
gha,32.34,2002
gha,31.23,2003
gha,24.39,2004
gha,21.44,2005
gha,28.19,2006
gha,25.29,2007
gha,28.36,2008
gha,28.82,2009
gha,26.9,2010
grc,45.93,1995
grc,45.0,1996
grc,45.13,1997
grc,45.94,1998
grc,44.66,1999
grc,37.79,2000
grc,36.95,2001
grc,39.68,2002
grc,38.02,2003
grc,38.74,2004
grc,37.9,2005
grc,36.01,2006
grc,37.48,2007
grc,37.86,2008
grc,36.24,2009
grc,38.38,2010
gin,79.11,1995
gin,80.74,1996
gin,79.34,1997
gin,82.78,1998
gin,81.2,1999
gin,80.94,2000
gin,78.12,2001
gin,78.28,2002
gin,75.34,2003
gin,82.59,2004
gin,88.14,2005
gin,86.66,2006
gin,91.41,2007
gin,85.59,2008
gin,91.29,2009
gin,88.15,2010
gnb,44.16,1995
gnb,40.91,1996
gnb,36.76,1997
gnb,40.42,1998
gnb,39.9,1999
gnb,51.47,2000
gnb,49.76,2001
gnb,35.14,2002
gnb,42.17,2003
gnb,48.32,2004
gnb,48.4,2005
gnb,49.66,2006
gnb,48.57,2007
gnb,49.7,2008
gnb,66.03,2009
gnb,66.43,2010
hun,16.04,1995
hun,18.4,1996
hun,18.72,1997
hun,22.3,1998
hun,24.85,1999
hun,26.27,2000
hun,27.69,2001
hun,26.28,2002
hun,23.67,2003
hun,23.4,2004
hun,23.81,2005
hun,22.98,2006
hun,24.27,2007
hun,23.84,2008
hun,23.73,2009
hun,23.99,2010
isl,15.64,1995
isl,16.44,1996
isl,15.07,1997
isl,19.11,1998
isl,16.91,1999
isl,18.5,2000
isl,18.62,2001
isl,17.67,2002
isl,16.67,2003
isl,17.21,2004
isl,16.95,2005
isl,16.34,2006
isl,15.66,2007
isl,15.06,2008
isl,16.44,2009
isl,17.94,2010
ind,67.57,1995
ind,67.63,1996
ind,68.83,1997
ind,68.34,1998
ind,65.56,1999
ind,67.97,2000
ind,70.36,2001
ind,70.61,2002
ind,70.74,2003
ind,69.13,2004
ind,68.36,2005
ind,66.84,2006
ind,65.09,2007
ind,62.92,2008
ind,60.21,2009
ind,61.16,2010
idn,46.56,1995
idn,46.11,1996
idn,47.16,1997
idn,48.16,1998
idn,47.91,1999
idn,46.55,2000
idn,41.78,2001
idn,44.68,2002
idn,44.41,2003
idn,44.71,2004
idn,45.62,2005
idn,43.14,2006
idn,40.64,2007
idn,40.3,2008
idn,40.5,2009
idn,38.25,2010
irn,53.59,1995
irn,51.13,1996
irn,49.67,1997
irn,49.88,1998
irn,55.42,1999
irn,56.16,2000
irn,53.71,2001
irn,53.47,2002
irn,51.4,2003
irn,54.14,2004
irn,53.2,2005
irn,51.79,2006
irn,53.49,2007
irn,51.85,2008
irn,56.86,2009
irn,57.81,2010
irq,99.59,1996
irq,99.61,1997
irq,96.74,1998
irq,96.82,1999
irq,98.86,2000
irq,98.26,2001
irq,97.14,2002
irq,54.63,2003
irq,27.82,2004
irq,32.65,2005
irq,36.19,2006
irq,30.52,2007
irq,25.37,2008
irq,21.93,2009
irq,18.82,2010
irl,15.36,1995
irl,15.54,1996
irl,15.26,1997
irl,14.4,1998
irl,15.0,1999
irl,15.15,2000
irl,14.96,2001
irl,14.54,2002
irl,16.04,2003
irl,15.66,2004
irl,15.31,2005
irl,14.36,2006
irl,13.9,2007
irl,14.4,2008
irl,12.33,2009
irl,15.16,2010
isr,27.19,1995
isr,22.5,1996
isr,21.36,1997
isr,25.02,1998
isr,27.24,1999
isr,24.65,2000
isr,26.73,2001
isr,29.1,2002
isr,27.48,2003
isr,26.41,2004
isr,26.67,2005
isr,28.49,2006
isr,29.15,2007
isr,30.77,2008
isr,29.16,2009
isr,29.16,2010
ita,26.61,1995
ita,26.53,1996
ita,26.36,1997
ita,26.7,1998
ita,26.11,1999
ita,24.5,2000
ita,22.15,2001
ita,22.39,2002
ita,22.38,2003
ita,21.19,2004
ita,20.47,2005
ita,19.88,2006
ita,20.11,2007
ita,19.65,2008
ita,19.65,2009
ita,19.6,2010
jpn,13.98,1995
jpn,14.1,1996
jpn,15.17,1997
jpn,15.7,1998
jpn,15.37,1999
jpn,15.37,2000
jpn,15.15,2001
jpn,15.55,2002
jpn,16.41,2003
jpn,16.25,2004
jpn,15.4,2005
jpn,16.99,2006
jpn,16.12,2007
jpn,15.78,2008
jpn,14.52,2009
jpn,14.34,2010
jor,24.37,1995
jor,26.93,1996
jor,28.52,1997
jor,29.76,1998
jor,33.8,1999
jor,38.96,2000
jor,38.39,2001
jor,39.22,2002
jor,41.25,2003
jor,39.62,2004
jor,40.76,2005
jor,39.97,2006
jor,35.9,2007
jor,31.86,2008
jor,22.87,2009
jor,25.11,2010
kaz,35.45,1995
kaz,35.86,1996
kaz,35.16,1997
kaz,35.41,1998
kaz,46.87,1999
kaz,48.43,2000
kaz,42.65,2001
kaz,45.85,2002
kaz,44.84,2003
kaz,41.33,2004
kaz,37.48,2005
kaz,40.95,2006
kaz,47.2,2007
kaz,40.99,2008
kaz,40.29,2009
kaz,40.1,2010
ken,41.99,1995
ken,47.38,1996
ken,48.43,1997
ken,44.69,1998
ken,48.38,1999
ken,43.2,2000
ken,44.48,2001
ken,44.76,2002
ken,44.8,2003
ken,45.5,2004
ken,44.7,2005
ken,43.14,2006
ken,44.11,2007
ken,46.16,2008
ken,43.47,2009
ken,42.7,2010
kor,51.95,1995
kor,48.94,1996
kor,45.87,1997
kor,41.08,1998
kor,40.5,1999
kor,41.53,2000
kor,36.26,2001
kor,37.38,2002
kor,38.0,2003
kor,38.28,2004
kor,37.9,2005
kor,35.72,2006
kor,34.73,2007
kor,34.17,2008
kor,32.43,2009
kor,31.35,2010
kwt,17.01,1995
kwt,19.28,1996
kwt,18.87,1997
kwt,19.7,1998
kwt,19.21,1999
kwt,22.39,2000
kwt,17.35,2001
kwt,18.82,2002
kwt,17.91,2003
kwt,18.37,2004
kwt,18.29,2005
kwt,17.16,2006
kwt,19.31,2007
kwt,19.69,2008
kwt,13.19,2009
kwt,17.78,2010
kgz,39.23,1995
kgz,46.85,1996
kgz,44.75,1997
kgz,46.9,1998
kgz,45.9,1999
kgz,49.76,2000
kgz,53.31,2001
kgz,55.04,2002
kgz,57.73,2003
kgz,55.82,2004
kgz,55.99,2005
kgz,50.48,2006
kgz,47.14,2007
kgz,44.99,2008
kgz,41.54,2009
kgz,37.81,2010
lao,35.84,1995
lao,38.21,1996
lao,38.15,1997
lao,51.26,1998
lao,63.37,1999
lao,59.61,2000
lao,50.3,2001
lao,50.85,2002
lao,55.81,2003
lao,62.36,2004
lao,65.75,2005
lao,65.3,2006
lao,66.39,2007
lao,56.81,2008
lao,50.72,2009
lao,51.15,2010
lbn,55.31,1995
lbn,55.3,1996
lbn,56.31,1997
lbn,59.61,1998
lbn,56.82,1999
lbn,52.42,2000
lbn,47.12,2001
lbn,40.79,2002
lbn,43.66,2003
lbn,42.44,2004
lbn,39.4,2005
lbn,42.81,2006
lbn,44.26,2007
lbn,41.04,2008
lbn,42.69,2009
lbn,44.69,2010
lso,41.1,1995
lso,38.43,1996
lso,39.9,1997
lso,37.52,1998
lso,37.65,1999
lso,36.08,2000
lso,30.14,2001
lso,30.74,2002
lso,28.7,2003
lso,29.41,2004
lso,32.19,2005
lso,27.57,2006
lso,23.19,2007
lso,20.64,2008
lso,17.74,2009
lso,16.39,2010
lbr,35.67,1998
lbr,35.05,1999
lbr,36.36,2000
lbr,34.9,2001
lbr,38.81,2002
lbr,38.4,2003
lbr,36.68,2004
lbr,34.17,2005
lbr,36.65,2006
lbr,40.06,2007
lbr,35.0,2008
lbr,34.2,2009
lbr,35.24,2010
lby,50.41,1995
lby,51.23,1996
lby,54.91,1997
lby,47.98,1998
lby,49.8,1999
lby,42.79,2000
lby,35.41,2001
lby,35.24,2002
lby,36.46,2003
lby,36.95,2004
lby,38.22,2005
lby,38.95,2006
lby,34.12,2007
lby,29.68,2008
lby,33.88,2009
lby,31.22,2010
lux,6.183,1995
lux,7.169,1996
lux,7.403,1997
lux,7.6,1998
lux,7.336,1999
lux,11.8,2000
lux,12.46,2001
lux,11.82,2002
lux,12.23,2003
lux,11.64,2004
lux,11.59,2005
lux,11.54,2006
lux,12.24,2007
lux,12.39,2008
lux,11.63,2009
lux,11.35,2010
mkd,41.3,1995
mkd,41.12,1996
mkd,39.67,1997
mkd,35.82,1998
mkd,40.06,1999
mkd,42.16,2000
mkd,40.82,2001
mkd,40.82,2002
mkd,41.16,2003
mkd,40.17,2004
mkd,38.02,2005
mkd,34.83,2006
mkd,35.46,2007
mkd,31.56,2008
mkd,33.22,2009
mkd,35.93,2010
mdg,24.66,1995
mdg,21.69,1996
mdg,20.54,1997
mdg,20.99,1998
mdg,20.55,1999
mdg,17.7,2000
mdg,16.11,2001
mdg,17.4,2002
mdg,19.01,2003
mdg,19.9,2004
mdg,20.64,2005
mdg,21.47,2006
mdg,22.94,2007
mdg,21.28,2008
mdg,24.2,2009
mdg,27.12,2010
mwi,28.85,1995
mwi,33.75,1996
mwi,30.23,1997
mwi,26.55,1998
mwi,24.99,1999
mwi,21.98,2000
mwi,23.94,2001
mwi,16.53,2002
mwi,11.8,2003
mwi,9.421,2004
mwi,8.81,2005
mwi,8.804,2006
mwi,9.86,2007
mwi,10.36,2008
mwi,9.494,2009
mwi,11.12,2010
mys,27.96,1995
mys,26.98,1996
mys,28.61,1997
mys,28.62,1998
mys,29.06,1999
mys,29.64,2000
mys,27.62,2001
mys,28.75,2002
mys,27.69,2003
mys,31.87,2004
mys,36.21,2005
mys,33.59,2006
mys,34.34,2007
mys,34.33,2008
mys,34.02,2009
mys,34.17,2010
mdv,14.27,1995
mdv,20.89,1996
mdv,21.11,1997
mdv,22.34,1998
mdv,21.04,1999
mdv,23.01,2000
mdv,23.15,2001
mdv,23.63,2002
mdv,34.42,2003
mdv,32.42,2004
mdv,26.22,2005
mdv,25.5,2006
mdv,24.95,2007
mdv,21.94,2008
mdv,28.17,2009
mdv,28.3,2010
mli,47.72,1995
mli,60.41,1996
mli,63.87,1997
mli,65.53,1998
mli,69.69,1999
mli,66.5,2000
mli,55.04,2001
mli,59.59,2002
mli,55.1,2003
mli,50.49,2004
mli,53.23,2005
mli,51.54,2006
mli,51.72,2007
mli,53.23,2008
mli,52.5,2009
mli,53.15,2010
mhl,12.95,1995
mhl,10.81,1996
mhl,10.23,1997
mhl,11.01,1998
mhl,10.93,1999
mhl,9.057,2000
mhl,10.54,2001
mhl,11.22,2002
mhl,12.66,2003
mhl,12.43,2004
mhl,12.96,2005
mhl,12.35,2006
mhl,12.4,2007
mhl,13.46,2008
mhl,12.06,2009
mhl,12.61,2010
mrt,38.69,1995
mrt,48.29,1996
mrt,46.37,1997
mrt,38.21,1998
mrt,30.53,1999
mrt,31.65,2000
mrt,37.87,2001
mrt,31.54,2002
mrt,34.43,2003
mrt,32.94,2004
mrt,35.18,2005
mrt,35.58,2006
mrt,39.74,2007
mrt,45.78,2008
mrt,44.61,2009
mrt,44.31,2010
mus,33.64,1995
mus,34.0,1996
mus,33.85,1997
mus,33.35,1998
mus,33.6,1999
mus,35.78,2000
mus,35.64,2001
mus,36.3,2002
mus,36.42,2003
mus,36.58,2004
