mean_years_in_school_women_25_years_and_older,geo,time
2.7,bra,1976
2.8,bra,1977
2.9,bra,1978
3.0,bra,1979
3.1,bra,1980
3.2,bra,1981
3.3,bra,1982
3.5,bra,1983
3.6,bra,1984
3.7,bra,1985
3.8,bra,1986
4.0,bra,1987
4.1,bra,1988
4.2,bra,1989
4.4,bra,1990
4.5,bra,1991
4.6,bra,1992
4.8,bra,1993
4.9,bra,1994
5.1,bra,1995
5.2,bra,1996
5.3,bra,1997
5.5,bra,1998
5.6,bra,1999
5.8,bra,2000
5.9,bra,2001
6.1,bra,2002
6.2,bra,2003
6.4,bra,2004
6.5,bra,2005
6.7,bra,2006
6.8,bra,2007
7.0,bra,2008
7.2,bra,2009
6.3,bgr,1970
6.5,bgr,1971
6.7,bgr,1972
6.8,bgr,1973
7.0,bgr,1974
7.2,bgr,1975
7.4,bgr,1976
7.5,bgr,1977
7.7,bgr,1978
7.9,bgr,1979
8.0,bgr,1980
8.2,bgr,1981
8.4,bgr,1982
8.5,bgr,1983
8.7,bgr,1984
8.8,bgr,1985
9.0,bgr,1986
9.2,bgr,1987
9.3,bgr,1988
9.4,bgr,1989
9.6,bgr,1990
9.7,bgr,1991
9.9,bgr,1992
10.0,bgr,1993
10.1,bgr,1994
10.3,bgr,1995
10.4,bgr,1996
10.6,bgr,1997
10.7,bgr,1998
10.8,bgr,1999
11.0,bgr,2000
11.1,bgr,2001
11.2,bgr,2002
11.3,bgr,2003
11.5,bgr,2004
11.6,bgr,2005
11.7,bgr,2006
11.8,bgr,2007
11.9,bgr,2008
12.0,bgr,2009
0.1,bfa,1970
0.1,bfa,1971
0.1,bfa,1972
0.1,bfa,1973
0.1,bfa,1974
0.1,bfa,1975
0.1,bfa,1976
0.1,bfa,1977
0.1,bfa,1978
0.2,bfa,1979
0.2,bfa,1980
0.2,bfa,1981
0.2,bfa,1982
0.2,bfa,1983
0.2,bfa,1984
0.2,bfa,1985
0.2,bfa,1986
0.2,bfa,1987
0.3,bfa,1988
0.3,bfa,1989
0.3,bfa,1990
0.3,bfa,1991
0.3,bfa,1992
0.3,bfa,1993
0.4,bfa,1994
0.4,bfa,1995
0.4,bfa,1996
0.4,bfa,1997
0.4,bfa,1998
0.5,bfa,1999
0.5,bfa,2000
0.5,bfa,2001
0.5,bfa,2002
0.6,bfa,2003
0.6,bfa,2004
0.6,bfa,2005
0.7,bfa,2006
0.7,bfa,2007
0.7,bfa,2008
0.8,bfa,2009
0.3,bdi,1970
0.3,bdi,1971
0.3,bdi,1972
0.3,bdi,1973
0.4,bdi,1974
0.4,bdi,1975
0.4,bdi,1976
0.4,bdi,1977
0.5,bdi,1978
0.5,bdi,1979
0.5,bdi,1980
0.5,bdi,1981
0.6,bdi,1982
0.6,bdi,1983
0.6,bdi,1984
0.7,bdi,1985
0.7,bdi,1986
0.8,bdi,1987
0.8,bdi,1988
0.8,bdi,1989
0.9,bdi,1990
0.9,bdi,1991
1.0,bdi,1992
1.0,bdi,1993
1.1,bdi,1994
1.1,bdi,1995
1.2,bdi,1996
1.2,bdi,1997
1.3,bdi,1998
1.3,bdi,1999
1.4,bdi,2000
1.4,bdi,2001
1.5,bdi,2002
1.6,bdi,2003
1.6,bdi,2004
1.7,bdi,2005
1.8,bdi,2006
1.8,bdi,2007
1.9,bdi,2008
2.0,bdi,2009
0.6,khm,1970
0.7,khm,1971
0.7,khm,1972
0.7,khm,1973
0.8,khm,1974
0.8,khm,1975
0.8,khm,1976
0.9,khm,1977
0.9,khm,1978
1.0,khm,1979
1.0,khm,1980
1.1,khm,1981
1.1,khm,1982
1.2,khm,1983
1.2,khm,1984
1.3,khm,1985
1.3,khm,1986
1.4,khm,1987
1.4,khm,1988
1.5,khm,1989
1.6,khm,1990
1.6,khm,1991
1.7,khm,1992
1.8,khm,1993
1.8,khm,1994
1.9,khm,1995
2.0,khm,1996
2.1,khm,1997
2.1,khm,1998
2.2,khm,1999
2.3,khm,2000
2.4,khm,2001
2.5,khm,2002
2.6,khm,2003
2.7,khm,2004
2.8,khm,2005
2.8,khm,2006
3.0,khm,2007
3.1,khm,2008
3.2,khm,2009
0.6,cmr,1970
0.6,cmr,1971
0.7,cmr,1972
0.7,cmr,1973
0.7,cmr,1974
0.8,cmr,1975
0.8,cmr,1976
0.9,cmr,1977
0.9,cmr,1978
1.0,cmr,1979
1.0,cmr,1980
1.1,cmr,1981
1.2,cmr,1982
1.2,cmr,1983
1.3,cmr,1984
1.4,cmr,1985
1.5,cmr,1986
1.6,cmr,1987
1.7,cmr,1988
1.8,cmr,1989
1.9,cmr,1990
1.9,cmr,1991
2.0,cmr,1992
2.1,cmr,1993
2.3,cmr,1994
2.4,cmr,1995
2.5,cmr,1996
2.6,cmr,1997
2.7,cmr,1998
2.8,cmr,1999
2.9,cmr,2000
3.1,cmr,2001
3.2,cmr,2002
3.3,cmr,2003
3.5,cmr,2004
3.6,cmr,2005
3.8,cmr,2006
3.9,cmr,2007
4.1,cmr,2008
4.2,cmr,2009
8.7,can,1970
8.9,can,1971
9.1,can,1972
9.3,can,1973
9.5,can,1974
9.7,can,1975
9.9,can,1976
10.1,can,1977
10.3,can,1978
10.5,can,1979
10.7,can,1980
10.8,can,1981
11.0,can,1982
11.2,can,1983
11.4,can,1984
11.5,can,1985
11.7,can,1986
11.8,can,1987
12.0,can,1988
12.1,can,1989
12.3,can,1990
12.4,can,1991
12.6,can,1992
12.7,can,1993
12.8,can,1994
12.9,can,1995
13.0,can,1996
13.1,can,1997
13.3,can,1998
13.4,can,1999
13.5,can,2000
13.6,can,2001
13.6,can,2002
13.7,can,2003
13.8,can,2004
13.9,can,2005
14.0,can,2006
14.1,can,2007
14.1,can,2008
14.2,can,2009
0.5,cpv,1970
0.5,cpv,1971
0.5,cpv,1972
0.6,cpv,1973
0.6,cpv,1974
0.6,cpv,1975
0.7,cpv,1976
0.7,cpv,1977
0.7,cpv,1978
0.8,cpv,1979
0.8,cpv,1980
0.9,cpv,1981
0.9,cpv,1982
1.0,cpv,1983
1.0,cpv,1984
1.1,cpv,1985
1.1,cpv,1986
1.2,cpv,1987
1.3,cpv,1988
1.4,cpv,1989
1.4,cpv,1990
1.5,cpv,1991
1.6,cpv,1992
1.7,cpv,1993
1.8,cpv,1994
1.9,cpv,1995
2.0,cpv,1996
2.1,cpv,1997
2.2,cpv,1998
2.3,cpv,1999
2.4,cpv,2000
2.5,cpv,2001
2.6,cpv,2002
2.7,cpv,2003
2.8,cpv,2004
2.9,cpv,2005
3.1,cpv,2006
3.2,cpv,2007
3.3,cpv,2008
3.5,cpv,2009
0.2,caf,1970
0.3,caf,1971
0.3,caf,1972
0.3,caf,1973
0.3,caf,1974
0.3,caf,1975
0.3,caf,1976
0.4,caf,1977
0.4,caf,1978
0.4,caf,1979
0.4,caf,1980
0.5,caf,1981
0.5,caf,1982
0.5,caf,1983
0.6,caf,1984
0.6,caf,1985
0.6,caf,1986
0.7,caf,1987
0.7,caf,1988
0.8,caf,1989
0.8,caf,1990
0.9,caf,1991
0.9,caf,1992
1.0,caf,1993
1.0,caf,1994
1.1,caf,1995
1.1,caf,1996
1.2,caf,1997
1.3,caf,1998
1.3,caf,1999
1.4,caf,2000
1.5,caf,2001
1.5,caf,2002
1.6,caf,2003
1.7,caf,2004
1.8,caf,2005
1.9,caf,2006
1.9,caf,2007
2.0,caf,2008
2.1,caf,2009
0.1,tcd,1970
0.1,tcd,1971
0.1,tcd,1972
0.1,tcd,1973
0.1,tcd,1974
0.1,tcd,1975
0.1,tcd,1976
0.1,tcd,1977
0.1,tcd,1978
0.1,tcd,1979
0.1,tcd,1980
0.1,tcd,1981
0.1,tcd,1982
0.2,tcd,1983
0.2,tcd,1984
0.2,tcd,1985
0.2,tcd,1986
0.2,tcd,1987
0.2,tcd,1988
0.2,tcd,1989
0.2,tcd,1990
0.3,tcd,1991
0.3,tcd,1992
0.3,tcd,1993
0.3,tcd,1994
0.3,tcd,1995
0.4,tcd,1996
0.4,tcd,1997
0.4,tcd,1998
0.4,tcd,1999
0.5,tcd,2000
0.5,tcd,2001
0.5,tcd,2002
0.5,tcd,2003
0.6,tcd,2004
0.6,tcd,2005
0.6,tcd,2006
0.7,tcd,2007
0.7,tcd,2008
0.7,tcd,2009
5.3,chl,1970
5.4,chl,1971
5.5,chl,1972
5.6,chl,1973
5.8,chl,1974
5.9,chl,1975
6.0,chl,1976
6.1,chl,1977
6.3,chl,1978
6.4,chl,1979
6.5,chl,1980
6.6,chl,1981
6.8,chl,1982
6.9,chl,1983
7.0,chl,1984
7.1,chl,1985
7.3,chl,1986
7.4,chl,1987
7.5,chl,1988
7.7,chl,1989
7.8,chl,1990
7.9,chl,1991
8.0,chl,1992
8.2,chl,1993
8.3,chl,1994
8.4,chl,1995
8.5,chl,1996
8.7,chl,1997
8.8,chl,1998
8.9,chl,1999
9.0,chl,2000
9.2,chl,2001
9.3,chl,2002
9.4,chl,2003
9.5,chl,2004
9.6,chl,2005
9.7,chl,2006
9.8,chl,2007
10.0,chl,2008
10.1,chl,2009
1.2,chn,1970
1.3,chn,1971
1.4,chn,1972
1.4,chn,1973
1.5,chn,1974
1.6,chn,1975
1.7,chn,1976
1.8,chn,1977
1.9,chn,1978
2.0,chn,1979
2.1,chn,1980
2.2,chn,1981
2.3,chn,1982
2.4,chn,1983
2.5,chn,1984
2.7,chn,1985
2.8,chn,1986
2.9,chn,1987
3.0,chn,1988
3.2,chn,1989
3.3,chn,1990
3.4,chn,1991
3.6,chn,1992
3.7,chn,1993
3.9,chn,1994
4.0,chn,1995
4.2,chn,1996
4.3,chn,1997
4.5,chn,1998
4.6,chn,1999
4.8,chn,2000
5.0,chn,2001
5.1,chn,2002
5.3,chn,2003
5.5,chn,2004
5.7,chn,2005
5.9,chn,2006
6.0,chn,2007
6.2,chn,2008
6.4,chn,2009
3.2,col,1970
3.3,col,1971
3.4,col,1972
3.5,col,1973
3.6,col,1974
3.6,col,1975
3.7,col,1976
3.8,col,1977
3.9,col,1978
4.0,col,1979
4.0,col,1980
4.1,col,1981
4.2,col,1982
4.3,col,1983
4.3,col,1984
4.4,col,1985
4.5,col,1986
4.6,col,1987
4.7,col,1988
4.7,col,1989
4.8,col,1990
4.9,col,1991
5.0,col,1992
5.1,col,1993
5.2,col,1994
5.2,col,1995
5.3,col,1996
5.4,col,1997
5.5,col,1998
5.6,col,1999
5.7,col,2000
5.7,col,2001
5.8,col,2002
5.9,col,2003
6.0,col,2004
6.1,col,2005
6.2,col,2006
6.3,col,2007
6.3,col,2008
6.4,col,2009
0.2,com,1970
0.2,com,1971
0.3,com,1972
0.3,com,1973
0.3,com,1974
0.3,com,1975
0.3,com,1976
0.3,com,1977
0.3,com,1978
0.4,com,1979
0.4,com,1980
0.4,com,1981
0.4,com,1982
0.5,com,1983
0.5,com,1984
0.5,com,1985
0.6,com,1986
0.6,com,1987
0.7,com,1988
0.8,com,1989
0.8,com,1990
0.9,com,1991
0.9,com,1992
1.0,com,1993
1.1,com,1994
1.1,com,1995
1.2,com,1996
1.3,com,1997
1.3,com,1998
1.4,com,1999
1.5,com,2000
1.6,com,2001
1.7,com,2002
1.8,com,2003
1.8,com,2004
1.9,com,2005
2.0,com,2006
2.1,com,2007
2.2,com,2008
2.3,com,2009
0.6,cod,1970
0.7,cod,1971
0.7,cod,1972
0.8,cod,1973
0.8,cod,1974
0.9,cod,1975
0.9,cod,1976
1.0,cod,1977
1.0,cod,1978
1.1,cod,1979
1.1,cod,1980
1.2,cod,1981
1.3,cod,1982
1.3,cod,1983
1.4,cod,1984
1.5,cod,1985
1.6,cod,1986
1.6,cod,1987
1.7,cod,1988
1.8,cod,1989
1.9,cod,1990
2.0,cod,1991
2.1,cod,1992
2.1,cod,1993
2.2,cod,1994
2.3,cod,1995
2.4,cod,1996
2.5,cod,1997
2.6,cod,1998
2.7,cod,1999
2.8,cod,2000
3.0,cod,2001
3.1,cod,2002
3.2,cod,2003
3.3,cod,2004
3.4,cod,2005
3.6,cod,2006
3.7,cod,2007
3.8,cod,2008
4.0,cod,2009
0.7,cog,1970
0.8,cog,1971
0.8,cog,1972
0.9,cog,1973
1.0,cog,1974
1.0,cog,1975
1.1,cog,1976
1.2,cog,1977
1.2,cog,1978
1.3,cog,1979
1.4,cog,1980
1.5,cog,1981
1.6,cog,1982
