mean_years_in_school_women_25_years_and_older,geo,time
2.6,slv,1973
2.7,slv,1974
2.8,slv,1975
2.9,slv,1976
3.0,slv,1977
3.1,slv,1978
3.2,slv,1979
3.3,slv,1980
3.4,slv,1981
3.5,slv,1982
3.6,slv,1983
3.7,slv,1984
3.8,slv,1985
3.9,slv,1986
4.0,slv,1987
4.1,slv,1988
4.2,slv,1989
4.3,slv,1990
4.4,slv,1991
4.5,slv,1992
4.6,slv,1993
4.7,slv,1994
4.8,slv,1995
5.0,slv,1996
5.1,slv,1997
5.2,slv,1998
5.3,slv,1999
5.4,slv,2000
5.5,slv,2001
5.7,slv,2002
5.8,slv,2003
5.9,slv,2004
6.0,slv,2005
6.2,slv,2006
6.3,slv,2007
6.4,slv,2008
6.5,slv,2009
0.9,gnq,1970
0.9,gnq,1971
1.0,gnq,1972
1.0,gnq,1973
1.0,gnq,1974
1.1,gnq,1975
1.2,gnq,1976
1.2,gnq,1977
1.3,gnq,1978
1.3,gnq,1979
1.4,gnq,1980
1.5,gnq,1981
1.5,gnq,1982
1.6,gnq,1983
1.7,gnq,1984
1.8,gnq,1985
1.9,gnq,1986
1.9,gnq,1987
2.0,gnq,1988
2.1,gnq,1989
2.2,gnq,1990
2.3,gnq,1991
2.4,gnq,1992
2.5,gnq,1993
2.6,gnq,1994
2.7,gnq,1995
2.8,gnq,1996
2.9,gnq,1997
3.0,gnq,1998
3.2,gnq,1999
3.3,gnq,2000
3.4,gnq,2001
3.5,gnq,2002
3.7,gnq,2003
3.8,gnq,2004
3.9,gnq,2005
4.1,gnq,2006
4.2,gnq,2007
4.4,gnq,2008
4.5,gnq,2009
0.2,eri,1970
0.2,eri,1971
0.2,eri,1972
0.2,eri,1973
0.2,eri,1974
0.2,eri,1975
0.2,eri,1976
0.3,eri,1977
0.3,eri,1978
0.3,eri,1979
0.3,eri,1980
0.3,eri,1981
0.4,eri,1982
0.4,eri,1983
0.4,eri,1984
0.5,eri,1985
0.5,eri,1986
0.5,eri,1987
0.6,eri,1988
0.6,eri,1989
0.7,eri,1990
0.7,eri,1991
0.8,eri,1992
0.8,eri,1993
0.9,eri,1994
0.9,eri,1995
1.0,eri,1996
1.1,eri,1997
1.1,eri,1998
1.2,eri,1999
1.3,eri,2000
1.3,eri,2001
1.4,eri,2002
1.5,eri,2003
1.6,eri,2004
1.7,eri,2005
1.8,eri,2006
1.9,eri,2007
2.0,eri,2008
2.1,eri,2009
6.5,est,1970
6.6,est,1971
6.8,est,1972
6.9,est,1973
7.1,est,1974
7.2,est,1975
7.4,est,1976
7.5,est,1977
7.7,est,1978
7.8,est,1979
8.0,est,1980
8.2,est,1981
8.3,est,1982
8.5,est,1983
8.6,est,1984
8.8,est,1985
8.9,est,1986
9.1,est,1987
9.2,est,1988
9.3,est,1989
9.5,est,1990
9.6,est,1991
9.7,est,1992
9.9,est,1993
10.0,est,1994
10.1,est,1995
10.2,est,1996
10.4,est,1997
10.5,est,1998
10.6,est,1999
10.7,est,2000
10.8,est,2001
11.0,est,2002
11.1,est,2003
11.2,est,2004
11.3,est,2005
11.4,est,2006
11.5,est,2007
11.6,est,2008
11.7,est,2009
0.1,eth,1970
0.1,eth,1971
0.1,eth,1972
0.1,eth,1973
0.1,eth,1974
0.1,eth,1975
0.1,eth,1976
0.1,eth,1977
0.1,eth,1978
0.1,eth,1979
0.1,eth,1980
0.2,eth,1981
0.2,eth,1982
0.2,eth,1983
0.2,eth,1984
0.2,eth,1985
0.2,eth,1986
0.2,eth,1987
0.3,eth,1988
0.3,eth,1989
0.3,eth,1990
0.3,eth,1991
0.3,eth,1992
0.4,eth,1993
0.4,eth,1994
0.4,eth,1995
0.4,eth,1996
0.5,eth,1997
0.5,eth,1998
0.5,eth,1999
0.6,eth,2000
0.6,eth,2001
0.6,eth,2002
0.7,eth,2003
0.7,eth,2004
0.8,eth,2005
0.8,eth,2006
0.9,eth,2007
0.9,eth,2008
1.0,eth,2009
3.7,fji,1970
3.8,fji,1971
4.0,fji,1972
4.1,fji,1973
4.2,fji,1974
4.3,fji,1975
4.5,fji,1976
4.6,fji,1977
4.7,fji,1978
4.8,fji,1979
5.0,fji,1980
5.1,fji,1981
5.2,fji,1982
5.4,fji,1983
5.5,fji,1984
5.6,fji,1985
5.8,fji,1986
5.9,fji,1987
6.1,fji,1988
6.2,fji,1989
6.3,fji,1990
6.5,fji,1991
6.6,fji,1992
6.8,fji,1993
6.9,fji,1994
7.1,fji,1995
7.2,fji,1996
7.4,fji,1997
7.5,fji,1998
7.7,fji,1999
7.8,fji,2000
8.0,fji,2001
8.1,fji,2002
8.3,fji,2003
8.4,fji,2004
8.6,fji,2005
8.7,fji,2006
8.9,fji,2007
9.0,fji,2008
9.2,fji,2009
6.3,fin,1970
6.5,fin,1971
6.7,fin,1972
6.9,fin,1973
7.0,fin,1974
7.2,fin,1975
7.4,fin,1976
7.6,fin,1977
7.8,fin,1978
7.9,fin,1979
8.1,fin,1980
8.3,fin,1981
8.5,fin,1982
8.6,fin,1983
8.8,fin,1984
9.0,fin,1985
9.2,fin,1986
9.3,fin,1987
9.5,fin,1988
9.7,fin,1989
9.8,fin,1990
10.0,fin,1991
10.2,fin,1992
10.3,fin,1993
10.5,fin,1994
10.6,fin,1995
10.8,fin,1996
10.9,fin,1997
11.0,fin,1998
11.2,fin,1999
11.3,fin,2000
11.4,fin,2001
11.6,fin,2002
11.7,fin,2003
11.8,fin,2004
11.9,fin,2005
12.0,fin,2006
12.1,fin,2007
12.2,fin,2008
12.3,fin,2009
5.7,fra,1970
5.8,fra,1971
6.0,fra,1972
6.1,fra,1973
6.2,fra,1974
6.3,fra,1975
6.5,fra,1976
6.6,fra,1977
6.7,fra,1978
6.8,fra,1979
7.0,fra,1980
7.1,fra,1981
7.2,fra,1982
7.3,fra,1983
7.4,fra,1984
7.6,fra,1985
7.7,fra,1986
7.8,fra,1987
8.0,fra,1988
8.1,fra,1989
8.2,fra,1990
8.3,fra,1991
8.5,fra,1992
8.6,fra,1993
8.7,fra,1994
8.8,fra,1995
9.0,fra,1996
9.1,fra,1997
9.2,fra,1998
9.3,fra,1999
9.4,fra,2000
9.6,fra,2001
9.7,fra,2002
9.8,fra,2003
9.9,fra,2004
10.0,fra,2005
10.1,fra,2006
10.3,fra,2007
10.4,fra,2008
10.5,fra,2009
1.2,gab,1970
1.2,gab,1971
1.3,gab,1972
1.3,gab,1973
1.4,gab,1974
1.5,gab,1975
1.5,gab,1976
1.6,gab,1977
1.7,gab,1978
1.8,gab,1979
1.8,gab,1980
1.9,gab,1981
2.0,gab,1982
2.1,gab,1983
2.2,gab,1984
2.4,gab,1985
2.5,gab,1986
2.6,gab,1987
2.7,gab,1988
2.8,gab,1989
3.0,gab,1990
3.1,gab,1991
3.2,gab,1992
3.3,gab,1993
3.5,gab,1994
3.6,gab,1995
3.7,gab,1996
3.9,gab,1997
4.0,gab,1998
4.2,gab,1999
4.3,gab,2000
4.5,gab,2001
4.6,gab,2002
4.8,gab,2003
4.9,gab,2004
5.1,gab,2005
5.2,gab,2006
5.4,gab,2007
5.6,gab,2008
5.7,gab,2009
0.3,gmb,1970
0.3,gmb,1971
0.3,gmb,1972
0.3,gmb,1973
0.3,gmb,1974
0.4,gmb,1975
0.4,gmb,1976
0.4,gmb,1977
0.4,gmb,1978
0.4,gmb,1979
0.5,gmb,1980
0.5,gmb,1981
0.5,gmb,1982
0.5,gmb,1983
0.6,gmb,1984
0.6,gmb,1985
0.6,gmb,1986
0.7,gmb,1987
0.7,gmb,1988
0.7,gmb,1989
0.8,gmb,1990
0.8,gmb,1991
0.9,gmb,1992
0.9,gmb,1993
1.0,gmb,1994
1.0,gmb,1995
1.1,gmb,1996
1.1,gmb,1997
1.2,gmb,1998
1.2,gmb,1999
1.3,gmb,2000
1.4,gmb,2001
1.4,gmb,2002
1.5,gmb,2003
1.6,gmb,2004
1.6,gmb,2005
1.7,gmb,2006
1.8,gmb,2007
1.9,gmb,2008
2.0,gmb,2009
7.4,geo,1970
7.5,geo,1971
7.7,geo,1972
7.8,geo,1973
8.0,geo,1974
8.1,geo,1975
8.3,geo,1976
8.4,geo,1977
8.6,geo,1978
8.7,geo,1979
8.9,geo,1980
9.0,geo,1981
9.2,geo,1982
9.3,geo,1983
9.5,geo,1984
9.6,geo,1985
9.7,geo,1986
9.9,geo,1987
10.0,geo,1988
10.2,geo,1989
10.3,geo,1990
10.5,geo,1991
10.6,geo,1992
10.7,geo,1993
10.8,geo,1994
11.0,geo,1995
11.1,geo,1996
11.2,geo,1997
11.3,geo,1998
11.4,geo,1999
11.6,geo,2000
11.7,geo,2001
11.8,geo,2002
11.9,geo,2003
12.0,geo,2004
12.1,geo,2005
12.2,geo,2006
12.3,geo,2007
12.4,geo,2008
12.5,geo,2009
6.2,deu,1970
6.4,deu,1971
6.6,deu,1972
6.8,deu,1973
6.9,deu,1974
7.1,deu,1975
7.3,deu,1976
7.5,deu,1977
7.6,deu,1978
7.8,deu,1979
8.0,deu,1980
8.2,deu,1981
8.3,deu,1982
8.5,deu,1983
8.6,deu,1984
8.8,deu,1985
9.0,deu,1986
9.1,deu,1987
9.3,deu,1988
9.4,deu,1989
9.6,deu,1990
9.7,deu,1991
9.8,deu,1992
10.0,deu,1993
10.1,deu,1994
10.3,deu,1995
10.4,deu,1996
10.5,deu,1997
10.7,deu,1998
10.8,deu,1999
10.9,deu,2000
11.1,deu,2001
11.2,deu,2002
11.3,deu,2003
11.4,deu,2004
11.6,deu,2005
11.7,deu,2006
11.8,deu,2007
11.9,deu,2008
12.0,deu,2009
1.2,gha,1970
1.2,gha,1971
1.3,gha,1972
1.3,gha,1973
1.4,gha,1974
1.5,gha,1975
1.6,gha,1976
1.6,gha,1977
1.7,gha,1978
1.8,gha,1979
1.9,gha,1980
2.0,gha,1981
2.0,gha,1982
2.1,gha,1983
2.2,gha,1984
2.3,gha,1985
2.4,gha,1986
2.5,gha,1987
2.6,gha,1988
2.7,gha,1989
2.8,gha,1990
2.9,gha,1991
3.0,gha,1992
3.1,gha,1993
3.3,gha,1994
3.4,gha,1995
3.5,gha,1996
3.6,gha,1997
3.7,gha,1998
3.8,gha,1999
4.0,gha,2000
4.1,gha,2001
4.2,gha,2002
4.4,gha,2003
4.5,gha,2004
4.6,gha,2005
4.8,gha,2006
4.9,gha,2007
5.1,gha,2008
5.2,gha,2009
4.4,grc,1970
4.5,grc,1971
4.6,grc,1972
4.8,grc,1973
4.9,grc,1974
5.1,grc,1975
5.2,grc,1976
5.4,grc,1977
5.5,grc,1978
5.7,grc,1979
5.8,grc,1980
6.0,grc,1981
6.1,grc,1982
6.3,grc,1983
6.4,grc,1984
6.6,grc,1985
6.7,grc,1986
6.9,grc,1987
7.0,grc,1988
7.2,grc,1989
7.4,grc,1990
7.5,grc,1991
7.7,grc,1992
7.8,grc,1993
8.0,grc,1994
8.1,grc,1995
8.3,grc,1996
8.4,grc,1997
8.6,grc,1998
8.7,grc,1999
8.9,grc,2000
9.0,grc,2001
9.1,grc,2002
9.3,grc,2003
9.4,grc,2004
9.5,grc,2005
9.7,grc,2006
9.8,grc,2007
9.9,grc,2008
10.1,grc,2009
1.0,gtm,1970
1.1,gtm,1971
1.1,gtm,1972
1.2,gtm,1973
1.2,gtm,1974
1.3,gtm,1975
1.3,gtm,1976
1.4,gtm,1977
1.5,gtm,1978
1.5,gtm,1979
1.6,gtm,1980
1.6,gtm,1981
1.7,gtm,1982
1.8,gtm,1983
1.8,gtm,1984
1.9,gtm,1985
2.0,gtm,1986
2.0,gtm,1987
2.1,gtm,1988
2.2,gtm,1989
2.2,gtm,1990
2.3,gtm,1991
2.4,gtm,1992
2.5,gtm,1993
2.5,gtm,1994
2.6,gtm,1995
2.7,gtm,1996
2.8,gtm,1997
2.9,gtm,1998
3.0,gtm,1999
3.0,gtm,2000
3.1,gtm,2001
3.2,gtm,2002
3.3,gtm,2003
3.4,gtm,2004
3.5,gtm,2005
3.6,gtm,2006
3.7,gtm,2007
3.8,gtm,2008
3.9,gtm,2009
0.1,gin,1970
0.1,gin,1971
0.1,gin,1972
0.1,gin,1973
0.2,gin,1974
0.2,gin,1975
0.2,gin,1976
0.2,gin,1977
0.2,gin,1978
0.2,gin,1979
0.2,gin,1980
0.2,gin,1981
0.2,gin,1982
0.3,gin,1983
0.3,gin,1984
0.3,gin,1985
0.3,gin,1986
0.3,gin,1987
0.4,gin,1988
0.4,gin,1989
0.4,gin,1990
0.4,gin,1991
0.4,gin,1992
0.5,gin,1993
0.5,gin,1994
0.5,gin,1995
0.5,gin,1996
0.6,gin,1997
0.6,gin,1998
0.6,gin,1999
0.7,gin,2000
0.7,gin,2001
0.7,gin,2002
0.8,gin,2003
0.8,gin,2004
0.8,gin,2005
0.9,gin,2006
0.9,gin,2007
0.9,gin,2008
1.0,gin,2009
0.1,gnb,1970
0.1,gnb,1971
0.1,gnb,1972
0.1,gnb,1973
0.1,gnb,1974
0.2,gnb,1975
0.2,gnb,1976
0.2,gnb,1977
0.2,gnb,1978
0.2,gnb,1979
0.2,gnb,1980
0.2,gnb,1981
0.2,gnb,1982
0.3,gnb,1983
0.3,gnb,1984
0.3,gnb,1985
0.3,gnb,1986
0.3,gnb,1987
0.3,gnb,1988
0.4,gnb,1989
0.4,gnb,1990
0.4,gnb,1991
0.4,gnb,1992
0.5,gnb,1993
0.5,gnb,1994
0.5,gnb,1995
0.6,gnb,1996
0.6,gnb,1997
0.6,gnb,1998
0.7,gnb,1999
0.7,gnb,2000
0.7,gnb,2001
0.8,gnb,2002
0.8,gnb,2003
0.9,gnb,2004
0.9,gnb,2005
1.0,gnb,2006
1.0,gnb,2007
1.1,gnb,2008
1.1,gnb,2009
3.6,guy,1970
3.7,guy,1971
3.8,guy,1972
3.9,guy,1973
4.0,guy,1974
4.2,guy,1975
4.3,guy,1976
4.4,guy,1977
4.5,guy,1978
4.6,guy,1979
4.8,guy,1980
4.9,guy,1981
5.1,guy,1982
5.2,guy,1983
5.4,guy,1984
5.6,guy,1985
5.8,guy,1986
6.0,guy,1987
6.2,guy,1988
6.4,guy,1989
6.5,guy,1990
6.7,guy,1991
6.9,guy,1992
7.1,guy,1993
7.2,guy,1994
7.4,guy,1995
7.6,guy,1996
7.7,guy,1997
7.9,guy,1998
8.0,guy,1999
8.2,guy,2000
8.3,guy,2001
8.5,guy,2002
8.6,guy,2003
8.8,guy,2004
8.9,guy,2005
9.0,guy,2006
9.1,guy,2007
9.3,guy,2008
9.4,guy,2009
0.5,hti,1970
0.6,hti,1971
0.6,hti,1972
0.6,hti,1973
0.7,hti,1974
0.7,hti,1975
0.7,hti,1976
0.8,hti,1977
0.8,hti,1978
0.9,hti,1979
0.9,hti,1980
1.0,hti,1981
1.0,hti,1982
1.1,hti,1983
1.1,hti,1984
1.2,hti,1985
1.2,hti,1986
1.3,hti,1987
1.4,hti,1988
1.4,hti,1989
1.5,hti,1990
1.6,hti,1991
1.7,hti,1992
1.7,hti,1993
1.8,hti,1994
1.9,hti,1995
2.0,hti,1996
2.1,hti,1997
2.2,hti,1998
2.3,hti,1999
2.4,hti,2000
2.5,hti,2001
2.6,hti,2002
2.7,hti,2003
2.8,hti,2004
2.9,hti,2005
3.0,hti,2006
3.2,hti,2007
3.3,hti,2008
3.4,hti,2009
1.8,hnd,1970
1.9,hnd,1971
1.9,hnd,1972
2.0,hnd,1973
2.1,hnd,1974
2.2,hnd,1975
2.2,hnd,1976
2.3,hnd,1977
2.4,hnd,1978
2.5,hnd,1979
2.6,hnd,1980
2.7,hnd,1981
2.7,hnd,1982
2.8,hnd,1983
2.9,hnd,1984
3.0,hnd,1985
3.1,hnd,1986
3.2,hnd,1987
3.3,hnd,1988
3.4,hnd,1989
3.5,hnd,1990
3.6,hnd,1991
3.7,hnd,1992
3.9,hnd,1993
4.0,hnd,1994
4.1,hnd,1995
4.2,hnd,1996
4.3,hnd,1997
4.4,hnd,1998
4.5,hnd,1999
4.6,hnd,2000
4.8,hnd,2001
4.9,hnd,2002
5.0,hnd,2003
5.1,hnd,2004
5.2,hnd,2005
5.4,hnd,2006
5.5,hnd,2007
5.6,hnd,2008
5.7,hnd,2009
7.0,hun,1970
7.1,hun,1971
7.2,hun,1972
7.3,hun,1973
7.4,hun,1974
7.6,hun,1975
7.7,hun,1976
7.8,hun,1977
7.9,hun,1978
8.0,hun,1979
8.1,hun,1980
8.3,hun,1981
8.4,hun,1982
8.5,hun,1983
8.6,hun,1984
8.7,hun,1985
8.9,hun,1986
9.0,hun,1987
9.1,hun,1988
9.2,hun,1989
9.3,hun,1990
9.4,hun,1991
9.5,hun,1992
9.6,hun,1993
9.7,hun,1994
9.8,hun,1995
9.9,hun,1996
10.0,hun,1997
10.1,hun,1998
10.2,hun,1999
10.3,hun,2000
10.4,hun,2001
10.5,hun,2002
10.6,hun,2003
10.7,hun,2004
10.8,hun,2005
10.9,hun,2006
10.9,hun,2007
11.0,hun,2008
11.1,hun,2009
0.6,ind,1970
0.7,ind,1971
0.7,ind,1972
0.7,ind,1973
0.8,ind,1974
0.8,ind,1975
0.9,ind,1976
0.9,ind,1977
1.0,ind,1978
1.0,ind,1979
1.1,ind,1980
1.1,ind,1981
1.2,ind,1982
1.2,ind,1983
1.3,ind,1984
1.4,ind,1985
1.4,ind,1986
1.5,ind,1987
1.5,ind,1988
1.6,ind,1989
1.7,ind,1990
1.8,ind,1991
1.8,ind,1992
1.9,ind,1993
2.0,ind,1994
2.1,ind,1995
2.1,ind,1996
2.2,ind,1997
2.3,ind,1998
2.4,ind,1999
2.5,ind,2000
2.6,ind,2001
2.7,ind,2002
2.8,ind,2003
2.9,ind,2004
3.0,ind,2005
3.1,ind,2006
3.2,ind,2007
3.3,ind,2008
3.4,ind,2009
1.1,idn,1970
1.2,idn,1971
1.3,idn,1972
1.4,idn,1973
1.4,idn,1974
1.5,idn,1975
1.6,idn,1976
1.7,idn,1977
1.8,idn,1978
1.9,idn,1979
2.0,idn,1980
2.1,idn,1981
2.2,idn,1982
2.3,idn,1983
2.4,idn,1984
2.5,idn,1985
2.6,idn,1986
2.7,idn,1987
2.9,idn,1988
3.0,idn,1989
3.1,idn,1990
3.2,idn,1991
3.4,idn,1992
3.5,idn,1993
3.6,idn,1994
3.8,idn,1995
3.9,idn,1996
4.1,idn,1997
4.2,idn,1998
4.4,idn,1999
4.5,idn,2000
4.7,idn,2001
4.9,idn,2002
5.0,idn,2003
5.2,idn,2004
5.4,idn,2005
5.5,idn,2006
5.7,idn,2007
5.9,idn,2008
6.1,idn,2009
0.8,irn,1970
0.8,irn,1971
0.9,irn,1972
0.9,irn,1973
1.0,irn,1974
1.0,irn,1975
1.1,irn,1976
1.1,irn,1977
1.2,irn,1978
1.3,irn,1979
1.4,irn,1980
1.4,irn,1981
1.5,irn,1982
1.6,irn,1983
1.7,irn,1984
1.8,irn,1985
1.9,irn,1986
2.0,irn,1987
2.1,irn,1988
2.2,irn,1989
2.3,irn,1990
2.4,irn,1991
2.6,irn,1992
2.7,irn,1993
2.8,irn,1994
2.9,irn,1995
3.1,irn,1996
3.2,irn,1997
3.4,irn,1998
3.5,irn,1999
3.7,irn,2000
3.8,irn,2001
4.0,irn,2002
4.1,irn,2003
4.3,irn,2004
4.4,irn,2005
4.6,irn,2006
4.8,irn,2007
5.0,irn,2008
5.1,irn,2009
1.2,irq,1970
1.3,irq,1971
1.3,irq,1972
1.4,irq,1973
1.4,irq,1974
1.5,irq,1975
1.5,irq,1976
1.6,irq,1977
1.6,irq,1978
1.7,irq,1979
1.7,irq,1980
1.8,irq,1981
1.8,irq,1982
1.9,irq,1983
2.0,irq,1984
2.0,irq,1985
2.0,irq,1986
2.1,irq,1987
2.1,irq,1988
2.1,irq,1989
2.1,irq,1990
2.2,irq,1991
2.2,irq,1992
2.3,irq,1993
2.3,irq,1994
2.4,irq,1995
2.5,irq,1996
2.5,irq,1997
2.6,irq,1998
2.7,irq,1999
2.8,irq,2000
2.8,irq,2001
2.9,irq,2002
3.0,irq,2003
3.1,irq,2004
3.2,irq,2005
3.3,irq,2006
3.4,irq,2007
3.5,irq,2008
3.7,irq,2009
6.2,irl,1970
6.4,irl,1971
6.6,irl,1972
6.7,irl,1973
6.9,irl,1974
7.0,irl,1975
7.2,irl,1976
7.3,irl,1977
7.5,irl,1978
7.7,irl,1979
7.8,irl,1980
8.0,irl,1981
8.1,irl,1982
8.2,irl,1983
8.4,irl,1984
8.5,irl,1985
8.7,irl,1986
8.8,irl,1987
9.0,irl,1988
9.1,irl,1989
9.3,irl,1990
9.4,irl,1991
9.5,irl,1992
9.7,irl,1993
9.8,irl,1994
9.9,irl,1995
10.0,irl,1996
10.2,irl,1997
10.3,irl,1998
10.4,irl,1999
10.5,irl,2000
10.6,irl,2001
10.8,irl,2002
10.9,irl,2003
11.0,irl,2004
11.1,irl,2005
11.2,irl,2006
11.3,irl,2007
11.4,irl,2008
11.5,irl,2009
6.9,isr,1970
7.0,isr,1971
7.2,isr,1972
7.4,isr,1973
7.5,isr,1974
7.7,isr,1975
7.9,isr,1976
8.0,isr,1977
8.2,isr,1978
8.4,isr,1979
8.5,isr,1980
8.7,isr,1981
8.9,isr,1982
9.0,isr,1983
9.2,isr,1984
9.3,isr,1985
9.5,isr,1986
9.7,isr,1987
9.8,isr,1988
10.0,isr,1989
10.1,isr,1990
10.2,isr,1991
10.4,isr,1992
10.5,isr,1993
10.7,isr,1994
10.8,isr,1995
10.9,isr,1996
11.1,isr,1997
11.2,isr,1998
11.3,isr,1999
11.5,isr,2000
11.6,isr,2001
11.7,isr,2002
11.8,isr,2003
12.0,isr,2004
12.1,isr,2005
12.2,isr,2006
12.3,isr,2007
12.4,isr,2008
12.5,isr,2009
5.0,ita,1970
5.1,ita,1971
5.2,ita,1972
5.4,ita,1973
5.5,ita,1974
5.6,ita,1975
5.8,ita,1976
5.9,ita,1977
6.0,ita,1978
6.2,ita,1979
6.3,ita,1980
6.5,ita,1981
6.6,ita,1982
6.7,ita,1983
6.9,ita,1984
7.0,ita,1985
7.2,ita,1986
7.3,ita,1987
7.5,ita,1988
7.6,ita,1989
7.8,ita,1990
7.9,ita,1991
8.1,ita,1992
8.2,ita,1993
8.3,ita,1994
8.5,ita,1995
8.6,ita,1996
8.7,ita,1997
8.9,ita,1998
9.0,ita,1999
9.1,ita,2000
9.3,ita,2001
9.4,ita,2002
9.5,ita,2003
9.7,ita,2004
9.8,ita,2005
9.9,ita,2006
10.0,ita,2007
10.1,ita,2008
10.2,ita,2009
4.6,jam,1970
4.7,jam,1971
4.9,jam,1972
5.0,jam,1973
5.2,jam,1974
5.3,jam,1975
5.5,jam,1976
5.6,jam,1977
5.8,jam,1978
5.9,jam,1979
6.1,jam,1980
6.3,jam,1981
6.4,jam,1982
6.6,jam,1983
6.7,jam,1984
6.9,jam,1985
7.0,jam,1986
7.2,jam,1987
7.4,jam,1988
7.5,jam,1989
7.7,jam,1990
7.8,jam,1991
8.0,jam,1992
8.1,jam,1993
8.3,jam,1994
8.4,jam,1995
8.6,jam,1996
8.7,jam,1997
8.8,jam,1998
9.0,jam,1999
9.1,jam,2000
9.3,jam,2001
9.4,jam,2002
9.5,jam,2003
9.7,jam,2004
9.8,jam,2005
9.9,jam,2006
10.1,jam,2007
10.2,jam,2008
10.3,jam,2009
8.2,jpn,1970
8.3,jpn,1971
8.5,jpn,1972
8.6,jpn,1973
8.7,jpn,1974
8.8,jpn,1975
8.9,jpn,1976
9.0,jpn,1977
9.1,jpn,1978
9.2,jpn,1979
9.4,jpn,1980
9.5,jpn,1981
9.6,jpn,1982
9.7,jpn,1983
9.8,jpn,1984
9.9,jpn,1985
10.0,jpn,1986
10.1,jpn,1987
10.2,jpn,1988
10.3,jpn,1989
10.4,jpn,1990
10.5,jpn,1991
10.6,jpn,1992
10.7,jpn,1993
10.8,jpn,1994
10.9,jpn,1995
11.0,jpn,1996
11.1,jpn,1997
11.2,jpn,1998
11.3,jpn,1999
11.4,jpn,2000
11.5,jpn,2001
11.6,jpn,2002
11.7,jpn,2003
11.8,jpn,2004
11.9,jpn,2005
12.0,jpn,2006
12.0,jpn,2007
12.1,jpn,2008
12.2,jpn,2009
1.2,jor,1970
1.3,jor,1971
1.4,jor,1972
1.5,jor,1973
1.6,jor,1974
1.7,jor,1975
1.9,jor,1976
2.0,jor,1977
2.1,jor,1978
2.3,jor,1979
2.4,jor,1980
2.6,jor,1981
2.7,jor,1982
2.9,jor,1983
3.1,jor,1984
3.3,jor,1985
3.5,jor,1986
3.6,jor,1987
3.8,jor,1988
4.0,jor,1989
4.2,jor,1990
4.4,jor,1991
4.6,jor,1992
4.8,jor,1993
5.1,jor,1994
5.3,jor,1995
5.5,jor,1996
5.7,jor,1997
5.9,jor,1998
6.2,jor,1999
6.4,jor,2000
6.7,jor,2001
6.9,jor,2002
7.1,jor,2003
7.4,jor,2004
7.6,jor,2005
7.9,jor,2006
8.1,jor,2007
8.3,jor,2008
8.6,jor,2009
4.7,kaz,1970
4.9,kaz,1971
5.0,kaz,1972
5.2,kaz,1973
5.4,kaz,1974
5.5,kaz,1975
5.7,kaz,1976
5.9,kaz,1977
6.0,kaz,1978
6.2,kaz,1979
6.4,kaz,1980
6.6,kaz,1981
6.8,kaz,1982
7.0,kaz,1983
7.2,kaz,1984
7.4,kaz,1985
7.6,kaz,1986
7.8,kaz,1987
8.1,kaz,1988
8.3,kaz,1989
8.5,kaz,1990
8.7,kaz,1991
8.9,kaz,1992
9.1,kaz,1993
9.3,kaz,1994
9.5,kaz,1995
9.7,kaz,1996
9.9,kaz,1997
10.1,kaz,1998
10.3,kaz,1999
10.4,kaz,2000
10.6,kaz,2001
10.8,kaz,2002
11.0,kaz,2003
11.1,kaz,2004
11.3,kaz,2005
11.5,kaz,2006
11.6,kaz,2007
11.8,kaz,2008
11.9,kaz,2009
0.8,ken,1970
0.8,ken,1971
0.9,ken,1972
0.9,ken,1973
1.0,ken,1974
1.1,ken,1975
1.1,ken,1976
1.2,ken,1977
1.3,ken,1978
1.4,ken,1979
1.5,ken,1980
1.6,ken,1981
1.7,ken,1982
1.8,ken,1983
1.9,ken,1984
2.0,ken,1985
2.1,ken,1986
2.2,ken,1987
2.4,ken,1988
2.5,ken,1989
2.6,ken,1990
2.8,ken,1991
2.9,ken,1992
3.1,ken,1993
3.2,ken,1994
3.4,ken,1995
3.5,ken,1996
3.7,ken,1997
3.8,ken,1998
4.0,ken,1999
4.2,ken,2000
4.4,ken,2001
4.5,ken,2002
4.7,ken,2003
4.9,ken,2004
5.1,ken,2005
5.3,ken,2006
5.5,ken,2007
5.7,ken,2008
5.9,ken,2009
2.7,kir,1970
2.8,kir,1971
2.9,kir,1972
3.0,kir,1973
3.2,kir,1974
3.3,kir,1975
3.4,kir,1976
3.6,kir,1977
3.7,kir,1978
3.8,kir,1979
4.0,kir,1980
4.1,kir,1981
4.3,kir,1982
4.4,kir,1983
4.6,kir,1984
4.7,kir,1985
4.9,kir,1986
5.1,kir,1987
5.2,kir,1988
5.4,kir,1989
5.6,kir,1990
5.8,kir,1991
5.9,kir,1992
6.1,kir,1993
6.3,kir,1994
6.5,kir,1995
6.7,kir,1996
6.9,kir,1997
7.0,kir,1998
7.2,kir,1999
7.4,kir,2000
7.6,kir,2001
7.8,kir,2002
8.0,kir,2003
8.2,kir,2004
8.4,kir,2005
8.6,kir,2006
8.8,kir,2007
9.0,kir,2008
9.2,kir,2009
4.8,kor,1970
5.0,kor,1971
5.1,kor,1972
5.3,kor,1973
5.5,kor,1974
5.7,kor,1975
5.9,kor,1976
6.1,kor,1977
6.3,kor,1978
6.5,kor,1979
6.7,kor,1980
6.9,kor,1981
7.0,kor,1982
7.2,kor,1983
7.4,kor,1984
7.6,kor,1985
