foreign_direct_investment_net_outflows_percent_of_gdp,geo,time
0.721,aus,1984
1.032,aus,1985
1.813,aus,1986
2.686,aus,1987
2.442,aus,1988
0.9567,aus,1989
0.3225,aus,1990
0.3676,aus,1991
1.566,aus,1992
0.6165,aus,1993
0.8644,aus,1994
0.8808,aus,1995
1.747,aus,1996
1.455,aus,1997
0.8339,aus,1998
-0.1082,aus,1999
0.7856,aus,2000
3.145,aus,2001
1.962,aus,2002
3.675,aus,2003
1.796,aus,2004
-4.873,aus,2005
3.192,aus,2006
2.33,aus,2007
3.59,aus,2008
1.701,aus,2009
2.167,aus,2010
0.01727,aut,1967
0.1345,aut,1968
0.09146,aut,1969
0.0567,aut,1970
0.2037,aut,1971
0.1752,aut,1972
0.1323,aut,1973
0.05647,aut,1974
0.06496,aut,1975
0.1318,aut,1976
0.1683,aut,1977
0.1459,aut,1978
0.1156,aut,1979
0.1236,aut,1980
0.2992,aut,1981
0.1971,aut,1982
0.2638,aut,1983
0.1043,aut,1984
0.1068,aut,1985
0.3224,aut,1986
0.2547,aut,1987
0.2346,aut,1988
0.6575,aut,1989
1.032,aut,1990
0.7513,aut,1991
0.8766,aut,1992
0.6315,aut,1993
0.6244,aut,1994
0.4758,aut,1995
0.8184,aut,1996
0.955,aut,1997
1.304,aut,1998
1.558,aut,1999
2.915,aut,2000
1.634,aut,2001
2.768,aut,2002
2.813,aut,2003
2.891,aut,2004
26.83,aut,2005
2.633,aut,2006
19.09,aut,2007
7.131,aut,2008
3.119,aut,2009
-5.376,aut,2010
0.0001009,aze,1997
0.0004498,aze,1998
0.01441,aze,2000
5.221,aze,2002
12.83,aze,2003
13.88,aze,2004
9.217,aze,2005
3.362,aze,2006
0.8643,aze,2007
1.137,aze,2008
0.7363,aze,2009
0.4481,aze,2010
0.01306,bhs,1989
-0.003159,bhs,1990
-0.04179,bhs,1991
0.009649,bhs,1992
0.003234,bhs,1993
-0.003068,bhs,1994
0.002916,bhs,1995
-0.008313,bhs,1996
0.008063,bhs,1997
0.01868,bhs,1998
0.003322,bhs,1999
0.591,bhr,1990
1.083,bhr,1991
1.114,bhr,1992
0.7467,bhr,1993
3.568,bhr,1994
-0.2748,bhr,1995
4.996,bhr,1996
0.7504,bhr,1997
2.924,bhr,1998
2.467,bhr,1999
0.1198,bhr,2000
2.724,bhr,2001
2.238,bhr,2002
7.606,bhr,2003
9.217,bhr,2004
8.435,bhr,2005
6.181,bhr,2006
9.036,bhr,2007
7.398,bhr,2008
-8.699,bhr,2009
0.007244,bgd,1997
0.006809,bgd,1998
0.0001312,bgd,1999
0.005627,bgd,2002
0.005351,bgd,2003
0.007194,bgd,2004
0.003218,bgd,2005
0.0002577,bgd,2010
0.1102,brb,1970
0.6453,brb,1971
-0.0223,brb,1972
0.2868,brb,1973
0.04291,brb,1974
0.1971,brb,1975
0.218,brb,1976
0.08079,brb,1977
-0.009044,brb,1978
0.0373,brb,1979
0.06973,brb,1980
0.1267,brb,1981
0.05054,brb,1982
0.1333,brb,1983
0.131,brb,1984
0.1878,brb,1985
0.209,brb,1986
0.1691,brb,1987
0.06165,brb,1988
0.1731,brb,1989
0.08185,brb,1990
0.07705,brb,1991
0.05351,brb,1992
0.1584,brb,1993
0.0637,brb,1994
0.1775,brb,1995
0.179,brb,1996
0.05474,brb,1997
0.04018,brb,1998
0.05267,brb,1999
0.04103,brb,2000
0.04307,brb,2001
0.01894,brb,2002
0.01855,brb,2003
0.1376,brb,2004
0.3038,brb,2005
1.393,brb,2006
2.412,brb,2007
-0.1699,brb,2008
1.757,brb,2009
8.269,brb,2010
0.01486,blr,1997
0.01511,blr,1998
0.006591,blr,1999
0.00157,blr,2000
0.002428,blr,2001
-1.413,blr,2002
0.008415,blr,2003
0.005618,blr,2004
0.008275,blr,2005
0.008116,blr,2006
0.03357,blr,2007
0.05036,blr,2008
0.2074,blr,2009
0.09212,blr,2010
3.522,bel,2002
12.53,bel,2003
9.589,bel,2004
8.627,bel,2005
12.54,bel,2006
18.18,bel,2007
42.13,bel,2008
1.403,bel,2009
10.2,bel,2010
0.8834,blz,1996
0.5961,blz,1997
0.6532,blz,1998
0.03623,blz,2003
0.006082,blz,2004
0.08799,blz,2005
0.04712,blz,2006
0.07722,blz,2007
0.203,blz,2008
0.03419,blz,2009
0.08002,blz,2010
0.01664,ben,1979
0.00228,ben,1981
0.04177,ben,1982
0.04959,ben,1983
0.04507,ben,1984
0.9928,ben,1996
0.6092,ben,1997
0.2229,ben,1998
0.06048,ben,1999
0.1589,ben,2000
0.0972,ben,2001
0.04809,ben,2002
0.00885,ben,2003
-0.03236,ben,2004
-0.008976,ben,2005
-0.03651,ben,2006
-0.1099,ben,2007
-0.05975,ben,2008
0.4698,ben,2009
0.01102,bol,1980
0.001697,bol,1981
0.001788,bol,1982
0.001844,bol,1983
0.03932,bol,1987
0.04133,bol,1988
0.0212,bol,1989
0.0226,bol,1990
0.03743,bol,1991
0.03544,bol,1992
0.03488,bol,1993
0.03678,bol,1994
0.02978,bol,1995
0.02839,bol,1996
0.03028,bol,1997
0.03295,bol,1998
0.0338,bol,1999
0.03334,bol,2000
0.03169,bol,2001
0.03289,bol,2002
0.0344,bol,2003
0.03191,bol,2004
0.03142,bol,2005
0.0262,bol,2006
0.02286,bol,2007
0.01799,bol,2008
0.0173,bol,2009
-0.1466,bol,2010
0.01534,bih,2004
0.004057,bih,2005
0.03382,bih,2006
0.1868,bih,2007
0.08848,bih,2008
0.03205,bih,2009
0.2634,bih,2010
0.03093,bwa,1976
0.0526,bwa,1977
0.2182,bwa,1980
-0.01113,bwa,1981
-0.1089,bwa,1983
-0.01862,bwa,1984
0.132,bwa,1985
0.1942,bwa,1990
0.2158,bwa,1991
0.2378,bwa,1992
0.2282,bwa,1993
0.218,bwa,1994
0.8569,bwa,1995
-0.02194,bwa,1996
0.07922,bwa,1997
0.06738,bwa,1998
0.0258,bwa,1999
0.04,bwa,2000
6.491,bwa,2001
0.7042,bwa,2002
2.606,bwa,2003
-0.3702,bwa,2004
0.5452,bwa,2005
0.4435,bwa,2006
0.4123,bwa,2007
-0.6762,bwa,2008
0.5679,bwa,2009
0.001813,bwa,2010
0.09053,bra,1975
0.1199,bra,1976
0.08287,bra,1977
0.06175,bra,1978
0.08712,bra,1979
0.1562,bra,1980
0.07854,bra,1981
0.1335,bra,1982
0.09198,bra,1983
0.02009,bra,1984
0.03633,bra,1985
0.05333,bra,1986
0.04693,bra,1987
0.05297,bra,1988
0.1229,bra,1989
0.144,bra,1990
0.2489,bra,1991
0.03508,bra,1992
0.112,bra,1993
0.1898,bra,1994
0.18,bra,1995
-0.05562,bra,1996
0.1196,bra,1997
0.3225,bra,1998
0.288,bra,1999
0.3539,bra,2000
-0.4078,bra,2001
0.4923,bra,2002
0.04512,bra,2003
1.427,bra,2004
0.2853,bra,2005
2.59,bra,2006
0.5173,bra,2007
1.238,bra,2008
-0.6324,bra,2009
0.555,bra,2010
0.5281,brn,2004
0.1522,brn,2006
-0.06121,bgr,1995
-0.3206,bgr,1996
-0.01691,bgr,1997
0.0005589,bgr,1998
0.1294,bgr,1999
0.02545,bgr,2000
0.06966,bgr,2001
0.1773,bgr,2002
0.1282,bgr,2003
-0.8582,bgr,2004
1.065,bgr,2005
0.5265,bgr,2006
0.7396,bgr,2007
1.548,bgr,2008
-0.2273,bgr,2009
0.5327,bgr,2010
0.05084,bfa,1974
0.07198,bfa,1975
0.02572,bfa,1976
0.03238,bfa,1977
0.05195,bfa,1978
0.0207,bfa,1979
0.001718,bfa,1980
0.001451,bfa,1981
0.01301,bfa,1982
0.00164,bfa,1983
0.0009406,bfa,1984
0.002007,bfa,1985
0.001985,bfa,1986
0.006402,bfa,2000
0.02163,bfa,2001
0.0837,bfa,2002
0.111,bfa,2003
-0.1129,bfa,2004
0.322,bfa,2005
0.6883,bfa,2006
0.4905,bfa,2007
0.6044,bfa,2008
0.4192,bfa,2009
0.004526,bdi,1989
0.0005158,bdi,1990
0.00236,bdi,1991
0.01448,bdi,1993
0.01112,bdi,1994
0.06003,bdi,1995
0.05881,bdi,1999
0.001818,bdi,2001
0.003585,bdi,2007
0.04979,bdi,2008
0.6343,khm,1998
0.2585,khm,1999
0.1804,khm,2000
0.1831,khm,2001
0.1407,khm,2002
0.2074,khm,2003
0.1919,khm,2004
0.09976,khm,2005
0.1152,khm,2006
0.01268,khm,2007
0.1979,khm,2008
0.1809,khm,2009
0.1831,khm,2010
0.1306,cmr,1977
0.1558,cmr,1978
-0.03721,cmr,1979
-0.1222,cmr,1980
-0.004819,cmr,1981
0.05859,cmr,1982
0.07074,cmr,1983
0.1297,cmr,1984
0.1295,cmr,1985
0.1479,cmr,1986
0.09385,cmr,1987
0.2292,cmr,1988
0.2341,cmr,1989
0.1354,cmr,1990
0.173,cmr,1991
0.2901,cmr,1992
0.1634,cmr,1993
0.004298,cmr,1994
0.006882,cmr,1995
0.08318,cmr,1996
-0.03961,cmr,1997
0.2494,cmr,1998
-0.1112,cmr,1999
0.09603,cmr,2000
0.3668,cmr,2001
-0.3045,cmr,2002
0.06231,cmr,2003
0.0605,cmr,2004
-0.1397,cmr,2005
-0.2673,cmr,2006
-0.0291,cmr,2007
-0.1993,cmr,2008
-0.6346,cmr,2009
-0.1593,cmr,2010
0.1252,can,1960
0.2316,can,1961
0.4597,can,1962
0.5545,can,1963
0.2729,can,1964
0.3032,can,1965
0.2415,can,1966
0.3836,can,1967
0.5441,can,1968
0.6821,can,1969
1.077,can,1970
0.4699,can,1971
0.07229,can,1972
0.9042,can,1973
0.8615,can,1974
0.732,can,1975
0.4943,can,1976
0.7849,can,1977
1.061,can,1978
1.604,can,1979
1.522,can,1980
1.844,can,1981
0.7701,can,1982
0.7874,can,1983
1.055,can,1984
1.086,can,1985
0.9499,can,1986
1.689,can,1987
1.249,can,1988
0.9487,can,1989
0.8974,can,1990
0.9757,can,1991
0.612,can,1992
1.013,can,1993
1.648,can,1994
1.946,can,1995
2.136,can,1996
3.618,can,1997
5.531,can,1998
2.61,can,1999
6.137,can,2000
5.053,can,2001
3.65,can,2002
2.728,can,2003
4.297,can,2004
2.437,can,2005
3.625,can,2006
4.054,can,2007
5.401,can,2008
3.207,can,2009
2.481,can,2010
0.06304,cpv,1988
0.2607,cpv,1989
0.09351,cpv,1990
0.1551,cpv,1991
0.3057,cpv,1992
0.1829,cpv,1993
0.1011,cpv,1994
0.117,cpv,1995
0.05246,cpv,1996
0.009833,cpv,1997
0.07118,cpv,1999
0.2518,cpv,2000
0.09299,cpv,2001
0.1052,cpv,2003
0.0264,cpv,2007
-0.1622,cpv,2008
-0.01062,cpv,2009
-0.009078,cpv,2010
0.01765,caf,1977
-0.2192,caf,1978
0.04696,caf,1979
0.04595,caf,1982
0.06733,caf,1983
0.03947,caf,1984
0.06975,caf,1985
0.1129,caf,1986
0.2123,caf,1987
0.3714,caf,1988
0.3005,caf,1989
0.2548,caf,1990
0.2494,caf,1991
0.4083,caf,1992
0.4095,caf,1993
0.8446,caf,1994
-0.09349,tcd,1978
0.1287,tcd,1979
0.04124,tcd,1980
0.01259,tcd,1981
0.01495,tcd,1982
0.01072,tcd,1983
0.02564,tcd,1985
0.04002,tcd,1986
0.6873,tcd,1987
0.9334,tcd,1988
0.875,tcd,1989
0.5595,tcd,1991
0.732,tcd,1992
0.7469,tcd,1993
0.04763,tcd,1994
0.03743,chl,1977
0.02597,chl,1978
0.05306,chl,1979
0.05719,chl,1984
0.01031,chl,1985
0.01411,chl,1986
0.02631,chl,1987
0.06331,chl,1988
0.02396,chl,1989
0.02377,chl,1990
0.344,chl,1991
0.8946,chl,1992
0.9104,chl,1993
1.651,chl,1994
1.054,chl,1995
1.496,chl,1996
1.766,chl,1997
1.869,chl,1998
3.504,chl,1999
5.301,chl,2000
2.348,chl,2001
0.5101,chl,2002
2.171,chl,2003
1.634,chl,2004
1.846,chl,2005
1.479,chl,2006
1.566,chl,2007
4.71,chl,2008
5.011,chl,2009
4.11,chl,2010
0.02166,chn,1982
0.04071,chn,1983
0.05205,chn,1984
0.2051,chn,1985
0.1511,chn,1986
0.2386,chn,1987
0.2746,chn,1988
0.2268,chn,1989
0.2325,chn,1990
0.2406,chn,1991
0.9464,chn,1992
0.9989,chn,1993
0.3576,chn,1994
0.2747,chn,1995
0.2469,chn,1996
0.269,chn,1997
0.2584,chn,1998
0.1639,chn,1999
0.07643,chn,2000
0.5196,chn,2001
0.1732,chn,2002
-0.00928,chn,2003
0.09345,chn,2004
0.5009,chn,2005
0.78,chn,2006
0.4864,chn,2007
1.183,chn,2008
0.8795,chn,2009
1.015,chn,2010
0.03379,col,1968
0.06245,col,1969
0.05557,col,1970
0.03848,col,1971
0.01252,col,1972
0.01156,col,1973
0.04861,col,1974
0.03054,col,1975
0.0717,col,1976
0.113,col,1977
0.1762,col,1978
0.0859,col,1979
0.3174,col,1980
0.1017,col,1981
0.07442,col,1982
0.2692,col,1983
0.06013,col,1984
0.02006,col,1985
0.09158,col,1986
0.07148,col,1987
0.1122,col,1988
0.07334,col,1989
0.03973,col,1990
0.05892,col,1991
0.1015,col,1992
0.4301,col,1993
0.1823,col,1994
0.277,col,1995
0.3375,col,1996
0.7589,col,1997
0.8086,col,1998
0.1341,col,1999
0.3242,col,2000
0.01632,col,2001
0.8722,col,2002
0.9879,col,2003
0.1216,col,2004
3.181,col,2005
0.6746,col,2006
0.4401,col,2007
0.9213,col,2008
1.309,col,2009
2.271,col,2010
0.4407,com,1990
0.0765,cog,1995
-0.01539,cog,1996
0.1505,cog,1997
-0.4174,cog,1998
0.8205,cog,1999
0.1194,cog,2000
0.2099,cog,2001
0.138,cog,2002
0.04922,cog,2003
0.09773,cog,2004
0.04541,cri,1978
0.02726,cri,1979
0.09314,cri,1980
0.1296,cri,1981
0.09207,cri,1982
0.1358,cri,1983
0.0849,cri,1984
0.09799,cri,1985
0.06572,cri,1986
0.07704,cri,1987
0.01484,cri,1988
0.08738,cri,1989
0.02837,cri,1990
0.07818,cri,1991
0.05132,cri,1992
0.02386,cri,1993
0.04452,cri,1994
0.04692,cri,1995
0.04804,cri,1996
0.03438,cri,1997
0.03419,cri,1998
0.03168,cri,1999
0.03135,cri,2000
0.05815,cri,2001
0.2021,cri,2002
0.1538,cri,2003
0.3257,cri,2004
-0.2152,cri,2005
0.4354,cri,2006
0.9969,cri,2007
0.01982,cri,2008
0.02551,cri,2009
0.06914,cri,2010
0.003221,civ,1996
0.1882,hrv,1993
0.04745,hrv,1994
0.03317,hrv,1995
0.1137,hrv,1996
0.8225,hrv,1997
0.3931,hrv,1998
0.26,hrv,1999
0.0239,hrv,2000
0.8007,hrv,2001
2.064,hrv,2002
0.356,hrv,2003
0.8446,hrv,2004
0.5289,hrv,2005
0.5239,hrv,2006
0.4773,hrv,2007
1.884,hrv,2008
1.991,hrv,2009
-0.2373,hrv,2010
0.006717,cyp,1985
0.06172,cyp,1987
0.01503,cyp,1988
0.01772,cyp,1989
0.08199,cyp,1990
0.2537,cyp,1991
0.2124,cyp,1992
0.1861,cyp,1993
0.08208,cyp,1994
0.1697,cyp,1995
0.3763,cyp,1996
0.3135,cyp,1997
0.7404,cyp,1998
1.868,cyp,1999
1.847,cyp,2000
2.574,cyp,2001
5.191,cyp,2002
4.427,cyp,2003
4.5,cyp,2004
3.222,cyp,2005
4.862,cyp,2006
5.782,cyp,2007
13.36,cyp,2008
3.866,cyp,2009
4.34,cyp,2010
0.2615,cze,1993
0.2831,cze,1994
0.06626,cze,1995
0.2495,cze,1996
0.04841,cze,1997
0.2027,cze,1998
0.1495,cze,1999
0.07524,cze,2000
0.2663,cze,2001
0.2808,cze,2002
0.2277,cze,2003
0.9473,cze,2004
-0.02151,cze,2005
1.037,cze,2006
0.9427,cze,2007
1.997,cze,2008
0.4823,cze,2009
0.9156,cze,2010
0.1991,dnk,1975
0.1455,dnk,1976
0.3301,dnk,1977
0.05602,dnk,1978
0.242,dnk,1979
0.2807,dnk,1980
0.2299,dnk,1981
0.1387,dnk,1982
0.2536,dnk,1983
0.5005,dnk,1984
0.5007,dnk,1985
0.7578,dnk,1986
0.5762,dnk,1987
0.6363,dnk,1988
1.877,dnk,1989
1.091,dnk,1990
1.355,dnk,1991
1.489,dnk,1992
0.9763,dnk,1993
2.71,dnk,1994
1.631,dnk,1995
1.361,dnk,1996
2.555,dnk,1997
2.427,dnk,1998
10.24,dnk,1999
17.73,dnk,2000
8.197,dnk,2001
1.524,dnk,2002
0.4027,dnk,2003
-4.058,dnk,2004
6.289,dnk,2005
2.969,dnk,2006
6.421,dnk,2007
4.165,dnk,2008
1.884,dnk,2009
1.061,dnk,2010
0.04889,egy,1977
0.1325,egy,1978
0.02834,egy,1979
0.03055,egy,1980
0.02564,egy,1981
0.03126,egy,1982
0.06753,egy,1983
0.05221,egy,1984
0.008648,egy,1985
0.01672,egy,1986
0.0469,egy,1987
0.03424,egy,1988
0.05709,egy,1989
0.02782,egy,1990
0.1677,egy,1991
0.009557,egy,1992
0.08285,egy,1994
0.1546,egy,1995
0.007393,egy,1996
0.1647,egy,1997
0.05305,egy,1998
0.04134,egy,1999
0.05108,egy,2000
0.0127,egy,2001
0.03164,egy,2002
0.02496,egy,2003
0.2015,egy,2004
0.1026,egy,2005
0.1381,egy,2006
0.5095,egy,2007
1.179,egy,2008
0.3022,egy,2009
0.537,egy,2010
0.02325,slv,1996
0.008561,slv,1998
0.4316,slv,1999
-0.03807,slv,2000
-0.07023,slv,2001
-0.1796,slv,2002
0.1236,slv,2003
-0.01741,slv,2004
0.6605,slv,2005
-0.1418,slv,2006
0.4735,slv,2007
0.3706,slv,2008
0.008518,slv,2009
0.289,slv,2010
0.04697,est,1992
0.1598,est,1993
0.05966,est,1994
0.05738,est,1995
0.8463,est,1996
2.704,est,1997
0.1124,est,1998
1.453,est,1999
1.117,est,2000
3.206,est,2001
1.801,est,2002
1.586,est,2003
2.229,est,2004
4.945,est,2005
6.615,est,2006
8.046,est,2007
4.798,est,2008
8.176,est,2009
0.6622,est,2010
0.183,fji,1980
-0.1221,fji,1981
0.06736,fji,1982
0.008755,fji,1983
0.04705,fji,1984
1.139,fji,1985
-0.05473,fji,1986
2.478,fji,1987
0.1323,fji,1988
2.417,fji,1989
0.9813,fji,1990
-0.4897,fji,1991
1.685,fji,1992
1.765,fji,1993
-0.01497,fji,1994
-0.1444,fji,1995
0.4618,fji,1996
1.432,fji,1997
3.779,fji,1998
2.729,fji,1999
0.1369,fji,2000
0.1594,fji,2001
0.09336,fji,2002
0.1663,fji,2003
0.1188,fji,2004
0.344,fji,2005
0.01862,fji,2006
-0.1899,fji,2007
-0.2445,fji,2008
0.1055,fji,2009
0.1821,fji,2010
0.0892,fin,1975
0.09698,fin,1976
0.2181,fin,1977
0.1745,fin,1978
0.2846,fin,1979
0.258,fin,1980
0.2489,fin,1981
0.1498,fin,1982
0.2756,fin,1983
0.9443,fin,1984
0.6328,fin,1985
1.051,fin,1986
1.267,fin,1987
2.448,fin,1988
2.541,fin,1989
2.003,fin,1990
-0.09576,fin,1991
-0.6872,fin,1992
1.604,fin,1993
4.327,fin,1994
1.142,fin,1995
2.792,fin,1996
4.277,fin,1997
14.41,fin,1998
5.171,fin,1999
19.62,fin,2000
6.786,fin,2001
5.565,fin,2002
-1.383,fin,2003
-0.6062,fin,2004
2.255,fin,2005
2.349,fin,2006
2.933,fin,2007
3.104,fin,2008
2.063,fin,2009
4.473,fin,2010
0.3763,fra,1975
0.446,fra,1976
0.2473,fra,1977
0.3802,fra,1978
0.3284,fra,1979
0.4484,fra,1980
0.7516,fra,1981
0.4958,fra,1982
0.3113,fra,1983
0.4062,fra,1984
0.4127,fra,1985
0.7123,fra,1986
1.003,fra,1987
1.448,fra,1988
1.936,fra,1989
2.799,fra,1990
1.922,fra,1991
2.277,fra,1992
1.589,fra,1993
1.786,fra,1994
1.006,fra,1995
1.93,fra,1996
2.496,fra,1997
3.111,fra,1998
8.612,fra,1999
13.14,fra,2000
6.498,fra,2001
3.486,fra,2002
2.978,fra,2003
2.768,fra,2004
5.328,fra,2005
4.939,fra,2006
6.47,fra,2007
5.648,fra,2008
3.928,fra,2009
3.297,fra,2010
0.2218,gab,1979
0.1869,gab,1980
0.1839,gab,1981
0.1329,gab,1982
0.1687,gab,1983
0.09446,gab,1984
0.1213,gab,1985
0.1934,gab,1986
0.2342,gab,1987
0.2539,gab,1988
0.1917,gab,1989
0.4838,gab,1990
0.2756,gab,1991
0.4594,gab,1992
0.05646,gab,1993
0.7065,gab,1995
0.04037,gab,1996
0.3935,gab,1997
0.7405,gab,1998
1.584,gab,1999
0.4998,gab,2000
0.07969,gab,2001
-0.4669,gab,2002
-0.3449,gab,2003
-0.3451,gab,2004
0.8702,gab,2005
0.03571,geo,1999
0.1035,geo,2000
0.1261,geo,2001
0.1205,geo,2002
0.09427,geo,2003
0.1867,geo,2004
-1.396,geo,2005
-0.2044,geo,2006
0.7505,geo,2007
0.5468,geo,2008
-0.009872,geo,2009
0.05049,geo,2010
0.4962,deu,1971
0.622,deu,1972
0.5093,deu,1973
0.4925,deu,1974
0.4594,deu,1975
0.5187,deu,1976
0.4142,deu,1977
0.5498,deu,1978
0.5881,deu,1979
0.51,deu,1980
0.5812,deu,1981
0.4018,deu,1982
0.492,deu,1983
0.6649,deu,1984
0.8162,deu,1985
1.032,deu,1986
0.6973,deu,1987
1.072,deu,1988
1.121,deu,1989
1.428,deu,1990
1.271,deu,1991
0.9073,deu,1992
0.854,deu,1993
0.8817,deu,1994
1.55,deu,1995
2.083,deu,1996
1.981,deu,1997
4.129,deu,1998
5.099,deu,1999
3.167,deu,2000
2.087,deu,2001
0.9781,deu,2002
0.2126,deu,2003
0.7322,deu,2004
2.782,deu,2005
4.107,deu,2006
5.167,deu,2007
2.242,deu,2008
2.364,deu,2009
3.303,deu,2010
0.03092,gha,2008
0.02656,gha,2009
0.4072,grc,1999
1.687,grc,2000
0.4706,grc,2001
0.4572,grc,2002
0.1945,grc,2003
0.451,grc,2004
0.6148,grc,2005
1.613,grc,2006
1.726,grc,2007
0.8137,grc,2008
0.6516,grc,2009
0.3223,grc,2010
0.1719,gtm,2004
0.1411,gtm,2005
0.1323,gtm,2006
0.07446,gtm,2007
0.0419,gtm,2008
0.06979,gtm,2009
0.05706,gtm,2010
0.01292,gin,1996
1.684,gin,2008
-0.1988,gnb,2001
0.501,gnb,2002
0.1086,gnb,2003
-1.435,gnb,2004
0.1215,gnb,2005
0.08727,gnb,2006
0.03051,gnb,2007
-0.09757,gnb,2008
-0.01167,gnb,2009
-0.3912,hti,1991
0.09148,hnd,2000
0.03701,hnd,2001
0.08359,hnd,2002
0.1482,hnd,2003
-0.07012,hnd,2004
-0.01075,hnd,2005
0.005496,hnd,2006
0.01181,hnd,2007
-0.007016,hnd,2008
0.004832,hnd,2009
-0.008996,hnd,2010
10.18,hkg,1998
11.86,hkg,1999
35.09,hkg,2000
6.81,hkg,2001
10.66,hkg,2002
3.463,hkg,2003
27.56,hkg,2004
15.3,hkg,2005
23.68,hkg,2006
29.51,hkg,2007
23.47,hkg,2008
30.58,hkg,2009
42.51,hkg,2010
0.0004091,hun,1992
0.02718,hun,1993
0.1157,hun,1994
0.1299,hun,1995
-0.008325,hun,1996
0.9647,hun,1997
0.5792,hun,1998
0.5129,hun,1999
1.269,hun,2000
0.6909,hun,2001
0.425,hun,2002
1.988,hun,2003
1.095,hun,2004
2.021,hun,2005
16.53,hun,2006
49.73,hun,2007
45.87,hun,2008
2.975,hun,2009
-35.56,hun,2010
0.05343,isl,1986
0.01287,isl,1987
0.01828,isl,1988
0.1467,isl,1989
0.1831,isl,1990
0.421,isl,1991
0.09265,isl,1992
0.2374,isl,1993
0.3649,isl,1994
0.3547,isl,1995
0.868,isl,1996
0.762,isl,1997
0.9071,isl,1998
1.424,isl,1999
4.306,isl,2000
4.193,isl,2001
3.843,isl,2002
3.502,isl,2003
19.53,isl,2004
43.68,isl,2005
33.36,isl,2006
50.06,isl,2007
-22.49,isl,2008
18.76,isl,2009
-19.73,isl,2010
0.000127,ind,1993
0.02553,ind,1994
0.03289,ind,1995
0.06163,ind,1996
0.02748,ind,1997
0.01143,ind,1998
0.01762,ind,1999
0.1107,ind,2000
0.2926,ind,2001
0.3309,ind,2002
0.3134,ind,2003
0.302,ind,2004
0.357,ind,2005
1.508,ind,2006
1.391,ind,2007
1.584,ind,2008
1.156,ind,2009
0.7614,ind,2010
0.2253,idn,1993
0.3443,idn,1994
0.2983,idn,1995
0.2639,idn,1996
0.0825,idn,1997
1.327,idn,2004
1.072,idn,2005
0.7477,idn,2006
1.082,idn,2007
1.156,idn,2008
0.417,idn,2009
0.3771,idn,2010
0.2832,irq,2005
0.6766,irq,2006
0.01386,irq,2007
0.03883,irq,2008
0.763,irl,1990
0.4038,irl,1991
0.397,irl,1992
0.4325,irl,1993
0.7908,irl,1994
1.223,irl,1995
0.9821,irl,1996
1.242,irl,1997
5.623,irl,1998
6.328,irl,1999
4.758,irl,2000
3.881,irl,2001
8.952,irl,2002
3.515,irl,2003
9.686,irl,2004
7.128,irl,2005
6.838,irl,2006
7.912,irl,2007
7.042,irl,2008
12.03,irl,2009
8.764,irl,2010
-0.03464,isr,1960
0.02868,isr,1961
0.1092,isr,1965
0.1759,isr,1966
0.153,isr,1967
0.07577,isr,1968
-0.06567,isr,1969
0.1675,isr,1970
0.07177,isr,1971
-0.01621,isr,1975
0.04809,isr,1976
