geo,aged_15_24_unemployment_rate_percent,time
deu,7.6,1993
deu,8.2,1994
deu,8.2,1995
deu,9.4,1996
deu,10.2,1997
deu,9.0,1998
deu,8.2,1999
deu,8.4,2000
deu,8.2,2001
deu,9.6,2002
deu,11.3,2003
deu,13.1,2004
deu,15.2,2005
hkg,5.8,1985
hkg,5.6,1986
hkg,3.7,1987
hkg,3.4,1988
hkg,2.8,1989
hkg,3.3,1990
hkg,4.1,1991
hkg,4.3,1992
hkg,4.6,1993
hkg,4.5,1994
hkg,6.8,1995
hkg,6.4,1996
hkg,5.0,1997
hkg,10.3,1998
hkg,13.2,1999
hkg,10.6,2000
hkg,11.3,2001
hkg,15.0,2002
hkg,15.0,2003
hkg,12.2,2004
hkg,10.8,2005
irl,20.1,1983
irl,22.2,1984
irl,23.5,1985
irl,25.5,1986
irl,24.5,1987
irl,23.9,1988
irl,20.5,1989
irl,17.6,1990
irl,21.7,1991
irl,23.1,1992
irl,25.2,1993
irl,23.3,1994
irl,19.1,1995
irl,18.2,1996
irl,16.1,1997
irl,11.6,1998
irl,8.5,1999
irl,6.4,2000
irl,6.1,2001
irl,7.7,2002
irl,7.8,2003
irl,8.1,2004
irl,8.3,2005
jpn,4.0,1981
jpn,4.3,1982
jpn,4.5,1983
jpn,4.9,1984
jpn,4.8,1985
jpn,5.2,1986
jpn,5.2,1987
jpn,4.9,1988
jpn,4.5,1989
jpn,4.3,1990
jpn,4.3,1991
jpn,4.5,1992
jpn,5.1,1993
jpn,5.5,1994
jpn,6.1,1995
jpn,6.6,1996
jpn,6.7,1997
jpn,7.7,1998
jpn,9.1,1999
jpn,9.2,2000
jpn,9.6,2001
jpn,9.9,2002
jpn,10.1,2003
jpn,9.5,2004
jpn,8.7,2005
kor,7.5,1992
kor,8.9,1993
kor,7.2,1994
kor,6.2,1995
kor,6.0,1996
kor,7.5,1997
kor,15.6,1998
kor,13.7,1999
kor,10.6,2000
kor,10.1,2001
kor,8.4,2002
kor,9.9,2003
kor,10.3,2004
kor,10.0,2005
lva,32.2,1996
lva,24.8,1997
lva,25.7,1998
lva,24.6,1999
lva,22.7,2000
lva,22.2,2001
lva,20.7,2002
lva,18.4,2003
lva,18.0,2004
lva,12.7,2005
ltu,22.4,1998
ltu,26.5,1999
ltu,29.1,2000
ltu,30.2,2001
ltu,22.3,2002
ltu,24.1,2003
ltu,21.7,2004
ltu,15.1,2005
nld,14.8,1987
nld,13.6,1988
nld,12.2,1989
nld,11.2,1990
nld,10.5,1991
nld,7.9,1992
nld,9.7,1993
nld,10.3,1994
nld,12.8,1995
nld,11.6,1996
nld,9.0,1997
nld,7.7,1998
nld,6.7,1999
nld,5.5,2000
nld,5.9,2001
nld,6.0,2002
nld,7.8,2003
nld,9.2,2004
nld,9.5,2005
nzl,7.8,1986
nzl,8.0,1987
nzl,10.8,1988
nzl,13.5,1989
nzl,14.1,1990
nzl,18.8,1991
nzl,18.5,1992
nzl,17.2,1993
nzl,15.0,1994
nzl,11.9,1995
nzl,11.8,1996
nzl,13.0,1997
nzl,14.6,1998
nzl,13.7,1999
nzl,13.2,2000
nzl,11.8,2001
nzl,11.5,2002
nzl,10.2,2003
nzl,9.4,2004
nzl,9.4,2005
nor,5.4,1981
nor,7.3,1982
nor,8.8,1983
nor,7.3,1984
nor,6.5,1985
nor,5.0,1986
nor,5.3,1987
nor,8.2,1988
nor,11.3,1989
nor,11.8,1990
nor,12.9,1991
nor,13.7,1992
nor,13.6,1993
nor,12.6,1994
nor,11.8,1995
nor,12.4,1996
nor,10.9,1997
nor,9.5,1998
nor,9.6,1999
nor,10.2,2000
nor,10.7,2001
nor,11.4,2002
nor,11.7,2003
nor,11.7,2004
nor,12.1,2005
phl,19.3,1986
phl,19.3,1987
phl,18.1,1988
phl,18.7,1989
phl,15.9,1990
phl,22.0,1991
phl,14.9,1992
phl,13.4,1993
phl,14.0,1994
phl,14.6,1995
phl,12.9,1996
phl,18.5,1997
phl,15.9,1998
phl,15.4,1999
phl,19.1,2000
phl,17.8,2001
phl,19.1,2002
phl,17.9,2003
phl,18.7,2004
phl,17.3,2005
pol,28.2,1993
pol,30.4,1994
pol,29.2,1995
pol,26.9,1996
pol,23.4,1997
pol,21.9,1998
pol,29.8,1999
pol,33.7,2000
pol,39.5,2001
pol,42.6,2002
pol,41.6,2003
pol,39.6,2004
pol,36.6,2005
prt,9.6,1992
prt,12.0,1993
prt,14.1,1994
prt,15.6,1995
prt,16.1,1996
prt,14.6,1997
prt,10.2,1998
prt,8.7,1999
prt,8.4,2000
prt,9.2,2001
prt,11.5,2002
prt,14.2,2003
prt,15.2,2004
prt,16.1,2005
rou,22.5,1994
rou,20.6,1995
rou,20.2,1996
rou,18.0,1997
rou,18.3,1998
rou,18.8,1999
rou,18.6,2000
rou,17.5,2001
rou,21.7,2002
rou,18.5,2003
rou,21.0,2004
rou,19.7,2005
sgp,4.4,1981
sgp,4.2,1982
sgp,4.8,1983
sgp,4.4,1984
sgp,6.2,1985
sgp,8.0,1986
sgp,6.2,1987
sgp,4.6,1988
sgp,3.4,1989
sgp,3.2,1990
sgp,3.4,1991
sgp,4.7,1992
sgp,4.9,1993
sgp,4.9,1994
sgp,4.6,1995
sgp,5.2,1996
sgp,4.4,1997
sgp,6.4,1998
sgp,6.7,1999
sgp,6.2,2001
sgp,7.9,2002
sgp,8.3,2003
sgp,8.5,2004
svk,21.7,1997
svk,23.6,1998
svk,32.1,1999
svk,35.2,2000
svk,37.3,2001
svk,36.1,2002
svk,32.2,2003
svk,32.0,2004
svn,24.0,1993
svn,22.7,1994
svn,18.9,1995
svn,19.2,1996
svn,17.5,1997
svn,18.1,1998
svn,17.9,1999
svn,16.2,2000
svn,15.4,2001
svn,15.2,2002
svn,14.7,2003
svn,13.8,2004
svn,15.7,2005
esp,31.1,1981
esp,34.7,1982
esp,37.5,1983
esp,41.8,1984
esp,43.7,1985
esp,42.8,1986
esp,40.0,1987
esp,37.0,1988
esp,31.9,1989
esp,30.1,1990
esp,28.9,1991
esp,32.4,1992
esp,43.1,1993
esp,45.1,1994
esp,42.6,1995
esp,41.9,1996
esp,38.9,1997
esp,35.2,1998
esp,29.3,1999
esp,25.9,2000
esp,21.1,2001
esp,22.3,2002
esp,22.7,2003
esp,22.0,2004
esp,19.7,2005
swe,6.2,1981
swe,7.4,1982
swe,7.8,1983
swe,5.8,1984
swe,5.6,1985
swe,5.6,1986
swe,5.3,1987
swe,4.1,1988
swe,3.8,1989
swe,4.4,1990
swe,7.8,1991
swe,13.7,1992
swe,22.7,1993
swe,22.7,1994
swe,19.6,1995
swe,21.0,1996
swe,21.0,1997
swe,16.7,1998
swe,14.3,1999
swe,11.9,2000
swe,11.8,2001
swe,13.4,2002
swe,12.0,2003
swe,17.1,2004
swe,22.3,2005
che,3.2,1991
che,4.5,1992
che,6.4,1993
che,5.9,1994
che,5.5,1995
che,4.6,1996
che,5.9,1997
che,5.8,1998
che,5.7,1999
che,4.8,2000
che,5.7,2001
che,5.6,2002
che,8.4,2003
che,7.7,2004
che,8.9,2005
tur,15.4,1991
tur,16.3,1992
tur,17.8,1993
tur,16.0,1994
tur,15.6,1995
tur,13.5,1996
tur,14.3,1997
tur,14.2,1998
tur,15.0,1999
tur,13.1,2000
tur,16.2,2001
tur,19.2,2002
tur,20.5,2003
tur,19.6,2004
tur,19.3,2005
gbr,10.5,2001
gbr,11.0,2002
gbr,11.5,2003
gbr,10.9,2004
gbr,11.8,2005
usa,14.3,1981
usa,17.0,1982
usa,16.4,1983
usa,13.3,1984
usa,13.0,1985
usa,12.7,1986
usa,11.7,1987
usa,10.6,1988
usa,10.5,1989
usa,10.7,1990
usa,12.9,1991
usa,13.7,1992
usa,13.0,1993
usa,12.1,1994
usa,12.1,1995
usa,12.0,1996
usa,11.3,1997
usa,10.4,1998
usa,9.9,1999
usa,9.3,2000
usa,10.6,2001
usa,12.0,2002
usa,12.4,2003
usa,11.9,2004
usa,11.3,2005
