geo,agricultural_water_withdrawal_percent_of_total,time
kwt,53.86,2002
kgz,80.3,1977
kgz,80.3,1982
kgz,89.3,1987
kgz,91.8,1992
kgz,94.1,1997
kgz,93.0,2002
lao,90.0,2002
lva,12.6,1997
lva,13.0,2002
lbn,84.9,1977
lbn,67.6,1997
lbn,66.0,2002
lbn,59.0,2007
lso,56.0,1987
lso,20.0,2002
lbr,60.0,1987
lbr,54.0,2002
lby,89.0,1992
lby,80.0,1997
lby,82.8,2002
ltu,3.16,1997
ltu,7.0,2002
mdg,99.0,1987
mdg,95.0,2002
mwi,86.4,1997
mwi,80.0,2002
mys,80.0,1992
mys,60.0,2002
mli,96.9,1987
mli,90.0,2002
mlt,12.5,1997
mlt,19.0,2002
mrt,83.9,1982
mrt,80.0,2002
mus,76.88,1977
mus,74.0,1997
mus,67.7,2007
mex,77.0,2002
mng,53.0,1997
mng,52.0,2002
mar,92.0,1992
mar,87.8,1997
mar,87.0,2002
moz,89.0,1992
moz,87.0,2002
mmr,98.0,1987
mmr,98.0,2002
nam,82.1,1987
nam,68.0,1992
nam,71.0,2002
npl,96.0,2002
nld,33.0,2002
nzl,44.0,1987
nzl,42.0,2002
nic,83.0,2002
ner,82.0,1992
ner,95.0,2002
nga,53.0,1987
nga,68.0,2002
nor,10.0,2002
pse,59.8,2002
pse,45.2,2007
omn,93.8,1992
omn,90.0,2002
omn,88.4,2007
pak,98.0,1977
pak,90.0,1992
pak,96.0,2002
pan,28.0,2002
png,1.4,2002
pry,78.0,1987
pry,71.0,2002
per,86.1,1992
per,81.0,2002
phl,76.2,1997
phl,70.0,2002
pol,8.0,2002
prt,78.0,2002
qat,73.92,1997
qat,72.0,2002
qat,59.0,2007
kor,47.0,2002
mda,26.1,1992
mda,32.0,2002
rou,59.0,1992
rou,56.0,2002
rus,20.0,1982
rus,23.0,1992
rus,10.0,1997
rus,17.0,2002
rwa,68.0,2002
sau,89.9,1992
sau,88.0,2007
sen,91.9,1987
sen,92.9,2002
syc,7.563,1992
syc,7.317,2007
sle,88.9,1987
sle,92.0,2002
sgp,4.0,1977
som,97.0,1987
som,99.0,2002
som,99.4,2007
zaf,71.0,1992
zaf,62.7,2002
esp,62.0,1987
esp,68.0,2002
lka,96.0,1992
lka,90.0,2002
sdn,96.0,1992
sdn,90.0,1997
sdn,96.0,2002
sur,89.0,1987
sur,92.0,2002
swz,95.0,1982
swz,96.5,2002
swe,9.0,1992
swe,8.0,2002
che,1.0,2002
syr,88.9,1997
syr,88.0,2002
syr,87.8,2007
tjk,91.0,1987
tjk,91.0,1992
tjk,92.3,1997
tjk,91.0,2002
tha,95.0,2002
tgo,25.2,1987
tgo,44.9,2002
tto,5.7,1997
tto,6.0,2002
tun,88.7,1992
tun,82.0,2002
tur,70.0,1992
tur,70.0,2002
tur,70.0,2007
tkm,98.7,1992
tkm,97.9,1997
tkm,97.0,2002
uga,60.0,1972
uga,40.0,2002
ukr,52.0,2002
are,80.0,1982
are,66.7,1997
are,82.8,2007
gbr,3.0,1992
gbr,2.0,2002
tza,89.3,2002
usa,57.0,1992
usa,41.0,2002
ury,91.0,1967
ury,96.0,2002
uzb,92.9,1977
uzb,93.4,1982
uzb,93.4,1987
uzb,94.7,1992
uzb,93.6,1997
uzb,93.0,2002
ven,46.0,1972
ven,47.0,2002
vnm,92.0,1982
vnm,89.0,1987
vnm,80.0,1992
vnm,68.0,2002
yem,90.0,1992
yem,90.0,2002
zmb,76.6,1992
zmb,77.2,1997
zmb,75.0,2002
zwe,79.0,1987
zwe,78.9,2002
