geo,market_value_of_listed_companies_percent_of_gdp,time
est,51.55,2004
est,25.14,2005
est,35.91,2006
est,28.15,2007
est,8.333,2008
fji,1.753,1994
fji,3.4,1995
fji,3.851,1996
fji,4.441,1997
fji,5.311,1998
fji,5.536,1999
fji,14.48,2000
fji,7.316,2001
fji,20.23,2002
fji,18.7,2003
fji,19.75,2004
fji,19.8,2005
fji,20.1,2006
fji,15.58,2007
fji,15.83,2008
fin,28.06,1988
fin,26.13,1989
fin,16.27,1990
fin,11.35,1991
fin,11.07,1992
fin,26.97,1993
fin,38.17,1994
fin,33.8,1995
fin,49.1,1996
fin,59.51,1997
fin,118.6,1998
fin,267.3,1999
fin,241.1,2000
fin,152.3,2001
fin,102.6,2002
fin,103.5,2003
fin,97.27,2004
fin,107.3,2005
fin,126.7,2006
fin,150.1,2007
fin,56.61,2008
fra,24.42,1988
fra,36.2,1989
fra,25.23,1990
fra,27.97,1991
fra,25.57,1992
fra,35.33,1993
fra,33.08,1994
fra,33.25,1995
fra,37.56,1996
fra,47.34,1997
fra,67.37,1998
fra,101.2,1999
fra,108.9,2000
fra,87.66,2001
fra,66.35,2002
fra,75.33,2003
fra,75.64,2004
fra,81.93,2005
fra,107.2,2006
fra,106.9,2007
fra,52.24,2008
geo,0.7915,2000
geo,2.774,2001
geo,3.077,2002
geo,5.076,2003
geo,4.022,2004
geo,5.532,2005
geo,8.61,2006
geo,13.65,2007
geo,2.559,2008
deu,18.58,1988
deu,26.96,1989
deu,20.71,1990
deu,21.73,1991
deu,16.88,1992
deu,23.12,1993
deu,21.92,1994
deu,22.89,1995
deu,27.52,1996
deu,38.19,1997
deu,50.08,1998
deu,66.81,1999
deu,66.85,2000
deu,56.68,2001
deu,34.27,2002
deu,44.18,2003
deu,43.51,2004
deu,43.78,2005
deu,56.24,2006
deu,63.49,2007
deu,30.36,2008
gha,1.152,1991
gha,1.31,1992
gha,1.978,1993
gha,34.37,1994
gha,25.54,1995
gha,21.54,1996
gha,16.53,1997
gha,18.52,1998
gha,11.88,1999
gha,10.09,2000
gha,9.937,2001
gha,12.02,2002
gha,18.7,2003
gha,29.8,2004
gha,15.49,2005
gha,25.41,2006
gha,15.93,2007
gha,20.38,2008
grc,5.832,1988
grc,8.374,1989
grc,16.14,1990
grc,12.95,1991
grc,8.485,1992
grc,11.77,1993
grc,13.3,1994
grc,12.95,1995
grc,17.36,1996
grc,25.14,1997
grc,58.6,1998
grc,151.9,1999
grc,88.28,2000
grc,66.04,2001
grc,46.64,2002
grc,55.23,2003
grc,54.27,2004
grc,59.0,2005
grc,77.87,2006
grc,84.84,2007
grc,25.4,2008
gtm,0.846,1995
gtm,1.065,1996
gtm,0.7814,1997
gtm,0.8869,1998
guy,12.7,2003
guy,16.21,2004
guy,22.71,2005
guy,20.49,2006
guy,24.42,2007
guy,25.09,2008
hnd,1.304,1991
hnd,7.866,1994
hnd,8.642,1995
hnd,8.804,1998
hkg,124.8,1988
hkg,112.7,1989
hkg,108.5,1990
hkg,137.3,1991
hkg,165.4,1992
hkg,321.2,1993
hkg,198.8,1994
hkg,210.6,1995
hkg,282.7,1996
hkg,234.4,1997
hkg,205.7,1998
hkg,373.0,1999
hkg,368.6,2000
hkg,303.8,2001
hkg,282.7,2002
hkg,347.6,2003
hkg,401.0,2004
hkg,390.1,2005
hkg,471.4,2006
hkg,561.4,2007
hkg,217.6,2008
hun,1.511,1991
hun,1.509,1992
hun,2.104,1993
hun,3.853,1994
hun,5.372,1995
hun,11.68,1996
hun,32.75,1997
hun,29.82,1998
hun,33.96,1999
hun,25.1,2000
hun,19.49,2001
hun,19.71,2002
hun,19.84,2003
hun,28.13,2004
hun,29.56,2005
hun,37.11,2006
hun,34.34,2007
hun,12.01,2008
isl,7.689,1994
isl,10.26,1995
isl,16.51,1996
isl,25.04,1997
isl,37.46,1998
isl,54.98,1999
isl,51.04,2000
isl,52.52,2001
isl,70.99,2002
isl,84.73,2003
isl,133.2,2004
isl,170.5,2005
isl,216.9,2006
isl,199.7,2007
isl,33.36,2008
ind,8.05,1988
ind,9.32,1989
ind,12.16,1990
ind,17.83,1991
ind,26.51,1992
ind,35.5,1993
ind,39.57,1994
ind,35.7,1995
ind,31.57,1996
ind,31.26,1997
ind,25.27,1998
ind,40.98,1999
ind,32.18,2000
ind,23.1,2001
ind,25.83,2002
ind,46.56,2003
ind,55.33,2004
ind,68.27,2005
ind,89.51,2006
ind,154.6,2007
ind,55.68,2008
idn,0.2849,1988
idn,2.218,1989
idn,7.061,1990
idn,5.321,1991
idn,8.626,1992
idn,20.89,1993
idn,26.68,1994
idn,32.94,1995
idn,40.03,1996
idn,13.49,1997
idn,23.16,1998
idn,45.78,1999
idn,16.26,2000
idn,14.34,2001
idn,15.33,2002
idn,23.28,2003
idn,28.52,2004
idn,28.48,2005
idn,38.1,2006
idn,49.01,2007
idn,19.34,2008
irn,2.163,1993
irn,4.126,1994
irn,7.214,1995
irn,15.4,1996
irn,14.4,1997
irn,14.5,1998
irn,20.89,1999
irn,7.256,2000
irn,8.406,2001
irn,12.32,2002
irn,25.44,2003
irn,28.79,2004
irn,20.17,2005
irn,17.02,2006
irn,15.93,2007
irl,38.54,1995
irl,46.95,1996
irl,60.84,1997
irl,75.58,1998
irl,71.33,1999
irl,84.77,2000
irl,71.93,2001
irl,49.29,2002
irl,54.05,2003
irl,61.68,2004
irl,56.59,2005
irl,73.45,2006
irl,55.21,2007
irl,18.46,2008
isr,12.44,1988
isr,18.45,1989
isr,6.325,1990
isr,10.44,1991
isr,45.0,1992
isr,77.06,1993
isr,43.79,1994
isr,37.89,1995
isr,34.1,1996
isr,41.76,1997
isr,36.06,1998
isr,57.6,1999
isr,51.37,2000
isr,57.1,2001
isr,40.15,2002
isr,63.68,2003
isr,75.29,2004
isr,89.47,2005
isr,118.8,2006
isr,141.5,2007
isr,66.53,2008
ita,15.71,1988
ita,18.89,1989
ita,13.15,1990
ita,13.3,1991
ita,10.19,1992
ita,13.34,1993
ita,17.09,1994
ita,18.61,1995
ita,20.5,1996
ita,28.91,1997
ita,46.81,1998
ita,60.65,1999
ita,70.02,2000
ita,47.2,2001
ita,39.43,2002
ita,40.79,2003
ita,45.7,2004
ita,44.9,2005
ita,55.09,2006
ita,50.73,2007
ita,22.62,2008
jam,20.79,1988
jam,21.73,1989
jam,19.84,1990
jam,25.08,1991
jam,91.36,1992
jam,30.05,1993
jam,35.44,1994
jam,21.85,1995
jam,28.91,1996
jam,27.45,1997
jam,24.47,1998
jam,28.65,1999
jam,39.76,2000
jam,51.65,2001
jam,60.33,2002
jam,90.44,2003
jam,142.2,2004
jam,116.8,2005
jam,102.4,2006
jam,96.0,2007
jam,51.41,2008
jpn,133.1,1988
jpn,149.3,1989
jpn,96.74,1990
jpn,90.69,1991
jpn,63.71,1992
jpn,69.37,1993
jpn,78.14,1994
jpn,69.88,1995
jpn,66.63,1996
jpn,52.05,1997
jpn,64.71,1998
jpn,104.1,1999
jpn,67.64,2000
jpn,54.98,2001
jpn,54.26,2002
jpn,71.9,2003
jpn,79.86,2004
jpn,104.1,2005
jpn,108.3,2006
jpn,101.7,2007
jpn,65.58,2008
jor,36.86,1988
jor,52.32,1989
jor,49.75,1990
jor,59.86,1991
jor,63.27,1992
jor,87.23,1993
jor,73.59,1994
jor,69.42,1995
jor,65.69,1996
jor,75.14,1997
jor,73.77,1998
jor,71.48,1999
jor,58.4,2000
jor,70.33,2001
jor,73.94,2002
jor,107.5,2003
jor,161.1,2004
jor,298.0,2005
jor,200.3,2006
jor,242.4,2007
jor,168.8,2008
kaz,6.054,1997
kaz,8.27,1998
kaz,13.43,1999
kaz,7.338,2000
kaz,5.435,2001
kaz,5.443,2002
kaz,7.863,2003
kaz,9.132,2004
kaz,18.42,2005
kaz,53.93,2006
kaz,39.46,2007
kaz,23.29,2008
ken,5.673,1988
ken,6.033,1989
ken,5.273,1990
ken,5.557,1991
ken,7.749,1992
ken,18.43,1993
ken,43.09,1994
ken,20.85,1995
ken,15.32,1996
ken,13.91,1997
ken,14.36,1998
ken,10.93,1999
ken,10.11,2000
ken,8.084,2001
ken,10.82,2002
ken,28.03,2003
ken,24.17,2004
ken,34.07,2005
ken,50.56,2006
ken,49.35,2007
ken,35.96,2008
kor,61.18,1989
kor,42.08,1990
kor,31.28,1991
kor,32.44,1992
kor,38.38,1993
kor,45.34,1994
kor,35.19,1995
kor,24.89,1996
kor,8.92,1997
kor,35.07,1998
kor,88.83,1999
kor,32.17,2000
kor,43.61,2001
kor,43.35,2002
kor,51.2,2003
kor,59.37,2004
kor,85.01,2005
kor,87.75,2006
kor,107.1,2007
kor,53.24,2008
kwt,57.03,1988
kwt,40.84,1989
kwt,41.97,1993
kwt,43.66,1994
kwt,52.78,1995
kwt,69.35,1996
kwt,85.71,1997
kwt,69.88,1998
kwt,62.46,1999
kwt,55.07,2000
kwt,66.47,2001
kwt,80.51,2002
kwt,124.1,2003
kwt,116.7,2004
kwt,161.0,2005
kwt,127.0,2006
kwt,163.9,2007
kwt,72.4,2008
kgz,0.3157,1999
kgz,0.2829,2000
kgz,0.2533,2001
kgz,0.4578,2002
kgz,1.599,2003
kgz,1.537,2004
kgz,1.707,2005
kgz,3.271,2006
kgz,3.182,2007
kgz,1.854,2008
lva,0.191,1995
lva,2.704,1996
lva,5.503,1997
lva,5.773,1998
lva,5.363,1999
lva,7.191,2000
lva,8.385,2001
lva,7.671,2002
lva,10.2,2003
lva,12.03,2004
lva,15.75,2005
lva,13.57,2006
lva,10.82,2007
lva,4.762,2008
lbn,3.413,1995
lbn,18.44,1997
lbn,13.83,1998
lbn,11.05,1999
lbn,9.171,2000
lbn,7.043,2001
lbn,7.317,2002
lbn,7.452,2003
lbn,10.65,2004
lbn,22.55,2005
lbn,36.9,2006
lbn,43.35,2007
lbn,32.94,2008
ltu,2.06,1995
ltu,11.0,1996
ltu,16.93,1997
ltu,9.611,1998
ltu,10.43,1999
ltu,13.89,2000
ltu,9.864,2001
ltu,10.33,2002
ltu,18.86,2003
ltu,28.66,2004
ltu,31.52,2005
ltu,33.87,2006
ltu,26.06,2007
ltu,7.657,2008
lux,479.7,1988
lux,103.5,1989
lux,82.87,1990
lux,82.38,1991
lux,77.34,1992
lux,122.5,1993
lux,162.4,1994
lux,147.2,1995
lux,158.8,1996
lux,183.0,1997
lux,182.9,1998
lux,169.6,1999
lux,167.8,2000
lux,117.7,2001
lux,109.5,2002
lux,128.0,2003
lux,146.7,2004
lux,136.3,2005
lux,186.9,2006
lux,333.3,2007
lux,123.7,2008
mkd,2.216,1996
mkd,0.2142,1997
mkd,0.224,1998
mkd,0.2089,1999
mkd,0.1979,2000
mkd,1.338,2001
mkd,4.802,2002
mkd,7.812,2003
mkd,7.696,2004
mkd,11.11,2005
mkd,17.24,2006
mkd,34.26,2007
mkd,8.649,2008
mwi,3.566,2003
mwi,6.058,2004
mwi,8.066,2005
mwi,18.56,2006
mwi,41.48,2008
mys,66.06,1988
mys,102.4,1989
mys,110.4,1990
mys,119.3,1991
mys,158.9,1992
mys,328.9,1993
mys,267.2,1994
mys,250.7,1995
mys,304.6,1996
mys,93.45,1997
mys,136.6,1998
mys,183.8,1999
mys,124.7,2000
mys,129.3,2001
mys,122.8,2002
mys,152.8,2003
mys,152.3,2004
mys,131.4,2005
mys,150.5,2006
mys,174.4,2007
mys,84.35,2008
mlt,1.909,1994
mlt,4.744,1995
mlt,14.16,1996
mlt,13.79,1997
mlt,22.38,1998
mlt,52.54,1999
mlt,52.56,2000
mlt,35.72,2001
mlt,32.62,2002
mlt,36.59,2003
mlt,50.73,2004
mlt,69.22,2005
mlt,70.43,2006
mlt,75.63,2007
mus,10.1,1990
mus,10.92,1991
mus,12.9,1992
mus,24.24,1993
mus,42.44,1994
mus,32.94,1995
mus,37.9,1996
mus,39.76,1997
mus,44.34,1998
mus,38.27,1999
mus,29.05,2000
mus,23.43,2001
mus,27.85,2002
mus,34.85,2003
mus,37.25,2004
mus,41.65,2005
mus,55.3,2006
mus,75.26,2007
mus,36.94,2008
mex,7.535,1988
mex,10.14,1989
mex,12.45,1990
mex,31.23,1991
mex,38.23,1992
mex,49.85,1993
mex,30.83,1994
mex,31.63,1995
mex,32.0,1996
mex,39.0,1997
mex,21.78,1998
mex,32.01,1999
mex,21.53,2000
mex,20.3,2001
mex,15.89,2002
mex,17.5,2003
mex,22.64,2004
mex,28.23,2005
mex,36.71,2006
mex,38.89,2007
mex,21.37,2008
mda,2.773,1996
mda,3.782,1997
mda,3.05,1998
mda,3.246,1999
mda,30.43,2000
mda,23.64,2001
mda,23.57,2002
mda,25.62,2003
mda,22.09,2004
mng,2.201,1995
mng,2.205,1996
mng,5.123,1997
mng,4.115,1998
mng,3.545,1999
mng,3.388,2000
mng,3.205,2001
mng,2.504,2002
mng,2.927,2003
mng,1.366,2004
mng,1.978,2005
mng,3.595,2006
mng,15.58,2007
mng,7.741,2008
mne,17.14,2004
mne,46.46,2005
mne,65.04,2006
mne,96.25,2007
mne,58.53,2008
mar,2.009,1988
mar,2.718,1989
mar,3.741,1990
mar,5.496,1991
mar,6.713,1992
mar,9.888,1993
mar,14.43,1994
mar,18.04,1995
mar,23.76,1996
mar,36.44,1997
mar,39.17,1998
mar,34.47,1999
mar,29.44,2000
mar,24.09,2001
mar,21.26,2002
mar,26.4,2003
mar,44.01,2004
mar,45.73,2005
mar,75.2,2006
mar,100.4,2007
mar,73.97,2008
nam,0.7401,1992
nam,0.9836,1993
nam,6.181,1994
nam,5.395,1995
nam,13.15,1996
nam,18.95,1997
nam,12.62,1998
nam,20.42,1999
nam,7.962,2000
nam,4.243,2001
nam,5.083,2002
nam,6.236,2003
nam,6.696,2004
nam,5.71,2005
nam,6.789,2006
nam,7.944,2007
nam,7.001,2008
npl,6.492,1994
npl,5.544,1995
npl,4.578,1996
npl,4.066,1997
npl,5.498,1998
npl,7.66,1999
npl,14.37,2000
npl,8.828,2001
npl,6.896,2002
npl,7.626,2003
npl,11.73,2004
npl,16.53,2005
npl,19.89,2006
npl,47.75,2007
npl,38.8,2008
nld,46.99,1988
nld,66.03,1989
nld,40.7,1990
nld,44.83,1991
nld,40.15,1992
nld,55.54,1993
nld,80.65,1994
nld,85.09,1995
nld,90.61,1996
nld,121.3,1997
nld,149.8,1998
nld,169.0,1999
nld,166.3,2000
nld,114.4,2001
nld,91.7,2002
nld,90.77,2003
nld,88.33,2004
nld,92.86,2005
nld,115.1,2006
nld,123.2,2007
nld,44.54,2008
nzl,30.17,1988
nzl,31.75,1989
nzl,20.1,1990
nzl,34.6,1991
nzl,37.96,1992
nzl,56.43,1993
nzl,50.69,1994
nzl,51.49,1995
nzl,56.86,1996
nzl,47.63,1997
nzl,45.99,1998
nzl,49.4,1999
nzl,37.07,2000
nzl,34.08,2001
nzl,33.68,2002
nzl,38.67,2003
nzl,43.38,2004
nzl,39.79,2005
nzl,41.32,2006
nzl,35.23,2007
nzl,18.6,2008
nga,4.202,1988
nga,4.236,1989
nga,4.812,1990
nga,6.883,1991
nga,3.73,1992
nga,4.824,1993
nga,11.45,1994
nga,7.233,1995
nga,10.09,1996
nga,10.06,1997
nga,8.982,1998
nga,8.453,1999
nga,9.214,2000
nga,11.26,2001
nga,9.709,2002
nga,14.03,2003
nga,16.47,2004
nga,17.24,2005
nga,22.35,2006
nga,52.04,2007
nga,24.05,2008
nor,14.29,1988
nor,25.11,1989
nor,22.19,1990
nor,18.39,1991
nor,13.87,1992
nor,23.17,1993
nor,29.29,1994
nor,29.94,1995
nor,35.85,1996
nor,42.03,1997
nor,31.06,1998
nor,40.05,1999
nor,38.64,2000
nor,40.4,2001
nor,35.07,2002
nor,42.06,2003
nor,54.69,2004
nor,63.23,2005
nor,83.47,2006
nor,92.01,2007
nor,27.87,2008
omn,8.513,1992
omn,8.725,1993
omn,13.16,1994
omn,14.33,1995
omn,17.42,1996
omn,44.88,1997
omn,31.18,1998
omn,27.38,1999
omn,17.43,2000
omn,13.06,2001
omn,19.94,2002
omn,23.27,2003
omn,25.64,2004
omn,49.41,2005
omn,43.9,2006
omn,55.38,2007
pak,6.394,1988
pak,6.124,1989
pak,7.123,1990
pak,16.13,1991
pak,16.51,1992
pak,22.53,1993
pak,23.7,1994
pak,15.31,1995
pak,16.8,1996
pak,17.56,1997
pak,8.712,1998
pak,11.06,1999
pak,8.899,2000
pak,6.837,2001
pak,14.11,2002
pak,19.92,2003
pak,29.6,2004
pak,41.91,2005
pak,35.7,2006
pak,49.06,2007
pak,14.28,2008
pan,3.403,1992
pan,5.777,1993
pan,9.025,1994
pan,10.51,1995
pan,13.72,1996
pan,22.38,1997
pan,35.08,1998
pan,32.72,1999
pan,24.05,2000
pan,22.04,2001
pan,24.03,2002
pan,23.78,2003
pan,23.99,2004
pan,32.81,2005
pan,33.35,2006
pan,31.91,2007
pan,28.45,2008
png,49.35,2001
png,47.43,2002
png,66.15,2003
png,74.92,2004
png,64.64,2005
png,118.3,2006
pry,0.3491,1993
pry,0.6628,1994
pry,1.785,1995
pry,4.38,1996
pry,4.385,1997
pry,3.942,1998
pry,5.804,1999
pry,3.468,2001
pry,3.055,2002
pry,3.699,2003
pry,3.586,2004
pry,3.443,2005
pry,4.41,2006
per,4.525,1989
per,3.088,1990
per,3.242,1991
per,7.289,1992
per,14.67,1993
per,18.21,1994
per,21.98,1995
per,22.0,1996
per,29.69,1997
per,20.52,1998
per,26.0,1999
per,19.82,2000
per,20.64,2001
per,23.54,2002
per,26.17,2003
per,28.85,2004
per,45.34,2005
per,64.62,2006
per,98.57,2007
per,43.08,2008
phl,11.3,1988
phl,28.19,1989
phl,13.38,1990
phl,25.1,1991
phl,28.88,1992
phl,74.12,1993
phl,88.63,1994
phl,79.51,1995
phl,97.38,1996
phl,38.08,1997
phl,54.19,1998
phl,55.34,1999
phl,34.19,2000
phl,58.31,2001
phl,50.8,2002
phl,29.59,2003
phl,33.3,2004
phl,40.63,2005
phl,58.18,2006
phl,71.66,2007
phl,31.22,2008
pol,0.1884,1991
pol,0.2633,1992
pol,3.157,1993
pol,3.106,1994
pol,3.282,1995
pol,5.355,1996
pol,7.722,1997
