geo,car_deaths_per_100000_people,time
mkd,2.692,2006
mwi,11.88,2007
mys,5.879,2000
mys,0.644,2001
mys,0.383,2002
mys,1.724,2003
mys,9.863,2004
mys,10.55,2005
mys,9.539,2006
mys,6.128,2007
mdv,29.27,2005
mlt,2.886,1995
mlt,2.296,1996
mlt,2.234,1997
mlt,1.706,1998
mlt,1.389,1999
mlt,2.51,2000
mlt,2.296,2001
mlt,1.434,2002
mlt,0.956,2003
mlt,1.449,2004
mlt,2.695,2005
mlt,1.463,2006
mlt,1.523,2007
mlt,2.228,2008
mhl,1.8,2007
mtq,3.11,2000
mtq,3.279,2001
mtq,5.384,2002
mtq,8.108,2003
mtq,5.293,2004
mtq,8.882,2005
mtq,2.599,2006
mus,0.113,2000
mus,0.119,2001
mus,2.988,2007
mex,8.52,1998
mex,8.658,1999
mex,8.681,2000
mex,8.065,2001
mex,8.84,2002
mex,8.675,2003
mex,8.819,2004
mex,9.253,2005
mex,9.669,2006
mex,9.468,2007
fsm,14.76,2007
mda,3.771,1996
mda,3.931,1997
mda,4.287,1998
mda,4.361,1999
mda,2.616,2000
mda,2.572,2001
mda,3.312,2002
mda,3.379,2003
mda,3.821,2004
mda,5.006,2005
mda,3.255,2006
mda,4.512,2007
mda,5.529,2008
mng,13.82,2007
mne,15.38,2007
mar,15.25,2007
moz,13.72,2007
mmr,12.0,2007
nld,4.173,1996
nld,3.858,1997
nld,3.715,1998
nld,3.946,1999
nld,3.878,2000
nld,3.471,2001
nld,3.598,2002
nld,3.65,2003
nld,2.842,2004
nld,2.292,2005
nld,2.22,2006
nld,2.262,2007
nld,2.237,2008
ant,3.299,1988
ant,7.132,1989
ant,5.636,1990
ant,13.15,1991
ant,5.965,1992
ant,8.544,1993
ant,8.357,1994
ant,7.735,1995
ant,5.714,1996
ant,2.603,1997
ant,5.255,1998
ant,4.498,1999
ant,9.587,2000
nzl,11.41,1997
nzl,10.49,1998
nzl,11.07,1999
nzl,9.761,2000
nzl,9.417,2001
nzl,8.655,2002
nzl,9.762,2003
nzl,9.157,2004
nzl,8.433,2005
nzl,6.891,2006
nzl,7.6,2007
nic,4.355,1997
nic,3.722,1998
nic,10.03,1999
nic,2.537,2000
nic,7.291,2001
nic,4.63,2002
nic,3.44,2003
nic,2.983,2004
nic,3.539,2005
nic,7.788,2007
ner,30.82,2007
nor,4.326,1996
nor,4.793,1997
nor,5.456,1998
nor,4.939,1999
nor,5.261,2000
nor,4.312,2001
nor,4.942,2002
nor,4.41,2003
nor,4.105,2004
nor,3.57,2005
nor,3.226,2006
nor,3.125,2007
plw,10.73,2007
pan,9.906,1998
pan,10.15,1999
pan,6.612,2000
pan,6.874,2001
pan,7.517,2002
pan,7.583,2003
pan,6.666,2004
pan,6.959,2005
pan,7.986,2006
png,11.26,2007
pry,2.723,1996
pry,3.89,1997
pry,4.82,1998
pry,6.067,1999
pry,5.574,2000
pry,4.74,2001
pry,3.13,2002
pry,3.349,2003
pry,2.564,2004
pry,2.682,2005
pry,3.247,2006
per,12.56,1999
per,13.98,2000
per,4.446,2007
phl,3.759,1999
phl,3.582,2000
phl,2.804,2001
phl,2.824,2002
phl,2.507,2003
pol,8.839,1999
pol,8.276,2000
pol,7.597,2001
pol,7.866,2002
pol,7.48,2003
pol,7.097,2004
pol,7.204,2005
pol,6.825,2006
pol,7.519,2007
pol,7.675,2008
prt,2.957,1998
prt,2.43,1999
prt,5.625,2000
prt,3.49,2002
prt,4.609,2003
prt,5.078,2007
pri,7.231,1999
pri,8.05,2000
pri,5.987,2001
pri,7.715,2002
pri,7.143,2003
pri,4.797,2005
pri,6.173,2007
qat,16.35,2007
reu,8.437,2001
reu,3.376,2002
reu,1.896,2003
reu,2.09,2004
reu,0.939,2005
reu,3.301,2006
rou,8.808,2007
rus,14.38,2007
rwa,6.416,2007
lca,15.9,2008
vct,2.188,2000
vct,0.946,2001
vct,1.626,2002
vct,1.443,2004
vct,3.124,2007
smr,5.946,2005
sen,24.75,2007
srb,5.985,2007
syc,11.7,2007
sle,21.32,2007
sgp,1.048,1991
sgp,1.014,1992
sgp,0.997,1993
sgp,1.243,1994
sgp,0.848,1995
sgp,1.032,1996
sgp,1.19,1997
sgp,0.953,1998
sgp,0.808,1999
sgp,0.918,2000
sgp,0.923,2001
sgp,0.805,2002
sgp,0.914,2003
sgp,0.7152,2007
svk,6.304,1994
svk,7.007,1995
svk,6.217,1996
svk,8.045,1997
svk,8.433,1998
svk,6.649,1999
svk,5.684,2000
svk,6.096,2001
svk,5.97,2002
svk,6.255,2003
svk,5.813,2004
svk,5.968,2005
svk,6.746,2007
svn,11.81,1985
svn,13.8,1986
svn,14.75,1987
svn,15.14,1988
svn,18.19,1989
svn,14.2,1990
svn,13.42,1991
svn,13.29,1992
svn,14.48,1993
svn,17.3,1994
svn,12.24,1995
svn,12.91,1996
svn,9.997,1997
svn,8.354,1998
svn,8.508,1999
svn,7.584,2000
svn,8.033,2001
svn,7.687,2002
svn,6.779,2003
svn,7.924,2004
svn,7.086,2005
svn,7.213,2006
svn,8.638,2007
svn,5.315,2008
zaf,24.52,1996
zaf,6.165,1997
zaf,8.23,1998
zaf,6.021,1999
zaf,4.676,2000
zaf,3.796,2001
zaf,2.386,2002
zaf,5.016,2003
zaf,4.235,2004
zaf,5.409,2005
zaf,7.0,2006
zaf,8.907,2007
esp,10.06,1997
esp,10.76,1998
esp,10.33,1999
esp,10.15,2000
esp,9.168,2001
esp,8.818,2002
esp,8.823,2003
esp,7.466,2004
esp,6.603,2005
esp,5.146,2006
sdn,11.79,2007
sur,3.573,1995
sur,7.78,1996
sur,13.04,1997
sur,8.894,1998
sur,18.83,1999
sur,13.82,2000
sur,10.79,2004
sur,11.34,2005
sur,8.573,2007
swz,20.15,2007
swe,3.976,1996
swe,3.604,1997
swe,3.486,1998
swe,3.949,1999
swe,4.262,2000
swe,4.286,2001
swe,4.127,2002
swe,3.881,2003
swe,3.091,2004
swe,3.184,2005
swe,3.099,2006
swe,2.737,2007
che,2.342,2006
tjk,9.448,2007
tza,16.55,2007
tha,12.34,1991
tha,3.892,1992
tha,25.34,1994
tha,26.83,1995
tha,25.75,1996
tha,17.12,1997
tha,8.041,1998
tha,16.3,1999
tha,13.58,2000
tha,9.383,2002
tha,7.98,2006
tha,2.101,2007
ton,3.85,2007
tto,7.461,1999
tto,6.48,2000
tto,9.633,2001
tto,7.511,2002
tto,9.447,2007
tun,19.29,2007
tur,7.189,2006
uga,13.69,2007
ukr,8.771,2007
are,31.85,2007
gbr,3.452,1998
gbr,3.393,1999
gbr,3.175,2001
gbr,3.455,2002
gbr,3.564,2003
gbr,3.285,2004
gbr,3.348,2005
gbr,3.257,2006
gbr,3.377,2007
usa,12.73,1997
usa,12.5,1998
usa,10.97,1999
usa,10.91,2000
usa,10.75,2001
usa,11.15,2002
usa,10.62,2003
usa,10.29,2004
usa,9.949,2005
usa,9.523,2006
ury,4.972,1997
ury,7.452,1998
ury,5.062,1999
ury,3.217,2000
ury,2.686,2001
ury,2.566,2004
uzb,6.297,2004
uzb,6.418,2005
ven,4.818,1996
ven,6.291,1997
ven,8.218,1998
ven,7.394,1999
ven,7.946,2000
ven,8.083,2001
ven,7.984,2002
ven,6.485,2003
ven,6.849,2004
ven,6.82,2005
ven,7.332,2007
vir,10.28,1999
vir,6.029,2000
vir,5.566,2001
vir,1.612,2002
vir,1.451,2003
zmb,11.26,2007
zwe,20.85,2006
