geo,working_hours_per_week,time
nzl,35.55,1994
nzl,35.42,1995
nzl,35.25,1996
nzl,35.01,1997
nzl,35.08,1998
nzl,35.34,1999
nzl,35.19,2000
nzl,34.95,2001
nzl,34.94,2002
nzl,34.86,2003
nzl,35.13,2004
nzl,34.81,2005
nzl,34.36,2006
nzl,34.07,2007
nic,34.38,1993
nic,37.06,1997
nic,37.37,1999
nor,30.38,1980
nor,30.2,1981
nor,29.98,1982
nor,29.87,1983
nor,29.77,1984
nor,29.66,1985
nor,29.58,1986
nor,29.05,1987
nor,29.1,1988
nor,29.05,1989
nor,28.9,1990
nor,28.85,1991
nor,29.04,1992
nor,28.98,1993
nor,28.94,1994
nor,28.61,1995
nor,28.51,1996
nor,28.41,1997
nor,28.38,1998
nor,28.33,1999
nor,27.98,2000
nor,27.48,2001
nor,27.19,2002
nor,26.9,2003
nor,27.26,2004
nor,27.31,2005
nor,27.08,2006
nor,27.14,2007
pak,33.13,1994
pan,32.88,1990
pan,33.67,1997
pan,33.35,1999
pry,39.02,1990
pry,36.35,1997
per,37.77,1991
per,38.56,1997
per,40.21,1998
pol,38.23,2000
pol,37.96,2001
pol,38.06,2002
pol,38.15,2003
pol,38.13,2004
pol,38.35,2005
pol,38.17,2006
pol,38.0,2007
prt,37.37,1986
prt,37.67,1987
prt,37.63,1988
prt,38.0,1989
prt,37.73,1990
prt,36.31,1991
prt,35.63,1992
prt,35.58,1993
prt,35.35,1994
prt,36.48,1995
prt,35.54,1996
prt,34.85,1997
prt,34.6,1998
prt,34.85,1999
prt,33.94,2000
prt,34.02,2001
prt,33.98,2002
prt,33.5,2003
prt,33.9,2004
prt,33.69,2005
prt,33.81,2006
prt,33.23,2007
svk,35.65,1994
svk,36.14,1995
svk,35.38,1996
svk,35.27,1997
svk,34.57,1998
svk,34.78,1999
svk,34.83,2000
svk,34.6,2001
svk,33.58,2002
svk,32.17,2003
svk,32.84,2004
svk,33.49,2005
svk,33.63,2006
esp,36.78,1980
esp,36.12,1981
esp,35.72,1982
esp,35.1,1983
esp,34.24,1984
esp,34.05,1985
esp,33.91,1986
esp,33.75,1987
esp,33.68,1988
esp,33.45,1989
esp,33.48,1990
esp,33.65,1991
esp,33.49,1992
esp,33.34,1993
esp,33.33,1994
esp,33.33,1995
esp,33.24,1996
esp,33.24,1997
esp,33.3,1998
esp,33.31,1999
esp,33.28,2000
esp,33.2,2001
esp,33.09,2002
esp,32.8,2003
esp,32.51,2004
esp,32.15,2005
esp,31.82,2006
esp,31.77,2007
lka,44.0,1994
swe,29.17,1980
swe,29.01,1981
swe,29.28,1982
swe,29.46,1983
swe,29.5,1984
swe,29.58,1985
swe,29.54,1986
swe,29.73,1987
swe,30.11,1988
swe,30.09,1989
swe,30.02,1990
swe,29.76,1991
swe,30.1,1992
swe,30.71,1993
swe,30.92,1994
swe,30.95,1995
swe,31.03,1996
swe,32.21,1997
swe,31.65,1998
swe,31.02,1999
swe,30.28,2000
swe,29.36,2001
swe,29.51,2002
swe,29.98,2003
swe,30.28,2004
swe,30.9,2005
swe,30.3,2006
swe,30.03,2007
che,34.7,1980
che,34.33,1981
che,34.12,1982
che,33.84,1983
che,33.48,1984
che,33.36,1985
che,33.2,1986
che,33.17,1987
che,33.16,1988
che,32.87,1989
che,32.69,1990
che,32.65,1991
che,32.84,1992
che,32.77,1993
che,33.17,1994
che,32.74,1995
che,32.2,1996
che,31.95,1997
che,32.09,1998
che,32.51,1999
che,32.4,2000
che,31.66,2001
che,31.33,2002
che,31.53,2003
che,32.1,2004
che,32.1,2005
che,31.87,2006
tha,42.85,1994
tur,36.88,2004
tur,36.88,2005
gbr,34.09,1980
gbr,32.99,1981
gbr,33.28,1982
gbr,33.01,1983
gbr,33.32,1984
gbr,33.95,1985
gbr,34.01,1986
gbr,33.8,1987
gbr,34.57,1988
gbr,34.34,1989
gbr,34.05,1990
gbr,33.99,1991
gbr,33.32,1992
gbr,33.19,1993
gbr,33.46,1994
gbr,33.51,1995
gbr,33.49,1996
gbr,33.47,1997
gbr,33.35,1998
gbr,33.13,1999
gbr,32.91,2000
gbr,32.97,2001
gbr,32.61,2002
gbr,32.25,2003
gbr,32.15,2004
gbr,32.23,2005
gbr,32.09,2006
gbr,32.12,2007
usa,34.81,1980
usa,34.63,1981
usa,34.56,1982
usa,34.92,1983
usa,35.27,1984
usa,35.23,1985
usa,35.1,1986
usa,35.19,1987
usa,35.25,1988
usa,35.48,1989
usa,35.13,1990
usa,34.9,1991
usa,34.92,1992
usa,35.1,1993
usa,35.25,1994
usa,35.38,1995
usa,35.23,1996
usa,35.42,1997
usa,35.44,1998
usa,35.46,1999
usa,35.23,2000
usa,34.83,2001
usa,34.75,2002
usa,34.56,2003
usa,34.6,2004
usa,34.52,2005
usa,34.56,2006
usa,34.5,2007
ury,34.38,1990
ury,33.52,1997
ury,33.12,1999
ven,33.52,1997
ven,32.17,1999
