geo,central_bank_discount_rate_annual_percent,time
gtm,4,1967
gtm,4,1968
gtm,4,1969
gtm,4,1970
gtm,4,1971
gtm,4,1972
gtm,4,1973
gtm,5,1974
gtm,5,1975
gtm,5,1976
gtm,7,1977
gtm,5,1978
gtm,9,1979
gtm,8,1980
gtm,12,1981
gtm,9,1982
gtm,9,1983
gtm,9,1984
gtm,9,1985
gtm,9,1986
gtm,9,1987
gtm,9,1988
gtm,13,1989
gtm,19,1990
gtm,17,1991
gin,9,1986
gin,10,1987
gin,10,1988
gin,13,1989
gin,15,1990
gin,19,1991
gin,19,1992
gin,17,1993
gin,17,1994
gin,18,1995
gin,18,1996
gin,15,1997
gin,12,2000
gin,16,2001
gin,16,2002
gin,16,2003
gin,16,2004
gin,22,2005
gnb,42,1990
gnb,42,1991
gnb,46,1992
gnb,6,1993
gnb,6,1994
gnb,6,1995
gnb,6,1996
gnb,6,1997
gnb,6,1998
gnb,6,1999
gnb,6,2000
gnb,6,2001
gnb,6,2002
gnb,5,2003
gnb,4,2004
gnb,4,2005
gnb,4,2006
guy,6,1966
guy,7,1967
guy,7,1968
guy,7,1969
guy,7,1970
guy,7,1971
guy,7,1972
guy,7,1973
guy,7,1974
guy,7,1975
guy,7,1976
guy,7,1977
guy,9,1978
guy,11,1979
guy,13,1980
guy,13,1981
guy,14,1982
guy,14,1983
guy,14,1984
guy,14,1985
guy,14,1986
guy,14,1987
guy,14,1988
guy,35,1989
guy,30,1990
guy,33,1991
guy,24,1992
guy,17,1993
guy,20,1994
guy,17,1995
guy,12,1996
guy,11,1997
guy,11,1998
guy,13,1999
guy,12,2000
guy,9,2001
guy,6,2002
guy,6,2003
guy,6,2004
guy,6,2005
guy,7,2006
hnd,13,1978
hnd,14,1979
hnd,16,1980
hnd,16,1981
hnd,24,1982
hnd,24,1983
hnd,24,1984
hnd,24,1985
hnd,24,1986
hnd,24,1987
hnd,24,1988
hnd,24,1989
hnd,28,1990
hnd,30,1991
hnd,26,1992
hun,12,1985
hun,11,1986
hun,11,1987
hun,14,1988
hun,17,1989
hun,22,1990
hun,22,1991
hun,21,1992
hun,22,1993
hun,25,1994
hun,28,1995
hun,23,1996
hun,21,1997
hun,17,1998
hun,15,1999
hun,11,2000
hun,10,2001
hun,9,2002
hun,13,2003
hun,10,2004
hun,6,2005
hun,8,2006
isl,4,1948
isl,4,1949
isl,4,1950
isl,5,1951
isl,5,1952
isl,5,1953
isl,5,1954
isl,5,1955
isl,5,1956
isl,5,1957
isl,5,1958
isl,5,1959
isl,6,1960
isl,6,1961
isl,6,1962
isl,6,1963
isl,6,1964
isl,5,1965
isl,5,1966
isl,5,1967
isl,5,1968
isl,5,1969
isl,5,1970
isl,5,1971
isl,5,1972
isl,6,1973
isl,7,1974
isl,7,1975
isl,7,1976
isl,14,1977
isl,17,1978
isl,26,1979
isl,28,1980
isl,28,1981
isl,28,1982
isl,22,1983
isl,17,1984
isl,30,1985
isl,21,1986
isl,49,1987
isl,24,1988
isl,38,1989
isl,21,1990
isl,21,1991
isl,17,1992
isl,5,1994
isl,6,1995
isl,6,1996
isl,7,1997
isl,9,1998
isl,10,1999
isl,12,2000
isl,12,2001
isl,8,2002
isl,8,2003
isl,10,2004
isl,12,2005
isl,15,2006
ind,5,1963
ind,5,1964
ind,6,1965
ind,6,1966
ind,6,1967
ind,5,1968
ind,5,1969
ind,5,1970
ind,6,1971
ind,6,1972
ind,7,1973
ind,9,1974
ind,9,1975
ind,9,1976
ind,9,1977
ind,9,1978
ind,9,1979
ind,9,1980
ind,10,1981
ind,10,1982
ind,10,1983
ind,10,1984
ind,10,1985
ind,10,1986
ind,10,1987
ind,10,1988
ind,10,1989
ind,10,1990
ind,12,1991
ind,12,1992
ind,12,1993
ind,12,1994
ind,12,1995
ind,12,1996
ind,9,1997
ind,9,1998
ind,8,1999
ind,8,2000
ind,7,2001
ind,6,2002
ind,6,2003
ind,6,2004
ind,6,2005
ind,6,2006
idn,19,1990
idn,18,1991
idn,14,1992
idn,9,1993
idn,12,1994
idn,14,1995
idn,13,1996
idn,20,1997
idn,38,1998
idn,13,1999
idn,15,2000
idn,18,2001
idn,13,2002
idn,8,2003
idn,7,2004
idn,13,2005
idn,10,2006
irn,4,1948
irn,4,1949
irn,4,1950
irn,4,1951
irn,4,1952
irn,4,1953
irn,4,1954
irn,4,1955
irn,4,1956
irn,4,1957
irn,4,1958
irn,4,1959
irn,6,1960
irn,6,1961
irn,6,1962
irn,4,1963
irn,4,1964
irn,4,1965
irn,5,1966
irn,5,1967
irn,7,1968
irn,8,1969
irn,8,1970
irn,7,1971
irn,8,1972
irn,9,1973
irn,9,1974
irn,8,1975
irn,8,1976
irn,8,1977
irn,10,1978
irn,9,1979
irn,12,2003
irl,3,1948
irl,3,1949
irl,3,1950
irl,3,1951
irl,4,1952
irl,4,1953
irl,3,1954
irl,4,1955
irl,5,1956
irl,6,1957
irl,4,1958
irl,4,1959
irl,5,1960
irl,6,1961
irl,4,1962
irl,4,1963
irl,7,1964
irl,6,1965
irl,7,1966
irl,8,1967
irl,7,1968
irl,8,1969
irl,7,1970
irl,5,1971
irl,8,1972
irl,13,1973
irl,12,1974
irl,10,1975
irl,15,1976
irl,7,1977
irl,12,1978
irl,17,1979
irl,14,1980
irl,17,1981
irl,14,1982
irl,12,1983
irl,14,1984
irl,10,1985
irl,13,1986
irl,9,1987
irl,8,1988
irl,12,1989
irl,11,1990
irl,11,1991
irl,7,1993
irl,6,1994
irl,7,1995
irl,6,1996
irl,7,1997
irl,4,1998
isr,108,1982
isr,311,1983
isr,690,1984
isr,80,1985
isr,31,1986
isr,27,1987
isr,31,1988
isr,15,1989
isr,13,1990
isr,14,1991
isr,10,1992
isr,10,1993
isr,17,1994
isr,14,1995
isr,15,1996
isr,14,1997
isr,13,1998
isr,11,1999
isr,8,2000
isr,6,2001
isr,9,2002
isr,5,2003
isr,4,2004
isr,4,2005
ita,6,1948
ita,5,1949
ita,4,1950
ita,4,1951
ita,4,1952
ita,4,1953
ita,4,1954
ita,4,1955
ita,4,1956
ita,4,1957
ita,4,1958
ita,4,1959
ita,4,1960
ita,4,1961
ita,4,1962
ita,4,1963
ita,4,1964
ita,4,1965
ita,4,1966
ita,4,1967
ita,4,1968
ita,4,1969
ita,6,1970
ita,5,1971
ita,4,1972
ita,7,1973
ita,8,1974
ita,6,1975
ita,15,1976
ita,12,1977
ita,11,1978
ita,15,1979
ita,17,1980
ita,19,1981
ita,18,1982
ita,17,1983
ita,17,1984
ita,15,1985
ita,12,1986
ita,12,1987
ita,13,1988
ita,14,1989
ita,13,1990
ita,12,1991
ita,12,1992
ita,8,1993
ita,8,1994
ita,9,1995
ita,8,1996
ita,6,1997
ita,3,1998
jam,6,1961
jam,6,1962
jam,4,1963
jam,5,1964
jam,5,1965
jam,6,1966
jam,6,1967
jam,5,1968
jam,6,1969
jam,6,1970
jam,5,1971
jam,6,1972
jam,7,1973
jam,9,1974
jam,8,1975
jam,9,1976
jam,9,1977
jam,9,1978
jam,9,1979
jam,11,1980
jam,11,1981
jam,11,1982
jam,11,1983
jam,16,1984
jam,21,1985
jam,21,1986
jam,21,1987
jam,21,1988
jam,21,1989
jam,21,1990
jpn,5,1948
jpn,5,1949
jpn,5,1950
jpn,6,1951
jpn,6,1952
jpn,6,1953
jpn,6,1954
jpn,7,1955
jpn,7,1956
jpn,8,1957
jpn,7,1958
jpn,7,1959
jpn,7,1960
jpn,7,1961
jpn,7,1962
jpn,6,1963
jpn,7,1964
jpn,5,1965
jpn,5,1966
jpn,6,1967
jpn,6,1968
jpn,6,1969
jpn,6,1970
jpn,5,1971
jpn,4,1972
jpn,9,1973
jpn,9,1974
jpn,7,1975
jpn,7,1976
jpn,4,1977
jpn,4,1978
jpn,6,1979
jpn,7,1980
jpn,6,1981
jpn,6,1982
jpn,5,1983
jpn,5,1984
jpn,5,1985
jpn,3,1986
jpn,3,1987
jpn,3,1988
jpn,4,1989
jpn,6,1990
jpn,5,1991
jpn,3,1992
jpn,2,1993
jpn,2,1994
jpn,1,1995
jpn,1,1996
jpn,1,1997
jpn,1,1998
jpn,1,1999
jpn,1,2000
jpn,0,2001
jpn,0,2002
jpn,0,2003
jpn,0,2004
jpn,0,2005
jpn,0,2006
jor,6,1966
jor,5,1967
jor,5,1968
jor,5,1969
jor,5,1970
jor,5,1971
jor,5,1972
jor,5,1973
jor,5,1974
jor,5,1975
jor,6,1976
jor,6,1977
jor,6,1978
jor,6,1979
jor,6,1980
jor,7,1981
jor,7,1982
jor,6,1983
jor,6,1984
jor,6,1985
jor,6,1986
jor,6,1987
jor,6,1988
jor,8,1989
jor,9,1990
jor,9,1991
jor,9,1992
jor,9,1993
jor,9,1994
jor,9,1995
jor,9,1996
jor,8,1997
jor,9,1998
jor,8,1999
jor,7,2000
jor,5,2001
jor,5,2002
jor,3,2003
jor,4,2004
jor,7,2005
jor,8,2006
kaz,170,1993
kaz,230,1994
kaz,53,1995
kaz,35,1996
kaz,19,1997
kaz,25,1998
kaz,18,1999
kaz,14,2000
kaz,9,2001
kaz,8,2002
kaz,7,2003
kaz,7,2004
kaz,8,2005
kaz,9,2006
ken,7,1967
ken,7,1968
ken,7,1969
ken,7,1970
ken,7,1971
ken,7,1972
ken,7,1973
ken,7,1974
ken,7,1975
ken,7,1976
ken,7,1977
ken,8,1978
ken,8,1979
ken,8,1980
ken,13,1981
ken,15,1982
ken,15,1983
ken,13,1984
ken,13,1985
ken,13,1986
ken,13,1987
ken,16,1988
ken,17,1989
ken,19,1990
ken,20,1991
ken,20,1992
ken,46,1993
ken,22,1994
ken,25,1995
ken,27,1996
ken,32,1997
ken,17,1998
ken,26,1999
kor,4,1948
kor,4,1949
kor,6,1950
kor,6,1951
kor,6,1952
kor,7,1953
kor,7,1954
kor,7,1955
kor,7,1956
kor,7,1957
kor,7,1958
kor,7,1959
kor,10,1960
kor,10,1961
kor,10,1962
kor,10,1963
kor,11,1964
kor,28,1965
kor,28,1966
kor,28,1967
kor,23,1968
kor,22,1969
kor,19,1970
kor,16,1971
kor,11,1972
kor,11,1973
kor,11,1974
kor,14,1975
kor,14,1976
kor,14,1977
kor,15,1978
kor,15,1979
kor,16,1980
kor,11,1981
kor,5,1982
kor,5,1983
kor,5,1984
kor,5,1985
kor,7,1986
kor,7,1987
kor,8,1988
kor,7,1989
kor,7,1990
kor,7,1991
kor,7,1992
kor,5,1993
kor,5,1994
kor,5,1995
kor,5,1996
kor,5,1997
kor,3,1998
kor,3,1999
kor,3,2000
kor,3,2001
kor,3,2002
kor,3,2003
kor,2,2004
kor,2,2005
kor,3,2006
kwt,6,1975
kwt,6,1976
kwt,6,1977
kwt,6,1978
kwt,6,1979
kwt,6,1980
kwt,6,1981
kwt,6,1982
kwt,6,1983
kwt,6,1984
kwt,6,1985
kwt,6,1986
kwt,6,1987
kwt,8,1988
kwt,8,1989
kwt,8,1991
kwt,8,1992
kwt,6,1993
kwt,7,1994
kwt,7,1995
kwt,7,1996
kwt,8,1997
kwt,7,1998
kwt,7,1999
kwt,7,2000
kwt,4,2001
kwt,3,2002
kwt,3,2003
kwt,5,2004
kwt,6,2005
kwt,6,2006
lao,24,1992
lao,25,1993
lao,30,1994
lao,32,1995
lao,35,1996
lao,35,1998
lao,35,1999
lao,35,2000
lao,35,2001
lao,20,2002
lao,20,2003
lao,20,2004
lao,20,2005
lao,20,2006
lva,27,1993
lva,25,1994
lva,24,1995
lva,10,1996
lva,4,1997
lva,4,1998
lva,4,1999
lva,4,2000
lva,4,2001
lva,3,2002
lva,3,2003
lva,4,2004
lva,4,2005
lva,5,2006
lbn,3,1964
lbn,3,1965
lbn,3,1966
lbn,3,1967
lbn,3,1968
lbn,3,1969
lbn,3,1970
lbn,3,1971
lbn,3,1972
lbn,5,1973
lbn,7,1974
lbn,7,1975
lbn,6,1976
lbn,6,1977
lbn,6,1978
lbn,9,1979
lbn,10,1980
lbn,13,1981
lbn,12,1982
lbn,12,1983
lbn,12,1984
lbn,20,1985
lbn,22,1986
lbn,22,1987
lbn,22,1988
lbn,22,1989
lbn,22,1990
lbn,18,1991
lbn,16,1992
lbn,20,1993
lbn,16,1994
lbn,19,1995
lbn,25,1996
lbn,30,1997
lbn,30,1998
lbn,25,1999
lbn,20,2000
lbn,20,2001
lbn,20,2002
lbn,20,2003
lbn,20,2004
lbn,12,2005
lbn,12,2006
lso,8,1980
lso,12,1981
lso,12,1982
lso,12,1983
lso,15,1984
lso,12,1985
lso,10,1986
lso,9,1987
lso,16,1988
lso,17,1989
lso,16,1990
lso,18,1991
lso,15,1992
lso,14,1993
lso,14,1994
lso,16,1995
lso,17,1996
lso,16,1997
lso,20,1998
lso,19,1999
lso,15,2000
lso,13,2001
lso,16,2002
lso,15,2003
lso,13,2004
lso,13,2005
lso,11,2006
lby,5,1958
lby,5,1959
lby,5,1960
lby,5,1961
lby,5,1962
lby,5,1963
lby,5,1964
lby,5,1965
lby,5,1966
lby,5,1967
lby,5,1968
lby,5,1969
lby,5,1970
lby,5,1971
lby,5,1972
lby,5,1973
lby,5,1974
lby,5,1975
lby,5,1976
lby,5,1977
lby,5,1978
lby,5,1979
lby,5,1980
lby,5,1981
lby,5,1982
lby,5,1983
lby,5,1984
lby,5,1985
lby,5,1986
lby,5,1987
lby,5,1988
lby,5,1989
lby,5,1990
lby,5,1991
lby,5,1992
lby,5,1993
lby,3,1998
lby,5,1999
lby,5,2000
lby,5,2001
lby,5,2002
lby,5,2003
lby,4,2004
lby,4,2005
lby,4,2006
ltu,3,2005
ltu,4,2006
mdg,6,1969
mdg,6,1970
mdg,6,1971
mdg,6,1972
mdg,6,1973
mdg,6,1974
mdg,6,1975
mdg,6,1976
mdg,6,1977
mdg,6,1978
mdg,6,1979
mdg,6,1980
mdg,8,1981
mdg,13,1982
mdg,13,1983
mdg,13,1984
mdg,12,1985
mdg,12,1986
mdg,12,1987
mdg,12,1988
mdg,15,1999
mwi,5,1963
mwi,5,1964
mwi,5,1965
mwi,5,1966
mwi,5,1967
mwi,6,1968
mwi,6,1969
mwi,6,1970
mwi,6,1971
mwi,6,1972
mwi,6,1973
mwi,6,1974
mwi,6,1975
mwi,7,1976
mwi,7,1977
mwi,7,1978
mwi,8,1979
mwi,10,1980
mwi,10,1981
mwi,10,1982
mwi,10,1983
mwi,10,1984
mwi,11,1985
mwi,11,1986
mwi,14,1987
mwi,11,1988
mwi,11,1989
mwi,14,1990
mwi,13,1991
mwi,20,1992
mwi,25,1993
mwi,40,1994
mwi,50,1995
mwi,27,1996
mwi,23,1997
mwi,43,1998
mwi,47,1999
mwi,50,2000
mwi,47,2001
mwi,40,2002
mwi,35,2003
mwi,25,2004
mwi,25,2005
mwi,20,2006
mdv,18,2001
mdv,19,2002
mdv,19,2003
mdv,18,2004
mdv,18,2005
mdv,12,2006
mli,4,1964
mli,4,1965
mli,4,1966
mli,4,1967
mli,4,1968
mli,4,1969
mli,4,1970
mli,4,1971
mli,4,1972
mli,6,1973
mli,6,1974
mli,8,1975
mli,8,1976
mli,8,1977
mli,8,1978
mli,8,1979
mli,11,1980
mli,11,1981
mli,13,1982
mli,11,1983
mli,11,1984
mli,11,1985
mli,9,1986
mli,9,1987
mli,10,1988
mli,11,1989
mli,11,1990
mli,11,1991
mli,13,1992
mli,6,1993
mli,6,1994
mli,6,1995
mli,6,1996
mli,6,1997
mli,6,1998
mli,6,1999
mli,6,2000
mli,6,2001
mli,6,2002
mli,5,2003
mli,4,2004
mli,4,2005
mli,4,2006
mlt,5,1969
mlt,6,1970
mlt,6,1971
mlt,6,1972
mlt,6,1973
mlt,6,1974
mlt,6,1975
mlt,6,1976
mlt,6,1977
mlt,6,1978
mlt,6,1979
mlt,6,1980
mlt,6,1981
mlt,7,1982
mlt,7,1983
mlt,7,1984
mlt,6,1985
mlt,6,1986
mlt,6,1987
mlt,6,1988
mlt,6,1989
mlt,6,1990
mlt,6,1991
mlt,6,1992
mlt,6,1993
mlt,6,1994
mlt,6,1995
mlt,6,1996
mlt,6,1997
mlt,6,1998
mlt,5,1999
mlt,5,2000
mlt,4,2001
mlt,4,2002
mlt,3,2003
mlt,3,2004
mlt,3,2005
mlt,4,2006
mus,8,1967
mus,8,1968
mus,8,1969
mus,6,1970
mus,6,1971
mus,6,1972
mus,6,1973
mus,6,1974
mus,6,1975
mus,6,1976
mus,7,1977
mus,9,1978
mus,11,1979
mus,11,1980
mus,12,1981
mus,12,1982
mus,11,1983
mus,11,1984
mus,11,1985
mus,11,1986
mus,10,1987
mus,10,1988
mus,12,1989
mus,12,1990
mus,11,1991
mus,8,1992
mus,8,1993
mus,14,1994
mus,11,1995
mus,12,1996
mus,10,1997
mus,17,1998
mng,629,1993
mng,180,1994
mng,150,1995
mng,109,1996
mng,46,1997
mng,23,1998
mng,11,1999
mng,9,2000
mng,9,2001
mng,10,2002
mng,12,2003
mng,16,2004
mng,4,2005
mng,6,2006
msr,9,1994
msr,9,1995
msr,9,1996
msr,8,1997
msr,8,1998
msr,8,1999
msr,8,2000
msr,7,2001
msr,7,2002
msr,7,2003
msr,7,2004
msr,7,2005
msr,7,2006
mar,4,1951
mar,4,1952
mar,4,1953
mar,4,1954
mar,4,1955
mar,4,1956
mar,4,1957
mar,4,1958
mar,4,1959
mar,4,1960
mar,4,1961
mar,4,1962
mar,4,1963
mar,4,1964
mar,4,1965
mar,4,1966
mar,4,1967
mar,4,1968
mar,4,1969
mar,4,1970
mar,4,1971
mar,4,1972
mar,4,1973
mar,4,1974
mar,5,1975
mar,5,1976
mar,5,1977
mar,5,1978
mar,5,1979
mar,5,1980
mar,6,1981
mar,7,1982
mar,7,1983
mar,7,1984
mar,8,1985
mar,9,1986
mar,9,1987
mar,9,1988
mar,7,1994
mar,6,1998
mar,5,1999
mar,5,2000
mar,5,2001
mar,4,2002
mar,3,2003
mar,3,2004
mar,3,2005
mar,3,2006
moz,70,1994
moz,58,1995
moz,32,1996
moz,13,1997
moz,10,1998
moz,10,1999
moz,10,2000
moz,10,2001
moz,10,2002
moz,10,2003
moz,10,2004
moz,10,2005
moz,10,2006
mmr,11,1991
mmr,11,1992
mmr,11,1993
mmr,11,1994
mmr,13,1995
mmr,15,1996
mmr,15,1997
mmr,15,1998
mmr,12,1999
mmr,10,2000
mmr,10,2001
mmr,10,2002
mmr,10,2003
mmr,10,2004
mmr,10,2005
nam,21,1991
nam,17,1992
nam,15,1993
nam,16,1994
nam,18,1995
nam,18,1996
nam,16,1997
nam,19,1998
nam,12,1999
nam,11,2000
nam,9,2001
nam,13,2002
nam,8,2003
nam,8,2004
nam,7,2005
nam,9,2006
npl,12,1976
npl,12,1977
npl,12,1978
npl,12,1979
npl,12,1980
npl,12,1981
npl,15,1982
npl,15,1983
npl,15,1984
npl,15,1985
npl,11,1986
npl,11,1987
npl,11,1988
npl,11,1989
npl,11,1990
npl,13,1991
npl,13,1992
npl,11,1993
npl,11,1994
npl,11,1995
npl,11,1996
npl,9,1997
npl,9,1998
npl,9,1999
npl,8,2000
npl,7,2001
npl,6,2002
npl,6,2003
npl,6,2004
npl,6,2005
npl,6,2006
nld,3,1948
nld,3,1949
nld,3,1950
nld,4,1951
nld,3,1952
nld,3,1953
nld,3,1954
nld,3,1955
nld,4,1956
nld,5,1957
nld,3,1958
nld,4,1959
nld,4,1960
nld,4,1961
nld,4,1962
nld,4,1963
nld,5,1964
nld,5,1965
nld,5,1966
nld,5,1967
nld,5,1968
nld,6,1969
nld,6,1970
nld,5,1971
nld,4,1972
nld,8,1973
nld,7,1974
nld,5,1975
nld,6,1976
nld,5,1977
nld,7,1978
nld,10,1979
nld,8,1980
nld,9,1981
nld,5,1982
nld,5,1983
nld,5,1984
nld,5,1985
nld,5,1986
nld,4,1987
nld,5,1988
nld,7,1989
nld,7,1990
nld,9,1991
nld,8,1992
nld,5,1993
ant,9,1980
ant,9,1981
ant,9,1982
ant,8,1983
ant,8,1984
ant,8,1985
ant,8,1986
ant,6,1987
ant,6,1988
ant,6,1989
ant,6,1990
ant,6,1991
ant,6,1992
ant,5,1993
ant,5,1994
ant,6,1995
ant,6,1996
ant,6,1997
ant,6,1998
ant,6,1999
ant,6,2000
ant,6,2001
ant,6,2002
nzl,2,1948
nzl,2,1949
nzl,2,1950
nzl,2,1951
nzl,2,1952
nzl,2,1953
nzl,4,1954
nzl,7,1955
nzl,7,1956
nzl,7,1957
nzl,7,1958
nzl,6,1959
nzl,6,1960
nzl,7,1961
nzl,7,1962
nzl,7,1963
nzl,7,1964
nzl,7,1965
nzl,7,1966
nzl,7,1967
nzl,7,1968
nzl,7,1969
nzl,7,1970
nzl,7,1971
nzl,6,1972
nzl,6,1973
nzl,7,1974
nzl,7,1975
nzl,9,1976
nzl,10,1977
nzl,11,1978
nzl,13,1979
nzl,14,1980
nzl,13,1981
nzl,13,1982
nzl,8,1983
nzl,14,1984
nzl,20,1985
nzl,25,1986
nzl,19,1987
nzl,15,1988
nzl,15,1989
nzl,13,1990
nzl,8,1991
nzl,9,1992
nzl,6,1993
nzl,10,1994
nzl,10,1995
nzl,9,1996
nzl,10,1997
nzl,6,1998
nzl,5,1999
nzl,7,2000
nzl,5,2001
nzl,6,2002
nzl,5,2003
nzl,7,2004
nzl,7,2005
nzl,7,2006
nic,12880,1988
nic,311,1989
nic,10,1990
nic,15,1991
nic,15,1992
nic,12,1993
nic,11,1994
ner,4,1960
ner,4,1961
ner,4,1962
ner,4,1963
ner,4,1964
ner,4,1965
ner,4,1966
ner,4,1967
ner,4,1968
ner,4,1969
ner,4,1970
ner,4,1971
ner,4,1972
ner,6,1973
ner,6,1974
ner,8,1975
ner,8,1976
ner,8,1977
ner,8,1978
ner,8,1979
ner,11,1980
ner,11,1981
ner,13,1982
ner,11,1983
ner,11,1984
ner,11,1985
ner,9,1986
ner,9,1987
ner,9,1988
ner,11,1989
ner,11,1990
ner,11,1991
ner,13,1992
ner,6,1993
ner,6,1994
ner,6,1995
ner,6,1996
ner,6,1997
ner,6,1998
ner,6,1999
ner,6,2000
ner,6,2001
ner,6,2002
ner,5,2003
ner,4,2004
ner,4,2005
ner,4,2006
nga,6,1960
nga,6,1961
nga,5,1962
nga,4,1963
nga,5,1964
nga,5,1965
nga,5,1966
nga,5,1967
nga,5,1968
nga,5,1969
nga,5,1970
nga,5,1971
nga,5,1972
nga,5,1973
nga,5,1974
nga,4,1975
nga,4,1976
nga,4,1977
nga,5,1978
nga,5,1979
nga,6,1980
nga,6,1981
nga,8,1982
nga,8,1983
nga,10,1984
nga,10,1985
nga,10,1986
nga,13,1987
nga,13,1988
nga,19,1989
nga,19,1990
nga,16,1991
nga,18,1992
nga,26,1993
nga,14,1994
nga,14,1995
nga,14,1996
nga,14,1997
nga,14,1998
nga,18,1999
nga,14,2000
nga,21,2001
nga,17,2002
nga,15,2003
nga,15,2004
nga,13,2005
nga,10,2006
nor,3,1948
nor,3,1949
nor,3,1950
nor,3,1951
nor,3,1952
nor,3,1953
nor,3,1954
nor,4,1955
nor,4,1956
nor,4,1957
nor,4,1958
nor,4,1959
nor,4,1960
nor,4,1961
nor,4,1962
nor,4,1963
nor,4,1964
nor,4,1965
nor,4,1966
nor,4,1967
nor,4,1968
nor,5,1969
nor,5,1970
nor,5,1971
nor,5,1972
nor,5,1973
nor,6,1974
nor,5,1975
nor,6,1976
nor,6,1977
nor,7,1978
nor,9,1979
nor,9,1980
nor,9,1981
nor,9,1982
nor,10,1983
nor,10,1984
nor,11,1985
nor,15,1986
nor,14,1987
nor,12,1988
nor,11,1989
nor,11,1990
nor,10,1991
nor,11,1992
nor,7,1993
nor,7,1994
nor,7,1995
nor,6,1996
nor,6,1997
nor,10,1998
nor,8,1999
nor,9,2000
nor,9,2001
nor,9,2002
nor,4,2003
nor,4,2004
nor,4,2005
nor,6,2006
pak,3,1948
pak,3,1949
pak,3,1950
pak,3,1951
pak,3,1952
pak,3,1953
pak,3,1954
pak,3,1955
pak,3,1956
pak,3,1957
pak,3,1958
pak,4,1959
pak,4,1960
pak,4,1961
pak,4,1962
pak,4,1963
pak,4,1964
pak,5,1965
pak,5,1966
pak,5,1967
pak,5,1968
pak,5,1969
pak,5,1970
pak,5,1971
pak,6,1972
pak,8,1973
pak,9,1974
pak,9,1975
pak,9,1976
pak,10,1977
pak,10,1978
pak,10,1979
pak,10,1980
pak,10,1981
pak,10,1982
pak,10,1983
pak,10,1984
pak,10,1985
pak,10,1986
pak,10,1987
pak,10,1988
pak,10,1989
pak,10,1990
pak,10,1991
pak,10,1992
pak,10,1993
pak,15,1994
pak,17,1995
pak,20,1996
pak,18,1997
pak,17,1998
pak,13,1999
pak,13,2000
pak,10,2001
pak,8,2002
pak,8,2003
pak,8,2004
pak,9,2005
pak,10,2006
png,9,1983
png,9,1984
png,10,1985
png,11,1986
png,9,1987
png,11,1988
png,10,1989
png,9,1990
png,9,1991
png,7,1992
png,6,1993
png,7,1994
png,18,1995
png,15,1996
png,9,1997
png,17,1998
png,17,1999
png,10,2000
png,12,2001
png,12,2002
png,16,2003
png,13,2004
png,10,2005
png,8,2006
pry,10,1988
pry,21,1989
pry,33,1990
pry,20,1991
pry,24,1992
pry,27,1993
pry,19,1994
pry,21,1995
pry,15,1996
pry,20,1997
pry,20,1998
pry,20,1999
pry,20,2000
pry,20,2001
pry,20,2002
pry,20,2003
pry,20,2004
pry,20,2005
pry,20,2006
per,6,1948
per,6,1949
per,6,1950
per,6,1951
per,6,1952
per,6,1953
per,6,1954
per,6,1955
per,6,1956
per,6,1957
per,6,1958
per,10,1959
per,10,1960
per,10,1961
per,10,1962
per,10,1963
per,10,1964
per,10,1965
per,10,1966
per,10,1967
per,10,1968
per,10,1969
per,10,1970
per,10,1971
per,10,1972
per,10,1973
per,10,1974
per,10,1975
per,13,1976
per,15,1977
per,29,1978
per,30,1979
per,30,1980
per,45,1981
per,45,1982
per,60,1983
per,60,1984
per,43,1985
per,36,1986
per,30,1987
per,748,1988
per,866,1989
per,290,1990
per,68,1991
per,48,1992
per,29,1993
per,16,1994
per,18,1995
per,18,1996
per,16,1997
per,19,1998
per,18,1999
per,14,2000
per,5,2001
per,5,2002
per,3,2003
per,4,2004
per,4,2005
per,5,2006
phl,2,1949
phl,2,1950
phl,2,1951
phl,2,1952
phl,2,1953
phl,2,1954
phl,2,1955
phl,2,1956
phl,5,1957
phl,5,1958
phl,7,1959
phl,5,1960
phl,3,1961
phl,6,1962
phl,6,1963
phl,6,1964
phl,6,1965
phl,5,1966
phl,6,1967
phl,8,1968
phl,10,1969
phl,10,1970
phl,10,1971
phl,10,1972
phl,10,1973
phl,6,1974
phl,6,1975
phl,6,1976
phl,6,1977
phl,4,1978
phl,11,1979
phl,5,1980
phl,7,1981
phl,6,1982
phl,8,1983
phl,12,1984
phl,13,1985
phl,10,1986
phl,10,1987
phl,10,1988
phl,12,1989
phl,14,1990
phl,14,1991
phl,14,1992
phl,9,1993
phl,8,1994
phl,11,1995
phl,12,1996
phl,15,1997
phl,12,1998
phl,8,1999
phl,14,2000
phl,8,2001
phl,4,2002
phl,6,2003
phl,8,2004
phl,6,2005
phl,5,2006
pol,3,1983
pol,4,1984
pol,4,1985
pol,4,1986
pol,4,1987
pol,6,1988
pol,104,1989
pol,48,1990
pol,36,1991
pol,32,1992
pol,29,1993
pol,28,1994
pol,25,1995
pol,22,1996
pol,25,1997
pol,18,1998
pol,19,1999
pol,22,2000
pol,14,2001
pol,8,2002
pol,6,2003
pol,7,2004
pol,5,2005
pol,4,2006
prt,2,1948
prt,2,1949
prt,2,1950
prt,2,1951
prt,2,1952
prt,2,1953
prt,2,1954
prt,2,1955
prt,2,1956
prt,2,1957
prt,2,1958
prt,2,1959
prt,2,1960
prt,2,1961
prt,2,1962
prt,2,1963
