cholesterol_fat_in_blood_women_mmolperl,geo,time
4.991,vgb,1981
4.982,vgb,1982
4.974,vgb,1983
4.966,vgb,1984
4.955,vgb,1985
4.942,vgb,1986
4.934,vgb,1987
4.928,vgb,1988
4.923,vgb,1989
4.925,vgb,1990
4.936,vgb,1991
4.955,vgb,1992
4.979,vgb,1993
5.009,vgb,1994
5.043,vgb,1995
5.072,vgb,1996
5.098,vgb,1997
5.119,vgb,1998
5.136,vgb,1999
5.153,vgb,2000
5.164,vgb,2001
5.169,vgb,2002
5.167,vgb,2003
5.165,vgb,2004
5.164,vgb,2005
5.162,vgb,2006
5.163,vgb,2007
5.166,vgb,2008
5.524,brn,1980
5.497,brn,1981
5.471,brn,1982
5.443,brn,1983
5.414,brn,1984
5.383,brn,1985
5.349,brn,1986
5.321,brn,1987
5.294,brn,1988
5.264,brn,1989
5.24,brn,1990
5.218,brn,1991
5.195,brn,1992
5.175,brn,1993
5.166,brn,1994
5.153,brn,1995
5.145,brn,1996
5.137,brn,1997
5.135,brn,1998
5.136,brn,1999
5.136,brn,2000
5.136,brn,2001
5.14,brn,2002
5.147,brn,2003
5.159,brn,2004
5.168,brn,2005
5.181,brn,2006
5.197,brn,2007
5.214,brn,2008
5.346,bgr,1980
5.351,bgr,1981
5.355,bgr,1982
5.358,bgr,1983
5.362,bgr,1984
5.364,bgr,1985
5.364,bgr,1986
5.362,bgr,1987
5.36,bgr,1988
5.356,bgr,1989
5.341,bgr,1990
5.322,bgr,1991
5.301,bgr,1992
5.281,bgr,1993
5.257,bgr,1994
5.236,bgr,1995
5.211,bgr,1996
5.185,bgr,1997
5.165,bgr,1998
5.145,bgr,1999
5.129,bgr,2000
5.114,bgr,2001
5.096,bgr,2002
5.078,bgr,2003
5.066,bgr,2004
5.056,bgr,2005
5.051,bgr,2006
5.046,bgr,2007
5.042,bgr,2008
4.468,bfa,1980
4.454,bfa,1981
4.439,bfa,1982
4.424,bfa,1983
4.409,bfa,1984
4.393,bfa,1985
4.375,bfa,1986
4.357,bfa,1987
4.339,bfa,1988
4.32,bfa,1989
4.299,bfa,1990
4.279,bfa,1991
4.259,bfa,1992
4.239,bfa,1993
4.219,bfa,1994
4.201,bfa,1995
4.186,bfa,1996
4.174,bfa,1997
4.163,bfa,1998
4.153,bfa,1999
4.144,bfa,2000
4.135,bfa,2001
4.127,bfa,2002
4.12,bfa,2003
4.112,bfa,2004
4.103,bfa,2005
4.093,bfa,2006
4.083,bfa,2007
4.074,bfa,2008
4.371,bdi,1980
4.363,bdi,1981
4.356,bdi,1982
4.349,bdi,1983
4.344,bdi,1984
4.336,bdi,1985
4.327,bdi,1986
4.318,bdi,1987
4.311,bdi,1988
4.308,bdi,1989
4.3,bdi,1990
4.293,bdi,1991
4.287,bdi,1992
4.278,bdi,1993
4.268,bdi,1994
4.256,bdi,1995
4.239,bdi,1996
4.225,bdi,1997
4.212,bdi,1998
4.202,bdi,1999
4.191,bdi,2000
4.18,bdi,2001
4.17,bdi,2002
4.162,bdi,2003
4.155,bdi,2004
4.147,bdi,2005
4.142,bdi,2006
4.137,bdi,2007
4.132,bdi,2008
4.434,khm,1980
4.421,khm,1981
4.411,khm,1982
4.401,khm,1983
4.394,khm,1984
4.389,khm,1985
4.385,khm,1986
4.378,khm,1987
4.374,khm,1988
4.371,khm,1989
4.366,khm,1990
4.362,khm,1991
4.361,khm,1992
4.36,khm,1993
4.361,khm,1994
4.363,khm,1995
4.369,khm,1996
4.377,khm,1997
4.385,khm,1998
4.396,khm,1999
4.41,khm,2000
4.427,khm,2001
4.444,khm,2002
4.461,khm,2003
4.478,khm,2004
4.497,khm,2005
4.516,khm,2006
4.535,khm,2007
4.555,khm,2008
4.662,cmr,1980
4.657,cmr,1981
4.654,cmr,1982
4.652,cmr,1983
4.65,cmr,1984
4.649,cmr,1985
4.646,cmr,1986
4.641,cmr,1987
4.63,cmr,1988
4.614,cmr,1989
4.596,cmr,1990
4.574,cmr,1991
4.548,cmr,1992
4.523,cmr,1993
4.496,cmr,1994
4.471,cmr,1995
4.448,cmr,1996
