cell_phones_total,geo,time
13020000,aut,2011
0,aze,1965
0,aze,1970
0,aze,1975
0,aze,1976
0,aze,1977
0,aze,1978
0,aze,1979
0,aze,1980
0,aze,1981
0,aze,1982
0,aze,1983
0,aze,1984
0,aze,1985
0,aze,1986
0,aze,1987
0,aze,1988
0,aze,1989
0,aze,1990
0,aze,1991
0,aze,1992
0,aze,1993
500,aze,1994
6000,aze,1995
17000,aze,1996
40000,aze,1997
65000,aze,1998
370000,aze,1999
420400,aze,2000
730000,aze,2001
794200,aze,2002
1057000,aze,2003
1457000,aze,2004
2242000,aze,2005
3324000,aze,2006
4519000,aze,2007
6548000,aze,2008
7757000,aze,2009
9100000,aze,2010
10120000,aze,2011
0,bhs,1965
0,bhs,1970
0,bhs,1975
0,bhs,1976
0,bhs,1977
0,bhs,1978
0,bhs,1979
0,bhs,1980
0,bhs,1981
0,bhs,1982
0,bhs,1983
0,bhs,1984
0,bhs,1985
0,bhs,1986
0,bhs,1987
0,bhs,1988
0,bhs,1989
1922,bhs,1990
2020,bhs,1991
2600,bhs,1992
2401,bhs,1993
4100,bhs,1995
4948,bhs,1996
6200,bhs,1997
8072,bhs,1998
15910,bhs,1999
31520,bhs,2000
60560,bhs,2001
121800,bhs,2002
122200,bhs,2003
186000,bhs,2004
227800,bhs,2005
253000,bhs,2006
374000,bhs,2007
358000,bhs,2008
358800,bhs,2009
428400,bhs,2010
298800,bhs,2011
0,bhr,1965
0,bhr,1970
0,bhr,1975
0,bhr,1976
0,bhr,1977
0,bhr,1978
0,bhr,1979
0,bhr,1980
0,bhr,1981
0,bhr,1982
0,bhr,1983
0,bhr,1984
0,bhr,1985
618,bhr,1986
1712,bhr,1987
2886,bhr,1988
4251,bhr,1989
5147,bhr,1990
7354,bhr,1991
9683,bhr,1992
11360,bhr,1993
17620,bhr,1994
27600,bhr,1995
40080,bhr,1996
58540,bhr,1997
92060,bhr,1998
133500,bhr,1999
205700,bhr,2000
299600,bhr,2001
389000,bhr,2002
443100,bhr,2003
649800,bhr,2004
767100,bhr,2005
907400,bhr,2006
1116000,bhr,2007
1441000,bhr,2008
1402000,bhr,2009
1567000,bhr,2010
1694000,bhr,2011
0,bgd,1965
0,bgd,1970
0,bgd,1975
0,bgd,1976
0,bgd,1977
0,bgd,1978
0,bgd,1979
0,bgd,1980
0,bgd,1981
0,bgd,1982
0,bgd,1983
0,bgd,1984
0,bgd,1985
0,bgd,1986
0,bgd,1987
0,bgd,1988
0,bgd,1989
0,bgd,1990
0,bgd,1991
250,bgd,1992
500,bgd,1993
1104,bgd,1994
2500,bgd,1995
4000,bgd,1996
26000,bgd,1997
75000,bgd,1998
149000,bgd,1999
279000,bgd,2000
520000,bgd,2001
1075000,bgd,2002
1365000,bgd,2003
2782000,bgd,2004
9000000,bgd,2005
19130000,bgd,2006
34370000,bgd,2007
44640000,bgd,2008
52430000,bgd,2009
68650000,bgd,2010
85000000,bgd,2011
0,brb,1965
0,brb,1970
0,brb,1975
0,brb,1976
0,brb,1977
0,brb,1978
0,brb,1979
0,brb,1980
0,brb,1981
0,brb,1982
0,brb,1983
0,brb,1984
0,brb,1985
0,brb,1986
0,brb,1987
0,brb,1988
0,brb,1989
0,brb,1990
486,brb,1991
796,brb,1992
1560,brb,1993
2967,brb,1994
4614,brb,1995
6283,brb,1996
8013,brb,1997
12000,brb,1998
20310,brb,1999
28470,brb,2000
53110,brb,2001
97190,brb,2002
140000,brb,2003
200100,brb,2004
206200,brb,2005
237100,brb,2006
257600,brb,2007
288700,brb,2008
337100,brb,2009
350100,brb,2010
347900,brb,2011
0,blr,1965
0,blr,1970
0,blr,1975
0,blr,1976
0,blr,1977
0,blr,1978
0,blr,1979
0,blr,1980
0,blr,1981
0,blr,1982
0,blr,1983
0,blr,1984
0,blr,1985
0,blr,1986
0,blr,1987
0,blr,1988
0,blr,1989
0,blr,1990
0,blr,1991
0,blr,1992
324,blr,1993
1724,blr,1994
5897,blr,1995
6548,blr,1996
8167,blr,1997
12160,blr,1998
23460,blr,1999
49350,blr,2000
138300,blr,2001
462600,blr,2002
1118000,blr,2003
2239000,blr,2004
4100000,blr,2005
5960000,blr,2006
6960000,blr,2007
8128000,blr,2008
9686000,blr,2009
10330000,blr,2010
10690000,blr,2011
0,bel,1965
0,bel,1970
0,bel,1975
0,bel,1976
0,bel,1977
0,bel,1978
0,bel,1979
0,bel,1980
0,bel,1981
0,bel,1982
0,bel,1983
0,bel,1984
0,bel,1985
3798,bel,1986
7223,bel,1987
19150,bel,1988
30790,bel,1989
42880,bel,1990
51420,bel,1991
61460,bel,1992
67770,bel,1993
128100,bel,1994
235300,bel,1995
478200,bel,1996
974500,bel,1997
1756000,bel,1998
3187000,bel,1999
5629000,bel,2000
7697000,bel,2001
8102000,bel,2002
8606000,bel,2003
9132000,bel,2004
9605000,bel,2005
9847000,bel,2006
10740000,bel,2007
11340000,bel,2008
11780000,bel,2009
12150000,bel,2010
12540000,bel,2011
0,blz,1965
0,blz,1970
0,blz,1975
0,blz,1976
0,blz,1977
0,blz,1978
0,blz,1979
0,blz,1980
0,blz,1981
0,blz,1982
0,blz,1983
0,blz,1984
0,blz,1985
0,blz,1986
0,blz,1987
0,blz,1988
0,blz,1989
0,blz,1990
0,blz,1991
0,blz,1992
400,blz,1993
832,blz,1994
1547,blz,1995
2184,blz,1996
2544,blz,1997
3535,blz,1998
6591,blz,1999
16810,blz,2000
39160,blz,2001
51730,blz,2002
60400,blz,2003
75000,blz,2004
96000,blz,2005
118000,blz,2006
118300,blz,2007
160000,blz,2008
161800,blz,2009
194200,blz,2010
203000,blz,2011
0,ben,1965
0,ben,1970
0,ben,1975
0,ben,1976
0,ben,1977
0,ben,1978
0,ben,1979
0,ben,1980
0,ben,1981
0,ben,1982
0,ben,1983
0,ben,1984
0,ben,1985
0,ben,1986
0,ben,1987
0,ben,1988
0,ben,1989
0,ben,1990
0,ben,1991
0,ben,1992
0,ben,1993
0,ben,1994
1050,ben,1995
2707,ben,1996
4295,ben,1997
6286,ben,1998
7269,ben,1999
55480,ben,2000
125000,ben,2001
218800,ben,2002
236200,ben,2003
459300,ben,2004
596300,ben,2005
1056000,ben,2006
2052000,ben,2007
3625000,ben,2008
5033000,ben,2009
7075000,ben,2010
7765000,ben,2011
0,bmu,1965
0,bmu,1970
0,bmu,1975
0,bmu,1976
0,bmu,1977
0,bmu,1978
0,bmu,1979
0,bmu,1980
0,bmu,1981
0,bmu,1982
0,bmu,1983
0,bmu,1984
0,bmu,1985
0,bmu,1986
