geo,females_aged_15_24_unemployment_rate_percent,time
ltu,15.3,2005
nld,16.9,1987
nld,14.3,1988
nld,13.7,1989
nld,12.3,1990
nld,10.9,1991
nld,7.7,1992
nld,9.6,1993
nld,9.4,1994
nld,13.7,1995
nld,12.3,1996
nld,9.4,1997
nld,8.2,1998
nld,7.5,1999
nld,6.2,2000
nld,6.1,2001
nld,5.6,2002
nld,7.8,2003
nld,8.8,2004
nld,9.7,2005
nzl,7.9,1986
nzl,7.6,1987
nzl,9.9,1988
nzl,12.5,1989
nzl,13.2,1990
nzl,16.8,1991
nzl,16.4,1992
nzl,15.9,1993
nzl,14.3,1994
nzl,11.8,1995
nzl,11.1,1996
nzl,13.0,1997
nzl,13.5,1998
nzl,12.8,1999
nzl,12.0,2000
nzl,11.5,2001
nzl,11.4,2002
nzl,10.4,2003
nzl,10.1,2004
nzl,9.8,2005
nor,6.2,1981
nor,8.1,1982
nor,9.6,1983
nor,7.8,1984
nor,7.4,1985
nor,6.3,1986
nor,6.7,1987
nor,8.6,1988
nor,11.0,1989
nor,10.9,1990
nor,12.1,1991
nor,12.7,1992
nor,13.2,1993
nor,12.1,1994
nor,11.6,1995
nor,13.1,1996
nor,11.1,1997
nor,9.4,1998
nor,9.5,1999
nor,10.9,2000
nor,10.3,2001
nor,10.5,2002
nor,10.7,2003
nor,10.7,2004
nor,11.6,2005
phl,21.2,1986
phl,23.1,1987
phl,22.2,1988
phl,23.5,1989
phl,20.0,1990
phl,27.3,1991
phl,18.6,1992
phl,16.5,1993
phl,17.4,1994
phl,18.4,1995
phl,16.6,1996
phl,21.8,1997
phl,19.4,1998
phl,19.2,1999
phl,23.2,2000
phl,22.3,2001
phl,23.4,2002
phl,22.1,2003
phl,22.9,2004
phl,19.6,2005
pol,32.5,1993
pol,34.5,1994
pol,33.7,1995
pol,31.2,1996
pol,28.0,1997
pol,25.3,1998
pol,34.8,1999
pol,37.3,2000
pol,42.1,2001
pol,44.4,2002
pol,44.2,2003
pol,43.3,2004
pol,39.2,2005
prt,11.6,1992
prt,14.9,1993
prt,16.8,1994
prt,18.0,1995
prt,19.7,1996
prt,18.8,1997
prt,12.9,1998
prt,10.8,1999
prt,11.6,2000
prt,12.1,2001
prt,13.9,2002
prt,17.0,2003
prt,17.6,2004
prt,19.1,2005
rou,25.7,1994
rou,23.1,1995
rou,23.9,1996
rou,20.7,1997
rou,19.7,1998
rou,18.6,1999
rou,17.2,2000
rou,17.4,2001
rou,21.6,2002
rou,18.7,2003
rou,18.9,2004
rou,18.4,2005
sgp,4.2,1981
sgp,4.1,1982
sgp,4.5,1983
sgp,4.3,1984
sgp,6.4,1985
sgp,8.0,1986
sgp,6.3,1987
sgp,4.3,1988
sgp,3.4,1989
sgp,3.0,1990
sgp,3.3,1991
sgp,4.8,1992
sgp,5.1,1993
sgp,5.2,1994
sgp,4.3,1995
sgp,5.4,1996
sgp,4.6,1997
sgp,7.2,1998
sgp,7.8,1999
sgp,6.9,2001
sgp,8.9,2002
sgp,9.1,2003
sgp,9.1,2004
svk,22.6,1997
svk,23.4,1998
svk,32.1,1999
svk,33.8,2000
svk,35.7,2001
svk,35.5,2002
svk,31.6,2003
svk,30.8,2004
svn,21.8,1993
svn,23.1,1994
svn,19.6,1995
svn,17.9,1996
svn,20.0,1997
svn,19.0,1998
svn,20.0,1999
svn,18.8,2000
svn,17.8,2001
svn,15.9,2002
svn,17.9,2003
svn,16.7,2004
svn,18.8,2005
esp,35.7,1981
esp,39.4,1982
esp,43.7,1983
esp,48.1,1984
esp,50.9,1985
esp,49.9,1986
esp,48.9,1987
esp,47.5,1988
esp,42.5,1989
esp,39.6,1990
esp,37.8,1991
esp,40.5,1992
esp,47.3,1993
esp,50.1,1994
esp,49.2,1995
esp,48.7,1996
esp,45.7,1997
esp,42.9,1998
esp,36.8,1999
esp,32.8,2000
esp,26.9,2001
esp,27.3,2002
esp,27.0,2003
esp,26.4,2004
esp,23.5,2005
swe,6.5,1981
swe,7.8,1982
swe,8.2,1983
swe,6.0,1984
swe,5.6,1985
swe,5.3,1986
swe,5.1,1987
swe,4.4,1988
swe,3.8,1989
swe,4.5,1990
swe,7.1,1991
swe,11.1,1992
swe,19.3,1993
swe,19.9,1994
swe,18.4,1995
swe,20.7,1996
swe,20.4,1997
swe,16.1,1998
swe,13.8,1999
swe,11.3,2000
swe,10.7,2001
swe,11.9,2002
swe,12.8,2003
swe,16.0,2004
swe,21.4,2005
che,3.4,1991
che,4.2,1992
che,6.0,1993
che,6.5,1994
che,5.5,1995
che,4.1,1996
che,3.8,1997
che,7.0,1998
che,5.7,1999
che,3.7,2000
che,5.5,2001
che,3.9,2002
che,8.7,2003
che,7.4,2004
che,9.3,2005
tur,11.7,1991
tur,13.5,1992
tur,15.9,1993
tur,13.4,1994
tur,13.1,1995
tur,11.1,1996
tur,15.0,1997
tur,12.8,1998
tur,14.0,1999
tur,11.9,2000
tur,14.4,2001
tur,17.1,2002
tur,18.9,2003
tur,18.9,2004
tur,19.3,2005
gbr,8.7,2001
gbr,8.8,2002
gbr,9.5,2003
gbr,9.9,2004
gbr,10.0,2005
usa,13.9,1981
usa,16.1,1982
usa,15.6,1983
usa,13.2,1984
usa,12.9,1985
usa,12.7,1986
usa,11.6,1987
usa,10.5,1988
usa,10.3,1989
usa,10.6,1990
usa,12.3,1991
usa,13.0,1992
usa,12.2,1993
usa,11.5,1994
usa,11.6,1995
usa,11.3,1996
usa,10.7,1997
usa,9.8,1998
usa,9.5,1999
usa,8.9,2000
usa,9.6,2001
usa,11.1,2002
usa,11.4,2003
usa,11.0,2004
usa,10.1,2005
